ind,attr,val
124,HospitalOwner,government - federal
124,EmergencyService,yes
124,condition,heart attack
124,Measurecode,ami-5
124,MeasureName,heart attack patients given beta blocker at discharge
124,Score,0%
124,Sample,1 patients
124,Stateavg,al_ami-5
125,ProviderNumber,10008
125,HospitalName,crenshaw community hospital
125,Address1,101 hospital circle
125,Address2,empty
125,Address3,empty
125,city,luverne
125,State,al
125,Zipcode,36049
125,countyName,crenshaw
125,PhoneNumber,3343353374
125,HospitalType,acute care hospitals
125,HospitalOwner,government - federal
125,EmergencyService,yes
125,condition,heart attack
125,Measurecode,ami-7a
125,MeasureName,heart attack patients given fibrinolytic medication within 30 minutes of arrival
125,Score,empty
125,Sample,0 patients
125,Stateavg,al_ami-7a
126,ProviderNumber,10008
126,HospitalName,crenshaw community hospital
126,Address1,101 hospital circle
126,Address2,empty
126,Address3,empty
126,city,luverne
126,State,al
126,Zipcode,36049
126,countyName,crenshaw
126,PhoneNumber,3343353374
126,HospitalType,acute care hospitals
126,HospitalOwner,government - federal
126,EmergencyService,yes
126,condition,heart attack
126,Measurecode,ami-8a
126,MeasureName,heart attack patients given pci within 90 minutes of arrival
126,Score,empty
126,Sample,0 patients
126,Stateavg,al_ami-8a
127,ProviderNumber,10008
127,HospitalName,crenshaw community hospital
127,Address1,101 hospital circle
127,Address2,empty
127,Address3,empty
127,city,luverne
127,State,al
127,Zipcode,36049
127,countyName,crenshaw
127,PhoneNumber,3343353374
127,HospitalType,acute care hospitals
127,HospitalOwner,government - federal
127,EmergencyService,yes
127,condition,heart failure
127,Measurecode,hf-1
127,MeasureName,heart failure patients given discharge instructions
127,Score,4%
127,Sample,26 patients
127,Stateavg,al_hf-1
128,ProviderNumber,10008
128,HospitalName,crenshaw community hospital
128,Address1,101 hospital circle
128,Address2,empty
128,Address3,empty
128,city,luverne
128,State,al
128,Zipcode,36049
128,countyName,crenshaw
128,PhoneNumber,3343353374
128,HospitalType,acute care hospitals
128,HospitalOwner,government - federal
128,EmergencyService,yes
128,condition,heart failure
128,Measurecode,hf-2
128,MeasureName,heart failure patients given an evaluation of left ventricular systolic (lvs) function
128,Score,72%
128,Sample,39 patients
128,Stateavg,al_hf-2
129,ProviderNumber,10008
129,HospitalName,crenshaw community hospital
129,Address1,101 hospital circle
129,Address2,empty
129,Address3,empty
129,city,luverne
129,State,al
129,Zipcode,36049
129,countyName,crenshaw
129,PhoneNumber,3343353374
129,HospitalType,acute care hospitals
129,HospitalOwner,government - federal
129,EmergencyService,yes
129,condition,heart failure
129,Measurecode,hf-3
129,MeasureName,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
129,Score,75%
129,Sample,8 patients
129,Stateavg,al_hf-3
130,ProviderNumber,10008
130,HospitalName,crenshaw community hospital
130,Address1,101 hospital circle
130,Address2,empty
130,Address3,empty
130,city,luverne
130,State,al
130,Zipcode,36049
130,countyName,crenshaw
130,PhoneNumber,3343353374
130,HospitalType,acute care hospitals
130,HospitalOwner,government - federal
130,EmergencyService,yes
130,condition,heart failure
130,Measurecode,hf-4
130,MeasureName,heart failure patients given smoking cessation advice/counseling
130,Score,0%
130,Sample,5 patients
130,Stateavg,al_hf-4
131,ProviderNumber,10008
131,HospitalName,crenshaw community hospital
131,Address1,101 hospital circle
131,Address2,empty
131,Address3,empty
131,city,luverne
131,State,al
131,Zipcode,36049
131,countyName,crenshaw
131,PhoneNumber,3343353374
131,HospitalType,acute care hospitals
131,HospitalOwner,government - federal
131,EmergencyService,yes
131,condition,pneumonia
131,Measurecode,pn-2
131,MeasureName,pneumonia patients assessed and given pneumococcal vaccination
131,Score,25%
131,Sample,16 patients
131,Stateavg,al_pn-2
132,ProviderNumber,10008
132,HospitalName,crenshaw community hospital
132,Address1,101 hospital circle
132,Address2,empty
132,Address3,empty
132,city,luverne
132,State,al
132,Zipcode,36049
132,countyName,crenshaw
132,PhoneNumber,3343353374
132,HospitalType,acute care hospitals
132,HospitalOwner,government - federal
132,EmergencyService,yes
132,condition,pneumonia
132,Measurecode,pn-3b
132,MeasureName,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics
132,Score,93%
132,Sample,15 patients
132,Stateavg,al_pn-3b
133,ProviderNumber,10008
133,HospitalName,crenshaw community hospital
133,Address1,101 hospital circle
133,Address2,empty
133,Address3,empty
133,city,luverne
133,State,al
133,Zipcode,36049
133,countyName,crenshaw
133,PhoneNumber,3343353374
133,HospitalType,acute care hospitals
133,HospitalOwner,government - federal
133,EmergencyService,yes
133,condition,pneumonia
133,Measurecode,pn-4
133,MeasureName,pneumonia patients given smoking cessation advice/counseling
133,Score,33%
133,Sample,9 patients
133,Stateavg,al_pn-4
134,ProviderNumber,10008
134,HospitalName,crenshaw community hospital
134,Address1,101 hospital circle
134,Address2,empty
134,Address3,empty
134,city,luverne
134,State,al
134,Zipcode,36049
134,countyName,crenshaw
134,PhoneNumber,3343353374
134,HospitalType,acute care hospitals
134,HospitalOwner,government - federal
134,EmergencyService,yes
134,condition,pneumonia
134,Measurecode,pn-5c
134,MeasureName,pneumonia patients given initial antibiotic(s) within 6 hours after arrival
134,Score,95%
134,Sample,21 patients
134,Stateavg,al_pn-5c
135,ProviderNumber,10008
135,HospitalName,crenshaw community hospital
135,Address1,101 hospital circle
135,Address2,empty
135,Address3,empty
135,city,luverne
135,State,al
135,Zipcode,36049
135,countyName,crenshaw
135,PhoneNumber,3343353374
135,HospitalType,acute care hospitals
135,HospitalOwner,government - federal
135,EmergencyService,yes
135,condition,pneumonia
135,Measurecode,pn-6
135,MeasureName,pneumonia patients given the most appropriate initial antibiotic(s)
135,Score,62%
135,Sample,21 patients
135,Stateavg,al_pn-6
136,ProviderNumber,10008
136,HospitalName,crenshaw community hospital
136,Address1,101 hospital circle
136,Address2,empty
136,Address3,empty
136,city,luverne
136,State,al
136,Zipcode,36049
136,countyName,crenshaw
136,PhoneNumber,3343353374
136,HospitalType,acute care hospitals
136,HospitalOwner,government - federal
136,EmergencyService,yes
136,condition,pneumonia
136,Measurecode,pn-7
136,MeasureName,pneumonia patients assessed and given influenza vaccination
136,Score,47%
136,Sample,15 patients
136,Stateavg,al_pn-7
137,ProviderNumber,10008
137,HospitalName,crenshaw community hospital
137,Address1,101 hospital circle
137,Address2,empty
137,Address3,empty
137,city,luverne
137,State,al
137,Zipcode,36049
137,countyName,crenshaw
137,PhoneNumber,3343353374
137,HospitalType,acute care hospitals
137,HospitalOwner,government - federal
137,EmergencyService,yes
137,condition,surgical infection prevention
137,Measurecode,scip-card-2
137,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
137,Score,100%
137,Sample,1 patients
137,Stateavg,al_scip-card-2
138,ProviderNumber,10008
138,HospitalName,crenshaw community hospital
138,Address1,101 hospital circle
138,Address2,empty
138,Address3,empty
138,city,luverne
138,State,al
138,Zipcode,36049
138,countyName,crenshaw
138,PhoneNumber,3343353374
138,HospitalType,acute care hospitals
138,HospitalOwner,government - federal
138,EmergencyService,yes
138,condition,surgical infection prevention
138,Measurecode,scip-inf-1
138,MeasureName,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
138,Score,100%
138,Sample,2 patients
138,Stateavg,al_scip-inf-1
139,ProviderNumber,10008
139,HospitalName,crenshaw community hospital
139,Address1,101 hospital circle
139,Address2,empty
139,Address3,empty
139,city,luverne
139,State,al
139,Zipcode,36049
139,countyName,crenshaw
139,PhoneNumber,3343353374
139,HospitalType,acute care hospitals
139,HospitalOwner,government - federal
139,EmergencyService,yes
139,condition,surgical infection prevention
139,Measurecode,scip-inf-2
139,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
139,Score,100%
139,Sample,2 patients
139,Stateavg,al_scip-inf-2
140,ProviderNumber,10008
140,HospitalName,crenshaw community hospital
140,Address1,101 hospital circle
140,Address2,empty
140,Address3,empty
140,city,luverne
140,State,al
140,Zipcode,36049
140,countyName,crenshaw
140,PhoneNumber,3343353374
140,HospitalType,acute care hospitals
140,HospitalOwner,government - federal
140,EmergencyService,yes
140,condition,surgical infection prevention
140,Measurecode,scip-inf-3
140,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
140,Score,100%
140,Sample,2 patients
140,Stateavg,al_scip-inf-3
141,ProviderNumber,10008
141,HospitalName,crenshaw community hospital
141,Address1,101 hospital circle
141,Address2,empty
141,Address3,empty
141,city,luverne
141,State,al
141,Zipcode,36049
141,countyName,crenshaw
141,PhoneNumber,3343353374
141,HospitalType,acute care hospitals
141,HospitalOwner,government - federal
141,EmergencyService,yes
141,condition,surgical infection prevention
141,Measurecode,scip-inf-4
141,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
141,Score,empty
141,Sample,0 patients
141,Stateavg,al_scip-inf-4
142,ProviderNumber,10008
142,HospitalName,crenshaw community hospital
142,Address1,101 hospital circle
142,Address2,empty
142,Address3,empty
142,city,luverne
142,State,al
142,Zipcode,36049
142,countyName,crenshaw
142,PhoneNumber,3343353374
142,HospitalType,acute care hospitals
142,HospitalOwner,government - federal
142,EmergencyService,yes
142,condition,surgical infection prevention
142,Measurecode,scip-inf-6
142,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
142,Score,100%
142,Sample,4 patients
142,Stateavg,al_scip-inf-6
143,ProviderNumber,10008
143,HospitalName,crenshaw community hospital
143,Address1,101 hospital circle
143,Address2,empty
143,Address3,empty
143,city,luverne
143,State,al
143,Zipcode,36049
143,countyName,crenshaw
143,PhoneNumber,3343353374
143,HospitalType,acute care hospitals
143,HospitalOwner,government - federal
143,EmergencyService,yes
143,condition,surgical infection prevention
143,Measurecode,scip-vte-1
143,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
143,Score,100%
143,Sample,4 patients
143,Stateavg,al_scip-vte-1
144,ProviderNumber,10008
144,HospitalName,crenshaw community hospital
144,Address1,101 hospital circle
144,Address2,empty
144,Address3,empty
144,city,luverne
144,State,al
144,Zipcode,36049
144,countyName,crenshaw
144,PhoneNumber,3343353374
144,HospitalType,acute care hospitals
144,HospitalOwner,government - federal
144,EmergencyService,yes
144,condition,surgical infection prevention
144,Measurecode,scip-vte-2
144,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
144,Score,100%
144,Sample,4 patients
144,Stateavg,al_scip-vte-2
145,ProviderNumber,10009
145,HospitalName,hartselle medical center
145,Address1,201 pine street northwest
145,Address2,empty
145,Address3,empty
145,city,hartselle
145,State,al
145,Zipcode,35640
145,countyName,morgan
145,PhoneNumber,2567736511
145,HospitalType,acute care hospitals
145,HospitalOwner,proprietary
145,EmergencyService,yes
145,condition,heart attack
145,Measurecode,ami-1
145,MeasureName,heart attack patients given aspirin at arrival
145,Score,100%
145,Sample,6 patients
145,Stateavg,al_ami-1
146,ProviderNumber,10009
146,HospitalName,hartselle medical center
146,Address1,201 pine street northwest
146,Address2,empty
146,Address3,empty
146,city,hartselle
146,State,al
146,Zipcode,35640
146,countyName,morgan
146,PhoneNumber,2567736511
146,HospitalType,acute care hospitals
146,HospitalOwner,proprietary
146,EmergencyService,yes
146,condition,heart attack
146,Measurecode,ami-2
146,MeasureName,heart attack patients given aspirin at discharge
146,Score,100%
146,Sample,1 patients
146,Stateavg,al_ami-2
147,ProviderNumber,10009
147,HospitalName,hartselle medical center
147,Address1,201 pine street northwest
147,Address2,empty
147,Address3,empty
147,city,hartselle
147,State,al
147,Zipcode,35640
147,countyName,morgan
147,PhoneNumber,2567736511
147,HospitalType,acute care hospitals
147,HospitalOwner,proprietary
147,EmergencyService,yes
147,condition,heart attack
147,Measurecode,ami-3
147,MeasureName,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
147,Score,100%
147,Sample,1 patients
147,Stateavg,al_ami-3
148,ProviderNumber,10009
148,HospitalName,hartselle medical center
148,Address1,201 pine street northwest
148,Address2,empty
148,Address3,empty
148,city,hartselle
148,State,al
148,Zipcode,35640
148,countyName,morgan
148,PhoneNumber,2567736511
148,HospitalType,acute care hospitals
148,HospitalOwner,proprietary
148,EmergencyService,yes
148,condition,heart attack
148,Measurecode,ami-4
148,MeasureName,heart attack patients given smoking cessation advice/counseling
148,Score,100%
148,Sample,2 patients
148,Stateavg,al_ami-4
149,ProviderNumber,10009
149,HospitalName,hartselle medical center
149,Address1,201 pine street northwest
149,Address2,empty
149,Address3,empty
149,city,hartselle
149,State,al
149,Zipcode,35640
149,countyName,morgan
149,PhoneNumber,2567736511
149,HospitalType,acute care hospitals
149,HospitalOwner,proprietary
149,EmergencyService,yes
149,condition,heart attack
149,Measurecode,ami-5
149,MeasureName,heart attack patients given beta blocker at discharge
149,Score,100%
149,Sample,3 patients
149,Stateavg,al_ami-5
150,ProviderNumber,10009
150,HospitalName,hartselle medical center
150,Address1,201 pine street northwest
150,Address2,empty
150,Address3,empty
150,city,hartselle
150,State,al
150,Zipcode,35640
150,countyName,morgan
150,PhoneNumber,2567736511
150,HospitalType,acute care hospitals
150,HospitalOwner,proprietary
150,EmergencyService,yes
150,condition,heart attack
150,Measurecode,ami-7a
150,MeasureName,heart attack patients given fibrinolytic medication within 30 minutes of arrival
150,Score,empty
150,Sample,0 patients
150,Stateavg,al_ami-7a
151,ProviderNumber,10009
151,HospitalName,hartselle medical center
151,Address1,201 pine street northwest
151,Address2,empty
151,Address3,empty
151,city,hartselle
151,State,al
151,Zipcode,35640
151,countyName,morgan
151,PhoneNumber,2567736511
151,HospitalType,acute care hospitals
151,HospitalOwner,proprietary
151,EmergencyService,yes
151,condition,heart attack
151,Measurecode,ami-8a
151,MeasureName,heart attack patients given pci within 90 minutes of arrival
151,Score,empty
151,Sample,0 patients
151,Stateavg,al_ami-8a
152,ProviderNumber,10009
152,HospitalName,hartselle medical center
152,Address1,201 pine street northwest
152,Address2,empty
152,Address3,empty
152,city,hartselle
152,State,al
152,Zipcode,35640
152,countyName,morgan
152,PhoneNumber,2567736511
152,HospitalType,acute care hospitals
152,HospitalOwner,proprietary
152,EmergencyService,yes
152,condition,heart failure
152,Measurecode,hf-1
152,MeasureName,heart failure patients given discharge instructions
152,Score,97%
152,Sample,35 patients
152,Stateavg,al_hf-1
153,ProviderNumber,10009
153,HospitalName,hartselle medical center
153,Address1,201 pine street northwest
153,Address2,empty
153,Address3,empty
153,city,hartselle
153,State,al
153,Zipcode,35640
153,countyName,morgan
153,PhoneNumber,2567736511
153,HospitalType,acute care hospitals
153,HospitalOwner,proprietary
153,EmergencyService,yes
153,condition,heart failure
153,Measurecode,hf-2
153,MeasureName,heart failure patients given an evaluation of left ventricular systolic (lvs) function
153,Score,98%
153,Sample,42 patients
153,Stateavg,al_hf-2
154,ProviderNumber,10009
154,HospitalName,hartselle medical center
154,Address1,201 pine street northwest
154,Address2,empty
154,Address3,empty
154,city,hartselle
154,State,al
154,Zipcode,35640
154,countyName,morgan
154,PhoneNumber,2567736511
154,HospitalType,acute care hospitals
154,HospitalOwner,proprietary
154,EmergencyService,yes
154,condition,heart failure
154,Measurecode,hf-3
154,MeasureName,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
154,Score,100%
154,Sample,10 patients
154,Stateavg,al_hf-3
155,ProviderNumber,10009
155,HospitalName,hartselle medical center
155,Address1,201 pine street northwest
155,Address2,empty
155,Address3,empty
155,city,hartselle
155,State,al
155,Zipcode,35640
155,countyName,morgan
155,PhoneNumber,2567736511
155,HospitalType,acute care hospitals
155,HospitalOwner,proprietary
155,EmergencyService,yes
155,condition,heart failure
155,Measurecode,hf-4
155,MeasureName,heart failure patients given smoking cessation advice/counseling
155,Score,100%
155,Sample,12 patients
155,Stateavg,al_hf-4
156,ProviderNumber,10009
156,HospitalName,hartselle medical center
156,Address1,201 pine street northwest
156,Address2,empty
156,Address3,empty
156,city,hartselle
156,State,al
156,Zipcode,35640
156,countyName,morgan
156,PhoneNumber,2567736511
156,HospitalType,acute care hospitals
156,HospitalOwner,proprietary
156,EmergencyService,yes
156,condition,pneumonia
156,Measurecode,pn-2
156,MeasureName,pneumonia patients assessed and given pneumococcal vaccination
156,Score,98%
156,Sample,44 patients
156,Stateavg,al_pn-2
157,ProviderNumber,10009
157,HospitalName,hartselle medical center
157,Address1,201 pine street northwest
157,Address2,empty
157,Address3,empty
157,city,hartselle
157,State,al
157,Zipcode,35640
157,countyName,morgan
157,PhoneNumber,2567736511
157,HospitalType,acute care hospitals
157,HospitalOwner,proprietary
157,EmergencyService,yes
157,condition,pneumonia
157,Measurecode,pn-3b
157,MeasureName,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics
157,Score,100%
157,Sample,30 patients
157,Stateavg,al_pn-3b
158,ProviderNumber,10009
158,HospitalName,hartselle medical center
158,Address1,201 pine street northwest
158,Address2,empty
158,Address3,empty
158,city,hartselle
158,State,al
158,Zipcode,35640
158,countyName,morgan
158,PhoneNumber,2567736511
158,HospitalType,acute care hospitals
158,HospitalOwner,proprietary
158,EmergencyService,yes
158,condition,pneumonia
158,Measurecode,pn-4
158,MeasureName,pneumonia patients given smoking cessation advice/counseling
158,Score,100%
158,Sample,25 patients
158,Stateavg,al_pn-4
159,ProviderNumber,10009
159,HospitalName,hartselle medical center
159,Address1,201 pine street northwest
159,Address2,empty
159,Address3,empty
159,city,hartselle
159,State,al
159,Zipcode,35640
159,countyName,morgan
159,PhoneNumber,2567736511
159,HospitalType,acute care hospitals
159,HospitalOwner,proprietary
159,EmergencyService,yes
159,condition,pneumonia
159,Measurecode,pn-5c
159,MeasureName,pneumonia patients given initial antibiotic(s) within 6 hours after arrival
159,Score,98%
159,Sample,51 patients
159,Stateavg,al_pn-5c
160,ProviderNumber,10009
160,HospitalName,hartselle medical center
160,Address1,201 pine street northwest
160,Address2,empty
160,Address3,empty
160,city,hartselle
160,State,al
160,Zipcode,35640
160,countyName,morgan
160,PhoneNumber,2567736511
160,HospitalType,acute care hospitals
160,HospitalOwner,proprietary
160,EmergencyService,yes
160,condition,pneumonia
160,Measurecode,pn-6
160,MeasureName,pneumonia patients given the most appropriate initial antibiotic(s)
160,Score,100%
160,Sample,45 patients
160,Stateavg,al_pn-6
161,ProviderNumber,10009
161,HospitalName,hartselle medical center
161,Address1,201 pine street northwest
161,Address2,empty
161,Address3,empty
161,city,hartselle
161,State,al
161,Zipcode,35640
161,countyName,morgan
161,PhoneNumber,2567736511
161,HospitalType,acute care hospitals
161,HospitalOwner,proprietary
161,EmergencyService,yes
161,condition,pneumonia
161,Measurecode,pn-7
161,MeasureName,pneumonia patients assessed and given influenza vaccination
161,Score,97%
161,Sample,30 patients
161,Stateavg,al_pn-7
162,ProviderNumber,10009
162,HospitalName,hartselle medical center
162,Address1,201 pine street northwest
162,Address2,empty
162,Address3,empty
162,city,hartselle
162,State,al
162,Zipcode,35640
162,countyName,morgan
162,PhoneNumber,2567736511
162,HospitalType,acute care hospitals
162,HospitalOwner,proprietary
162,EmergencyService,yes
162,condition,surgical infection prevention
162,Measurecode,scip-card-2
162,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
162,Score,67%
162,Sample,3 patients
162,Stateavg,al_scip-card-2
163,ProviderNumber,10009
163,HospitalName,hartselle medical center
163,Address1,201 pine street northwest
163,Address2,empty
163,Address3,empty
163,city,hartselle
163,State,al
163,Zipcode,35640
163,countyName,morgan
163,PhoneNumber,2567736511
163,HospitalType,acute care hospitals
163,HospitalOwner,proprietary
163,EmergencyService,yes
163,condition,surgical infection prevention
163,Measurecode,scip-inf-1
163,MeasureName,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
163,Score,100%
163,Sample,6 patients
163,Stateavg,al_scip-inf-1
164,ProviderNumber,10009
164,HospitalName,hartselle medical center
164,Address1,201 pine street northwest
164,Address2,empty
164,Address3,empty
164,city,hartselle
164,State,al
164,Zipcode,35640
164,countyName,morgan
164,PhoneNumber,2567736511
164,HospitalType,acute care hospitals
164,HospitalOwner,proprietary
164,EmergencyService,yes
164,condition,surgical infection prevention
164,Measurecode,scip-inf-2
164,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
164,Score,57%
164,Sample,7 patients
164,Stateavg,al_scip-inf-2
165,ProviderNumber,10009
165,HospitalName,hartselle medical center
165,Address1,201 pine street northwest
165,Address2,empty
165,Address3,empty
165,city,hartselle
165,State,al
165,Zipcode,35640
165,countyName,morgan
165,PhoneNumber,2567736511
165,HospitalType,acute care hospitals
165,HospitalOwner,proprietary
165,EmergencyService,yes
165,condition,surgical infection prevention
165,Measurecode,scip-inf-3
165,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
165,Score,80%
165,Sample,5 patients
165,Stateavg,al_scip-inf-3
166,ProviderNumber,10009
166,HospitalName,hartselle medical center
166,Address1,201 pine street northwest
166,Address2,empty
166,Address3,empty
166,city,hartselle
166,State,al
166,Zipcode,35640
166,countyName,morgan
166,PhoneNumber,2567736511
166,HospitalType,acute care hospitals
166,HospitalOwner,proprietary
166,EmergencyService,yes
166,condition,surgical infection prevention
166,Measurecode,scip-inf-4
166,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
166,Score,empty
166,Sample,0 patients
166,Stateavg,al_scip-inf-4
167,ProviderNumber,10009
167,HospitalName,hartselle medical center
167,Address1,201 pine street northwest
167,Address2,empty
167,Address3,empty
167,city,hartselle
167,State,al
167,Zipcode,35640
167,countyName,morgan
167,PhoneNumber,2567736511
167,HospitalType,acute care hospitals
167,HospitalOwner,proprietary
167,EmergencyService,yes
167,condition,surgical infection prevention
167,Measurecode,scip-inf-6
167,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
167,Score,100%
167,Sample,11 patients
167,Stateavg,al_scip-inf-6
168,ProviderNumber,10009
168,HospitalName,hartselle medical center
168,Address1,201 pine street northwest
168,Address2,empty
168,Address3,empty
168,city,hartselle
168,State,al
168,Zipcode,35640
168,countyName,morgan
168,PhoneNumber,2567736511
168,HospitalType,acute care hospitals
168,HospitalOwner,proprietary
168,EmergencyService,yes
168,condition,surgical infection prevention
168,Measurecode,scip-vte-1
168,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
168,Score,78%
168,Sample,9 patients
168,Stateavg,al_scip-vte-1
169,ProviderNumber,10009
169,HospitalName,hartselle medical center
169,Address1,201 pine street northwest
169,Address2,empty
169,Address3,empty
169,city,hartselle
169,State,al
169,Zipcode,35640
169,countyName,morgan
169,PhoneNumber,2567736511
169,HospitalType,acute care hospitals
169,HospitalOwner,proprietary
169,EmergencyService,yes
169,condition,surgical infection prevention
169,Measurecode,scip-vte-2
169,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
169,Score,78%
169,Sample,9 patients
169,Stateavg,al_scip-vte-2
170,ProviderNumber,10010
170,HospitalName,marshall medical center north
170,Address1,8000 alabama highway 69
170,Address2,empty
170,Address3,empty
170,city,guntersville
170,State,al
170,Zipcode,35976
170,countyName,marshall
170,PhoneNumber,2565718000
170,HospitalType,acute care hospitals
170,HospitalOwner,government - hospital district or authority
170,EmergencyService,yes
170,condition,heart attack
170,Measurecode,ami-1
170,MeasureName,heart attack patients given aspirin at arrival
170,Score,100%
170,Sample,8 patients
170,Stateavg,al_ami-1
171,ProviderNumber,10010
171,HospitalName,marshall medical center north
171,Address1,8000 alabama highway 69
171,Address2,empty
171,Address3,empty
171,city,guntersville
171,State,al
171,Zipcode,35976
171,countyName,marshall
171,PhoneNumber,2565718000
171,HospitalType,acute care hospitals
171,HospitalOwner,government - hospital district or authority
171,EmergencyService,yes
171,condition,heart attack
171,Measurecode,ami-2
171,MeasureName,heart attack patients given aspirin at discharge
171,Score,100%
171,Sample,6 patients
171,Stateavg,al_ami-2
172,ProviderNumber,10010
172,HospitalName,marshall medical center north
172,Address1,8000 alabama highway 69
172,Address2,empty
172,Address3,empty
172,city,guntersville
172,State,al
172,Zipcode,35976
172,countyName,marshall
172,PhoneNumber,2565718000
172,HospitalType,acute care hospitals
172,HospitalOwner,government - hospital district or authority
172,EmergencyService,yes
172,condition,heart attack
172,Measurecode,ami-3
172,MeasureName,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
172,Score,50%
172,Sample,2 patients
172,Stateavg,al_ami-3
173,ProviderNumber,10010
173,HospitalName,marshall medical center north
173,Address1,8000 alabama highway 69
173,Address2,empty
173,Address3,empty
173,city,guntersville
173,State,al
173,Zipcode,35976
173,countyName,marshall
173,PhoneNumber,2565718000
173,HospitalType,acute care hospitals
173,HospitalOwner,government - hospital district or authority
173,EmergencyService,yes
173,condition,heart attack
173,Measurecode,ami-4
173,MeasureName,heart attack patients given smoking cessation advice/counseling
173,Score,100%
173,Sample,2 patients
173,Stateavg,al_ami-4
174,ProviderNumber,10010
174,HospitalName,marshall medical center north
174,Address1,8000 alabama highway 69
174,Address2,empty
174,Address3,empty
174,city,guntersville
174,State,al
174,Zipcode,35976
174,countyName,marshall
174,PhoneNumber,2565718000
174,HospitalType,acute care hospitals
174,HospitalOwner,government - hospital district or authority
174,EmergencyService,yes
174,condition,heart attack
174,Measurecode,ami-5
174,MeasureName,heart attack patients given beta blocker at discharge
174,Score,83%
174,Sample,6 patients
174,Stateavg,al_ami-5
175,ProviderNumber,10010
175,HospitalName,marshall medical center north
175,Address1,8000 alabama highway 69
175,Address2,empty
175,Address3,empty
175,city,guntersville
175,State,al
175,Zipcode,35976
175,countyName,marshall
175,PhoneNumber,2565718000
175,HospitalType,acute care hospitals
175,HospitalOwner,government - hospital district or authority
175,EmergencyService,yes
175,condition,heart attack
175,Measurecode,ami-7a
175,MeasureName,heart attack patients given fibrinolytic medication within 30 minutes of arrival
175,Score,empty
175,Sample,0 patients
175,Stateavg,al_ami-7a
176,ProviderNumber,10010
176,HospitalName,marshall medical center north
176,Address1,8000 alabama highway 69
176,Address2,empty
176,Address3,empty
176,city,guntersville
176,State,al
176,Zipcode,35976
176,countyName,marshall
176,PhoneNumber,2565718000
176,HospitalType,acute care hospitals
176,HospitalOwner,government - hospital district or authority
176,EmergencyService,yes
176,condition,heart attack
176,Measurecode,ami-8a
176,MeasureName,heart attack patients given pci within 90 minutes of arrival
176,Score,empty
176,Sample,0 patients
176,Stateavg,al_ami-8a
177,ProviderNumber,10010
177,HospitalName,marshall medical center north
177,Address1,8000 alabama highway 69
177,Address2,empty
177,Address3,empty
177,city,guntersville
177,State,al
177,Zipcode,35976
177,countyName,marshall
177,PhoneNumber,2565718000
177,HospitalType,acute care hospitals
177,HospitalOwner,government - hospital district or authority
177,EmergencyService,yes
177,condition,heart failure
177,Measurecode,hf-1
177,MeasureName,heart failure patients given discharge instructions
177,Score,93%
177,Sample,55 patients
177,Stateavg,al_hf-1
178,ProviderNumber,10010
178,HospitalName,marshall medical center north
178,Address1,8000 alabama highway 69
178,Address2,empty
178,Address3,empty
178,city,guntersville
178,State,al
178,Zipcode,35976
178,countyName,marshall
178,PhoneNumber,2565718000
178,HospitalType,acute care hospitals
178,HospitalOwner,government - hospital district or authority
178,EmergencyService,yes
178,condition,heart failure
178,Measurecode,hf-2
178,MeasureName,heart failure patients given an evaluation of left ventricular systolic (lvs) function
178,Score,84%
178,Sample,80 patients
178,Stateavg,al_hf-2
179,ProviderNumber,10010
179,HospitalName,marshall medical center north
179,Address1,8000 alabama highway 69
179,Address2,empty
179,Address3,empty
179,city,guntersville
179,State,al
179,Zipcode,35976
