date_symbol,percent_change,last
2011-07-12-bmc,1.99%,$ 54.09
2011-07-12-brcm,1.77%,$ 33.34
2011-07-12-ca,2.09%,$ 22.51
2011-07-12-celg,0.08%,$ 61.06
2011-07-12-cern,0.86%,$ 62.29
2011-07-12-chkp,0.03%,$ 57.35
2011-07-12-chrw,1.17%,$ 79.51
2011-07-12-cmcsa,1.64%,$ 24.62
2011-07-12-cost,0.04%,$ 80.71
2011-07-12-csco,1.1%,$ 15.60
2011-07-12-ctrp,1.51%,$ 43.11
2011-07-12-ctsh,1.63%,$ 73.54
2011-07-12-ctxs,3.56%,$ 76.37
2011-07-12-dell,0.6%,$ 16.55
2011-07-12-dltr,0.57%,$ 69.21
2011-07-12-dtv,0.74%,$ 52.42
2011-07-12-ebay,1.98%,$ 32.26
2011-07-12-erts,0.9%,$ 24.17
2011-07-12-esrx,0.17%,$ 53.39
2011-07-12-expd,1.92%,$ 50.59
2011-07-12-expe,0.59%,$ 30.57
2011-07-12-fast,4.22%,$ 34.48
2011-07-12-ffiv,2.11%,$ 110.40
2011-07-12-fisv,1.59%,$ 62.66
2011-07-12-flex,1.88%,$ 6.28
2011-07-12-flir,1.6%,$ 32.67
2011-07-12-fslr,2.33%,$ 123.97
2011-07-12-gild,0.68%,$ 41.55
2011-07-12-gmcr,5.12%,$ 89.76
2011-07-12-goog,1.28%,$ 534.01
2011-07-12-grmn,1.17%,$ 33.04
2011-07-12-hpq,,$ 35.29
2011-07-12-hsic,0.2%,$ 73.44
2011-07-12-ilmn,0.26%,$ 73.60
2011-07-12-infy,5.62%,$ 61.44
2011-07-12-intc,1.75%,$ 22.45
2011-07-12-intu,1.24%,$ 50.26
2011-07-12-isrg,1.31%,$ 357.08
2011-07-12-joyg,0.73%,$ 93.78
2011-07-12-klac,2.32%,$ 41.31
2011-07-12-life,0.42%,$ 50.60
2011-07-12-linta,0.2%,$ 17.525
2011-07-12-lltc,4.39%,$ 31.18
2011-07-12-lrcx,5.02%,$ 42.61
2011-07-12-mchp,12.14%,$ 32.93
2011-07-12-mrvl,0.34%,$ 14.81
2011-07-12-msft,0.34%,$ 26.54
2011-07-12-mu,2.4%,$ 7.31
2011-07-12-mxim,6.73%,$ 23.71
2011-07-12-myl,0.82%,$ 24.13
2011-07-12-nflx,0.18%,$ 291.27
2011-07-12-nihd,0.5%,$ 42.50
2011-07-12-ntap,1.12%,$ 51.97
2011-07-12-nvda,1.34%,$ 14.69
2011-07-12-nwsa,0.84%,$ 15.35
2011-07-12-orcl,1.63%,$ 32.60
2011-07-12-orly,0.33%,$ 64.635
2011-07-12-payx,0.16%,$ 30.91
2011-07-12-pcar,0.18%,$ 50.54
2011-07-12-pcln,1.49%,$ 528.57
2011-07-12-qcom,2.95%,$ 56.52
2011-07-12-qgen,1.3%,$ 18.24
2011-07-12-rimm,1.53%,$ 28.48
2011-07-12-rost,0.19%,$ 78.82
2011-07-12-sbux,0.43%,$ 39.57
2011-07-12-shld,2.91%,$ 74.65
2011-07-12-sial,0.04%,$ 73.71
2011-07-12-sndk,1.41%,$ 41.18
2011-07-12-spls,1.05%,$ 15.43
2011-07-12-srcl,0.08%,$ 91.33
2011-07-12-stx,0.69%,$ 16.595
2011-07-12-symc,0.67%,$ 19.23
2011-07-12-teva,0.49%,$ 49.06
2011-07-12-urbn,1.28%,$ 31.70
2011-07-12-vmed,0.91%,$ 27.655
2011-07-12-vod,1.11%,$ 25.90
2011-07-12-vrsn,0.77%,$ 33.56
2011-07-12-vrtx,2.27%,$ 51.41
2011-07-12-wcrx,0.79%,$ 24.20
2011-07-12-wfm,0.36%,$ 64.89
2011-07-12-wynn,0.04%,$ 156.87
2011-07-12-xlnx,3.79%,$ 34.31
2011-07-12-xray,0.23%,$ 39.01
2011-07-12-yhoo,1.26%,$ 14.86
2011-07-13-aapl,1.21%,$ 358.02
2011-07-13-adbe,0.92%,$ 30.07
2011-07-13-adp,0.22%,$ 53.69
2011-07-13-adsk,0.08%,$ 37.26
2011-07-13-akam,0.03%,$ 30.95
2011-07-13-altr,3.11%,$ 43.66
2011-07-13-alxn,1.67%,$ 51.25
2011-07-13-amat,1.58%,$ 12.44
2011-07-13-amgn,0.51%,$ 56.61
2011-07-13-amzn,1.07%,$ 213.50
2011-07-13-apol,0.22%,$ 49.82
2011-07-13-atvi,0.59%,$ 11.90
2011-07-13-bbby,0.52%,$ 59.44
2011-07-13-bidu,2.41%,$ 142.29
2011-07-13-biib,1.21%,$ 105.31
2011-07-13-bmc,0.33%,$ 53.91
2011-07-13-brcm,0.12%,$ 33.30
2011-07-13-ca,0.36%,$ 22.43
2011-07-13-celg,0.03%,$ 61.08
2011-07-13-cern,0.43%,$ 62.56
2011-07-13-chkp,0.19%,$ 57.46
2011-07-13-chrw,0.11%,$ 79.60
2011-07-13-cmcsa,0.2%,$ 24.57
2011-07-13-cost,0.16%,$ 80.84
2011-07-13-csco,0.19%,$ 15.57
2011-07-13-ctrp,3.22%,$ 44.50
2011-07-13-ctsh,0.65%,$ 74.02
2011-07-13-ctxs,0.64%,$ 75.88
2011-07-13-dell,0.12%,$ 16.53
2011-07-13-dltr,0.04%,$ 69.18
2011-07-13-dtv,0.78%,$ 52.83
2011-07-13-ebay,0.37%,$ 32.38
2011-07-13-erts,1.08%,$ 23.91
2011-07-13-esrx,0.41%,$ 53.17
2011-07-13-expd,0.02%,$ 50.58
2011-07-13-expe,0.13%,$ 30.61
2011-07-13-fast,0.06%,$ 34.50
2011-07-13-ffiv,2.1%,$ 112.72
2011-07-13-fisv,0.05%,$ 62.69
2011-07-13-flex,1.91%,$ 6.40
2011-07-13-flir,0.03%,$ 32.66
2011-07-13-fslr,0.98%,$ 125.18
2011-07-13-gild,0.14%,$ 41.61
2011-07-13-gmcr,0.86%,$ 90.53
2011-07-13-goog,0.8%,$ 538.26
2011-07-13-grmn,0.24%,$ 32.96
2011-07-13-hpq,0.43%,$ 35.42
2011-07-13-hsic,0.6%,$ 73.88
2011-07-13-ilmn,0.56%,$ 74.01
2011-07-13-infy,0.29%,$ 61.26
2011-07-13-intc,0.13%,$ 22.48
2011-07-13-intu,0.8%,$ 49.86
2011-07-13-isrg,0.65%,$ 359.40
2011-07-13-joyg,1.16%,$ 94.87
2011-07-13-klac,0.77%,$ 41.63
2011-07-13-life,0.2%,$ 50.50
2011-07-13-linta,0.31%,$ 17.58
2011-07-13-lltc,1.09%,$ 30.84
2011-07-13-lrcx,0.16%,$ 42.68
2011-07-13-mat,0.92%,$ 27.03
2011-07-13-mchp,1.58%,$ 32.41
2011-07-13-mrvl,0.61%,$ 14.72
2011-07-13-msft,0.34%,$ 26.63
2011-07-13-mu,2.46%,$ 7.49
2011-07-13-mxim,0.59%,$ 23.85
2011-07-13-myl,0.46%,$ 24.02
2011-07-13-nflx,2.56%,$ 298.73
2011-07-13-nihd,2.38%,$ 43.51
2011-07-13-ntap,1.42%,$ 51.23
2011-07-13-nvda,0.2%,$ 14.66
2011-07-13-nwsa,3.78%,$ 15.93
2011-07-13-orcl,0.28%,$ 32.69
2011-07-13-orly,0.46%,$ 64.34
2011-07-13-payx,0.68%,$ 30.70
2011-07-13-pcar,0.55%,$ 50.26
2011-07-13-pcln,0.7%,$ 532.27
2011-07-13-qcom,0.76%,$ 56.09
2011-07-13-qgen,0.05%,$ 18.23
2011-07-13-rimm,1.16%,$ 28.15
2011-07-13-rost,0.38%,$ 78.52
2011-07-13-sbux,0.03%,$ 39.58
2011-07-13-shld,0.82%,$ 75.26
2011-07-13-sial,0.12%,$ 73.80
2011-07-13-sndk,1.7%,$ 41.88
2011-07-13-spls,0.39%,$ 15.49
2011-07-13-srcl,0.18%,$ 91.49
2011-07-13-stx,1.42%,$ 16.83
2011-07-13-symc,0.21%,$ 19.27
2011-07-13-teva,0.35%,$ 49.23
2011-07-13-urbn,0.47%,$ 31.85
2011-07-13-vmed,0.24%,$ 27.72
2011-07-13-vod,0.54%,$ 26.04
2011-07-13-vrsn,0.48%,$ 33.40
2011-07-13-vrtx,0.16%,$ 51.49
2011-07-13-wcrx,1.28%,$ 23.89
2011-07-13-wfm,1.26%,$ 65.71
2011-07-13-wynn,0.33%,$ 156.35
2011-07-13-xlnx,1.14%,$ 33.92
2011-07-13-xray,0.62%,$ 39.25
2011-07-13-yhoo,0.34%,$ 14.91
2011-07-14-aapl,0.07%,$ 357.77
2011-07-14-adbe,2.39%,$ 29.35
2011-07-14-adp,0.75%,$ 53.29
2011-07-14-adsk,2.44%,$ 36.35
2011-07-14-akam,4.3%,$ 29.62
2011-07-14-altr,2.47%,$ 42.58
2011-07-14-alxn,0.04%,$ 51.27
2011-07-14-amat,1.37%,$ 12.27
2011-07-14-amgn,1.64%,$ 55.68
2011-07-14-amzn,1.46%,$ 210.38
2011-07-14-apol,1.36%,$ 49.14
2011-07-14-atvi,0.5%,$ 11.84
2011-07-14-bbby,1.06%,$ 58.81
2011-07-14-bidu,1.03%,$ 140.82
2011-07-14-biib,2.01%,$ 103.19
2011-07-14-bmc,2.39%,$ 52.62
2011-07-14-brcm,1.26%,$ 32.88
2011-07-14-ca,1.43%,$ 22.11
2011-07-14-celg,0.82%,$ 60.58
2011-07-14-cern,1.21%,$ 61.80
2011-07-14-chkp,1.51%,$ 56.59
2011-07-14-chrw,0.85%,$ 78.92
2011-07-14-cmcsa,0.59%,$ 24.425
2011-07-14-cost,0.63%,$ 80.33
2011-07-14-csco,0.9%,$ 15.43
2011-07-14-ctrp,,$ 44.50
2011-07-14-ctsh,1.41%,$ 72.98
2011-07-14-ctxs,1.95%,$ 74.40
2011-07-14-dell,0.97%,$ 16.69
2011-07-14-dltr,0.38%,$ 68.92
2011-07-14-dtv,1.31%,$ 52.14
2011-07-14-ebay,0.59%,$ 32.19
2011-07-14-erts,1.67%,$ 23.51
2011-07-14-esrx,1.32%,$ 52.47
2011-07-14-expd,1.36%,$ 49.89
2011-07-14-expe,1.31%,$ 30.21
2011-07-14-fast,0.75%,$ 34.24
2011-07-14-ffiv,1.56%,$ 110.96
2011-07-14-fisv,1.12%,$ 61.99
2011-07-14-flex,2.03%,$ 6.27
2011-07-14-flir,1.68%,$ 32.11
2011-07-14-fslr,1.59%,$ 123.19
2011-07-14-gild,0.82%,$ 41.27
2011-07-14-gmcr,2.45%,$ 88.31
2011-07-14-goog,1.73%,$ 528.94
2011-07-14-grmn,1.55%,$ 32.45
2011-07-14-hpq,0.99%,$ 35.09
2011-07-14-hsic,1.23%,$ 72.97
2011-07-14-ilmn,0.45%,$ 73.68
2011-07-14-infy,0.16%,$ 61.16
2011-07-14-intc,0.93%,$ 22.27
2011-07-14-intu,1.34%,$ 49.19
2011-07-14-isrg,0.96%,$ 355.96
2011-07-14-joyg,0.57%,$ 95.41
2011-07-14-klac,2.11%,$ 40.75
2011-07-14-life,0.83%,$ 50.08
2011-07-14-linta,1.99%,$ 17.23
2011-07-14-lltc,1.72%,$ 30.31
2011-07-14-lrcx,1.94%,$ 41.85
2011-07-14-mat,0.89%,$ 26.79
2011-07-14-mchp,1.23%,$ 32.01
2011-07-14-mrvl,0.27%,$ 14.68
2011-07-14-msft,0.6%,$ 26.47
2011-07-14-mu,2.67%,$ 7.29
2011-07-14-mxim,1.01%,$ 23.61
2011-07-14-myl,0.67%,$ 23.86
2011-07-14-nflx,4.05%,$ 286.62
2011-07-14-nihd,3.82%,$ 41.85
2011-07-14-ntap,3.12%,$ 49.63
2011-07-14-nvda,3.96%,$ 14.08
2011-07-14-nwsa,3.11%,$ 15.435
2011-07-14-orcl,1.96%,$ 32.05
2011-07-14-orly,1.01%,$ 63.69
2011-07-14-payx,0.62%,$ 30.51
2011-07-14-pcar,2.31%,$ 49.10
2011-07-14-pcln,2.36%,$ 519.72
2011-07-14-qcom,2.09%,$ 54.92
2011-07-14-qgen,0.11%,$ 18.25
2011-07-14-rimm,3.13%,$ 27.27
2011-07-14-rost,0.96%,$ 77.77
2011-07-14-sbux,1.14%,$ 39.13
2011-07-14-shld,1.49%,$ 74.14
2011-07-14-sial,1.07%,$ 73.01
2011-07-14-sndk,1.72%,$ 41.16
2011-07-14-spls,1.87%,$ 15.20
2011-07-14-srcl,1.74%,$ 89.90
2011-07-14-stx,0.89%,$ 16.68
2011-07-14-symc,1.56%,$ 18.97
2011-07-14-teva,1.63%,$ 48.43
2011-07-14-urbn,1.73%,$ 31.30
2011-07-14-vmed,0.14%,$ 27.68
2011-07-14-vod,1%,$ 25.78
2011-07-14-vrsn,1.83%,$ 32.79
2011-07-14-vrtx,2.25%,$ 50.33
2011-07-14-wcrx,0.17%,$ 23.93
2011-07-14-wfm,2.45%,$ 64.10
2011-07-14-wynn,1.55%,$ 158.78
2011-07-14-xlnx,1.15%,$ 33.53
2011-07-14-xray,0.25%,$ 39.15
2011-07-14-yhoo,1.88%,$ 14.63
2011-07-15-aapl,2%,$ 364.92
2011-07-15-adbe,0.2%,$ 29.29
2011-07-15-adp,0.34%,$ 53.11
2011-07-15-adsk,0.55%,$ 36.15
2011-07-15-akam,0.78%,$ 29.85
2011-07-15-altr,0.21%,$ 42.67
2011-07-15-alxn,2.15%,$ 52.37
2011-07-15-amat,1.47%,$ 12.45
2011-07-15-amgn,1.13%,$ 55.05
2011-07-15-amzn,1.18%,$ 212.87
2011-07-15-apol,0.98%,$ 49.62
2011-07-15-atvi,0.59%,$ 11.91
2011-07-15-bbby,0.26%,$ 58.66
2011-07-15-bidu,4.34%,$ 146.93
2011-07-15-biib,0.78%,$ 104
2011-07-15-bmc,0.06%,$ 52.65
2011-07-15-brcm,1.19%,$ 33.27
2011-07-15-ca,0.59%,$ 21.98
2011-07-15-celg,0.15%,$ 60.67
2011-07-15-cern,0.16%,$ 61.90
2011-07-15-chkp,0.02%,$ 56.58
2011-07-15-chrw,0.46%,$ 78.56
2011-07-15-cmcsa,1.21%,$ 24.13
2011-07-15-cost,0.58%,$ 79.865
2011-07-15-csco,1.04%,$ 15.59
2011-07-15-ctrp,0.99%,$ 44.06
2011-07-15-ctsh,1.48%,$ 74.06
2011-07-15-ctxs,2.78%,$ 76.47
2011-07-15-dell,1.68%,$ 16.97
2011-07-15-dltr,0.13%,$ 68.83
2011-07-15-dtv,0.02%,$ 52.15
2011-07-15-ebay,1.93%,$ 32.81
2011-07-15-erts,0.38%,$ 23.60
2011-07-15-esrx,0.97%,$ 51.96
2011-07-15-expd,0.88%,$ 49.45
2011-07-15-expe,0.17%,$ 30.26
2011-07-15-fast,0.18%,$ 34.30
2011-07-15-ffiv,2.69%,$ 113.94
2011-07-15-fisv,1%,$ 61.37
2011-07-15-flex,2.07%,$ 6.14
2011-07-15-flir,9.93%,$ 28.92
2011-07-15-fslr,1.18%,$ 124.64
2011-07-15-gild,0.65%,$ 41
2011-07-15-gmcr,1.98%,$ 90.06
2011-07-15-goog,12.98%,$ 597.62
2011-07-15-grmn,0.68%,$ 32.23
2011-07-15-hpq,0.14%,$ 35.08
2011-07-15-hsic,0.22%,$ 73.13
2011-07-15-ilmn,1.17%,$ 72.82
2011-07-15-infy,0.38%,$ 61.39
2011-07-15-intc,0.45%,$ 22.37
2011-07-15-intu,0.33%,$ 49.35
2011-07-15-isrg,0.8%,$ 358.79
2011-07-15-joyg,1.99%,$ 97.31
2011-07-15-klac,0.49%,$ 40.95
2011-07-15-life,0.22%,$ 50.19
2011-07-15-linta,0.46%,$ 17.15
2011-07-15-lltc,0.56%,$ 30.48
2011-07-15-lrcx,0.5%,$ 42.06
2011-07-15-mat,1.87%,$ 27.29
2011-07-15-mchp,1.03%,$ 32.34
2011-07-15-mrvl,1.29%,$ 14.87
2011-07-15-msft,1.17%,$ 26.78
2011-07-15-mu,1.65%,$ 7.41
2011-07-15-mxim,0.47%,$ 23.50
2011-07-15-myl,1.22%,$ 23.57
2011-07-15-nflx,0.11%,$ 286.93
2011-07-15-nihd,0.5%,$ 41.64
2011-07-15-ntap,2.08%,$ 50.66
2011-07-15-nvda,0.14%,$ 14.10
2011-07-15-nwsa,1.33%,$ 15.64
2011-07-15-orcl,0.12%,$ 32.09
2011-07-15-orly,0.94%,$ 63.09
2011-07-15-payx,1.44%,$ 30.07
2011-07-15-pcar,0.37%,$ 49.28
2011-07-15-pcln,0.53%,$ 522.50
2011-07-15-qcom,0.07%,$ 54.96
2011-07-15-qgen,0.16%,$ 18.28
2011-07-15-rimm,0.92%,$ 27.52
2011-07-15-rost,0.13%,$ 77.67
2011-07-15-sbux,1.71%,$ 39.80
2011-07-15-shld,0.12%,$ 74.23
2011-07-15-sial,0.29%,$ 73.22
2011-07-15-sndk,1.12%,$ 41.62
2011-07-15-spls,,$ 15.20
2011-07-15-srcl,1.12%,$ 90.91
2011-07-15-stx,0.78%,$ 16.81
2011-07-15-symc,,$ 18.97
2011-07-15-teva,0.95%,$ 47.97
2011-07-15-urbn,0.35%,$ 31.41
2011-07-15-vmed,0.58%,$ 27.52
2011-07-15-vod,0.04%,$ 25.77
2011-07-15-vrsn,2.65%,$ 33.66
2011-07-15-vrtx,0.7%,$ 50.68
2011-07-15-wcrx,0.17%,$ 23.97
2011-07-15-wfm,0.66%,$ 64.52
2011-07-15-wynn,2.42%,$ 162.62
2011-07-15-xlnx,0.15%,$ 33.48
2011-07-15-xray,0.28%,$ 39.26
2011-07-15-yhoo,0.41%,$ 14.69
