aa	AA-2312-DFW-DTW	December 15, 2011               08:25 PM    	December 15, 2011     	 A34	December 15, 2011               11:50 PM    	December 15, 2011     	 D32    
flightexplorer	AA-18-SFO-JFK		12/14/2011 11:23PM PST			12/15/2011 6:58AM EST	
flightexplorer	AA-18-SFO-JFK	12/15/2011 11:00PM PST			12/16/2011 7:25AM EST		
airtravelcenter	AA-18-SFO-JFK		12/15/11 11:23 PM (-08:00)			12/16/11 7:07 AM (-05:00)	
myrateplan	AA-18-SFO-JFK		12/15/11 11:23 PM (-08:00)			12/16/11 7:07 AM (-05:00)	
helloflight	AA-18-SFO-JFK		12/15/11 11:23 PM (-08:00)			12/16/11 7:07 AM (-05:00)	
flytecomm	AA-18-SFO-JFK		12/15/11 11:23 PM (-08:00)			12/16/11 7:07 AM (-05:00)	
flightaware	AA-18-SFO-JFK	2011-12-15 11:00PM PST	2011-12-15 11:22PM PST	 56A 	2011-12-15 07:02AM EST	2011-12-15 07:13AM EST	 38 
wunderground	AA-18-SFO-JFK	2011-12-15 11:00PM PST	2011-12-15 11:22PM PST	 56A 	2011-12-15 07:02AM EST	2011-12-15 07:13AM EST	 38 
flights	AA-18-SFO-JFK	11:00 PM  Thu 15-Dec-2011			07:25 AM  Fri 16-Dec-2011		
businesstravellogue	AA-18-SFO-JFK	11:00 PM  Thu 15-Dec-2011			07:25 AM  Fri 16-Dec-2011		
flylouisville	AA-18-SFO-JFK	11:00 PM  Thu 15-Dec-2011			07:25 AM  Fri 16-Dec-2011		
flightstats	AA-18-SFO-JFK	2011-12-15 11:00 PM	2011-12-15 11:23 PM (Estimated runway)		2011-12-15 7:25 AM	2011-12-15 7:07 AM (Estimated runway)	
quicktrip	AA-18-SFO-JFK	2011-12-15 11:00 PM	2011-12-15 11:23 PM (Estimated runway)		2011-12-15 7:25 AM	2011-12-15 7:07 AM (Estimated runway)	
world-flight-tracker	AA-18-SFO-JFK	2011-12-15 11:00 PM	2011-12-15 11:23 PM (Estimated runway)		2011-12-15 7:25 AM	2011-12-15 7:07 AM (Estimated runway)	
flightview	AA-18-SFO-JFK	11:00 PM, Dec 15		Terminal 2 - 56A	7:25 AM, Dec 16		Terminal 8 - 3
panynj	AA-18-SFO-JFK	11:00 PM, Dec 15		Terminal 2 - 56A	7:25 AM, Dec 16		Terminal 8 - 3
gofox	AA-18-SFO-JFK	11:00 PM, Dec 15			7:25 AM, Dec 16		
foxbusiness	AA-18-SFO-JFK	11:00 PM, Dec 15		Terminal 2 - 56A	7:25 AM, Dec 16		Terminal 8 - 3
allegiantair	AA-18-SFO-JFK	11:00 PM, Dec 15		Terminal 2 - 56A	7:25 AM, Dec 16		Terminal 8 - 3
boston	AA-18-SFO-JFK	11:00 PM, Dec 15	Not Available		7:25 AM, Dec 16	Not Available	
travelocity	AA-18-SFO-JFK	Dec 15 - 11:00pm	Dec 15 - Not Available	56A	Dec 16 - 7:25am	Dec 16 - Not Available	3/8
orbitz	AA-18-SFO-JFK	11:00pDec 15		 56A	7:25aDec 16		 3
weather	AA-18-SFO-JFK	2011-12-15 11:00 PM	2011-12-15 11:23 PM		2011-12-15 07:25 AM	2011-12-15 07:09 AM	
ifly	AA-18-SFO-JFK	2011-12-15 11:00 PM	2011-12-15 11:23 PM (Estimated runway)		2011-12-15 7:25 AM	2011-12-15 7:07 AM (Estimated runway)	
ua	UA-5812-ORD-BHM	Thu, Dec 15 7:32 PM	Thu, Dec 15 7:32 PM            On Time	F5	Thu, Dec 15 9:25 PM	Thu, Dec 15 9:25 PM	--
airtravelcenter	UA-5812-ORD-BHM	12/15/11 7:32 PM (-06:00)			12/15/11 9:25 PM (-06:00)		
myrateplan	UA-5812-ORD-BHM	12/15/11 7:32 PM (-06:00)			12/15/11 9:25 PM (-06:00)		
helloflight	UA-5812-ORD-BHM	12/15/11 7:32 PM (-06:00)			12/15/11 9:25 PM (-06:00)		
flytecomm	UA-5812-ORD-BHM	12/15/11 7:32 PM (-06:00)			12/15/11 9:25 PM (-06:00)		
flights	UA-5812-ORD-BHM	2011-12-15 07:32 PM		F5	2011-12-15 09:25 PM		
businesstravellogue	UA-5812-ORD-BHM	2011-12-15 07:32 PM		F5	2011-12-15 09:25 PM		
flylouisville	UA-5812-ORD-BHM	2011-12-15 07:32 PM		F5	2011-12-15 09:25 PM		
flightview	UA-5812-ORD-BHM	7:32 PMDec 15			9:25 PMDec 15		
panynj	UA-5812-ORD-BHM	7:32 PMDec 15			9:25 PMDec 15		
gofox	UA-5812-ORD-BHM	7:32 PMDec 15			9:25 PMDec 15		
foxbusiness	UA-5812-ORD-BHM	7:32 PMDec 15			9:25 PMDec 15		
allegiantair	UA-5812-ORD-BHM	7:32 PMDec 15			9:25 PMDec 15		
boston	UA-5812-ORD-BHM	7:32 PMDec 15			9:25 PMDec 15		
orbitz	UA-5812-ORD-BHM	7:32pDec 15		 F5	9:25pDec 15		 -
weather	UA-5812-ORD-BHM	2011-12-15 07:32 PM			2011-12-15 09:25 PM		
usatoday	UA-5812-ORD-BHM	7:32 PMDec 15			9:25 PMDec 15		
ua	UA-1500-FLL-IAH	Thu, Dec 15 6:00 AM	Thu, Dec 15 5:56 AM	C7	Thu, Dec 15 7:55 AM	Thu, Dec 15 7:29 AM	C-41
airtravelcenter	UA-1500-FLL-IAH		12/15/11 6:10 AM (-05:00)			12/15/11 7:23 AM (-06:00)	
myrateplan	UA-1500-FLL-IAH		12/15/11 6:10 AM (-05:00)			12/15/11 7:23 AM (-06:00)	
helloflight	UA-1500-FLL-IAH		12/15/11 6:10 AM (-05:00)			12/15/11 7:23 AM (-06:00)	
flytecomm	UA-1500-FLL-IAH		12/15/11 6:10 AM (-05:00)			12/15/11 7:23 AM (-06:00)	
flights	UA-1500-FLL-IAH		2011-12-15 05:56 AM	C7		2011-12-15 07:29 AM	41
businesstravellogue	UA-1500-FLL-IAH		2011-12-15 05:56 AM	C7		2011-12-15 07:29 AM	41
flylouisville	UA-1500-FLL-IAH		2011-12-15 05:56 AM	C7		2011-12-15 07:29 AM	41
flightview	UA-1500-FLL-IAH		6:10 AMDec 15			7:29 AMDec 15	
panynj	UA-1500-FLL-IAH		6:10 AMDec 15			7:29 AMDec 15	
gofox	UA-1500-FLL-IAH		6:10 AMDec 15			7:29 AMDec 15	
foxbusiness	UA-1500-FLL-IAH		6:10 AMDec 15			7:29 AMDec 15	
allegiantair	UA-1500-FLL-IAH		6:10 AMDec 15			7:29 AMDec 15	
boston	UA-1500-FLL-IAH		6:10 AMDec 15			7:22 AMDec 15	
travelocity	UA-1500-FLL-IAH	Dec 15 - 6:00am	Dec 15 - Contact Airline	Not provided by airline	Dec 15 - 7:55am	Dec 15 - Contact Airline	Not provided by airline
orbitz	UA-1500-FLL-IAH	6:00aDec 15	5:56aDec 15	 C7	7:55aDec 15	7:29aDec 15	 C-41
weather	UA-1500-FLL-IAH	2011-12-15 06:00 AM	2011-12-15 06:10 AM		2011-12-15 07:55 AM	2011-12-15 07:20 AM	
usatoday	UA-1500-FLL-IAH	2011-12-15 06:00 AM	2011-12-15 06:10 AM		2011-12-15 07:55 AM	2011-12-15 07:20 AM	
flightarrival	UA-1500-FLL-IAH	2011-12-15 06:00 AM	2011-12-15 06:10 AM		2011-12-15 07:55 AM	2011-12-15 07:20 AM	
ua	UA-5516-LAX-FAT	Thu, Dec 15 12:58 PM	Thu, Dec 15 12:58 PM	71A1	Thu, Dec 15 2:15 PM	Thu, Dec 15 2:15 PM	--
airtravelcenter	UA-5516-LAX-FAT		12/15/11 1:10 PM (-08:00)			12/15/11 1:58 PM (-08:00)	
myrateplan	UA-5516-LAX-FAT		12/15/11 1:10 PM (-08:00)			12/15/11 1:58 PM (-08:00)	
helloflight	UA-5516-LAX-FAT		12/15/11 1:10 PM (-08:00)			12/15/11 1:58 PM (-08:00)	
flytecomm	UA-5516-LAX-FAT		12/15/11 1:10 PM (-08:00)			12/15/11 1:58 PM (-08:00)	
flightaware	UA-5516-LAX-FAT	2011-12-15 12:58PM PST	2011-12-15 01:10PM PST	 71A1 	2011-12-15 01:46PM PST	2011-12-15 01:58PM PST	
wunderground	UA-5516-LAX-FAT	2011-12-15 12:58PM PST	2011-12-15 01:10PM PST	 71A1 	2011-12-15 01:46PM PST	2011-12-15 01:58PM PST	
flights	UA-5516-LAX-FAT	12:58 PM  Thu 15-Dec-2011			02:15 PM  Thu 15-Dec-2011		
businesstravellogue	UA-5516-LAX-FAT	12:58 PM  Thu 15-Dec-2011			02:15 PM  Thu 15-Dec-2011		
flylouisville	UA-5516-LAX-FAT	12:58 PM  Thu 15-Dec-2011			02:15 PM  Thu 15-Dec-2011		
world-flight-tracker	UA-5516-LAX-FAT	2011-12-15 12:58 PM	2011-12-15 12:58 PM (Estimated)		2011-12-15 2:15 PM	2011-12-15 2:15 PM (Estimated)	
flightview	UA-5516-LAX-FAT	12:58 PM, Dec 15			2:15 PM, Dec 15		
panynj	UA-5516-LAX-FAT	12:58 PM, Dec 15			2:15 PM, Dec 15		
gofox	UA-5516-LAX-FAT	12:58 PM, Dec 15			2:15 PM, Dec 15		
foxbusiness	UA-5516-LAX-FAT	12:58 PM, Dec 15			2:15 PM, Dec 15		
allegiantair	UA-5516-LAX-FAT	12:58 PM, Dec 15			2:15 PM, Dec 15		
boston	UA-5516-LAX-FAT	12:58 PM, Dec 15	Not Available		2:15 PM, Dec 15	Not Available	
travelocity	UA-5516-LAX-FAT	Dec 15 - 12:58pm	Dec 15 - Not Available	71A	Dec 15 - 2:15pm	Dec 15 - Not Available	CHK
orbitz	UA-5516-LAX-FAT	12:58pDec 15		 71A1	2:15pDec 15		 -
weather	UA-5516-LAX-FAT	2011-12-15 12:58 PM			2011-12-15 02:15 PM		
usatoday	UA-5516-LAX-FAT	2011-12-15 12:58 PM			2011-12-15 02:15 PM		
flightwise	UA-5516-LAX-FAT	2011-12-15 12:58PM PST	2011-12-15 01:10PM PST	 71A1 	2011-12-15 01:46PM PST	2011-12-15 01:58PM PST	
aa	AA-1434-DFW-MCO	December 15, 2011               07:15 AM    	December 15, 2011               07:20 AM    	 C20	December 15, 2011               10:35 AM    	December 15, 2011               10:43 AM    	 17    
flightexplorer	AA-1434-DFW-MCO		12/15/2011 7:34AM CST			12/15/2011 10:42AM EST	
airtravelcenter	AA-1434-DFW-MCO		12/15/11 7:32 AM (-06:00)			12/15/11 10:42 AM (-05:00)	
myrateplan	AA-1434-DFW-MCO		12/15/11 7:32 AM (-06:00)			12/15/11 10:42 AM (-05:00)	
helloflight	AA-1434-DFW-MCO		12/15/11 7:32 AM (-06:00)			12/15/11 10:42 AM (-05:00)	
flytecomm	AA-1434-DFW-MCO		12/15/11 7:32 AM (-06:00)			12/15/11 10:42 AM (-05:00)	
flightaware	AA-1434-DFW-MCO	2011-12-15 07:15AM CST	2011-12-15 07:34AM CST	 C20 	2011-12-15 10:25AM EST	2011-12-15 10:37AM EST	 17 
wunderground	AA-1434-DFW-MCO	2011-12-15 07:15AM CST	2011-12-15 07:34AM CST	 C20 	2011-12-15 10:25AM EST	2011-12-15 10:37AM EST	 17 
flights	AA-1434-DFW-MCO	07:15 AM  Thu 15-Dec-2011	07:20 AM  Thu 15-Dec-2011	C20	10:35 AM  Thu 15-Dec-2011	10:43 AM  Thu 15-Dec-2011	17
businesstravellogue	AA-1434-DFW-MCO	07:15 AM  Thu 15-Dec-2011	07:20 AM  Thu 15-Dec-2011	C20	10:35 AM  Thu 15-Dec-2011	10:43 AM  Thu 15-Dec-2011	17
flylouisville	AA-1434-DFW-MCO	07:15 AM  Thu 15-Dec-2011	07:20 AM  Thu 15-Dec-2011	C20	10:35 AM  Thu 15-Dec-2011	10:43 AM  Thu 15-Dec-2011	17
flightstats	AA-1434-DFW-MCO	2011-12-15 7:15 AM	2011-12-15 7:20 AM		2011-12-15 10:35 AM	2011-12-15 10:43 AM	
quicktrip	AA-1434-DFW-MCO	2011-12-15 7:15 AM	2011-12-15 7:20 AM		2011-12-15 10:35 AM	2011-12-15 10:43 AM	
world-flight-tracker	AA-1434-DFW-MCO	2011-12-15 7:15 AM	2011-12-15 7:20 AM		2011-12-15 10:35 AM	2011-12-15 10:43 AM	
flightview	AA-1434-DFW-MCO	7:15 AM, Dec 15	7:33 AM, Dec 15	C20	10:35 AM, Dec 15	10:38 AM, Dec 15	17
panynj	AA-1434-DFW-MCO	7:15 AM, Dec 15	7:33 AM, Dec 15	C20	10:35 AM, Dec 15	10:38 AM, Dec 15	17
gofox	AA-1434-DFW-MCO	7:15 AM, Dec 15	7:33 AM, Dec 15		10:35 AM, Dec 15	10:38 AM, Dec 15	
foxbusiness	AA-1434-DFW-MCO	7:15 AM, Dec 15	7:33 AM, Dec 15	C20	10:35 AM, Dec 15	10:38 AM, Dec 15	17
allegiantair	AA-1434-DFW-MCO	7:15 AM, Dec 15	7:33 AM, Dec 15	C20	10:35 AM, Dec 15	10:38 AM, Dec 15	17
boston	AA-1434-DFW-MCO	7:15 AM, Dec 15	7:33 AM, Dec 15		10:35 AM, Dec 15	10:38 AM, Dec 15	
travelocity	AA-1434-DFW-MCO	Dec 15 - 7:15am	Dec 15 - 7:20am	C20/C	Dec 15 - 10:35am	Dec 15 - 10:43am	17
orbitz	AA-1434-DFW-MCO	7:15aDec 15	7:20aDec 15	 C20	10:35aDec 15	10:43aDec 15	 17
weather	AA-1434-DFW-MCO	2011-12-15 07:15 AM	2011-12-15 07:34 AM		2011-12-15 10:35 AM	2011-12-15 10:44 AM	
mco	AA-1434-DFW-MCO				2011-12-15 Thu  10:35		17?
mytripandmore	AA-1434-DFW-MCO	7:15aDec 15	7:20aDec 15	 C20	10:35aDec 15	10:43aDec 15	 17
flightwise	AA-1434-DFW-MCO	2011-12-15 07:15AM CST	2011-12-15 07:34AM CST	 C20 	2011-12-15 10:25AM EST	2011-12-15 10:37AM EST	 17 
ua	UA-5293-LAX-IPL	Thu, Dec 15 9:15 PM	Thu, Dec 15 9:15 PM            On Time	71A1	Thu, Dec 15 10:14 PM	Thu, Dec 15 10:14 PM	--
airtravelcenter	UA-5293-LAX-IPL	12/15/11 9:15 PM (-08:00)			12/15/11 10:14 PM (-08:00)		
myrateplan	UA-5293-LAX-IPL	12/15/11 9:15 PM (-08:00)			12/15/11 10:14 PM (-08:00)		
helloflight	UA-5293-LAX-IPL	12/15/11 9:15 PM (-08:00)			12/15/11 10:14 PM (-08:00)		
flytecomm	UA-5293-LAX-IPL	12/15/11 9:15 PM (-08:00)			12/15/11 10:14 PM (-08:00)		
flights	UA-5293-LAX-IPL	2011-12-15 09:15 PM		71A	2011-12-15 10:14 PM		
businesstravellogue	UA-5293-LAX-IPL	2011-12-15 09:15 PM		71A	2011-12-15 10:14 PM		
flylouisville	UA-5293-LAX-IPL	2011-12-15 09:15 PM		71A	2011-12-15 10:14 PM		
flightview	UA-5293-LAX-IPL	9:15 PMDec 15			10:14 PMDec 15		
panynj	UA-5293-LAX-IPL	9:15 PMDec 15			10:14 PMDec 15		
gofox	UA-5293-LAX-IPL	9:15 PMDec 15			10:14 PMDec 15		
foxbusiness	UA-5293-LAX-IPL	9:15 PMDec 15			10:14 PMDec 15		
allegiantair	UA-5293-LAX-IPL	9:15 PMDec 15			10:14 PMDec 15		
boston	UA-5293-LAX-IPL	9:15 PMDec 15			10:14 PMDec 15		
orbitz	UA-5293-LAX-IPL	9:15pDec 15		 71A	10:14pDec 15		 -
mytripandmore	UA-5293-LAX-IPL	9:15pDec 15		 71A	10:14pDec 15		 -
flightarrival	UA-5293-LAX-IPL	9:15 PMDec 15			10:14 PMDec 15		
aa	AA-643-MIA-ORD	December 15, 2011               07:10 AM    	December 15, 2011               07:08 AM    	 D3	December 15, 2011               09:35 AM    	December 15, 2011               09:18 AM    	 H15    
airtravelcenter	AA-643-MIA-ORD		12/15/11 7:21 AM (-05:00)			12/15/11 9:13 AM (-06:00)	
myrateplan	AA-643-MIA-ORD		12/15/11 7:21 AM (-05:00)			12/15/11 9:13 AM (-06:00)	
helloflight	AA-643-MIA-ORD		12/15/11 7:21 AM (-05:00)			12/15/11 9:13 AM (-06:00)	
flytecomm	AA-643-MIA-ORD		12/15/11 7:21 AM (-05:00)			12/15/11 9:13 AM (-06:00)	
flightaware	AA-643-MIA-ORD	2011-12-15 07:10AM EST	2011-12-15 07:21AM EST	 D3 	2011-12-15 09:21AM CST	2011-12-15 09:10AM CST	 H15 
wunderground	AA-643-MIA-ORD	2011-12-15 07:10AM EST	2011-12-15 07:21AM EST	 D3 	2011-12-15 09:21AM CST	2011-12-15 09:10AM CST	 H15 
flights	AA-643-MIA-ORD	07:10 AM  Thu 15-Dec-2011	07:08 AM  Thu 15-Dec-2011	D3	09:35 AM  Thu 15-Dec-2011	09:18 AM  Thu 15-Dec-2011	H15
businesstravellogue	AA-643-MIA-ORD	07:10 AM  Thu 15-Dec-2011	07:08 AM  Thu 15-Dec-2011	D3	09:35 AM  Thu 15-Dec-2011	09:18 AM  Thu 15-Dec-2011	H15
flylouisville	AA-643-MIA-ORD	07:10 AM  Thu 15-Dec-2011	07:08 AM  Thu 15-Dec-2011	D3	09:35 AM  Thu 15-Dec-2011	09:18 AM  Thu 15-Dec-2011	H15
flightstats	AA-643-MIA-ORD	2011-12-15 7:10 AM	2011-12-15 7:08 AM		2011-12-15 9:35 AM	2011-12-15 9:18 AM	
quicktrip	AA-643-MIA-ORD	2011-12-15 7:10 AM	2011-12-15 7:08 AM		2011-12-15 9:35 AM	2011-12-15 9:18 AM	
world-flight-tracker	AA-643-MIA-ORD	2011-12-15 7:10 AM	2011-12-15 7:08 AM		2011-12-15 9:35 AM	2011-12-15 9:18 AM	
flightview	AA-643-MIA-ORD	7:10 AM, Dec 15	7:21 AM, Dec 15	Terminal D - D3	9:35 AM, Dec 15	9:15 AM, Dec 15	H15
panynj	AA-643-MIA-ORD	7:10 AM, Dec 15	7:21 AM, Dec 15	Terminal D - D3	9:35 AM, Dec 15	9:15 AM, Dec 15	H15
gofox	AA-643-MIA-ORD	7:10 AM, Dec 15	7:21 AM, Dec 15		9:35 AM, Dec 15	9:15 AM, Dec 15	
foxbusiness	AA-643-MIA-ORD	7:10 AM, Dec 15	7:21 AM, Dec 15	Terminal D - D3	9:35 AM, Dec 15	9:15 AM, Dec 15	H15
allegiantair	AA-643-MIA-ORD	7:10 AM, Dec 15	7:21 AM, Dec 15	Terminal D - D3	9:35 AM, Dec 15	9:15 AM, Dec 15	H15
boston	AA-643-MIA-ORD	7:10 AM, Dec 15	7:21 AM, Dec 15		9:35 AM, Dec 15	9:15 AM, Dec 15	
travelocity	AA-643-MIA-ORD	Dec 15 - 7:10am	Dec 15 - 7:08am	D3	Dec 15 - 9:35am	Dec 15 - 9:18am	H15/T3
orbitz	AA-643-MIA-ORD	7:10aDec 15	7:08aDec 15	 D3	9:35aDec 15	9:18aDec 15	 H15
weather	AA-643-MIA-ORD	2011-12-15 07:10 AM	2011-12-15 07:21 AM		2011-12-15 09:35 AM	2011-12-15 09:09 AM	
ord	AA-643-MIA-ORD	2011-12-15 7:10 AM		D3	2011-12-15 9:35 AM		H15
mytripandmore	AA-643-MIA-ORD	7:10aDec 15	7:08aDec 15	 D3	9:35aDec 15	9:18aDec 15	 H15
ua	UA-1500-IAH-GUA	Thu, Dec 15 8:50 AM	Thu, Dec 15 9:15 AM            Delayed	E23	Thu, Dec 15 11:43 AM	Thu, Dec 15 12:32 PM	--
airtravelcenter	UA-1500-IAH-GUA		12/15/11 10:01 AM (-06:00)			12/15/11 12:22 PM (-06:00)	
myrateplan	UA-1500-IAH-GUA		12/15/11 10:01 AM (-06:00)			12/15/11 12:22 PM (-06:00)	
helloflight	UA-1500-IAH-GUA		12/15/11 10:01 AM (-06:00)			12/15/11 12:22 PM (-06:00)	
flytecomm	UA-1500-IAH-GUA		12/15/11 10:01 AM (-06:00)			12/15/11 12:22 PM (-06:00)	
flights	UA-1500-IAH-GUA		2011-12-15 09:15 AM	23		2011-12-15 11:43 AM	HOLD
businesstravellogue	UA-1500-IAH-GUA		2011-12-15 09:15 AM	23		2011-12-15 11:43 AM	HOLD
flylouisville	UA-1500-IAH-GUA		2011-12-15 09:15 AM	23		2011-12-15 11:43 AM	HOLD
flightview	UA-1500-IAH-GUA		10:01 AMDec 15			12:32 PMDec 15	
panynj	UA-1500-IAH-GUA		10:01 AMDec 15			12:32 PMDec 15	
gofox	UA-1500-IAH-GUA		10:01 AMDec 15			12:32 PMDec 15	
foxbusiness	UA-1500-IAH-GUA		10:01 AMDec 15			12:32 PMDec 15	
allegiantair	UA-1500-IAH-GUA		10:01 AMDec 15			12:32 PMDec 15	
boston	UA-1500-IAH-GUA		10:01 AMDec 15			12:32 PMDec 15	
orbitz	UA-1500-IAH-GUA	8:50aDec 15	9:15aDec 15	 E23	1:21pDec 15		 -
ua	UA-4893-EWR-BWI	Thu, Dec 15 9:55 PM	Thu, Dec 15 9:55 PM	C109	Thu, Dec 15 10:59 PM	Thu, Dec 15 10:59 PM	D12
airtravelcenter	UA-4893-EWR-BWI	12/15/11 9:55 PM (-05:00)			12/15/11 10:59 PM (-05:00)		
myrateplan	UA-4893-EWR-BWI	12/15/11 9:55 PM (-05:00)			12/15/11 10:59 PM (-05:00)		
helloflight	UA-4893-EWR-BWI	12/15/11 9:55 PM (-05:00)			12/15/11 10:59 PM (-05:00)		
flytecomm	UA-4893-EWR-BWI	12/15/11 9:55 PM (-05:00)			12/15/11 10:59 PM (-05:00)		
flights	UA-4893-EWR-BWI	09:55 PM  Thu 15-Dec-2011		109	10:59 PM  Thu 15-Dec-2011		D12
businesstravellogue	UA-4893-EWR-BWI	09:55 PM  Thu 15-Dec-2011		109	10:59 PM  Thu 15-Dec-2011		D12
flylouisville	UA-4893-EWR-BWI	09:55 PM  Thu 15-Dec-2011		109	10:59 PM  Thu 15-Dec-2011		D12
world-flight-tracker	UA-4893-EWR-BWI	2011-12-15 9:55 PM	2011-12-15 9:55 PM (Estimated)		2011-12-15 10:59 PM	2011-12-15 10:59 PM (Estimated)	
flightview	UA-4893-EWR-BWI	9:55 PM, Dec 15		Term C - C109	10:59 PM, Dec 15		Main Term - D12
panynj	UA-4893-EWR-BWI	9:55 PM, Dec 15		Term C - C109	10:59 PM, Dec 15		Main Term - D12
gofox	UA-4893-EWR-BWI	9:55 PM, Dec 15			10:59 PM, Dec 15		
foxbusiness	UA-4893-EWR-BWI	9:55 PM, Dec 15		Term C - C109	10:59 PM, Dec 15		Main Term - D12
allegiantair	UA-4893-EWR-BWI	9:55 PM, Dec 15		Term C - C109	10:59 PM, Dec 15		Main Term - D12
boston	UA-4893-EWR-BWI	9:55 PM, Dec 15	Not Available		10:59 PM, Dec 15	Not Available	
travelocity	UA-4893-EWR-BWI	Dec 15 - 9:55pm	Dec 15 - Contact Airline	Not provided by airline	Dec 15 - 10:59pm	Dec 15 - Contact Airline	Not provided by airline
orbitz	UA-4893-EWR-BWI	9:55pDec 15		 C109	10:59pDec 15		 D12
weather	UA-4893-EWR-BWI	2011-12-15 09:55 PM			2011-12-15 10:59 PM		
usatoday	UA-4893-EWR-BWI	2011-12-15 09:55 PM			2011-12-15 10:59 PM		
mytripandmore	UA-4893-EWR-BWI	9:55pDec 15		 C109	10:59pDec 15		 D12
aa	AA-1640-MIA-MCO	December 15, 2011               06:30 PM    	December 15, 2011     	 D43	December 15, 2011               07:25 PM    	December 15, 2011     	 14    
flightexplorer	AA-1640-MIA-MCO	12/15/2011 6:30PM EST			12/15/2011 7:25PM EST		
airtravelcenter	AA-1640-MIA-MCO		12/15/11 6:48 PM (-05:00)			12/15/11 7:26 PM (-05:00)	
myrateplan	AA-1640-MIA-MCO		12/15/11 6:48 PM (-05:00)			12/15/11 7:26 PM (-05:00)	
helloflight	AA-1640-MIA-MCO		12/15/11 6:48 PM (-05:00)			12/15/11 7:26 PM (-05:00)	
flytecomm	AA-1640-MIA-MCO		12/15/11 6:48 PM (-05:00)			12/15/11 7:26 PM (-05:00)	
flightaware	AA-1640-MIA-MCO	2011-12-15 06:30PM EST	2011-12-15 06:40PM EST	 D43 	2011-12-15 07:05PM EST	2011-12-15 07:15PM EST	 14 
wunderground	AA-1640-MIA-MCO	2011-12-15 06:30PM EST	2011-12-15 06:40PM EST	 D43 	2011-12-15 07:05PM EST	2011-12-15 07:15PM EST	 14 
flights	AA-1640-MIA-MCO	06:30 PM  Thu 15-Dec-2011		D43	07:25 PM  Thu 15-Dec-2011		14
businesstravellogue	AA-1640-MIA-MCO	06:30 PM  Thu 15-Dec-2011		D43	07:25 PM  Thu 15-Dec-2011		14
flylouisville	AA-1640-MIA-MCO	06:30 PM  Thu 15-Dec-2011		D43	07:25 PM  Thu 15-Dec-2011		14
flightstats	AA-1640-MIA-MCO	2011-12-15 6:30 PM	2011-12-15 6:30 PM (Estimated)		2011-12-15 7:25 PM	2011-12-15 7:25 PM (Estimated)	
quicktrip	AA-1640-MIA-MCO	2011-12-15 6:30 PM	2011-12-15 6:30 PM (Estimated)		2011-12-15 7:25 PM	2011-12-15 7:25 PM (Estimated)	
world-flight-tracker	AA-1640-MIA-MCO	2011-12-15 6:30 PM	2011-12-15 6:30 PM (Estimated)		2011-12-15 7:25 PM	2011-12-15 7:25 PM (Estimated)	
flightview	AA-1640-MIA-MCO	6:30 PM, Dec 15			7:25 PM, Dec 15		
panynj	AA-1640-MIA-MCO	6:30 PM, Dec 15			7:25 PM, Dec 15		
gofox	AA-1640-MIA-MCO	6:30 PM, Dec 15			7:25 PM, Dec 15		
foxbusiness	AA-1640-MIA-MCO	6:30 PM, Dec 15			7:25 PM, Dec 15		
allegiantair	AA-1640-MIA-MCO	6:30 PM, Dec 15			7:25 PM, Dec 15		
boston	AA-1640-MIA-MCO	6:30 PM, Dec 15	Not Available		7:25 PM, Dec 15	Not Available	
travelocity	AA-1640-MIA-MCO	Dec 15 - 6:30pm	Dec 15 - Not Available	D43	Dec 15 - 7:25pm	Dec 15 - Not Available	14
orbitz	AA-1640-MIA-MCO	6:30pDec 15		 D43	7:25pDec 15		 14
weather	AA-1640-MIA-MCO	2011-12-15 06:30 PM	2011-12-15 06:42 PM		2011-12-15 07:25 PM	2011-12-15 07:19 PM	
mco	AA-1640-MIA-MCO				2011-12-15 Thu  19:25		14?
usatoday	AA-1640-MIA-MCO	6:30 PM, Dec 15	Not Available		7:25 PM, Dec 15	Not Available	
mytripandmore	AA-1640-MIA-MCO	Dec 15 - 6:30pm	Dec 15 - Not Available	D43	Dec 15 - 7:25pm	Dec 15 - Not Available	14
ua	UA-1504-IAH-PHL	Thu, Dec 15 7:31 PM	Thu, Dec 15 7:31 PM            On Time	C-17	Thu, Dec 15 11:42 PM	Thu, Dec 15 11:42 PM	D3
flightexplorer	UA-1504-IAH-PHL	12/15/2011 7:31PM CST			12/15/2011 11:42PM EST		
airtravelcenter	UA-1504-IAH-PHL	12/15/11 7:31 PM (-06:00)			12/15/11 11:42 PM (-05:00)		
myrateplan	UA-1504-IAH-PHL	12/15/11 7:31 PM (-06:00)			12/15/11 11:42 PM (-05:00)		
helloflight	UA-1504-IAH-PHL	12/15/11 7:31 PM (-06:00)			12/15/11 11:42 PM (-05:00)		
flytecomm	UA-1504-IAH-PHL	12/15/11 7:31 PM (-06:00)			12/15/11 11:42 PM (-05:00)		
flights	UA-1504-IAH-PHL	2011-12-15 07:31 PM		17	2011-12-15 11:42 PM		D3
businesstravellogue	UA-1504-IAH-PHL	2011-12-15 07:31 PM		17	2011-12-15 11:42 PM		D3
flylouisville	UA-1504-IAH-PHL	2011-12-15 07:31 PM		17	2011-12-15 11:42 PM		D3
flightview	UA-1504-IAH-PHL	7:31 PMDec 15			11:42 PMDec 15		
panynj	UA-1504-IAH-PHL	7:31 PMDec 15			11:42 PMDec 15		
