ua	UA-3532-ORD-GRR	Wed, Dec 14 4:48 PM		C2	Wed, Dec 14 6:37 PM		--
flightaware	CO-4274-IAH-OMA	2011-12-14 06:31PM CST	2011-12-14 06:41PM CST		2011-12-14 08:24PM CST	2011-12-14 08:34PM CST	
wunderground	CO-4274-IAH-OMA	2011-12-14 06:31PM CST	2011-12-14 06:41PM CST		2011-12-14 08:24PM CST	2011-12-14 08:34PM CST	
wunderground	CO-4274-IAH-OMA	2011-12-14 06:31PM CST	2011-12-14 06:41PM CST		2011-12-14 08:24PM CST	2011-12-14 08:34PM CST	
flights	CO-4274-IAH-OMA	06:31 PM  Wed 14-Dec-2011		84M	08:44 PM  Wed 14-Dec-2011		B14
flights	CO-4274-IAH-OMA	06:31 PM  Wed 14-Dec-2011		81A	08:44 PM  Wed 14-Dec-2011		B14
businesstravellogue	CO-4274-IAH-OMA	06:31 PM  Wed 14-Dec-2011		84M	08:44 PM  Wed 14-Dec-2011		B14
businesstravellogue	CO-4274-IAH-OMA	06:31 PM  Wed 14-Dec-2011		81A	08:44 PM  Wed 14-Dec-2011		B14
flylouisville	CO-4274-IAH-OMA	06:31 PM  Wed 14-Dec-2011		84M	08:44 PM  Wed 14-Dec-2011		B14
flylouisville	CO-4274-IAH-OMA	06:31 PM  Wed 14-Dec-2011		81A	08:44 PM  Wed 14-Dec-2011		B14
flightstats	CO-4274-IAH-OMA	2011-12-14 6:31 PM	2011-12-14 6:31 PM (Estimated)		2011-12-14 8:44 PM	2011-12-14 8:44 PM (Estimated)	
quicktrip	CO-4274-IAH-OMA	2011-12-14 6:31 PM	2011-12-14 6:31 PM (Estimated)		2011-12-14 8:44 PM	2011-12-14 8:44 PM (Estimated)	
world-flight-tracker	CO-4274-IAH-OMA	2011-12-14 6:31 PM	2011-12-14 6:31 PM (Estimated)		2011-12-14 8:44 PM	2011-12-14 8:44 PM (Estimated)	
flightview	CO-4274-IAH-OMA	6:31 PM, Dec 14		Term B - B84M	8:44 PM, Dec 14		Main Term - B14
flightview	CO-4274-IAH-OMA	6:31 PM, Dec 14		Term B - B81A	8:44 PM, Dec 14		Main Term - B14
panynj	CO-4274-IAH-OMA	6:31 PM, Dec 14		Term B - B84M	8:44 PM, Dec 14		Main Term - B14
panynj	CO-4274-IAH-OMA	6:31 PM, Dec 14		Term B - B81A	8:44 PM, Dec 14		Main Term - B14
gofox	CO-4274-IAH-OMA	6:31 PM, Dec 14			8:44 PM, Dec 14		
gofox	CO-4274-IAH-OMA	6:31 PM, Dec 14			8:44 PM, Dec 14		
foxbusiness	CO-4274-IAH-OMA	6:31 PM, Dec 14		Term B - B84M	8:44 PM, Dec 14		Main Term - B14
foxbusiness	CO-4274-IAH-OMA	6:31 PM, Dec 14		Term B - B81A	8:44 PM, Dec 14		Main Term - B14
allegiantair	CO-4274-IAH-OMA	6:31 PM, Dec 14		Term B - B84M	8:44 PM, Dec 14		Main Term - B14
allegiantair	CO-4274-IAH-OMA	6:31 PM, Dec 14		Term B - B81A	8:44 PM, Dec 14		Main Term - B14
boston	CO-4274-IAH-OMA	6:31 PM, Dec 14	Not Available		8:44 PM, Dec 14	Not Available	
travelocity	CO-4274-IAH-OMA	Dec 14 - 6:31pm	Dec 14 - Contact Airline	B84M	Dec 14 - 8:44pm	Dec 14 - Contact Airline	B14
travelocity	CO-4274-IAH-OMA	Dec 14 - 6:31pm	Dec 14 - Contact Airline	B81A	Dec 14 - 8:44pm	Dec 14 - Contact Airline	B14
orbitz	CO-4274-IAH-OMA	6:31pDec 14		 B84M	8:44pDec 14		 B14
orbitz	CO-4274-IAH-OMA	6:31pDec 14		 B81A	8:44pDec 14		 B14
weather	CO-4274-IAH-OMA	2011-12-14 06:31 PM			2011-12-14 08:44 PM		
ifly	CO-4274-IAH-OMA	2011-12-14 6:31 PM	2011-12-14 6:31 PM (Estimated)		2011-12-14 8:44 PM	2011-12-14 8:44 PM (Estimated)	
mytripandmore	CO-4274-IAH-OMA	6:31pDec 14		 B81A	8:44pDec 14		 B14
flightarrival	CO-4274-IAH-OMA	2011-12-14 06:31 PM			2011-12-14 08:44 PM		
ua	UA-1451-CLE-MCO	Wed, Dec 14 9:00 AM	Wed, Dec 14 8:58 AM	C05	Wed, Dec 14 11:28 AM	Wed, Dec 14 11:15 AM	33
flightexplorer	UA-1451-CLE-MCO		12/14/2011 9:08AM EST			12/14/2011 11:04AM EST	
airtravelcenter	UA-1451-CLE-MCO	12/14/11 9:00 AM (-05:00)			12/14/11 11:28 AM (-05:00)		
myrateplan	UA-1451-CLE-MCO	12/14/11 9:00 AM (-05:00)			12/14/11 11:28 AM (-05:00)		
helloflight	UA-1451-CLE-MCO	12/14/11 9:00 AM (-05:00)			12/14/11 11:28 AM (-05:00)		
flytecomm	UA-1451-CLE-MCO	12/14/11 9:00 AM (-05:00)			12/14/11 11:28 AM (-05:00)		
flights	UA-1451-CLE-MCO	09:00 AM  Wed 14-Dec-2011	08:58 AM  Wed 14-Dec-2011	C5	11:28 AM  Wed 14-Dec-2011	11:15 AM  Wed 14-Dec-2011	33
businesstravellogue	UA-1451-CLE-MCO	09:00 AM  Wed 14-Dec-2011	08:58 AM  Wed 14-Dec-2011	C5	11:28 AM  Wed 14-Dec-2011	11:15 AM  Wed 14-Dec-2011	33
flylouisville	UA-1451-CLE-MCO	09:00 AM  Wed 14-Dec-2011	08:58 AM  Wed 14-Dec-2011	C5	11:28 AM  Wed 14-Dec-2011	11:15 AM  Wed 14-Dec-2011	33
world-flight-tracker	UA-1451-CLE-MCO	2011-12-14 9:00 AM	2011-12-14 8:58 AM		2011-12-14 11:28 AM	2011-12-14 11:15 AM	
flightview	UA-1451-CLE-MCO	9:00 AM, Dec 14	9:09 AM, Dec 14	Main Term - C5	11:28 AM, Dec 14	11:15 AM, Dec 14	Term B - 33
panynj	UA-1451-CLE-MCO	9:00 AM, Dec 14	9:09 AM, Dec 14	Main Term - C5	11:28 AM, Dec 14	11:15 AM, Dec 14	Term B - 33
gofox	UA-1451-CLE-MCO	9:00 AM, Dec 14	9:09 AM, Dec 14		11:28 AM, Dec 14	11:15 AM, Dec 14	
foxbusiness	UA-1451-CLE-MCO	9:00 AM, Dec 14	9:09 AM, Dec 14	Main Term - C5	11:28 AM, Dec 14	11:15 AM, Dec 14	Term B - 33
allegiantair	UA-1451-CLE-MCO	9:00 AM, Dec 14	9:09 AM, Dec 14	Main Term - C5	11:28 AM, Dec 14	11:15 AM, Dec 14	Term B - 33
boston	UA-1451-CLE-MCO	9:00 AM, Dec 14	9:09 AM, Dec 14		11:28 AM, Dec 14	11:06 AM, Dec 14	
travelocity	UA-1451-CLE-MCO	Dec 14 - 9:00am	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 11:28am	Dec 14 - Contact Airline	Not provided by airline
orbitz	UA-1451-CLE-MCO	9:00aDec 14	8:58aDec 14	 C05	11:28aDec 14	11:15aDec 14	 33
weather	UA-1451-CLE-MCO	2011-12-14 09:00 AM			2011-12-14 11:28 AM		
usatoday	UA-1451-CLE-MCO	2011-12-14 09:00 AM			2011-12-14 11:28 AM		
mytripandmore	UA-1451-CLE-MCO	9:00aDec 14	8:58aDec 14	 C05	11:28aDec 14	11:15aDec 14	 33
CO	CO-1023-IAH-DEN	Wed., Dec.14, 2011 11:40 a.m.	Wed., Dec.14, 2011 11:41 a.m.		Wed., Dec.14, 2011 1:17 p.m.	Wed., Dec.14, 2011 12:52 p.m.	
flightexplorer	CO-1023-IAH-DEN		12/14/2011 11:52AM CST			12/14/2011 12:40PM MST	
airtravelcenter	CO-1023-IAH-DEN	12/14/11 11:40 AM (-06:00)			12/14/11 1:17 PM (-07:00)		
myrateplan	CO-1023-IAH-DEN	12/14/11 11:40 AM (-06:00)			12/14/11 1:17 PM (-07:00)		
helloflight	CO-1023-IAH-DEN	12/14/11 11:40 AM (-06:00)			12/14/11 1:17 PM (-07:00)		
flytecomm	CO-1023-IAH-DEN	12/14/11 11:40 AM (-06:00)			12/14/11 1:17 PM (-07:00)		
flightaware	CO-1023-IAH-DEN	2011-12-14 11:40AM CST	2011-12-14 11:52AM CST	 E8 	2011-12-14 12:45PM MST	2011-12-14 12:46PM MST	 B18 
wunderground	CO-1023-IAH-DEN	2011-12-14 11:40AM CST	2011-12-14 11:52AM CST	 E8 	2011-12-14 12:45PM MST	2011-12-14 12:46PM MST	 B18 
flights	CO-1023-IAH-DEN	11:40 AM  Wed 14-Dec-2011	11:41 AM  Wed 14-Dec-2011	8	01:17 PM  Wed 14-Dec-2011	12:52 PM  Wed 14-Dec-2011	B18
businesstravellogue	CO-1023-IAH-DEN	11:40 AM  Wed 14-Dec-2011	11:41 AM  Wed 14-Dec-2011	8	01:17 PM  Wed 14-Dec-2011	12:52 PM  Wed 14-Dec-2011	B18
flylouisville	CO-1023-IAH-DEN	11:40 AM  Wed 14-Dec-2011	11:41 AM  Wed 14-Dec-2011	8	01:17 PM  Wed 14-Dec-2011	12:52 PM  Wed 14-Dec-2011	B18
flightstats	CO-1023-IAH-DEN	2011-12-14 11:40 AM	2011-12-14 11:41 AM		2011-12-14 1:17 PM	2011-12-14 12:52 PM	
quicktrip	CO-1023-IAH-DEN	2011-12-14 11:40 AM	2011-12-14 11:41 AM		2011-12-14 1:17 PM	2011-12-14 12:52 PM	
world-flight-tracker	CO-1023-IAH-DEN	2011-12-14 11:40 AM	2011-12-14 11:41 AM		2011-12-14 1:17 PM	2011-12-14 12:52 PM	
flightview	CO-1023-IAH-DEN	11:40 AM, Dec 14		Term C - E8	1:17 PM, Dec 14	12:52 PM, Dec 14	Terminal Conc B - B18
panynj	CO-1023-IAH-DEN	11:40 AM, Dec 14		Term C - E8	1:17 PM, Dec 14	12:52 PM, Dec 14	Terminal Conc B - B18
gofox	CO-1023-IAH-DEN	11:40 AM, Dec 14			1:17 PM, Dec 14	12:52 PM, Dec 14	
foxbusiness	CO-1023-IAH-DEN	11:40 AM, Dec 14		Term C - E8	1:17 PM, Dec 14	12:52 PM, Dec 14	Terminal Conc B - B18
allegiantair	CO-1023-IAH-DEN	11:40 AM, Dec 14		Term C - E8	1:17 PM, Dec 14	12:52 PM, Dec 14	Terminal Conc B - B18
boston	CO-1023-IAH-DEN	11:40 AM, Dec 14	Not Available		1:17 PM, Dec 14	Not Available	
travelocity	CO-1023-IAH-DEN	Dec 14 - 11:40am	Dec 14 - 11:41am	E8	Dec 14 - 1:17pm	Dec 14 - 12:52pm	B18
orbitz	CO-1023-IAH-DEN	11:40aDec 14	11:41aDec 14	 E8	1:17pDec 14	12:52pDec 14	 B18
weather	CO-1023-IAH-DEN	2011-12-14 11:40 AM			2011-12-14 01:17 PM		
den	CO-1023-IAH-DEN				2011-12-14 1:17 PM		B18
ifly	CO-1023-IAH-DEN	2011-12-14 11:40 AM	2011-12-14 11:41 AM		2011-12-14 1:17 PM	2011-12-14 12:52 PM	
usatoday	CO-1023-IAH-DEN	2011-12-14 11:40 AM			2011-12-14 01:17 PM		
flightarrival	CO-1023-IAH-DEN	11:40 AM, Dec 14	Not Available		1:17 PM, Dec 14	Not Available	
aa	AA-3744-EWR-ORD	December 14, 2011               09:00 PM    	December 14, 2011               09:50 PM    	 33	December 14, 2011               10:30 PM    	December 14, 2011     	 H1A    
flightexplorer	AA-3744-EWR-ORD		12/14/2011 10:10PM EST			12/14/2011 11:06PM CST	
airtravelcenter	AA-3744-EWR-ORD		12/14/11 10:10 PM (-05:00)			12/14/11 11:06 PM (-06:00)	
myrateplan	AA-3744-EWR-ORD		12/14/11 10:10 PM (-05:00)			12/14/11 11:06 PM (-06:00)	
helloflight	AA-3744-EWR-ORD		12/14/11 10:10 PM (-05:00)			12/14/11 11:06 PM (-06:00)	
flytecomm	AA-3744-EWR-ORD		12/14/11 10:10 PM (-05:00)			12/14/11 11:06 PM (-06:00)	
flightaware	AA-3744-EWR-ORD	2011-12-14 09:00PM EST	2011-12-14 10:09PM EST	 33 	2011-12-14 10:29PM CST	2011-12-14 11:06PM CST	 H1A 
wunderground	AA-3744-EWR-ORD	2011-12-14 09:00PM EST	2011-12-14 10:09PM EST	 33 	2011-12-14 10:29PM CST	2011-12-14 11:06PM CST	 H1A 
flights	AA-3744-EWR-ORD	09:00 PM  Wed 14-Dec-2011	09:50 PM  Wed 14-Dec-2011	30	10:30 PM  Wed 14-Dec-2011	11:04 PM  Wed 14-Dec-2011 (Runway)	H1A
businesstravellogue	AA-3744-EWR-ORD	09:00 PM  Wed 14-Dec-2011	09:50 PM  Wed 14-Dec-2011	30	10:30 PM  Wed 14-Dec-2011	11:04 PM  Wed 14-Dec-2011 (Runway)	H1A
flylouisville	AA-3744-EWR-ORD	09:00 PM  Wed 14-Dec-2011	09:50 PM  Wed 14-Dec-2011	30	10:30 PM  Wed 14-Dec-2011	11:04 PM  Wed 14-Dec-2011 (Runway)	H1A
flightstats	AA-3744-EWR-ORD	2011-12-14 9:00 PM	2011-12-14 9:50 PM		2011-12-14 10:30 PM	2011-12-14 11:04 PM (runway)	
quicktrip	AA-3744-EWR-ORD	2011-12-14 9:00 PM	2011-12-14 9:50 PM		2011-12-14 10:30 PM	2011-12-14 11:04 PM (runway)	
world-flight-tracker	AA-3744-EWR-ORD	2011-12-14 9:00 PM	2011-12-14 9:50 PM		2011-12-14 10:30 PM	2011-12-14 11:04 PM (runway)	
flightview	AA-3744-EWR-ORD	9:00 PM, Dec 14	10:10 PM, Dec 14	33	10:30 PM, Dec 14	11:04 PM, Dec 14	H1A
panynj	AA-3744-EWR-ORD	9:00 PM, Dec 14	10:10 PM, Dec 14	33	10:30 PM, Dec 14	11:04 PM, Dec 14	H1A
gofox	AA-3744-EWR-ORD	9:00 PM, Dec 14	10:10 PM, Dec 14		10:30 PM, Dec 14	11:04 PM, Dec 14	
foxbusiness	AA-3744-EWR-ORD	9:00 PM, Dec 14	10:10 PM, Dec 14	33	10:30 PM, Dec 14	11:04 PM, Dec 14	H1A
allegiantair	AA-3744-EWR-ORD	9:00 PM, Dec 14	10:10 PM, Dec 14	33	10:30 PM, Dec 14	11:04 PM, Dec 14	H1A
boston	AA-3744-EWR-ORD	9:00 PM, Dec 14	10:10 PM, Dec 14		10:30 PM, Dec 14	11:04 PM, Dec 14	
travelocity	AA-3744-EWR-ORD	Dec 14 - 9:00pm	Dec 14 - 9:50pm	33/A	Dec 14 - 10:30pm	Dec 14 - 11:11pm*	H1A/T3
orbitz	AA-3744-EWR-ORD	9:00pDec 14	9:50pDec 14	 33	12:00aDec 15		 H1A
weather	AA-3744-EWR-ORD	2011-12-14 09:00 PM			2011-12-14 10:30 PM		
ord	AA-3744-EWR-ORD	2011-12-14 9:00 PM		33	2011-12-14 10:30 PM		H1A
usatoday	AA-3744-EWR-ORD	9:00 PM, Dec 14	10:10 PM, Dec 14		10:30 PM, Dec 14	11:04 PM, Dec 14	
flightwise	AA-3744-EWR-ORD	2011-12-14 09:00PM EST	2011-12-14 10:09PM EST	 33 	2011-12-14 10:29PM CST	2011-12-14 11:06PM CST	 H1A 
flightarrival	AA-3744-EWR-ORD	2011-12-14 09:00 PM			2011-12-14 10:30 PM		
ua	UA-398-IAD-SFO	Wed, Dec 14 6:27 AM	Wed, Dec 14 6:22 AM	D16	Wed, Dec 14 9:42 AM	Wed, Dec 14 9:17 AM	73A
flightexplorer	UA-398-IAD-SFO		12/14/2011 6:30AM EST			12/14/2011 8:55AM PST	
airtravelcenter	UA-398-IAD-SFO		12/14/11 6:32 AM (-05:00)			12/14/11 8:55 AM (-08:00)	
myrateplan	UA-398-IAD-SFO		12/14/11 6:32 AM (-05:00)			12/14/11 8:55 AM (-08:00)	
helloflight	UA-398-IAD-SFO		12/14/11 6:32 AM (-05:00)			12/14/11 8:55 AM (-08:00)	
flytecomm	UA-398-IAD-SFO		12/14/11 6:32 AM (-05:00)			12/14/11 8:55 AM (-08:00)	
flights	UA-398-IAD-SFO	06:27 AM  Wed 14-Dec-2011	06:22 AM  Wed 14-Dec-2011	D16	09:42 AM  Wed 14-Dec-2011	09:17 AM  Wed 14-Dec-2011	73A
businesstravellogue	UA-398-IAD-SFO	06:27 AM  Wed 14-Dec-2011	06:22 AM  Wed 14-Dec-2011	D16	09:42 AM  Wed 14-Dec-2011	09:17 AM  Wed 14-Dec-2011	73A
flylouisville	UA-398-IAD-SFO	06:27 AM  Wed 14-Dec-2011	06:22 AM  Wed 14-Dec-2011	D16	09:42 AM  Wed 14-Dec-2011	09:17 AM  Wed 14-Dec-2011	73A
world-flight-tracker	UA-398-IAD-SFO	2011-12-14 6:27 AM	2011-12-14 6:22 AM		2011-12-14 9:42 AM	2011-12-14 9:17 AM	
boston	UA-398-IAD-SFO	6:27 AM, Dec 14	6:32 AM, Dec 14		9:42 AM, Dec 14	9:01 AM, Dec 14	
travelocity	UA-398-IAD-SFO	Dec 14 - Not Available	Dec 14 - 6:31am	D16	Dec 14 - Not Available	Dec 14 - 9:17am	73A
orbitz	UA-398-IAD-SFO	6:27aDec 14	6:22aDec 14	 D16	9:42aDec 14	9:17aDec 14	 73A
weather	UA-398-IAD-SFO	2011-12-14 06:27 AM			2011-12-14 09:42 AM		
usatoday	UA-398-IAD-SFO	2011-12-14 06:27 AM			2011-12-14 09:42 AM		
mytripandmore	UA-398-IAD-SFO	6:27aDec 14	6:22aDec 14	 D16	9:42aDec 14	9:17aDec 14	 73A
ua	UA-2945-PHL-CLT	Wed, Dec 14 12:00 AM	Wed, Dec 14 4:11 AM	C28	Wed, Dec 14 1:45 PM	Wed, Dec 14 1:30 PM	C15
airtravelcenter	UA-2945-PHL-CLT		12/14/11 12:09 PM (-05:00)			12/14/11 1:21 PM (-05:00)	
myrateplan	UA-2945-PHL-CLT		12/14/11 12:09 PM (-05:00)			12/14/11 1:21 PM (-05:00)	
helloflight	UA-2945-PHL-CLT		12/14/11 12:09 PM (-05:00)			12/14/11 1:21 PM (-05:00)	
flytecomm	UA-2945-PHL-CLT		12/14/11 12:09 PM (-05:00)			12/14/11 1:21 PM (-05:00)	
flightaware	UA-2945-PHL-CLT	2011-12-14 12:00PM EST	2011-12-14 12:10PM EST		2011-12-14 01:35PM EST	2011-12-14 01:18PM EST	
wunderground	UA-2945-PHL-CLT	2011-12-14 12:00PM EST	2011-12-14 12:10PM EST		2011-12-14 01:35PM EST	2011-12-14 01:18PM EST	
flights	UA-2945-PHL-CLT	12:00 PM  Wed 14-Dec-2011	11:52 AM  Wed 14-Dec-2011	C28	01:45 PM  Wed 14-Dec-2011	01:30 PM  Wed 14-Dec-2011	C15
businesstravellogue	UA-2945-PHL-CLT	12:00 PM  Wed 14-Dec-2011	11:52 AM  Wed 14-Dec-2011	C28	01:45 PM  Wed 14-Dec-2011	01:30 PM  Wed 14-Dec-2011	C15
flylouisville	UA-2945-PHL-CLT	12:00 PM  Wed 14-Dec-2011	11:52 AM  Wed 14-Dec-2011	C28	01:45 PM  Wed 14-Dec-2011	01:30 PM  Wed 14-Dec-2011	C15
flightstats	UA-2945-PHL-CLT	2011-12-14 12:00 PM	2011-12-14 11:52 AM		2011-12-14 1:45 PM	2011-12-14 1:30 PM	
quicktrip	UA-2945-PHL-CLT	2011-12-14 12:00 PM	2011-12-14 11:52 AM		2011-12-14 1:45 PM	2011-12-14 1:30 PM	
world-flight-tracker	UA-2945-PHL-CLT	2011-12-14 12:00 PM	2011-12-14 11:52 AM		2011-12-14 1:45 PM	2011-12-14 1:30 PM	
flightview	UA-2945-PHL-CLT	12:00 PM, Dec 14	12:10 PM, Dec 14		1:45 PM, Dec 14	1:24 PM, Dec 14	
panynj	UA-2945-PHL-CLT	12:00 PM, Dec 14	12:10 PM, Dec 14		1:45 PM, Dec 14	1:24 PM, Dec 14	
gofox	UA-2945-PHL-CLT	12:00 PM, Dec 14	12:10 PM, Dec 14		1:45 PM, Dec 14	1:24 PM, Dec 14	
foxbusiness	UA-2945-PHL-CLT	12:00 PM, Dec 14	12:10 PM, Dec 14		1:45 PM, Dec 14	1:24 PM, Dec 14	
allegiantair	UA-2945-PHL-CLT	12:00 PM, Dec 14	12:10 PM, Dec 14		1:45 PM, Dec 14	1:24 PM, Dec 14	
boston	UA-2945-PHL-CLT	12:00 PM, Dec 14	12:10 PM, Dec 14		1:45 PM, Dec 14	1:24 PM, Dec 14	
travelocity	UA-2945-PHL-CLT	Dec 14 - 12:00noon	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 1:45pm	Dec 14 - Contact Airline	Not provided by airline
orbitz	UA-2945-PHL-CLT	12:00pDec 14	11:52aDec 14	 -	1:45pDec 14	1:30pDec 14	 -
weather	UA-2945-PHL-CLT	2011-12-14 12:00 PM			2011-12-14 01:45 PM		
mytripandmore	UA-2945-PHL-CLT	12:00pDec 14	11:52aDec 14	 -	1:45pDec 14	1:30pDec 14	 -
flightarrival	UA-2945-PHL-CLT	12:00 PM, Dec 14	12:10 PM, Dec 14		1:45 PM, Dec 14	1:24 PM, Dec 14	
ua	UA-5487-SFO-MRY	Wed, Dec 14 10:39 AM	Wed, Dec 14 10:32 AM	87A	Wed, Dec 14 11:19 AM	Wed, Dec 14 11:35 AM	--
flightexplorer	UA-5487-SFO-MRY		12/14/2011 11:02AM PST			12/14/2011 11:28AM PST	
airtravelcenter	UA-5487-SFO-MRY		12/14/11 11:02 AM (-08:00)			12/14/11 11:22 AM (-08:00)	
myrateplan	UA-5487-SFO-MRY		12/14/11 11:02 AM (-08:00)			12/14/11 11:22 AM (-08:00)	
helloflight	UA-5487-SFO-MRY		12/14/11 11:02 AM (-08:00)			12/14/11 11:22 AM (-08:00)	
flytecomm	UA-5487-SFO-MRY		12/14/11 11:02 AM (-08:00)			12/14/11 11:22 AM (-08:00)	
flightaware	UA-5487-SFO-MRY	2011-12-14 10:39AM PST	2011-12-14 11:02AM PST	 87A 	2011-12-14 11:09AM PST	2011-12-14 11:22AM PST	
wunderground	UA-5487-SFO-MRY	2011-12-14 10:39AM PST	2011-12-14 11:02AM PST	 87A 	2011-12-14 11:09AM PST	2011-12-14 11:22AM PST	
flights	UA-5487-SFO-MRY	10:39 AM  Wed 14-Dec-2011	10:32 AM  Wed 14-Dec-2011		11:19 AM  Wed 14-Dec-2011	11:35 AM  Wed 14-Dec-2011	
businesstravellogue	UA-5487-SFO-MRY	10:39 AM  Wed 14-Dec-2011	10:32 AM  Wed 14-Dec-2011		11:19 AM  Wed 14-Dec-2011	11:35 AM  Wed 14-Dec-2011	
flylouisville	UA-5487-SFO-MRY	10:39 AM  Wed 14-Dec-2011	10:32 AM  Wed 14-Dec-2011		11:19 AM  Wed 14-Dec-2011	11:35 AM  Wed 14-Dec-2011	
world-flight-tracker	UA-5487-SFO-MRY	2011-12-14 10:39 AM	2011-12-14 10:32 AM		2011-12-14 11:19 AM	2011-12-14 11:35 AM	
flightview	UA-5487-SFO-MRY	10:39 AM, Dec 14	11:02 AM, Dec 14		11:19 AM, Dec 14	11:35 AM, Dec 14	
panynj	UA-5487-SFO-MRY	10:39 AM, Dec 14	11:02 AM, Dec 14		11:19 AM, Dec 14	11:35 AM, Dec 14	
gofox	UA-5487-SFO-MRY	10:39 AM, Dec 14	11:02 AM, Dec 14		11:19 AM, Dec 14	11:35 AM, Dec 14	
foxbusiness	UA-5487-SFO-MRY	10:39 AM, Dec 14	11:02 AM, Dec 14		11:19 AM, Dec 14	11:35 AM, Dec 14	
allegiantair	UA-5487-SFO-MRY	10:39 AM, Dec 14	11:02 AM, Dec 14		11:19 AM, Dec 14	11:35 AM, Dec 14	
boston	UA-5487-SFO-MRY	10:39 AM, Dec 14	11:02 AM, Dec 14		11:19 AM, Dec 14	11:30 AM, Dec 14	
travelocity	UA-5487-SFO-MRY	Dec 14 - Not Available	Dec 14 - 11:02am	87A	Dec 14 - Not Available	Dec 14 - 11:35am	CHK
orbitz	UA-5487-SFO-MRY	10:39aDec 14	10:32aDec 14	 87A	11:19aDec 14	11:35aDec 14	 -
weather	UA-5487-SFO-MRY	2011-12-14 10:39 AM			2011-12-14 11:19 AM		
mytripandmore	UA-5487-SFO-MRY	10:39aDec 14	10:32aDec 14	 87A	11:19aDec 14	11:35aDec 14	 -
flightwise	UA-5487-SFO-MRY	2011-12-14 10:39AM PST	2011-12-14 11:02AM PST	 87A 	2011-12-14 11:09AM PST	2011-12-14 11:22AM PST	
aa	AA-1066-DFW-DCA	December 14, 2011               10:30 AM    	December 14, 2011               10:57 AM    	 C12	December 14, 2011               02:10 PM    	December 14, 2011               02:28 PM    	 28    
airtravelcenter	AA-1066-DFW-DCA		12/14/11 11:07 AM (-06:00)			12/14/11 2:30 PM (-05:00)	
myrateplan	AA-1066-DFW-DCA		12/14/11 11:07 AM (-06:00)			12/14/11 2:30 PM (-05:00)	
helloflight	AA-1066-DFW-DCA		12/14/11 11:07 AM (-06:00)			12/14/11 2:30 PM (-05:00)	
flytecomm	AA-1066-DFW-DCA		12/14/11 11:07 AM (-06:00)			12/14/11 2:30 PM (-05:00)	
flightaware	AA-1066-DFW-DCA	2011-12-14 10:30AM CST	2011-12-14 11:07AM CST	 C12 	2011-12-14 02:00PM EST	2011-12-14 02:24PM EST	 28 
wunderground	AA-1066-DFW-DCA	2011-12-14 10:30AM CST	2011-12-14 11:07AM CST	 C12 	2011-12-14 02:00PM EST	2011-12-14 02:24PM EST	 28 
flights	AA-1066-DFW-DCA		2011-12-14 10:57 AM	C12		2011-12-14 02:28 PM	28
businesstravellogue	AA-1066-DFW-DCA		2011-12-14 10:57 AM	C12		2011-12-14 02:28 PM	28
flylouisville	AA-1066-DFW-DCA		2011-12-14 10:57 AM	C12		2011-12-14 02:28 PM	28
flightstats	AA-1066-DFW-DCA	2011-12-14 10:30 AM	2011-12-14 10:57 AM		2011-12-14 2:10 PM	2011-12-14 2:28 PM	
quicktrip	AA-1066-DFW-DCA	2011-12-14 10:30 AM	2011-12-14 10:57 AM		2011-12-14 2:10 PM	2011-12-14 2:28 PM	
flightview	AA-1066-DFW-DCA		11:07 AMDec 14			2:25 PMDec 14	
panynj	AA-1066-DFW-DCA		11:07 AMDec 14			2:25 PMDec 14	
gofox	AA-1066-DFW-DCA		11:07 AMDec 14			2:25 PMDec 14	
foxbusiness	AA-1066-DFW-DCA		11:07 AMDec 14			2:25 PMDec 14	
allegiantair	AA-1066-DFW-DCA		11:07 AMDec 14			2:25 PMDec 14	
boston	AA-1066-DFW-DCA		11:07 AMDec 14			2:25 PMDec 14	
orbitz	AA-1066-DFW-DCA	10:30aDec 14	10:57aDec 14	 C12	2:10pDec 14	2:28pDec 14	 28
dfw	AA-1066-DFW-DCA	2011-12-14 10:30 am		C12			
usatoday	AA-1066-DFW-DCA		11:07 AMDec 14			2:25 PMDec 14	
flightarrival	AA-1066-DFW-DCA		11:07 AMDec 14			2:25 PMDec 14	
CO	CO-1072-EWR-RSW	Wed., Dec.14, 2011 11:15 a.m.	Wed., Dec.14, 2011 11:11 a.m.		Wed., Dec.14, 2011 2:17 p.m.	Wed., Dec.14, 2011 1:53 p.m.	
flightexplorer	CO-1072-EWR-RSW		12/14/2011 11:21AM EST			12/14/2011 1:49PM EST	
airtravelcenter	CO-1072-EWR-RSW	12/14/11 11:15 AM (-05:00)			12/14/11 2:17 PM (-05:00)		
myrateplan	CO-1072-EWR-RSW	12/14/11 11:15 AM (-05:00)			12/14/11 2:17 PM (-05:00)		
helloflight	CO-1072-EWR-RSW	12/14/11 11:15 AM (-05:00)			12/14/11 2:17 PM (-05:00)		
flytecomm	CO-1072-EWR-RSW	12/14/11 11:15 AM (-05:00)			12/14/11 2:17 PM (-05:00)		
flightaware	CO-1072-EWR-RSW	2011-12-14 11:15AM EST	2011-12-14 11:23AM EST	 126 	2011-12-14 01:48PM EST	2011-12-14 01:49PM EST	 C3 
