ua	UA-1534-RTB-IAH	Sun, Dec 11 2:05 PM	Sun, Dec 11 2:21 PM	--	Sun, Dec 11 5:01 PM	Sun, Dec 11 5:02 PM	E22
businesstravellogue	UA-4866-EWR-BWI		2011-12-11 12:44 PM	103		2011-12-11 01:44 PM	D12
flylouisville	UA-4866-EWR-BWI		2011-12-11 12:44 PM	103		2011-12-11 01:44 PM	D12
flightview	UA-4866-EWR-BWI		12:59 PMDec 11			1:44 PMDec 11	
panynj	UA-4866-EWR-BWI		12:59 PMDec 11			1:44 PMDec 11	
gofox	UA-4866-EWR-BWI		12:59 PMDec 11			1:44 PMDec 11	
foxbusiness	UA-4866-EWR-BWI		12:59 PMDec 11			1:44 PMDec 11	
allegiantair	UA-4866-EWR-BWI		12:59 PMDec 11			1:44 PMDec 11	
boston	UA-4866-EWR-BWI		12:59 PMDec 11			1:33 PMDec 11	
orbitz	UA-4866-EWR-BWI	12:51pDec 11	12:44pDec 11	 C103	1:58pDec 11	1:44pDec 11	 D12
flightarrival	UA-4866-EWR-BWI		12:59 PMDec 11			1:33 PMDec 11	
CO	CO-1203-CLE-IAH	Sun., Dec.11, 2011 8:55 p.m.	Sun., Dec.11, 2011 8:48 p.m.		Sun., Dec.11, 2011 11:03 p.m.	Sun., Dec.11, 2011 10:31 p.m.	
flightexplorer	CO-1203-CLE-IAH		12/11/2011 8:57PM EST			12/11/2011 10:28PM CST	
airtravelcenter	CO-1203-CLE-IAH	12/11/11 8:55 PM (-05:00)			12/11/11 11:03 PM (-06:00)		
myrateplan	CO-1203-CLE-IAH	12/11/11 8:55 PM (-05:00)			12/11/11 11:03 PM (-06:00)		
helloflight	CO-1203-CLE-IAH	12/11/11 8:55 PM (-05:00)			12/11/11 11:03 PM (-06:00)		
flytecomm	CO-1203-CLE-IAH	12/11/11 8:55 PM (-05:00)			12/11/11 11:03 PM (-06:00)		
flightaware	CO-1203-CLE-IAH	2011-12-11 08:55PM EST	2011-12-11 08:58PM EST	 C11 	2011-12-11 10:42PM CST	2011-12-11 10:25PM CST	 34 
flightaware	CO-1203-CLE-IAH	2011-12-11 08:55PM EST	2011-12-11 08:58PM EST	 C11 	2011-12-11 10:42PM CST	2011-12-11 10:25PM CST	 34 
wunderground	CO-1203-CLE-IAH	2011-12-11 08:55PM EST	2011-12-11 08:58PM EST	 C11 	2011-12-11 10:42PM CST	2011-12-11 10:25PM CST	 34 
wunderground	CO-1203-CLE-IAH	2011-12-11 08:55PM EST	2011-12-11 08:58PM EST	 C11 	2011-12-11 10:42PM CST	2011-12-11 10:25PM CST	 34 
flights	CO-1203-CLE-IAH		2011-12-11 08:48 PM	C11		2011-12-11 10:31 PM	34
businesstravellogue	CO-1203-CLE-IAH		2011-12-11 08:48 PM	C11		2011-12-11 10:31 PM	34
flylouisville	CO-1203-CLE-IAH		2011-12-11 08:48 PM	C11		2011-12-11 10:31 PM	34
flightstats	CO-1203-CLE-IAH	2011-12-11 8:55 PM	2011-12-11 8:48 PM		2011-12-11 11:03 PM	2011-12-11 10:31 PM	
quicktrip	CO-1203-CLE-IAH	2011-12-11 8:55 PM	2011-12-11 8:48 PM		2011-12-11 11:03 PM	2011-12-11 10:31 PM	
flightview	CO-1203-CLE-IAH		8:58 PMDec 11			10:31 PMDec 11	
panynj	CO-1203-CLE-IAH		8:58 PMDec 11			10:31 PMDec 11	
gofox	CO-1203-CLE-IAH		8:58 PMDec 11			10:31 PMDec 11	
foxbusiness	CO-1203-CLE-IAH		8:58 PMDec 11			10:31 PMDec 11	
allegiantair	CO-1203-CLE-IAH		8:58 PMDec 11			10:31 PMDec 11	
boston	CO-1203-CLE-IAH		8:58 PMDec 11			10:26 PMDec 11	
orbitz	CO-1203-CLE-IAH	8:55pDec 11	8:48pDec 11	 C11	11:03pDec 11	10:31pDec 11	 34
ifly	CO-1203-CLE-IAH	2011-12-11 8:55 PM	2011-12-11 8:48 PM		2011-12-11 11:03 PM	2011-12-11 10:31 PM	
usatoday	CO-1203-CLE-IAH		8:58 PMDec 11			10:26 PMDec 11	
mytripandmore	CO-1203-CLE-IAH	8:55pDec 11	8:48pDec 11	 C11	11:03pDec 11	10:31pDec 11	 34
ua	UA-4423-IAH-TAM	Sun, Dec 11 5:55 PM	Sun, Dec 11 7:07 PM	B65	Sun, Dec 11 7:44 PM	Sun, Dec 11 8:50 PM	5
airtravelcenter	UA-4423-IAH-TAM	12/11/11 5:55 PM (-06:00)			12/11/11 7:44 PM (-06:00)		
myrateplan	UA-4423-IAH-TAM	12/11/11 5:55 PM (-06:00)			12/11/11 7:44 PM (-06:00)		
helloflight	UA-4423-IAH-TAM	12/11/11 5:55 PM (-06:00)			12/11/11 7:44 PM (-06:00)		
flytecomm	UA-4423-IAH-TAM	12/11/11 5:55 PM (-06:00)			12/11/11 7:44 PM (-06:00)		
flights	UA-4423-IAH-TAM	05:55 PM  Sun 11-Dec-2011	07:07 PM  Sun 11-Dec-2011	65	07:44 PM  Sun 11-Dec-2011	08:50 PM  Sun 11-Dec-2011	5
businesstravellogue	UA-4423-IAH-TAM	05:55 PM  Sun 11-Dec-2011	07:07 PM  Sun 11-Dec-2011	65	07:44 PM  Sun 11-Dec-2011	08:50 PM  Sun 11-Dec-2011	5
flylouisville	UA-4423-IAH-TAM	05:55 PM  Sun 11-Dec-2011	07:07 PM  Sun 11-Dec-2011	65	07:44 PM  Sun 11-Dec-2011	08:50 PM  Sun 11-Dec-2011	5
world-flight-tracker	UA-4423-IAH-TAM	2011-12-11 5:55 PM	2011-12-11 7:07 PM		2011-12-11 7:44 PM	2011-12-11 8:50 PM	
flightview	UA-4423-IAH-TAM	5:55 PM, Dec 11	7:23 PM, Dec 11	Term E - B65	7:44 PM, Dec 11	8:50 PM, Dec 11	Main Term - 5
panynj	UA-4423-IAH-TAM	5:55 PM, Dec 11	7:23 PM, Dec 11	Term E - B65	7:44 PM, Dec 11	8:50 PM, Dec 11	Main Term - 5
gofox	UA-4423-IAH-TAM	5:55 PM, Dec 11	7:23 PM, Dec 11		7:44 PM, Dec 11	8:50 PM, Dec 11	
foxbusiness	UA-4423-IAH-TAM	5:55 PM, Dec 11	7:23 PM, Dec 11	Term E - B65	7:44 PM, Dec 11	8:50 PM, Dec 11	Main Term - 5
allegiantair	UA-4423-IAH-TAM	5:55 PM, Dec 11	7:23 PM, Dec 11	Term E - B65	7:44 PM, Dec 11	8:50 PM, Dec 11	Main Term - 5
boston	UA-4423-IAH-TAM	5:55 PM, Dec 11	7:23 PM, Dec 11		7:44 PM, Dec 11	8:42 PM, Dec 11	
travelocity	UA-4423-IAH-TAM	Dec 11 - 5:55pm	Dec 11 - Contact Airline	Not provided by airline	Dec 11 - 7:44pm	Dec 11 - Contact Airline	Not provided by airline
orbitz	UA-4423-IAH-TAM	5:55pDec 11	7:07pDec 11	 B65	7:44pDec 11	8:50pDec 11	 5
flightarrival	UA-4423-IAH-TAM	5:55 PM, Dec 11	7:23 PM, Dec 11		7:44 PM, Dec 11	8:42 PM, Dec 11	
aa	AA-3468-CVG-MIA	December 11, 2011               07:00 AM    	December 11, 2011               07:21 AM    	 5	December 11, 2011               09:55 AM    	December 11, 2011               10:15 AM    	 D60F    
flightexplorer	AA-3468-CVG-MIA		12/11/2011 7:49AM EST			12/11/2011 9:56AM EST	
airtravelcenter	AA-3468-CVG-MIA		12/11/11 7:49 AM (-05:00)			12/11/11 9:56 AM (-05:00)	
myrateplan	AA-3468-CVG-MIA		12/11/11 7:49 AM (-05:00)			12/11/11 9:56 AM (-05:00)	
helloflight	AA-3468-CVG-MIA		12/11/11 7:49 AM (-05:00)			12/11/11 9:56 AM (-05:00)	
flytecomm	AA-3468-CVG-MIA		12/11/11 7:49 AM (-05:00)			12/11/11 9:56 AM (-05:00)	
flightaware	AA-3468-CVG-MIA	2011-12-11 07:00AM EST	2011-12-11 07:49AM EST	 5 	2011-12-11 09:43AM EST	2011-12-11 10:05AM EST	 D60F 
wunderground	AA-3468-CVG-MIA	2011-12-11 07:00AM EST	2011-12-11 07:49AM EST	 5 	2011-12-11 09:43AM EST	2011-12-11 10:05AM EST	 D60F 
flights	AA-3468-CVG-MIA	07:00 AM  Sun 11-Dec-2011	07:21 AM  Sun 11-Dec-2011	5	09:55 AM  Sun 11-Dec-2011	10:15 AM  Sun 11-Dec-2011	D60
businesstravellogue	AA-3468-CVG-MIA	07:00 AM  Sun 11-Dec-2011	07:21 AM  Sun 11-Dec-2011	5	09:55 AM  Sun 11-Dec-2011	10:15 AM  Sun 11-Dec-2011	D60
flylouisville	AA-3468-CVG-MIA	07:00 AM  Sun 11-Dec-2011	07:21 AM  Sun 11-Dec-2011	5	09:55 AM  Sun 11-Dec-2011	10:15 AM  Sun 11-Dec-2011	D60
flightstats	AA-3468-CVG-MIA	2011-12-11 7:00 AM	2011-12-11 7:21 AM		2011-12-11 9:55 AM	2011-12-11 10:15 AM	
quicktrip	AA-3468-CVG-MIA	2011-12-11 7:00 AM	2011-12-11 7:21 AM		2011-12-11 9:55 AM	2011-12-11 10:15 AM	
world-flight-tracker	AA-3468-CVG-MIA	2011-12-11 7:00 AM	2011-12-11 7:21 AM		2011-12-11 9:55 AM	2011-12-11 10:15 AM	
flightview	AA-3468-CVG-MIA	7:00 AM, Dec 11	7:49 AM, Dec 11	Terminal 2	9:55 AM, Dec 11	10:15 AM, Dec 11	Terminal D - D60
panynj	AA-3468-CVG-MIA	7:00 AM, Dec 11	7:49 AM, Dec 11	Terminal 2	9:55 AM, Dec 11	10:15 AM, Dec 11	Terminal D - D60
gofox	AA-3468-CVG-MIA	7:00 AM, Dec 11	7:49 AM, Dec 11		9:55 AM, Dec 11	10:15 AM, Dec 11	
foxbusiness	AA-3468-CVG-MIA	7:00 AM, Dec 11	7:49 AM, Dec 11	Terminal 2	9:55 AM, Dec 11	10:15 AM, Dec 11	Terminal D - D60
allegiantair	AA-3468-CVG-MIA	7:00 AM, Dec 11	7:49 AM, Dec 11	Terminal 2	9:55 AM, Dec 11	10:15 AM, Dec 11	Terminal D - D60
boston	AA-3468-CVG-MIA	7:00 AM, Dec 11	7:49 AM, Dec 11		9:55 AM, Dec 11	10:06 AM, Dec 11	
travelocity	AA-3468-CVG-MIA	Dec 11 - 7:00am	Dec 11 - 7:21am	5	Dec 11 - 9:55am	Dec 11 - 10:15am	D60
orbitz	AA-3468-CVG-MIA	7:00aDec 11	7:21aDec 11	 5	9:55aDec 11	10:15aDec 11	 D60F
weather	AA-3468-CVG-MIA	2011-12-11 07:00 AM			2011-12-11 09:55 AM		
ifly	AA-3468-CVG-MIA	2011-12-11 7:00 AM	2011-12-11 7:21 AM		2011-12-11 9:55 AM	2011-12-11 10:15 AM	
usatoday	AA-3468-CVG-MIA	7:00 AM, Dec 11	7:49 AM, Dec 11		9:55 AM, Dec 11	10:06 AM, Dec 11	
ua	UA-3751-CHS-IAD	Sun, Dec 11 7:10 PM	Sun, Dec 11 7:10 PM	--	Sun, Dec 11 8:43 PM	Sun, Dec 11 8:43 PM	D12
airtravelcenter	UA-3751-CHS-IAD	12/11/11 7:10 PM (-05:00)			12/11/11 8:43 PM (-05:00)		
myrateplan	UA-3751-CHS-IAD	12/11/11 7:10 PM (-05:00)			12/11/11 8:43 PM (-05:00)		
helloflight	UA-3751-CHS-IAD	12/11/11 7:10 PM (-05:00)			12/11/11 8:43 PM (-05:00)		
flytecomm	UA-3751-CHS-IAD	12/11/11 7:10 PM (-05:00)			12/11/11 8:43 PM (-05:00)		
flightaware	UA-3751-CHS-IAD	2011-12-11 07:10PM EST	2011-12-11 07:20PM EST		2011-12-11 08:23PM EST	2011-12-11 08:33PM EST	 D12 
wunderground	UA-3751-CHS-IAD	2011-12-11 07:10PM EST	2011-12-11 07:20PM EST		2011-12-11 08:23PM EST	2011-12-11 08:33PM EST	 D12 
flights	UA-3751-CHS-IAD	07:10 PM  Sun 11-Dec-2011			08:43 PM  Sun 11-Dec-2011		
businesstravellogue	UA-3751-CHS-IAD	07:10 PM  Sun 11-Dec-2011			08:43 PM  Sun 11-Dec-2011		
flylouisville	UA-3751-CHS-IAD	07:10 PM  Sun 11-Dec-2011			08:43 PM  Sun 11-Dec-2011		
world-flight-tracker	UA-3751-CHS-IAD	2011-12-11 7:10 PM	2011-12-11 7:10 PM (Estimated)		2011-12-11 8:43 PM	2011-12-11 8:43 PM (Estimated)	
flightview	UA-3751-CHS-IAD	7:10 PM, Dec 11			8:43 PM, Dec 11		
panynj	UA-3751-CHS-IAD	7:10 PM, Dec 11			8:43 PM, Dec 11		
gofox	UA-3751-CHS-IAD	7:10 PM, Dec 11			8:43 PM, Dec 11		
foxbusiness	UA-3751-CHS-IAD	7:10 PM, Dec 11			8:43 PM, Dec 11		
allegiantair	UA-3751-CHS-IAD	7:10 PM, Dec 11			8:43 PM, Dec 11		
boston	UA-3751-CHS-IAD	7:10 PM, Dec 11	Not Available		8:43 PM, Dec 11	Not Available	
travelocity	UA-3751-CHS-IAD	Dec 11 - 7:10pm	Dec 11 - Not Available	CHK	Dec 11 - 8:43pm	Dec 11 - Not Available	D12
orbitz	UA-3751-CHS-IAD	7:10pDec 11		 -	8:43pDec 11		 D12
weather	UA-3751-CHS-IAD	2011-12-11 07:10 PM			2011-12-11 08:43 PM		
iad	UA-3751-CHS-IAD				2011-12-11 20:43 	2011-12-11 20:20 	
usatoday	UA-3751-CHS-IAD	2011-12-11 07:10 PM			2011-12-11 08:43 PM		
mytripandmore	UA-3751-CHS-IAD	7:10pDec 11		 -	8:43pDec 11		 D12
flightwise	UA-3751-CHS-IAD	2011-12-11 07:10PM EST	2011-12-11 07:20PM EST		2011-12-11 08:23PM EST	2011-12-11 08:33PM EST	 D12 
flightarrival	UA-3751-CHS-IAD	2011-12-11 07:10 PM			2011-12-11 08:43 PM		
ua	UA-1545-EWR-IAH	Sun, Dec 11 5:30 AM	Sun, Dec 11 5:34 AM	C71	Sun, Dec 11 8:26 AM	Sun, Dec 11 8:23 AM	C-19
flightexplorer	UA-1545-EWR-IAH		12/11/2011 5:48AM EST			12/11/2011 8:17AM CST	
airtravelcenter	UA-1545-EWR-IAH		12/11/11 5:50 AM (-05:00)			12/11/11 8:08 AM (-06:00)	
airtravelcenter	UA-1545-EWR-IAH	12/11/11 5:30 AM (-05:00)			12/11/11 8:26 AM (-06:00)		
myrateplan	UA-1545-EWR-IAH		12/11/11 5:50 AM (-05:00)			12/11/11 8:08 AM (-06:00)	
myrateplan	UA-1545-EWR-IAH	12/11/11 5:30 AM (-05:00)			12/11/11 8:26 AM (-06:00)		
helloflight	UA-1545-EWR-IAH		12/11/11 5:50 AM (-05:00)			12/11/11 8:08 AM (-06:00)	
helloflight	UA-1545-EWR-IAH	12/11/11 5:30 AM (-05:00)			12/11/11 8:26 AM (-06:00)		
flytecomm	UA-1545-EWR-IAH		12/11/11 5:50 AM (-05:00)			12/11/11 8:08 AM (-06:00)	
flytecomm	UA-1545-EWR-IAH	12/11/11 5:30 AM (-05:00)			12/11/11 8:26 AM (-06:00)		
flightaware	UA-1545-EWR-IAH	2011-12-11 05:30AM EST	2011-12-11 05:50AM EST	 C71 	2011-12-11 07:56AM CST	2011-12-11 08:18AM CST	 19 
wunderground	UA-1545-EWR-IAH	2011-12-11 05:30AM EST	2011-12-11 05:50AM EST	 C71 	2011-12-11 07:56AM CST	2011-12-11 08:18AM CST	 19 
flights	UA-1545-EWR-IAH	05:30 AM  Sun 11-Dec-2011	05:34 AM  Sun 11-Dec-2011	71	08:26 AM  Sun 11-Dec-2011	08:23 AM  Sun 11-Dec-2011	19
businesstravellogue	UA-1545-EWR-IAH	05:30 AM  Sun 11-Dec-2011	05:34 AM  Sun 11-Dec-2011	71	08:26 AM  Sun 11-Dec-2011	08:23 AM  Sun 11-Dec-2011	19
flylouisville	UA-1545-EWR-IAH	05:30 AM  Sun 11-Dec-2011	05:34 AM  Sun 11-Dec-2011	71	08:26 AM  Sun 11-Dec-2011	08:23 AM  Sun 11-Dec-2011	19
flightstats	UA-1545-EWR-IAH	2011-12-11 5:30 AM	2011-12-11 5:34 AM		2011-12-11 8:26 AM	2011-12-11 8:23 AM	
quicktrip	UA-1545-EWR-IAH	2011-12-11 5:30 AM	2011-12-11 5:34 AM		2011-12-11 8:26 AM	2011-12-11 8:23 AM	
world-flight-tracker	UA-1545-EWR-IAH	2011-12-11 5:30 AM	2011-12-11 5:34 AM		2011-12-11 8:26 AM	2011-12-11 8:23 AM	
flightview	UA-1545-EWR-IAH	5:30 AM, Dec 11	5:50 AM, Dec 11		8:09 AM, Dec 11	8:19 AM, Dec 11	
panynj	UA-1545-EWR-IAH	5:30 AM, Dec 11	5:50 AM, Dec 11		8:09 AM, Dec 11	8:19 AM, Dec 11	
gofox	UA-1545-EWR-IAH	5:30 AM, Dec 11	5:50 AM, Dec 11		8:09 AM, Dec 11	8:19 AM, Dec 11	
foxbusiness	UA-1545-EWR-IAH	5:30 AM, Dec 11	5:50 AM, Dec 11		8:09 AM, Dec 11	8:19 AM, Dec 11	
allegiantair	UA-1545-EWR-IAH	5:30 AM, Dec 11	5:50 AM, Dec 11		8:09 AM, Dec 11	8:19 AM, Dec 11	
boston	UA-1545-EWR-IAH	5:30 AM, Dec 11	5:50 AM, Dec 11		8:09 AM, Dec 11	8:19 AM, Dec 11	
travelocity	UA-1545-EWR-IAH	Dec 11 - 5:30am	Dec 11 - Contact Airline	Not provided by airline	Dec 11 - 8:26am	Dec 11 - Contact Airline	Not provided by airline
orbitz	UA-1545-EWR-IAH	5:30aDec 11	5:34aDec 11	 C71	8:26aDec 11	8:23aDec 11	 19
weather	UA-1545-EWR-IAH	2011-12-11 05:30 AM	2011-12-11 05:50 AM		2011-12-11 08:26 AM	2011-12-11 08:09 AM	
mytripandmore	UA-1545-EWR-IAH	5:30aDec 11	5:34aDec 11	 C71	8:26aDec 11	8:23aDec 11	 19
flightarrival	UA-1545-EWR-IAH	5:30 AM, Dec 11	5:50 AM, Dec 11		8:09 AM, Dec 11	8:19 AM, Dec 11	
aa	AA-1572-SAT-DFW	December 11, 2011               06:15 AM    	December 11, 2011               06:07 AM    	 B6	December 11, 2011               07:20 AM    	December 11, 2011               07:12 AM    	 D31    
flightexplorer	AA-1572-SAT-DFW		12/11/2011 6:22AM CST			12/11/2011 6:59AM CST	
airtravelcenter	AA-1572-SAT-DFW		12/11/11 6:22 AM (-06:00)			12/11/11 6:59 AM (-06:00)	
myrateplan	AA-1572-SAT-DFW		12/11/11 6:22 AM (-06:00)			12/11/11 6:59 AM (-06:00)	
helloflight	AA-1572-SAT-DFW		12/11/11 6:22 AM (-06:00)			12/11/11 6:59 AM (-06:00)	
flytecomm	AA-1572-SAT-DFW		12/11/11 6:22 AM (-06:00)			12/11/11 6:59 AM (-06:00)	
flightaware	AA-1572-SAT-DFW	2011-12-11 06:15AM CST	2011-12-11 06:22AM CST	 B6 	2011-12-11 07:10AM CST	2011-12-11 07:05AM CST	 D31 
wunderground	AA-1572-SAT-DFW	2011-12-11 06:15AM CST	2011-12-11 06:22AM CST	 B6 	2011-12-11 07:10AM CST	2011-12-11 07:05AM CST	 D31 
flights	AA-1572-SAT-DFW	06:15 AM  Sun 11-Dec-2011	06:07 AM  Sun 11-Dec-2011	6	07:20 AM  Sun 11-Dec-2011	07:12 AM  Sun 11-Dec-2011	D31
businesstravellogue	AA-1572-SAT-DFW	06:15 AM  Sun 11-Dec-2011	06:07 AM  Sun 11-Dec-2011	6	07:20 AM  Sun 11-Dec-2011	07:12 AM  Sun 11-Dec-2011	D31
flylouisville	AA-1572-SAT-DFW	06:15 AM  Sun 11-Dec-2011	06:07 AM  Sun 11-Dec-2011	6	07:20 AM  Sun 11-Dec-2011	07:12 AM  Sun 11-Dec-2011	D31
world-flight-tracker	AA-1572-SAT-DFW	2011-12-11 6:15 AM	2011-12-11 6:07 AM		2011-12-11 7:20 AM	2011-12-11 7:12 AM	
flightview	AA-1572-SAT-DFW	6:15 AM, Dec 11	6:22 AM, Dec 11	Terminal B	7:20 AM, Dec 11	7:06 AM, Dec 11	D31
panynj	AA-1572-SAT-DFW	6:15 AM, Dec 11	6:22 AM, Dec 11	Terminal B	7:20 AM, Dec 11	7:06 AM, Dec 11	D31
gofox	AA-1572-SAT-DFW	6:15 AM, Dec 11	6:22 AM, Dec 11		7:20 AM, Dec 11	7:06 AM, Dec 11	
foxbusiness	AA-1572-SAT-DFW	6:15 AM, Dec 11	6:22 AM, Dec 11	Terminal B	7:20 AM, Dec 11	7:06 AM, Dec 11	D31
allegiantair	AA-1572-SAT-DFW	6:15 AM, Dec 11	6:22 AM, Dec 11	Terminal B	7:20 AM, Dec 11	7:06 AM, Dec 11	D31
boston	AA-1572-SAT-DFW	6:15 AM, Dec 11	6:22 AM, Dec 11		7:20 AM, Dec 11	7:06 AM, Dec 11	
travelocity	AA-1572-SAT-DFW	Dec 11 - 6:15am	Dec 11 - 6:07am	B6	Dec 11 - 7:20am	Dec 11 - 7:12am	D31/D
orbitz	AA-1572-SAT-DFW	6:15aDec 11	6:07aDec 11	 B6	7:20aDec 11	7:12aDec 11	 D31
weather	AA-1572-SAT-DFW	2011-12-11 06:15 AM	2011-12-11 06:22 AM		2011-12-11 07:20 AM	2011-12-11 06:59 AM	
usatoday	AA-1572-SAT-DFW	2011-12-11 06:15 AM	2011-12-11 06:22 AM		2011-12-11 07:20 AM	2011-12-11 06:59 AM	
mytripandmore	AA-1572-SAT-DFW	6:15aDec 11	6:07aDec 11	 B6	7:20aDec 11	7:12aDec 11	 D31
flightwise	AA-1572-SAT-DFW	2011-12-11 06:15AM CST	2011-12-11 06:22AM CST	 B6 	2011-12-11 07:10AM CST	2011-12-11 07:05AM CST	 D31 
aa	AA-4344-DTW-ORD	December 11, 2011               02:45 PM    	December 11, 2011               02:37 PM    	 D28	December 11, 2011               03:10 PM    	December 11, 2011               02:41 PM    	 G1B    
flightexplorer	AA-4344-DTW-ORD		12/11/2011 2:49PM EST			12/11/2011 2:36PM CST	
airtravelcenter	AA-4344-DTW-ORD		12/11/11 2:49 PM (-05:00)			12/11/11 2:36 PM (-06:00)	
myrateplan	AA-4344-DTW-ORD		12/11/11 2:49 PM (-05:00)			12/11/11 2:36 PM (-06:00)	
helloflight	AA-4344-DTW-ORD		12/11/11 2:49 PM (-05:00)			12/11/11 2:36 PM (-06:00)	
flytecomm	AA-4344-DTW-ORD		12/11/11 2:49 PM (-05:00)			12/11/11 2:36 PM (-06:00)	
flightaware	AA-4344-DTW-ORD	2011-12-11 02:45PM EST	2011-12-11 02:48PM EST	 D28 	2011-12-11 02:50PM CST	2011-12-11 02:32PM CST	 G1B 
flightaware	AA-4344-DTW-ORD	2011-12-11 02:45PM EST	2011-12-11 02:48PM EST	 D28 	2011-12-11 02:50PM CST	2011-12-11 02:32PM CST	 G1B 
wunderground	AA-4344-DTW-ORD	2011-12-11 02:45PM EST	2011-12-11 02:48PM EST	 D28 	2011-12-11 02:50PM CST	2011-12-11 02:32PM CST	 G1B 
wunderground	AA-4344-DTW-ORD	2011-12-11 02:45PM EST	2011-12-11 02:48PM EST	 D28 	2011-12-11 02:50PM CST	2011-12-11 02:32PM CST	 G1B 
flights	AA-4344-DTW-ORD		2011-12-11 02:37 PM	D28		2011-12-11 02:41 PM	G1B
businesstravellogue	AA-4344-DTW-ORD		2011-12-11 02:37 PM	D28		2011-12-11 02:41 PM	G1B
flylouisville	AA-4344-DTW-ORD		2011-12-11 02:37 PM	D28		2011-12-11 02:41 PM	G1B
flightstats	AA-4344-DTW-ORD	2011-12-11 2:45 PM	2011-12-11 2:37 PM		2011-12-11 3:10 PM	2011-12-11 2:41 PM	
quicktrip	AA-4344-DTW-ORD	2011-12-11 2:45 PM	2011-12-11 2:37 PM		2011-12-11 3:10 PM	2011-12-11 2:41 PM	
flightview	AA-4344-DTW-ORD		2:49 PMDec 11			2:37 PMDec 11	
panynj	AA-4344-DTW-ORD		2:49 PMDec 11			2:37 PMDec 11	
gofox	AA-4344-DTW-ORD		2:49 PMDec 11			2:37 PMDec 11	
foxbusiness	AA-4344-DTW-ORD		2:49 PMDec 11			2:37 PMDec 11	
allegiantair	AA-4344-DTW-ORD		2:49 PMDec 11			2:37 PMDec 11	
boston	AA-4344-DTW-ORD		2:49 PMDec 11			2:37 PMDec 11	
orbitz	AA-4344-DTW-ORD	2:45pDec 11	2:37pDec 11	 D28	3:10pDec 11	2:41pDec 11	 G1B
ord	AA-4344-DTW-ORD	2011-12-11 2:45 PM		D28	2011-12-11 3:10 PM		G1B
usatoday	AA-4344-DTW-ORD		2:49 PMDec 11			2:37 PMDec 11	
mytripandmore	AA-4344-DTW-ORD	2:45pDec 11	2:37pDec 11	 D28	3:10pDec 11	2:41pDec 11	 G1B
flightarrival	AA-4344-DTW-ORD		2:49 PMDec 11			2:37 PMDec 11	
aa	AA-192-LAX-BOS	December 11, 2011               10:05 PM    	December 11, 2011     	 43	December 12, 2011               06:20 AM    	December 12, 2011     	 B34    
flightexplorer	AA-192-LAX-BOS		12/10/2011 10:16PM PST			12/11/2011 6:01AM EST	
flightexplorer	AA-192-LAX-BOS	12/11/2011 10:05PM PST			12/12/2011 6:20AM EST		
airtravelcenter	AA-192-LAX-BOS		12/11/11 10:09 PM (-08:00)			12/12/11 6:02 AM (-05:00)	
myrateplan	AA-192-LAX-BOS		12/11/11 10:09 PM (-08:00)			12/12/11 6:02 AM (-05:00)	
helloflight	AA-192-LAX-BOS		12/11/11 10:09 PM (-08:00)			12/12/11 6:02 AM (-05:00)	
flytecomm	AA-192-LAX-BOS		12/11/11 10:09 PM (-08:00)			12/12/11 6:02 AM (-05:00)	
flightaware	AA-192-LAX-BOS	2011-12-11 10:05PM PST	2011-12-11 10:16PM PST	 49A 	2011-12-11 06:12AM EST	2011-12-11 06:08AM EST	 B28 
wunderground	AA-192-LAX-BOS	2011-12-11 10:05PM PST	2011-12-11 10:16PM PST	 49A 	2011-12-11 06:12AM EST	2011-12-11 06:08AM EST	 B28 
flights	AA-192-LAX-BOS	10:05 PM  Sun 11-Dec-2011		43	06:20 AM  Mon 12-Dec-2011		B34
businesstravellogue	AA-192-LAX-BOS	10:05 PM  Sun 11-Dec-2011		43	06:20 AM  Mon 12-Dec-2011		B34
flylouisville	AA-192-LAX-BOS	10:05 PM  Sun 11-Dec-2011		43	06:20 AM  Mon 12-Dec-2011		B34
flightstats	AA-192-LAX-BOS	2011-12-11 10:05 PM	2011-12-11 10:05 PM (Estimated)		2011-12-11 6:20 AM	2011-12-11 6:20 AM (Estimated)	
quicktrip	AA-192-LAX-BOS	2011-12-11 10:05 PM	2011-12-11 10:05 PM (Estimated)		2011-12-11 6:20 AM	2011-12-11 6:20 AM (Estimated)	
world-flight-tracker	AA-192-LAX-BOS	2011-12-11 10:05 PM	2011-12-11 10:05 PM (Estimated)		2011-12-11 6:20 AM	2011-12-11 6:20 AM (Estimated)	
flightview	AA-192-LAX-BOS	10:05 PM, Dec 11		Terminal 4 - 43	6:20 AM, Dec 12		Terminal B - B34
panynj	AA-192-LAX-BOS	10:05 PM, Dec 11		Terminal 4 - 43	6:20 AM, Dec 12		Terminal B - B34
gofox	AA-192-LAX-BOS	10:05 PM, Dec 11			6:20 AM, Dec 12		
foxbusiness	AA-192-LAX-BOS	10:05 PM, Dec 11		Terminal 4 - 43	6:20 AM, Dec 12		Terminal B - B34
allegiantair	AA-192-LAX-BOS	10:05 PM, Dec 11		Terminal 4 - 43	6:20 AM, Dec 12		Terminal B - B34
boston	AA-192-LAX-BOS	10:05 PM, Dec 11	Not Available		6:20 AM, Dec 12	Not Available	
travelocity	AA-192-LAX-BOS	Dec 11 - 10:05pm	Dec 11 - Not Available	43/T4	Dec 12 - 6:20am	Dec 12 - Not Available	B34
