CO	CO-4237-EWR-DTW	Tue., Dec.27, 2011 12:17 p.m.	Tue., Dec.27, 2011 12:20 p.m.		Tue., Dec.27, 2011 2:24 p.m.	Tue., Dec.27, 2011 2:07 p.m.	
flylouisville	UA-1722-LAS-CLE		2011-12-27 11:09 AM	D51		2011-12-27 06:08 PM	C9
flightview	UA-1722-LAS-CLE		11:28 AMDec 27			6:08 PMDec 27	
panynj	UA-1722-LAS-CLE		11:28 AMDec 27			6:08 PMDec 27	
gofox	UA-1722-LAS-CLE		11:28 AMDec 27			6:08 PMDec 27	
foxbusiness	UA-1722-LAS-CLE		11:28 AMDec 27			6:08 PMDec 27	
allegiantair	UA-1722-LAS-CLE		11:28 AMDec 27			6:08 PMDec 27	
boston	UA-1722-LAS-CLE		11:28 AMDec 27			6:00 PMDec 27	
orbitz	UA-1722-LAS-CLE	11:15aDec 27	11:09aDec 27	 D51	6:24pDec 27	6:08pDec 27	 C09
ua	UA-1203-CLE-IAH	Tue, Dec 27 8:50 PM	Tue, Dec 27 9:07 PM            Delayed	C08	Tue, Dec 27 11:00 PM	Tue, Dec 27 10:55 PM	E16
flightexplorer	UA-1203-CLE-IAH		12/27/2011 9:25PM EST			12/27/2011 10:53PM CST	
airtravelcenter	UA-1203-CLE-IAH	12/27/11 8:50 PM (-05:00)			12/27/11 11:00 PM (-06:00)		
myrateplan	UA-1203-CLE-IAH	12/27/11 8:50 PM (-05:00)			12/27/11 11:00 PM (-06:00)		
helloflight	UA-1203-CLE-IAH	12/27/11 8:50 PM (-05:00)			12/27/11 11:00 PM (-06:00)		
flytecomm	UA-1203-CLE-IAH	12/27/11 8:50 PM (-05:00)			12/27/11 11:00 PM (-06:00)		
flightaware	UA-1203-CLE-IAH	2011-12-27 08:50PM EST	2011-12-27 09:26PM EST	 C8 	2011-12-27 10:36PM CST	2011-12-27 10:51PM CST	 E16 
wunderground	UA-1203-CLE-IAH	2011-12-27 08:50PM EST	2011-12-27 09:26PM EST	 C8 	2011-12-27 10:36PM CST	2011-12-27 10:51PM CST	 E16 
flights	UA-1203-CLE-IAH		2011-12-27 09:07 PM	C8		2011-12-27 10:55 PM	16
businesstravellogue	UA-1203-CLE-IAH		2011-12-27 09:07 PM	C8		2011-12-27 10:55 PM	16
flylouisville	UA-1203-CLE-IAH		2011-12-27 09:07 PM	C8		2011-12-27 10:55 PM	16
flightstats	UA-1203-CLE-IAH	2011-12-27 8:50 PM	2011-12-27 9:07 PM		2011-12-27 11:00 PM	2011-12-27 10:55 PM	
quicktrip	UA-1203-CLE-IAH	2011-12-27 8:50 PM	2011-12-27 9:07 PM		2011-12-27 11:00 PM	2011-12-27 10:55 PM	
flightview	UA-1203-CLE-IAH		9:26 PMDec 27			10:55 PMDec 27	
panynj	UA-1203-CLE-IAH		9:26 PMDec 27			10:55 PMDec 27	
gofox	UA-1203-CLE-IAH		9:26 PMDec 27			10:55 PMDec 27	
foxbusiness	UA-1203-CLE-IAH		9:26 PMDec 27			10:55 PMDec 27	
allegiantair	UA-1203-CLE-IAH		9:26 PMDec 27			10:55 PMDec 27	
boston	UA-1203-CLE-IAH		9:26 PMDec 27			10:52 PMDec 27	
orbitz	UA-1203-CLE-IAH	8:50pDec 27	9:07pDec 27	 C08	11:00pDec 27	10:55pDec 27	 E16
ifly	UA-1203-CLE-IAH	2011-12-27 8:50 PM	2011-12-27 9:07 PM		2011-12-27 11:00 PM	2011-12-27 10:55 PM	
mytripandmore	UA-1203-CLE-IAH	8:50pDec 27	9:07pDec 27	 C08	11:00pDec 27	10:55pDec 27	 E16
flightarrival	UA-1203-CLE-IAH		9:26 PMDec 27			10:52 PMDec 27	
ua	UA-91-EWR-LAX	Wed, Dec 28 6:30 AM	Wed, Dec 28 6:30 AM            On Time	C131	Wed, Dec 28 9:49 AM	Wed, Dec 28 9:49 AM	--
flightexplorer	UA-91-EWR-LAX		12/27/2011 6:38AM EST			12/27/2011 9:08AM PST	
airtravelcenter	UA-91-EWR-LAX	12/27/11 6:30 AM (-05:00)			12/27/11 9:49 AM (-08:00)		
myrateplan	UA-91-EWR-LAX	12/27/11 6:30 AM (-05:00)			12/27/11 9:49 AM (-08:00)		
helloflight	UA-91-EWR-LAX	12/27/11 6:30 AM (-05:00)			12/27/11 9:49 AM (-08:00)		
flytecomm	UA-91-EWR-LAX	12/27/11 6:30 AM (-05:00)			12/27/11 9:49 AM (-08:00)		
flightaware	UA-91-EWR-LAX	2011-12-27 06:30AM EST	2011-12-27 06:39AM EST		2011-12-27 09:39AM PST	2011-12-27 09:09AM PST	
wunderground	UA-91-EWR-LAX	2011-12-27 06:30AM EST	2011-12-27 06:39AM EST		2011-12-27 09:39AM PST	2011-12-27 09:09AM PST	
flights	UA-91-EWR-LAX		2011-12-27 06:26 AM	103		2011-12-27 09:20 AM	60
businesstravellogue	UA-91-EWR-LAX		2011-12-27 06:26 AM	103		2011-12-27 09:20 AM	60
flylouisville	UA-91-EWR-LAX		2011-12-27 06:26 AM	103		2011-12-27 09:20 AM	60
flightstats	UA-91-EWR-LAX	2011-12-27 6:30 AM	2011-12-27 6:26 AM		2011-12-27 9:49 AM	2011-12-27 9:20 AM	
quicktrip	UA-91-EWR-LAX	2011-12-27 6:30 AM	2011-12-27 6:26 AM		2011-12-27 9:49 AM	2011-12-27 9:20 AM	
flightview	UA-91-EWR-LAX		6:40 AMDec 27			9:09 AMDec 27	
panynj	UA-91-EWR-LAX		6:40 AMDec 27			9:09 AMDec 27	
gofox	UA-91-EWR-LAX		6:40 AMDec 27			9:09 AMDec 27	
foxbusiness	UA-91-EWR-LAX		6:40 AMDec 27			9:09 AMDec 27	
allegiantair	UA-91-EWR-LAX		6:40 AMDec 27			9:09 AMDec 27	
boston	UA-91-EWR-LAX		6:40 AMDec 27			9:09 AMDec 27	
orbitz	UA-91-EWR-LAX	6:30aDec 28		 C131	9:49aDec 28		 -
usatoday	UA-91-EWR-LAX		6:40 AMDec 27			9:09 AMDec 27	
mytripandmore	UA-91-EWR-LAX	6:30aDec 28		 C131	9:49aDec 28		 -
flightarrival	UA-91-EWR-LAX		6:40 AMDec 27			9:09 AMDec 27	
ua	UA-1197-SMF-IAH	Tue, Dec 27 6:15 AM	Tue, Dec 27 6:29 AM	14	Tue, Dec 27 11:54 AM	Tue, Dec 27 12:29 PM	C-23
flightexplorer	UA-1197-SMF-IAH		12/27/2011 7:06AM PST			12/27/2011 12:16PM CST	
airtravelcenter	UA-1197-SMF-IAH	12/27/11 6:15 AM (-08:00)			12/27/11 11:54 AM (-06:00)		
myrateplan	UA-1197-SMF-IAH	12/27/11 6:15 AM (-08:00)			12/27/11 11:54 AM (-06:00)		
helloflight	UA-1197-SMF-IAH	12/27/11 6:15 AM (-08:00)			12/27/11 11:54 AM (-06:00)		
flytecomm	UA-1197-SMF-IAH	12/27/11 6:15 AM (-08:00)			12/27/11 11:54 AM (-06:00)		
flights	UA-1197-SMF-IAH		2011-12-27 06:29 AM	14		2011-12-27 12:29 PM	23
businesstravellogue	UA-1197-SMF-IAH		2011-12-27 06:29 AM	14		2011-12-27 12:29 PM	23
flylouisville	UA-1197-SMF-IAH		2011-12-27 06:29 AM	14		2011-12-27 12:29 PM	23
flightview	UA-1197-SMF-IAH		7:08 AMDec 27			12:21 PMDec 27	
panynj	UA-1197-SMF-IAH		7:08 AMDec 27			12:21 PMDec 27	
gofox	UA-1197-SMF-IAH		7:08 AMDec 27			12:21 PMDec 27	
foxbusiness	UA-1197-SMF-IAH		7:08 AMDec 27			12:21 PMDec 27	
allegiantair	UA-1197-SMF-IAH		7:08 AMDec 27			12:21 PMDec 27	
boston	UA-1197-SMF-IAH		7:08 AMDec 27			12:21 PMDec 27	
travelocity	UA-1197-SMF-IAH	Dec 27 - 6:15am	Dec 27 - Contact Airline	Not provided by airline	Dec 27 - 11:54am	Dec 27 - Contact Airline	Not provided by airline
orbitz	UA-1197-SMF-IAH	6:15aDec 27	6:29aDec 27	 14	11:54aDec 27	12:29pDec 27	 23
weather	UA-1197-SMF-IAH	2011-12-27 06:15 AM	2011-12-27 07:08 AM		2011-12-27 11:54 AM	2011-12-27 12:19 PM	
flightarrival	UA-1197-SMF-IAH	2011-12-27 06:15 AM	2011-12-27 07:08 AM		2011-12-27 11:54 AM	2011-12-27 12:19 PM	
ua	UA-4237-EWR-DTW	Tue, Dec 27 12:17 PM	Tue, Dec 27 12:20 PM	A27	Tue, Dec 27 2:24 PM	Tue, Dec 27 2:07 PM	D-2
airtravelcenter	UA-4237-EWR-DTW	12/27/11 12:17 PM (-05:00)			12/27/11 2:24 PM (-05:00)		
myrateplan	UA-4237-EWR-DTW	12/27/11 12:17 PM (-05:00)			12/27/11 2:24 PM (-05:00)		
helloflight	UA-4237-EWR-DTW	12/27/11 12:17 PM (-05:00)			12/27/11 2:24 PM (-05:00)		
flytecomm	UA-4237-EWR-DTW	12/27/11 12:17 PM (-05:00)			12/27/11 2:24 PM (-05:00)		
flights	UA-4237-EWR-DTW		2011-12-27 12:20 PM	27		2011-12-27 02:07 PM	D2
businesstravellogue	UA-4237-EWR-DTW		2011-12-27 12:20 PM	27		2011-12-27 02:07 PM	D2
flylouisville	UA-4237-EWR-DTW		2011-12-27 12:20 PM	27		2011-12-27 02:07 PM	D2
flightview	UA-4237-EWR-DTW		12:33 PMDec 27			2:07 PMDec 27	
panynj	UA-4237-EWR-DTW		12:33 PMDec 27			2:07 PMDec 27	
gofox	UA-4237-EWR-DTW		12:33 PMDec 27			2:07 PMDec 27	
foxbusiness	UA-4237-EWR-DTW		12:33 PMDec 27			2:07 PMDec 27	
allegiantair	UA-4237-EWR-DTW		12:33 PMDec 27			2:07 PMDec 27	
boston	UA-4237-EWR-DTW		12:33 PMDec 27			1:58 PMDec 27	
travelocity	UA-4237-EWR-DTW	Dec 27 - 12:17pm	Dec 27 - Contact Airline	Not provided by airline	Dec 27 - 2:24pm	Dec 27 - Contact Airline	Not provided by airline
orbitz	UA-4237-EWR-DTW	12:17pDec 27	12:20pDec 27	 -	2:24pDec 27	2:07pDec 27	 -
weather	UA-4237-EWR-DTW	2011-12-27 12:17 PM			2011-12-27 02:24 PM		
mytripandmore	UA-4237-EWR-DTW	Dec 27 - 12:17pm	Dec 27 - Contact Airline	Not provided by airline	Dec 27 - 2:24pm	Dec 27 - Contact Airline	Not provided by airline
ua	UA-6102-ORD-MEM	Tue, Dec 27 11:57 AM	Tue, Dec 27 11:57 AM            On Time	F11B	Tue, Dec 27 1:44 PM	Tue, Dec 27 1:44 PM	--
airtravelcenter	UA-6102-ORD-MEM	12/27/11 11:57 AM (-06:00)			12/27/11 1:44 PM (-06:00)		
myrateplan	UA-6102-ORD-MEM	12/27/11 11:57 AM (-06:00)			12/27/11 1:44 PM (-06:00)		
helloflight	UA-6102-ORD-MEM	12/27/11 11:57 AM (-06:00)			12/27/11 1:44 PM (-06:00)		
flytecomm	UA-6102-ORD-MEM	12/27/11 11:57 AM (-06:00)			12/27/11 1:44 PM (-06:00)		
flights	UA-6102-ORD-MEM	2011-12-27 11:57 AM		F11B	2011-12-27 01:44 PM		
businesstravellogue	UA-6102-ORD-MEM	2011-12-27 11:57 AM		F11B	2011-12-27 01:44 PM		
flylouisville	UA-6102-ORD-MEM	2011-12-27 11:57 AM		F11B	2011-12-27 01:44 PM		
flightview	UA-6102-ORD-MEM	11:57 AMDec 27			1:44 PMDec 27		
panynj	UA-6102-ORD-MEM	11:57 AMDec 27			1:44 PMDec 27		
gofox	UA-6102-ORD-MEM	11:57 AMDec 27			1:44 PMDec 27		
foxbusiness	UA-6102-ORD-MEM	11:57 AMDec 27			1:44 PMDec 27		
allegiantair	UA-6102-ORD-MEM	11:57 AMDec 27			1:44 PMDec 27		
boston	UA-6102-ORD-MEM	11:57 AMDec 27			1:30 PMDec 27		
orbitz	UA-6102-ORD-MEM	11:57aDec 27		 F11B	1:44pDec 27		 -
aa	AA-1254-LAX-MIA	December 27, 2011               09:35 PM    	December 27, 2011     	 47B	December 28, 2011               05:20 AM    	December 28, 2011     	 D6    
flightexplorer	AA-1254-LAX-MIA		12/26/2011 9:57PM PST			12/27/2011 5:20AM EST	
flightexplorer	AA-1254-LAX-MIA	12/27/2011 9:35PM PST			12/28/2011 5:20AM EST		
airtravelcenter	AA-1254-LAX-MIA		12/27/11 9:52 PM (-08:00)			12/28/11 5:11 AM (-05:00)	
flightaware	AA-1254-LAX-MIA	2011-12-27 09:35PM PST	2011-12-27 09:57PM PST	 42A 	2011-12-27 05:11AM EST	2011-12-27 05:17AM EST	 D4 
wunderground	AA-1254-LAX-MIA	2011-12-27 09:35PM PST	2011-12-27 09:57PM PST	 42A 	2011-12-27 05:11AM EST	2011-12-27 05:17AM EST	 D4 
flights	AA-1254-LAX-MIA	09:35 PM  Tue 27-Dec-2011		47B	05:20 AM  Wed 28-Dec-2011		D6
businesstravellogue	AA-1254-LAX-MIA	09:35 PM  Tue 27-Dec-2011		47B	05:20 AM  Wed 28-Dec-2011		D6
flylouisville	AA-1254-LAX-MIA	09:35 PM  Tue 27-Dec-2011		47B	05:20 AM  Wed 28-Dec-2011		D6
flightstats	AA-1254-LAX-MIA	2011-12-27 9:35 PM	2011-12-27 9:35 PM (Estimated)		2011-12-27 5:20 AM	2011-12-27 5:20 AM (Estimated)	
quicktrip	AA-1254-LAX-MIA	2011-12-27 9:35 PM	2011-12-27 9:35 PM (Estimated)		2011-12-27 5:20 AM	2011-12-27 5:20 AM (Estimated)	
world-flight-tracker	AA-1254-LAX-MIA	2011-12-27 9:35 PM	2011-12-27 9:35 PM (Estimated)		2011-12-27 5:20 AM	2011-12-27 5:20 AM (Estimated)	
flightview	AA-1254-LAX-MIA	9:35 PM, Dec 27		Terminal 4 - 47B	5:20 AM, Dec 28		D6
panynj	AA-1254-LAX-MIA	9:35 PM, Dec 27		Terminal 4 - 47B	5:20 AM, Dec 28		D6
gofox	AA-1254-LAX-MIA	9:35 PM, Dec 27			5:20 AM, Dec 28		
foxbusiness	AA-1254-LAX-MIA	9:35 PM, Dec 27		Terminal 4 - 47B	5:20 AM, Dec 28		D6
allegiantair	AA-1254-LAX-MIA	9:35 PM, Dec 27		Terminal 4 - 47B	5:20 AM, Dec 28		D6
boston	AA-1254-LAX-MIA	9:35 PM, Dec 27	Not Available		5:20 AM, Dec 28	Not Available	
travelocity	AA-1254-LAX-MIA	Dec 27 - 9:35pm	Dec 27 - Not Available	47B/T4	Dec 28 - 5:20am	Dec 28 - Not Available	D6
orbitz	AA-1254-LAX-MIA	9:35pDec 27		 47B	5:20aDec 28		 D6
weather	AA-1254-LAX-MIA	2011-12-27 09:35 PM	2011-12-27 09:57 PM		2011-12-27 05:20 AM	2011-12-27 05:20 AM	
mia	AA-1254-LAX-MIA				5:20A 12-27-11	2011-12-27  5:22A	
flightwise	AA-1254-LAX-MIA	2011-12-27 09:35PM PST	2011-12-27 09:57PM PST	 42A 	2011-12-27 05:11AM EST	2011-12-27 05:17AM EST	 D4 
flightarrival	AA-1254-LAX-MIA	2011-12-27 09:35 PM	2011-12-27 09:57 PM		2011-12-27 05:20 AM	2011-12-27 05:20 AM	
aa	AA-3842-MSP-ORD	December 27, 2011               06:00 AM    	December 27, 2011               06:00 AM    	 E12	December 27, 2011               07:30 AM    	December 27, 2011               07:34 AM    	 G3    
flightexplorer	AA-3842-MSP-ORD		12/27/2011 6:16AM CST			12/27/2011 7:21AM CST	
airtravelcenter	AA-3842-MSP-ORD		12/27/11 6:16 AM (-06:00)			12/27/11 7:21 AM (-06:00)	
myrateplan	AA-3842-MSP-ORD		12/27/11 6:16 AM (-06:00)			12/27/11 7:21 AM (-06:00)	
helloflight	AA-3842-MSP-ORD		12/27/11 6:16 AM (-06:00)			12/27/11 7:21 AM (-06:00)	
flytecomm	AA-3842-MSP-ORD		12/27/11 6:16 AM (-06:00)			12/27/11 7:21 AM (-06:00)	
flightaware	AA-3842-MSP-ORD	2011-12-27 06:00AM CST	2011-12-27 06:16AM CST	 E12 	2011-12-27 07:15AM CST	2011-12-27 07:18AM CST	 G3 
wunderground	AA-3842-MSP-ORD	2011-12-27 06:00AM CST	2011-12-27 06:16AM CST	 E12 	2011-12-27 07:15AM CST	2011-12-27 07:18AM CST	 G3 
flights	AA-3842-MSP-ORD	06:00 AM  Tue 27-Dec-2011	06:00 AM  Tue 27-Dec-2011	E12	07:30 AM  Tue 27-Dec-2011	07:34 AM  Tue 27-Dec-2011	G3
businesstravellogue	AA-3842-MSP-ORD	06:00 AM  Tue 27-Dec-2011	06:00 AM  Tue 27-Dec-2011	E12	07:30 AM  Tue 27-Dec-2011	07:34 AM  Tue 27-Dec-2011	G3
flylouisville	AA-3842-MSP-ORD	06:00 AM  Tue 27-Dec-2011	06:00 AM  Tue 27-Dec-2011	E12	07:30 AM  Tue 27-Dec-2011	07:34 AM  Tue 27-Dec-2011	G3
flightstats	AA-3842-MSP-ORD	2011-12-27 6:00 AM	2011-12-27 6:00 AM		2011-12-27 7:30 AM	2011-12-27 7:34 AM	
quicktrip	AA-3842-MSP-ORD	2011-12-27 6:00 AM	2011-12-27 6:00 AM		2011-12-27 7:30 AM	2011-12-27 7:34 AM	
world-flight-tracker	AA-3842-MSP-ORD	2011-12-27 6:00 AM	2011-12-27 6:00 AM		2011-12-27 7:30 AM	2011-12-27 7:34 AM	
flightview	AA-3842-MSP-ORD	6:00 AM, Dec 27	6:16 AM, Dec 27	E12	7:30 AM, Dec 27	7:19 AM, Dec 27	G3
panynj	AA-3842-MSP-ORD	6:00 AM, Dec 27	6:16 AM, Dec 27	E12	7:30 AM, Dec 27	7:19 AM, Dec 27	G3
gofox	AA-3842-MSP-ORD	6:00 AM, Dec 27	6:16 AM, Dec 27		7:30 AM, Dec 27	7:19 AM, Dec 27	
foxbusiness	AA-3842-MSP-ORD	6:00 AM, Dec 27	6:16 AM, Dec 27	E12	7:30 AM, Dec 27	7:19 AM, Dec 27	G3
allegiantair	AA-3842-MSP-ORD	6:00 AM, Dec 27	6:16 AM, Dec 27	E12	7:30 AM, Dec 27	7:19 AM, Dec 27	G3
boston	AA-3842-MSP-ORD	6:00 AM, Dec 27	6:16 AM, Dec 27		7:30 AM, Dec 27	7:19 AM, Dec 27	
travelocity	AA-3842-MSP-ORD	Dec 27 - 6:00am	Dec 27 - 6:00am	E12	Dec 27 - 7:30am	Dec 27 - 7:34am	G3/T3
orbitz	AA-3842-MSP-ORD	6:00aDec 27	6:00aDec 27	 E12	7:30aDec 27	7:34aDec 27	 G3
weather	AA-3842-MSP-ORD	2011-12-27 06:00 AM			2011-12-27 07:30 AM		
ord	AA-3842-MSP-ORD	2011-12-27 6:00 AM		E12	2011-12-27 7:30 AM		G3
usatoday	AA-3842-MSP-ORD	2011-12-27 6:00 AM	2011-12-27 6:00 AM		2011-12-27 7:30 AM	2011-12-27 7:34 AM	
mytripandmore	AA-3842-MSP-ORD	6:00aDec 27	6:00aDec 27	 E12	7:30aDec 27	7:34aDec 27	 G3
flightarrival	AA-3842-MSP-ORD	6:00 AM, Dec 27	6:16 AM, Dec 27		7:30 AM, Dec 27	7:19 AM, Dec 27	
CO	CO-1104-EWR-BOS	Tue., Dec.27, 2011 2:30 p.m.	Tue., Dec.27, 2011 2:27 p.m.		Tue., Dec.27, 2011 3:39 p.m.	Tue., Dec.27, 2011 3:30 p.m.	
flightexplorer	CO-1104-EWR-BOS		12/27/2011 2:44PM EST			12/27/2011 3:15PM EST	
airtravelcenter	CO-1104-EWR-BOS	12/27/11 2:30 PM (-05:00)			12/27/11 3:39 PM (-05:00)		
myrateplan	CO-1104-EWR-BOS	12/27/11 2:30 PM (-05:00)			12/27/11 3:39 PM (-05:00)		
helloflight	CO-1104-EWR-BOS	12/27/11 2:30 PM (-05:00)			12/27/11 3:39 PM (-05:00)		
flytecomm	CO-1104-EWR-BOS	12/27/11 2:30 PM (-05:00)			12/27/11 3:39 PM (-05:00)		
flightaware	CO-1104-EWR-BOS	2011-12-27 02:30PM EST	2011-12-27 02:45PM EST	 C84 	2011-12-27 03:29PM EST	2011-12-27 03:25PM EST	 A6 
flightaware	CO-1104-EWR-BOS	2011-12-27 02:30PM EST	2011-12-27 02:45PM EST	 C84 	2011-12-27 03:29PM EST	2011-12-27 03:25PM EST	 A6 
wunderground	CO-1104-EWR-BOS	2011-12-27 02:30PM EST	2011-12-27 02:45PM EST	 C84 	2011-12-27 03:29PM EST	2011-12-27 03:25PM EST	 A6 
wunderground	CO-1104-EWR-BOS	2011-12-27 02:30PM EST	2011-12-27 02:45PM EST	 C84 	2011-12-27 03:29PM EST	2011-12-27 03:25PM EST	 A6 
flights	CO-1104-EWR-BOS		2011-12-27 02:27 PM	84		2011-12-27 03:30 PM	A6
businesstravellogue	CO-1104-EWR-BOS		2011-12-27 02:27 PM	84		2011-12-27 03:30 PM	A6
flylouisville	CO-1104-EWR-BOS		2011-12-27 02:27 PM	84		2011-12-27 03:30 PM	A6
flightstats	CO-1104-EWR-BOS	2011-12-27 2:30 PM	2011-12-27 2:27 PM		2011-12-27 3:39 PM	2011-12-27 3:30 PM	
quicktrip	CO-1104-EWR-BOS	2011-12-27 2:30 PM	2011-12-27 2:27 PM		2011-12-27 3:39 PM	2011-12-27 3:30 PM	
flightview	CO-1104-EWR-BOS		2:27 PMDec 27			3:30 PMDec 27	
panynj	CO-1104-EWR-BOS		2:27 PMDec 27			3:30 PMDec 27	
gofox	CO-1104-EWR-BOS		2:27 PMDec 27			3:30 PMDec 27	
foxbusiness	CO-1104-EWR-BOS		2:27 PMDec 27			3:30 PMDec 27	
allegiantair	CO-1104-EWR-BOS		2:27 PMDec 27			3:30 PMDec 27	
boston	CO-1104-EWR-BOS	2:30 PMDec 27			3:39 PMDec 27		
orbitz	CO-1104-EWR-BOS	2:30pDec 27	2:27pDec 27	 C84	3:39pDec 27	3:30pDec 27	 A6
usatoday	CO-1104-EWR-BOS	2:30 PMDec 27			3:39 PMDec 27		
flightwise	CO-1104-EWR-BOS	2011-12-27 02:30PM EST	2011-12-27 02:45PM EST	 C84 	2011-12-27 03:29PM EST	2011-12-27 03:25PM EST	 A6 
CO	CO-1075-IAH-EWR	Tue., Dec.27, 2011 7:55 a.m.	Tue., Dec.27, 2011 7:54 a.m.		Tue., Dec.27, 2011 12:28 p.m.	Tue., Dec.27, 2011 12:19 p.m.	
flightexplorer	CO-1075-IAH-EWR		12/27/2011 8:09AM CST			12/27/2011 11:57AM EST	
airtravelcenter	CO-1075-IAH-EWR	12/27/11 7:55 AM (-06:00)			12/27/11 12:28 PM (-05:00)		
myrateplan	CO-1075-IAH-EWR	12/27/11 7:55 AM (-06:00)			12/27/11 12:28 PM (-05:00)		
helloflight	CO-1075-IAH-EWR	12/27/11 7:55 AM (-06:00)			12/27/11 12:28 PM (-05:00)		
flytecomm	CO-1075-IAH-EWR	12/27/11 7:55 AM (-06:00)			12/27/11 12:28 PM (-05:00)		
flightaware	CO-1075-IAH-EWR	2011-12-27 07:55AM CST	2011-12-27 08:08AM CST		2011-12-27 11:39AM EST	2011-12-27 11:52AM EST	
wunderground	CO-1075-IAH-EWR	2011-12-27 07:55AM CST	2011-12-27 08:08AM CST		2011-12-27 11:39AM EST	2011-12-27 11:52AM EST	
flights	CO-1075-IAH-EWR	07:55 AM  Tue 27-Dec-2011	07:54 AM  Tue 27-Dec-2011	20	12:28 PM  Tue 27-Dec-2011	12:19 PM  Tue 27-Dec-2011	74
businesstravellogue	CO-1075-IAH-EWR	07:55 AM  Tue 27-Dec-2011	07:54 AM  Tue 27-Dec-2011	20	12:28 PM  Tue 27-Dec-2011	12:19 PM  Tue 27-Dec-2011	74
flylouisville	CO-1075-IAH-EWR	07:55 AM  Tue 27-Dec-2011	07:54 AM  Tue 27-Dec-2011	20	12:28 PM  Tue 27-Dec-2011	12:19 PM  Tue 27-Dec-2011	74
flightstats	CO-1075-IAH-EWR	2011-12-27 7:55 AM	2011-12-27 7:54 AM		2011-12-27 12:28 PM	2011-12-27 12:19 PM	
quicktrip	CO-1075-IAH-EWR	2011-12-27 7:55 AM	2011-12-27 7:54 AM		2011-12-27 12:28 PM	2011-12-27 12:19 PM	
world-flight-tracker	CO-1075-IAH-EWR	2011-12-27 7:55 AM	2011-12-27 7:54 AM		2011-12-27 12:28 PM	2011-12-27 12:19 PM	
flightview	CO-1075-IAH-EWR	7:55 AM, Dec 27	8:11 AM, Dec 27	Term C - E20	12:28 PM, Dec 27	12:19 PM, Dec 27	Term C - C74
panynj	CO-1075-IAH-EWR	7:55 AM, Dec 27	8:11 AM, Dec 27	Term C - E20	12:28 PM, Dec 27	12:19 PM, Dec 27	Term C - C74
gofox	CO-1075-IAH-EWR	7:55 AM, Dec 27	8:11 AM, Dec 27		12:28 PM, Dec 27	12:19 PM, Dec 27	
foxbusiness	CO-1075-IAH-EWR	7:55 AM, Dec 27	8:11 AM, Dec 27	Term C - E20	12:28 PM, Dec 27	12:19 PM, Dec 27	Term C - C74
allegiantair	CO-1075-IAH-EWR	7:55 AM, Dec 27	8:11 AM, Dec 27	Term C - E20	12:28 PM, Dec 27	12:19 PM, Dec 27	Term C - C74
boston	CO-1075-IAH-EWR	7:55 AM, Dec 27	8:11 AM, Dec 27		12:28 PM, Dec 27	12:09 PM, Dec 27	
travelocity	CO-1075-IAH-EWR	Dec 27 - 7:55am	Dec 27 - 7:54am	E20	Dec 27 - 12:28pm	Dec 27 - 12:19pm	C74
orbitz	CO-1075-IAH-EWR	7:55aDec 27	7:54aDec 27	 E20	12:28pDec 27	12:19pDec 27	 C74
weather	CO-1075-IAH-EWR	2011-12-27 07:55 AM			2011-12-27 12:28 PM		
usatoday	CO-1075-IAH-EWR	2011-12-27 07:55 AM			2011-12-27 12:28 PM		
flightarrival	CO-1075-IAH-EWR	2011-12-27 07:55 AM			2011-12-27 12:28 PM		
aa	AA-18-SFO-JFK	December 27, 2011               11:00 PM    	December 27, 2011     	 56A	December 28, 2011               07:25 AM    	December 28, 2011     	 3    
flightexplorer	AA-18-SFO-JFK		12/26/2011 11:59PM PST			12/27/2011 7:48AM EST	
flightexplorer	AA-18-SFO-JFK	12/27/2011 11:00PM PST			12/28/2011 7:25AM EST		
airtravelcenter	AA-18-SFO-JFK		12/27/11 11:24 PM (-08:00)			12/28/11 7:18 AM (-05:00)	
myrateplan	AA-18-SFO-JFK		12/27/11 11:24 PM (-08:00)			12/28/11 7:18 AM (-05:00)	
helloflight	AA-18-SFO-JFK		12/27/11 11:24 PM (-08:00)			12/28/11 7:18 AM (-05:00)	
flytecomm	AA-18-SFO-JFK		12/27/11 11:24 PM (-08:00)			12/28/11 7:18 AM (-05:00)	
flightaware	AA-18-SFO-JFK	2011-12-27 11:00PM PST	2011-12-27 11:59PM PST	 58B 	2011-12-27 07:11AM EST	2011-12-27 07:47AM EST	 3 
wunderground	AA-18-SFO-JFK	2011-12-27 11:00PM PST	2011-12-27 11:59PM PST	 58B 	2011-12-27 07:11AM EST	2011-12-27 07:47AM EST	 3 
flights	AA-18-SFO-JFK	11:00 PM  Tue 27-Dec-2011			07:25 AM  Wed 28-Dec-2011		
businesstravellogue	AA-18-SFO-JFK	11:00 PM  Tue 27-Dec-2011			07:25 AM  Wed 28-Dec-2011		
flylouisville	AA-18-SFO-JFK	11:00 PM  Tue 27-Dec-2011			07:25 AM  Wed 28-Dec-2011		
flightstats	AA-18-SFO-JFK	2011-12-27 11:00 PM	2011-12-27 11:24 PM (Estimated runway)		2011-12-27 7:25 AM	2011-12-27 7:18 AM (Estimated runway)	
quicktrip	AA-18-SFO-JFK	2011-12-27 11:00 PM	2011-12-27 11:24 PM (Estimated runway)		2011-12-27 7:25 AM	2011-12-27 7:18 AM (Estimated runway)	
