CO	CO-4237-EWR-DTW	Sat., Dec.17, 2011 12:33 p.m.	Sat., Dec.17, 2011 12:34 p.m.		Sat., Dec.17, 2011 2:38 p.m.	Sat., Dec.17, 2011 2:23 p.m.	
helloflight	CO-51-EWR-CLE	12/17/11 3:10 PM (-05:00)			12/17/11 4:59 PM (-05:00)		
flytecomm	CO-51-EWR-CLE	12/17/11 3:10 PM (-05:00)			12/17/11 4:59 PM (-05:00)		
flightaware	CO-51-EWR-CLE	2011-12-17 03:10PM EST	2011-12-17 05:19PM EST	 C98 	2011-12-17 04:38PM EST	2011-12-17 06:23PM EST	 C16 
wunderground	CO-51-EWR-CLE	2011-12-17 03:10PM EST	2011-12-17 05:19PM EST	 C98 	2011-12-17 04:38PM EST	2011-12-17 06:23PM EST	 C16 
flights	CO-51-EWR-CLE		2011-12-17 05:03 PM	98		2011-12-17 06:34 PM	C16
businesstravellogue	CO-51-EWR-CLE		2011-12-17 05:03 PM	98		2011-12-17 06:34 PM	C16
flylouisville	CO-51-EWR-CLE		2011-12-17 05:03 PM	98		2011-12-17 06:34 PM	C16
flightstats	CO-51-EWR-CLE	2011-12-17 3:10 PM	2011-12-17 5:03 PM		2011-12-17 4:59 PM	2011-12-17 6:34 PM	
quicktrip	CO-51-EWR-CLE	2011-12-17 3:10 PM	2011-12-17 5:03 PM		2011-12-17 4:59 PM	2011-12-17 6:34 PM	
flightview	CO-51-EWR-CLE		5:19 PMDec 17			6:34 PMDec 17	
panynj	CO-51-EWR-CLE		5:19 PMDec 17			6:34 PMDec 17	
gofox	CO-51-EWR-CLE		5:19 PMDec 17			6:34 PMDec 17	
foxbusiness	CO-51-EWR-CLE		5:19 PMDec 17			6:34 PMDec 17	
allegiantair	CO-51-EWR-CLE		5:19 PMDec 17			6:34 PMDec 17	
boston	CO-51-EWR-CLE		5:19 PMDec 17			6:27 PMDec 17	
orbitz	CO-51-EWR-CLE	3:10pDec 17	5:03pDec 17	 C98	4:59pDec 17	6:34pDec 17	 C16
ifly	CO-51-EWR-CLE	2011-12-17 3:10 PM	2011-12-17 5:03 PM		2011-12-17 4:59 PM	2011-12-17 6:34 PM	
flightarrival	CO-51-EWR-CLE	2011-12-17 3:10 PM	2011-12-17 5:03 PM		2011-12-17 4:59 PM	2011-12-17 6:34 PM	
aa	AA-201-JFK-LAX	December 17, 2011               06:30 AM    	December 17, 2011               06:27 AM    	 38	December 17, 2011               09:55 AM    	December 17, 2011               09:34 AM    	 42B    
airtravelcenter	AA-201-JFK-LAX		12/17/11 7:17 AM (-05:00)			12/17/11 9:25 AM (-08:00)	
myrateplan	AA-201-JFK-LAX		12/17/11 7:17 AM (-05:00)			12/17/11 9:25 AM (-08:00)	
helloflight	AA-201-JFK-LAX		12/17/11 7:17 AM (-05:00)			12/17/11 9:25 AM (-08:00)	
flytecomm	AA-201-JFK-LAX		12/17/11 7:17 AM (-05:00)			12/17/11 9:25 AM (-08:00)	
flightaware	AA-201-JFK-LAX	2011-12-17 06:30AM EST	2011-12-17 07:16AM EST	 38 	2011-12-17 09:01AM PST	2011-12-17 09:25AM PST	 42B 
wunderground	AA-201-JFK-LAX	2011-12-17 06:30AM EST	2011-12-17 07:16AM EST	 38 	2011-12-17 09:01AM PST	2011-12-17 09:25AM PST	 42B 
flights	AA-201-JFK-LAX	06:30 AM  Sat 17-Dec-2011	06:27 AM  Sat 17-Dec-2011	C38	09:55 AM  Sat 17-Dec-2011	09:34 AM  Sat 17-Dec-2011	42B
businesstravellogue	AA-201-JFK-LAX	06:30 AM  Sat 17-Dec-2011	06:27 AM  Sat 17-Dec-2011	C38	09:55 AM  Sat 17-Dec-2011	09:34 AM  Sat 17-Dec-2011	42B
flylouisville	AA-201-JFK-LAX	06:30 AM  Sat 17-Dec-2011	06:27 AM  Sat 17-Dec-2011	C38	09:55 AM  Sat 17-Dec-2011	09:34 AM  Sat 17-Dec-2011	42B
flightstats	AA-201-JFK-LAX	2011-12-17 6:30 AM	2011-12-17 6:27 AM		2011-12-17 9:55 AM	2011-12-17 9:34 AM	
quicktrip	AA-201-JFK-LAX	2011-12-17 6:30 AM	2011-12-17 6:27 AM		2011-12-17 9:55 AM	2011-12-17 9:34 AM	
world-flight-tracker	AA-201-JFK-LAX	2011-12-17 6:30 AM	2011-12-17 6:27 AM		2011-12-17 9:55 AM	2011-12-17 9:34 AM	
flightview	AA-201-JFK-LAX	6:30 AM, Dec 17	7:17 AM, Dec 17	Terminal 8 - 38	9:55 AM, Dec 17	9:34 AM, Dec 17	Terminal 4 - 42B
panynj	AA-201-JFK-LAX	6:30 AM, Dec 17	7:17 AM, Dec 17	Terminal 8 - 38	9:55 AM, Dec 17	9:34 AM, Dec 17	Terminal 4 - 42B
gofox	AA-201-JFK-LAX	6:30 AM, Dec 17	7:17 AM, Dec 17		9:55 AM, Dec 17	9:34 AM, Dec 17	
foxbusiness	AA-201-JFK-LAX	6:30 AM, Dec 17	7:17 AM, Dec 17	Terminal 8 - 38	9:55 AM, Dec 17	9:34 AM, Dec 17	Terminal 4 - 42B
allegiantair	AA-201-JFK-LAX	6:30 AM, Dec 17	7:17 AM, Dec 17	Terminal 8 - 38	9:55 AM, Dec 17	9:34 AM, Dec 17	Terminal 4 - 42B
boston	AA-201-JFK-LAX	6:30 AM, Dec 17	7:17 AM, Dec 17		9:55 AM, Dec 17	9:26 AM, Dec 17	
travelocity	AA-201-JFK-LAX	Dec 17 - 6:30am	Dec 17 - 6:27am	38/8	Dec 17 - 9:55am	Dec 17 - 9:34am	42B/T4
orbitz	AA-201-JFK-LAX	6:30aDec 17	6:27aDec 17	 38	9:55aDec 17	9:34aDec 17	 42B
weather	AA-201-JFK-LAX	2011-12-17 06:30 AM	2011-12-17 07:17 AM		2011-12-17 09:55 AM	2011-12-17 09:31 AM	
ifly	AA-201-JFK-LAX	2011-12-17 6:30 AM	2011-12-17 6:27 AM		2011-12-17 9:55 AM	2011-12-17 9:34 AM	
flightarrival	AA-201-JFK-LAX	2011-12-17 6:30 AM	2011-12-17 6:27 AM		2011-12-17 9:55 AM	2011-12-17 9:34 AM	
aa	AA-264-LAX-BOS	December 17, 2011               12:25 PM    	December 17, 2011               12:24 PM    	 46B	December 17, 2011               08:50 PM    	December 17, 2011               09:01 PM    	 B31    
airtravelcenter	AA-264-LAX-BOS		12/17/11 12:40 PM (-08:00)			12/17/11 8:54 PM (-05:00)	
myrateplan	AA-264-LAX-BOS		12/17/11 12:40 PM (-08:00)			12/17/11 8:54 PM (-05:00)	
helloflight	AA-264-LAX-BOS		12/17/11 12:40 PM (-08:00)			12/17/11 8:54 PM (-05:00)	
flytecomm	AA-264-LAX-BOS		12/17/11 12:40 PM (-08:00)			12/17/11 8:54 PM (-05:00)	
flightaware	AA-264-LAX-BOS	2011-12-17 12:25PM PST	2011-12-17 12:40PM PST	 46B 	2011-12-17 08:51PM EST	2011-12-17 08:54PM EST	 B31 
wunderground	AA-264-LAX-BOS	2011-12-17 12:25PM PST	2011-12-17 12:40PM PST	 46B 	2011-12-17 08:51PM EST	2011-12-17 08:54PM EST	 B31 
flights	AA-264-LAX-BOS	12:25 PM  Sat 17-Dec-2011	12:24 PM  Sat 17-Dec-2011	46B	08:50 PM  Sat 17-Dec-2011	09:01 PM  Sat 17-Dec-2011	B31
businesstravellogue	AA-264-LAX-BOS	12:25 PM  Sat 17-Dec-2011	12:24 PM  Sat 17-Dec-2011	46B	08:50 PM  Sat 17-Dec-2011	09:01 PM  Sat 17-Dec-2011	B31
flylouisville	AA-264-LAX-BOS	12:25 PM  Sat 17-Dec-2011	12:24 PM  Sat 17-Dec-2011	46B	08:50 PM  Sat 17-Dec-2011	09:01 PM  Sat 17-Dec-2011	B31
flightstats	AA-264-LAX-BOS	2011-12-17 12:25 PM	2011-12-17 12:24 PM		2011-12-17 8:50 PM	2011-12-17 9:01 PM	
quicktrip	AA-264-LAX-BOS	2011-12-17 12:25 PM	2011-12-17 12:24 PM		2011-12-17 8:50 PM	2011-12-17 9:01 PM	
world-flight-tracker	AA-264-LAX-BOS	2011-12-17 12:25 PM	2011-12-17 12:24 PM		2011-12-17 8:50 PM	2011-12-17 9:01 PM	
flightview	AA-264-LAX-BOS	12:25 PM, Dec 17	12:40 PM, Dec 17	Terminal 4 - 46B	8:50 PM, Dec 17	9:01 PM, Dec 17	Terminal B - B31
panynj	AA-264-LAX-BOS	12:25 PM, Dec 17	12:40 PM, Dec 17	Terminal 4 - 46B	8:50 PM, Dec 17	9:01 PM, Dec 17	Terminal B - B31
gofox	AA-264-LAX-BOS	12:25 PM, Dec 17	12:40 PM, Dec 17		8:50 PM, Dec 17	9:01 PM, Dec 17	
foxbusiness	AA-264-LAX-BOS	12:25 PM, Dec 17	12:40 PM, Dec 17	Terminal 4 - 46B	8:50 PM, Dec 17	9:01 PM, Dec 17	Terminal B - B31
allegiantair	AA-264-LAX-BOS	12:25 PM, Dec 17	12:40 PM, Dec 17	Terminal 4 - 46B	8:50 PM, Dec 17	9:01 PM, Dec 17	Terminal B - B31
boston	AA-264-LAX-BOS	12:25 PM, Dec 17	12:40 PM, Dec 17		8:50 PM, Dec 17	8:55 PM, Dec 17	
orbitz	AA-264-LAX-BOS	12:25pDec 17	12:24pDec 17	 46B	8:50pDec 17	9:01pDec 17	 B31
weather	AA-264-LAX-BOS	2011-12-17 12:25 PM			2011-12-17 08:50 PM		
mytripandmore	AA-264-LAX-BOS	12:25pDec 17	12:24pDec 17	 46B	8:50pDec 17	9:01pDec 17	 B31
flightarrival	AA-264-LAX-BOS	2011-12-17 12:25 PM			2011-12-17 08:50 PM		
ua	UA-854-IAH-LIM	Sat, Dec 17 3:10 PM	Sat, Dec 17 3:06 PM            On Time	C16	Sat, Dec 17 10:45 PM	Sat, Dec 17 10:33 PM	HOLD
myrateplan	UA-854-IAH-LIM		12/17/11 3:28 PM (-06:00)			12/17/11 10:38 PM (-05:00)	
helloflight	UA-854-IAH-LIM		12/17/11 3:28 PM (-06:00)			12/17/11 10:38 PM (-05:00)	
flytecomm	UA-854-IAH-LIM		12/17/11 3:28 PM (-06:00)			12/17/11 10:38 PM (-05:00)	
flights	UA-854-IAH-LIM		2011-12-17 03:06 PM	16		2011-12-17 10:45 PM	
businesstravellogue	UA-854-IAH-LIM		2011-12-17 03:06 PM	16		2011-12-17 10:45 PM	
flylouisville	UA-854-IAH-LIM		2011-12-17 03:06 PM	16		2011-12-17 10:45 PM	
flightview	UA-854-IAH-LIM		3:28 PMDec 17			10:33 PMDec 17	
panynj	UA-854-IAH-LIM		3:28 PMDec 17			10:33 PMDec 17	
gofox	UA-854-IAH-LIM		3:28 PMDec 17			10:33 PMDec 17	
foxbusiness	UA-854-IAH-LIM		3:28 PMDec 17			10:33 PMDec 17	
allegiantair	UA-854-IAH-LIM		3:28 PMDec 17			10:33 PMDec 17	
boston	UA-854-IAH-LIM		3:28 PMDec 17			10:30 PMDec 17	
orbitz	UA-854-IAH-LIM	3:10pDec 17	3:06pDec 17	 C16	10:21pDec 17		 -
usatoday	UA-854-IAH-LIM		3:28 PMDec 17			10:30 PMDec 17	
mytripandmore	UA-854-IAH-LIM	3:10pDec 17	3:06pDec 17	 C16	10:21pDec 17		 -
ua	UA-1472-SDQ-EWR	Sat, Dec 17 6:50 AM	Sat, Dec 17 6:41 AM	--	Sat, Dec 17 9:56 AM	Sat, Dec 17 9:48 AM	C136
airtravelcenter	UA-1472-SDQ-EWR		12/17/11 6:51 AM (-04:00)			12/17/11 9:35 AM (-05:00)	
myrateplan	UA-1472-SDQ-EWR		12/17/11 6:51 AM (-04:00)			12/17/11 9:35 AM (-05:00)	
helloflight	UA-1472-SDQ-EWR		12/17/11 6:51 AM (-04:00)			12/17/11 9:35 AM (-05:00)	
flytecomm	UA-1472-SDQ-EWR		12/17/11 6:51 AM (-04:00)			12/17/11 9:35 AM (-05:00)	
flights	UA-1472-SDQ-EWR	06:50 AM  Sat 17-Dec-2011	06:41 AM  Sat 17-Dec-2011	HOLD	09:56 AM  Sat 17-Dec-2011	09:48 AM  Sat 17-Dec-2011	136
businesstravellogue	UA-1472-SDQ-EWR	06:50 AM  Sat 17-Dec-2011	06:41 AM  Sat 17-Dec-2011	HOLD	09:56 AM  Sat 17-Dec-2011	09:48 AM  Sat 17-Dec-2011	136
flylouisville	UA-1472-SDQ-EWR	06:50 AM  Sat 17-Dec-2011	06:41 AM  Sat 17-Dec-2011	HOLD	09:56 AM  Sat 17-Dec-2011	09:48 AM  Sat 17-Dec-2011	136
world-flight-tracker	UA-1472-SDQ-EWR	2011-12-17 6:50 AM	2011-12-17 6:41 AM		2011-12-17 9:56 AM	2011-12-17 9:48 AM	
flightview	UA-1472-SDQ-EWR	6:50 AM, Dec 17	6:50 AM, Dec 17		9:56 AM, Dec 17	9:48 AM, Dec 17	
panynj	UA-1472-SDQ-EWR	6:50 AM, Dec 17	6:50 AM, Dec 17		9:56 AM, Dec 17	9:48 AM, Dec 17	
gofox	UA-1472-SDQ-EWR	6:50 AM, Dec 17	6:50 AM, Dec 17		9:56 AM, Dec 17	9:48 AM, Dec 17	
foxbusiness	UA-1472-SDQ-EWR	6:50 AM, Dec 17	6:50 AM, Dec 17		9:56 AM, Dec 17	9:48 AM, Dec 17	
allegiantair	UA-1472-SDQ-EWR	6:50 AM, Dec 17	6:50 AM, Dec 17		9:56 AM, Dec 17	9:48 AM, Dec 17	
boston	UA-1472-SDQ-EWR	6:50 AM, Dec 17	6:50 AM, Dec 17		9:56 AM, Dec 17	9:35 AM, Dec 17	
orbitz	UA-1472-SDQ-EWR	6:50aDec 17	6:41aDec 17	 -	9:56aDec 17	9:48aDec 17	 -
weather	UA-1472-SDQ-EWR	2011-12-17 06:50 AM			2011-12-17 09:56 AM		
usatoday	UA-1472-SDQ-EWR	2011-12-17 06:50 AM			2011-12-17 09:56 AM		
aa	AA-935-MIA-CCS	December 17, 2011               11:45 AM    	December 17, 2011               12:51 PM    	 D8	December 17, 2011               03:30 PM    	December 17, 2011     	 24    
airtravelcenter	AA-935-MIA-CCS		12/17/11 1:01 PM (-05:00)			12/17/11 4:14 PM (-04:00)	
myrateplan	AA-935-MIA-CCS		12/17/11 1:01 PM (-05:00)			12/17/11 4:14 PM (-04:00)	
helloflight	AA-935-MIA-CCS		12/17/11 1:01 PM (-05:00)			12/17/11 4:14 PM (-04:00)	
flytecomm	AA-935-MIA-CCS		12/17/11 1:01 PM (-05:00)			12/17/11 4:14 PM (-04:00)	
flights	AA-935-MIA-CCS	11:45 AM  Sat 17-Dec-2011		D8	03:30 PM  Sat 17-Dec-2011		24
businesstravellogue	AA-935-MIA-CCS	11:45 AM  Sat 17-Dec-2011		D8	03:30 PM  Sat 17-Dec-2011		24
flylouisville	AA-935-MIA-CCS	11:45 AM  Sat 17-Dec-2011		D8	03:30 PM  Sat 17-Dec-2011		24
flightview	AA-935-MIA-CCS	11:45 AM, Dec 17	1:01 PM, Dec 17		3:30 PM, Dec 17		
panynj	AA-935-MIA-CCS	11:45 AM, Dec 17	1:01 PM, Dec 17		3:30 PM, Dec 17		
gofox	AA-935-MIA-CCS	11:45 AM, Dec 17	1:01 PM, Dec 17		3:30 PM, Dec 17		
foxbusiness	AA-935-MIA-CCS	11:45 AM, Dec 17	1:01 PM, Dec 17		3:30 PM, Dec 17		
allegiantair	AA-935-MIA-CCS	11:45 AM, Dec 17	1:01 PM, Dec 17		3:30 PM, Dec 17		
boston	AA-935-MIA-CCS	11:45 AM, Dec 17	1:01 PM, Dec 17		3:30 PM, Dec 17	4:49 PM, Dec 17&nbsp(Estimated)	
travelocity	AA-935-MIA-CCS	Dec 17 - 11:45am	Dec 17 - 12:51pm	D8	Dec 17 - 3:30pm	Dec 17 - 4:30pm*	24
orbitz	AA-935-MIA-CCS	12:50pDec 17	12:51pDec 17	 D8	5:30pDec 17		 24
weather	AA-935-MIA-CCS	2011-12-17 11:45 AM			2011-12-17 03:30 PM		
usatoday	AA-935-MIA-CCS	11:45 AM, Dec 17	1:01 PM, Dec 17		3:30 PM, Dec 17	4:49 PM, Dec 17&nbsp(Estimated)	
ua	UA-870-SFO-JFK	Sat, Dec 17 12:15 PM	Sat, Dec 17 12:09 PM            On Time	80	Sat, Dec 17 8:55 PM	Sat, Dec 17 8:28 PM	10
flightexplorer	UA-870-SFO-JFK		12/17/2011 12:20PM PST			12/17/2011 8:06PM EST	
airtravelcenter	UA-870-SFO-JFK		12/17/11 12:22 PM (-08:00)			12/17/11 8:06 PM (-05:00)	
myrateplan	UA-870-SFO-JFK		12/17/11 12:22 PM (-08:00)			12/17/11 8:06 PM (-05:00)	
helloflight	UA-870-SFO-JFK		12/17/11 12:22 PM (-08:00)			12/17/11 8:06 PM (-05:00)	
flytecomm	UA-870-SFO-JFK		12/17/11 12:22 PM (-08:00)			12/17/11 8:06 PM (-05:00)	
flights	UA-870-SFO-JFK		2011-12-17 12:09 PM	80		2011-12-17 08:28 PM	10
businesstravellogue	UA-870-SFO-JFK		2011-12-17 12:09 PM	80		2011-12-17 08:28 PM	10
flylouisville	UA-870-SFO-JFK		2011-12-17 12:09 PM	80		2011-12-17 08:28 PM	10
flightstats	UA-870-SFO-JFK	2011-12-17 12:15 PM	2011-12-17 12:09 PM		2011-12-17 8:55 PM	2011-12-17 8:28 PM	
quicktrip	UA-870-SFO-JFK	2011-12-17 12:15 PM	2011-12-17 12:09 PM		2011-12-17 8:55 PM	2011-12-17 8:28 PM	
flightview	UA-870-SFO-JFK		12:22 PMDec 17			8:28 PMDec 17	
panynj	UA-870-SFO-JFK		12:22 PMDec 17			8:28 PMDec 17	
gofox	UA-870-SFO-JFK		12:22 PMDec 17			8:28 PMDec 17	
foxbusiness	UA-870-SFO-JFK		12:22 PMDec 17			8:28 PMDec 17	
allegiantair	UA-870-SFO-JFK		12:22 PMDec 17			8:28 PMDec 17	
boston	UA-870-SFO-JFK		12:22 PMDec 17			8:22 PMDec 17	
orbitz	UA-870-SFO-JFK	12:15pDec 17	12:09pDec 17	 80	8:55pDec 17	8:28pDec 17	 10
usatoday	UA-870-SFO-JFK		12:22 PMDec 17			8:22 PMDec 17	
mytripandmore	UA-870-SFO-JFK	12:15pDec 17	12:09pDec 17	 80	8:55pDec 17	8:28pDec 17	 10
flightarrival	UA-870-SFO-JFK		12:22 PMDec 17			8:22 PMDec 17	
CO	CO-1008-IAH-LAX	Sat., Dec.17, 2011 2:35 p.m.	Sat., Dec.17, 2011 3:01 p.m.		Sat., Dec.17, 2011 4:30 p.m.	Sat., Dec.17, 2011 4:18 p.m.	
flightexplorer	CO-1008-IAH-LAX		12/17/2011 3:16PM CST			12/17/2011 4:11PM PST	
airtravelcenter	CO-1008-IAH-LAX	12/17/11 2:35 PM (-06:00)			12/17/11 4:30 PM (-08:00)		
myrateplan	CO-1008-IAH-LAX	12/17/11 2:35 PM (-06:00)			12/17/11 4:30 PM (-08:00)		
helloflight	CO-1008-IAH-LAX	12/17/11 2:35 PM (-06:00)			12/17/11 4:30 PM (-08:00)		
flytecomm	CO-1008-IAH-LAX	12/17/11 2:35 PM (-06:00)			12/17/11 4:30 PM (-08:00)		
flightaware	CO-1008-IAH-LAX	2011-12-17 02:35PM CST	2011-12-17 03:17PM CST	 42 	2011-12-17 03:45PM PST	2011-12-17 04:11PM PST	 62 
wunderground	CO-1008-IAH-LAX	2011-12-17 02:35PM CST	2011-12-17 03:17PM CST	 42 	2011-12-17 03:45PM PST	2011-12-17 04:11PM PST	 62 
flights	CO-1008-IAH-LAX		2011-12-17 03:01 PM	42		2011-12-17 04:18 PM	62
businesstravellogue	CO-1008-IAH-LAX		2011-12-17 03:01 PM	42		2011-12-17 04:18 PM	62
flylouisville	CO-1008-IAH-LAX		2011-12-17 03:01 PM	42		2011-12-17 04:18 PM	62
flightstats	CO-1008-IAH-LAX	2011-12-17 2:35 PM	2011-12-17 3:01 PM		2011-12-17 4:30 PM	2011-12-17 4:18 PM	
quicktrip	CO-1008-IAH-LAX	2011-12-17 2:35 PM	2011-12-17 3:01 PM		2011-12-17 4:30 PM	2011-12-17 4:18 PM	
flightview	CO-1008-IAH-LAX		3:17 PMDec 17			4:18 PMDec 17	
panynj	CO-1008-IAH-LAX		3:17 PMDec 17			4:18 PMDec 17	
gofox	CO-1008-IAH-LAX		3:17 PMDec 17			4:18 PMDec 17	
foxbusiness	CO-1008-IAH-LAX		3:17 PMDec 17			4:18 PMDec 17	
allegiantair	CO-1008-IAH-LAX		3:17 PMDec 17			4:18 PMDec 17	
boston	CO-1008-IAH-LAX		3:17 PMDec 17			4:12 PMDec 17	
orbitz	CO-1008-IAH-LAX	2:35pDec 17	3:01pDec 17	 42	4:30pDec 17	4:18pDec 17	 62
ifly	CO-1008-IAH-LAX	2011-12-17 2:35 PM	2011-12-17 3:01 PM		2011-12-17 4:30 PM	2011-12-17 4:18 PM	
flightarrival	CO-1008-IAH-LAX		3:17 PMDec 17			4:12 PMDec 17	
ua	UA-546-LAX-SFO	Sat, Dec 17 2:39 PM	Sat, Dec 17 3:00 PM            Delayed	70A	Sat, Dec 17 4:02 PM	Sat, Dec 17 4:11 PM	75
airtravelcenter	UA-546-LAX-SFO		12/17/11 3:18 PM (-08:00)			12/17/11 4:02 PM (-08:00)	
myrateplan	UA-546-LAX-SFO		12/17/11 3:18 PM (-08:00)			12/17/11 4:02 PM (-08:00)	
helloflight	UA-546-LAX-SFO		12/17/11 3:18 PM (-08:00)			12/17/11 4:02 PM (-08:00)	
flytecomm	UA-546-LAX-SFO		12/17/11 3:18 PM (-08:00)			12/17/11 4:02 PM (-08:00)	
flights	UA-546-LAX-SFO		2011-12-17 03:00 PM	70A		2011-12-17 04:11 PM	75
businesstravellogue	UA-546-LAX-SFO		2011-12-17 03:00 PM	70A		2011-12-17 04:11 PM	75
flylouisville	UA-546-LAX-SFO		2011-12-17 03:00 PM	70A		2011-12-17 04:11 PM	75
flightview	UA-546-LAX-SFO		3:18 PMDec 17			4:11 PMDec 17	
panynj	UA-546-LAX-SFO		3:18 PMDec 17			4:11 PMDec 17	
gofox	UA-546-LAX-SFO		3:18 PMDec 17			4:11 PMDec 17	
foxbusiness	UA-546-LAX-SFO		3:18 PMDec 17			4:11 PMDec 17	
allegiantair	UA-546-LAX-SFO		3:18 PMDec 17			4:11 PMDec 17	
boston	UA-546-LAX-SFO		3:18 PMDec 17			4:07 PMDec 17	
orbitz	UA-546-LAX-SFO	2:39pDec 17	3:00pDec 17	 70A	4:02pDec 17	4:11pDec 17	 75
usatoday	UA-546-LAX-SFO		3:18 PMDec 17			4:07 PMDec 17	
aa	AA-1356-SLC-DFW	December 17, 2011               06:10 AM    	December 17, 2011               06:03 AM    	 A3	December 17, 2011               10:00 AM    	December 17, 2011               09:41 AM    	 A29    
airtravelcenter	AA-1356-SLC-DFW		12/17/11 6:24 AM (-07:00)			12/17/11 9:36 AM (-06:00)	
myrateplan	AA-1356-SLC-DFW		12/17/11 6:24 AM (-07:00)			12/17/11 9:36 AM (-06:00)	
helloflight	AA-1356-SLC-DFW		12/17/11 6:24 AM (-07:00)			12/17/11 9:36 AM (-06:00)	
flytecomm	AA-1356-SLC-DFW		12/17/11 6:24 AM (-07:00)			12/17/11 9:36 AM (-06:00)	
flights	AA-1356-SLC-DFW		2011-12-17 06:03 AM	A3		2011-12-17 09:41 AM	A29
businesstravellogue	AA-1356-SLC-DFW		2011-12-17 06:03 AM	A3		2011-12-17 09:41 AM	A29
flylouisville	AA-1356-SLC-DFW		2011-12-17 06:03 AM	A3		2011-12-17 09:41 AM	A29
flightview	AA-1356-SLC-DFW		6:24 AMDec 17			9:33 AMDec 17	
panynj	AA-1356-SLC-DFW		6:24 AMDec 17			9:33 AMDec 17	
gofox	AA-1356-SLC-DFW		6:24 AMDec 17			9:33 AMDec 17	
foxbusiness	AA-1356-SLC-DFW		6:24 AMDec 17			9:33 AMDec 17	
allegiantair	AA-1356-SLC-DFW		6:24 AMDec 17			9:33 AMDec 17	
boston	AA-1356-SLC-DFW		6:24 AMDec 17			9:33 AMDec 17	
orbitz	AA-1356-SLC-DFW	6:10aDec 17	6:03aDec 17	 A3	10:00aDec 17	9:41aDec 17	 A29
weather	AA-1356-SLC-DFW	2011-12-17 06:10 AM			2011-12-17 10:00 AM		
mytripandmore	AA-1356-SLC-DFW	6:10aDec 17	6:03aDec 17	 A3	10:00aDec 17	9:41aDec 17	 A29
ua	UA-2443-CLT-ORD	Sat, Dec 17 11:40 AM	Sat, Dec 17 11:40 AM            On Time	B12	Sat, Dec 17 12:46 PM	Sat, Dec 17 12:51 PM	F10
airtravelcenter	UA-2443-CLT-ORD	12/17/11 11:40 AM (-05:00)			12/17/11 12:46 PM (-06:00)		
myrateplan	UA-2443-CLT-ORD	12/17/11 11:40 AM (-05:00)			12/17/11 12:46 PM (-06:00)		
helloflight	UA-2443-CLT-ORD	12/17/11 11:40 AM (-05:00)			12/17/11 12:46 PM (-06:00)		
flytecomm	UA-2443-CLT-ORD	12/17/11 11:40 AM (-05:00)			12/17/11 12:46 PM (-06:00)		
flightaware	UA-2443-CLT-ORD	2011-12-17 11:40AM EST	2011-12-17 12:00PM EST		2011-12-17 12:41PM CST	2011-12-17 12:39PM CST	
wunderground	UA-2443-CLT-ORD	2011-12-17 11:40AM EST	2011-12-17 12:00PM EST		2011-12-17 12:41PM CST	2011-12-17 12:39PM CST	
flights	UA-2443-CLT-ORD	11:40 AM  Sat 17-Dec-2011	11:36 AM  Sat 17-Dec-2011	B12	12:46 PM  Sat 17-Dec-2011	12:51 PM  Sat 17-Dec-2011	F10
businesstravellogue	UA-2443-CLT-ORD	11:40 AM  Sat 17-Dec-2011	11:36 AM  Sat 17-Dec-2011	B12	12:46 PM  Sat 17-Dec-2011	12:51 PM  Sat 17-Dec-2011	F10
flylouisville	UA-2443-CLT-ORD	11:40 AM  Sat 17-Dec-2011	11:36 AM  Sat 17-Dec-2011	B12	12:46 PM  Sat 17-Dec-2011	12:51 PM  Sat 17-Dec-2011	F10
world-flight-tracker	UA-2443-CLT-ORD	2011-12-17 11:40 AM	2011-12-17 11:36 AM		2011-12-17 12:46 PM	2011-12-17 12:51 PM	
flightview	UA-2443-CLT-ORD	11:40 AM, Dec 17	12:00 PM, Dec 17		12:46 PM, Dec 17	12:40 PM, Dec 17	
panynj	UA-2443-CLT-ORD	11:40 AM, Dec 17	12:00 PM, Dec 17		12:46 PM, Dec 17	12:40 PM, Dec 17	
gofox	UA-2443-CLT-ORD	11:40 AM, Dec 17	12:00 PM, Dec 17		12:46 PM, Dec 17	12:40 PM, Dec 17	
foxbusiness	UA-2443-CLT-ORD	11:40 AM, Dec 17	12:00 PM, Dec 17		12:46 PM, Dec 17	12:40 PM, Dec 17	
allegiantair	UA-2443-CLT-ORD	11:40 AM, Dec 17	12:00 PM, Dec 17		12:46 PM, Dec 17	12:40 PM, Dec 17	
boston	UA-2443-CLT-ORD	11:40 AM, Dec 17	12:00 PM, Dec 17		12:46 PM, Dec 17	12:40 PM, Dec 17	
orbitz	UA-2443-CLT-ORD	11:40aDec 17	11:36aDec 17	 -	12:46pDec 17	12:51pDec 17	 -
weather	UA-2443-CLT-ORD	2011-12-17 11:40 AM			2011-12-17 12:46 PM		
ua	UA-1004-IAH-LGA	Sat, Dec 17 3:55 PM	Sat, Dec 17 3:57 PM	E1	Sat, Dec 17 8:29 PM	Sat, Dec 17 8:05 PM	A3
airtravelcenter	UA-1004-IAH-LGA		12/17/11 4:10 PM (-06:00)			12/17/11 8:07 PM (-05:00)	
myrateplan	UA-1004-IAH-LGA		12/17/11 4:10 PM (-06:00)			12/17/11 8:07 PM (-05:00)	
helloflight	UA-1004-IAH-LGA		12/17/11 4:10 PM (-06:00)			12/17/11 8:07 PM (-05:00)	
