CO	CO-4237-EWR-DTW	Sun., Dec.18, 2011 12:09 p.m.	Sun., Dec.18, 2011 12:04 p.m.		Sun., Dec.18, 2011 2:16 p.m.	Sun., Dec.18, 2011 1:48 p.m.	
gofox	AA-2513-DFW-DEN	8:20 PM, Dec 18	8:39 PM, Dec 18		9:20 PM, Dec 18	9:13 PM, Dec 18	
foxbusiness	AA-2513-DFW-DEN	8:20 PM, Dec 18	8:39 PM, Dec 18	C36	9:20 PM, Dec 18	9:13 PM, Dec 18	A49
allegiantair	AA-2513-DFW-DEN	8:20 PM, Dec 18	8:39 PM, Dec 18	C36	9:20 PM, Dec 18	9:13 PM, Dec 18	A49
boston	AA-2513-DFW-DEN	8:20 PM, Dec 18	8:39 PM, Dec 18		9:20 PM, Dec 18	9:13 PM, Dec 18	
travelocity	AA-2513-DFW-DEN	Dec 18 - 8:20pm	Dec 18 - 8:22pm	C36/C	Dec 18 - 9:20pm	Dec 18 - 9:13pm	A49
orbitz	AA-2513-DFW-DEN	8:20pDec 18	8:22pDec 18	 C36	9:20pDec 18	9:13pDec 18	 A49
weather	AA-2513-DFW-DEN	2011-12-18 08:20 PM			2011-12-18 09:20 PM		
den	AA-2513-DFW-DEN				2011-12-18 9:20 PM		A49
dfw	AA-2513-DFW-DEN	2011-12-18 8:20 pm		C36			
usatoday	AA-2513-DFW-DEN	8:20 PM, Dec 18	8:39 PM, Dec 18		9:20 PM, Dec 18	9:13 PM, Dec 18	
mytripandmore	AA-2513-DFW-DEN	8:20pDec 18	8:22pDec 18	 C36	9:20pDec 18	9:13pDec 18	 A49
flightarrival	AA-2513-DFW-DEN	2011-12-18 8:20 PM	2011-12-18 8:22 PM		2011-12-18 9:20 PM	2011-12-18 9:13 PM	
ua	UA-6344-LAX-SAN	Sun, Dec 18 10:46 PM	Sun, Dec 18 10:46 PM            On Time	87	Sun, Dec 18 11:38 PM	Sun, Dec 18 11:38 PM	CT
airtravelcenter	UA-6344-LAX-SAN	12/18/11 10:46 PM (-08:00)			12/18/11 11:38 PM (-08:00)		
myrateplan	UA-6344-LAX-SAN	12/18/11 10:46 PM (-08:00)			12/18/11 11:38 PM (-08:00)		
helloflight	UA-6344-LAX-SAN	12/18/11 10:46 PM (-08:00)			12/18/11 11:38 PM (-08:00)		
flytecomm	UA-6344-LAX-SAN	12/18/11 10:46 PM (-08:00)			12/18/11 11:38 PM (-08:00)		
flights	UA-6344-LAX-SAN	2011-12-18 10:46 PM		87	2011-12-18 11:38 PM		
businesstravellogue	UA-6344-LAX-SAN	2011-12-18 10:46 PM		87	2011-12-18 11:38 PM		
flylouisville	UA-6344-LAX-SAN	2011-12-18 10:46 PM		87	2011-12-18 11:38 PM		
flightview	UA-6344-LAX-SAN	10:46 PMDec 18			11:38 PMDec 18		
panynj	UA-6344-LAX-SAN	10:46 PMDec 18			11:38 PMDec 18		
gofox	UA-6344-LAX-SAN	10:46 PMDec 18			11:38 PMDec 18		
foxbusiness	UA-6344-LAX-SAN	10:46 PMDec 18			11:38 PMDec 18		
allegiantair	UA-6344-LAX-SAN	10:46 PMDec 18			11:38 PMDec 18		
boston	UA-6344-LAX-SAN	10:46 PMDec 18			11:38 PMDec 18		
orbitz	UA-6344-LAX-SAN	10:46pDec 18		 87	11:38pDec 18		 CT
mytripandmore	UA-6344-LAX-SAN	10:46pDec 18		 87	11:38pDec 18		 CT
aa	AA-1125-MSP-DFW	December 18, 2011               08:30 AM    	December 18, 2011               09:20 AM    	 E16	December 18, 2011               11:15 AM    	December 18, 2011               11:52 AM    	 D33    
flightexplorer	AA-1125-MSP-DFW		12/18/2011 9:49AM CST			12/18/2011 11:49AM CST	
airtravelcenter	AA-1125-MSP-DFW		12/18/11 9:49 AM (-06:00)			12/18/11 11:49 AM (-06:00)	
myrateplan	AA-1125-MSP-DFW		12/18/11 9:49 AM (-06:00)			12/18/11 11:49 AM (-06:00)	
helloflight	AA-1125-MSP-DFW		12/18/11 9:49 AM (-06:00)			12/18/11 11:49 AM (-06:00)	
flytecomm	AA-1125-MSP-DFW		12/18/11 9:49 AM (-06:00)			12/18/11 11:49 AM (-06:00)	
flights	AA-1125-MSP-DFW		2011-12-18 09:20 AM	E16		2011-12-18 11:52 AM	D33
businesstravellogue	AA-1125-MSP-DFW		2011-12-18 09:20 AM	E16		2011-12-18 11:52 AM	D33
flylouisville	AA-1125-MSP-DFW		2011-12-18 09:20 AM	E16		2011-12-18 11:52 AM	D33
flightview	AA-1125-MSP-DFW		9:49 AMDec 18			11:46 AMDec 18	
panynj	AA-1125-MSP-DFW		9:49 AMDec 18			11:46 AMDec 18	
gofox	AA-1125-MSP-DFW		9:49 AMDec 18			11:46 AMDec 18	
foxbusiness	AA-1125-MSP-DFW		9:49 AMDec 18			11:46 AMDec 18	
allegiantair	AA-1125-MSP-DFW		9:49 AMDec 18			11:46 AMDec 18	
boston	AA-1125-MSP-DFW		9:49 AMDec 18			11:46 AMDec 18	
travelocity	AA-1125-MSP-DFW	Dec 18 - 8:30am	Dec 18 - 9:20am	E16	Dec 18 - 11:15am	Dec 18 - 11:52am	D33/D
orbitz	AA-1125-MSP-DFW	8:30aDec 18	9:20aDec 18	 E16	11:15aDec 18	11:52aDec 18	 D33
weather	AA-1125-MSP-DFW	2011-12-18 08:30 AM			2011-12-18 11:15 AM		
usatoday	AA-1125-MSP-DFW	2011-12-18 08:30 AM			2011-12-18 11:15 AM		
ua	UA-1738-SAN-IAH	Sun, Dec 18 5:00 PM	Sun, Dec 18 4:53 PM            On Time	35	Sun, Dec 18 9:58 PM	Sun, Dec 18 9:52 PM	E2
flightexplorer	UA-1738-SAN-IAH		12/18/2011 5:05PM PST			12/18/2011 9:45PM CST	
airtravelcenter	UA-1738-SAN-IAH	12/18/11 5:00 PM (-08:00)			12/18/11 9:58 PM (-06:00)		
myrateplan	UA-1738-SAN-IAH	12/18/11 5:00 PM (-08:00)			12/18/11 9:58 PM (-06:00)		
helloflight	UA-1738-SAN-IAH	12/18/11 5:00 PM (-08:00)			12/18/11 9:58 PM (-06:00)		
flytecomm	UA-1738-SAN-IAH	12/18/11 5:00 PM (-08:00)			12/18/11 9:58 PM (-06:00)		
flightaware	UA-1738-SAN-IAH	2011-12-18 05:00PM PST	2011-12-18 04:53PM PST	 35 	2011-12-18 09:48PM CST	2011-12-18 09:48PM CST	 E2 
wunderground	UA-1738-SAN-IAH	2011-12-18 05:00PM PST	2011-12-18 04:53PM PST	 35 	2011-12-18 09:48PM CST	2011-12-18 09:48PM CST	 E2 
flights	UA-1738-SAN-IAH		2011-12-18 04:53 PM	35		2011-12-18 09:58 PM	2
businesstravellogue	UA-1738-SAN-IAH		2011-12-18 04:53 PM	35		2011-12-18 09:58 PM	2
flylouisville	UA-1738-SAN-IAH		2011-12-18 04:53 PM	35		2011-12-18 09:58 PM	2
flightview	UA-1738-SAN-IAH		4:53 PMDec 18			9:58 PMDec 18	
panynj	UA-1738-SAN-IAH		4:53 PMDec 18			9:58 PMDec 18	
gofox	UA-1738-SAN-IAH		4:53 PMDec 18			9:58 PMDec 18	
foxbusiness	UA-1738-SAN-IAH		4:53 PMDec 18			9:58 PMDec 18	
allegiantair	UA-1738-SAN-IAH		4:53 PMDec 18			9:58 PMDec 18	
boston	UA-1738-SAN-IAH	5:00 PMDec 18			9:46 PMDec 18		
orbitz	UA-1738-SAN-IAH	5:00pDec 18	4:53pDec 18	 35	9:46pDec 18		 E2
usatoday	UA-1738-SAN-IAH	5:00 PMDec 18			9:46 PMDec 18		
mytripandmore	UA-1738-SAN-IAH	5:00pDec 18	4:53pDec 18	 35	9:46pDec 18		 E2
flightarrival	UA-1738-SAN-IAH	5:00 PMDec 18			9:46 PMDec 18		
aa	AA-1455-ORD-LAX	December 18, 2011               03:00 PM    	December 18, 2011               04:37 PM    	 K15	December 18, 2011               05:30 PM    	December 18, 2011               06:46 PM    	 41    
airtravelcenter	AA-1455-ORD-LAX		12/18/11 4:51 PM (-06:00)			12/18/11 6:43 PM (-08:00)	
myrateplan	AA-1455-ORD-LAX		12/18/11 4:51 PM (-06:00)			12/18/11 6:43 PM (-08:00)	
helloflight	AA-1455-ORD-LAX		12/18/11 4:51 PM (-06:00)			12/18/11 6:43 PM (-08:00)	
flytecomm	AA-1455-ORD-LAX		12/18/11 4:51 PM (-06:00)			12/18/11 6:43 PM (-08:00)	
flightaware	AA-1455-ORD-LAX	2011-12-18 03:00PM CST	2011-12-18 04:50PM CST	 K15 	2011-12-18 05:12PM PST	2011-12-18 06:39PM PST	 41 
wunderground	AA-1455-ORD-LAX	2011-12-18 03:00PM CST	2011-12-18 04:50PM CST	 K15 	2011-12-18 05:12PM PST	2011-12-18 06:39PM PST	 41 
flights	AA-1455-ORD-LAX	03:00 PM  Sun 18-Dec-2011	04:37 PM  Sun 18-Dec-2011	K15	05:30 PM  Sun 18-Dec-2011	06:46 PM  Sun 18-Dec-2011	41
businesstravellogue	AA-1455-ORD-LAX	03:00 PM  Sun 18-Dec-2011	04:37 PM  Sun 18-Dec-2011	K15	05:30 PM  Sun 18-Dec-2011	06:46 PM  Sun 18-Dec-2011	41
flylouisville	AA-1455-ORD-LAX	03:00 PM  Sun 18-Dec-2011	04:37 PM  Sun 18-Dec-2011	K15	05:30 PM  Sun 18-Dec-2011	06:46 PM  Sun 18-Dec-2011	41
world-flight-tracker	AA-1455-ORD-LAX	2011-12-18 3:00 PM	2011-12-18 4:37 PM		2011-12-18 5:30 PM	2011-12-18 6:46 PM	
flightview	AA-1455-ORD-LAX	3:00 PM, Dec 18	4:51 PM, Dec 18	Terminal 3 - K15	5:30 PM, Dec 18	6:46 PM, Dec 18	Terminal 4 - 41
panynj	AA-1455-ORD-LAX	3:00 PM, Dec 18	4:51 PM, Dec 18	Terminal 3 - K15	5:30 PM, Dec 18	6:46 PM, Dec 18	Terminal 4 - 41
gofox	AA-1455-ORD-LAX	3:00 PM, Dec 18	4:51 PM, Dec 18		5:30 PM, Dec 18	6:46 PM, Dec 18	
foxbusiness	AA-1455-ORD-LAX	3:00 PM, Dec 18	4:51 PM, Dec 18	Terminal 3 - K15	5:30 PM, Dec 18	6:46 PM, Dec 18	Terminal 4 - 41
allegiantair	AA-1455-ORD-LAX	3:00 PM, Dec 18	4:51 PM, Dec 18	Terminal 3 - K15	5:30 PM, Dec 18	6:46 PM, Dec 18	Terminal 4 - 41
boston	AA-1455-ORD-LAX	3:00 PM, Dec 18	4:51 PM, Dec 18		5:30 PM, Dec 18	6:40 PM, Dec 18	
travelocity	AA-1455-ORD-LAX	Dec 18 - 3:00pm	Dec 18 - 4:37pm	K15/T3	Dec 18 - 5:30pm	Dec 18 - 6:46pm	41/T4
orbitz	AA-1455-ORD-LAX	3:00pDec 18	4:37pDec 18	 K15	5:30pDec 18	6:46pDec 18	 41
weather	AA-1455-ORD-LAX	2011-12-18 03:00 PM			2011-12-18 05:30 PM		
usatoday	AA-1455-ORD-LAX	3:00 PM, Dec 18	4:51 PM, Dec 18		5:30 PM, Dec 18	6:40 PM, Dec 18	
mytripandmore	AA-1455-ORD-LAX	3:00pDec 18	4:37pDec 18	 K15	5:30pDec 18	6:46pDec 18	 41
flightarrival	AA-1455-ORD-LAX	3:00 PM, Dec 18	4:51 PM, Dec 18		5:30 PM, Dec 18	6:40 PM, Dec 18	
CO	CO-62-IAH-EWR	Sun., Dec.18, 2011 2:30 p.m.	Sun., Dec.18, 2011 3:54 p.m.		Sun., Dec.18, 2011 6:59 p.m.	Sun., Dec.18, 2011 8:26 p.m.	
airtravelcenter	CO-62-IAH-EWR	12/18/11 2:30 PM (-06:00)			12/18/11 6:59 PM (-05:00)		
myrateplan	CO-62-IAH-EWR	12/18/11 2:30 PM (-06:00)			12/18/11 6:59 PM (-05:00)		
helloflight	CO-62-IAH-EWR	12/18/11 2:30 PM (-06:00)			12/18/11 6:59 PM (-05:00)		
flytecomm	CO-62-IAH-EWR	12/18/11 2:30 PM (-06:00)			12/18/11 6:59 PM (-05:00)		
flights	CO-62-IAH-EWR		2011-12-18 03:54 PM	43		2011-12-18 08:26 PM	137
businesstravellogue	CO-62-IAH-EWR		2011-12-18 03:54 PM	43		2011-12-18 08:26 PM	137
flylouisville	CO-62-IAH-EWR		2011-12-18 03:54 PM	43		2011-12-18 08:26 PM	137
flightstats	CO-62-IAH-EWR	2011-12-18 2:30 PM	2011-12-18 3:54 PM		2011-12-18 6:59 PM	2011-12-18 8:26 PM	
quicktrip	CO-62-IAH-EWR	2011-12-18 2:30 PM	2011-12-18 3:54 PM		2011-12-18 6:59 PM	2011-12-18 8:26 PM	
flightview	CO-62-IAH-EWR		4:09 PMDec 18			8:26 PMDec 18	
panynj	CO-62-IAH-EWR		4:09 PMDec 18			8:26 PMDec 18	
gofox	CO-62-IAH-EWR		4:09 PMDec 18			8:26 PMDec 18	
foxbusiness	CO-62-IAH-EWR		4:09 PMDec 18			8:26 PMDec 18	
allegiantair	CO-62-IAH-EWR		4:09 PMDec 18			8:26 PMDec 18	
boston	CO-62-IAH-EWR		4:09 PMDec 18			8:15 PMDec 18	
orbitz	CO-62-IAH-EWR	2:30pDec 18	3:54pDec 18	 43	6:59pDec 18	8:26pDec 18	 137
weather	CO-62-IAH-EWR	2011-12-18 02:30 PM			2011-12-18 06:59 PM		
usatoday	CO-62-IAH-EWR		4:09 PMDec 18			8:15 PMDec 18	
mytripandmore	CO-62-IAH-EWR	2:30pDec 18	3:54pDec 18	 43	6:59pDec 18	8:26pDec 18	 137
flightarrival	CO-62-IAH-EWR	2011-12-18 2:30 PM	2011-12-18 3:54 PM		2011-12-18 6:59 PM	2011-12-18 8:26 PM	
aa	AA-59-JFK-SFO	December 18, 2011               07:10 AM    	December 18, 2011               08:06 AM    	 44	December 18, 2011               10:45 AM    	December 18, 2011     	 58B    
flightexplorer	AA-59-JFK-SFO		12/18/2011 8:38AM EST			12/18/2011 11:24AM PST	
airtravelcenter	AA-59-JFK-SFO		12/18/11 8:38 AM (-05:00)			12/18/11 11:24 AM (-08:00)	
myrateplan	AA-59-JFK-SFO		12/18/11 8:38 AM (-05:00)			12/18/11 11:24 AM (-08:00)	
helloflight	AA-59-JFK-SFO		12/18/11 8:38 AM (-05:00)			12/18/11 11:24 AM (-08:00)	
flytecomm	AA-59-JFK-SFO		12/18/11 8:38 AM (-05:00)			12/18/11 11:24 AM (-08:00)	
flightaware	AA-59-JFK-SFO	2011-12-18 08:38AM EST	2011-12-18 08:38AM EST	 44 	2011-12-18 11:11AM PST	2011-12-18 11:24AM PST	 58B 
wunderground	AA-59-JFK-SFO	2011-12-18 08:38AM EST	2011-12-18 08:38AM EST	 44 	2011-12-18 11:11AM PST	2011-12-18 11:24AM PST	 58B 
flights	AA-59-JFK-SFO	07:10 AM  Sun 18-Dec-2011		C44	10:45 AM  Sun 18-Dec-2011		58B
businesstravellogue	AA-59-JFK-SFO	07:10 AM  Sun 18-Dec-2011		C44	10:45 AM  Sun 18-Dec-2011		58B
flylouisville	AA-59-JFK-SFO	07:10 AM  Sun 18-Dec-2011		C44	10:45 AM  Sun 18-Dec-2011		58B
flightstats	AA-59-JFK-SFO	2011-12-18 7:10 AM	2011-12-18 8:06 AM		2011-12-18 10:45 AM	2011-12-18 11:34 AM (Estimated)	
quicktrip	AA-59-JFK-SFO	2011-12-18 7:10 AM	2011-12-18 8:06 AM		2011-12-18 10:45 AM	2011-12-18 11:34 AM (Estimated)	
world-flight-tracker	AA-59-JFK-SFO	2011-12-18 7:10 AM	2011-12-18 8:06 AM		2011-12-18 10:45 AM	2011-12-18 11:34 AM (Estimated)	
flightview	AA-59-JFK-SFO	7:10 AM, Dec 18	8:38 AM, Dec 18	Terminal 8 - 44	10:45 AM, Dec 18	4:33 AM, Dec 18	Terminal 2 - 58B
panynj	AA-59-JFK-SFO	7:10 AM, Dec 18	8:38 AM, Dec 18	Terminal 8 - 44	10:45 AM, Dec 18	4:33 AM, Dec 18	Terminal 2 - 58B
gofox	AA-59-JFK-SFO	7:10 AM, Dec 18	8:38 AM, Dec 18		10:45 AM, Dec 18	4:33 AM, Dec 18	
foxbusiness	AA-59-JFK-SFO	7:10 AM, Dec 18	8:38 AM, Dec 18	Terminal 8 - 44	10:45 AM, Dec 18	4:33 AM, Dec 18	Terminal 2 - 58B
allegiantair	AA-59-JFK-SFO	7:10 AM, Dec 18	8:38 AM, Dec 18	Terminal 8 - 44	10:45 AM, Dec 18	4:33 AM, Dec 18	Terminal 2 - 58B
boston	AA-59-JFK-SFO	7:10 AM, Dec 18	8:38 AM, Dec 18		10:45 AM, Dec 18	11:39 AM, Dec 18	
travelocity	AA-59-JFK-SFO	Dec 18 - 7:10am	Dec 18 - 8:06am	44/8	Dec 18 - 10:45am	Dec 18 - 11:42am	58B
orbitz	AA-59-JFK-SFO	8:05aDec 18	8:06aDec 18	 44	12:23pDec 18		 58B
weather	AA-59-JFK-SFO	2011-12-18 07:10 AM	2011-12-18 08:38 AM		2011-12-18 10:45 AM	2011-12-18 11:30 AM	
sfo	AA-59-JFK-SFO				2011-12-18 10:45 AM		58
ifly	AA-59-JFK-SFO	2011-12-18 7:10 AM	2011-12-18 8:06 AM		2011-12-18 10:45 AM	2011-12-18 11:34 AM (Estimated)	
flightarrival	AA-59-JFK-SFO	2011-12-18 7:10 AM	2011-12-18 8:06 AM		2011-12-18 10:45 AM	2011-12-18 11:34 AM (Estimated)	
CO	CO-1173-IAH-DEN	Sun., Dec.18, 2011 8:45 a.m.	Sun., Dec.18, 2011 8:53 a.m.		Sun., Dec.18, 2011 10:28 a.m.	Sun., Dec.18, 2011 10:27 a.m.	
flightexplorer	CO-1173-IAH-DEN		12/18/2011 9:18AM CST			12/18/2011 10:10AM MST	
airtravelcenter	CO-1173-IAH-DEN	12/18/11 8:45 AM (-06:00)			12/18/11 10:28 AM (-07:00)		
myrateplan	CO-1173-IAH-DEN	12/18/11 8:45 AM (-06:00)			12/18/11 10:28 AM (-07:00)		
helloflight	CO-1173-IAH-DEN	12/18/11 8:45 AM (-06:00)			12/18/11 10:28 AM (-07:00)		
flytecomm	CO-1173-IAH-DEN	12/18/11 8:45 AM (-06:00)			12/18/11 10:28 AM (-07:00)		
flightaware	CO-1173-IAH-DEN	2011-12-18 08:45AM CST	2011-12-18 09:18AM CST	 43 	2011-12-18 10:02AM MST	2011-12-18 10:17AM MST	 B22 
wunderground	CO-1173-IAH-DEN	2011-12-18 08:45AM CST	2011-12-18 09:18AM CST	 43 	2011-12-18 10:02AM MST	2011-12-18 10:17AM MST	 B22 
flights	CO-1173-IAH-DEN	08:45 AM  Sun 18-Dec-2011	08:53 AM  Sun 18-Dec-2011	43	10:28 AM  Sun 18-Dec-2011	10:27 AM  Sun 18-Dec-2011	B22
businesstravellogue	CO-1173-IAH-DEN	08:45 AM  Sun 18-Dec-2011	08:53 AM  Sun 18-Dec-2011	43	10:28 AM  Sun 18-Dec-2011	10:27 AM  Sun 18-Dec-2011	B22
flylouisville	CO-1173-IAH-DEN	08:45 AM  Sun 18-Dec-2011	08:53 AM  Sun 18-Dec-2011	43	10:28 AM  Sun 18-Dec-2011	10:27 AM  Sun 18-Dec-2011	B22
flightstats	CO-1173-IAH-DEN	2011-12-18 8:45 AM	2011-12-18 8:53 AM		2011-12-18 10:28 AM	2011-12-18 10:27 AM	
quicktrip	CO-1173-IAH-DEN	2011-12-18 8:45 AM	2011-12-18 8:53 AM		2011-12-18 10:28 AM	2011-12-18 10:27 AM	
world-flight-tracker	CO-1173-IAH-DEN	2011-12-18 8:45 AM	2011-12-18 8:53 AM		2011-12-18 10:28 AM	2011-12-18 10:27 AM	
flightview	CO-1173-IAH-DEN	8:45 AM, Dec 18	9:18 AM, Dec 18	Term C - C43	10:28 AM, Dec 18	10:27 AM, Dec 18	Terminal Conc B - B22
panynj	CO-1173-IAH-DEN	8:45 AM, Dec 18	9:18 AM, Dec 18	Term C - C43	10:28 AM, Dec 18	10:27 AM, Dec 18	Terminal Conc B - B22
gofox	CO-1173-IAH-DEN	8:45 AM, Dec 18	9:18 AM, Dec 18		10:28 AM, Dec 18	10:27 AM, Dec 18	
foxbusiness	CO-1173-IAH-DEN	8:45 AM, Dec 18	9:18 AM, Dec 18	Term C - C43	10:28 AM, Dec 18	10:27 AM, Dec 18	Terminal Conc B - B22
allegiantair	CO-1173-IAH-DEN	8:45 AM, Dec 18	9:18 AM, Dec 18	Term C - C43	10:28 AM, Dec 18	10:27 AM, Dec 18	Terminal Conc B - B22
boston	CO-1173-IAH-DEN	8:45 AM, Dec 18	9:18 AM, Dec 18		10:28 AM, Dec 18	10:22 AM, Dec 18	
travelocity	CO-1173-IAH-DEN	Dec 18 - 8:45am	Dec 18 - 8:53am	C-43	Dec 18 - 10:28am	Dec 18 - 10:27am	B22
orbitz	CO-1173-IAH-DEN	8:45aDec 18	8:53aDec 18	 C-43	10:28aDec 18	10:27aDec 18	 B22
weather	CO-1173-IAH-DEN	2011-12-18 08:45 AM			2011-12-18 10:28 AM		
den	CO-1173-IAH-DEN				2011-12-18 10:28 AM		 
usatoday	CO-1173-IAH-DEN	2011-12-18 08:45 AM			2011-12-18 10:28 AM		
aa	AA-1106-DFW-OKC	December 18, 2011               09:25 PM    	December 18, 2011     	 D21	December 18, 2011               10:15 PM    	December 18, 2011     	 4    
flightexplorer	AA-1106-DFW-OKC	12/18/2011 9:25PM CST			12/18/2011 10:15PM CST		
airtravelcenter	AA-1106-DFW-OKC		12/18/11 9:30 PM (-06:00)			12/18/11 10:05 PM (-06:00)	
myrateplan	AA-1106-DFW-OKC		12/18/11 9:30 PM (-06:00)			12/18/11 10:05 PM (-06:00)	
helloflight	AA-1106-DFW-OKC		12/18/11 9:30 PM (-06:00)			12/18/11 10:05 PM (-06:00)	
flytecomm	AA-1106-DFW-OKC		12/18/11 9:30 PM (-06:00)			12/18/11 10:05 PM (-06:00)	
flights	AA-1106-DFW-OKC	2011-12-18 09:25 PM		D21	2011-12-18 10:15 PM		4
businesstravellogue	AA-1106-DFW-OKC	2011-12-18 09:25 PM		D21	2011-12-18 10:15 PM		4
flylouisville	AA-1106-DFW-OKC	2011-12-18 09:25 PM		D21	2011-12-18 10:15 PM		4
flightstats	AA-1106-DFW-OKC	2011-12-18 9:25 PM	2011-12-18 9:25 PM (Estimated)		2011-12-18 10:15 PM	2011-12-18 10:15 PM (Estimated)	
quicktrip	AA-1106-DFW-OKC	2011-12-18 9:25 PM	2011-12-18 9:25 PM (Estimated)		2011-12-18 10:15 PM	2011-12-18 10:15 PM (Estimated)	
flightview	AA-1106-DFW-OKC	9:25 PMDec 18			10:15 PMDec 18		
panynj	AA-1106-DFW-OKC	9:25 PMDec 18			10:15 PMDec 18		
gofox	AA-1106-DFW-OKC	9:25 PMDec 18			10:15 PMDec 18		
foxbusiness	AA-1106-DFW-OKC	9:25 PMDec 18			10:15 PMDec 18		
allegiantair	AA-1106-DFW-OKC	9:25 PMDec 18			10:15 PMDec 18		
boston	AA-1106-DFW-OKC	9:25 PMDec 18			10:15 PMDec 18		
orbitz	AA-1106-DFW-OKC	9:25pDec 18		 D21	10:15pDec 18		 4
dfw	AA-1106-DFW-OKC	2011-12-18 9:25 pm		D21			
ifly	AA-1106-DFW-OKC	2011-12-18 9:25 PM	2011-12-18 9:25 PM (Estimated)		2011-12-18 10:15 PM	2011-12-18 10:15 PM (Estimated)	
mytripandmore	AA-1106-DFW-OKC	9:25pDec 18		 D21	10:15pDec 18		 4
aa	AA-557-MIA-STT	December 18, 2011               12:00 PM    	December 18, 2011               12:08 PM    	 E9	December 18, 2011               03:30 PM    	December 18, 2011               03:39 PM    	    
flightexplorer	AA-557-MIA-STT		12/18/2011 12:21PM EST			12/18/2011 3:34PM AST	
airtravelcenter	AA-557-MIA-STT		12/18/11 12:21 PM (-05:00)			12/18/11 3:34 PM (-04:00)	
myrateplan	AA-557-MIA-STT		12/18/11 12:21 PM (-05:00)			12/18/11 3:34 PM (-04:00)	
helloflight	AA-557-MIA-STT		12/18/11 12:21 PM (-05:00)			12/18/11 3:34 PM (-04:00)	
flytecomm	AA-557-MIA-STT		12/18/11 12:21 PM (-05:00)			12/18/11 3:34 PM (-04:00)	
flights	AA-557-MIA-STT	12:00 PM  Sun 18-Dec-2011	12:08 PM  Sun 18-Dec-2011		03:30 PM  Sun 18-Dec-2011	03:39 PM  Sun 18-Dec-2011	
businesstravellogue	AA-557-MIA-STT	12:00 PM  Sun 18-Dec-2011	12:08 PM  Sun 18-Dec-2011		03:30 PM  Sun 18-Dec-2011	03:39 PM  Sun 18-Dec-2011	
flylouisville	AA-557-MIA-STT	12:00 PM  Sun 18-Dec-2011	12:08 PM  Sun 18-Dec-2011		03:30 PM  Sun 18-Dec-2011	03:39 PM  Sun 18-Dec-2011	
world-flight-tracker	AA-557-MIA-STT	2011-12-18 12:00 PM	2011-12-18 12:08 PM		2011-12-18 3:30 PM	2011-12-18 3:39 PM	
flightview	AA-557-MIA-STT	12:00 PM, Dec 18	12:21 PM, Dec 18		3:30 PM, Dec 18	3:34 PM, Dec 18	
panynj	AA-557-MIA-STT	12:00 PM, Dec 18	12:21 PM, Dec 18		3:30 PM, Dec 18	3:34 PM, Dec 18	
gofox	AA-557-MIA-STT	12:00 PM, Dec 18	12:21 PM, Dec 18		3:30 PM, Dec 18	3:34 PM, Dec 18	
foxbusiness	AA-557-MIA-STT	12:00 PM, Dec 18	12:21 PM, Dec 18		3:30 PM, Dec 18	3:34 PM, Dec 18	
allegiantair	AA-557-MIA-STT	12:00 PM, Dec 18	12:21 PM, Dec 18		3:30 PM, Dec 18	3:34 PM, Dec 18	
boston	AA-557-MIA-STT	12:00 PM, Dec 18	12:21 PM, Dec 18		3:30 PM, Dec 18	3:34 PM, Dec 18	
travelocity	AA-557-MIA-STT	Dec 18 - 12:00noon	Dec 18 - 12:08pm	E9	Dec 18 - 3:30pm	Dec 18 - 3:39pm	Not provided by airline
orbitz	AA-557-MIA-STT	12:10pDec 18	12:08pDec 18	 E9	3:30pDec 18	3:39pDec 18	 -
weather	AA-557-MIA-STT	2011-12-18 12:00 PM			2011-12-18 03:30 PM		
usatoday	AA-557-MIA-STT	2011-12-18 12:00 PM			2011-12-18 03:30 PM		
mytripandmore	AA-557-MIA-STT	12:10pDec 18	12:08pDec 18	 E9	3:30pDec 18	3:39pDec 18	 -
ua	UA-2487-CLT-FLL	Sun, Dec 18 8:15 PM	Sun, Dec 18 8:15 PM            On Time	C7	Sun, Dec 18 10:16 PM	Sun, Dec 18 10:16 PM	E5
airtravelcenter	UA-2487-CLT-FLL		12/18/11 8:27 PM (-05:00)			12/18/11 10:12 PM (-05:00)	
myrateplan	UA-2487-CLT-FLL		12/18/11 8:27 PM (-05:00)			12/18/11 10:12 PM (-05:00)	
helloflight	UA-2487-CLT-FLL		12/18/11 8:27 PM (-05:00)			12/18/11 10:12 PM (-05:00)	
flytecomm	UA-2487-CLT-FLL		12/18/11 8:27 PM (-05:00)			12/18/11 10:12 PM (-05:00)	
flights	UA-2487-CLT-FLL	2011-12-18 08:15 PM		C7	2011-12-18 10:16 PM		
businesstravellogue	UA-2487-CLT-FLL	2011-12-18 08:15 PM		C7	2011-12-18 10:16 PM		
flylouisville	UA-2487-CLT-FLL	2011-12-18 08:15 PM		C7	2011-12-18 10:16 PM		
flightstats	UA-2487-CLT-FLL	2011-12-18 8:15 PM	2011-12-18 8:15 PM (Estimated)		2011-12-18 10:16 PM	2011-12-18 10:16 PM (Estimated)	
quicktrip	UA-2487-CLT-FLL	2011-12-18 8:15 PM	2011-12-18 8:15 PM (Estimated)		2011-12-18 10:16 PM	2011-12-18 10:16 PM (Estimated)	
flightview	UA-2487-CLT-FLL	8:15 PMDec 18			10:16 PMDec 18		
