ua	UA-1534-RTB-IAH	Sat, Dec 10 2:05 PM	Sat, Dec 10 5:00 PM	--	Sat, Dec 10 5:01 PM	Sat, Dec 10 7:44 PM	E24
flightarrival	AA-25-BOS-LAX	7:45 AM, Dec 10	7:53 AM, Dec 10		11:30 AM, Dec 10	10:44 AM, Dec 10	
aa	AA-466-IAH-MIA	December 10, 2011               06:00 AM    	December 10, 2011               06:06 AM    	 A27	December 10, 2011               09:20 AM    	December 10, 2011               09:19 AM    	 D30    
flightexplorer	AA-466-IAH-MIA		12/10/2011 6:16AM CST			12/10/2011 9:10AM EST	
airtravelcenter	AA-466-IAH-MIA		12/10/11 6:16 AM (-06:00)			12/10/11 9:10 AM (-05:00)	
myrateplan	AA-466-IAH-MIA		12/10/11 6:16 AM (-06:00)			12/10/11 9:10 AM (-05:00)	
helloflight	AA-466-IAH-MIA		12/10/11 6:16 AM (-06:00)			12/10/11 9:10 AM (-05:00)	
flytecomm	AA-466-IAH-MIA		12/10/11 6:16 AM (-06:00)			12/10/11 9:10 AM (-05:00)	
flightaware	AA-466-IAH-MIA	2011-12-10 06:00AM CST	2011-12-10 06:16AM CST	 A27 	2011-12-10 09:06AM EST	2011-12-10 09:07AM EST	 D30 
wunderground	AA-466-IAH-MIA	2011-12-10 06:00AM CST	2011-12-10 06:16AM CST	 A27 	2011-12-10 09:06AM EST	2011-12-10 09:07AM EST	 D30 
flights	AA-466-IAH-MIA	06:00 AM  Sat 10-Dec-2011	06:06 AM  Sat 10-Dec-2011	27	09:20 AM  Sat 10-Dec-2011	09:19 AM  Sat 10-Dec-2011	D30
businesstravellogue	AA-466-IAH-MIA	06:00 AM  Sat 10-Dec-2011	06:06 AM  Sat 10-Dec-2011	27	09:20 AM  Sat 10-Dec-2011	09:19 AM  Sat 10-Dec-2011	D30
flylouisville	AA-466-IAH-MIA	06:00 AM  Sat 10-Dec-2011	06:06 AM  Sat 10-Dec-2011	27	09:20 AM  Sat 10-Dec-2011	09:19 AM  Sat 10-Dec-2011	D30
flightstats	AA-466-IAH-MIA	2011-12-10 6:00 AM	2011-12-10 6:06 AM		2011-12-10 9:20 AM	2011-12-10 9:19 AM	
quicktrip	AA-466-IAH-MIA	2011-12-10 6:00 AM	2011-12-10 6:06 AM		2011-12-10 9:20 AM	2011-12-10 9:19 AM	
world-flight-tracker	AA-466-IAH-MIA	2011-12-10 6:00 AM	2011-12-10 6:06 AM		2011-12-10 9:20 AM	2011-12-10 9:19 AM	
flightview	AA-466-IAH-MIA	6:00 AM, Dec 10	6:16 AM, Dec 10	A27	9:20 AM, Dec 10	9:19 AM, Dec 10	Terminal D - D30
panynj	AA-466-IAH-MIA	6:00 AM, Dec 10	6:16 AM, Dec 10	A27	9:20 AM, Dec 10	9:19 AM, Dec 10	Terminal D - D30
gofox	AA-466-IAH-MIA	6:00 AM, Dec 10	6:16 AM, Dec 10		9:20 AM, Dec 10	9:19 AM, Dec 10	
foxbusiness	AA-466-IAH-MIA	6:00 AM, Dec 10	6:16 AM, Dec 10	A27	9:20 AM, Dec 10	9:19 AM, Dec 10	Terminal D - D30
allegiantair	AA-466-IAH-MIA	6:00 AM, Dec 10	6:16 AM, Dec 10	A27	9:20 AM, Dec 10	9:19 AM, Dec 10	Terminal D - D30
boston	AA-466-IAH-MIA	6:00 AM, Dec 10	6:16 AM, Dec 10		9:20 AM, Dec 10	9:08 AM, Dec 10	
travelocity	AA-466-IAH-MIA	Dec 10 - 6:00am	Dec 10 - 6:06am	A27	Dec 10 - 9:20am	Dec 10 - 9:19am	D30
orbitz	AA-466-IAH-MIA	6:00aDec 10	6:06aDec 10	 A27	9:20aDec 10	9:19aDec 10	 D30
weather	AA-466-IAH-MIA	2011-12-10 06:00 AM	2011-12-10 06:16 AM		2011-12-10 09:20 AM	2011-12-10 09:07 AM	
mia	AA-466-IAH-MIA				9:20A 12-10-11	2011-12-10  9:19A	
usatoday	AA-466-IAH-MIA	6:00 AM, Dec 10	6:16 AM, Dec 10		9:20 AM, Dec 10	9:08 AM, Dec 10	
mytripandmore	AA-466-IAH-MIA	Dec 10 - 6:00am	Dec 10 - 6:06am	A27	Dec 10 - 9:20am	Dec 10 - 9:19am	D30
flightarrival	AA-466-IAH-MIA	2011-12-10 06:00 AM	2011-12-10 06:16 AM		2011-12-10 09:20 AM	2011-12-10 09:07 AM	
aa	AA-3801-PHX-LAX	December 10, 2011               10:50 AM    	December 10, 2011               10:49 AM    	 2	December 10, 2011               11:30 AM    	December 10, 2011               11:22 AM    	 44F    
flightexplorer	AA-3801-PHX-LAX		12/10/2011 11:05AM MST			12/10/2011 11:05AM PST	
airtravelcenter	AA-3801-PHX-LAX		12/10/11 11:04 AM (-07:00)			12/10/11 11:05 AM (-08:00)	
myrateplan	AA-3801-PHX-LAX		12/10/11 11:04 AM (-07:00)			12/10/11 11:05 AM (-08:00)	
helloflight	AA-3801-PHX-LAX		12/10/11 11:04 AM (-07:00)			12/10/11 11:05 AM (-08:00)	
flytecomm	AA-3801-PHX-LAX		12/10/11 11:04 AM (-07:00)			12/10/11 11:05 AM (-08:00)	
flightaware	AA-3801-PHX-LAX	2011-12-10 10:50AM MST	2011-12-10 11:05AM MST	 2 	2011-12-10 11:03AM PST	2011-12-10 11:08AM PST	 44F 
wunderground	AA-3801-PHX-LAX	2011-12-10 10:50AM MST	2011-12-10 11:05AM MST	 2 	2011-12-10 11:03AM PST	2011-12-10 11:08AM PST	 44F 
flights	AA-3801-PHX-LAX	10:50 AM  Sat 10-Dec-2011	10:49 AM  Sat 10-Dec-2011	2	11:30 AM  Sat 10-Dec-2011	11:22 AM  Sat 10-Dec-2011	44F
businesstravellogue	AA-3801-PHX-LAX	10:50 AM  Sat 10-Dec-2011	10:49 AM  Sat 10-Dec-2011	2	11:30 AM  Sat 10-Dec-2011	11:22 AM  Sat 10-Dec-2011	44F
flylouisville	AA-3801-PHX-LAX	10:50 AM  Sat 10-Dec-2011	10:49 AM  Sat 10-Dec-2011	2	11:30 AM  Sat 10-Dec-2011	11:22 AM  Sat 10-Dec-2011	44F
flightstats	AA-3801-PHX-LAX	2011-12-10 10:50 AM	2011-12-10 10:49 AM		2011-12-10 11:30 AM	2011-12-10 11:22 AM	
quicktrip	AA-3801-PHX-LAX	2011-12-10 10:50 AM	2011-12-10 10:49 AM		2011-12-10 11:30 AM	2011-12-10 11:22 AM	
world-flight-tracker	AA-3801-PHX-LAX	2011-12-10 10:50 AM	2011-12-10 10:49 AM		2011-12-10 11:30 AM	2011-12-10 11:22 AM	
flightview	AA-3801-PHX-LAX	10:50 AM, Dec 10	11:05 AM, Dec 10	Terminal 3 - 2	11:30 AM, Dec 10	11:22 AM, Dec 10	Terminal 4 - 44F
panynj	AA-3801-PHX-LAX	10:50 AM, Dec 10	11:05 AM, Dec 10	Terminal 3 - 2	11:30 AM, Dec 10	11:22 AM, Dec 10	Terminal 4 - 44F
gofox	AA-3801-PHX-LAX	10:50 AM, Dec 10	11:05 AM, Dec 10		11:30 AM, Dec 10	11:22 AM, Dec 10	
foxbusiness	AA-3801-PHX-LAX	10:50 AM, Dec 10	11:05 AM, Dec 10	Terminal 3 - 2	11:30 AM, Dec 10	11:22 AM, Dec 10	Terminal 4 - 44F
allegiantair	AA-3801-PHX-LAX	10:50 AM, Dec 10	11:05 AM, Dec 10	Terminal 3 - 2	11:30 AM, Dec 10	11:22 AM, Dec 10	Terminal 4 - 44F
boston	AA-3801-PHX-LAX	10:50 AM, Dec 10	11:05 AM, Dec 10		11:30 AM, Dec 10	11:09 AM, Dec 10	
travelocity	AA-3801-PHX-LAX	Dec 10 - 10:50am	Dec 10 - 10:49am	2	Dec 10 - 11:30am	Dec 10 - 11:22am	44F/T4
orbitz	AA-3801-PHX-LAX	10:50aDec 10	10:49aDec 10	 2	11:30aDec 10	11:22aDec 10	 44F
weather	AA-3801-PHX-LAX	2011-12-10 10:50 AM			2011-12-10 11:30 AM		
ua	UA-729-LIH-DEN	Sat, Dec 10 9:00 PM	Sat, Dec 10 9:00 PM	10	Sun, Dec 11 6:48 AM	Sun, Dec 11 6:48 AM	B42
flightexplorer	UA-729-LIH-DEN	12/10/2011 9:00PM HST			12/11/2011 6:48AM MST		
airtravelcenter	UA-729-LIH-DEN		12/10/11 9:10 PM (-10:00)			12/11/11 6:14 AM (-07:00)	
myrateplan	UA-729-LIH-DEN		12/10/11 9:10 PM (-10:00)			12/11/11 6:14 AM (-07:00)	
helloflight	UA-729-LIH-DEN		12/10/11 9:10 PM (-10:00)			12/11/11 6:14 AM (-07:00)	
flytecomm	UA-729-LIH-DEN		12/10/11 9:10 PM (-10:00)			12/11/11 6:14 AM (-07:00)	
flights	UA-729-LIH-DEN	09:00 PM  Sat 10-Dec-2011			06:48 AM  Sun 11-Dec-2011		
businesstravellogue	UA-729-LIH-DEN	09:00 PM  Sat 10-Dec-2011			06:48 AM  Sun 11-Dec-2011		
flylouisville	UA-729-LIH-DEN	09:00 PM  Sat 10-Dec-2011			06:48 AM  Sun 11-Dec-2011		
world-flight-tracker	UA-729-LIH-DEN	2011-12-10 9:00 PM	2011-12-10 9:10 PM (Estimated runway)		2011-12-10 6:48 AM	2011-12-10 6:14 AM (Estimated runway)	
flightview	UA-729-LIH-DEN	9:00 PM, Dec 10		10	6:48 AM, Dec 11		B42
panynj	UA-729-LIH-DEN	9:00 PM, Dec 10		10	6:48 AM, Dec 11		B42
gofox	UA-729-LIH-DEN	9:00 PM, Dec 10			6:48 AM, Dec 11		
foxbusiness	UA-729-LIH-DEN	9:00 PM, Dec 10		10	6:48 AM, Dec 11		B42
allegiantair	UA-729-LIH-DEN	9:00 PM, Dec 10		10	6:48 AM, Dec 11		B42
boston	UA-729-LIH-DEN	9:00 PM, Dec 10	Not Available		6:48 AM, Dec 11	Not Available	
travelocity	UA-729-LIH-DEN	Dec 10 - 9:00pm	Dec 10 - Not Available	10	Dec 10 - 6:48am	Dec 10 - Not Available	B42
orbitz	UA-729-LIH-DEN	9:00pDec 10		 10	6:48aDec 11		 B42
usatoday	UA-729-LIH-DEN	9:00 PM, Dec 10	Not Available		6:48 AM, Dec 11	Not Available	
aa	AA-1999-EWR-MIA	December 10, 2011               04:50 PM    	December 10, 2011               04:41 PM    	 34	December 10, 2011               08:10 PM    	December 10, 2011               08:10 PM    	 D44    
flightexplorer	AA-1999-EWR-MIA		12/10/2011 4:54PM EST			12/10/2011 7:39PM EST	
airtravelcenter	AA-1999-EWR-MIA		12/10/11 4:54 PM (-05:00)			12/10/11 7:39 PM (-05:00)	
myrateplan	AA-1999-EWR-MIA		12/10/11 4:54 PM (-05:00)			12/10/11 7:39 PM (-05:00)	
helloflight	AA-1999-EWR-MIA		12/10/11 4:54 PM (-05:00)			12/10/11 7:39 PM (-05:00)	
flytecomm	AA-1999-EWR-MIA		12/10/11 4:54 PM (-05:00)			12/10/11 7:39 PM (-05:00)	
flightaware	AA-1999-EWR-MIA	2011-12-10 04:50PM EST	2011-12-10 04:53PM EST	 34 	2011-12-10 08:00PM EST	2011-12-10 07:36PM EST	 D44 
wunderground	AA-1999-EWR-MIA	2011-12-10 04:50PM EST	2011-12-10 04:53PM EST	 34 	2011-12-10 08:00PM EST	2011-12-10 07:36PM EST	 D44 
flights	AA-1999-EWR-MIA	04:50 PM  Sat 10-Dec-2011	04:41 PM  Sat 10-Dec-2011	34	08:10 PM  Sat 10-Dec-2011	08:10 PM  Sat 10-Dec-2011	D44
businesstravellogue	AA-1999-EWR-MIA	04:50 PM  Sat 10-Dec-2011	04:41 PM  Sat 10-Dec-2011	34	08:10 PM  Sat 10-Dec-2011	08:10 PM  Sat 10-Dec-2011	D44
flylouisville	AA-1999-EWR-MIA	04:50 PM  Sat 10-Dec-2011	04:41 PM  Sat 10-Dec-2011	34	08:10 PM  Sat 10-Dec-2011	08:10 PM  Sat 10-Dec-2011	D44
flightstats	AA-1999-EWR-MIA	2011-12-10 4:50 PM	2011-12-10 4:41 PM		2011-12-10 8:10 PM	2011-12-10 8:10 PM	
quicktrip	AA-1999-EWR-MIA	2011-12-10 4:50 PM	2011-12-10 4:41 PM		2011-12-10 8:10 PM	2011-12-10 8:10 PM	
world-flight-tracker	AA-1999-EWR-MIA	2011-12-10 4:50 PM	2011-12-10 4:41 PM		2011-12-10 8:10 PM	2011-12-10 8:10 PM	
flightview	AA-1999-EWR-MIA	4:50 PM, Dec 10	4:54 PM, Dec 10	34	8:10 PM, Dec 10	8:10 PM, Dec 10	Terminal D - D44
panynj	AA-1999-EWR-MIA	4:50 PM, Dec 10	4:54 PM, Dec 10	34	8:10 PM, Dec 10	8:10 PM, Dec 10	Terminal D - D44
gofox	AA-1999-EWR-MIA	4:50 PM, Dec 10	4:54 PM, Dec 10		8:10 PM, Dec 10	8:10 PM, Dec 10	
foxbusiness	AA-1999-EWR-MIA	4:50 PM, Dec 10	4:54 PM, Dec 10	34	8:10 PM, Dec 10	8:10 PM, Dec 10	Terminal D - D44
allegiantair	AA-1999-EWR-MIA	4:50 PM, Dec 10	4:54 PM, Dec 10	34	8:10 PM, Dec 10	8:10 PM, Dec 10	Terminal D - D44
boston	AA-1999-EWR-MIA	4:50 PM, Dec 10	4:54 PM, Dec 10		8:10 PM, Dec 10	7:37 PM, Dec 10	
travelocity	AA-1999-EWR-MIA	Dec 10 - 4:50pm	Dec 10 - 4:41pm	34/A	Dec 10 - 8:10pm	Dec 10 - 8:10pm	D44
orbitz	AA-1999-EWR-MIA	4:50pDec 10	4:41pDec 10	 34	8:10pDec 10	8:10pDec 10	 D44
weather	AA-1999-EWR-MIA	2011-12-10 04:50 PM			2011-12-10 08:10 PM		
mia	AA-1999-EWR-MIA				8:10P 12-10-11	2011-12-10  7:50P	
flightarrival	AA-1999-EWR-MIA	4:50 PM, Dec 10	4:54 PM, Dec 10		8:10 PM, Dec 10	7:37 PM, Dec 10	
ua	UA-1596-IAH-SFO	Sat, Dec 10 1:15 PM	Sat, Dec 10 1:30 PM	C-29	Sat, Dec 10 3:34 PM	Sat, Dec 10 3:33 PM	89
flightexplorer	UA-1596-IAH-SFO		12/10/2011 1:44PM CST			12/10/2011 3:23PM PST	
airtravelcenter	UA-1596-IAH-SFO		12/10/11 1:45 PM (-06:00)			12/10/11 3:23 PM (-08:00)	
myrateplan	UA-1596-IAH-SFO		12/10/11 1:45 PM (-06:00)			12/10/11 3:23 PM (-08:00)	
helloflight	UA-1596-IAH-SFO		12/10/11 1:45 PM (-06:00)			12/10/11 3:23 PM (-08:00)	
flytecomm	UA-1596-IAH-SFO		12/10/11 1:45 PM (-06:00)			12/10/11 3:23 PM (-08:00)	
flightaware	UA-1596-IAH-SFO	2011-12-10 01:15PM CST	2011-12-10 01:45PM CST	 29 	2011-12-10 02:48PM PST	2011-12-10 03:28PM PST	 89 
wunderground	UA-1596-IAH-SFO	2011-12-10 01:15PM CST	2011-12-10 01:45PM CST	 29 	2011-12-10 02:48PM PST	2011-12-10 03:28PM PST	 89 
flights	UA-1596-IAH-SFO	01:15 PM  Sat 10-Dec-2011	01:30 PM  Sat 10-Dec-2011	29	03:34 PM  Sat 10-Dec-2011	03:33 PM  Sat 10-Dec-2011	89
businesstravellogue	UA-1596-IAH-SFO	01:15 PM  Sat 10-Dec-2011	01:30 PM  Sat 10-Dec-2011	29	03:34 PM  Sat 10-Dec-2011	03:33 PM  Sat 10-Dec-2011	89
flylouisville	UA-1596-IAH-SFO	01:15 PM  Sat 10-Dec-2011	01:30 PM  Sat 10-Dec-2011	29	03:34 PM  Sat 10-Dec-2011	03:33 PM  Sat 10-Dec-2011	89
world-flight-tracker	UA-1596-IAH-SFO	2011-12-10 1:15 PM	2011-12-10 1:30 PM		2011-12-10 3:34 PM	2011-12-10 3:33 PM	
flightview	UA-1596-IAH-SFO	1:15 PM, Dec 10	1:45 PM, Dec 10	Term C - C29	3:34 PM, Dec 10	3:33 PM, Dec 10	Terminal 3 - 89
panynj	UA-1596-IAH-SFO	1:15 PM, Dec 10	1:45 PM, Dec 10	Term C - C29	3:34 PM, Dec 10	3:33 PM, Dec 10	Terminal 3 - 89
gofox	UA-1596-IAH-SFO	1:15 PM, Dec 10	1:45 PM, Dec 10		3:34 PM, Dec 10	3:33 PM, Dec 10	
foxbusiness	UA-1596-IAH-SFO	1:15 PM, Dec 10	1:45 PM, Dec 10	Term C - C29	3:34 PM, Dec 10	3:33 PM, Dec 10	Terminal 3 - 89
allegiantair	UA-1596-IAH-SFO	1:15 PM, Dec 10	1:45 PM, Dec 10	Term C - C29	3:34 PM, Dec 10	3:33 PM, Dec 10	Terminal 3 - 89
boston	UA-1596-IAH-SFO	1:15 PM, Dec 10	1:45 PM, Dec 10		3:34 PM, Dec 10	3:29 PM, Dec 10	
travelocity	UA-1596-IAH-SFO	Dec 10 - 1:15pm	Dec 10 - Contact Airline	Not provided by airline	Dec 10 - 3:34pm	Dec 10 - Contact Airline	Not provided by airline
orbitz	UA-1596-IAH-SFO	1:15pDec 10	1:30pDec 10	 29	3:34pDec 10	3:33pDec 10	 89
weather	UA-1596-IAH-SFO	2011-12-10 01:15 PM			2011-12-10 03:34 PM		
mytripandmore	UA-1596-IAH-SFO	1:15pDec 10	1:30pDec 10	 29	3:34pDec 10	3:33pDec 10	 89
aa	AA-1077-DFW-SFO	December 10, 2011               07:45 AM    	December 10, 2011               07:42 AM    	 D31	December 10, 2011               09:30 AM    	December 10, 2011               09:05 AM    	 56B    
airtravelcenter	AA-1077-DFW-SFO		12/10/11 7:52 AM (-06:00)			12/10/11 8:55 AM (-08:00)	
myrateplan	AA-1077-DFW-SFO		12/10/11 7:52 AM (-06:00)			12/10/11 8:55 AM (-08:00)	
helloflight	AA-1077-DFW-SFO		12/10/11 7:52 AM (-06:00)			12/10/11 8:55 AM (-08:00)	
flytecomm	AA-1077-DFW-SFO		12/10/11 7:52 AM (-06:00)			12/10/11 8:55 AM (-08:00)	
flightaware	AA-1077-DFW-SFO	2011-12-10 07:45AM CST	2011-12-10 07:54AM CST	 D31 	2011-12-10 09:10AM PST	2011-12-10 09:00AM PST	 56B 
wunderground	AA-1077-DFW-SFO	2011-12-10 07:45AM CST	2011-12-10 07:54AM CST	 D31 	2011-12-10 09:10AM PST	2011-12-10 09:00AM PST	 56B 
flights	AA-1077-DFW-SFO	07:45 AM  Sat 10-Dec-2011	07:42 AM  Sat 10-Dec-2011	D31	09:30 AM  Sat 10-Dec-2011	09:05 AM  Sat 10-Dec-2011	56B
businesstravellogue	AA-1077-DFW-SFO	07:45 AM  Sat 10-Dec-2011	07:42 AM  Sat 10-Dec-2011	D31	09:30 AM  Sat 10-Dec-2011	09:05 AM  Sat 10-Dec-2011	56B
flylouisville	AA-1077-DFW-SFO	07:45 AM  Sat 10-Dec-2011	07:42 AM  Sat 10-Dec-2011	D31	09:30 AM  Sat 10-Dec-2011	09:05 AM  Sat 10-Dec-2011	56B
flightstats	AA-1077-DFW-SFO	2011-12-10 7:45 AM	2011-12-10 7:42 AM		2011-12-10 9:30 AM	2011-12-10 9:05 AM	
quicktrip	AA-1077-DFW-SFO	2011-12-10 7:45 AM	2011-12-10 7:42 AM		2011-12-10 9:30 AM	2011-12-10 9:05 AM	
world-flight-tracker	AA-1077-DFW-SFO	2011-12-10 7:45 AM	2011-12-10 7:42 AM		2011-12-10 9:30 AM	2011-12-10 9:05 AM	
flightview	AA-1077-DFW-SFO	7:45 AM, Dec 10	7:54 AM, Dec 10	Terminal D - D31	9:30 AM, Dec 10	9:05 AM, Dec 10	Terminal 2 - 56B
panynj	AA-1077-DFW-SFO	7:45 AM, Dec 10	7:54 AM, Dec 10	Terminal D - D31	9:30 AM, Dec 10	9:05 AM, Dec 10	Terminal 2 - 56B
gofox	AA-1077-DFW-SFO	7:45 AM, Dec 10	7:54 AM, Dec 10		9:30 AM, Dec 10	9:05 AM, Dec 10	
foxbusiness	AA-1077-DFW-SFO	7:45 AM, Dec 10	7:54 AM, Dec 10	Terminal D - D31	9:30 AM, Dec 10	9:05 AM, Dec 10	Terminal 2 - 56B
allegiantair	AA-1077-DFW-SFO	7:45 AM, Dec 10	7:54 AM, Dec 10	Terminal D - D31	9:30 AM, Dec 10	9:05 AM, Dec 10	Terminal 2 - 56B
boston	AA-1077-DFW-SFO	7:45 AM, Dec 10	7:54 AM, Dec 10		9:30 AM, Dec 10	9:01 AM, Dec 10	
travelocity	AA-1077-DFW-SFO	Dec 10 - 7:45am	Dec 10 - 7:42am	D31/D	Dec 10 - 9:30am	Dec 10 - 9:05am	56B
orbitz	AA-1077-DFW-SFO	7:45aDec 10	7:42aDec 10	 D31	9:30aDec 10	9:05aDec 10	 56B
weather	AA-1077-DFW-SFO	2011-12-10 07:45 AM	2011-12-10 07:54 AM		2011-12-10 09:30 AM	2011-12-10 08:55 AM	
sfo	AA-1077-DFW-SFO				2011-12-10 9:30 AM		56
ifly	AA-1077-DFW-SFO	2011-12-10 7:45 AM	2011-12-10 7:42 AM		2011-12-10 9:30 AM	2011-12-10 9:05 AM	
mytripandmore	AA-1077-DFW-SFO	7:45aDec 10	7:42aDec 10	 D31	9:30aDec 10	9:05aDec 10	 56B
flightarrival	AA-1077-DFW-SFO	7:45 AM, Dec 10	7:54 AM, Dec 10		9:30 AM, Dec 10	9:01 AM, Dec 10	
CO	CO-86-EWR-CLE	Sat., Dec.10, 2011 8:15 p.m.	Sat., Dec.10, 2011 8:14 p.m.		Sat., Dec.10, 2011 9:54 p.m.	Sat., Dec.10, 2011 9:44 p.m.	
airtravelcenter	CO-86-EWR-CLE	12/10/11 8:15 PM (-05:00)			12/10/11 9:54 PM (-05:00)		
myrateplan	CO-86-EWR-CLE	12/10/11 8:15 PM (-05:00)			12/10/11 9:54 PM (-05:00)		
helloflight	CO-86-EWR-CLE	12/10/11 8:15 PM (-05:00)			12/10/11 9:54 PM (-05:00)		
flytecomm	CO-86-EWR-CLE	12/10/11 8:15 PM (-05:00)			12/10/11 9:54 PM (-05:00)		
flights	CO-86-EWR-CLE		2011-12-10 08:14 PM	83		2011-12-10 09:44 PM	C25
businesstravellogue	CO-86-EWR-CLE		2011-12-10 08:14 PM	83		2011-12-10 09:44 PM	C25
flylouisville	CO-86-EWR-CLE		2011-12-10 08:14 PM	83		2011-12-10 09:44 PM	C25
flightstats	CO-86-EWR-CLE	2011-12-10 8:15 PM	2011-12-10 8:14 PM		2011-12-10 9:54 PM	2011-12-10 9:44 PM	
quicktrip	CO-86-EWR-CLE	2011-12-10 8:15 PM	2011-12-10 8:14 PM		2011-12-10 9:54 PM	2011-12-10 9:44 PM	
flightview	CO-86-EWR-CLE		8:32 PMDec 10			9:44 PMDec 10	
panynj	CO-86-EWR-CLE		8:32 PMDec 10			9:44 PMDec 10	
gofox	CO-86-EWR-CLE		8:32 PMDec 10			9:44 PMDec 10	
foxbusiness	CO-86-EWR-CLE		8:32 PMDec 10			9:44 PMDec 10	
allegiantair	CO-86-EWR-CLE		8:32 PMDec 10			9:44 PMDec 10	
boston	CO-86-EWR-CLE		8:32 PMDec 10			9:43 PMDec 10	
orbitz	CO-86-EWR-CLE	8:15pDec 10	8:14pDec 10	 C83	9:54pDec 10	9:44pDec 10	 C25
ifly	CO-86-EWR-CLE	2011-12-10 8:15 PM	2011-12-10 8:14 PM		2011-12-10 9:54 PM	2011-12-10 9:44 PM	
mytripandmore	CO-86-EWR-CLE	8:15pDec 10	8:14pDec 10	 C83	9:54pDec 10	9:44pDec 10	 C25
flightarrival	CO-86-EWR-CLE		8:32 PMDec 10			9:43 PMDec 10	
ua	UA-2831-MCO-CLT	Sat, Dec 10 7:05 PM	Sat, Dec 10 7:30 PM	56	Sat, Dec 10 8:43 PM	Sat, Dec 10 9:02 PM	C10
airtravelcenter	UA-2831-MCO-CLT		12/10/11 7:46 PM (-05:00)			12/10/11 8:59 PM (-05:00)	
myrateplan	UA-2831-MCO-CLT		12/10/11 7:46 PM (-05:00)			12/10/11 8:59 PM (-05:00)	
helloflight	UA-2831-MCO-CLT		12/10/11 7:46 PM (-05:00)			12/10/11 8:59 PM (-05:00)	
flytecomm	UA-2831-MCO-CLT		12/10/11 7:46 PM (-05:00)			12/10/11 8:59 PM (-05:00)	
flights	UA-2831-MCO-CLT	07:05 PM  Sat 10-Dec-2011	07:30 PM  Sat 10-Dec-2011	56	08:43 PM  Sat 10-Dec-2011	09:02 PM  Sat 10-Dec-2011	C10
businesstravellogue	UA-2831-MCO-CLT	07:05 PM  Sat 10-Dec-2011	07:30 PM  Sat 10-Dec-2011	56	08:43 PM  Sat 10-Dec-2011	09:02 PM  Sat 10-Dec-2011	C10
flylouisville	UA-2831-MCO-CLT	07:05 PM  Sat 10-Dec-2011	07:30 PM  Sat 10-Dec-2011	56	08:43 PM  Sat 10-Dec-2011	09:02 PM  Sat 10-Dec-2011	C10
flightstats	UA-2831-MCO-CLT	2011-12-10 7:05 PM	2011-12-10 7:30 PM		2011-12-10 8:43 PM	2011-12-10 9:02 PM	
quicktrip	UA-2831-MCO-CLT	2011-12-10 7:05 PM	2011-12-10 7:30 PM		2011-12-10 8:43 PM	2011-12-10 9:02 PM	
world-flight-tracker	UA-2831-MCO-CLT	2011-12-10 7:05 PM	2011-12-10 7:30 PM		2011-12-10 8:43 PM	2011-12-10 9:02 PM	
flightview	UA-2831-MCO-CLT	7:05 PM, Dec 10	7:47 PM, Dec 10		8:43 PM, Dec 10	8:57 PM, Dec 10	
panynj	UA-2831-MCO-CLT	7:05 PM, Dec 10	7:47 PM, Dec 10		8:43 PM, Dec 10	8:57 PM, Dec 10	
gofox	UA-2831-MCO-CLT	7:05 PM, Dec 10	7:47 PM, Dec 10		8:43 PM, Dec 10	8:57 PM, Dec 10	
foxbusiness	UA-2831-MCO-CLT	7:05 PM, Dec 10	7:47 PM, Dec 10		8:43 PM, Dec 10	8:57 PM, Dec 10	
allegiantair	UA-2831-MCO-CLT	7:05 PM, Dec 10	7:47 PM, Dec 10		8:43 PM, Dec 10	8:57 PM, Dec 10	
boston	UA-2831-MCO-CLT	7:05 PM, Dec 10	7:47 PM, Dec 10		8:43 PM, Dec 10	8:57 PM, Dec 10	
travelocity	UA-2831-MCO-CLT	Dec 10 - 7:05pm	Dec 10 - Contact Airline	Not provided by airline	Dec 10 - 8:43pm	Dec 10 - Contact Airline	Not provided by airline
orbitz	UA-2831-MCO-CLT	7:05pDec 10	7:30pDec 10	 -	8:43pDec 10	9:02pDec 10	 -
weather	UA-2831-MCO-CLT	2011-12-10 07:05 PM			2011-12-10 08:43 PM		
mytripandmore	UA-2831-MCO-CLT	7:05pDec 10	7:30pDec 10	 -	8:43pDec 10	9:02pDec 10	 -
aa	AA-858-TPA-MIA	December 10, 2011               06:55 AM    	December 10, 2011               07:01 AM    	 F79	December 10, 2011               07:55 AM    	December 10, 2011               07:56 AM    	 D8    
flightexplorer	AA-858-TPA-MIA		12/10/2011 7:08AM EST			12/10/2011 7:54AM EST	
airtravelcenter	AA-858-TPA-MIA		12/10/11 7:08 AM (-05:00)			12/10/11 7:54 AM (-05:00)	
myrateplan	AA-858-TPA-MIA		12/10/11 7:08 AM (-05:00)			12/10/11 7:54 AM (-05:00)	
helloflight	AA-858-TPA-MIA		12/10/11 7:08 AM (-05:00)			12/10/11 7:54 AM (-05:00)	
flytecomm	AA-858-TPA-MIA		12/10/11 7:08 AM (-05:00)			12/10/11 7:54 AM (-05:00)	
flights	AA-858-TPA-MIA		2011-12-10 07:01 AM	F79		2011-12-10 07:56 AM	D8
businesstravellogue	AA-858-TPA-MIA		2011-12-10 07:01 AM	F79		2011-12-10 07:56 AM	D8
flylouisville	AA-858-TPA-MIA		2011-12-10 07:01 AM	F79		2011-12-10 07:56 AM	D8
flightview	AA-858-TPA-MIA		7:08 AMDec 10			7:56 AMDec 10	
