CO	CO-4237-EWR-DTW	Mon., Jan.02, 2012 12:17 p.m.	Mon., Jan.02, 2012 12:17 p.m.		Mon., Jan.02, 2012 2:24 p.m.	Mon., Jan.02, 2012 2:24 p.m.	
gofox	AA-3880-ORD-IAH	3:15 PM, Jan 02	3:35 PM, Jan 02		6:00 PM, Jan 02	5:26 PM, Jan 02	
foxbusiness	AA-3880-ORD-IAH	3:15 PM, Jan 02	3:35 PM, Jan 02	Terminal 3	6:00 PM, Jan 02	5:26 PM, Jan 02	A29
allegiantair	AA-3880-ORD-IAH	3:15 PM, Jan 02	3:35 PM, Jan 02	Terminal 3	6:00 PM, Jan 02	5:26 PM, Jan 02	A29
boston	AA-3880-ORD-IAH	3:15 PM, Jan 02	3:35 PM, Jan 02		6:00 PM, Jan 02	5:26 PM, Jan 02	
orbitz	AA-3880-ORD-IAH	3:15pJan 2	3:19pJan 2	 G1B	6:00pJan 2	5:29pJan 2	 A29
weather	AA-3880-ORD-IAH	2012-01-02 03:15 PM			2012-01-02 06:00 PM		
ord	AA-3880-ORD-IAH	2012-01-02 3:15 PM		G1B	2012-01-02 6:00 PM		29
ifly	AA-3880-ORD-IAH	2012-01-02 3:15 PM	2012-01-02 3:19 PM		2012-01-02 6:00 PM	2012-01-02 5:29 PM	
usatoday	AA-3880-ORD-IAH	2012-01-02 03:15 PM			2012-01-02 06:00 PM		
flightwise	AA-3880-ORD-IAH	2012-01-02 03:15PM CST	2012-01-02 03:35PM CST	 G1B 	2012-01-02 05:26PM CST	2012-01-02 05:25PM CST	 A29 
flightarrival	AA-3880-ORD-IAH	3:15 PM, Jan 02	3:35 PM, Jan 02		6:00 PM, Jan 02	5:26 PM, Jan 02	
ua	UA-1545-AUS-IAH	Mon, Jan 2 6:45 AM	Mon, Jan 2 6:43 AM	16	Mon, Jan 2 7:45 AM	Mon, Jan 2 7:34 AM	E21
airtravelcenter	UA-1545-AUS-IAH	1/2/12 6:45 AM (-06:00)			1/2/12 7:45 AM (-06:00)		
myrateplan	UA-1545-AUS-IAH	1/2/12 6:45 AM (-06:00)			1/2/12 7:45 AM (-06:00)		
helloflight	UA-1545-AUS-IAH	1/2/12 6:45 AM (-06:00)			1/2/12 7:45 AM (-06:00)		
flytecomm	UA-1545-AUS-IAH	1/2/12 6:45 AM (-06:00)			1/2/12 7:45 AM (-06:00)		
flights	UA-1545-AUS-IAH		2012-01-02 06:43 AM	16		2012-01-02 07:34 AM	21
businesstravellogue	UA-1545-AUS-IAH		2012-01-02 06:43 AM	16		2012-01-02 07:34 AM	21
flylouisville	UA-1545-AUS-IAH		2012-01-02 06:43 AM	16		2012-01-02 07:34 AM	21
flightview	UA-1545-AUS-IAH		6:57 AMJan 02			7:34 AMJan 02	
panynj	UA-1545-AUS-IAH		6:57 AMJan 02			7:34 AMJan 02	
gofox	UA-1545-AUS-IAH		6:57 AMJan 02			7:34 AMJan 02	
foxbusiness	UA-1545-AUS-IAH		6:57 AMJan 02			7:34 AMJan 02	
allegiantair	UA-1545-AUS-IAH		6:57 AMJan 02			7:34 AMJan 02	
boston	UA-1545-AUS-IAH		6:57 AMJan 02			7:31 AMJan 02	
orbitz	UA-1545-AUS-IAH	6:45aJan 2	6:43aJan 2	 16	7:45aJan 2	7:34aJan 2	 E21
weather	UA-1545-AUS-IAH	2012-01-02 06:45 AM	2012-01-02 06:57 AM		2012-01-02 07:45 AM	2012-01-02 07:20 AM	
usatoday	UA-1545-AUS-IAH	2012-01-02 06:45 AM	2012-01-02 06:57 AM		2012-01-02 07:45 AM	2012-01-02 07:20 AM	
flightarrival	UA-1545-AUS-IAH	2012-01-02 06:45 AM	2012-01-02 06:57 AM		2012-01-02 07:45 AM	2012-01-02 07:20 AM	
ua	UA-675-EGE-DEN	Mon, Jan 2 12:51 PM	Mon, Jan 2 12:51 PM	HOLD	Mon, Jan 2 1:45 PM	Mon, Jan 2 1:45 PM	B31
flightexplorer	UA-675-EGE-DEN	1/2/2012 1:09PM MST			1/2/2012 1:40PM MST		
airtravelcenter	UA-675-EGE-DEN		1/2/12 1:09 PM (-07:00)			1/2/12 1:40 PM (-07:00)	
myrateplan	UA-675-EGE-DEN		1/2/12 1:09 PM (-07:00)			1/2/12 1:40 PM (-07:00)	
helloflight	UA-675-EGE-DEN		1/2/12 1:09 PM (-07:00)			1/2/12 1:40 PM (-07:00)	
flytecomm	UA-675-EGE-DEN		1/2/12 1:09 PM (-07:00)			1/2/12 1:40 PM (-07:00)	
flightaware	UA-675-EGE-DEN	2012-01-02 12:51PM MST	2012-01-02 01:09PM MST		2012-01-02 01:22PM MST	2012-01-02 01:40PM MST	 B31 
wunderground	UA-675-EGE-DEN	2012-01-02 12:51PM MST	2012-01-02 01:09PM MST		2012-01-02 01:22PM MST	2012-01-02 01:40PM MST	 B31 
flights	UA-675-EGE-DEN	2012-01-02 12:51 PM			2012-01-02 01:45 PM		B31
businesstravellogue	UA-675-EGE-DEN	2012-01-02 12:51 PM			2012-01-02 01:45 PM		B31
flylouisville	UA-675-EGE-DEN	2012-01-02 12:51 PM			2012-01-02 01:45 PM		B31
flightview	UA-675-EGE-DEN	12:51 PMJan 02			1:46 PMJan 02		
panynj	UA-675-EGE-DEN	12:51 PMJan 02			1:46 PMJan 02		
gofox	UA-675-EGE-DEN	12:51 PMJan 02			1:46 PMJan 02		
foxbusiness	UA-675-EGE-DEN	12:51 PMJan 02			1:46 PMJan 02		
allegiantair	UA-675-EGE-DEN	12:51 PMJan 02			1:46 PMJan 02		
boston	UA-675-EGE-DEN	12:51 PMJan 02			1:22 PMJan 02		
orbitz	UA-675-EGE-DEN	12:51pJan 2		 -	1:45pJan 2		 B29
den	UA-675-EGE-DEN				2012-01-02 1:45 PM		B33
usatoday	UA-675-EGE-DEN	12:51 PMJan 02			1:22 PMJan 02		
mytripandmore	UA-675-EGE-DEN	12:51pJan 2		 -	1:45pJan 2		 B29
flightarrival	UA-675-EGE-DEN	12:51 PMJan 02			1:22 PMJan 02		
ua	UA-4461-RDU-EWR	Mon, Jan 2 6:13 PM	Mon, Jan 2 7:07 PM	D3	Mon, Jan 2 7:56 PM	Mon, Jan 2 8:33 PM	A27A
airtravelcenter	UA-4461-RDU-EWR	1/2/12 6:13 PM (-05:00)			1/2/12 7:56 PM (-05:00)		
myrateplan	UA-4461-RDU-EWR	1/2/12 6:13 PM (-05:00)			1/2/12 7:56 PM (-05:00)		
helloflight	UA-4461-RDU-EWR	1/2/12 6:13 PM (-05:00)			1/2/12 7:56 PM (-05:00)		
flytecomm	UA-4461-RDU-EWR	1/2/12 6:13 PM (-05:00)			1/2/12 7:56 PM (-05:00)		
flights	UA-4461-RDU-EWR	06:13 PM  Mon 02-Jan-2012	07:07 PM  Mon 02-Jan-2012	D3	07:56 PM  Mon 02-Jan-2012	08:33 PM  Mon 02-Jan-2012	27A
businesstravellogue	UA-4461-RDU-EWR	06:13 PM  Mon 02-Jan-2012	07:07 PM  Mon 02-Jan-2012	D3	07:56 PM  Mon 02-Jan-2012	08:33 PM  Mon 02-Jan-2012	27A
flylouisville	UA-4461-RDU-EWR	06:13 PM  Mon 02-Jan-2012	07:07 PM  Mon 02-Jan-2012	D3	07:56 PM  Mon 02-Jan-2012	08:33 PM  Mon 02-Jan-2012	27A
world-flight-tracker	UA-4461-RDU-EWR	2012-01-02 6:13 PM	2012-01-02 7:07 PM		2012-01-02 7:56 PM	2012-01-02 8:33 PM	
flightview	UA-4461-RDU-EWR	6:13 PM, Jan 02	7:19 PM, Jan 02	Term 2 - D3	7:56 PM, Jan 02	8:33 PM, Jan 02	Term A - A27A
panynj	UA-4461-RDU-EWR	6:13 PM, Jan 02	7:19 PM, Jan 02	Term 2 - D3	7:56 PM, Jan 02	8:33 PM, Jan 02	Term A - A27A
gofox	UA-4461-RDU-EWR	6:13 PM, Jan 02	7:19 PM, Jan 02		7:56 PM, Jan 02	8:33 PM, Jan 02	
foxbusiness	UA-4461-RDU-EWR	6:13 PM, Jan 02	7:19 PM, Jan 02	Term 2 - D3	7:56 PM, Jan 02	8:33 PM, Jan 02	Term A - A27A
allegiantair	UA-4461-RDU-EWR	6:13 PM, Jan 02	7:19 PM, Jan 02	Term 2 - D3	7:56 PM, Jan 02	8:33 PM, Jan 02	Term A - A27A
boston	UA-4461-RDU-EWR	6:13 PM, Jan 02	7:19 PM, Jan 02		7:56 PM, Jan 02	8:22 PM, Jan 02	
orbitz	UA-4461-RDU-EWR	6:13pJan 2	7:07pJan 2	 D3	7:56pJan 2	8:33pJan 2	 A27A
weather	UA-4461-RDU-EWR	2012-01-02 06:13 PM			2012-01-02 07:56 PM		
usatoday	UA-4461-RDU-EWR	2012-01-02 06:13 PM			2012-01-02 07:56 PM		
mytripandmore	UA-4461-RDU-EWR	6:13pJan 2	7:07pJan 2	 D3	7:56pJan 2	8:33pJan 2	 A27A
ua	UA-4373-IAH-MOB	Mon, Jan 2 10:15 AM	Mon, Jan 2 11:57 AM	B84M	Mon, Jan 2 11:33 AM	Mon, Jan 2 1:23 PM	7
airtravelcenter	UA-4373-IAH-MOB	1/2/12 10:15 AM (-06:00)			1/2/12 11:33 AM (-06:00)		
myrateplan	UA-4373-IAH-MOB	1/2/12 10:15 AM (-06:00)			1/2/12 11:33 AM (-06:00)		
helloflight	UA-4373-IAH-MOB	1/2/12 10:15 AM (-06:00)			1/2/12 11:33 AM (-06:00)		
flytecomm	UA-4373-IAH-MOB	1/2/12 10:15 AM (-06:00)			1/2/12 11:33 AM (-06:00)		
flights	UA-4373-IAH-MOB		2012-01-02 11:57 AM	84M		2012-01-02 01:23 PM	7
businesstravellogue	UA-4373-IAH-MOB		2012-01-02 11:57 AM	84M		2012-01-02 01:23 PM	7
flylouisville	UA-4373-IAH-MOB		2012-01-02 11:57 AM	84M		2012-01-02 01:23 PM	7
flightview	UA-4373-IAH-MOB		12:21 PMJan 02			1:19 PMJan 02	
panynj	UA-4373-IAH-MOB		12:21 PMJan 02			1:19 PMJan 02	
gofox	UA-4373-IAH-MOB		12:21 PMJan 02			1:19 PMJan 02	
foxbusiness	UA-4373-IAH-MOB		12:21 PMJan 02			1:19 PMJan 02	
allegiantair	UA-4373-IAH-MOB		12:21 PMJan 02			1:19 PMJan 02	
boston	UA-4373-IAH-MOB		12:21 PMJan 02			1:19 PMJan 02	
orbitz	UA-4373-IAH-MOB	10:15aJan 2	11:57aJan 2	 -	11:33aJan 2	1:23pJan 2	 -
weather	UA-4373-IAH-MOB	2012-01-02 10:15 AM			2012-01-02 11:33 AM		
flightarrival	UA-4373-IAH-MOB	2012-01-02 10:15 AM			2012-01-02 11:33 AM		
CO	CO-1511-IAH-TPA	Mon., Jan.02, 2012 1:10 p.m.	Mon., Jan.02, 2012 1:11 p.m.		Mon., Jan.02, 2012 4:14 p.m.	Mon., Jan.02, 2012 4:16 p.m.	
flightexplorer	CO-1511-IAH-TPA		1/2/2012 1:33PM CST			1/2/2012 4:14PM EST	
airtravelcenter	CO-1511-IAH-TPA	1/2/12 1:10 PM (-06:00)			1/2/12 4:14 PM (-05:00)		
myrateplan	CO-1511-IAH-TPA	1/2/12 1:10 PM (-06:00)			1/2/12 4:14 PM (-05:00)		
helloflight	CO-1511-IAH-TPA	1/2/12 1:10 PM (-06:00)			1/2/12 4:14 PM (-05:00)		
flytecomm	CO-1511-IAH-TPA	1/2/12 1:10 PM (-06:00)			1/2/12 4:14 PM (-05:00)		
flightaware	CO-1511-IAH-TPA	2012-01-02 01:10PM CST	2012-01-02 01:34PM CST	 E21 	2012-01-02 03:53PM EST	2012-01-02 04:10PM EST	 A5 
wunderground	CO-1511-IAH-TPA	2012-01-02 01:10PM CST	2012-01-02 01:34PM CST	 E21 	2012-01-02 03:53PM EST	2012-01-02 04:10PM EST	 A5 
flights	CO-1511-IAH-TPA		2012-01-02 01:11 PM	21		2012-01-02 04:16 PM	A5
businesstravellogue	CO-1511-IAH-TPA		2012-01-02 01:11 PM	21		2012-01-02 04:16 PM	A5
flylouisville	CO-1511-IAH-TPA		2012-01-02 01:11 PM	21		2012-01-02 04:16 PM	A5
flightstats	CO-1511-IAH-TPA	2012-01-02 1:10 PM	2012-01-02 1:11 PM		2012-01-02 4:14 PM	2012-01-02 4:16 PM	
quicktrip	CO-1511-IAH-TPA	2012-01-02 1:10 PM	2012-01-02 1:11 PM		2012-01-02 4:14 PM	2012-01-02 4:16 PM	
flightview	CO-1511-IAH-TPA		1:34 PMJan 02			4:16 PMJan 02	
panynj	CO-1511-IAH-TPA		1:34 PMJan 02			4:16 PMJan 02	
gofox	CO-1511-IAH-TPA		1:34 PMJan 02			4:16 PMJan 02	
foxbusiness	CO-1511-IAH-TPA		1:34 PMJan 02			4:16 PMJan 02	
allegiantair	CO-1511-IAH-TPA		1:34 PMJan 02			4:16 PMJan 02	
boston	CO-1511-IAH-TPA		1:34 PMJan 02			4:11 PMJan 02	
orbitz	CO-1511-IAH-TPA	1:10pJan 2	1:11pJan 2	 E21	4:14pJan 2	4:16pJan 2	 A5
weather	CO-1511-IAH-TPA	2012-01-02 01:10 PM			2012-01-02 04:14 PM		
ifly	CO-1511-IAH-TPA	2012-01-02 1:10 PM	2012-01-02 1:11 PM		2012-01-02 4:14 PM	2012-01-02 4:16 PM	
mytripandmore	CO-1511-IAH-TPA	1:10pJan 2	1:11pJan 2	 E21	4:14pJan 2	4:16pJan 2	 A5
ua	UA-552-SFO-DEN	Mon, Jan 2 6:00 AM	Mon, Jan 2 5:59 AM	83	Mon, Jan 2 9:28 AM	Mon, Jan 2 9:45 AM	B42
flightexplorer	UA-552-SFO-DEN		1/2/2012 6:39AM PST			1/2/2012 9:44AM MST	
airtravelcenter	UA-552-SFO-DEN		1/2/12 6:41 AM (-08:00)			1/2/12 9:44 AM (-07:00)	
myrateplan	UA-552-SFO-DEN		1/2/12 6:41 AM (-08:00)			1/2/12 9:44 AM (-07:00)	
helloflight	UA-552-SFO-DEN		1/2/12 6:41 AM (-08:00)			1/2/12 9:44 AM (-07:00)	
flytecomm	UA-552-SFO-DEN		1/2/12 6:41 AM (-08:00)			1/2/12 9:44 AM (-07:00)	
flightaware	UA-552-SFO-DEN	2012-01-02 06:00AM PST	2012-01-02 06:41AM PST	 83 	2012-01-02 10:02AM MST	2012-01-02 09:38AM MST	 B42 
wunderground	UA-552-SFO-DEN	2012-01-02 06:00AM PST	2012-01-02 06:41AM PST	 83 	2012-01-02 10:02AM MST	2012-01-02 09:38AM MST	 B42 
flights	UA-552-SFO-DEN	06:00 AM  Mon 02-Jan-2012	05:59 AM  Mon 02-Jan-2012	83	09:28 AM  Mon 02-Jan-2012	09:45 AM  Mon 02-Jan-2012	B42
businesstravellogue	UA-552-SFO-DEN	06:00 AM  Mon 02-Jan-2012	05:59 AM  Mon 02-Jan-2012	83	09:28 AM  Mon 02-Jan-2012	09:45 AM  Mon 02-Jan-2012	B42
flylouisville	UA-552-SFO-DEN	06:00 AM  Mon 02-Jan-2012	05:59 AM  Mon 02-Jan-2012	83	09:28 AM  Mon 02-Jan-2012	09:45 AM  Mon 02-Jan-2012	B42
world-flight-tracker	UA-552-SFO-DEN	2012-01-02 6:00 AM	2012-01-02 5:59 AM		2012-01-02 9:28 AM	2012-01-02 9:45 AM	
flightview	UA-552-SFO-DEN	6:00 AM, Jan 02	6:41 AM, Jan 02	Terminal 3 - 83	9:28 AM, Jan 02	9:45 AM, Jan 02	B42
panynj	UA-552-SFO-DEN	6:00 AM, Jan 02	6:41 AM, Jan 02	Terminal 3 - 83	9:28 AM, Jan 02	9:45 AM, Jan 02	B42
gofox	UA-552-SFO-DEN	6:00 AM, Jan 02	6:41 AM, Jan 02		9:28 AM, Jan 02	9:45 AM, Jan 02	
foxbusiness	UA-552-SFO-DEN	6:00 AM, Jan 02	6:41 AM, Jan 02	Terminal 3 - 83	9:28 AM, Jan 02	9:45 AM, Jan 02	B42
allegiantair	UA-552-SFO-DEN	6:00 AM, Jan 02	6:41 AM, Jan 02	Terminal 3 - 83	9:28 AM, Jan 02	9:45 AM, Jan 02	B42
boston	UA-552-SFO-DEN	6:00 AM, Jan 02	6:41 AM, Jan 02		9:28 AM, Jan 02	9:44 AM, Jan 02	
orbitz	UA-552-SFO-DEN	6:00aJan 2	5:59aJan 2	 83	9:28aJan 2	9:45aJan 2	 B42
weather	UA-552-SFO-DEN	2012-01-02 06:00 AM			2012-01-02 09:28 AM		
den	UA-552-SFO-DEN				2012-01-02 9:28 AM		B42
aa	AA-1777-JFK-MCO	January 2, 2012               08:50 AM    	January 2, 2012               08:51 AM    	 45	January 2, 2012               11:50 AM    	January 2, 2012               11:56 AM    	 15    
flightexplorer	AA-1777-JFK-MCO		1/2/2012 9:18AM EST			1/2/2012 11:52AM EST	
airtravelcenter	AA-1777-JFK-MCO		1/2/12 9:18 AM (-05:00)			1/2/12 11:52 AM (-05:00)	
myrateplan	AA-1777-JFK-MCO		1/2/12 9:18 AM (-05:00)			1/2/12 11:52 AM (-05:00)	
helloflight	AA-1777-JFK-MCO		1/2/12 9:18 AM (-05:00)			1/2/12 11:52 AM (-05:00)	
flytecomm	AA-1777-JFK-MCO		1/2/12 9:18 AM (-05:00)			1/2/12 11:52 AM (-05:00)	
flightaware	AA-1777-JFK-MCO	2012-01-02 08:50AM EST	2012-01-02 09:18AM EST	 45 	2012-01-02 11:51AM EST	2012-01-02 11:46AM EST	 15 
wunderground	AA-1777-JFK-MCO	2012-01-02 08:50AM EST	2012-01-02 09:18AM EST	 45 	2012-01-02 11:51AM EST	2012-01-02 11:46AM EST	 15 
flights	AA-1777-JFK-MCO	08:50 AM  Mon 02-Jan-2012	08:51 AM  Mon 02-Jan-2012	C45	11:50 AM  Mon 02-Jan-2012	11:56 AM  Mon 02-Jan-2012	15
businesstravellogue	AA-1777-JFK-MCO	08:50 AM  Mon 02-Jan-2012	08:51 AM  Mon 02-Jan-2012	C45	11:50 AM  Mon 02-Jan-2012	11:56 AM  Mon 02-Jan-2012	15
flylouisville	AA-1777-JFK-MCO	08:50 AM  Mon 02-Jan-2012	08:51 AM  Mon 02-Jan-2012	C45	11:50 AM  Mon 02-Jan-2012	11:56 AM  Mon 02-Jan-2012	15
flightstats	AA-1777-JFK-MCO	2012-01-02 8:50 AM	2012-01-02 8:51 AM		2012-01-02 11:50 AM	2012-01-02 11:56 AM	
quicktrip	AA-1777-JFK-MCO	2012-01-02 8:50 AM	2012-01-02 8:51 AM		2012-01-02 11:50 AM	2012-01-02 11:56 AM	
world-flight-tracker	AA-1777-JFK-MCO	2012-01-02 8:50 AM	2012-01-02 8:51 AM		2012-01-02 11:50 AM	2012-01-02 11:56 AM	
flightview	AA-1777-JFK-MCO	8:50 AM, Jan 02	9:18 AM, Jan 02	Terminal 8 - 45	11:50 AM, Jan 02	11:47 AM, Jan 02	15
panynj	AA-1777-JFK-MCO	8:50 AM, Jan 02	9:18 AM, Jan 02	Terminal 8 - 45	11:50 AM, Jan 02	11:47 AM, Jan 02	15
gofox	AA-1777-JFK-MCO	8:50 AM, Jan 02	9:18 AM, Jan 02		11:50 AM, Jan 02	11:47 AM, Jan 02	
foxbusiness	AA-1777-JFK-MCO	8:50 AM, Jan 02	9:18 AM, Jan 02	Terminal 8 - 45	11:50 AM, Jan 02	11:47 AM, Jan 02	15
allegiantair	AA-1777-JFK-MCO	8:50 AM, Jan 02	9:18 AM, Jan 02	Terminal 8 - 45	11:50 AM, Jan 02	11:47 AM, Jan 02	15
boston	AA-1777-JFK-MCO	8:50 AM, Jan 02	9:18 AM, Jan 02		11:50 AM, Jan 02	11:47 AM, Jan 02	
orbitz	AA-1777-JFK-MCO	8:50aJan 2	8:51aJan 2	 45	11:50aJan 2	11:56aJan 2	 15
weather	AA-1777-JFK-MCO	2012-01-02 08:50 AM	2012-01-02 09:18 AM		2012-01-02 11:50 AM	2012-01-02 11:45 AM	
mco	AA-1777-JFK-MCO				2012-01-02 Mon  11:50	2012-01-02 Mon  11:52	15?
flightarrival	AA-1777-JFK-MCO	2012-01-02 08:50 AM	2012-01-02 09:18 AM		2012-01-02 11:50 AM	2012-01-02 11:45 AM	
ua	UA-3622-ORD-GRR	Mon, Jan 2 3:22 PM	Mon, Jan 2 3:38 PM	C8	Mon, Jan 2 5:11 PM	Mon, Jan 2 5:35 PM	--
airtravelcenter	UA-3622-ORD-GRR		1/2/12 3:57 PM (-06:00)			1/2/12 5:30 PM (-05:00)	
myrateplan	UA-3622-ORD-GRR		1/2/12 3:57 PM (-06:00)			1/2/12 5:30 PM (-05:00)	
helloflight	UA-3622-ORD-GRR		1/2/12 3:57 PM (-06:00)			1/2/12 5:30 PM (-05:00)	
flytecomm	UA-3622-ORD-GRR		1/2/12 3:57 PM (-06:00)			1/2/12 5:30 PM (-05:00)	
flights	UA-3622-ORD-GRR		2012-01-02 03:38 PM	C8		2012-01-02 05:35 PM	
businesstravellogue	UA-3622-ORD-GRR		2012-01-02 03:38 PM	C8		2012-01-02 05:35 PM	
flylouisville	UA-3622-ORD-GRR		2012-01-02 03:38 PM	C8		2012-01-02 05:35 PM	
flightstats	UA-3622-ORD-GRR	2012-01-02 3:22 PM	2012-01-02 3:38 PM		2012-01-02 5:11 PM	2012-01-02 5:35 PM	
quicktrip	UA-3622-ORD-GRR	2012-01-02 3:22 PM	2012-01-02 3:38 PM		2012-01-02 5:11 PM	2012-01-02 5:35 PM	
flightview	UA-3622-ORD-GRR		3:57 PMJan 02			5:35 PMJan 02	
panynj	UA-3622-ORD-GRR		3:57 PMJan 02			5:35 PMJan 02	
gofox	UA-3622-ORD-GRR		3:57 PMJan 02			5:35 PMJan 02	
foxbusiness	UA-3622-ORD-GRR		3:57 PMJan 02			5:35 PMJan 02	
allegiantair	UA-3622-ORD-GRR		3:57 PMJan 02			5:35 PMJan 02	
boston	UA-3622-ORD-GRR		3:57 PMJan 02			5:30 PMJan 02	
orbitz	UA-3622-ORD-GRR	3:22pJan 2		 C7	5:11pJan 2		 -
weather	UA-3622-ORD-GRR	2012-01-02 03:22 PM			2012-01-02 05:11 PM		
ord	UA-3622-ORD-GRR	2012-01-02 3:22 PM		C8	2012-01-02 5:11 PM		 
ifly	UA-3622-ORD-GRR	2012-01-02 3:22 PM	2012-01-02 3:38 PM		2012-01-02 5:11 PM	2012-01-02 5:35 PM	
usatoday	UA-3622-ORD-GRR	2012-01-02 3:22 PM	2012-01-02 3:38 PM		2012-01-02 5:11 PM	2012-01-02 5:35 PM	
ua	UA-1005-PDX-EWR	Mon, Jan 2 7:35 AM	Mon, Jan 2 7:35 AM	E4	Mon, Jan 2 3:45 PM	Mon, Jan 2 3:45 PM	C113
airtravelcenter	UA-1005-PDX-EWR	1/2/12 7:35 AM (-08:00)			1/2/12 3:45 PM (-05:00)		
myrateplan	UA-1005-PDX-EWR	1/2/12 7:35 AM (-08:00)			1/2/12 3:45 PM (-05:00)		
helloflight	UA-1005-PDX-EWR	1/2/12 7:35 AM (-08:00)			1/2/12 3:45 PM (-05:00)		
flytecomm	UA-1005-PDX-EWR	1/2/12 7:35 AM (-08:00)			1/2/12 3:45 PM (-05:00)		
flightaware	UA-1005-PDX-EWR	2012-01-02 07:35AM PST	2012-01-02 07:46AM PST	 E4 	2012-01-02 03:35PM EST	2012-01-02 03:29PM EST	 113 
wunderground	UA-1005-PDX-EWR	2012-01-02 07:35AM PST	2012-01-02 07:46AM PST	 E4 	2012-01-02 03:35PM EST	2012-01-02 03:29PM EST	 113 
flights	UA-1005-PDX-EWR	07:35 AM  Mon 02-Jan-2012		E4	03:45 PM  Mon 02-Jan-2012		113
businesstravellogue	UA-1005-PDX-EWR	07:35 AM  Mon 02-Jan-2012		E4	03:45 PM  Mon 02-Jan-2012		113
flylouisville	UA-1005-PDX-EWR	07:35 AM  Mon 02-Jan-2012		E4	03:45 PM  Mon 02-Jan-2012		113
world-flight-tracker	UA-1005-PDX-EWR	2012-01-02 7:35 AM	2012-01-02 7:35 AM		2012-01-02 3:45 PM	2012-01-02 3:42 PM (Estimated)	
flightview	UA-1005-PDX-EWR	7:35 AM, Jan 02	7:46 AM, Jan 02		3:45 PM, Jan 02		
panynj	UA-1005-PDX-EWR	7:35 AM, Jan 02	7:46 AM, Jan 02		3:45 PM, Jan 02		
gofox	UA-1005-PDX-EWR	7:35 AM, Jan 02	7:46 AM, Jan 02		3:45 PM, Jan 02		
foxbusiness	UA-1005-PDX-EWR	7:35 AM, Jan 02	7:46 AM, Jan 02		3:45 PM, Jan 02		
allegiantair	UA-1005-PDX-EWR	7:35 AM, Jan 02	7:46 AM, Jan 02		3:45 PM, Jan 02		
boston	UA-1005-PDX-EWR	7:35 AM, Jan 02	7:46 AM, Jan 02		3:45 PM, Jan 02	3:30 PM, Jan 02&nbsp(Estimated)	
orbitz	UA-1005-PDX-EWR	7:35aJan 2	7:35aJan 2	 E4	3:37pJan 2		 113
weather	UA-1005-PDX-EWR	2012-01-02 07:35 AM	2012-01-02 07:46 AM		2012-01-02 03:45 PM	2012-01-02 03:30 PM	
usatoday	UA-1005-PDX-EWR	7:35 AM, Jan 02	7:46 AM, Jan 02		3:45 PM, Jan 02	3:30 PM, Jan 02&nbsp(Estimated)	
ua	UA-397-JFK-SFO	Mon, Jan 2 8:25 AM	Mon, Jan 2 8:22 AM	7	Mon, Jan 2 12:14 PM	Mon, Jan 2 11:42 AM	83
flightexplorer	UA-397-JFK-SFO		1/2/2012 8:46AM EST			1/2/2012 11:19AM PST	
airtravelcenter	UA-397-JFK-SFO		1/2/12 8:48 AM (-05:00)			1/2/12 11:24 AM (-08:00)	
myrateplan	UA-397-JFK-SFO		1/2/12 8:48 AM (-05:00)			1/2/12 11:24 AM (-08:00)	
helloflight	UA-397-JFK-SFO		1/2/12 8:48 AM (-05:00)			1/2/12 11:24 AM (-08:00)	
flytecomm	UA-397-JFK-SFO		1/2/12 8:48 AM (-05:00)			1/2/12 11:24 AM (-08:00)	
flightaware	UA-397-JFK-SFO	2012-01-02 08:25AM EST	2012-01-02 08:47AM EST	 7 	2012-01-02 11:24AM PST	2012-01-02 11:19AM PST	 83 
wunderground	UA-397-JFK-SFO	2012-01-02 08:25AM EST	2012-01-02 08:47AM EST	 7 	2012-01-02 11:24AM PST	2012-01-02 11:19AM PST	 83 
flights	UA-397-JFK-SFO	08:25 AM  Mon 02-Jan-2012	08:22 AM  Mon 02-Jan-2012	7	12:14 PM  Mon 02-Jan-2012	11:42 AM  Mon 02-Jan-2012	83
businesstravellogue	UA-397-JFK-SFO	08:25 AM  Mon 02-Jan-2012	08:22 AM  Mon 02-Jan-2012	7	12:14 PM  Mon 02-Jan-2012	11:42 AM  Mon 02-Jan-2012	83
flylouisville	UA-397-JFK-SFO	08:25 AM  Mon 02-Jan-2012	08:22 AM  Mon 02-Jan-2012	7	12:14 PM  Mon 02-Jan-2012	11:42 AM  Mon 02-Jan-2012	83
flightstats	UA-397-JFK-SFO	2012-01-02 8:25 AM	2012-01-02 8:22 AM		2012-01-02 12:14 PM	2012-01-02 11:42 AM	
quicktrip	UA-397-JFK-SFO	2012-01-02 8:25 AM	2012-01-02 8:22 AM		2012-01-02 12:14 PM	2012-01-02 11:42 AM	
world-flight-tracker	UA-397-JFK-SFO	2012-01-02 8:25 AM	2012-01-02 8:22 AM		2012-01-02 12:14 PM	2012-01-02 11:42 AM	
flightview	UA-397-JFK-SFO	8:25 AM, Jan 02	8:48 AM, Jan 02	7	12:14 PM, Jan 02	11:42 AM, Jan 02	Terminal 3 - 83
panynj	UA-397-JFK-SFO	8:25 AM, Jan 02	8:48 AM, Jan 02	7	12:14 PM, Jan 02	11:42 AM, Jan 02	Terminal 3 - 83
gofox	UA-397-JFK-SFO	8:25 AM, Jan 02	8:48 AM, Jan 02		12:14 PM, Jan 02	11:42 AM, Jan 02	
