CO	CO-4237-EWR-DTW	Sat., Dec.31, 2011 12:33 p.m.	Sat., Dec.31, 2011 12:29 p.m.		Sat., Dec.31, 2011 2:38 p.m.	Sat., Dec.31, 2011 2:15 p.m.	
flylouisville	CO-1075-IAH-EWR	07:55 AM  Sat 31-Dec-2011	07:54 AM  Sat 31-Dec-2011	20	12:17 PM  Sat 31-Dec-2011	12:15 PM  Sat 31-Dec-2011	110
flightstats	CO-1075-IAH-EWR	2011-12-31 7:55 AM	2011-12-31 7:54 AM		2011-12-31 12:17 PM	2011-12-31 12:15 PM	
quicktrip	CO-1075-IAH-EWR	2011-12-31 7:55 AM	2011-12-31 7:54 AM		2011-12-31 12:17 PM	2011-12-31 12:15 PM	
world-flight-tracker	CO-1075-IAH-EWR	2011-12-31 7:55 AM	2011-12-31 7:54 AM		2011-12-31 12:17 PM	2011-12-31 12:15 PM	
flightview	CO-1075-IAH-EWR	7:55 AM, Dec 31	8:09 AM, Dec 31	Term C - E20	12:17 PM, Dec 31	12:15 PM, Dec 31	Term C - C110
panynj	CO-1075-IAH-EWR	7:55 AM, Dec 31	8:09 AM, Dec 31	Term C - E20	12:17 PM, Dec 31	12:15 PM, Dec 31	Term C - C110
gofox	CO-1075-IAH-EWR	7:55 AM, Dec 31	8:09 AM, Dec 31		12:17 PM, Dec 31	12:15 PM, Dec 31	
foxbusiness	CO-1075-IAH-EWR	7:55 AM, Dec 31	8:09 AM, Dec 31	Term C - E20	12:17 PM, Dec 31	12:15 PM, Dec 31	Term C - C110
allegiantair	CO-1075-IAH-EWR	7:55 AM, Dec 31	8:09 AM, Dec 31	Term C - E20	12:17 PM, Dec 31	12:15 PM, Dec 31	Term C - C110
boston	CO-1075-IAH-EWR	7:55 AM, Dec 31	8:09 AM, Dec 31		12:17 PM, Dec 31	12:07 PM, Dec 31	
travelocity	CO-1075-IAH-EWR	Dec 31 - 7:55am	Dec 31 - 7:54am	E20	Dec 31 - 12:17pm	Dec 31 - 12:15pm	C110
orbitz	CO-1075-IAH-EWR	7:55aDec 31	7:54aDec 31	 E20	12:17pDec 31	12:15pDec 31	 110
weather	CO-1075-IAH-EWR	2011-12-31 07:55 AM			2011-12-31 12:17 PM		
ifly	CO-1075-IAH-EWR	2011-12-31 7:55 AM	2011-12-31 7:54 AM		2011-12-31 12:17 PM	2011-12-31 12:15 PM	
flightarrival	CO-1075-IAH-EWR	2011-12-31 7:55 AM	2011-12-31 7:54 AM		2011-12-31 12:17 PM	2011-12-31 12:15 PM	
ua	UA-279-MSY-DEN	Sat, Dec 31 7:10 AM	Sat, Dec 31 7:10 AM	C3	Sat, Dec 31 9:13 AM	Sat, Dec 31 9:28 AM	B55
airtravelcenter	UA-279-MSY-DEN		12/31/11 7:24 AM (-06:00)			12/31/11 8:48 AM (-07:00)	
myrateplan	UA-279-MSY-DEN		12/31/11 7:24 AM (-06:00)			12/31/11 8:48 AM (-07:00)	
helloflight	UA-279-MSY-DEN		12/31/11 7:24 AM (-06:00)			12/31/11 8:48 AM (-07:00)	
flytecomm	UA-279-MSY-DEN		12/31/11 7:24 AM (-06:00)			12/31/11 8:48 AM (-07:00)	
flightaware	UA-279-MSY-DEN	2011-12-31 07:25AM CST	2011-12-31 07:25AM CST	 C3 	2011-12-31 09:26AM MST	2011-12-31 09:19AM MST	 B55 
wunderground	UA-279-MSY-DEN	2011-12-31 07:25AM CST	2011-12-31 07:25AM CST	 C3 	2011-12-31 09:26AM MST	2011-12-31 09:19AM MST	 B55 
flights	UA-279-MSY-DEN	07:10 AM  Sat 31-Dec-2011	07:10 AM  Sat 31-Dec-2011	C3	09:13 AM  Sat 31-Dec-2011	09:28 AM  Sat 31-Dec-2011	B55
businesstravellogue	UA-279-MSY-DEN	07:10 AM  Sat 31-Dec-2011	07:10 AM  Sat 31-Dec-2011	C3	09:13 AM  Sat 31-Dec-2011	09:28 AM  Sat 31-Dec-2011	B55
flylouisville	UA-279-MSY-DEN	07:10 AM  Sat 31-Dec-2011	07:10 AM  Sat 31-Dec-2011	C3	09:13 AM  Sat 31-Dec-2011	09:28 AM  Sat 31-Dec-2011	B55
world-flight-tracker	UA-279-MSY-DEN	2011-12-31 7:10 AM	2011-12-31 7:10 AM		2011-12-31 9:13 AM	2011-12-31 9:28 AM	
flightview	UA-279-MSY-DEN	7:10 AM, Dec 31	7:25 AM, Dec 31	C3	9:13 AM, Dec 31	9:28 AM, Dec 31	B55
panynj	UA-279-MSY-DEN	7:10 AM, Dec 31	7:25 AM, Dec 31	C3	9:13 AM, Dec 31	9:28 AM, Dec 31	B55
gofox	UA-279-MSY-DEN	7:10 AM, Dec 31	7:25 AM, Dec 31		9:13 AM, Dec 31	9:28 AM, Dec 31	
foxbusiness	UA-279-MSY-DEN	7:10 AM, Dec 31	7:25 AM, Dec 31	C3	9:13 AM, Dec 31	9:28 AM, Dec 31	B55
allegiantair	UA-279-MSY-DEN	7:10 AM, Dec 31	7:25 AM, Dec 31	C3	9:13 AM, Dec 31	9:28 AM, Dec 31	B55
boston	UA-279-MSY-DEN	7:10 AM, Dec 31	7:25 AM, Dec 31		9:13 AM, Dec 31	9:18 AM, Dec 31	
travelocity	UA-279-MSY-DEN	Dec 31 - Not Available	Dec 31 - 7:25am	C3	Dec 31 - Not Available	Dec 31 - 9:28am	B55
orbitz	UA-279-MSY-DEN	7:10aDec 31	7:10aDec 31	 C3	9:13aDec 31	9:28aDec 31	 B55
weather	UA-279-MSY-DEN	2011-12-31 07:10 AM	2011-12-31 07:25 AM		2011-12-31 09:13 AM	2011-12-31 08:48 AM	
den	UA-279-MSY-DEN				2011-12-31 9:13 AM		B55
usatoday	UA-279-MSY-DEN	2011-12-31 07:10 AM	2011-12-31 07:25 AM		2011-12-31 09:13 AM	2011-12-31 08:48 AM	
mytripandmore	UA-279-MSY-DEN	7:10aDec 31	7:10aDec 31	 C3	9:13aDec 31	9:28aDec 31	 B55
flightarrival	UA-279-MSY-DEN	7:10 AM, Dec 31	7:25 AM, Dec 31		9:13 AM, Dec 31	9:18 AM, Dec 31	
aa	AA-18-SFO-JFK	December 31, 2011               11:00 PM    	December 31, 2011     	 56A	January 1, 2011               07:25 AM    	January 1, 2011     	 3    
flightexplorer	AA-18-SFO-JFK		12/30/2011 11:18PM PST			12/31/2011 6:53AM EST	
flightexplorer	AA-18-SFO-JFK	12/31/2011 11:00PM PST			1/1/2012 7:25AM EST		
airtravelcenter	AA-18-SFO-JFK		12/31/11 11:24 PM (-08:00)			1/1/12 7:15 AM (-05:00)	
myrateplan	AA-18-SFO-JFK		12/31/11 11:24 PM (-08:00)			1/1/12 7:15 AM (-05:00)	
helloflight	AA-18-SFO-JFK		12/31/11 11:24 PM (-08:00)			1/1/12 7:15 AM (-05:00)	
flytecomm	AA-18-SFO-JFK		12/31/11 11:24 PM (-08:00)			1/1/12 7:15 AM (-05:00)	
flightaware	AA-18-SFO-JFK	2011-12-31 11:00PM PST	2011-12-31 11:18PM PST	 58B 	2011-12-31 07:02AM EST	2011-12-31 07:10AM EST	 35 
wunderground	AA-18-SFO-JFK	2011-12-31 11:00PM PST	2011-12-31 11:18PM PST	 58B 	2011-12-31 07:02AM EST	2011-12-31 07:10AM EST	 35 
flights	AA-18-SFO-JFK	11:00 PM  Sat 31-Dec-2011			07:25 AM  Sun 01-Jan-2012		
businesstravellogue	AA-18-SFO-JFK	11:00 PM  Sat 31-Dec-2011			07:25 AM  Sun 01-Jan-2012		
flylouisville	AA-18-SFO-JFK	11:00 PM  Sat 31-Dec-2011			07:25 AM  Sun 01-Jan-2012		
flightstats	AA-18-SFO-JFK	2011-12-31 11:00 PM	2011-12-31 11:24 PM (Estimated runway)		2011-12-31 7:25 AM	2011-12-31 7:15 AM (Estimated runway)	
quicktrip	AA-18-SFO-JFK	2011-12-31 11:00 PM	2011-12-31 11:24 PM (Estimated runway)		2011-12-31 7:25 AM	2011-12-31 7:15 AM (Estimated runway)	
world-flight-tracker	AA-18-SFO-JFK	2011-12-31 11:00 PM	2011-12-31 11:24 PM (Estimated runway)		2011-12-31 7:25 AM	2011-12-31 7:15 AM (Estimated runway)	
flightview	AA-18-SFO-JFK	11:00 PM, Dec 31		Terminal 2 - 56A	7:25 AM, Jan 01		Terminal 8 - 3
panynj	AA-18-SFO-JFK	11:00 PM, Dec 31		Terminal 2 - 56A	7:25 AM, Jan 01		Terminal 8 - 3
gofox	AA-18-SFO-JFK	11:00 PM, Dec 31			7:25 AM, Jan 01		
foxbusiness	AA-18-SFO-JFK	11:00 PM, Dec 31		Terminal 2 - 56A	7:25 AM, Jan 01		Terminal 8 - 3
allegiantair	AA-18-SFO-JFK	11:00 PM, Dec 31		Terminal 2 - 56A	7:25 AM, Jan 01		Terminal 8 - 3
travelocity	AA-18-SFO-JFK	Dec 31 - 11:00pm	Dec 31 - Not Available	56A	Jan 01 - 7:25am	Jan 01 - Not Available	3/8
orbitz	AA-18-SFO-JFK	11:00pDec 31		 56A	7:25aJan 1		 3
weather	AA-18-SFO-JFK	2011-12-31 11:00 PM	2011-12-31 11:18 PM		2011-12-31 07:25 AM	2011-12-31 07:08 AM	
mytripandmore	AA-18-SFO-JFK	11:00pDec 31		 56A	7:25aJan 1		 3
flightwise	AA-18-SFO-JFK	2011-12-31 11:00PM PST	2011-12-31 11:18PM PST	 58B 	2011-12-31 07:02AM EST	2011-12-31 07:10AM EST	 35 
ua	UA-3500-DCA-ORD	Sat, Dec 31 6:00 AM	Sat, Dec 31 5:55 AM	31	Sat, Dec 31 7:15 AM	Sat, Dec 31 6:46 AM	C6
airtravelcenter	UA-3500-DCA-ORD		12/31/11 6:05 AM (-05:00)			12/31/11 6:44 AM (-06:00)	
myrateplan	UA-3500-DCA-ORD		12/31/11 6:05 AM (-05:00)			12/31/11 6:44 AM (-06:00)	
helloflight	UA-3500-DCA-ORD		12/31/11 6:05 AM (-05:00)			12/31/11 6:44 AM (-06:00)	
flytecomm	UA-3500-DCA-ORD		12/31/11 6:05 AM (-05:00)			12/31/11 6:44 AM (-06:00)	
flightaware	UA-3500-DCA-ORD	2011-12-31 06:00AM EST	2011-12-31 06:05AM EST	 31 	2011-12-31 07:08AM CST	2011-12-31 06:42AM CST	 C6 
wunderground	UA-3500-DCA-ORD	2011-12-31 06:00AM EST	2011-12-31 06:05AM EST	 31 	2011-12-31 07:08AM CST	2011-12-31 06:42AM CST	 C6 
flights	UA-3500-DCA-ORD	06:00 AM  Sat 31-Dec-2011	05:55 AM  Sat 31-Dec-2011	31	07:15 AM  Sat 31-Dec-2011	06:46 AM  Sat 31-Dec-2011	C6
businesstravellogue	UA-3500-DCA-ORD	06:00 AM  Sat 31-Dec-2011	05:55 AM  Sat 31-Dec-2011	31	07:15 AM  Sat 31-Dec-2011	06:46 AM  Sat 31-Dec-2011	C6
flylouisville	UA-3500-DCA-ORD	06:00 AM  Sat 31-Dec-2011	05:55 AM  Sat 31-Dec-2011	31	07:15 AM  Sat 31-Dec-2011	06:46 AM  Sat 31-Dec-2011	C6
world-flight-tracker	UA-3500-DCA-ORD	2011-12-31 6:00 AM	2011-12-31 5:55 AM		2011-12-31 7:15 AM	2011-12-31 6:46 AM	
flightview	UA-3500-DCA-ORD	6:00 AM, Dec 31	6:05 AM, Dec 31	31	7:15 AM, Dec 31	6:46 AM, Dec 31	C6
panynj	UA-3500-DCA-ORD	6:00 AM, Dec 31	6:05 AM, Dec 31	31	7:15 AM, Dec 31	6:46 AM, Dec 31	C6
gofox	UA-3500-DCA-ORD	6:00 AM, Dec 31	6:05 AM, Dec 31		7:15 AM, Dec 31	6:46 AM, Dec 31	
foxbusiness	UA-3500-DCA-ORD	6:00 AM, Dec 31	6:05 AM, Dec 31	31	7:15 AM, Dec 31	6:46 AM, Dec 31	C6
allegiantair	UA-3500-DCA-ORD	6:00 AM, Dec 31	6:05 AM, Dec 31	31	7:15 AM, Dec 31	6:46 AM, Dec 31	C6
boston	UA-3500-DCA-ORD	6:00 AM, Dec 31	6:05 AM, Dec 31		7:15 AM, Dec 31	6:46 AM, Dec 31	
travelocity	UA-3500-DCA-ORD	Dec 31 - Not Available	Dec 31 - 6:03am	31	Dec 31 - Not Available	Dec 31 - 6:46am	C6
orbitz	UA-3500-DCA-ORD	6:00aDec 31	5:55aDec 31	 31	7:15aDec 31	6:46aDec 31	 C6
weather	UA-3500-DCA-ORD	2011-12-31 06:00 AM			2011-12-31 07:15 AM		
ord	UA-3500-DCA-ORD	2011-12-31 6:00 AM		31	2011-12-31 7:15 AM		C6
mytripandmore	UA-3500-DCA-ORD	Dec 31 - Not Available	Dec 31 - 6:03am	31	Dec 31 - Not Available	Dec 31 - 6:46am	C6
CO	CO-1006-IAH-ORD	Sat., Dec.31, 2011 7:20 a.m.	Sat., Dec.31, 2011 7:20 a.m.		Sat., Dec.31, 2011 10:00 a.m.	Sat., Dec.31, 2011 9:37 a.m.	
flightexplorer	CO-1006-IAH-ORD		12/31/2011 7:33AM CST			12/31/2011 9:34AM CST	
airtravelcenter	CO-1006-IAH-ORD	12/31/11 7:20 AM (-06:00)			12/31/11 10:00 AM (-06:00)		
myrateplan	CO-1006-IAH-ORD	12/31/11 7:20 AM (-06:00)			12/31/11 10:00 AM (-06:00)		
helloflight	CO-1006-IAH-ORD	12/31/11 7:20 AM (-06:00)			12/31/11 10:00 AM (-06:00)		
flytecomm	CO-1006-IAH-ORD	12/31/11 7:20 AM (-06:00)			12/31/11 10:00 AM (-06:00)		
flightaware	CO-1006-IAH-ORD	2011-12-31 07:20AM CST	2011-12-31 07:34AM CST	 24 	2011-12-31 09:50AM CST	2011-12-31 09:31AM CST	 B2 
wunderground	CO-1006-IAH-ORD	2011-12-31 07:20AM CST	2011-12-31 07:34AM CST	 24 	2011-12-31 09:50AM CST	2011-12-31 09:31AM CST	 B2 
flights	CO-1006-IAH-ORD		2011-12-31 07:20 AM	24		2011-12-31 09:37 AM	B2
businesstravellogue	CO-1006-IAH-ORD		2011-12-31 07:20 AM	24		2011-12-31 09:37 AM	B2
flylouisville	CO-1006-IAH-ORD		2011-12-31 07:20 AM	24		2011-12-31 09:37 AM	B2
flightstats	CO-1006-IAH-ORD	2011-12-31 7:20 AM	2011-12-31 7:20 AM		2011-12-31 10:00 AM	2011-12-31 9:37 AM	
quicktrip	CO-1006-IAH-ORD	2011-12-31 7:20 AM	2011-12-31 7:20 AM		2011-12-31 10:00 AM	2011-12-31 9:37 AM	
flightview	CO-1006-IAH-ORD		7:34 AMDec 31			9:37 AMDec 31	
panynj	CO-1006-IAH-ORD		7:34 AMDec 31			9:37 AMDec 31	
gofox	CO-1006-IAH-ORD		7:34 AMDec 31			9:37 AMDec 31	
foxbusiness	CO-1006-IAH-ORD		7:34 AMDec 31			9:37 AMDec 31	
allegiantair	CO-1006-IAH-ORD		7:34 AMDec 31			9:37 AMDec 31	
boston	CO-1006-IAH-ORD		7:34 AMDec 31			9:36 AMDec 31	
orbitz	CO-1006-IAH-ORD	7:20aDec 31	7:20aDec 31	 24	10:00aDec 31	9:37aDec 31	 B2
ord	CO-1006-IAH-ORD	2011-12-31 7:20 AM		24	2011-12-31 10:00 AM		B2
ifly	CO-1006-IAH-ORD	2011-12-31 7:20 AM	2011-12-31 7:20 AM		2011-12-31 10:00 AM	2011-12-31 9:37 AM	
usatoday	CO-1006-IAH-ORD		7:34 AMDec 31			9:36 AMDec 31	
mytripandmore	CO-1006-IAH-ORD	7:20aDec 31	7:20aDec 31	 24	10:00aDec 31	9:37aDec 31	 B2
ua	UA-519-IAD-SEA	Sat, Dec 31 4:10 PM	Sat, Dec 31 4:14 PM	C17	Sat, Dec 31 7:05 PM	Sat, Dec 31 6:57 PM	N15
flightexplorer	UA-519-IAD-SEA		12/31/2011 4:24PM EST			12/31/2011 6:57PM PST	
airtravelcenter	UA-519-IAD-SEA		12/31/11 4:26 PM (-05:00)			12/31/11 6:57 PM (-08:00)	
myrateplan	UA-519-IAD-SEA		12/31/11 4:26 PM (-05:00)			12/31/11 6:57 PM (-08:00)	
helloflight	UA-519-IAD-SEA		12/31/11 4:26 PM (-05:00)			12/31/11 6:57 PM (-08:00)	
flytecomm	UA-519-IAD-SEA		12/31/11 4:26 PM (-05:00)			12/31/11 6:57 PM (-08:00)	
flightaware	UA-519-IAD-SEA	2011-12-31 04:10PM EST	2011-12-31 04:26PM EST	 C17 	2011-12-31 06:49PM PST	2011-12-31 06:54PM PST	 N15 
wunderground	UA-519-IAD-SEA	2011-12-31 04:10PM EST	2011-12-31 04:26PM EST	 C17 	2011-12-31 06:49PM PST	2011-12-31 06:54PM PST	 N15 
flights	UA-519-IAD-SEA	04:10 PM  Sat 31-Dec-2011	04:14 PM  Sat 31-Dec-2011	C17	07:05 PM  Sat 31-Dec-2011	06:57 PM  Sat 31-Dec-2011	15
businesstravellogue	UA-519-IAD-SEA	04:10 PM  Sat 31-Dec-2011	04:14 PM  Sat 31-Dec-2011	C17	07:05 PM  Sat 31-Dec-2011	06:57 PM  Sat 31-Dec-2011	15
flylouisville	UA-519-IAD-SEA	04:10 PM  Sat 31-Dec-2011	04:14 PM  Sat 31-Dec-2011	C17	07:05 PM  Sat 31-Dec-2011	06:57 PM  Sat 31-Dec-2011	15
world-flight-tracker	UA-519-IAD-SEA	2011-12-31 4:10 PM	2011-12-31 4:14 PM		2011-12-31 7:05 PM	2011-12-31 6:57 PM	
flightview	UA-519-IAD-SEA	4:10 PM, Dec 31	4:26 PM, Dec 31	C17	7:05 PM, Dec 31	6:57 PM, Dec 31	N15
panynj	UA-519-IAD-SEA	4:10 PM, Dec 31	4:26 PM, Dec 31	C17	7:05 PM, Dec 31	6:57 PM, Dec 31	N15
gofox	UA-519-IAD-SEA	4:10 PM, Dec 31	4:26 PM, Dec 31		7:05 PM, Dec 31	6:57 PM, Dec 31	
foxbusiness	UA-519-IAD-SEA	4:10 PM, Dec 31	4:26 PM, Dec 31	C17	7:05 PM, Dec 31	6:57 PM, Dec 31	N15
allegiantair	UA-519-IAD-SEA	4:10 PM, Dec 31	4:26 PM, Dec 31	C17	7:05 PM, Dec 31	6:57 PM, Dec 31	N15
boston	UA-519-IAD-SEA	4:10 PM, Dec 31	4:26 PM, Dec 31		7:05 PM, Dec 31	6:55 PM, Dec 31	
travelocity	UA-519-IAD-SEA	Dec 31 - Not Available	Dec 31 - 4:24pm	C17	Dec 31 - Not Available	Dec 31 - 6:57pm	N15
orbitz	UA-519-IAD-SEA	4:10pDec 31	4:14pDec 31	 C17	7:05pDec 31	6:57pDec 31	 N15
weather	UA-519-IAD-SEA	2011-12-31 04:10 PM			2011-12-31 07:05 PM		
iad	UA-519-IAD-SEA	2011-12-31 16:10 	2011-12-31 16:14 				
mytripandmore	UA-519-IAD-SEA	4:10pDec 31	4:14pDec 31	 C17	7:05pDec 31	6:57pDec 31	 N15
flightarrival	UA-519-IAD-SEA	2011-12-31 04:10 PM			2011-12-31 07:05 PM		
ua	UA-872-PVR-DEN	Sat, Dec 31 1:42 PM	Sat, Dec 31 1:32 PM	HOLD	Sat, Dec 31 3:53 PM	Sat, Dec 31 3:53 PM	A45
airtravelcenter	UA-872-PVR-DEN		12/31/11 1:54 PM (-06:00)			12/31/11 3:57 PM (-07:00)	
myrateplan	UA-872-PVR-DEN		12/31/11 1:54 PM (-06:00)			12/31/11 3:57 PM (-07:00)	
helloflight	UA-872-PVR-DEN		12/31/11 1:54 PM (-06:00)			12/31/11 3:57 PM (-07:00)	
flytecomm	UA-872-PVR-DEN		12/31/11 1:54 PM (-06:00)			12/31/11 3:57 PM (-07:00)	
flights	UA-872-PVR-DEN		2011-12-31 01:32 PM	HOLD		2011-12-31 03:53 PM	A45
businesstravellogue	UA-872-PVR-DEN		2011-12-31 01:32 PM	HOLD		2011-12-31 03:53 PM	A45
flylouisville	UA-872-PVR-DEN		2011-12-31 01:32 PM	HOLD		2011-12-31 03:53 PM	A45
flightview	UA-872-PVR-DEN		1:32 PMDec 31			3:50 PMDec 31	
panynj	UA-872-PVR-DEN		1:32 PMDec 31			3:50 PMDec 31	
gofox	UA-872-PVR-DEN		1:32 PMDec 31			3:50 PMDec 31	
foxbusiness	UA-872-PVR-DEN		1:32 PMDec 31			3:50 PMDec 31	
allegiantair	UA-872-PVR-DEN		1:32 PMDec 31			3:50 PMDec 31	
boston	UA-872-PVR-DEN	1:54 PMDec 31			3:57 PMDec 31		
travelocity	UA-872-PVR-DEN	Dec 31 - Not Available	Dec 31 - 1:41pm	CHK	Dec 31 - Not Available	Dec 31 - 3:50pm*	A45
orbitz	UA-872-PVR-DEN	1:42pDec 31	1:32pDec 31	 -	3:47pDec 31		 A45
weather	UA-872-PVR-DEN	2011-12-31 01:42 PM			2011-12-31 03:53 PM		
usatoday	UA-872-PVR-DEN	2011-12-31 01:42 PM			2011-12-31 03:53 PM		
mytripandmore	UA-872-PVR-DEN	1:42pDec 31	1:32pDec 31	 -	3:47pDec 31		 A45
flightarrival	UA-872-PVR-DEN	2011-12-31 01:42 PM			2011-12-31 03:53 PM		
ua	UA-5812-ORD-BHM	Sat, Dec 31 7:40 PM	Sat, Dec 31 7:40 PM            On Time	F11A	Sat, Dec 31 9:33 PM	Sat, Dec 31 9:33 PM	--
airtravelcenter	UA-5812-ORD-BHM	12/31/11 7:40 PM (-06:00)			12/31/11 9:33 PM (-06:00)		
myrateplan	UA-5812-ORD-BHM	12/31/11 7:40 PM (-06:00)			12/31/11 9:33 PM (-06:00)		
helloflight	UA-5812-ORD-BHM	12/31/11 7:40 PM (-06:00)			12/31/11 9:33 PM (-06:00)		
flytecomm	UA-5812-ORD-BHM	12/31/11 7:40 PM (-06:00)			12/31/11 9:33 PM (-06:00)		
flights	UA-5812-ORD-BHM	2011-12-31 07:40 PM		F11A	2011-12-31 09:33 PM		
businesstravellogue	UA-5812-ORD-BHM	2011-12-31 07:40 PM		F11A	2011-12-31 09:33 PM		
flylouisville	UA-5812-ORD-BHM	2011-12-31 07:40 PM		F11A	2011-12-31 09:33 PM		
flightview	UA-5812-ORD-BHM	7:40 PMDec 31			9:33 PMDec 31		
panynj	UA-5812-ORD-BHM	7:40 PMDec 31			9:33 PMDec 31		
gofox	UA-5812-ORD-BHM	7:40 PMDec 31			9:33 PMDec 31		
foxbusiness	UA-5812-ORD-BHM	7:40 PMDec 31			9:33 PMDec 31		
allegiantair	UA-5812-ORD-BHM	7:40 PMDec 31			9:33 PMDec 31		
boston	UA-5812-ORD-BHM	7:40 PMDec 31			9:33 PMDec 31		
orbitz	UA-5812-ORD-BHM	7:40pDec 31		 F11A	9:33pDec 31		 -
mytripandmore	UA-5812-ORD-BHM	7:40pDec 31		 F11A	9:33pDec 31		 -
ua	UA-4221-EWR-CVG	Sat, Dec 31 10:00 AM	Sat, Dec 31 9:54 AM	A27A	Sat, Dec 31 12:21 PM	Sat, Dec 31 11:48 AM	--
airtravelcenter	UA-4221-EWR-CVG	12/31/11 10:00 AM (-05:00)			12/31/11 12:21 PM (-05:00)		
myrateplan	UA-4221-EWR-CVG	12/31/11 10:00 AM (-05:00)			12/31/11 12:21 PM (-05:00)		
helloflight	UA-4221-EWR-CVG	12/31/11 10:00 AM (-05:00)			12/31/11 12:21 PM (-05:00)		
flytecomm	UA-4221-EWR-CVG	12/31/11 10:00 AM (-05:00)			12/31/11 12:21 PM (-05:00)		
flights	UA-4221-EWR-CVG	10:00 AM  Sat 31-Dec-2011	09:54 AM  Sat 31-Dec-2011		12:21 PM  Sat 31-Dec-2011	11:48 AM  Sat 31-Dec-2011	
businesstravellogue	UA-4221-EWR-CVG	10:00 AM  Sat 31-Dec-2011	09:54 AM  Sat 31-Dec-2011		12:21 PM  Sat 31-Dec-2011	11:48 AM  Sat 31-Dec-2011	
flylouisville	UA-4221-EWR-CVG	10:00 AM  Sat 31-Dec-2011	09:54 AM  Sat 31-Dec-2011		12:21 PM  Sat 31-Dec-2011	11:48 AM  Sat 31-Dec-2011	
world-flight-tracker	UA-4221-EWR-CVG	2011-12-31 10:00 AM	2011-12-31 9:54 AM		2011-12-31 12:21 PM	2011-12-31 11:48 AM	
flightview	UA-4221-EWR-CVG	10:00 AM, Dec 31	10:07 AM, Dec 31	Term A - A27A	12:21 PM, Dec 31	11:48 AM, Dec 31	Term 2
panynj	UA-4221-EWR-CVG	10:00 AM, Dec 31	10:07 AM, Dec 31	Term A - A27A	12:21 PM, Dec 31	11:48 AM, Dec 31	Term 2
gofox	UA-4221-EWR-CVG	10:00 AM, Dec 31	10:07 AM, Dec 31		12:21 PM, Dec 31	11:48 AM, Dec 31	
foxbusiness	UA-4221-EWR-CVG	10:00 AM, Dec 31	10:07 AM, Dec 31	Term A - A27A	12:21 PM, Dec 31	11:48 AM, Dec 31	Term 2
allegiantair	UA-4221-EWR-CVG	10:00 AM, Dec 31	10:07 AM, Dec 31	Term A - A27A	12:21 PM, Dec 31	11:48 AM, Dec 31	Term 2
boston	UA-4221-EWR-CVG	10:00 AM, Dec 31	10:07 AM, Dec 31		12:21 PM, Dec 31	11:43 AM, Dec 31	
travelocity	UA-4221-EWR-CVG	Dec 31 - 10:00am	Dec 31 - Contact Airline	Not provided by airline	Dec 31 - 12:21pm	Dec 31 - Contact Airline	Not provided by airline
orbitz	UA-4221-EWR-CVG	10:00aDec 31	9:54aDec 31	 -	12:21pDec 31	11:48aDec 31	 -
weather	UA-4221-EWR-CVG	2011-12-31 10:00 AM			2011-12-31 12:21 PM		
mytripandmore	UA-4221-EWR-CVG	10:00aDec 31	9:54aDec 31	 -	12:21pDec 31	11:48aDec 31	 -
flightarrival	UA-4221-EWR-CVG	2011-12-31 10:00 AM			2011-12-31 12:21 PM		
ua	UA-3540-YEG-ORD	Sat, Dec 31 1:58 PM	Sat, Dec 31 1:52 PM	--	Sat, Dec 31 6:38 PM	Sat, Dec 31 6:03 PM	B18
airtravelcenter	UA-3540-YEG-ORD		12/31/11 2:02 PM (-07:00)			12/31/11 6:00 PM (-06:00)	
myrateplan	UA-3540-YEG-ORD		12/31/11 2:02 PM (-07:00)			12/31/11 6:00 PM (-06:00)	
helloflight	UA-3540-YEG-ORD		12/31/11 2:02 PM (-07:00)			12/31/11 6:00 PM (-06:00)	
flytecomm	UA-3540-YEG-ORD		12/31/11 2:02 PM (-07:00)			12/31/11 6:00 PM (-06:00)	
flights	UA-3540-YEG-ORD	01:58 PM  Sat 31-Dec-2011	01:52 PM  Sat 31-Dec-2011		06:38 PM  Sat 31-Dec-2011	06:03 PM  Sat 31-Dec-2011	
businesstravellogue	UA-3540-YEG-ORD	01:58 PM  Sat 31-Dec-2011	01:52 PM  Sat 31-Dec-2011		06:38 PM  Sat 31-Dec-2011	06:03 PM  Sat 31-Dec-2011	
flylouisville	UA-3540-YEG-ORD	01:58 PM  Sat 31-Dec-2011	01:52 PM  Sat 31-Dec-2011		06:38 PM  Sat 31-Dec-2011	06:03 PM  Sat 31-Dec-2011	
world-flight-tracker	UA-3540-YEG-ORD	2011-12-31 1:58 PM	2011-12-31 1:52 PM		2011-12-31 6:38 PM	2011-12-31 6:03 PM	
flightview	UA-3540-YEG-ORD	1:58 PM, Dec 31	2:02 PM, Dec 31		6:38 PM, Dec 31	6:03 PM, Dec 31	
panynj	UA-3540-YEG-ORD	1:58 PM, Dec 31	2:02 PM, Dec 31		6:38 PM, Dec 31	6:03 PM, Dec 31	
gofox	UA-3540-YEG-ORD	1:58 PM, Dec 31	2:02 PM, Dec 31		6:38 PM, Dec 31	6:03 PM, Dec 31	
foxbusiness	UA-3540-YEG-ORD	1:58 PM, Dec 31	2:02 PM, Dec 31		6:38 PM, Dec 31	6:03 PM, Dec 31	
allegiantair	UA-3540-YEG-ORD	1:58 PM, Dec 31	2:02 PM, Dec 31		6:38 PM, Dec 31	6:03 PM, Dec 31	
