CO	CO-4237-EWR-DTW	Fri., Dec.16, 2011 12:17 p.m.	Fri., Dec.16, 2011 12:11 p.m.		Fri., Dec.16, 2011 2:24 p.m.	Fri., Dec.16, 2011 2:17 p.m.	
flights	CO-1703-LAX-EWR	08:35 AM  Fri 16-Dec-2011	08:33 AM  Fri 16-Dec-2011	60	04:57 PM  Fri 16-Dec-2011	04:48 PM  Fri 16-Dec-2011	75
businesstravellogue	CO-1703-LAX-EWR	08:35 AM  Fri 16-Dec-2011	08:33 AM  Fri 16-Dec-2011	60	04:57 PM  Fri 16-Dec-2011	04:48 PM  Fri 16-Dec-2011	75
flylouisville	CO-1703-LAX-EWR	08:35 AM  Fri 16-Dec-2011	08:33 AM  Fri 16-Dec-2011	60	04:57 PM  Fri 16-Dec-2011	04:48 PM  Fri 16-Dec-2011	75
flightstats	CO-1703-LAX-EWR	2011-12-16 8:35 AM	2011-12-16 8:33 AM		2011-12-16 4:57 PM	2011-12-16 4:48 PM	
quicktrip	CO-1703-LAX-EWR	2011-12-16 8:35 AM	2011-12-16 8:33 AM		2011-12-16 4:57 PM	2011-12-16 4:48 PM	
world-flight-tracker	CO-1703-LAX-EWR	2011-12-16 8:35 AM	2011-12-16 8:33 AM		2011-12-16 4:57 PM	2011-12-16 4:48 PM	
flightview	CO-1703-LAX-EWR	8:35 AM, Dec 16	8:50 AM, Dec 16	Term 6 - 60	4:57 PM, Dec 16	4:48 PM, Dec 16	Term C - C75
panynj	CO-1703-LAX-EWR	8:35 AM, Dec 16	8:50 AM, Dec 16	Term 6 - 60	4:57 PM, Dec 16	4:48 PM, Dec 16	Term C - C75
gofox	CO-1703-LAX-EWR	8:35 AM, Dec 16	8:50 AM, Dec 16		4:57 PM, Dec 16	4:48 PM, Dec 16	
foxbusiness	CO-1703-LAX-EWR	8:35 AM, Dec 16	8:50 AM, Dec 16	Term 6 - 60	4:57 PM, Dec 16	4:48 PM, Dec 16	Term C - C75
allegiantair	CO-1703-LAX-EWR	8:35 AM, Dec 16	8:50 AM, Dec 16	Term 6 - 60	4:57 PM, Dec 16	4:48 PM, Dec 16	Term C - C75
boston	CO-1703-LAX-EWR	8:35 AM, Dec 16	8:50 AM, Dec 16		4:57 PM, Dec 16	4:38 PM, Dec 16	
travelocity	CO-1703-LAX-EWR	Dec 16 - 8:35am	Dec 16 - 8:33am	60	Dec 16 - 4:57pm	Dec 16 - 4:48pm	C75
orbitz	CO-1703-LAX-EWR	8:35aDec 16	8:33aDec 16	 60	4:57pDec 16	4:48pDec 16	 C75
weather	CO-1703-LAX-EWR	2011-12-16 08:35 AM			2011-12-16 04:57 PM		
ifly	CO-1703-LAX-EWR	2011-12-16 8:35 AM	2011-12-16 8:33 AM		2011-12-16 4:57 PM	2011-12-16 4:48 PM	
mytripandmore	CO-1703-LAX-EWR	Dec 16 - 8:35am	Dec 16 - 8:33am	60	Dec 16 - 4:57pm	Dec 16 - 4:48pm	C75
flightwise	CO-1703-LAX-EWR	2011-12-16 08:35AM PST	2011-12-16 08:50AM PST	 60 	2011-12-16 04:33PM EST	2011-12-16 04:37PM EST	 C75 
flightarrival	CO-1703-LAX-EWR	2011-12-16 8:35 AM	2011-12-16 8:33 AM		2011-12-16 4:57 PM	2011-12-16 4:48 PM	
ua	UA-4218-IAH-CRW	Fri, Dec 16 2:15 PM	Fri, Dec 16 2:14 PM	B76A	Fri, Dec 16 5:36 PM	Fri, Dec 16 5:28 PM	A5
airtravelcenter	UA-4218-IAH-CRW	12/16/11 2:15 PM (-06:00)			12/16/11 5:36 PM (-05:00)		
myrateplan	UA-4218-IAH-CRW	12/16/11 2:15 PM (-06:00)			12/16/11 5:36 PM (-05:00)		
helloflight	UA-4218-IAH-CRW	12/16/11 2:15 PM (-06:00)			12/16/11 5:36 PM (-05:00)		
flytecomm	UA-4218-IAH-CRW	12/16/11 2:15 PM (-06:00)			12/16/11 5:36 PM (-05:00)		
flights	UA-4218-IAH-CRW		2011-12-16 02:14 PM	76A		2011-12-16 05:28 PM	A5
businesstravellogue	UA-4218-IAH-CRW		2011-12-16 02:14 PM	76A		2011-12-16 05:28 PM	A5
flylouisville	UA-4218-IAH-CRW		2011-12-16 02:14 PM	76A		2011-12-16 05:28 PM	A5
flightview	UA-4218-IAH-CRW		2:29 PMDec 16			5:28 PMDec 16	
panynj	UA-4218-IAH-CRW		2:29 PMDec 16			5:28 PMDec 16	
gofox	UA-4218-IAH-CRW		2:29 PMDec 16			5:28 PMDec 16	
foxbusiness	UA-4218-IAH-CRW		2:29 PMDec 16			5:28 PMDec 16	
allegiantair	UA-4218-IAH-CRW		2:29 PMDec 16			5:28 PMDec 16	
boston	UA-4218-IAH-CRW		2:29 PMDec 16			5:24 PMDec 16	
travelocity	UA-4218-IAH-CRW	Dec 16 - 2:15pm	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 5:36pm	Dec 16 - Contact Airline	Not provided by airline
orbitz	UA-4218-IAH-CRW	2:15pDec 16	2:14pDec 16	 -	5:36pDec 16	5:28pDec 16	 -
mytripandmore	UA-4218-IAH-CRW	Dec 16 - 2:15pm	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 5:36pm	Dec 16 - Contact Airline	Not provided by airline
flightarrival	UA-4218-IAH-CRW		2:29 PMDec 16			5:24 PMDec 16	
aa	AA-536-DFW-ATL	December 16, 2011               06:15 AM    	December 16, 2011               06:06 AM    	 A38	December 16, 2011               09:20 AM    	December 16, 2011               09:06 AM    	 T12    
flightexplorer	AA-536-DFW-ATL		12/16/2011 6:21AM CST			12/16/2011 8:53AM EST	
airtravelcenter	AA-536-DFW-ATL		12/16/11 6:19 AM (-06:00)			12/16/11 8:53 AM (-05:00)	
myrateplan	AA-536-DFW-ATL		12/16/11 6:19 AM (-06:00)			12/16/11 8:53 AM (-05:00)	
helloflight	AA-536-DFW-ATL		12/16/11 6:19 AM (-06:00)			12/16/11 8:53 AM (-05:00)	
flytecomm	AA-536-DFW-ATL		12/16/11 6:19 AM (-06:00)			12/16/11 8:53 AM (-05:00)	
flightaware	AA-536-DFW-ATL	2011-12-16 06:15AM CST	2011-12-16 06:21AM CST	 A38 	2011-12-16 09:10AM EST	2011-12-16 08:50AM EST	 T12 
wunderground	AA-536-DFW-ATL	2011-12-16 06:15AM CST	2011-12-16 06:21AM CST	 A38 	2011-12-16 09:10AM EST	2011-12-16 08:50AM EST	 T12 
flights	AA-536-DFW-ATL	06:15 AM  Fri 16-Dec-2011	06:06 AM  Fri 16-Dec-2011	A38	09:20 AM  Fri 16-Dec-2011	09:06 AM  Fri 16-Dec-2011	T12
businesstravellogue	AA-536-DFW-ATL	06:15 AM  Fri 16-Dec-2011	06:06 AM  Fri 16-Dec-2011	A38	09:20 AM  Fri 16-Dec-2011	09:06 AM  Fri 16-Dec-2011	T12
flylouisville	AA-536-DFW-ATL	06:15 AM  Fri 16-Dec-2011	06:06 AM  Fri 16-Dec-2011	A38	09:20 AM  Fri 16-Dec-2011	09:06 AM  Fri 16-Dec-2011	T12
flightstats	AA-536-DFW-ATL	2011-12-16 6:15 AM	2011-12-16 6:06 AM		2011-12-16 9:20 AM	2011-12-16 9:06 AM	
quicktrip	AA-536-DFW-ATL	2011-12-16 6:15 AM	2011-12-16 6:06 AM		2011-12-16 9:20 AM	2011-12-16 9:06 AM	
world-flight-tracker	AA-536-DFW-ATL	2011-12-16 6:15 AM	2011-12-16 6:06 AM		2011-12-16 9:20 AM	2011-12-16 9:06 AM	
flightview	AA-536-DFW-ATL	6:15 AM, Dec 16	6:20 AM, Dec 16	A38	9:20 AM, Dec 16	8:55 AM, Dec 16	T12
panynj	AA-536-DFW-ATL	6:15 AM, Dec 16	6:20 AM, Dec 16	A38	9:20 AM, Dec 16	8:55 AM, Dec 16	T12
gofox	AA-536-DFW-ATL	6:15 AM, Dec 16	6:20 AM, Dec 16		9:20 AM, Dec 16	8:55 AM, Dec 16	
foxbusiness	AA-536-DFW-ATL	6:15 AM, Dec 16	6:20 AM, Dec 16	A38	9:20 AM, Dec 16	8:55 AM, Dec 16	T12
allegiantair	AA-536-DFW-ATL	6:15 AM, Dec 16	6:20 AM, Dec 16	A38	9:20 AM, Dec 16	8:55 AM, Dec 16	T12
boston	AA-536-DFW-ATL	6:15 AM, Dec 16	6:20 AM, Dec 16		9:20 AM, Dec 16	8:55 AM, Dec 16	
travelocity	AA-536-DFW-ATL	Dec 16 - 6:15am	Dec 16 - 6:06am	A38/A	Dec 16 - 9:20am	Dec 16 - 9:06am	T12
orbitz	AA-536-DFW-ATL	6:15aDec 16	6:06aDec 16	 A38	9:20aDec 16	9:06aDec 16	 T12
weather	AA-536-DFW-ATL	2011-12-16 06:15 AM	2011-12-16 06:21 AM		2011-12-16 09:20 AM	2011-12-16 08:49 AM	
ifly	AA-536-DFW-ATL	2011-12-16 6:15 AM	2011-12-16 6:06 AM		2011-12-16 9:20 AM	2011-12-16 9:06 AM	
usatoday	AA-536-DFW-ATL	2011-12-16 06:15 AM	2011-12-16 06:21 AM		2011-12-16 09:20 AM	2011-12-16 08:49 AM	
mytripandmore	AA-536-DFW-ATL	Dec 16 - 6:15am	Dec 16 - 6:06am	A38/A	Dec 16 - 9:20am	Dec 16 - 9:06am	T12
flightwise	AA-536-DFW-ATL	2011-12-16 06:15AM CST	2011-12-16 06:21AM CST	 A38 	2011-12-16 09:10AM EST	2011-12-16 08:50AM EST	 T12 
ua	UA-1451-FLL-IAH	Fri, Dec 16 11:42 AM	Fri, Dec 16 11:44 AM	C7	Fri, Dec 16 1:45 PM	Fri, Dec 16 1:31 PM	E12
flightexplorer	UA-1451-FLL-IAH		12/16/2011 12:03PM EST			12/16/2011 1:25PM CST	
airtravelcenter	UA-1451-FLL-IAH		12/16/11 12:04 PM (-05:00)			12/16/11 1:25 PM (-06:00)	
airtravelcenter	UA-1451-FLL-IAH	12/16/11 11:42 AM (-05:00)			12/16/11 1:45 PM (-06:00)		
myrateplan	UA-1451-FLL-IAH		12/16/11 12:04 PM (-05:00)			12/16/11 1:25 PM (-06:00)	
myrateplan	UA-1451-FLL-IAH	12/16/11 11:42 AM (-05:00)			12/16/11 1:45 PM (-06:00)		
helloflight	UA-1451-FLL-IAH		12/16/11 12:04 PM (-05:00)			12/16/11 1:25 PM (-06:00)	
helloflight	UA-1451-FLL-IAH	12/16/11 11:42 AM (-05:00)			12/16/11 1:45 PM (-06:00)		
flytecomm	UA-1451-FLL-IAH		12/16/11 12:04 PM (-05:00)			12/16/11 1:25 PM (-06:00)	
flytecomm	UA-1451-FLL-IAH	12/16/11 11:42 AM (-05:00)			12/16/11 1:45 PM (-06:00)		
flights	UA-1451-FLL-IAH		2011-12-16 11:44 AM	C7		2011-12-16 01:31 PM	12
businesstravellogue	UA-1451-FLL-IAH		2011-12-16 11:44 AM	C7		2011-12-16 01:31 PM	12
flylouisville	UA-1451-FLL-IAH		2011-12-16 11:44 AM	C7		2011-12-16 01:31 PM	12
flightview	UA-1451-FLL-IAH		12:04 PMDec 16			1:31 PMDec 16	
panynj	UA-1451-FLL-IAH		12:04 PMDec 16			1:31 PMDec 16	
gofox	UA-1451-FLL-IAH		12:04 PMDec 16			1:31 PMDec 16	
foxbusiness	UA-1451-FLL-IAH		12:04 PMDec 16			1:31 PMDec 16	
allegiantair	UA-1451-FLL-IAH		12:04 PMDec 16			1:31 PMDec 16	
boston	UA-1451-FLL-IAH		12:04 PMDec 16			1:27 PMDec 16	
travelocity	UA-1451-FLL-IAH	Dec 16 - 11:42am	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 1:45pm	Dec 16 - Contact Airline	Not provided by airline
orbitz	UA-1451-FLL-IAH	11:42aDec 16	11:44aDec 16	 C7	1:45pDec 16	1:31pDec 16	 45
weather	UA-1451-FLL-IAH	2011-12-16 11:42 AM			2011-12-16 01:45 PM		
usatoday	UA-1451-FLL-IAH	2011-12-16 11:42 AM			2011-12-16 01:45 PM		
mytripandmore	UA-1451-FLL-IAH	11:42aDec 16	11:44aDec 16	 C7	1:45pDec 16	1:31pDec 16	 45
ua	UA-416-LAX-JFK	Fri, Dec 16 11:45 AM	Fri, Dec 16 11:39 AM	73	Fri, Dec 16 8:11 PM	Fri, Dec 16 7:43 PM	7
flightexplorer	UA-416-LAX-JFK		12/16/2011 11:57AM PST			12/16/2011 7:21PM EST	
airtravelcenter	UA-416-LAX-JFK		12/16/11 11:59 AM (-08:00)			12/17/11 12:44 AM (-05:00)	
myrateplan	UA-416-LAX-JFK		12/16/11 11:59 AM (-08:00)			12/17/11 12:44 AM (-05:00)	
helloflight	UA-416-LAX-JFK		12/16/11 11:59 AM (-08:00)			12/17/11 12:44 AM (-05:00)	
flytecomm	UA-416-LAX-JFK		12/16/11 11:59 AM (-08:00)			12/17/11 12:44 AM (-05:00)	
flightaware	UA-416-LAX-JFK	2011-12-16 11:45AM PST	2011-12-16 11:59AM PST	 73 	2011-12-16 07:49PM EST	2011-12-16 07:34PM EST	 7 
wunderground	UA-416-LAX-JFK	2011-12-16 11:45AM PST	2011-12-16 11:59AM PST	 73 	2011-12-16 07:49PM EST	2011-12-16 07:34PM EST	 7 
flights	UA-416-LAX-JFK	11:45 AM  Fri 16-Dec-2011	11:39 AM  Fri 16-Dec-2011	73	08:11 PM  Fri 16-Dec-2011	07:43 PM  Fri 16-Dec-2011	7
businesstravellogue	UA-416-LAX-JFK	11:45 AM  Fri 16-Dec-2011	11:39 AM  Fri 16-Dec-2011	73	08:11 PM  Fri 16-Dec-2011	07:43 PM  Fri 16-Dec-2011	7
flylouisville	UA-416-LAX-JFK	11:45 AM  Fri 16-Dec-2011	11:39 AM  Fri 16-Dec-2011	73	08:11 PM  Fri 16-Dec-2011	07:43 PM  Fri 16-Dec-2011	7
flightstats	UA-416-LAX-JFK	2011-12-16 11:45 AM	2011-12-16 11:39 AM		2011-12-16 8:11 PM	2011-12-16 7:43 PM	
quicktrip	UA-416-LAX-JFK	2011-12-16 11:45 AM	2011-12-16 11:39 AM		2011-12-16 8:11 PM	2011-12-16 7:43 PM	
world-flight-tracker	UA-416-LAX-JFK	2011-12-16 11:45 AM	2011-12-16 11:39 AM		2011-12-16 8:11 PM	2011-12-16 7:43 PM	
flightview	UA-416-LAX-JFK	11:45 AM, Dec 16	11:59 AM, Dec 16	73	8:11 PM, Dec 16	7:43 PM, Dec 16	7
panynj	UA-416-LAX-JFK	11:45 AM, Dec 16	11:59 AM, Dec 16	73	8:11 PM, Dec 16	7:43 PM, Dec 16	7
gofox	UA-416-LAX-JFK	11:45 AM, Dec 16	11:59 AM, Dec 16		8:11 PM, Dec 16	7:43 PM, Dec 16	
foxbusiness	UA-416-LAX-JFK	11:45 AM, Dec 16	11:59 AM, Dec 16	73	8:11 PM, Dec 16	7:43 PM, Dec 16	7
allegiantair	UA-416-LAX-JFK	11:45 AM, Dec 16	11:59 AM, Dec 16	73	8:11 PM, Dec 16	7:43 PM, Dec 16	7
boston	UA-416-LAX-JFK	11:45 AM, Dec 16	11:59 AM, Dec 16		8:11 PM, Dec 16	7:34 PM, Dec 16	
travelocity	UA-416-LAX-JFK	Dec 16 - Not Available	Dec 16 - 11:58am	73	Dec 16 - Not Available	Dec 16 - 7:43pm	7
orbitz	UA-416-LAX-JFK	12:04pDec 16	11:58aDec 16	 73	8:11pDec 16	7:43pDec 16	 -
weather	UA-416-LAX-JFK	2011-12-16 11:45 AM			2011-12-16 08:11 PM		
usatoday	UA-416-LAX-JFK	2011-12-16 11:45 AM			2011-12-16 08:11 PM		
flightwise	UA-416-LAX-JFK	2011-12-16 11:45AM PST	2011-12-16 11:59AM PST	 73 	2011-12-16 07:49PM EST	2011-12-16 07:34PM EST	 7 
aa	AA-2495-DFW-LAX	December 16, 2011               10:30 PM    	December 16, 2011               10:29 PM    	 D28	December 16, 2011               11:50 PM    	December 16, 2011     	 47B    
flightexplorer	AA-2495-DFW-LAX		12/16/2011 10:37PM CST			12/16/2011 11:19PM PST	
airtravelcenter	AA-2495-DFW-LAX		12/16/11 10:35 PM (-06:00)			12/16/11 11:24 PM (-08:00)	
myrateplan	AA-2495-DFW-LAX		12/16/11 10:35 PM (-06:00)			12/16/11 11:24 PM (-08:00)	
helloflight	AA-2495-DFW-LAX		12/16/11 10:35 PM (-06:00)			12/16/11 11:24 PM (-08:00)	
flytecomm	AA-2495-DFW-LAX		12/16/11 10:35 PM (-06:00)			12/16/11 11:24 PM (-08:00)	
flightaware	AA-2495-DFW-LAX	2011-12-16 10:30PM CST	2011-12-16 10:37PM CST	 D28 	2011-12-16 11:28PM PST	2011-12-16 11:19PM PST	 47B 
wunderground	AA-2495-DFW-LAX	2011-12-16 10:30PM CST	2011-12-16 10:37PM CST	 D28 	2011-12-16 11:28PM PST	2011-12-16 11:19PM PST	 47B 
flights	AA-2495-DFW-LAX		2011-12-16 10:29 PM	D28		2011-12-16 11:50 PM	47B
businesstravellogue	AA-2495-DFW-LAX		2011-12-16 10:29 PM	D28		2011-12-16 11:50 PM	47B
flylouisville	AA-2495-DFW-LAX		2011-12-16 10:29 PM	D28		2011-12-16 11:50 PM	47B
flightstats	AA-2495-DFW-LAX	2011-12-16 10:30 PM	2011-12-16 10:29 PM		2011-12-16 11:50 PM	2011-12-16 11:32 PM (Estimated)	
quicktrip	AA-2495-DFW-LAX	2011-12-16 10:30 PM	2011-12-16 10:29 PM		2011-12-16 11:50 PM	2011-12-16 11:32 PM (Estimated)	
flightview	AA-2495-DFW-LAX		10:36 PMDec 16			11:29 PMDec 16	
panynj	AA-2495-DFW-LAX		10:36 PMDec 16			11:29 PMDec 16	
gofox	AA-2495-DFW-LAX		10:36 PMDec 16			11:29 PMDec 16	
foxbusiness	AA-2495-DFW-LAX		10:36 PMDec 16			11:29 PMDec 16	
allegiantair	AA-2495-DFW-LAX		10:36 PMDec 16			11:29 PMDec 16	
boston	AA-2495-DFW-LAX		10:36 PMDec 16			11:29 PMDec 16	
orbitz	AA-2495-DFW-LAX	10:33pDec 16	10:29pDec 16	 D28	11:14pDec 16		 47B
dfw	AA-2495-DFW-LAX	2011-12-16 10:30 pm		D28			
usatoday	AA-2495-DFW-LAX		10:36 PMDec 16			11:29 PMDec 16	
flightwise	AA-2495-DFW-LAX	2011-12-16 10:30PM CST	2011-12-16 10:37PM CST	 D28 	2011-12-16 11:28PM PST	2011-12-16 11:19PM PST	 47B 
aa	AA-474-PHX-DFW	December 16, 2011               08:05 AM    	December 16, 2011               07:57 AM    	 4	December 16, 2011               11:25 AM    	December 16, 2011               11:06 AM    	 A29    
flightexplorer	AA-474-PHX-DFW		12/16/2011 8:12AM MST			12/16/2011 10:57AM CST	
airtravelcenter	AA-474-PHX-DFW		12/16/11 8:11 AM (-07:00)			12/16/11 10:57 AM (-06:00)	
myrateplan	AA-474-PHX-DFW		12/16/11 8:11 AM (-07:00)			12/16/11 10:57 AM (-06:00)	
helloflight	AA-474-PHX-DFW		12/16/11 8:11 AM (-07:00)			12/16/11 10:57 AM (-06:00)	
flytecomm	AA-474-PHX-DFW		12/16/11 8:11 AM (-07:00)			12/16/11 10:57 AM (-06:00)	
flights	AA-474-PHX-DFW		2011-12-16 07:57 AM	4		2011-12-16 11:06 AM	A29
businesstravellogue	AA-474-PHX-DFW		2011-12-16 07:57 AM	4		2011-12-16 11:06 AM	A29
flylouisville	AA-474-PHX-DFW		2011-12-16 07:57 AM	4		2011-12-16 11:06 AM	A29
flightview	AA-474-PHX-DFW		8:12 AMDec 16			11:01 AMDec 16	
panynj	AA-474-PHX-DFW		8:12 AMDec 16			11:01 AMDec 16	
gofox	AA-474-PHX-DFW		8:12 AMDec 16			11:01 AMDec 16	
foxbusiness	AA-474-PHX-DFW		8:12 AMDec 16			11:01 AMDec 16	
allegiantair	AA-474-PHX-DFW		8:12 AMDec 16			11:01 AMDec 16	
boston	AA-474-PHX-DFW		8:12 AMDec 16			11:01 AMDec 16	
travelocity	AA-474-PHX-DFW	Dec 16 - 8:05am	Dec 16 - 7:57am	4/3	Dec 16 - 11:25am	Dec 16 - 11:06am	A29/A
orbitz	AA-474-PHX-DFW	8:05aDec 16	7:57aDec 16	 4	11:25aDec 16	11:06aDec 16	 A29
weather	AA-474-PHX-DFW	2011-12-16 08:05 AM			2011-12-16 11:25 AM		
flightarrival	AA-474-PHX-DFW	2011-12-16 08:05 AM			2011-12-16 11:25 AM		
aa	AA-145-BOS-LAX	December 16, 2011               05:00 PM    	December 16, 2011               04:56 PM    	 B35	December 16, 2011               08:35 PM    	December 16, 2011               08:05 PM    	 45    
airtravelcenter	AA-145-BOS-LAX		12/16/11 5:14 PM (-05:00)			12/16/11 8:00 PM (-08:00)	
myrateplan	AA-145-BOS-LAX		12/16/11 5:14 PM (-05:00)			12/16/11 8:00 PM (-08:00)	
helloflight	AA-145-BOS-LAX		12/16/11 5:14 PM (-05:00)			12/16/11 8:00 PM (-08:00)	
flytecomm	AA-145-BOS-LAX		12/16/11 5:14 PM (-05:00)			12/16/11 8:00 PM (-08:00)	
flightaware	AA-145-BOS-LAX	2011-12-16 05:00PM EST	2011-12-16 05:15PM EST	 B35 	2011-12-16 08:09PM PST	2011-12-16 08:00PM PST	 45 
wunderground	AA-145-BOS-LAX	2011-12-16 05:00PM EST	2011-12-16 05:15PM EST	 B35 	2011-12-16 08:09PM PST	2011-12-16 08:00PM PST	 45 
flights	AA-145-BOS-LAX	05:00 PM  Fri 16-Dec-2011	04:56 PM  Fri 16-Dec-2011	B35	08:35 PM  Fri 16-Dec-2011	08:05 PM  Fri 16-Dec-2011	45
businesstravellogue	AA-145-BOS-LAX	05:00 PM  Fri 16-Dec-2011	04:56 PM  Fri 16-Dec-2011	B35	08:35 PM  Fri 16-Dec-2011	08:05 PM  Fri 16-Dec-2011	45
flylouisville	AA-145-BOS-LAX	05:00 PM  Fri 16-Dec-2011	04:56 PM  Fri 16-Dec-2011	B35	08:35 PM  Fri 16-Dec-2011	08:05 PM  Fri 16-Dec-2011	45
flightstats	AA-145-BOS-LAX	2011-12-16 5:00 PM	2011-12-16 4:56 PM		2011-12-16 8:35 PM	2011-12-16 8:05 PM	
quicktrip	AA-145-BOS-LAX	2011-12-16 5:00 PM	2011-12-16 4:56 PM		2011-12-16 8:35 PM	2011-12-16 8:05 PM	
world-flight-tracker	AA-145-BOS-LAX	2011-12-16 5:00 PM	2011-12-16 4:56 PM		2011-12-16 8:35 PM	2011-12-16 8:05 PM	
flightview	AA-145-BOS-LAX	5:00 PM, Dec 16	5:15 PM, Dec 16	Terminal B - B35	8:35 PM, Dec 16	8:05 PM, Dec 16	Terminal 4 - 45
panynj	AA-145-BOS-LAX	5:00 PM, Dec 16	5:15 PM, Dec 16	Terminal B - B35	8:35 PM, Dec 16	8:05 PM, Dec 16	Terminal 4 - 45
gofox	AA-145-BOS-LAX	5:00 PM, Dec 16	5:15 PM, Dec 16		8:35 PM, Dec 16	8:05 PM, Dec 16	
foxbusiness	AA-145-BOS-LAX	5:00 PM, Dec 16	5:15 PM, Dec 16	Terminal B - B35	8:35 PM, Dec 16	8:05 PM, Dec 16	Terminal 4 - 45
allegiantair	AA-145-BOS-LAX	5:00 PM, Dec 16	5:15 PM, Dec 16	Terminal B - B35	8:35 PM, Dec 16	8:05 PM, Dec 16	Terminal 4 - 45
boston	AA-145-BOS-LAX	5:00 PM, Dec 16	5:15 PM, Dec 16		8:35 PM, Dec 16	8:01 PM, Dec 16	
travelocity	AA-145-BOS-LAX	Dec 16 - 5:00pm	Dec 16 - 4:56pm	B35	Dec 16 - 8:35pm	Dec 16 - 8:05pm	45/T4
orbitz	AA-145-BOS-LAX	5:00pDec 16	4:56pDec 16	 B35	8:35pDec 16	8:05pDec 16	 45
weather	AA-145-BOS-LAX	2011-12-16 05:00 PM			2011-12-16 08:35 PM		
flightwise	AA-145-BOS-LAX	2011-12-16 05:00PM EST	2011-12-16 05:15PM EST	 B35 	2011-12-16 08:09PM PST	2011-12-16 08:00PM PST	 45 
flightarrival	AA-145-BOS-LAX	2011-12-16 5:00 PM	2011-12-16 4:56 PM		2011-12-16 8:35 PM	2011-12-16 8:05 PM	
ua	UA-1238-CLE-PHX	Fri, Dec 16 4:55 PM	Fri, Dec 16 4:55 PM	C09	Fri, Dec 16 7:30 PM	Fri, Dec 16 7:21 PM	--
airtravelcenter	UA-1238-CLE-PHX		12/16/11 5:05 PM (-05:00)			12/16/11 7:00 PM (-07:00)	
airtravelcenter	UA-1238-CLE-PHX	12/16/11 4:55 PM (-05:00)			12/16/11 7:30 PM (-07:00)		
myrateplan	UA-1238-CLE-PHX		12/16/11 5:05 PM (-05:00)			12/16/11 7:00 PM (-07:00)	
myrateplan	UA-1238-CLE-PHX	12/16/11 4:55 PM (-05:00)			12/16/11 7:30 PM (-07:00)		
helloflight	UA-1238-CLE-PHX		12/16/11 5:05 PM (-05:00)			12/16/11 7:00 PM (-07:00)	
helloflight	UA-1238-CLE-PHX	12/16/11 4:55 PM (-05:00)			12/16/11 7:30 PM (-07:00)		
flytecomm	UA-1238-CLE-PHX		12/16/11 5:05 PM (-05:00)			12/16/11 7:00 PM (-07:00)	
flytecomm	UA-1238-CLE-PHX	12/16/11 4:55 PM (-05:00)			12/16/11 7:30 PM (-07:00)		
flightaware	UA-1238-CLE-PHX	2011-12-16 04:55PM EST	2011-12-16 05:04PM EST	 C9 	2011-12-16 07:16PM MST	2011-12-16 06:59PM MST	
wunderground	UA-1238-CLE-PHX	2011-12-16 04:55PM EST	2011-12-16 05:04PM EST	 C9 	2011-12-16 07:16PM MST	2011-12-16 06:59PM MST	
flights	UA-1238-CLE-PHX	04:55 PM  Fri 16-Dec-2011			07:30 PM  Fri 16-Dec-2011		
businesstravellogue	UA-1238-CLE-PHX	04:55 PM  Fri 16-Dec-2011			07:30 PM  Fri 16-Dec-2011		
flylouisville	UA-1238-CLE-PHX	04:55 PM  Fri 16-Dec-2011			07:30 PM  Fri 16-Dec-2011		
world-flight-tracker	UA-1238-CLE-PHX	2011-12-16 4:55 PM	2011-12-16 4:55 PM		2011-12-16 7:30 PM	2011-12-16 7:21 PM (Estimated)	
flightview	UA-1238-CLE-PHX	4:55 PM, Dec 16	5:04 PM, Dec 16		7:30 PM, Dec 16		
panynj	UA-1238-CLE-PHX	4:55 PM, Dec 16	5:04 PM, Dec 16		7:30 PM, Dec 16		
gofox	UA-1238-CLE-PHX	4:55 PM, Dec 16	5:04 PM, Dec 16		7:30 PM, Dec 16		
foxbusiness	UA-1238-CLE-PHX	4:55 PM, Dec 16	5:04 PM, Dec 16		7:30 PM, Dec 16		
allegiantair	UA-1238-CLE-PHX	4:55 PM, Dec 16	5:04 PM, Dec 16		7:30 PM, Dec 16		
boston	UA-1238-CLE-PHX	4:55 PM, Dec 16	5:04 PM, Dec 16		7:30 PM, Dec 16	7:14 PM, Dec 16&nbsp(Estimated)	
travelocity	UA-1238-CLE-PHX	Dec 16 - 4:55pm	Dec 16 - Contact Airline	Not provided by airline	Dec 16 - 7:30pm	Dec 16 - Contact Airline	Not provided by airline
orbitz	UA-1238-CLE-PHX	4:55pDec 16	4:55pDec 16	 C09	7:12pDec 16		 -
weather	UA-1238-CLE-PHX	2011-12-16 04:55 PM	2011-12-16 05:05 PM		2011-12-16 07:30 PM	2011-12-16 07:00 PM	
flightarrival	UA-1238-CLE-PHX	2011-12-16 04:55 PM	2011-12-16 05:05 PM		2011-12-16 07:30 PM	2011-12-16 07:00 PM	
aa	AA-4192-CLT-ORD	December 16, 2011               02:20 PM    	December 16, 2011               02:17 PM    	 A11	December 16, 2011               03:40 PM    	December 16, 2011               03:08 PM    	 G9    
flightexplorer	AA-4192-CLT-ORD		12/16/2011 2:27PM EST			12/16/2011 3:07PM CST	
