CO	CO-4237-EWR-DTW	Mon., Dec.19, 2011 12:17 p.m.	Mon., Dec.19, 2011 12:16 p.m.		Mon., Dec.19, 2011 2:24 p.m.	Mon., Dec.19, 2011 2:17 p.m.	
helloflight	UA-1027-IAH-CLE	12/19/11 3:45 PM (-06:00)			12/19/11 7:31 PM (-05:00)		
flytecomm	UA-1027-IAH-CLE	12/19/11 3:45 PM (-06:00)			12/19/11 7:31 PM (-05:00)		
flightaware	UA-1027-IAH-CLE	2011-12-19 03:45PM CST	2011-12-19 03:59PM CST	 E9 	2011-12-19 06:53PM EST	2011-12-19 07:05PM EST	 C11 
wunderground	UA-1027-IAH-CLE	2011-12-19 03:45PM CST	2011-12-19 03:59PM CST	 E9 	2011-12-19 06:53PM EST	2011-12-19 07:05PM EST	 C11 
flights	UA-1027-IAH-CLE		2011-12-19 03:45 PM	9		2011-12-19 07:31 PM	C11
businesstravellogue	UA-1027-IAH-CLE		2011-12-19 03:45 PM	9		2011-12-19 07:31 PM	C11
flylouisville	UA-1027-IAH-CLE		2011-12-19 03:45 PM	9		2011-12-19 07:31 PM	C11
flightstats	UA-1027-IAH-CLE	2011-12-19 3:45 PM	2011-12-19 3:45 PM		2011-12-19 7:31 PM	2011-12-19 7:08 PM (Estimated)	
quicktrip	UA-1027-IAH-CLE	2011-12-19 3:45 PM	2011-12-19 3:45 PM		2011-12-19 7:31 PM	2011-12-19 7:08 PM (Estimated)	
flightview	UA-1027-IAH-CLE		3:59 PMDec 19			7:05 PMDec 19	
panynj	UA-1027-IAH-CLE		3:59 PMDec 19			7:05 PMDec 19	
gofox	UA-1027-IAH-CLE		3:59 PMDec 19			7:05 PMDec 19	
foxbusiness	UA-1027-IAH-CLE		3:59 PMDec 19			7:05 PMDec 19	
allegiantair	UA-1027-IAH-CLE		3:59 PMDec 19			7:05 PMDec 19	
boston	UA-1027-IAH-CLE		3:59 PMDec 19			7:05 PMDec 19	
orbitz	UA-1027-IAH-CLE	3:45pDec 19	3:45pDec 19	 E9	7:01pDec 19		 C11
ifly	UA-1027-IAH-CLE	2011-12-19 3:45 PM	2011-12-19 3:45 PM		2011-12-19 7:31 PM	2011-12-19 7:08 PM (Estimated)	
usatoday	UA-1027-IAH-CLE		3:59 PMDec 19			7:05 PMDec 19	
flightwise	UA-1027-IAH-CLE	2011-12-19 03:45PM CST	2011-12-19 03:59PM CST	 E9 	2011-12-19 06:53PM EST	2011-12-19 07:05PM EST	 C11 
CO	CO-50-CLE-EWR	Mon., Dec.19, 2011 2:55 p.m.	Mon., Dec.19, 2011 3:45 p.m.		Mon., Dec.19, 2011 4:53 p.m.	Mon., Dec.19, 2011 5:25 p.m.	
airtravelcenter	CO-50-CLE-EWR	12/19/11 2:55 PM (-05:00)			12/19/11 4:53 PM (-05:00)		
myrateplan	CO-50-CLE-EWR	12/19/11 2:55 PM (-05:00)			12/19/11 4:53 PM (-05:00)		
helloflight	CO-50-CLE-EWR	12/19/11 2:55 PM (-05:00)			12/19/11 4:53 PM (-05:00)		
flytecomm	CO-50-CLE-EWR	12/19/11 2:55 PM (-05:00)			12/19/11 4:53 PM (-05:00)		
flights	CO-50-CLE-EWR		2011-12-19 03:45 PM	C10		2011-12-19 05:25 PM	112
businesstravellogue	CO-50-CLE-EWR		2011-12-19 03:45 PM	C10		2011-12-19 05:25 PM	112
flylouisville	CO-50-CLE-EWR		2011-12-19 03:45 PM	C10		2011-12-19 05:25 PM	112
flightstats	CO-50-CLE-EWR	2011-12-19 2:55 PM	2011-12-19 3:45 PM		2011-12-19 4:53 PM	2011-12-19 5:25 PM	
quicktrip	CO-50-CLE-EWR	2011-12-19 2:55 PM	2011-12-19 3:45 PM		2011-12-19 4:53 PM	2011-12-19 5:25 PM	
flightview	CO-50-CLE-EWR		4:00 PMDec 19			5:25 PMDec 19	
panynj	CO-50-CLE-EWR		4:00 PMDec 19			5:25 PMDec 19	
gofox	CO-50-CLE-EWR		4:00 PMDec 19			5:25 PMDec 19	
foxbusiness	CO-50-CLE-EWR		4:00 PMDec 19			5:25 PMDec 19	
allegiantair	CO-50-CLE-EWR		4:00 PMDec 19			5:25 PMDec 19	
boston	CO-50-CLE-EWR		4:00 PMDec 19			5:05 PMDec 19	
travelocity	CO-50-CLE-EWR	Dec 19 - 2:55pm	Dec 19 - 3:45pm	C10	Dec 19 - 4:53pm	Dec 19 - 5:25pm	C112
orbitz	CO-50-CLE-EWR	2:55pDec 19	3:45pDec 19	 C10	4:53pDec 19	5:25pDec 19	 112
weather	CO-50-CLE-EWR	2011-12-19 02:55 PM			2011-12-19 04:53 PM		
usatoday	CO-50-CLE-EWR		4:00 PMDec 19			5:05 PMDec 19	
mytripandmore	CO-50-CLE-EWR	2:55pDec 19	3:45pDec 19	 C10	4:53pDec 19	5:25pDec 19	 112
aa	AA-816-PAP-MIA	December 19, 2011               10:30 AM    	December 19, 2011               10:10 AM    	 2	December 19, 2011               12:35 PM    	December 19, 2011               12:27 PM    	 D24    
airtravelcenter	AA-816-PAP-MIA		12/19/11 10:24 AM (-05:00)			12/19/11 12:22 PM (-05:00)	
myrateplan	AA-816-PAP-MIA		12/19/11 10:24 AM (-05:00)			12/19/11 12:22 PM (-05:00)	
helloflight	AA-816-PAP-MIA		12/19/11 10:24 AM (-05:00)			12/19/11 12:22 PM (-05:00)	
flytecomm	AA-816-PAP-MIA		12/19/11 10:24 AM (-05:00)			12/19/11 12:22 PM (-05:00)	
flights	AA-816-PAP-MIA	10:30 AM  Mon 19-Dec-2011	10:10 AM  Mon 19-Dec-2011	2	12:35 PM  Mon 19-Dec-2011	12:27 PM  Mon 19-Dec-2011	D24
businesstravellogue	AA-816-PAP-MIA	10:30 AM  Mon 19-Dec-2011	10:10 AM  Mon 19-Dec-2011	2	12:35 PM  Mon 19-Dec-2011	12:27 PM  Mon 19-Dec-2011	D24
flylouisville	AA-816-PAP-MIA	10:30 AM  Mon 19-Dec-2011	10:10 AM  Mon 19-Dec-2011	2	12:35 PM  Mon 19-Dec-2011	12:27 PM  Mon 19-Dec-2011	D24
world-flight-tracker	AA-816-PAP-MIA	2011-12-19 10:30 AM	2011-12-19 10:10 AM		2011-12-19 12:35 PM	2011-12-19 12:27 PM	
flightview	AA-816-PAP-MIA	10:30 AM, Dec 19	10:49 AM, Dec 19		12:35 PM, Dec 19	12:27 PM, Dec 19	
panynj	AA-816-PAP-MIA	10:30 AM, Dec 19	10:49 AM, Dec 19		12:35 PM, Dec 19	12:27 PM, Dec 19	
gofox	AA-816-PAP-MIA	10:30 AM, Dec 19	10:49 AM, Dec 19		12:35 PM, Dec 19	12:27 PM, Dec 19	
foxbusiness	AA-816-PAP-MIA	10:30 AM, Dec 19	10:49 AM, Dec 19		12:35 PM, Dec 19	12:27 PM, Dec 19	
allegiantair	AA-816-PAP-MIA	10:30 AM, Dec 19	10:49 AM, Dec 19		12:35 PM, Dec 19	12:27 PM, Dec 19	
boston	AA-816-PAP-MIA	10:30 AM, Dec 19	10:49 AM, Dec 19		12:35 PM, Dec 19	12:20 PM, Dec 19	
travelocity	AA-816-PAP-MIA	Dec 19 - 10:30am	Dec 19 - 10:10am	2	Dec 19 - 12:35pm	Dec 19 - 12:27pm	D24
orbitz	AA-816-PAP-MIA	10:30aDec 19	10:10aDec 19	 2	12:35pDec 19	12:27pDec 19	 D24
mia	AA-816-PAP-MIA				12:35P 12-19-11	2011-12-19  12:27P	
mytripandmore	AA-816-PAP-MIA	Dec 19 - 10:30am	Dec 19 - 10:10am	2	Dec 19 - 12:35pm	Dec 19 - 12:27pm	D24
aa	AA-4195-ORD-MEM	December 19, 2011               10:15 PM    	December 19, 2011               10:08 PM    	 G19A	December 19, 2011               11:55 PM    	December 19, 2011     	 C12A    
flightexplorer	AA-4195-ORD-MEM		12/19/2011 10:21PM CST			12/19/2011 11:58PM CST	
airtravelcenter	AA-4195-ORD-MEM		12/19/11 10:21 PM (-06:00)			12/19/11 11:54 PM (-06:00)	
myrateplan	AA-4195-ORD-MEM		12/19/11 10:21 PM (-06:00)			12/19/11 11:54 PM (-06:00)	
helloflight	AA-4195-ORD-MEM		12/19/11 10:21 PM (-06:00)			12/19/11 11:54 PM (-06:00)	
flytecomm	AA-4195-ORD-MEM		12/19/11 10:21 PM (-06:00)			12/19/11 11:54 PM (-06:00)	
flightaware	AA-4195-ORD-MEM	2011-12-19 10:15PM CST	2011-12-19 10:21PM CST	 G19A 	2011-12-19 12:05AM CST	2011-12-19 11:53PM CST	 C12A 
wunderground	AA-4195-ORD-MEM	2011-12-19 10:15PM CST	2011-12-19 10:21PM CST	 G19A 	2011-12-19 12:05AM CST	2011-12-19 11:53PM CST	 C12A 
flights	AA-4195-ORD-MEM	10:15 PM  Mon 19-Dec-2011		G19A	11:55 PM  Mon 19-Dec-2011		C12A
businesstravellogue	AA-4195-ORD-MEM	10:15 PM  Mon 19-Dec-2011		G19A	11:55 PM  Mon 19-Dec-2011		C12A
flylouisville	AA-4195-ORD-MEM	10:15 PM  Mon 19-Dec-2011		G19A	11:55 PM  Mon 19-Dec-2011		C12A
flightstats	AA-4195-ORD-MEM	2011-12-19 10:15 PM	2011-12-19 10:08 PM		2011-12-19 11:55 PM	2011-12-19 11:44 PM (Estimated)	
quicktrip	AA-4195-ORD-MEM	2011-12-19 10:15 PM	2011-12-19 10:08 PM		2011-12-19 11:55 PM	2011-12-19 11:44 PM (Estimated)	
world-flight-tracker	AA-4195-ORD-MEM	2011-12-19 10:15 PM	2011-12-19 10:08 PM		2011-12-19 11:55 PM	2011-12-19 11:44 PM (Estimated)	
flightview	AA-4195-ORD-MEM	10:15 PM, Dec 19	10:21 PM, Dec 19		11:55 PM, Dec 19		
panynj	AA-4195-ORD-MEM	10:15 PM, Dec 19	10:21 PM, Dec 19		11:55 PM, Dec 19		
gofox	AA-4195-ORD-MEM	10:15 PM, Dec 19	10:21 PM, Dec 19		11:55 PM, Dec 19		
foxbusiness	AA-4195-ORD-MEM	10:15 PM, Dec 19	10:21 PM, Dec 19		11:55 PM, Dec 19		
allegiantair	AA-4195-ORD-MEM	10:15 PM, Dec 19	10:21 PM, Dec 19		11:55 PM, Dec 19		
boston	AA-4195-ORD-MEM	10:15 PM, Dec 19	10:21 PM, Dec 19		11:55 PM, Dec 19	11:53 PM, Dec 19&nbsp(Estimated)	
travelocity	AA-4195-ORD-MEM	Dec 19 - 10:15pm	Dec 19 - 10:08pm	G19A/T3	Dec 19 - 11:55pm	Dec 19 - 11:44pm*	C12A
orbitz	AA-4195-ORD-MEM	10:15pDec 19	10:08pDec 19	 G19A	12:09aDec 20		 C12A
weather	AA-4195-ORD-MEM	2011-12-19 10:15 PM			2011-12-19 11:55 PM		
ord	AA-4195-ORD-MEM	2011-12-19 10:15 PM		G19A	2011-12-19 11:55 PM		C12A
ifly	AA-4195-ORD-MEM	2011-12-19 10:15 PM	2011-12-19 10:08 PM		2011-12-19 11:55 PM	2011-12-19 11:44 PM (Estimated)	
usatoday	AA-4195-ORD-MEM	2011-12-19 10:15 PM			2011-12-19 11:55 PM		
aa	AA-3808-LAX-PHX	December 19, 2011               10:30 PM    	December 19, 2011     	 44E	December 20, 2011               12:45 AM    	December 20, 2011     	 2    
flightexplorer	AA-3808-LAX-PHX		12/18/2011 10:40PM PST			12/19/2011 12:26AM MST	
flightexplorer	AA-3808-LAX-PHX	12/19/2011 10:30PM PST			12/20/2011 12:46AM MST		
airtravelcenter	AA-3808-LAX-PHX	12/19/11 10:30 PM (-08:00)			12/20/11 12:45 AM (-07:00)		
myrateplan	AA-3808-LAX-PHX	12/19/11 10:30 PM (-08:00)			12/20/11 12:45 AM (-07:00)		
helloflight	AA-3808-LAX-PHX	12/19/11 10:30 PM (-08:00)			12/20/11 12:45 AM (-07:00)		
flytecomm	AA-3808-LAX-PHX	12/19/11 10:30 PM (-08:00)			12/20/11 12:45 AM (-07:00)		
flightaware	AA-3808-LAX-PHX	2011-12-19 10:30PM PST	2011-12-19 10:43PM PST	 44E 	2011-12-19 12:33AM MST	2011-12-19 12:46AM MST	 2 
wunderground	AA-3808-LAX-PHX	2011-12-19 10:30PM PST	2011-12-19 10:43PM PST	 44E 	2011-12-19 12:33AM MST	2011-12-19 12:46AM MST	 2 
flights	AA-3808-LAX-PHX	10:30 PM  Mon 19-Dec-2011		44E	12:45 AM  Tue 20-Dec-2011		2
businesstravellogue	AA-3808-LAX-PHX	10:30 PM  Mon 19-Dec-2011		44E	12:45 AM  Tue 20-Dec-2011		2
flylouisville	AA-3808-LAX-PHX	10:30 PM  Mon 19-Dec-2011		44E	12:45 AM  Tue 20-Dec-2011		2
flightstats	AA-3808-LAX-PHX	2011-12-19 10:30 PM	2011-12-19 10:30 PM (Estimated)		2011-12-19 12:45 AM	2011-12-19 12:50 AM (Estimated)	
quicktrip	AA-3808-LAX-PHX	2011-12-19 10:30 PM	2011-12-19 10:30 PM (Estimated)		2011-12-19 12:45 AM	2011-12-19 12:50 AM (Estimated)	
world-flight-tracker	AA-3808-LAX-PHX	2011-12-19 10:30 PM	2011-12-19 10:30 PM (Estimated)		2011-12-19 12:45 AM	2011-12-19 12:50 AM (Estimated)	
flightview	AA-3808-LAX-PHX	10:30 PM, Dec 19		Terminal 4 - 44E	12:45 AM, Dec 20		Terminal 3 - 2
panynj	AA-3808-LAX-PHX	10:30 PM, Dec 19		Terminal 4 - 44E	12:45 AM, Dec 20		Terminal 3 - 2
gofox	AA-3808-LAX-PHX	10:30 PM, Dec 19			12:45 AM, Dec 20		
foxbusiness	AA-3808-LAX-PHX	10:30 PM, Dec 19		Terminal 4 - 44E	12:45 AM, Dec 20		Terminal 3 - 2
allegiantair	AA-3808-LAX-PHX	10:30 PM, Dec 19		Terminal 4 - 44E	12:45 AM, Dec 20		Terminal 3 - 2
boston	AA-3808-LAX-PHX	10:30 PM, Dec 19	Not Available		12:45 AM, Dec 20	Not Available	
travelocity	AA-3808-LAX-PHX	Dec 19 - 10:30pm	Dec 19 - Not Available	44E/T4	Dec 20 - 12:45am	Dec 20 - Not Available	2
orbitz	AA-3808-LAX-PHX	10:30pDec 19		 44E	12:45aDec 20		 2
weather	AA-3808-LAX-PHX	2011-12-19 10:30 PM			2011-12-19 12:45 AM		
ifly	AA-3808-LAX-PHX	2011-12-19 10:30 PM	2011-12-19 10:30 PM (Estimated)		2011-12-19 12:45 AM	2011-12-19 12:50 AM (Estimated)	
usatoday	AA-3808-LAX-PHX	2011-12-19 10:30 PM			2011-12-19 12:45 AM		
mytripandmore	AA-3808-LAX-PHX	10:30pDec 19		 44E	12:45aDec 20		 2
flightarrival	AA-3808-LAX-PHX	2011-12-19 10:30 PM			2011-12-19 12:45 AM		
ua	UA-1534-IAH-LAX	Mon, Dec 19 5:05 PM	Mon, Dec 19 5:09 PM	E14	Mon, Dec 19 6:56 PM	Mon, Dec 19 6:33 PM	64
flightexplorer	UA-1534-IAH-LAX	12/19/2011 5:18PM CST			12/19/2011 6:21PM PST		
airtravelcenter	UA-1534-IAH-LAX	12/19/11 5:05 PM (-06:00)			12/19/11 6:56 PM (-08:00)		
myrateplan	UA-1534-IAH-LAX	12/19/11 5:05 PM (-06:00)			12/19/11 6:56 PM (-08:00)		
helloflight	UA-1534-IAH-LAX	12/19/11 5:05 PM (-06:00)			12/19/11 6:56 PM (-08:00)		
flytecomm	UA-1534-IAH-LAX	12/19/11 5:05 PM (-06:00)			12/19/11 6:56 PM (-08:00)		
flightaware	UA-1534-IAH-LAX	2011-12-19 05:05PM CST	2011-12-19 05:09PM CST	 E14 	2011-12-19 06:46PM PST	2011-12-19 06:50PM PST	 64 
wunderground	UA-1534-IAH-LAX	2011-12-19 05:05PM CST	2011-12-19 05:09PM CST	 E14 	2011-12-19 06:46PM PST	2011-12-19 06:50PM PST	 64 
flights	UA-1534-IAH-LAX	05:05 PM  Mon 19-Dec-2011		14	06:56 PM  Mon 19-Dec-2011		64
businesstravellogue	UA-1534-IAH-LAX	05:05 PM  Mon 19-Dec-2011		14	06:56 PM  Mon 19-Dec-2011		64
flylouisville	UA-1534-IAH-LAX	05:05 PM  Mon 19-Dec-2011		14	06:56 PM  Mon 19-Dec-2011		64
world-flight-tracker	UA-1534-IAH-LAX	2011-12-19 5:05 PM	2011-12-19 5:09 PM		2011-12-19 6:56 PM	2011-12-19 6:34 PM (Estimated)	
flightview	UA-1534-IAH-LAX	5:05 PM, Dec 19		Term C - E14	6:56 PM, Dec 19		Term 6 - 64
panynj	UA-1534-IAH-LAX	5:05 PM, Dec 19		Term C - E14	6:56 PM, Dec 19		Term 6 - 64
gofox	UA-1534-IAH-LAX	5:05 PM, Dec 19			6:56 PM, Dec 19		
foxbusiness	UA-1534-IAH-LAX	5:05 PM, Dec 19		Term C - E14	6:56 PM, Dec 19		Term 6 - 64
allegiantair	UA-1534-IAH-LAX	5:05 PM, Dec 19		Term C - E14	6:56 PM, Dec 19		Term 6 - 64
boston	UA-1534-IAH-LAX	5:05 PM, Dec 19	5:05 PM, Dec 19&nbsp(Estimated)		6:56 PM, Dec 19	6:10 PM, Dec 19&nbsp(Estimated)	
travelocity	UA-1534-IAH-LAX	Dec 19 - 5:05pm	Dec 19 - Contact Airline	Not provided by airline	Dec 19 - 6:56pm	Dec 19 - Contact Airline	Not provided by airline
orbitz	UA-1534-IAH-LAX	5:05pDec 19	5:09pDec 19	 E14	7:04pDec 19		 64
weather	UA-1534-IAH-LAX	2011-12-19 05:05 PM			2011-12-19 06:56 PM		
usatoday	UA-1534-IAH-LAX	2011-12-19 05:05 PM			2011-12-19 06:56 PM		
flightarrival	UA-1534-IAH-LAX	5:05 PM, Dec 19	5:05 PM, Dec 19&nbsp(Estimated)		6:56 PM, Dec 19	6:10 PM, Dec 19&nbsp(Estimated)	
ua	UA-1220-EWR-DFW	Mon, Dec 19 4:29 PM	Mon, Dec 19 5:14 PM            Delayed	C112	Mon, Dec 19 7:37 PM	Mon, Dec 19 8:41 PM	E10
flightexplorer	UA-1220-EWR-DFW		12/19/2011 5:51PM EST			12/19/2011 8:36PM CST	
airtravelcenter	UA-1220-EWR-DFW	12/19/11 4:29 PM (-05:00)			12/19/11 7:37 PM (-06:00)		
myrateplan	UA-1220-EWR-DFW	12/19/11 4:29 PM (-05:00)			12/19/11 7:37 PM (-06:00)		
helloflight	UA-1220-EWR-DFW	12/19/11 4:29 PM (-05:00)			12/19/11 7:37 PM (-06:00)		
flytecomm	UA-1220-EWR-DFW	12/19/11 4:29 PM (-05:00)			12/19/11 7:37 PM (-06:00)		
flightaware	UA-1220-EWR-DFW	2011-12-19 04:29PM EST	2011-12-19 05:53PM EST	 112 	2011-12-19 07:27PM CST	2011-12-19 08:33PM CST	 E10 
wunderground	UA-1220-EWR-DFW	2011-12-19 04:29PM EST	2011-12-19 05:53PM EST	 112 	2011-12-19 07:27PM CST	2011-12-19 08:33PM CST	 E10 
flights	UA-1220-EWR-DFW		2011-12-19 05:14 PM	112		2011-12-19 07:37 PM	E10
businesstravellogue	UA-1220-EWR-DFW		2011-12-19 05:14 PM	112		2011-12-19 07:37 PM	E10
flylouisville	UA-1220-EWR-DFW		2011-12-19 05:14 PM	112		2011-12-19 07:37 PM	E10
flightstats	UA-1220-EWR-DFW	2011-12-19 4:29 PM	2011-12-19 5:14 PM		2011-12-19 7:37 PM	2011-12-19 8:33 PM (runway)	
quicktrip	UA-1220-EWR-DFW	2011-12-19 4:29 PM	2011-12-19 5:14 PM		2011-12-19 7:37 PM	2011-12-19 8:33 PM (runway)	
flightview	UA-1220-EWR-DFW		5:53 PMDec 19			8:33 PMDec 19	
panynj	UA-1220-EWR-DFW		5:53 PMDec 19			8:33 PMDec 19	
gofox	UA-1220-EWR-DFW		5:53 PMDec 19			8:33 PMDec 19	
foxbusiness	UA-1220-EWR-DFW		5:53 PMDec 19			8:33 PMDec 19	
allegiantair	UA-1220-EWR-DFW		5:53 PMDec 19			8:33 PMDec 19	
boston	UA-1220-EWR-DFW		5:53 PMDec 19			8:33 PMDec 19	
orbitz	UA-1220-EWR-DFW	4:29pDec 19	5:14pDec 19	 112	9:41pDec 19		 E10
usatoday	UA-1220-EWR-DFW		5:53 PMDec 19			8:33 PMDec 19	
flightwise	UA-1220-EWR-DFW	2011-12-19 04:29PM EST	2011-12-19 05:53PM EST	 112 	2011-12-19 07:27PM CST	2011-12-19 08:33PM CST	 E10 
flightarrival	UA-1220-EWR-DFW		5:53 PMDec 19			8:33 PMDec 19	
CO	CO-1144-FLL-EWR	Mon., Dec.19, 2011 4:00 p.m.	Mon., Dec.19, 2011 4:03 p.m.		Mon., Dec.19, 2011 7:13 p.m.	Mon., Dec.19, 2011 7:22 p.m.	
airtravelcenter	CO-1144-FLL-EWR	12/19/11 4:00 PM (-05:00)			12/19/11 7:13 PM (-05:00)		
myrateplan	CO-1144-FLL-EWR	12/19/11 4:00 PM (-05:00)			12/19/11 7:13 PM (-05:00)		
helloflight	CO-1144-FLL-EWR	12/19/11 4:00 PM (-05:00)			12/19/11 7:13 PM (-05:00)		
flytecomm	CO-1144-FLL-EWR	12/19/11 4:00 PM (-05:00)			12/19/11 7:13 PM (-05:00)		
flightaware	CO-1144-FLL-EWR	2011-12-19 04:00PM EST	2011-12-19 04:29PM EST	 C1 	2011-12-19 06:55PM EST	2011-12-19 07:11PM EST	 134 
wunderground	CO-1144-FLL-EWR	2011-12-19 04:00PM EST	2011-12-19 04:29PM EST	 C1 	2011-12-19 06:55PM EST	2011-12-19 07:11PM EST	 134 
flights	CO-1144-FLL-EWR		2011-12-19 04:03 PM	C1		2011-12-19 07:22 PM	134
businesstravellogue	CO-1144-FLL-EWR		2011-12-19 04:03 PM	C1		2011-12-19 07:22 PM	134
flylouisville	CO-1144-FLL-EWR		2011-12-19 04:03 PM	C1		2011-12-19 07:22 PM	134
flightstats	CO-1144-FLL-EWR	2011-12-19 4:00 PM	2011-12-19 4:03 PM		2011-12-19 7:13 PM	2011-12-19 7:22 PM	
quicktrip	CO-1144-FLL-EWR	2011-12-19 4:00 PM	2011-12-19 4:03 PM		2011-12-19 7:13 PM	2011-12-19 7:22 PM	
flightview	CO-1144-FLL-EWR		4:29 PMDec 19			7:22 PMDec 19	
panynj	CO-1144-FLL-EWR		4:29 PMDec 19			7:22 PMDec 19	
gofox	CO-1144-FLL-EWR		4:29 PMDec 19			7:22 PMDec 19	
foxbusiness	CO-1144-FLL-EWR		4:29 PMDec 19			7:22 PMDec 19	
allegiantair	CO-1144-FLL-EWR		4:29 PMDec 19			7:22 PMDec 19	
boston	CO-1144-FLL-EWR		4:29 PMDec 19			7:11 PMDec 19	
orbitz	CO-1144-FLL-EWR	4:00pDec 19	4:03pDec 19	 C1	7:13pDec 19	7:22pDec 19	 134
ifly	CO-1144-FLL-EWR	2011-12-19 4:00 PM	2011-12-19 4:03 PM		2011-12-19 7:13 PM	2011-12-19 7:22 PM	
flightwise	CO-1144-FLL-EWR	2011-12-19 04:00PM EST	2011-12-19 04:29PM EST	 C1 	2011-12-19 06:55PM EST	2011-12-19 07:11PM EST	 134 
flightarrival	CO-1144-FLL-EWR		4:29 PMDec 19			7:11 PMDec 19	
ua	UA-432-ORD-CLT	Mon, Dec 19 1:15 PM	Mon, Dec 19 1:36 PM            Delayed	C19	Mon, Dec 19 4:08 PM	Mon, Dec 19 4:17 PM	HOLD
flightexplorer	UA-432-ORD-CLT		12/19/2011 1:51PM CST			12/19/2011 4:12PM EST	
airtravelcenter	UA-432-ORD-CLT		12/19/11 1:53 PM (-06:00)			12/19/11 4:12 PM (-05:00)	
myrateplan	UA-432-ORD-CLT		12/19/11 1:53 PM (-06:00)			12/19/11 4:12 PM (-05:00)	
helloflight	UA-432-ORD-CLT		12/19/11 1:53 PM (-06:00)			12/19/11 4:12 PM (-05:00)	
flytecomm	UA-432-ORD-CLT		12/19/11 1:53 PM (-06:00)			12/19/11 4:12 PM (-05:00)	
flightaware	UA-432-ORD-CLT	2011-12-19 01:15PM CST	2011-12-19 01:53PM CST	 C19 	2011-12-19 03:52PM EST	2011-12-19 04:09PM EST	
wunderground	UA-432-ORD-CLT	2011-12-19 01:15PM CST	2011-12-19 01:53PM CST	 C19 	2011-12-19 03:52PM EST	2011-12-19 04:09PM EST	
flights	UA-432-ORD-CLT		2011-12-19 01:36 PM	C19		2011-12-19 04:17 PM	
businesstravellogue	UA-432-ORD-CLT		2011-12-19 01:36 PM	C19		2011-12-19 04:17 PM	
flylouisville	UA-432-ORD-CLT		2011-12-19 01:36 PM	C19		2011-12-19 04:17 PM	
flightstats	UA-432-ORD-CLT	2011-12-19 1:15 PM	2011-12-19 1:36 PM		2011-12-19 4:08 PM	2011-12-19 4:17 PM	
quicktrip	UA-432-ORD-CLT	2011-12-19 1:15 PM	2011-12-19 1:36 PM		2011-12-19 4:08 PM	2011-12-19 4:17 PM	
flightview	UA-432-ORD-CLT		1:53 PMDec 19			4:17 PMDec 19	
panynj	UA-432-ORD-CLT		1:53 PMDec 19			4:17 PMDec 19	
gofox	UA-432-ORD-CLT		1:53 PMDec 19			4:17 PMDec 19	
foxbusiness	UA-432-ORD-CLT		1:53 PMDec 19			4:17 PMDec 19	
allegiantair	UA-432-ORD-CLT		1:53 PMDec 19			4:17 PMDec 19	
boston	UA-432-ORD-CLT		1:53 PMDec 19			4:11 PMDec 19	
orbitz	UA-432-ORD-CLT	1:15pDec 19	1:36pDec 19	 C19	4:08pDec 19	4:17pDec 19	 -
ord	UA-432-ORD-CLT	2011-12-19 1:15 PM		C19	2011-12-19 4:08 PM		 
ifly	UA-432-ORD-CLT	2011-12-19 1:15 PM	2011-12-19 1:36 PM		2011-12-19 4:08 PM	2011-12-19 4:17 PM	
aa	AA-2493-DFW-LAX	December 19, 2011               09:35 PM    	December 19, 2011               09:54 PM    	 C30	December 19, 2011               11:00 PM    	December 19, 2011     	 47A    
flightexplorer	AA-2493-DFW-LAX		12/19/2011 10:08PM CST			12/19/2011 10:49PM PST	
airtravelcenter	AA-2493-DFW-LAX		12/19/11 10:07 PM (-06:00)			12/19/11 10:50 PM (-08:00)	
myrateplan	AA-2493-DFW-LAX		12/19/11 10:07 PM (-06:00)			12/19/11 10:50 PM (-08:00)	
helloflight	AA-2493-DFW-LAX		12/19/11 10:07 PM (-06:00)			12/19/11 10:50 PM (-08:00)	
flytecomm	AA-2493-DFW-LAX		12/19/11 10:07 PM (-06:00)			12/19/11 10:50 PM (-08:00)	
flightaware	AA-2493-DFW-LAX	2011-12-19 09:35PM CST	2011-12-19 10:08PM CST	 C30 	2011-12-19 10:38PM PST	2011-12-19 10:49PM PST	 47A 
wunderground	AA-2493-DFW-LAX	2011-12-19 09:35PM CST	2011-12-19 10:08PM CST	 C30 	2011-12-19 10:38PM PST	2011-12-19 10:49PM PST	 47A 
flights	AA-2493-DFW-LAX	09:35 PM  Mon 19-Dec-2011		C30	11:00 PM  Mon 19-Dec-2011		47A
businesstravellogue	AA-2493-DFW-LAX	09:35 PM  Mon 19-Dec-2011		C30	11:00 PM  Mon 19-Dec-2011		47A
flylouisville	AA-2493-DFW-LAX	09:35 PM  Mon 19-Dec-2011		C30	11:00 PM  Mon 19-Dec-2011		47A
flightstats	AA-2493-DFW-LAX	2011-12-19 9:35 PM	2011-12-19 9:54 PM		2011-12-19 11:00 PM	2011-12-19 11:07 PM (Estimated)	
quicktrip	AA-2493-DFW-LAX	2011-12-19 9:35 PM	2011-12-19 9:54 PM		2011-12-19 11:00 PM	2011-12-19 11:07 PM (Estimated)	
world-flight-tracker	AA-2493-DFW-LAX	2011-12-19 9:35 PM	2011-12-19 9:54 PM		2011-12-19 11:00 PM	2011-12-19 11:07 PM (Estimated)	
flightview	AA-2493-DFW-LAX	9:35 PM, Dec 19	10:08 PM, Dec 19		11:00 PM, Dec 19		
