aa	AA-1007-TPA-MIA	12/02/2011 01:55 PM	12/02/2011 02:13 PM	F78	12/02/2011 03:00 PM	12/02/2011 03:05 PM	D5
orbitz	AA-954-TGU-MIA	2:35pDec 2	2:27pDec 2	 02	5:50pDec 2	5:45pDec 2	 D44
flightarrival	AA-954-TGU-MIA	2:35 PM, Dec 02	2:48 PM, Dec 02		5:50 PM, Dec 02	5:38 PM, Dec 02	
ua	UA-4279-IND-IAH	Fri, Dec 2 2:15 PM	Fri, Dec 2 2:15 PM            On Time	A17	Fri, Dec 2 3:50 PM	Fri, Dec 2 3:46 PM	B66
airtravelcenter	UA-4279-IND-IAH	12/2/11 2:15 PM (-05:00)			12/2/11 3:50 PM (-06:00)		
myrateplan	UA-4279-IND-IAH	12/2/11 2:15 PM (-05:00)			12/2/11 3:50 PM (-06:00)		
helloflight	UA-4279-IND-IAH	12/2/11 2:15 PM (-05:00)			12/2/11 3:50 PM (-06:00)		
flytecomm	UA-4279-IND-IAH	12/2/11 2:15 PM (-05:00)			12/2/11 3:50 PM (-06:00)		
flights	UA-4279-IND-IAH		2011-12-02 02:15 PM	A17		2011-12-02 03:46 PM	66
businesstravellogue	UA-4279-IND-IAH		2011-12-02 02:15 PM	A17		2011-12-02 03:46 PM	66
flylouisville	UA-4279-IND-IAH		2011-12-02 02:15 PM	A17		2011-12-02 03:46 PM	66
flightview	UA-4279-IND-IAH		2:27 PMDec 02			3:46 PMDec 02	
panynj	UA-4279-IND-IAH		2:27 PMDec 02			3:46 PMDec 02	
gofox	UA-4279-IND-IAH		2:27 PMDec 02			3:46 PMDec 02	
foxbusiness	UA-4279-IND-IAH		2:27 PMDec 02			3:46 PMDec 02	
allegiantair	UA-4279-IND-IAH		2:27 PMDec 02			3:46 PMDec 02	
boston	UA-4279-IND-IAH		2:27 PMDec 02			3:40 PMDec 02	
orbitz	UA-4279-IND-IAH	2:15pDec 2	2:15pDec 2	 -	3:50pDec 2	3:46pDec 2	 -
mytripandmore	UA-4279-IND-IAH	2:15pDec 2	2:15pDec 2	 -	3:50pDec 2	3:46pDec 2	 -
flightarrival	UA-4279-IND-IAH		2:27 PMDec 02			3:40 PMDec 02	
ua	UA-537-LIH-LAX	Fri, Dec 2 9:31 PM	Fri, Dec 2 9:31 PM	10	Sat, Dec 3 4:55 AM	Sat, Dec 3 4:55 AM	70B
flightexplorer	UA-537-LIH-LAX		12/1/2011 9:35PM HST			12/2/2011 4:26AM PST	
flightexplorer	UA-537-LIH-LAX	12/2/2011 9:31PM HST			12/3/2011 4:55AM PST		
airtravelcenter	UA-537-LIH-LAX		12/2/11 9:41 PM (-10:00)			12/3/11 4:40 AM (-08:00)	
myrateplan	UA-537-LIH-LAX		12/2/11 9:41 PM (-10:00)			12/3/11 4:40 AM (-08:00)	
helloflight	UA-537-LIH-LAX		12/2/11 9:41 PM (-10:00)			12/3/11 4:40 AM (-08:00)	
flytecomm	UA-537-LIH-LAX		12/2/11 9:41 PM (-10:00)			12/3/11 4:40 AM (-08:00)	
flights	UA-537-LIH-LAX	09:31 PM  Fri 02-Dec-2011			04:55 AM  Sat 03-Dec-2011		
businesstravellogue	UA-537-LIH-LAX	09:31 PM  Fri 02-Dec-2011			04:55 AM  Sat 03-Dec-2011		
flylouisville	UA-537-LIH-LAX	09:31 PM  Fri 02-Dec-2011			04:55 AM  Sat 03-Dec-2011		
world-flight-tracker	UA-537-LIH-LAX	2011-12-02 9:31 PM	2011-12-02 9:41 PM (Estimated runway)		2011-12-02 4:55 AM	2011-12-02 4:40 AM (Estimated runway)	
flightview	UA-537-LIH-LAX	9:31 PM, Dec 02		10	4:55 AM, Dec 03		70B
panynj	UA-537-LIH-LAX	9:31 PM, Dec 02		10	4:55 AM, Dec 03		70B
gofox	UA-537-LIH-LAX	9:31 PM, Dec 02			4:55 AM, Dec 03		
foxbusiness	UA-537-LIH-LAX	9:31 PM, Dec 02		10	4:55 AM, Dec 03		70B
allegiantair	UA-537-LIH-LAX	9:31 PM, Dec 02		10	4:55 AM, Dec 03		70B
boston	UA-537-LIH-LAX	9:31 PM, Dec 02	Not Available		4:55 AM, Dec 03	Not Available	
travelocity	UA-537-LIH-LAX	Dec 02 - 9:31pm	Dec 02 - Not Available	10	Dec 02 - 4:55am	Dec 02 - Not Available	70B
orbitz	UA-537-LIH-LAX	9:31pDec 2		 10	4:55aDec 3		 70B
flightarrival	UA-537-LIH-LAX	9:31 PM, Dec 02	Not Available		4:55 AM, Dec 03	Not Available	
CO	CO-1087-IAH-BOS	Fri., Dec.02, 2011 12:55 p.m.	Fri., Dec.02, 2011 1:02 p.m.		Fri., Dec.02, 2011 5:38 p.m.	Fri., Dec.02, 2011 5:42 p.m.	
flightexplorer	CO-1087-IAH-BOS		12/2/2011 1:04PM CST			12/2/2011 5:31PM EST	
airtravelcenter	CO-1087-IAH-BOS	12/2/11 12:55 PM (-06:00)			12/2/11 5:38 PM (-05:00)		
myrateplan	CO-1087-IAH-BOS	12/2/11 12:55 PM (-06:00)			12/2/11 5:38 PM (-05:00)		
helloflight	CO-1087-IAH-BOS	12/2/11 12:55 PM (-06:00)			12/2/11 5:38 PM (-05:00)		
flytecomm	CO-1087-IAH-BOS	12/2/11 12:55 PM (-06:00)			12/2/11 5:38 PM (-05:00)		
flightaware	CO-1087-IAH-BOS	2011-12-02 12:55PM CST	2011-12-02 01:04PM CST	 E1 	2011-12-02 04:58PM EST	2011-12-02 05:28PM EST	 A8 
wunderground	CO-1087-IAH-BOS	2011-12-02 12:55PM CST	2011-12-02 01:04PM CST	 E1 	2011-12-02 04:58PM EST	2011-12-02 05:28PM EST	 A8 
flights	CO-1087-IAH-BOS		2011-12-02 01:02 PM	1		2011-12-02 05:42 PM	A8
businesstravellogue	CO-1087-IAH-BOS		2011-12-02 01:02 PM	1		2011-12-02 05:42 PM	A8
flylouisville	CO-1087-IAH-BOS		2011-12-02 01:02 PM	1		2011-12-02 05:42 PM	A8
flightstats	CO-1087-IAH-BOS	2011-12-02 12:55 PM	2011-12-02 1:02 PM		2011-12-02 5:38 PM	2011-12-02 5:42 PM	
quicktrip	CO-1087-IAH-BOS	2011-12-02 12:55 PM	2011-12-02 1:02 PM		2011-12-02 5:38 PM	2011-12-02 5:42 PM	
flightview	CO-1087-IAH-BOS		1:04 PMDec 02			5:42 PMDec 02	
panynj	CO-1087-IAH-BOS		1:04 PMDec 02			5:42 PMDec 02	
gofox	CO-1087-IAH-BOS		1:04 PMDec 02			5:42 PMDec 02	
foxbusiness	CO-1087-IAH-BOS		1:04 PMDec 02			5:42 PMDec 02	
allegiantair	CO-1087-IAH-BOS		1:04 PMDec 02			5:42 PMDec 02	
boston	CO-1087-IAH-BOS		1:04 PMDec 02			5:29 PMDec 02	
orbitz	CO-1087-IAH-BOS	12:55pDec 2	1:02pDec 2	 E1	5:38pDec 2	5:42pDec 2	 A8
ifly	CO-1087-IAH-BOS	2011-12-02 12:55 PM	2011-12-02 1:02 PM		2011-12-02 5:38 PM	2011-12-02 5:42 PM	
usatoday	CO-1087-IAH-BOS		1:04 PMDec 02			5:29 PMDec 02	
mytripandmore	CO-1087-IAH-BOS	12:55pDec 2	1:02pDec 2	 E1	5:38pDec 2	5:42pDec 2	 A8
flightarrival	CO-1087-IAH-BOS		1:04 PMDec 02			5:29 PMDec 02	
ua	UA-2906-PHL-MCO	Fri, Dec 2 3:50 PM	Fri, Dec 2 3:50 PM            Delayed	B13	Fri, Dec 2 6:23 PM	Fri, Dec 2 6:18 PM	58
airtravelcenter	UA-2906-PHL-MCO		12/2/11 3:58 PM (-05:00)			12/2/11 5:49 PM (-05:00)	
myrateplan	UA-2906-PHL-MCO		12/2/11 3:58 PM (-05:00)			12/2/11 5:49 PM (-05:00)	
helloflight	UA-2906-PHL-MCO		12/2/11 3:58 PM (-05:00)			12/2/11 5:49 PM (-05:00)	
flytecomm	UA-2906-PHL-MCO		12/2/11 3:58 PM (-05:00)			12/2/11 5:49 PM (-05:00)	
flightaware	UA-2906-PHL-MCO	2011-12-02 03:50PM EST	2011-12-02 03:58PM EST		2011-12-02 06:13PM EST	2011-12-02 05:59PM EST	
wunderground	UA-2906-PHL-MCO	2011-12-02 03:50PM EST	2011-12-02 03:58PM EST		2011-12-02 06:13PM EST	2011-12-02 05:59PM EST	
flights	UA-2906-PHL-MCO	03:50 PM  Fri 02-Dec-2011	03:46 PM  Fri 02-Dec-2011	B13	06:23 PM  Fri 02-Dec-2011	06:18 PM  Fri 02-Dec-2011	58
businesstravellogue	UA-2906-PHL-MCO	03:50 PM  Fri 02-Dec-2011	03:46 PM  Fri 02-Dec-2011	B13	06:23 PM  Fri 02-Dec-2011	06:18 PM  Fri 02-Dec-2011	58
flylouisville	UA-2906-PHL-MCO	03:50 PM  Fri 02-Dec-2011	03:46 PM  Fri 02-Dec-2011	B13	06:23 PM  Fri 02-Dec-2011	06:18 PM  Fri 02-Dec-2011	58
flightstats	UA-2906-PHL-MCO	2011-12-02 3:50 PM	2011-12-02 3:46 PM		2011-12-02 6:23 PM	2011-12-02 6:18 PM	
quicktrip	UA-2906-PHL-MCO	2011-12-02 3:50 PM	2011-12-02 3:46 PM		2011-12-02 6:23 PM	2011-12-02 6:18 PM	
world-flight-tracker	UA-2906-PHL-MCO	2011-12-02 3:50 PM	2011-12-02 3:46 PM		2011-12-02 6:23 PM	2011-12-02 6:18 PM	
flightview	UA-2906-PHL-MCO	3:50 PM, Dec 02	3:59 PM, Dec 02	B13	6:23 PM, Dec 02	6:00 PM, Dec 02	58
panynj	UA-2906-PHL-MCO	3:50 PM, Dec 02	3:59 PM, Dec 02	B13	6:23 PM, Dec 02	6:00 PM, Dec 02	58
gofox	UA-2906-PHL-MCO	3:50 PM, Dec 02	3:59 PM, Dec 02		6:23 PM, Dec 02	6:00 PM, Dec 02	
foxbusiness	UA-2906-PHL-MCO	3:50 PM, Dec 02	3:59 PM, Dec 02	B13	6:23 PM, Dec 02	6:00 PM, Dec 02	58
allegiantair	UA-2906-PHL-MCO	3:50 PM, Dec 02	3:59 PM, Dec 02	B13	6:23 PM, Dec 02	6:00 PM, Dec 02	58
boston	UA-2906-PHL-MCO	3:50 PM, Dec 02	3:59 PM, Dec 02		6:23 PM, Dec 02	6:01 PM, Dec 02	
travelocity	UA-2906-PHL-MCO	Dec 02 - 3:50pm	Dec 02 - Contact Airline	Not provided by airline	Dec 02 - 6:23pm	Dec 02 - Contact Airline	Not provided by airline
orbitz	UA-2906-PHL-MCO	3:50pDec 2	3:46pDec 2	 -	6:23pDec 2	6:18pDec 2	 -
weather	UA-2906-PHL-MCO	2011-12-02 03:50 PM			2011-12-02 06:23 PM		
flightwise	UA-2906-PHL-MCO	2011-12-02 03:50PM EST	2011-12-02 03:58PM EST		2011-12-02 06:13PM EST	2011-12-02 05:59PM EST	
flightarrival	UA-2906-PHL-MCO	2011-12-02 03:50 PM			2011-12-02 06:23 PM		
aa	AA-2111-MIA-LIM	12/02/2011 06:30 PM	12/02/2011 07:45 PM	D50	12/03/2011 12:05 AM		
airtravelcenter	AA-2111-MIA-LIM		12/2/11 7:46 PM (-05:00)			12/3/11 12:52 AM (-05:00)	
myrateplan	AA-2111-MIA-LIM		12/2/11 7:46 PM (-05:00)			12/3/11 12:52 AM (-05:00)	
helloflight	AA-2111-MIA-LIM		12/2/11 7:46 PM (-05:00)			12/3/11 12:52 AM (-05:00)	
flytecomm	AA-2111-MIA-LIM		12/2/11 7:46 PM (-05:00)			12/3/11 12:52 AM (-05:00)	
flights	AA-2111-MIA-LIM	06:30 PM  Fri 02-Dec-2011			12:05 AM  Sat 03-Dec-2011		
businesstravellogue	AA-2111-MIA-LIM	06:30 PM  Fri 02-Dec-2011			12:05 AM  Sat 03-Dec-2011		
flylouisville	AA-2111-MIA-LIM	06:30 PM  Fri 02-Dec-2011			12:05 AM  Sat 03-Dec-2011		
flightview	AA-2111-MIA-LIM	6:30 PM, Dec 02	7:46 PM, Dec 02		12:05 AM, Dec 03		
panynj	AA-2111-MIA-LIM	6:30 PM, Dec 02	7:46 PM, Dec 02		12:05 AM, Dec 03		
gofox	AA-2111-MIA-LIM	6:30 PM, Dec 02	7:46 PM, Dec 02		12:05 AM, Dec 03		
foxbusiness	AA-2111-MIA-LIM	6:30 PM, Dec 02	7:46 PM, Dec 02		12:05 AM, Dec 03		
allegiantair	AA-2111-MIA-LIM	6:30 PM, Dec 02	7:46 PM, Dec 02		12:05 AM, Dec 03		
boston	AA-2111-MIA-LIM	6:30 PM, Dec 02	7:46 PM, Dec 02		12:05 AM, Dec 03	12:52 AM, Dec 03&nbsp(Estimated)	
travelocity	AA-2111-MIA-LIM	Dec 02 - 6:30pm	Dec 02 - 7:33pm	D50	Dec 03 - 12:05am	Dec 03 - 12:45am*	Not provided by airline
orbitz	AA-2111-MIA-LIM	7:40pDec 2	7:33pDec 2	 D50	1:25aDec 3		 -
weather	AA-2111-MIA-LIM	2011-12-02 06:30 PM			2011-12-02 12:05 AM		
flightarrival	AA-2111-MIA-LIM	2011-12-02 06:30 PM			2011-12-02 12:05 AM		
aa	AA-5093-CVG-ORD	12/02/2011 02:15 PM	12/02/2011 02:24 PM	5	12/02/2011 02:45 PM	12/02/2011 02:24 PM	L2B
flightexplorer	AA-5093-CVG-ORD		12/2/2011 2:24PM EST			12/2/2011 2:17PM CST	
airtravelcenter	AA-5093-CVG-ORD		12/2/11 2:23 PM (-05:00)			12/2/11 2:17 PM (-06:00)	
myrateplan	AA-5093-CVG-ORD		12/2/11 2:23 PM (-05:00)			12/2/11 2:17 PM (-06:00)	
helloflight	AA-5093-CVG-ORD		12/2/11 2:23 PM (-05:00)			12/2/11 2:17 PM (-06:00)	
flytecomm	AA-5093-CVG-ORD		12/2/11 2:23 PM (-05:00)			12/2/11 2:17 PM (-06:00)	
flightaware	AA-5093-CVG-ORD	2011-12-02 02:15PM EST	2011-12-02 02:24PM EST	 5 	2011-12-02 02:35PM CST	2011-12-02 02:17PM CST	 L2B 
flightaware	AA-5093-CVG-ORD	2011-12-02 02:15PM EST	2011-12-02 02:24PM EST	 5 	2011-12-02 02:35PM CST	2011-12-02 02:17PM CST	 L2B 
wunderground	AA-5093-CVG-ORD	2011-12-02 02:15PM EST	2011-12-02 02:24PM EST	 5 	2011-12-02 02:35PM CST	2011-12-02 02:17PM CST	 L2B 
wunderground	AA-5093-CVG-ORD	2011-12-02 02:15PM EST	2011-12-02 02:24PM EST	 5 	2011-12-02 02:35PM CST	2011-12-02 02:17PM CST	 L2B 
flights	AA-5093-CVG-ORD		2011-12-02 02:24 PM	5		2011-12-02 02:24 PM	L2B
businesstravellogue	AA-5093-CVG-ORD		2011-12-02 02:24 PM	5		2011-12-02 02:24 PM	L2B
flylouisville	AA-5093-CVG-ORD		2011-12-02 02:24 PM	5		2011-12-02 02:24 PM	L2B
flightstats	AA-5093-CVG-ORD	2011-12-02 2:15 PM	2011-12-02 2:24 PM		2011-12-02 2:45 PM	2011-12-02 2:24 PM	
quicktrip	AA-5093-CVG-ORD	2011-12-02 2:15 PM	2011-12-02 2:24 PM		2011-12-02 2:45 PM	2011-12-02 2:24 PM	
flightview	AA-5093-CVG-ORD		2:24 PMDec 02			2:19 PMDec 02	
panynj	AA-5093-CVG-ORD		2:24 PMDec 02			2:19 PMDec 02	
gofox	AA-5093-CVG-ORD		2:24 PMDec 02			2:19 PMDec 02	
foxbusiness	AA-5093-CVG-ORD		2:24 PMDec 02			2:19 PMDec 02	
allegiantair	AA-5093-CVG-ORD		2:24 PMDec 02			2:19 PMDec 02	
boston	AA-5093-CVG-ORD		2:24 PMDec 02			2:19 PMDec 02	
orbitz	AA-5093-CVG-ORD	2:15pDec 2	2:12pDec 2	 5	2:45pDec 2	2:24pDec 2	 L2B
ord	AA-5093-CVG-ORD	2011-12-02 2:15 PM		5	2011-12-02 2:45 PM		L2B
usatoday	AA-5093-CVG-ORD		2:24 PMDec 02			2:19 PMDec 02	
flightwise	AA-5093-CVG-ORD	2011-12-02 02:15PM EST	2011-12-02 02:24PM EST	 5 	2011-12-02 02:35PM CST	2011-12-02 02:17PM CST	 L2B 
ua	UA-2830-MCO-CLT	Fri, Dec 2 3:27 PM	Fri, Dec 2 3:27 PM	57	Fri, Dec 2 5:05 PM	Fri, Dec 2 4:59 PM	C12
airtravelcenter	UA-2830-MCO-CLT		12/2/11 3:38 PM (-05:00)			12/2/11 4:55 PM (-05:00)	
myrateplan	UA-2830-MCO-CLT		12/2/11 3:38 PM (-05:00)			12/2/11 4:55 PM (-05:00)	
helloflight	UA-2830-MCO-CLT		12/2/11 3:38 PM (-05:00)			12/2/11 4:55 PM (-05:00)	
flytecomm	UA-2830-MCO-CLT		12/2/11 3:38 PM (-05:00)			12/2/11 4:55 PM (-05:00)	
flights	UA-2830-MCO-CLT	03:27 PM  Fri 02-Dec-2011	03:23 PM  Fri 02-Dec-2011	57	05:05 PM  Fri 02-Dec-2011	04:59 PM  Fri 02-Dec-2011	C12
businesstravellogue	UA-2830-MCO-CLT	03:27 PM  Fri 02-Dec-2011	03:23 PM  Fri 02-Dec-2011	57	05:05 PM  Fri 02-Dec-2011	04:59 PM  Fri 02-Dec-2011	C12
flylouisville	UA-2830-MCO-CLT	03:27 PM  Fri 02-Dec-2011	03:23 PM  Fri 02-Dec-2011	57	05:05 PM  Fri 02-Dec-2011	04:59 PM  Fri 02-Dec-2011	C12
flightstats	UA-2830-MCO-CLT	2011-12-02 3:27 PM	2011-12-02 3:23 PM		2011-12-02 5:05 PM	2011-12-02 4:59 PM	
quicktrip	UA-2830-MCO-CLT	2011-12-02 3:27 PM	2011-12-02 3:23 PM		2011-12-02 5:05 PM	2011-12-02 4:59 PM	
world-flight-tracker	UA-2830-MCO-CLT	2011-12-02 3:27 PM	2011-12-02 3:23 PM		2011-12-02 5:05 PM	2011-12-02 4:59 PM	
flightview	UA-2830-MCO-CLT	3:27 PM, Dec 02	3:38 PM, Dec 02		5:05 PM, Dec 02	4:56 PM, Dec 02	
panynj	UA-2830-MCO-CLT	3:27 PM, Dec 02	3:38 PM, Dec 02		5:05 PM, Dec 02	4:56 PM, Dec 02	
gofox	UA-2830-MCO-CLT	3:27 PM, Dec 02	3:38 PM, Dec 02		5:05 PM, Dec 02	4:56 PM, Dec 02	
foxbusiness	UA-2830-MCO-CLT	3:27 PM, Dec 02	3:38 PM, Dec 02		5:05 PM, Dec 02	4:56 PM, Dec 02	
allegiantair	UA-2830-MCO-CLT	3:27 PM, Dec 02	3:38 PM, Dec 02		5:05 PM, Dec 02	4:56 PM, Dec 02	
boston	UA-2830-MCO-CLT	3:27 PM, Dec 02	3:38 PM, Dec 02		5:05 PM, Dec 02	4:56 PM, Dec 02	
travelocity	UA-2830-MCO-CLT	Dec 02 - 3:27pm	Dec 02 - Contact Airline	Not provided by airline	Dec 02 - 5:05pm	Dec 02 - Contact Airline	Not provided by airline
orbitz	UA-2830-MCO-CLT	3:27pDec 2	3:23pDec 2	 -	5:05pDec 2	4:59pDec 2	 -
weather	UA-2830-MCO-CLT	2011-12-02 03:27 PM			2011-12-02 05:05 PM		
usatoday	UA-2830-MCO-CLT	2011-12-02 3:27 PM	2011-12-02 3:23 PM		2011-12-02 5:05 PM	2011-12-02 4:59 PM	
mytripandmore	UA-2830-MCO-CLT	Dec 02 - 3:27pm	Dec 02 - Contact Airline	Not provided by airline	Dec 02 - 5:05pm	Dec 02 - Contact Airline	Not provided by airline
ua	UA-5403-AUS-SFO	Fri, Dec 2 1:50 PM	Fri, Dec 2 1:50 PM	21	Fri, Dec 2 3:51 PM	Fri, Dec 2 3:24 PM	79
airtravelcenter	UA-5403-AUS-SFO	12/2/11 1:50 PM (-06:00)			12/2/11 3:51 PM (-08:00)		
myrateplan	UA-5403-AUS-SFO	12/2/11 1:50 PM (-06:00)			12/2/11 3:51 PM (-08:00)		
helloflight	UA-5403-AUS-SFO	12/2/11 1:50 PM (-06:00)			12/2/11 3:51 PM (-08:00)		
flytecomm	UA-5403-AUS-SFO	12/2/11 1:50 PM (-06:00)			12/2/11 3:51 PM (-08:00)		
flightaware	UA-5403-AUS-SFO	2011-12-02 01:50PM CST	2011-12-02 02:01PM CST	 21 	2011-12-02 03:08PM PST	2011-12-02 03:19PM PST	 79 
wunderground	UA-5403-AUS-SFO	2011-12-02 01:50PM CST	2011-12-02 02:01PM CST	 21 	2011-12-02 03:08PM PST	2011-12-02 03:19PM PST	 79 
flights	UA-5403-AUS-SFO	2011-12-02 01:50 PM		21	2011-12-02 03:51 PM		79
businesstravellogue	UA-5403-AUS-SFO	2011-12-02 01:50 PM		21	2011-12-02 03:51 PM		79
flylouisville	UA-5403-AUS-SFO	2011-12-02 01:50 PM		21	2011-12-02 03:51 PM		79
flightview	UA-5403-AUS-SFO	1:50 PMDec 02			3:24 PMDec 02		
panynj	UA-5403-AUS-SFO	1:50 PMDec 02			3:24 PMDec 02		
gofox	UA-5403-AUS-SFO	1:50 PMDec 02			3:24 PMDec 02		
foxbusiness	UA-5403-AUS-SFO	1:50 PMDec 02			3:24 PMDec 02		
allegiantair	UA-5403-AUS-SFO	1:50 PMDec 02			3:24 PMDec 02		
boston	UA-5403-AUS-SFO	1:50 PMDec 02			3:19 PMDec 02		
travelocity	UA-5403-AUS-SFO	Dec 02 - 1:50pm	Dec 02 - Not Available	21	Dec 02 - 3:51pm	Dec 02 - Not Available	79
orbitz	UA-5403-AUS-SFO	1:50pDec 2		 21	2:57pDec 2		 79
weather	UA-5403-AUS-SFO	2011-12-02 01:50 PM			2011-12-02 03:51 PM		
usatoday	UA-5403-AUS-SFO	2011-12-02 01:50 PM			2011-12-02 03:51 PM		
mytripandmore	UA-5403-AUS-SFO	1:50pDec 2		 21	2:57pDec 2		 79
flightarrival	UA-5403-AUS-SFO	2011-12-02 01:50 PM			2011-12-02 03:51 PM		
ua	UA-4373-ATL-EWR	Fri, Dec 2 9:39 AM	Fri, Dec 2 9:31 AM	D8	Fri, Dec 2 11:51 AM	Fri, Dec 2 11:58 AM	C107
airtravelcenter	UA-4373-ATL-EWR	12/2/11 9:39 AM (-05:00)			12/2/11 11:51 AM (-05:00)		
myrateplan	UA-4373-ATL-EWR	12/2/11 9:39 AM (-05:00)			12/2/11 11:51 AM (-05:00)		
helloflight	UA-4373-ATL-EWR	12/2/11 9:39 AM (-05:00)			12/2/11 11:51 AM (-05:00)		
flytecomm	UA-4373-ATL-EWR	12/2/11 9:39 AM (-05:00)			12/2/11 11:51 AM (-05:00)		
flights	UA-4373-ATL-EWR	09:39 AM  Fri 02-Dec-2011	09:31 AM  Fri 02-Dec-2011	D8	11:51 AM  Fri 02-Dec-2011	11:58 AM  Fri 02-Dec-2011	107
businesstravellogue	UA-4373-ATL-EWR	09:39 AM  Fri 02-Dec-2011	09:31 AM  Fri 02-Dec-2011	D8	11:51 AM  Fri 02-Dec-2011	11:58 AM  Fri 02-Dec-2011	107
flylouisville	UA-4373-ATL-EWR	09:39 AM  Fri 02-Dec-2011	09:31 AM  Fri 02-Dec-2011	D8	11:51 AM  Fri 02-Dec-2011	11:58 AM  Fri 02-Dec-2011	107
world-flight-tracker	UA-4373-ATL-EWR	2011-12-02 9:39 AM	2011-12-02 9:31 AM		2011-12-02 11:51 AM	2011-12-02 11:58 AM	
travelocity	UA-4373-ATL-EWR	Dec 02 - 9:39am	Dec 02 - Contact Airline	Not provided by airline	Dec 02 - 11:51am	Dec 02 - Contact Airline	Not provided by airline
orbitz	UA-4373-ATL-EWR	9:39aDec 2	9:31aDec 2	 -	11:51aDec 2	11:58aDec 2	 -
weather	UA-4373-ATL-EWR	2011-12-02 09:39 AM			2011-12-02 11:51 AM		
usatoday	UA-4373-ATL-EWR	2011-12-02 09:39 AM			2011-12-02 11:51 AM		
mytripandmore	UA-4373-ATL-EWR	Dec 02 - 9:39am	Dec 02 - Contact Airline	Not provided by airline	Dec 02 - 11:51am	Dec 02 - Contact Airline	Not provided by airline
aa	AA-1592-DFW-MCO	12/02/2011 12:40 PM	12/02/2011 01:01 PM	C6	12/02/2011 04:00 PM	12/02/2011 04:10 PM	16
flightexplorer	AA-1592-DFW-MCO		12/2/2011 1:02PM CST			12/2/2011 4:10PM EST	
airtravelcenter	AA-1592-DFW-MCO		12/2/11 1:02 PM (-06:00)			12/2/11 4:10 PM (-05:00)	
myrateplan	AA-1592-DFW-MCO		12/2/11 1:02 PM (-06:00)			12/2/11 4:10 PM (-05:00)	
helloflight	AA-1592-DFW-MCO		12/2/11 1:02 PM (-06:00)			12/2/11 4:10 PM (-05:00)	
flytecomm	AA-1592-DFW-MCO		12/2/11 1:02 PM (-06:00)			12/2/11 4:10 PM (-05:00)	
flightaware	AA-1592-DFW-MCO	2011-12-02 12:40PM CST	2011-12-02 01:01PM CST	 C6 	2011-12-02 03:41PM EST	2011-12-02 04:00PM EST	 16 
wunderground	AA-1592-DFW-MCO	2011-12-02 12:40PM CST	2011-12-02 01:01PM CST	 C6 	2011-12-02 03:41PM EST	2011-12-02 04:00PM EST	 16 
flights	AA-1592-DFW-MCO		2011-12-02 01:01 PM	C6		2011-12-02 04:10 PM	16
businesstravellogue	AA-1592-DFW-MCO		2011-12-02 01:01 PM	C6		2011-12-02 04:10 PM	16
flylouisville	AA-1592-DFW-MCO		2011-12-02 01:01 PM	C6		2011-12-02 04:10 PM	16
flightstats	AA-1592-DFW-MCO	2011-12-02 12:40 PM	2011-12-02 1:01 PM		2011-12-02 4:00 PM	2011-12-02 4:10 PM	
quicktrip	AA-1592-DFW-MCO	2011-12-02 12:40 PM	2011-12-02 1:01 PM		2011-12-02 4:00 PM	2011-12-02 4:10 PM	
flightview	AA-1592-DFW-MCO		1:02 PMDec 02			4:10 PMDec 02	
panynj	AA-1592-DFW-MCO		1:02 PMDec 02			4:10 PMDec 02	
gofox	AA-1592-DFW-MCO		1:02 PMDec 02			4:10 PMDec 02	
foxbusiness	AA-1592-DFW-MCO		1:02 PMDec 02			4:10 PMDec 02	
allegiantair	AA-1592-DFW-MCO		1:02 PMDec 02			4:10 PMDec 02	
boston	AA-1592-DFW-MCO		1:02 PMDec 02			4:06 PMDec 02	
orbitz	AA-1592-DFW-MCO	12:40pDec 2	12:41pDec 2	 C6	4:00pDec 2	4:10pDec 2	 16
dfw	AA-1592-DFW-MCO	2011-12-02 12:40 pm		C6			
mco	AA-1592-DFW-MCO				2011-12-02 Fri  16:00	2011-12-02 Fri  16:04	16?
ifly	AA-1592-DFW-MCO	2011-12-02 12:40 PM	2011-12-02 1:01 PM		2011-12-02 4:00 PM	2011-12-02 4:10 PM	
usatoday	AA-1592-DFW-MCO	2011-12-02 12:40 PM	2011-12-02 1:01 PM		2011-12-02 4:00 PM	2011-12-02 4:10 PM	
mytripandmore	AA-1592-DFW-MCO	12:40pDec 2	12:41pDec 2	 C6	4:00pDec 2	4:10pDec 2	 16
flightarrival	AA-1592-DFW-MCO	2011-12-02 12:40 PM	2011-12-02 1:01 PM		2011-12-02 4:00 PM	2011-12-02 4:10 PM	
CO	CO-1676-IAH-PHL	Fri., Dec.02, 2011 3:55 p.m.	Fri., Dec.02, 2011 3:59 p.m.		Fri., Dec.02, 2011 8:13 p.m.	Fri., Dec.02, 2011 8:08 p.m.	
airtravelcenter	CO-1676-IAH-PHL	12/2/11 3:55 PM (-06:00)			12/2/11 8:13 PM (-05:00)		
myrateplan	CO-1676-IAH-PHL	12/2/11 3:55 PM (-06:00)			12/2/11 8:13 PM (-05:00)		
helloflight	CO-1676-IAH-PHL	12/2/11 3:55 PM (-06:00)			12/2/11 8:13 PM (-05:00)		
flytecomm	CO-1676-IAH-PHL	12/2/11 3:55 PM (-06:00)			12/2/11 8:13 PM (-05:00)		
