CO	CO-4237-EWR-DTW	Thu., Dec.22, 2011 12:17 p.m.	Thu., Dec.22, 2011 12:16 p.m.		Thu., Dec.22, 2011 2:24 p.m.	Thu., Dec.22, 2011 2:20 p.m.	
airtravelcenter	CO-1711-EWR-CLT	12/22/11 6:00 PM (-05:00)			12/22/11 8:10 PM (-05:00)		
myrateplan	CO-1711-EWR-CLT	12/22/11 6:00 PM (-05:00)			12/22/11 8:10 PM (-05:00)		
helloflight	CO-1711-EWR-CLT	12/22/11 6:00 PM (-05:00)			12/22/11 8:10 PM (-05:00)		
flytecomm	CO-1711-EWR-CLT	12/22/11 6:00 PM (-05:00)			12/22/11 8:10 PM (-05:00)		
flightaware	CO-1711-EWR-CLT	2011-12-22 06:00PM EST	2011-12-22 06:10PM EST	 C86 	2011-12-22 07:50PM EST	2011-12-22 08:00PM EST	 A10 
wunderground	CO-1711-EWR-CLT	2011-12-22 06:00PM EST	2011-12-22 06:10PM EST	 C86 	2011-12-22 07:50PM EST	2011-12-22 08:00PM EST	 A10 
flights	CO-1711-EWR-CLT	06:00 PM  Thu 22-Dec-2011		86	08:10 PM  Thu 22-Dec-2011		A10
businesstravellogue	CO-1711-EWR-CLT	06:00 PM  Thu 22-Dec-2011		86	08:10 PM  Thu 22-Dec-2011		A10
flylouisville	CO-1711-EWR-CLT	06:00 PM  Thu 22-Dec-2011		86	08:10 PM  Thu 22-Dec-2011		A10
flightstats	CO-1711-EWR-CLT	2011-12-22 6:00 PM	2011-12-22 6:00 PM (Estimated)		2011-12-22 8:10 PM	2011-12-22 8:12 PM (Estimated)	
quicktrip	CO-1711-EWR-CLT	2011-12-22 6:00 PM	2011-12-22 6:00 PM (Estimated)		2011-12-22 8:10 PM	2011-12-22 8:12 PM (Estimated)	
world-flight-tracker	CO-1711-EWR-CLT	2011-12-22 6:00 PM	2011-12-22 6:00 PM (Estimated)		2011-12-22 8:10 PM	2011-12-22 8:12 PM (Estimated)	
flightview	CO-1711-EWR-CLT	6:00 PM, Dec 22		Term C - C86	8:10 PM, Dec 22		Main Term - A10
panynj	CO-1711-EWR-CLT	6:00 PM, Dec 22		Term C - C86	8:10 PM, Dec 22		Main Term - A10
gofox	CO-1711-EWR-CLT	6:00 PM, Dec 22			8:10 PM, Dec 22		
foxbusiness	CO-1711-EWR-CLT	6:00 PM, Dec 22		Term C - C86	8:10 PM, Dec 22		Main Term - A10
allegiantair	CO-1711-EWR-CLT	6:00 PM, Dec 22		Term C - C86	8:10 PM, Dec 22		Main Term - A10
boston	CO-1711-EWR-CLT	6:00 PM, Dec 22	Not Available		8:10 PM, Dec 22	Not Available	
travelocity	CO-1711-EWR-CLT	Dec 22 - 6:00pm	Dec 22 - Contact Airline	C86	Dec 22 - 8:12pm	Dec 22 - Contact Airline	A10
orbitz	CO-1711-EWR-CLT	6:00pDec 22		 C86	8:10pDec 22		 A10
weather	CO-1711-EWR-CLT	2011-12-22 06:00 PM			2011-12-22 08:10 PM		
usatoday	CO-1711-EWR-CLT	2011-12-22 06:00 PM			2011-12-22 08:10 PM		
flightwise	CO-1711-EWR-CLT	2011-12-22 06:00PM EST	2011-12-22 06:10PM EST	 C86 	2011-12-22 07:50PM EST	2011-12-22 08:00PM EST	 A10 
flightarrival	CO-1711-EWR-CLT	6:00 PM, Dec 22	Not Available		8:10 PM, Dec 22	Not Available	
ua	UA-1500-IAH-GUA	Thu, Dec 22 8:50 AM	Thu, Dec 22 8:53 AM            Delayed	E1	Thu, Dec 22 11:43 AM	Thu, Dec 22 11:36 AM	--
airtravelcenter	UA-1500-IAH-GUA	12/22/11 8:50 AM (-06:00)			12/22/11 11:43 AM (-06:00)		
myrateplan	UA-1500-IAH-GUA	12/22/11 8:50 AM (-06:00)			12/22/11 11:43 AM (-06:00)		
helloflight	UA-1500-IAH-GUA	12/22/11 8:50 AM (-06:00)			12/22/11 11:43 AM (-06:00)		
flytecomm	UA-1500-IAH-GUA	12/22/11 8:50 AM (-06:00)			12/22/11 11:43 AM (-06:00)		
flights	UA-1500-IAH-GUA		2011-12-22 08:53 AM	1		2011-12-22 11:43 AM	
businesstravellogue	UA-1500-IAH-GUA		2011-12-22 08:53 AM	1		2011-12-22 11:43 AM	
flylouisville	UA-1500-IAH-GUA		2011-12-22 08:53 AM	1		2011-12-22 11:43 AM	
flightview	UA-1500-IAH-GUA		9:06 AMDec 22			11:32 AMDec 22	
panynj	UA-1500-IAH-GUA		9:06 AMDec 22			11:32 AMDec 22	
gofox	UA-1500-IAH-GUA		9:06 AMDec 22			11:32 AMDec 22	
foxbusiness	UA-1500-IAH-GUA		9:06 AMDec 22			11:32 AMDec 22	
allegiantair	UA-1500-IAH-GUA		9:06 AMDec 22			11:32 AMDec 22	
boston	UA-1500-IAH-GUA		9:06 AMDec 22			11:32 AMDec 22	
orbitz	UA-1500-IAH-GUA	8:50aDec 22	8:53aDec 22	 E1	11:29aDec 22		 -
ua	UA-88-PEK-EWR	Thu, Dec 22 5:00 PM	Thu, Dec 22 5:06 PM	E31	Thu, Dec 22 5:35 PM	Thu, Dec 22 5:44 PM	C121
airtravelcenter	UA-88-PEK-EWR	12/22/11 5:00 PM (+08:00)			12/22/11 5:35 PM (-05:00)		
myrateplan	UA-88-PEK-EWR	12/22/11 5:00 PM (+08:00)			12/22/11 5:35 PM (-05:00)		
helloflight	UA-88-PEK-EWR	12/22/11 5:00 PM (+08:00)			12/22/11 5:35 PM (-05:00)		
flytecomm	UA-88-PEK-EWR	12/22/11 5:00 PM (+08:00)			12/22/11 5:35 PM (-05:00)		
flights	UA-88-PEK-EWR		2011-12-22 05:10 PM	E31		2011-12-22 05:44 PM	121
businesstravellogue	UA-88-PEK-EWR		2011-12-22 05:10 PM	E31		2011-12-22 05:44 PM	121
flylouisville	UA-88-PEK-EWR		2011-12-22 05:10 PM	E31		2011-12-22 05:44 PM	121
flightview	UA-88-PEK-EWR		4:48 PMDec 22			5:44 PMDec 22	
panynj	UA-88-PEK-EWR		4:48 PMDec 22			5:44 PMDec 22	
gofox	UA-88-PEK-EWR		4:48 PMDec 22			5:44 PMDec 22	
foxbusiness	UA-88-PEK-EWR		4:48 PMDec 22			5:44 PMDec 22	
allegiantair	UA-88-PEK-EWR		4:48 PMDec 22			5:44 PMDec 22	
boston	UA-88-PEK-EWR		4:48 PMDec 22			5:32 PMDec 22	
travelocity	UA-88-PEK-EWR	Dec 22 - 5:00pm	Dec 22 - Contact Airline	Not provided by airline	Dec 22 - 5:35pm	Dec 22 - Contact Airline	Not provided by airline
orbitz	UA-88-PEK-EWR	5:00pDec 22	5:10pDec 22	 E31	5:35pDec 22	5:44pDec 22	 121
weather	UA-88-PEK-EWR	2011-12-22 05:00 PM			2011-12-22 05:35 PM		
usatoday	UA-88-PEK-EWR	2011-12-22 05:00 PM			2011-12-22 05:35 PM		
mytripandmore	UA-88-PEK-EWR	Dec 22 - 5:00pm	Dec 22 - Contact Airline	Not provided by airline	Dec 22 - 5:35pm	Dec 22 - Contact Airline	Not provided by airline
ua	UA-398-SFO-LAX	Thu, Dec 22 7:32 AM	Thu, Dec 22 7:27 AM	85	Thu, Dec 22 9:05 AM	Thu, Dec 22 8:39 AM	75B
flightexplorer	UA-398-SFO-LAX		12/22/2011 7:40AM PST			12/22/2011 8:33AM PST	
airtravelcenter	UA-398-SFO-LAX		12/22/11 7:41 AM (-08:00)			12/22/11 8:33 AM (-08:00)	
myrateplan	UA-398-SFO-LAX		12/22/11 7:41 AM (-08:00)			12/22/11 8:33 AM (-08:00)	
helloflight	UA-398-SFO-LAX		12/22/11 7:41 AM (-08:00)			12/22/11 8:33 AM (-08:00)	
flytecomm	UA-398-SFO-LAX		12/22/11 7:41 AM (-08:00)			12/22/11 8:33 AM (-08:00)	
flights	UA-398-SFO-LAX		2011-12-22 07:27 AM	85		2011-12-22 08:39 AM	75B
businesstravellogue	UA-398-SFO-LAX		2011-12-22 07:27 AM	85		2011-12-22 08:39 AM	75B
flylouisville	UA-398-SFO-LAX		2011-12-22 07:27 AM	85		2011-12-22 08:39 AM	75B
flightview	UA-398-SFO-LAX		7:41 AMDec 22			8:39 AMDec 22	
panynj	UA-398-SFO-LAX		7:41 AMDec 22			8:39 AMDec 22	
gofox	UA-398-SFO-LAX		7:41 AMDec 22			8:39 AMDec 22	
foxbusiness	UA-398-SFO-LAX		7:41 AMDec 22			8:39 AMDec 22	
allegiantair	UA-398-SFO-LAX		7:41 AMDec 22			8:39 AMDec 22	
boston	UA-398-SFO-LAX		7:41 AMDec 22			8:31 AMDec 22	
travelocity	UA-398-SFO-LAX	Dec 22 - Not Available	Dec 22 - 7:41am	85	Dec 22 - Not Available	Dec 22 - 8:39am	75B
orbitz	UA-398-SFO-LAX	7:32aDec 22	7:27aDec 22	 85	9:05aDec 22	8:39aDec 22	 75B
weather	UA-398-SFO-LAX	2011-12-22 07:32 AM			2011-12-22 09:05 AM		
mytripandmore	UA-398-SFO-LAX	7:32aDec 22	7:27aDec 22	 85	9:05aDec 22	8:39aDec 22	 75B
flightarrival	UA-398-SFO-LAX	2011-12-22 07:32 AM			2011-12-22 09:05 AM		
aa	AA-1687-BWI-MIA	December 22, 2011               10:20 AM    	December 22, 2011               10:15 AM    	 C6	December 22, 2011               01:05 PM    	December 22, 2011               12:41 PM    	 D46    
flightexplorer	AA-1687-BWI-MIA		12/22/2011 10:29AM EST			12/22/2011 12:40PM EST	
airtravelcenter	AA-1687-BWI-MIA		12/22/11 10:29 AM (-05:00)			12/22/11 12:40 PM (-05:00)	
flights	AA-1687-BWI-MIA		2011-12-22 10:15 AM	C6		2011-12-22 12:41 PM	D46
businesstravellogue	AA-1687-BWI-MIA		2011-12-22 10:15 AM	C6		2011-12-22 12:41 PM	D46
flylouisville	AA-1687-BWI-MIA		2011-12-22 10:15 AM	C6		2011-12-22 12:41 PM	D46
flightview	AA-1687-BWI-MIA		10:29 AMDec 22			12:41 PMDec 22	
panynj	AA-1687-BWI-MIA		10:29 AMDec 22			12:41 PMDec 22	
gofox	AA-1687-BWI-MIA		10:29 AMDec 22			12:41 PMDec 22	
foxbusiness	AA-1687-BWI-MIA		10:29 AMDec 22			12:41 PMDec 22	
allegiantair	AA-1687-BWI-MIA		10:29 AMDec 22			12:41 PMDec 22	
boston	AA-1687-BWI-MIA		10:29 AMDec 22			12:37 PMDec 22	
travelocity	AA-1687-BWI-MIA	Dec 22 - 10:20am	Dec 22 - 10:15am	C6	Dec 22 - 1:05pm	Dec 22 - 12:41pm	D46
orbitz	AA-1687-BWI-MIA	10:20aDec 22	10:15aDec 22	 C6	1:05pDec 22	12:41pDec 22	 D46
weather	AA-1687-BWI-MIA	2011-12-22 10:20 AM			2011-12-22 01:05 PM		
mia	AA-1687-BWI-MIA				1:05P 12-22-11	2011-12-22  12:49P	
usatoday	AA-1687-BWI-MIA	2011-12-22 10:20 AM			2011-12-22 01:05 PM		
mytripandmore	AA-1687-BWI-MIA	10:20aDec 22	10:15aDec 22	 C6	1:05pDec 22	12:41pDec 22	 D46
ua	UA-5451-LAX-RNO	Thu, Dec 22 7:55 AM	Thu, Dec 22 8:09 AM            Delayed	85	Thu, Dec 22 9:27 AM	Thu, Dec 22 9:43 AM	--
airtravelcenter	UA-5451-LAX-RNO	12/22/11 7:55 AM (-08:00)			12/22/11 9:27 AM (-08:00)		
myrateplan	UA-5451-LAX-RNO	12/22/11 7:55 AM (-08:00)			12/22/11 9:27 AM (-08:00)		
helloflight	UA-5451-LAX-RNO	12/22/11 7:55 AM (-08:00)			12/22/11 9:27 AM (-08:00)		
flytecomm	UA-5451-LAX-RNO	12/22/11 7:55 AM (-08:00)			12/22/11 9:27 AM (-08:00)		
flightaware	UA-5451-LAX-RNO	2011-12-22 07:55AM PST	2011-12-22 08:31AM PST	 85 	2011-12-22 09:03AM PST	2011-12-22 09:39AM PST	
wunderground	UA-5451-LAX-RNO	2011-12-22 07:55AM PST	2011-12-22 08:31AM PST	 85 	2011-12-22 09:03AM PST	2011-12-22 09:39AM PST	
flights	UA-5451-LAX-RNO		2011-12-22 08:09 AM	85		2011-12-22 09:43 AM	
businesstravellogue	UA-5451-LAX-RNO		2011-12-22 08:09 AM	85		2011-12-22 09:43 AM	
flylouisville	UA-5451-LAX-RNO		2011-12-22 08:09 AM	85		2011-12-22 09:43 AM	
flightview	UA-5451-LAX-RNO		8:31 AMDec 22			9:43 AMDec 22	
panynj	UA-5451-LAX-RNO		8:31 AMDec 22			9:43 AMDec 22	
gofox	UA-5451-LAX-RNO		8:31 AMDec 22			9:43 AMDec 22	
foxbusiness	UA-5451-LAX-RNO		8:31 AMDec 22			9:43 AMDec 22	
allegiantair	UA-5451-LAX-RNO		8:31 AMDec 22			9:43 AMDec 22	
boston	UA-5451-LAX-RNO		8:31 AMDec 22			9:45 AMDec 22	
orbitz	UA-5451-LAX-RNO	7:55aDec 22	8:09aDec 22	 85	9:27aDec 22	9:43aDec 22	 -
flightwise	UA-5451-LAX-RNO	2011-12-22 07:55AM PST	2011-12-22 08:31AM PST	 85 	2011-12-22 09:03AM PST	2011-12-22 09:39AM PST	
ua	UA-4893-EWR-BWI	Thu, Dec 22 9:55 PM	Thu, Dec 22 9:55 PM	C72	Thu, Dec 22 10:59 PM	Thu, Dec 22 10:59 PM	D12
flightexplorer	UA-4893-EWR-BWI		12/22/2011 1:03AM EST			12/22/2011 1:41AM EST	
flightexplorer	UA-4893-EWR-BWI	12/22/2011 9:55PM EST			12/22/2011 10:59PM EST		
airtravelcenter	UA-4893-EWR-BWI	12/22/11 9:55 PM (-05:00)			12/22/11 10:59 PM (-05:00)		
myrateplan	UA-4893-EWR-BWI	12/22/11 9:55 PM (-05:00)			12/22/11 10:59 PM (-05:00)		
helloflight	UA-4893-EWR-BWI	12/22/11 9:55 PM (-05:00)			12/22/11 10:59 PM (-05:00)		
flytecomm	UA-4893-EWR-BWI	12/22/11 9:55 PM (-05:00)			12/22/11 10:59 PM (-05:00)		
flights	UA-4893-EWR-BWI	09:55 PM  Thu 22-Dec-2011		72	10:59 PM  Thu 22-Dec-2011		D12
businesstravellogue	UA-4893-EWR-BWI	09:55 PM  Thu 22-Dec-2011		72	10:59 PM  Thu 22-Dec-2011		D12
flylouisville	UA-4893-EWR-BWI	09:55 PM  Thu 22-Dec-2011		72	10:59 PM  Thu 22-Dec-2011		D12
world-flight-tracker	UA-4893-EWR-BWI	2011-12-22 9:55 PM	2011-12-22 9:55 PM (Estimated)		2011-12-22 10:59 PM	2011-12-22 10:59 PM (Estimated)	
flightview	UA-4893-EWR-BWI	9:55 PM, Dec 22		Term C - C72	10:59 PM, Dec 22		Main Term - D12
panynj	UA-4893-EWR-BWI	9:55 PM, Dec 22		Term C - C72	10:59 PM, Dec 22		Main Term - D12
gofox	UA-4893-EWR-BWI	9:55 PM, Dec 22			10:59 PM, Dec 22		
foxbusiness	UA-4893-EWR-BWI	9:55 PM, Dec 22		Term C - C72	10:59 PM, Dec 22		Main Term - D12
allegiantair	UA-4893-EWR-BWI	9:55 PM, Dec 22		Term C - C72	10:59 PM, Dec 22		Main Term - D12
boston	UA-4893-EWR-BWI		1:03 AMDec 22			1:48 AMDec 22	
boston	UA-4893-EWR-BWI	9:55 PMDec 22			10:59 PMDec 22		
travelocity	UA-4893-EWR-BWI	Dec 22 - 9:55pm	Dec 22 - Contact Airline	Not provided by airline	Dec 22 - 10:59pm	Dec 22 - Contact Airline	Not provided by airline
orbitz	UA-4893-EWR-BWI	9:55pDec 21	12:49aDec 22	 -	10:59pDec 21	1:56aDec 22	 -
weather	UA-4893-EWR-BWI	2011-12-22 09:55 PM			2011-12-22 10:59 PM		
mytripandmore	UA-4893-EWR-BWI	Dec 22 - 9:55pm	Dec 22 - Contact Airline	Not provided by airline	Dec 22 - 10:59pm	Dec 22 - Contact Airline	Not provided by airline
aa	AA-33-JFK-LAX	December 22, 2011               07:40 AM    	December 22, 2011               07:39 AM    	 45	December 22, 2011               11:05 AM    	December 22, 2011               11:07 AM    	 49A    
flightexplorer	AA-33-JFK-LAX		12/22/2011 8:02AM EST			12/22/2011 11:00AM PST	
airtravelcenter	AA-33-JFK-LAX		12/22/11 8:02 AM (-05:00)			12/22/11 11:00 AM (-08:00)	
myrateplan	AA-33-JFK-LAX		12/22/11 8:02 AM (-05:00)			12/22/11 11:00 AM (-08:00)	
helloflight	AA-33-JFK-LAX		12/22/11 8:02 AM (-05:00)			12/22/11 11:00 AM (-08:00)	
flytecomm	AA-33-JFK-LAX		12/22/11 8:02 AM (-05:00)			12/22/11 11:00 AM (-08:00)	
flightaware	AA-33-JFK-LAX	2011-12-22 07:40AM EST	2011-12-22 08:01AM EST	 45 	2011-12-22 10:58AM PST	2011-12-22 10:56AM PST	 49A 
wunderground	AA-33-JFK-LAX	2011-12-22 07:40AM EST	2011-12-22 08:01AM EST	 45 	2011-12-22 10:58AM PST	2011-12-22 10:56AM PST	 49A 
flights	AA-33-JFK-LAX	07:40 AM  Thu 22-Dec-2011	07:39 AM  Thu 22-Dec-2011	C45	11:05 AM  Thu 22-Dec-2011	10:58 AM  Thu 22-Dec-2011 (Runway)	49A
businesstravellogue	AA-33-JFK-LAX	07:40 AM  Thu 22-Dec-2011	07:39 AM  Thu 22-Dec-2011	C45	11:05 AM  Thu 22-Dec-2011	10:58 AM  Thu 22-Dec-2011 (Runway)	49A
flylouisville	AA-33-JFK-LAX	07:40 AM  Thu 22-Dec-2011	07:39 AM  Thu 22-Dec-2011	C45	11:05 AM  Thu 22-Dec-2011	10:58 AM  Thu 22-Dec-2011 (Runway)	49A
flightstats	AA-33-JFK-LAX	2011-12-22 7:40 AM	2011-12-22 7:39 AM		2011-12-22 11:05 AM	2011-12-22 10:58 AM (runway)	
quicktrip	AA-33-JFK-LAX	2011-12-22 7:40 AM	2011-12-22 7:39 AM		2011-12-22 11:05 AM	2011-12-22 10:58 AM (runway)	
world-flight-tracker	AA-33-JFK-LAX	2011-12-22 7:40 AM	2011-12-22 7:39 AM		2011-12-22 11:05 AM	2011-12-22 10:58 AM (runway)	
flightview	AA-33-JFK-LAX	7:40 AM, Dec 22	8:02 AM, Dec 22	Terminal 8 - 45	11:05 AM, Dec 22	11:07 AM, Dec 22	Terminal 4 - 49A
panynj	AA-33-JFK-LAX	7:40 AM, Dec 22	8:02 AM, Dec 22	Terminal 8 - 45	11:05 AM, Dec 22	11:07 AM, Dec 22	Terminal 4 - 49A
gofox	AA-33-JFK-LAX	7:40 AM, Dec 22	8:02 AM, Dec 22		11:05 AM, Dec 22	11:07 AM, Dec 22	
foxbusiness	AA-33-JFK-LAX	7:40 AM, Dec 22	8:02 AM, Dec 22	Terminal 8 - 45	11:05 AM, Dec 22	11:07 AM, Dec 22	Terminal 4 - 49A
allegiantair	AA-33-JFK-LAX	7:40 AM, Dec 22	8:02 AM, Dec 22	Terminal 8 - 45	11:05 AM, Dec 22	11:07 AM, Dec 22	Terminal 4 - 49A
boston	AA-33-JFK-LAX	7:40 AM, Dec 22	8:02 AM, Dec 22		11:05 AM, Dec 22	10:57 AM, Dec 22	
travelocity	AA-33-JFK-LAX	Dec 22 - 7:40am	Dec 22 - 7:39am	45/8	Dec 22 - 11:05am	Dec 22 - 11:07am	49A/T4
orbitz	AA-33-JFK-LAX	7:40aDec 22	7:39aDec 22	 45	11:05aDec 22	11:07aDec 22	 49A
weather	AA-33-JFK-LAX	2011-12-22 07:40 AM	2011-12-22 08:02 AM		2011-12-22 11:05 AM	2011-12-22 11:00 AM	
flightarrival	AA-33-JFK-LAX	2011-12-22 07:40 AM	2011-12-22 08:02 AM		2011-12-22 11:05 AM	2011-12-22 11:00 AM	
aa	AA-1640-MIA-MCO	December 22, 2011               06:30 PM    	December 22, 2011     	 D20	December 22, 2011               07:25 PM    	December 22, 2011     	 14    
flightexplorer	AA-1640-MIA-MCO	12/22/2011 6:30PM EST			12/22/2011 7:25PM EST		
airtravelcenter	AA-1640-MIA-MCO	12/22/11 6:30 PM (-05:00)			12/22/11 7:25 PM (-05:00)		
myrateplan	AA-1640-MIA-MCO	12/22/11 6:30 PM (-05:00)			12/22/11 7:25 PM (-05:00)		
helloflight	AA-1640-MIA-MCO	12/22/11 6:30 PM (-05:00)			12/22/11 7:25 PM (-05:00)		
flytecomm	AA-1640-MIA-MCO	12/22/11 6:30 PM (-05:00)			12/22/11 7:25 PM (-05:00)		
flightaware	AA-1640-MIA-MCO	2011-12-22 06:30PM EST	2011-12-22 06:40PM EST	 D20 	2011-12-22 07:05PM EST	2011-12-22 07:15PM EST	 14 
wunderground	AA-1640-MIA-MCO	2011-12-22 06:30PM EST	2011-12-22 06:40PM EST	 D20 	2011-12-22 07:05PM EST	2011-12-22 07:15PM EST	 14 
flights	AA-1640-MIA-MCO	06:30 PM  Thu 22-Dec-2011		D45	07:25 PM  Thu 22-Dec-2011		14
businesstravellogue	AA-1640-MIA-MCO	06:30 PM  Thu 22-Dec-2011		D45	07:25 PM  Thu 22-Dec-2011		14
flylouisville	AA-1640-MIA-MCO	06:30 PM  Thu 22-Dec-2011		D45	07:25 PM  Thu 22-Dec-2011		14
flightstats	AA-1640-MIA-MCO	2011-12-22 6:30 PM	2011-12-22 6:30 PM (Estimated)		2011-12-22 7:25 PM	2011-12-22 7:25 PM (Estimated)	
quicktrip	AA-1640-MIA-MCO	2011-12-22 6:30 PM	2011-12-22 6:30 PM (Estimated)		2011-12-22 7:25 PM	2011-12-22 7:25 PM (Estimated)	
world-flight-tracker	AA-1640-MIA-MCO	2011-12-22 6:30 PM	2011-12-22 6:30 PM (Estimated)		2011-12-22 7:25 PM	2011-12-22 7:25 PM (Estimated)	
flightview	AA-1640-MIA-MCO	6:30 PM, Dec 22			7:25 PM, Dec 22		
panynj	AA-1640-MIA-MCO	6:30 PM, Dec 22			7:25 PM, Dec 22		
gofox	AA-1640-MIA-MCO	6:30 PM, Dec 22			7:25 PM, Dec 22		
foxbusiness	AA-1640-MIA-MCO	6:30 PM, Dec 22			7:25 PM, Dec 22		
allegiantair	AA-1640-MIA-MCO	6:30 PM, Dec 22			7:25 PM, Dec 22		
boston	AA-1640-MIA-MCO	6:30 PM, Dec 22	Not Available		7:25 PM, Dec 22	Not Available	
travelocity	AA-1640-MIA-MCO	Dec 22 - 6:30pm	Dec 22 - Not Available	D20	Dec 22 - 7:25pm	Dec 22 - Not Available	14
orbitz	AA-1640-MIA-MCO	6:30pDec 22		 D20	7:25pDec 22		 14
weather	AA-1640-MIA-MCO	2011-12-22 06:30 PM	2011-12-22 07:56 PM		2011-12-22 07:25 PM	2011-12-22 08:28 PM	
mco	AA-1640-MIA-MCO				2011-12-22 Thu  19:25		14?
ifly	AA-1640-MIA-MCO	2011-12-22 6:30 PM	2011-12-22 6:30 PM (Estimated)		2011-12-22 7:25 PM	2011-12-22 7:25 PM (Estimated)	
usatoday	AA-1640-MIA-MCO	2011-12-22 06:30 PM	2011-12-22 07:56 PM		2011-12-22 07:25 PM	2011-12-22 08:28 PM	
mytripandmore	AA-1640-MIA-MCO	6:30pDec 22		 D20	7:25pDec 22		 14
flightwise	AA-1640-MIA-MCO	2011-12-22 06:30PM EST	2011-12-22 06:40PM EST	 D20 	2011-12-22 07:05PM EST	2011-12-22 07:15PM EST	 14 
flightarrival	AA-1640-MIA-MCO	2011-12-22 06:30 PM	2011-12-22 07:56 PM		2011-12-22 07:25 PM	2011-12-22 08:28 PM	
aa	AA-1039-ATL-MIA	December 22, 2011               01:25 PM    	December 22, 2011               01:48 PM    	 T11	December 22, 2011               03:20 PM    	December 22, 2011               03:36 PM    	 D37    
flightexplorer	AA-1039-ATL-MIA		12/22/2011 1:59PM EST			12/22/2011 3:29PM EST	
airtravelcenter	AA-1039-ATL-MIA		12/22/11 1:59 PM (-05:00)			12/22/11 3:29 PM (-05:00)	
myrateplan	AA-1039-ATL-MIA		12/22/11 1:59 PM (-05:00)			12/22/11 3:29 PM (-05:00)	
helloflight	AA-1039-ATL-MIA		12/22/11 1:59 PM (-05:00)			12/22/11 3:29 PM (-05:00)	
flytecomm	AA-1039-ATL-MIA		12/22/11 1:59 PM (-05:00)			12/22/11 3:29 PM (-05:00)	
flightaware	AA-1039-ATL-MIA	2011-12-22 01:25PM EST	2011-12-22 01:58PM EST	 T11 	2011-12-22 03:07PM EST	2011-12-22 03:27PM EST	 D37 
wunderground	AA-1039-ATL-MIA	2011-12-22 01:25PM EST	2011-12-22 01:58PM EST	 T11 	2011-12-22 03:07PM EST	2011-12-22 03:27PM EST	 D37 
flights	AA-1039-ATL-MIA	01:25 PM  Thu 22-Dec-2011	01:48 PM  Thu 22-Dec-2011	T11	03:20 PM  Thu 22-Dec-2011	03:36 PM  Thu 22-Dec-2011	D37
businesstravellogue	AA-1039-ATL-MIA	01:25 PM  Thu 22-Dec-2011	01:48 PM  Thu 22-Dec-2011	T11	03:20 PM  Thu 22-Dec-2011	03:36 PM  Thu 22-Dec-2011	D37
flylouisville	AA-1039-ATL-MIA	01:25 PM  Thu 22-Dec-2011	01:48 PM  Thu 22-Dec-2011	T11	03:20 PM  Thu 22-Dec-2011	03:36 PM  Thu 22-Dec-2011	D37
flightstats	AA-1039-ATL-MIA	2011-12-22 1:25 PM	2011-12-22 1:48 PM		2011-12-22 3:20 PM	2011-12-22 3:36 PM	
quicktrip	AA-1039-ATL-MIA	2011-12-22 1:25 PM	2011-12-22 1:48 PM		2011-12-22 3:20 PM	2011-12-22 3:36 PM	
world-flight-tracker	AA-1039-ATL-MIA	2011-12-22 1:25 PM	2011-12-22 1:48 PM		2011-12-22 3:20 PM	2011-12-22 3:36 PM	
flightview	AA-1039-ATL-MIA	1:25 PM, Dec 22	1:59 PM, Dec 22	T11	3:20 PM, Dec 22	3:36 PM, Dec 22	Terminal D - D37
panynj	AA-1039-ATL-MIA	1:25 PM, Dec 22	1:59 PM, Dec 22	T11	3:20 PM, Dec 22	3:36 PM, Dec 22	Terminal D - D37
gofox	AA-1039-ATL-MIA	1:25 PM, Dec 22	1:59 PM, Dec 22		3:20 PM, Dec 22	3:36 PM, Dec 22	
foxbusiness	AA-1039-ATL-MIA	1:25 PM, Dec 22	1:59 PM, Dec 22	T11	3:20 PM, Dec 22	3:36 PM, Dec 22	Terminal D - D37
allegiantair	AA-1039-ATL-MIA	1:25 PM, Dec 22	1:59 PM, Dec 22	T11	3:20 PM, Dec 22	3:36 PM, Dec 22	Terminal D - D37
boston	AA-1039-ATL-MIA	1:25 PM, Dec 22	1:59 PM, Dec 22		3:20 PM, Dec 22	3:27 PM, Dec 22	
travelocity	AA-1039-ATL-MIA	Dec 22 - 1:25pm	Dec 22 - 1:48pm	T11	Dec 22 - 3:20pm	Dec 22 - 3:36pm	D37
orbitz	AA-1039-ATL-MIA	1:25pDec 22	1:48pDec 22	 T11	3:20pDec 22	3:36pDec 22	 D37
weather	AA-1039-ATL-MIA	2011-12-22 01:25 PM			2011-12-22 03:20 PM		
mia	AA-1039-ATL-MIA				3:20P 12-22-11	2011-12-22  3:38P	
ifly	AA-1039-ATL-MIA	2011-12-22 1:25 PM	2011-12-22 1:48 PM		2011-12-22 3:20 PM	2011-12-22 3:36 PM	
usatoday	AA-1039-ATL-MIA	1:25 PM, Dec 22	1:59 PM, Dec 22		3:20 PM, Dec 22	3:27 PM, Dec 22	
mytripandmore	AA-1039-ATL-MIA	Dec 22 - 1:25pm	Dec 22 - 1:48pm	T11	Dec 22 - 3:20pm	Dec 22 - 3:36pm	D37
flightarrival	AA-1039-ATL-MIA	2011-12-22 1:25 PM	2011-12-22 1:48 PM		2011-12-22 3:20 PM	2011-12-22 3:36 PM	
aa	AA-2049-DFW-DEN	December 22, 2011               08:50 AM    	December 22, 2011               10:17 AM    	 C21	December 22, 2011               09:55 AM    	December 22, 2011               11:21 AM    	 A49    
