aa	AA-1007-TPA-MIA	January 3, 2012               01:55 PM    	January 3, 2012               01:51 PM    	 F78	January 3, 2012               03:00 PM    	January 3, 2012               02:48 PM    	 D12    
flightstats	AA-3744-EWR-ORD	2012-01-03 9:00 PM	2012-01-03 10:12 PM		2012-01-03 10:30 PM	2012-01-03 10:30 PM (Estimated)	
quicktrip	AA-3744-EWR-ORD	2012-01-03 9:00 PM	2012-01-03 10:12 PM		2012-01-03 10:30 PM	2012-01-03 10:30 PM (Estimated)	
world-flight-tracker	AA-3744-EWR-ORD	2012-01-03 9:00 PM	2012-01-03 10:12 PM		2012-01-03 10:30 PM	2012-01-03 10:30 PM (Estimated)	
flightview	AA-3744-EWR-ORD	9:00 PM, Jan 03	10:30 PM, Jan 03		10:30 PM, Jan 03		
panynj	AA-3744-EWR-ORD	9:00 PM, Jan 03	10:30 PM, Jan 03		10:30 PM, Jan 03		
gofox	AA-3744-EWR-ORD	9:00 PM, Jan 03	10:30 PM, Jan 03		10:30 PM, Jan 03		
foxbusiness	AA-3744-EWR-ORD	9:00 PM, Jan 03	10:30 PM, Jan 03		10:30 PM, Jan 03		
allegiantair	AA-3744-EWR-ORD	9:00 PM, Jan 03	10:30 PM, Jan 03		10:30 PM, Jan 03		
boston	AA-3744-EWR-ORD	9:00 PM, Jan 03	10:30 PM, Jan 03		10:30 PM, Jan 03	11:21 PM, Jan 03&nbsp(Estimated)	
orbitz	AA-3744-EWR-ORD	10:10pJan 3	10:12pJan 3	 30	12:26aJan 4		 H1A
weather	AA-3744-EWR-ORD	2012-01-03 09:00 PM			2012-01-03 10:30 PM		
ord	AA-3744-EWR-ORD	2012-01-03 9:00 PM		30	2012-01-03 10:30 PM		G1B
ua	UA-2945-PHL-CLT	Tue, Jan 3 12:00 AM	Tue, Jan 3 2:12 AM	C26	Tue, Jan 3 1:45 PM	Tue, Jan 3 1:23 PM	C17
airtravelcenter	UA-2945-PHL-CLT		1/3/12 12:13 PM (-05:00)			1/3/12 1:22 PM (-05:00)	
myrateplan	UA-2945-PHL-CLT		1/3/12 12:13 PM (-05:00)			1/3/12 1:22 PM (-05:00)	
helloflight	UA-2945-PHL-CLT		1/3/12 12:13 PM (-05:00)			1/3/12 1:22 PM (-05:00)	
flytecomm	UA-2945-PHL-CLT		1/3/12 12:13 PM (-05:00)			1/3/12 1:22 PM (-05:00)	
flightaware	UA-2945-PHL-CLT	2012-01-03 12:00PM EST	2012-01-03 12:14PM EST		2012-01-03 01:35PM EST	2012-01-03 01:19PM EST	
wunderground	UA-2945-PHL-CLT	2012-01-03 12:00PM EST	2012-01-03 12:14PM EST		2012-01-03 01:35PM EST	2012-01-03 01:19PM EST	
flights	UA-2945-PHL-CLT	12:00 PM  Tue 03-Jan-2012	12:02 PM  Tue 03-Jan-2012	C26	01:45 PM  Tue 03-Jan-2012	01:23 PM  Tue 03-Jan-2012	C17
businesstravellogue	UA-2945-PHL-CLT	12:00 PM  Tue 03-Jan-2012	12:02 PM  Tue 03-Jan-2012	C26	01:45 PM  Tue 03-Jan-2012	01:23 PM  Tue 03-Jan-2012	C17
flylouisville	UA-2945-PHL-CLT	12:00 PM  Tue 03-Jan-2012	12:02 PM  Tue 03-Jan-2012	C26	01:45 PM  Tue 03-Jan-2012	01:23 PM  Tue 03-Jan-2012	C17
flightstats	UA-2945-PHL-CLT	2012-01-03 12:00 PM	2012-01-03 12:02 PM		2012-01-03 1:45 PM	2012-01-03 1:23 PM	
quicktrip	UA-2945-PHL-CLT	2012-01-03 12:00 PM	2012-01-03 12:02 PM		2012-01-03 1:45 PM	2012-01-03 1:23 PM	
world-flight-tracker	UA-2945-PHL-CLT	2012-01-03 12:00 PM	2012-01-03 12:02 PM		2012-01-03 1:45 PM	2012-01-03 1:23 PM	
flightview	UA-2945-PHL-CLT	12:00 PM, Jan 03	12:14 PM, Jan 03		1:45 PM, Jan 03	1:24 PM, Jan 03	
panynj	UA-2945-PHL-CLT	12:00 PM, Jan 03	12:14 PM, Jan 03		1:45 PM, Jan 03	1:24 PM, Jan 03	
gofox	UA-2945-PHL-CLT	12:00 PM, Jan 03	12:14 PM, Jan 03		1:45 PM, Jan 03	1:24 PM, Jan 03	
foxbusiness	UA-2945-PHL-CLT	12:00 PM, Jan 03	12:14 PM, Jan 03		1:45 PM, Jan 03	1:24 PM, Jan 03	
allegiantair	UA-2945-PHL-CLT	12:00 PM, Jan 03	12:14 PM, Jan 03		1:45 PM, Jan 03	1:24 PM, Jan 03	
boston	UA-2945-PHL-CLT	12:00 PM, Jan 03	12:14 PM, Jan 03		1:45 PM, Jan 03	1:24 PM, Jan 03	
orbitz	UA-2945-PHL-CLT	12:00pJan 3	12:02pJan 3	 -	1:45pJan 3	1:23pJan 3	 -
weather	UA-2945-PHL-CLT	2012-01-03 12:00 PM			2012-01-03 01:45 PM		
usatoday	UA-2945-PHL-CLT	12:00 PM, Jan 03	12:14 PM, Jan 03		1:45 PM, Jan 03	1:24 PM, Jan 03	
ua	UA-5487-SFO-MRY	Tue, Jan 3 10:28 AM	Tue, Jan 3 10:22 AM	78A	Tue, Jan 3 11:17 AM	Tue, Jan 3 11:13 AM	--
flightexplorer	UA-5487-SFO-MRY		1/3/2012 10:43AM PST			1/3/2012 11:06AM PST	
airtravelcenter	UA-5487-SFO-MRY		1/3/12 10:43 AM (-08:00)			1/3/12 11:02 AM (-08:00)	
myrateplan	UA-5487-SFO-MRY		1/3/12 10:43 AM (-08:00)			1/3/12 11:02 AM (-08:00)	
helloflight	UA-5487-SFO-MRY		1/3/12 10:43 AM (-08:00)			1/3/12 11:02 AM (-08:00)	
flytecomm	UA-5487-SFO-MRY		1/3/12 10:43 AM (-08:00)			1/3/12 11:02 AM (-08:00)	
flightaware	UA-5487-SFO-MRY	2012-01-03 10:28AM PST	2012-01-03 10:43AM PST	 78A 	2012-01-03 10:58AM PST	2012-01-03 11:02AM PST	
wunderground	UA-5487-SFO-MRY	2012-01-03 10:28AM PST	2012-01-03 10:43AM PST	 78A 	2012-01-03 10:58AM PST	2012-01-03 11:02AM PST	
flights	UA-5487-SFO-MRY	10:28 AM  Tue 03-Jan-2012	10:22 AM  Tue 03-Jan-2012		11:17 AM  Tue 03-Jan-2012	11:13 AM  Tue 03-Jan-2012	
businesstravellogue	UA-5487-SFO-MRY	10:28 AM  Tue 03-Jan-2012	10:22 AM  Tue 03-Jan-2012		11:17 AM  Tue 03-Jan-2012	11:13 AM  Tue 03-Jan-2012	
flylouisville	UA-5487-SFO-MRY	10:28 AM  Tue 03-Jan-2012	10:22 AM  Tue 03-Jan-2012		11:17 AM  Tue 03-Jan-2012	11:13 AM  Tue 03-Jan-2012	
world-flight-tracker	UA-5487-SFO-MRY	2012-01-03 10:28 AM	2012-01-03 10:22 AM		2012-01-03 11:17 AM	2012-01-03 11:13 AM	
flightview	UA-5487-SFO-MRY	10:28 AM, Jan 03	10:43 AM, Jan 03		11:17 AM, Jan 03	11:13 AM, Jan 03	
panynj	UA-5487-SFO-MRY	10:28 AM, Jan 03	10:43 AM, Jan 03		11:17 AM, Jan 03	11:13 AM, Jan 03	
gofox	UA-5487-SFO-MRY	10:28 AM, Jan 03	10:43 AM, Jan 03		11:17 AM, Jan 03	11:13 AM, Jan 03	
foxbusiness	UA-5487-SFO-MRY	10:28 AM, Jan 03	10:43 AM, Jan 03		11:17 AM, Jan 03	11:13 AM, Jan 03	
allegiantair	UA-5487-SFO-MRY	10:28 AM, Jan 03	10:43 AM, Jan 03		11:17 AM, Jan 03	11:13 AM, Jan 03	
boston	UA-5487-SFO-MRY	10:28 AM, Jan 03	10:43 AM, Jan 03		11:17 AM, Jan 03	11:05 AM, Jan 03	
orbitz	UA-5487-SFO-MRY	10:49aJan 3	10:43aJan 3	 78A	11:17aJan 3	11:13aJan 3	 -
weather	UA-5487-SFO-MRY	2012-01-03 10:28 AM			2012-01-03 11:17 AM		
usatoday	UA-5487-SFO-MRY	2012-01-03 10:28 AM			2012-01-03 11:17 AM		
mytripandmore	UA-5487-SFO-MRY	10:49aJan 3	10:43aJan 3	 78A	11:17aJan 3	11:13aJan 3	 -
flightwise	UA-5487-SFO-MRY	2012-01-03 10:28AM PST	2012-01-03 10:43AM PST	 78A 	2012-01-03 10:58AM PST	2012-01-03 11:02AM PST	
ua	UA-1534-SFO-EWR	Tue, Jan 3 11:32 AM	Tue, Jan 3 11:33 AM	89	Tue, Jan 3 8:00 PM	Tue, Jan 3 7:54 PM	C110
flightexplorer	UA-1534-SFO-EWR		1/3/2012 11:50AM PST			1/3/2012 7:44PM EST	
airtravelcenter	UA-1534-SFO-EWR		1/3/12 11:52 AM (-08:00)			1/3/12 7:42 PM (-05:00)	
myrateplan	UA-1534-SFO-EWR		1/3/12 11:52 AM (-08:00)			1/3/12 7:42 PM (-05:00)	
helloflight	UA-1534-SFO-EWR		1/3/12 11:52 AM (-08:00)			1/3/12 7:42 PM (-05:00)	
flytecomm	UA-1534-SFO-EWR		1/3/12 11:52 AM (-08:00)			1/3/12 7:42 PM (-05:00)	
flightaware	UA-1534-SFO-EWR	2012-01-03 11:32AM PST	2012-01-03 11:52AM PST	 89 	2012-01-03 07:40PM EST	2012-01-03 07:44PM EST	 110 
wunderground	UA-1534-SFO-EWR	2012-01-03 11:32AM PST	2012-01-03 11:52AM PST	 89 	2012-01-03 07:40PM EST	2012-01-03 07:44PM EST	 110 
flights	UA-1534-SFO-EWR		2012-01-03 11:33 AM	89		2012-01-03 08:00 PM	110
businesstravellogue	UA-1534-SFO-EWR		2012-01-03 11:33 AM	89		2012-01-03 08:00 PM	110
flylouisville	UA-1534-SFO-EWR		2012-01-03 11:33 AM	89		2012-01-03 08:00 PM	110
flightview	UA-1534-SFO-EWR		11:52 AMJan 03			7:45 PMJan 03	
panynj	UA-1534-SFO-EWR		11:52 AMJan 03			7:45 PMJan 03	
gofox	UA-1534-SFO-EWR		11:52 AMJan 03			7:45 PMJan 03	
foxbusiness	UA-1534-SFO-EWR		11:52 AMJan 03			7:45 PMJan 03	
allegiantair	UA-1534-SFO-EWR		11:52 AMJan 03			7:45 PMJan 03	
boston	UA-1534-SFO-EWR		11:52 AMJan 03			7:45 PMJan 03	
orbitz	UA-1534-SFO-EWR	11:32aJan 3	11:33aJan 3	 89	7:48pJan 3		 110
weather	UA-1534-SFO-EWR	2012-01-03 11:32 AM	2012-01-03 11:52 AM		2012-01-03 08:00 PM	2012-01-03 07:42 PM	
usatoday	UA-1534-SFO-EWR	2012-01-03 11:32 AM	2012-01-03 11:52 AM		2012-01-03 08:00 PM	2012-01-03 07:42 PM	
flightwise	UA-1534-SFO-EWR	2012-01-03 11:32AM PST	2012-01-03 11:52AM PST	 89 	2012-01-03 07:40PM EST	2012-01-03 07:44PM EST	 110 
aa	AA-1066-DFW-DCA	January 3, 2012               10:30 AM    	January 3, 2012               10:30 AM    	 D40	January 3, 2012               02:10 PM    	January 3, 2012               02:32 PM    	 28    
flightexplorer	AA-1066-DFW-DCA		1/3/2012 10:48AM CST			1/3/2012 2:34PM EST	
airtravelcenter	AA-1066-DFW-DCA		1/3/12 10:48 AM (-06:00)			1/3/12 2:34 PM (-05:00)	
myrateplan	AA-1066-DFW-DCA		1/3/12 10:48 AM (-06:00)			1/3/12 2:34 PM (-05:00)	
helloflight	AA-1066-DFW-DCA		1/3/12 10:48 AM (-06:00)			1/3/12 2:34 PM (-05:00)	
flytecomm	AA-1066-DFW-DCA		1/3/12 10:48 AM (-06:00)			1/3/12 2:34 PM (-05:00)	
flightaware	AA-1066-DFW-DCA	2012-01-03 10:30AM CST	2012-01-03 10:48AM CST	 D40 	2012-01-03 02:14PM EST	2012-01-03 02:29PM EST	 28 
wunderground	AA-1066-DFW-DCA	2012-01-03 10:30AM CST	2012-01-03 10:48AM CST	 D40 	2012-01-03 02:14PM EST	2012-01-03 02:29PM EST	 28 
flights	AA-1066-DFW-DCA		2012-01-03 10:30 AM	D40		2012-01-03 02:32 PM	28
businesstravellogue	AA-1066-DFW-DCA		2012-01-03 10:30 AM	D40		2012-01-03 02:32 PM	28
flylouisville	AA-1066-DFW-DCA		2012-01-03 10:30 AM	D40		2012-01-03 02:32 PM	28
flightstats	AA-1066-DFW-DCA	2012-01-03 10:30 AM	2012-01-03 10:30 AM		2012-01-03 2:10 PM	2012-01-03 2:32 PM	
quicktrip	AA-1066-DFW-DCA	2012-01-03 10:30 AM	2012-01-03 10:30 AM		2012-01-03 2:10 PM	2012-01-03 2:32 PM	
flightview	AA-1066-DFW-DCA		10:48 AMJan 03			2:29 PMJan 03	
panynj	AA-1066-DFW-DCA		10:48 AMJan 03			2:29 PMJan 03	
gofox	AA-1066-DFW-DCA		10:48 AMJan 03			2:29 PMJan 03	
foxbusiness	AA-1066-DFW-DCA		10:48 AMJan 03			2:29 PMJan 03	
allegiantair	AA-1066-DFW-DCA		10:48 AMJan 03			2:29 PMJan 03	
boston	AA-1066-DFW-DCA		10:48 AMJan 03			2:29 PMJan 03	
orbitz	AA-1066-DFW-DCA	10:30aJan 3	10:30aJan 3	 D40	2:10pJan 3	2:32pJan 3	 28
dfw	AA-1066-DFW-DCA	2012-01-03 10:30 am		D40			
usatoday	AA-1066-DFW-DCA		10:48 AMJan 03			2:29 PMJan 03	
flightarrival	AA-1066-DFW-DCA		10:48 AMJan 03			2:29 PMJan 03	
CO	CO-1232-IAH-SFO	Tue., Jan.03, 2012 4:00 p.m.	Tue., Jan.03, 2012 4:59 p.m.		Tue., Jan.03, 2012 6:28 p.m.	Tue., Jan.03, 2012 6:55 p.m.	
flightexplorer	CO-1232-IAH-SFO		1/3/2012 5:10PM CST			1/3/2012 6:53PM PST	
airtravelcenter	CO-1232-IAH-SFO	1/3/12 4:00 PM (-06:00)			1/3/12 6:28 PM (-08:00)		
myrateplan	CO-1232-IAH-SFO	1/3/12 4:00 PM (-06:00)			1/3/12 6:28 PM (-08:00)		
helloflight	CO-1232-IAH-SFO	1/3/12 4:00 PM (-06:00)			1/3/12 6:28 PM (-08:00)		
flytecomm	CO-1232-IAH-SFO	1/3/12 4:00 PM (-06:00)			1/3/12 6:28 PM (-08:00)		
flightaware	CO-1232-IAH-SFO	2012-01-03 04:00PM CST	2012-01-03 05:10PM CST	 E11 	2012-01-03 05:06PM PST	2012-01-03 06:50PM PST	 89 
wunderground	CO-1232-IAH-SFO	2012-01-03 04:00PM CST	2012-01-03 05:10PM CST	 E11 	2012-01-03 05:06PM PST	2012-01-03 06:50PM PST	 89 
flights	CO-1232-IAH-SFO	04:00 PM  Tue 03-Jan-2012		11	06:28 PM  Tue 03-Jan-2012		89
businesstravellogue	CO-1232-IAH-SFO	04:00 PM  Tue 03-Jan-2012		11	06:28 PM  Tue 03-Jan-2012		89
flylouisville	CO-1232-IAH-SFO	04:00 PM  Tue 03-Jan-2012		11	06:28 PM  Tue 03-Jan-2012		89
flightstats	CO-1232-IAH-SFO	2012-01-03 4:00 PM	2012-01-03 4:59 PM		2012-01-03 6:28 PM	2012-01-03 6:55 PM (Estimated)	
quicktrip	CO-1232-IAH-SFO	2012-01-03 4:00 PM	2012-01-03 4:59 PM		2012-01-03 6:28 PM	2012-01-03 6:55 PM (Estimated)	
world-flight-tracker	CO-1232-IAH-SFO	2012-01-03 4:00 PM	2012-01-03 4:59 PM		2012-01-03 6:28 PM	2012-01-03 6:55 PM (Estimated)	
flightview	CO-1232-IAH-SFO	4:00 PM, Jan 03	5:10 PM, Jan 03		6:28 PM, Jan 03		
panynj	CO-1232-IAH-SFO	4:00 PM, Jan 03	5:10 PM, Jan 03		6:28 PM, Jan 03		
gofox	CO-1232-IAH-SFO	4:00 PM, Jan 03	5:10 PM, Jan 03		6:28 PM, Jan 03		
foxbusiness	CO-1232-IAH-SFO	4:00 PM, Jan 03	5:10 PM, Jan 03		6:28 PM, Jan 03		
allegiantair	CO-1232-IAH-SFO	4:00 PM, Jan 03	5:10 PM, Jan 03		6:28 PM, Jan 03		
boston	CO-1232-IAH-SFO	4:00 PM, Jan 03	5:10 PM, Jan 03		6:28 PM, Jan 03	6:57 PM, Jan 03&nbsp(Estimated)	
orbitz	CO-1232-IAH-SFO	4:00pJan 3	4:59pJan 3	 E11	7:22pJan 3		 89
weather	CO-1232-IAH-SFO	2012-01-03 04:00 PM			2012-01-03 06:28 PM		
usatoday	CO-1232-IAH-SFO	2012-01-03 04:00 PM			2012-01-03 06:28 PM		
flightarrival	CO-1232-IAH-SFO	2012-01-03 04:00 PM			2012-01-03 06:28 PM		
ua	UA-5206-PSP-IAH	Tue, Jan 3 6:40 AM	Tue, Jan 3 7:18 AM	17	Tue, Jan 3 11:40 AM	Tue, Jan 3 12:13 PM	B87
airtravelcenter	UA-5206-PSP-IAH	1/3/12 6:40 AM (-08:00)			1/3/12 11:40 AM (-06:00)		
myrateplan	UA-5206-PSP-IAH	1/3/12 6:40 AM (-08:00)			1/3/12 11:40 AM (-06:00)		
helloflight	UA-5206-PSP-IAH	1/3/12 6:40 AM (-08:00)			1/3/12 11:40 AM (-06:00)		
flytecomm	UA-5206-PSP-IAH	1/3/12 6:40 AM (-08:00)			1/3/12 11:40 AM (-06:00)		
flights	UA-5206-PSP-IAH	06:40 AM  Tue 03-Jan-2012	07:18 AM  Tue 03-Jan-2012	17	11:40 AM  Tue 03-Jan-2012	12:13 PM  Tue 03-Jan-2012	87
businesstravellogue	UA-5206-PSP-IAH	06:40 AM  Tue 03-Jan-2012	07:18 AM  Tue 03-Jan-2012	17	11:40 AM  Tue 03-Jan-2012	12:13 PM  Tue 03-Jan-2012	87
flylouisville	UA-5206-PSP-IAH	06:40 AM  Tue 03-Jan-2012	07:18 AM  Tue 03-Jan-2012	17	11:40 AM  Tue 03-Jan-2012	12:13 PM  Tue 03-Jan-2012	87
world-flight-tracker	UA-5206-PSP-IAH	2012-01-03 6:40 AM	2012-01-03 7:18 AM		2012-01-03 11:40 AM	2012-01-03 12:13 PM	
flightview	UA-5206-PSP-IAH	6:40 AM, Jan 03	7:29 AM, Jan 03		11:40 AM, Jan 03	12:07 PM, Jan 03	
panynj	UA-5206-PSP-IAH	6:40 AM, Jan 03	7:29 AM, Jan 03		11:40 AM, Jan 03	12:07 PM, Jan 03	
gofox	UA-5206-PSP-IAH	6:40 AM, Jan 03	7:29 AM, Jan 03		11:40 AM, Jan 03	12:07 PM, Jan 03	
foxbusiness	UA-5206-PSP-IAH	6:40 AM, Jan 03	7:29 AM, Jan 03		11:40 AM, Jan 03	12:07 PM, Jan 03	
allegiantair	UA-5206-PSP-IAH	6:40 AM, Jan 03	7:29 AM, Jan 03		11:40 AM, Jan 03	12:07 PM, Jan 03	
boston	UA-5206-PSP-IAH	6:40 AM, Jan 03	7:29 AM, Jan 03		11:40 AM, Jan 03	12:07 PM, Jan 03	
orbitz	UA-5206-PSP-IAH	6:40aJan 3	7:18aJan 3	 17	11:40aJan 3	12:13pJan 3	 B87
weather	UA-5206-PSP-IAH	2012-01-03 06:40 AM			2012-01-03 11:40 AM		
usatoday	UA-5206-PSP-IAH	6:40 AM, Jan 03	7:29 AM, Jan 03		11:40 AM, Jan 03	12:07 PM, Jan 03	
flightarrival	UA-5206-PSP-IAH	2012-01-03 06:40 AM			2012-01-03 11:40 AM		
ua	UA-4436-TYS-EWR	Tue, Jan 3 12:01 PM	Tue, Jan 3 12:57 PM	11	Tue, Jan 3 2:00 PM	Tue, Jan 3 3:01 PM	A25
airtravelcenter	UA-4436-TYS-EWR	1/3/12 12:01 PM (-05:00)			1/3/12 2:00 PM (-05:00)		
myrateplan	UA-4436-TYS-EWR	1/3/12 12:01 PM (-05:00)			1/3/12 2:00 PM (-05:00)		
helloflight	UA-4436-TYS-EWR	1/3/12 12:01 PM (-05:00)			1/3/12 2:00 PM (-05:00)		
flytecomm	UA-4436-TYS-EWR	1/3/12 12:01 PM (-05:00)			1/3/12 2:00 PM (-05:00)		
flights	UA-4436-TYS-EWR	12:01 PM  Tue 03-Jan-2012	12:57 PM  Tue 03-Jan-2012	11	02:00 PM  Tue 03-Jan-2012	03:01 PM  Tue 03-Jan-2012	25
businesstravellogue	UA-4436-TYS-EWR	12:01 PM  Tue 03-Jan-2012	12:57 PM  Tue 03-Jan-2012	11	02:00 PM  Tue 03-Jan-2012	03:01 PM  Tue 03-Jan-2012	25
flylouisville	UA-4436-TYS-EWR	12:01 PM  Tue 03-Jan-2012	12:57 PM  Tue 03-Jan-2012	11	02:00 PM  Tue 03-Jan-2012	03:01 PM  Tue 03-Jan-2012	25
world-flight-tracker	UA-4436-TYS-EWR	2012-01-03 12:01 PM	2012-01-03 12:57 PM		2012-01-03 2:00 PM	2012-01-03 3:01 PM	
flightview	UA-4436-TYS-EWR	12:01 PM, Jan 03	1:11 PM, Jan 03	Main Term - 11	2:00 PM, Jan 03	3:01 PM, Jan 03	Term A - A25
panynj	UA-4436-TYS-EWR	12:01 PM, Jan 03	1:11 PM, Jan 03	Main Term - 11	2:00 PM, Jan 03	3:01 PM, Jan 03	Term A - A25
gofox	UA-4436-TYS-EWR	12:01 PM, Jan 03	1:11 PM, Jan 03		2:00 PM, Jan 03	3:01 PM, Jan 03	
foxbusiness	UA-4436-TYS-EWR	12:01 PM, Jan 03	1:11 PM, Jan 03	Main Term - 11	2:00 PM, Jan 03	3:01 PM, Jan 03	Term A - A25
allegiantair	UA-4436-TYS-EWR	12:01 PM, Jan 03	1:11 PM, Jan 03	Main Term - 11	2:00 PM, Jan 03	3:01 PM, Jan 03	Term A - A25
boston	UA-4436-TYS-EWR	12:01 PM, Jan 03	1:11 PM, Jan 03		2:00 PM, Jan 03	2:48 PM, Jan 03	
orbitz	UA-4436-TYS-EWR	12:01pJan 3	12:57pJan 3	 11	2:00pJan 3	3:01pJan 3	 A25
weather	UA-4436-TYS-EWR	2012-01-03 12:01 PM			2012-01-03 02:00 PM		
usatoday	UA-4436-TYS-EWR	12:01 PM, Jan 03	1:11 PM, Jan 03		2:00 PM, Jan 03	2:48 PM, Jan 03	
mytripandmore	UA-4436-TYS-EWR	12:01pJan 3	12:57pJan 3	 11	2:00pJan 3	3:01pJan 3	 A25
aa	AA-3806-LAX-PHX	January 3, 2012               03:05 PM    	January 3, 2012               03:01 PM    	 44E	January 3, 2012               05:20 PM    	January 3, 2012               05:17 PM    	 2    
flightexplorer	AA-3806-LAX-PHX		1/3/2012 3:14PM PST			1/3/2012 5:04PM MST	
airtravelcenter	AA-3806-LAX-PHX		1/3/12 3:14 PM (-08:00)			1/3/12 5:04 PM (-07:00)	
myrateplan	AA-3806-LAX-PHX		1/3/12 3:14 PM (-08:00)			1/3/12 5:04 PM (-07:00)	
helloflight	AA-3806-LAX-PHX		1/3/12 3:14 PM (-08:00)			1/3/12 5:04 PM (-07:00)	
flytecomm	AA-3806-LAX-PHX		1/3/12 3:14 PM (-08:00)			1/3/12 5:04 PM (-07:00)	
flightaware	AA-3806-LAX-PHX	2012-01-03 03:05PM PST	2012-01-03 03:14PM PST	 44E 	2012-01-03 05:08PM MST	2012-01-03 05:13PM MST	 2 
wunderground	AA-3806-LAX-PHX	2012-01-03 03:05PM PST	2012-01-03 03:14PM PST	 44E 	2012-01-03 05:08PM MST	2012-01-03 05:13PM MST	 2 
flights	AA-3806-LAX-PHX	03:05 PM  Tue 03-Jan-2012	03:01 PM  Tue 03-Jan-2012	44E	05:20 PM  Tue 03-Jan-2012	05:17 PM  Tue 03-Jan-2012	2
businesstravellogue	AA-3806-LAX-PHX	03:05 PM  Tue 03-Jan-2012	03:01 PM  Tue 03-Jan-2012	44E	05:20 PM  Tue 03-Jan-2012	05:17 PM  Tue 03-Jan-2012	2
flylouisville	AA-3806-LAX-PHX	03:05 PM  Tue 03-Jan-2012	03:01 PM  Tue 03-Jan-2012	44E	05:20 PM  Tue 03-Jan-2012	05:17 PM  Tue 03-Jan-2012	2
flightstats	AA-3806-LAX-PHX	2012-01-03 3:05 PM	2012-01-03 3:01 PM		2012-01-03 5:20 PM	2012-01-03 5:17 PM	
quicktrip	AA-3806-LAX-PHX	2012-01-03 3:05 PM	2012-01-03 3:01 PM		2012-01-03 5:20 PM	2012-01-03 5:17 PM	
world-flight-tracker	AA-3806-LAX-PHX	2012-01-03 3:05 PM	2012-01-03 3:01 PM		2012-01-03 5:20 PM	2012-01-03 5:17 PM	
flightview	AA-3806-LAX-PHX	3:05 PM, Jan 03	3:14 PM, Jan 03	Terminal 4 - 44E	5:20 PM, Jan 03	5:17 PM, Jan 03	Terminal 3 - 2
panynj	AA-3806-LAX-PHX	3:05 PM, Jan 03	3:14 PM, Jan 03	Terminal 4 - 44E	5:20 PM, Jan 03	5:17 PM, Jan 03	Terminal 3 - 2
gofox	AA-3806-LAX-PHX	3:05 PM, Jan 03	3:14 PM, Jan 03		5:20 PM, Jan 03	5:17 PM, Jan 03	
foxbusiness	AA-3806-LAX-PHX	3:05 PM, Jan 03	3:14 PM, Jan 03	Terminal 4 - 44E	5:20 PM, Jan 03	5:17 PM, Jan 03	Terminal 3 - 2
allegiantair	AA-3806-LAX-PHX	3:05 PM, Jan 03	3:14 PM, Jan 03	Terminal 4 - 44E	5:20 PM, Jan 03	5:17 PM, Jan 03	Terminal 3 - 2
boston	AA-3806-LAX-PHX	3:05 PM, Jan 03	3:14 PM, Jan 03		5:20 PM, Jan 03	5:10 PM, Jan 03	
orbitz	AA-3806-LAX-PHX	3:05pJan 3	3:01pJan 3	 44E	5:20pJan 3	5:17pJan 3	 2
weather	AA-3806-LAX-PHX	2012-01-03 03:05 PM			2012-01-03 05:20 PM		
ifly	AA-3806-LAX-PHX	2012-01-03 3:05 PM	2012-01-03 3:01 PM		2012-01-03 5:20 PM	2012-01-03 5:17 PM	
usatoday	AA-3806-LAX-PHX	2012-01-03 3:05 PM	2012-01-03 3:01 PM		2012-01-03 5:20 PM	2012-01-03 5:17 PM	
mytripandmore	AA-3806-LAX-PHX	3:05pJan 3	3:01pJan 3	 44E	5:20pJan 3	5:17pJan 3	 2
ua	UA-3496-YUL-ORD	Tue, Jan 3 6:00 AM	Tue, Jan 3 5:55 AM	--	Tue, Jan 3 7:43 AM	Tue, Jan 3 7:35 AM	B18
airtravelcenter	UA-3496-YUL-ORD	1/3/12 6:00 AM (-05:00)			1/3/12 7:43 AM (-06:00)		
myrateplan	UA-3496-YUL-ORD	1/3/12 6:00 AM (-05:00)			1/3/12 7:43 AM (-06:00)		
helloflight	UA-3496-YUL-ORD	1/3/12 6:00 AM (-05:00)			1/3/12 7:43 AM (-06:00)		
flytecomm	UA-3496-YUL-ORD	1/3/12 6:00 AM (-05:00)			1/3/12 7:43 AM (-06:00)		
flights	UA-3496-YUL-ORD	06:00 AM  Tue 03-Jan-2012	05:55 AM  Tue 03-Jan-2012		07:43 AM  Tue 03-Jan-2012	07:35 AM  Tue 03-Jan-2012	
businesstravellogue	UA-3496-YUL-ORD	06:00 AM  Tue 03-Jan-2012	05:55 AM  Tue 03-Jan-2012		07:43 AM  Tue 03-Jan-2012	07:35 AM  Tue 03-Jan-2012	
flylouisville	UA-3496-YUL-ORD	06:00 AM  Tue 03-Jan-2012	05:55 AM  Tue 03-Jan-2012		07:43 AM  Tue 03-Jan-2012	07:35 AM  Tue 03-Jan-2012	
world-flight-tracker	UA-3496-YUL-ORD	2012-01-03 6:00 AM	2012-01-03 5:55 AM		2012-01-03 7:43 AM	2012-01-03 7:35 AM	
flightview	UA-3496-YUL-ORD	6:00 AM, Jan 03	6:42 AM, Jan 03		7:43 AM, Jan 03	7:35 AM, Jan 03	
panynj	UA-3496-YUL-ORD	6:00 AM, Jan 03	6:42 AM, Jan 03		7:43 AM, Jan 03	7:35 AM, Jan 03	
