aa	AA-2446-LAX-DFW	12/07/2011 01:10 PM	12/07/2011 01:19 PM	42B	12/07/2011 06:10 PM	12/07/2011 06:08 PM	C2
businesstravellogue	AA-1990-TUS-ORD	02:10 PM  Wed 07-Dec-2011	02:11 PM  Wed 07-Dec-2011	A7	06:40 PM  Wed 07-Dec-2011	06:11 PM  Wed 07-Dec-2011	K1
flylouisville	AA-1990-TUS-ORD	02:10 PM  Wed 07-Dec-2011	02:11 PM  Wed 07-Dec-2011	A7	06:40 PM  Wed 07-Dec-2011	06:11 PM  Wed 07-Dec-2011	K1
world-flight-tracker	AA-1990-TUS-ORD	2011-12-07 2:10 PM	2011-12-07 2:11 PM		2011-12-07 6:40 PM	2011-12-07 6:11 PM	
flightview	AA-1990-TUS-ORD	2:10 PM, Dec 07	2:12 PM, Dec 07	A7	6:40 PM, Dec 07	6:11 PM, Dec 07	K1
panynj	AA-1990-TUS-ORD	2:10 PM, Dec 07	2:12 PM, Dec 07	A7	6:40 PM, Dec 07	6:11 PM, Dec 07	K1
gofox	AA-1990-TUS-ORD	2:10 PM, Dec 07	2:12 PM, Dec 07		6:40 PM, Dec 07	6:11 PM, Dec 07	
foxbusiness	AA-1990-TUS-ORD	2:10 PM, Dec 07	2:12 PM, Dec 07	A7	6:40 PM, Dec 07	6:11 PM, Dec 07	K1
allegiantair	AA-1990-TUS-ORD	2:10 PM, Dec 07	2:12 PM, Dec 07	A7	6:40 PM, Dec 07	6:11 PM, Dec 07	K1
boston	AA-1990-TUS-ORD	2:10 PM, Dec 07	2:12 PM, Dec 07		6:40 PM, Dec 07	6:11 PM, Dec 07	
travelocity	AA-1990-TUS-ORD	Dec 07 - 2:10pm	Dec 07 - 2:01pm	A7	Dec 07 - 6:40pm	Dec 07 - 6:11pm	K1/T3
orbitz	AA-1990-TUS-ORD	2:10pDec 7	2:01pDec 7	 A7	6:40pDec 7	6:11pDec 7	 K1
weather	AA-1990-TUS-ORD	2011-12-07 02:10 PM			2011-12-07 06:40 PM		
usatoday	AA-1990-TUS-ORD	2:10 PM, Dec 07	2:12 PM, Dec 07		6:40 PM, Dec 07	6:11 PM, Dec 07	
mytripandmore	AA-1990-TUS-ORD	2:10pDec 7	2:01pDec 7	 A7	6:40pDec 7	6:11pDec 7	 K1
flightwise	AA-1990-TUS-ORD	2011-12-07 02:10PM MST	2011-12-07 02:12PM MST	 A7 	2011-12-07 06:38PM CST	2011-12-07 06:06PM CST	 K1 
flightarrival	AA-1990-TUS-ORD	2011-12-07 02:10 PM			2011-12-07 06:40 PM		
ua	UA-656-PHX-ORD	Wed, Dec 7 6:59 AM	Wed, Dec 7 6:58 AM	3	Wed, Dec 7 11:17 AM	Wed, Dec 7 11:13 AM	B18
flightexplorer	UA-656-PHX-ORD		12/7/2011 7:05AM MST			12/7/2011 11:06AM CST	
airtravelcenter	UA-656-PHX-ORD		12/7/11 7:06 AM (-07:00)			12/7/11 11:06 AM (-06:00)	
myrateplan	UA-656-PHX-ORD		12/7/11 7:06 AM (-07:00)			12/7/11 11:06 AM (-06:00)	
helloflight	UA-656-PHX-ORD		12/7/11 7:06 AM (-07:00)			12/7/11 11:06 AM (-06:00)	
flytecomm	UA-656-PHX-ORD		12/7/11 7:06 AM (-07:00)			12/7/11 11:06 AM (-06:00)	
flights	UA-656-PHX-ORD		2011-12-07 06:58 AM	3		2011-12-07 11:13 AM	B18
businesstravellogue	UA-656-PHX-ORD		2011-12-07 06:58 AM	3		2011-12-07 11:13 AM	B18
flylouisville	UA-656-PHX-ORD		2011-12-07 06:58 AM	3		2011-12-07 11:13 AM	B18
flightstats	UA-656-PHX-ORD	2011-12-07 6:59 AM	2011-12-07 6:58 AM		2011-12-07 11:17 AM	2011-12-07 11:13 AM	
quicktrip	UA-656-PHX-ORD	2011-12-07 6:59 AM	2011-12-07 6:58 AM		2011-12-07 11:17 AM	2011-12-07 11:13 AM	
flightview	UA-656-PHX-ORD		7:06 AMDec 07			11:13 AMDec 07	
panynj	UA-656-PHX-ORD		7:06 AMDec 07			11:13 AMDec 07	
gofox	UA-656-PHX-ORD		7:06 AMDec 07			11:13 AMDec 07	
foxbusiness	UA-656-PHX-ORD		7:06 AMDec 07			11:13 AMDec 07	
allegiantair	UA-656-PHX-ORD		7:06 AMDec 07			11:13 AMDec 07	
boston	UA-656-PHX-ORD		7:06 AMDec 07			11:08 AMDec 07	
travelocity	UA-656-PHX-ORD	Dec 07 - Not Available	Dec 07 - 7:06am	3	Dec 07 - Not Available	Dec 07 - 11:13am	B18
orbitz	UA-656-PHX-ORD	7:07aDec 7	7:06aDec 7	 3	11:17aDec 7	11:13aDec 7	 B18
weather	UA-656-PHX-ORD	2011-12-07 06:59 AM			2011-12-07 11:17 AM		
ord	UA-656-PHX-ORD	2011-12-07 6:59 AM		3	2011-12-07 11:17 AM		B18
usatoday	UA-656-PHX-ORD	2011-12-07 6:59 AM	2011-12-07 6:58 AM		2011-12-07 11:17 AM	2011-12-07 11:13 AM	
flightarrival	UA-656-PHX-ORD	2011-12-07 6:59 AM	2011-12-07 6:58 AM		2011-12-07 11:17 AM	2011-12-07 11:13 AM	
CO	CO-88-EWR-IAH	Wed., Dec.07, 2011 7:00 p.m.	Wed., Dec.07, 2011 7:01 p.m.		Wed., Dec.07, 2011 10:05 p.m.	Wed., Dec.07, 2011 10:00 p.m.	
airtravelcenter	CO-88-EWR-IAH	12/7/11 7:00 PM (-05:00)			12/7/11 10:05 PM (-06:00)		
myrateplan	CO-88-EWR-IAH	12/7/11 7:00 PM (-05:00)			12/7/11 10:05 PM (-06:00)		
helloflight	CO-88-EWR-IAH	12/7/11 7:00 PM (-05:00)			12/7/11 10:05 PM (-06:00)		
flytecomm	CO-88-EWR-IAH	12/7/11 7:00 PM (-05:00)			12/7/11 10:05 PM (-06:00)		
flights	CO-88-EWR-IAH		2011-12-07 07:01 PM	98		2011-12-07 10:00 PM	9
businesstravellogue	CO-88-EWR-IAH		2011-12-07 07:01 PM	98		2011-12-07 10:00 PM	9
flylouisville	CO-88-EWR-IAH		2011-12-07 07:01 PM	98		2011-12-07 10:00 PM	9
flightstats	CO-88-EWR-IAH	2011-12-07 7:00 PM	2011-12-07 7:01 PM		2011-12-07 10:05 PM	2011-12-07 10:00 PM	
quicktrip	CO-88-EWR-IAH	2011-12-07 7:00 PM	2011-12-07 7:01 PM		2011-12-07 10:05 PM	2011-12-07 10:00 PM	
flightview	CO-88-EWR-IAH		7:35 PMDec 07			10:00 PMDec 07	
panynj	CO-88-EWR-IAH		7:35 PMDec 07			10:00 PMDec 07	
gofox	CO-88-EWR-IAH		7:35 PMDec 07			10:00 PMDec 07	
foxbusiness	CO-88-EWR-IAH		7:35 PMDec 07			10:00 PMDec 07	
allegiantair	CO-88-EWR-IAH		7:35 PMDec 07			10:00 PMDec 07	
boston	CO-88-EWR-IAH		7:35 PMDec 07			9:56 PMDec 07	
orbitz	CO-88-EWR-IAH	7:00pDec 7	7:01pDec 7	 C98	10:05pDec 7	10:00pDec 7	 E9
ua	UA-4218-EWR-MEM	Wed, Dec 7 12:30 PM	Wed, Dec 7 12:24 PM	C72	Wed, Dec 7 2:20 PM	Wed, Dec 7 2:44 PM	C14
airtravelcenter	UA-4218-EWR-MEM	12/7/11 12:30 PM (-05:00)			12/7/11 2:20 PM (-06:00)		
myrateplan	UA-4218-EWR-MEM	12/7/11 12:30 PM (-05:00)			12/7/11 2:20 PM (-06:00)		
helloflight	UA-4218-EWR-MEM	12/7/11 12:30 PM (-05:00)			12/7/11 2:20 PM (-06:00)		
flytecomm	UA-4218-EWR-MEM	12/7/11 12:30 PM (-05:00)			12/7/11 2:20 PM (-06:00)		
flights	UA-4218-EWR-MEM		2011-12-07 12:24 PM	72		2011-12-07 02:44 PM	C14
businesstravellogue	UA-4218-EWR-MEM		2011-12-07 12:24 PM	72		2011-12-07 02:44 PM	C14
flylouisville	UA-4218-EWR-MEM		2011-12-07 12:24 PM	72		2011-12-07 02:44 PM	C14
flightstats	UA-4218-EWR-MEM	2011-12-07 12:30 PM	2011-12-07 12:24 PM		2011-12-07 2:20 PM	2011-12-07 2:44 PM	
quicktrip	UA-4218-EWR-MEM	2011-12-07 12:30 PM	2011-12-07 12:24 PM		2011-12-07 2:20 PM	2011-12-07 2:44 PM	
flightview	UA-4218-EWR-MEM		12:58 PMDec 07			2:44 PMDec 07	
panynj	UA-4218-EWR-MEM		12:58 PMDec 07			2:44 PMDec 07	
gofox	UA-4218-EWR-MEM		12:58 PMDec 07			2:44 PMDec 07	
foxbusiness	UA-4218-EWR-MEM		12:58 PMDec 07			2:44 PMDec 07	
allegiantair	UA-4218-EWR-MEM		12:58 PMDec 07			2:44 PMDec 07	
boston	UA-4218-EWR-MEM		12:58 PMDec 07			2:38 PMDec 07	
travelocity	UA-4218-EWR-MEM	Dec 07 - 12:30pm	Dec 07 - Contact Airline	Not provided by airline	Dec 07 - 2:20pm	Dec 07 - Contact Airline	Not provided by airline
orbitz	UA-4218-EWR-MEM	12:30pDec 7	12:24pDec 7	 C72	2:20pDec 7	2:44pDec 7	 C14
weather	UA-4218-EWR-MEM	2011-12-07 12:30 PM			2011-12-07 02:20 PM		
usatoday	UA-4218-EWR-MEM	2011-12-07 12:30 PM			2011-12-07 02:20 PM		
flightarrival	UA-4218-EWR-MEM		12:58 PMDec 07			2:38 PMDec 07	
ua	UA-1008-BOG-IAH	Wed, Dec 7 8:50 AM	Wed, Dec 7 8:50 AM	--	Wed, Dec 7 1:01 PM	Wed, Dec 7 1:12 PM	E15
airtravelcenter	UA-1008-BOG-IAH	12/7/11 8:50 AM (-05:00)			12/7/11 1:01 PM (-06:00)		
myrateplan	UA-1008-BOG-IAH	12/7/11 8:50 AM (-05:00)			12/7/11 1:01 PM (-06:00)		
helloflight	UA-1008-BOG-IAH	12/7/11 8:50 AM (-05:00)			12/7/11 1:01 PM (-06:00)		
flytecomm	UA-1008-BOG-IAH	12/7/11 8:50 AM (-05:00)			12/7/11 1:01 PM (-06:00)		
flights	UA-1008-BOG-IAH		2011-12-07 08:50 AM	C04		2011-12-07 01:12 PM	15
businesstravellogue	UA-1008-BOG-IAH		2011-12-07 08:50 AM	C04		2011-12-07 01:12 PM	15
flylouisville	UA-1008-BOG-IAH		2011-12-07 08:50 AM	C04		2011-12-07 01:12 PM	15
flightview	UA-1008-BOG-IAH		8:39 AMDec 07			1:12 PMDec 07	
panynj	UA-1008-BOG-IAH		8:39 AMDec 07			1:12 PMDec 07	
gofox	UA-1008-BOG-IAH		8:39 AMDec 07			1:12 PMDec 07	
foxbusiness	UA-1008-BOG-IAH		8:39 AMDec 07			1:12 PMDec 07	
allegiantair	UA-1008-BOG-IAH		8:39 AMDec 07			1:12 PMDec 07	
boston	UA-1008-BOG-IAH		8:39 AMDec 07			1:08 PMDec 07	
travelocity	UA-1008-BOG-IAH	Dec 07 - 8:50am	Dec 07 - Contact Airline	Not provided by airline	Dec 07 - 1:01pm	Dec 07 - Contact Airline	Not provided by airline
orbitz	UA-1008-BOG-IAH	8:50aDec 7	8:50aDec 7	 -	1:01pDec 7	1:12pDec 7	 -
weather	UA-1008-BOG-IAH	2011-12-07 08:50 AM			2011-12-07 01:01 PM		
mytripandmore	UA-1008-BOG-IAH	8:50aDec 7	8:50aDec 7	 -	1:01pDec 7	1:12pDec 7	 -
flightarrival	UA-1008-BOG-IAH	2011-12-07 08:50 AM			2011-12-07 01:01 PM		
CO	CO-1092-ORD-IAH	Wed., Dec.07, 2011 12:15 p.m.	Wed., Dec.07, 2011 12:33 p.m.		Wed., Dec.07, 2011 3:05 p.m.	Wed., Dec.07, 2011 2:55 p.m.	
flightexplorer	CO-1092-ORD-IAH		12/7/2011 12:45PM CST			12/7/2011 2:53PM CST	
airtravelcenter	CO-1092-ORD-IAH	12/7/11 12:15 PM (-06:00)			12/7/11 3:05 PM (-06:00)		
myrateplan	CO-1092-ORD-IAH	12/7/11 12:15 PM (-06:00)			12/7/11 3:05 PM (-06:00)		
helloflight	CO-1092-ORD-IAH	12/7/11 12:15 PM (-06:00)			12/7/11 3:05 PM (-06:00)		
flytecomm	CO-1092-ORD-IAH	12/7/11 12:15 PM (-06:00)			12/7/11 3:05 PM (-06:00)		
flights	CO-1092-ORD-IAH		2011-12-07 12:33 PM	B2		2011-12-07 02:55 PM	14
businesstravellogue	CO-1092-ORD-IAH		2011-12-07 12:33 PM	B2		2011-12-07 02:55 PM	14
flylouisville	CO-1092-ORD-IAH		2011-12-07 12:33 PM	B2		2011-12-07 02:55 PM	14
flightstats	CO-1092-ORD-IAH	2011-12-07 12:15 PM	2011-12-07 12:33 PM		2011-12-07 3:05 PM	2011-12-07 2:55 PM	
quicktrip	CO-1092-ORD-IAH	2011-12-07 12:15 PM	2011-12-07 12:33 PM		2011-12-07 3:05 PM	2011-12-07 2:55 PM	
flightview	CO-1092-ORD-IAH		12:46 PMDec 07			2:55 PMDec 07	
panynj	CO-1092-ORD-IAH		12:46 PMDec 07			2:55 PMDec 07	
gofox	CO-1092-ORD-IAH		12:46 PMDec 07			2:55 PMDec 07	
foxbusiness	CO-1092-ORD-IAH		12:46 PMDec 07			2:55 PMDec 07	
allegiantair	CO-1092-ORD-IAH		12:46 PMDec 07			2:55 PMDec 07	
boston	CO-1092-ORD-IAH		12:46 PMDec 07			2:52 PMDec 07	
travelocity	CO-1092-ORD-IAH	Dec 07 - 12:15pm	Dec 07 - 12:33pm	B2	Dec 07 - 3:05pm	Dec 07 - 2:55pm	E14
orbitz	CO-1092-ORD-IAH	12:15pDec 7	12:33pDec 7	 B2	3:05pDec 7	2:55pDec 7	 E14
weather	CO-1092-ORD-IAH	2011-12-07 12:15 PM			2011-12-07 03:05 PM		
ord	CO-1092-ORD-IAH	2011-12-07 12:15 PM		B2	2011-12-07 3:05 PM		14
ifly	CO-1092-ORD-IAH	2011-12-07 12:15 PM	2011-12-07 12:33 PM		2011-12-07 3:05 PM	2011-12-07 2:55 PM	
usatoday	CO-1092-ORD-IAH	2011-12-07 12:15 PM	2011-12-07 12:33 PM		2011-12-07 3:05 PM	2011-12-07 2:55 PM	
flightarrival	CO-1092-ORD-IAH		12:46 PMDec 07			2:52 PMDec 07	
ua	UA-6219-DEN-COS	Wed, Dec 7 6:56 PM	Wed, Dec 7 6:56 PM            On Time	B55	Wed, Dec 7 7:31 PM	Wed, Dec 7 7:37 PM	12
airtravelcenter	UA-6219-DEN-COS	12/7/11 6:56 PM (-07:00)			12/7/11 7:31 PM (-07:00)		
myrateplan	UA-6219-DEN-COS	12/7/11 6:56 PM (-07:00)			12/7/11 7:31 PM (-07:00)		
helloflight	UA-6219-DEN-COS	12/7/11 6:56 PM (-07:00)			12/7/11 7:31 PM (-07:00)		
flytecomm	UA-6219-DEN-COS	12/7/11 6:56 PM (-07:00)			12/7/11 7:31 PM (-07:00)		
flightaware	UA-6219-DEN-COS	2011-12-07 06:56PM MST	2011-12-07 07:13PM MST	 B55 	2011-12-07 07:08PM MST	2011-12-07 07:25PM MST	 12 
wunderground	UA-6219-DEN-COS	2011-12-07 06:56PM MST	2011-12-07 07:13PM MST	 B55 	2011-12-07 07:08PM MST	2011-12-07 07:25PM MST	 12 
flights	UA-6219-DEN-COS	2011-12-07 06:56 PM		B55	2011-12-07 07:31 PM		12
businesstravellogue	UA-6219-DEN-COS	2011-12-07 06:56 PM		B55	2011-12-07 07:31 PM		12
flylouisville	UA-6219-DEN-COS	2011-12-07 06:56 PM		B55	2011-12-07 07:31 PM		12
flightstats	UA-6219-DEN-COS	2011-12-07 6:56 PM	2011-12-07 6:56 PM (Estimated)		2011-12-07 7:31 PM	2011-12-07 7:37 PM (Estimated)	
quicktrip	UA-6219-DEN-COS	2011-12-07 6:56 PM	2011-12-07 6:56 PM (Estimated)		2011-12-07 7:31 PM	2011-12-07 7:37 PM (Estimated)	
flightview	UA-6219-DEN-COS	6:56 PMDec 07			7:37 PMDec 07		
panynj	UA-6219-DEN-COS	6:56 PMDec 07			7:37 PMDec 07		
gofox	UA-6219-DEN-COS	6:56 PMDec 07			7:37 PMDec 07		
foxbusiness	UA-6219-DEN-COS	6:56 PMDec 07			7:37 PMDec 07		
allegiantair	UA-6219-DEN-COS	6:56 PMDec 07			7:37 PMDec 07		
boston	UA-6219-DEN-COS	6:56 PMDec 07			7:14 PMDec 07		
orbitz	UA-6219-DEN-COS	6:56pDec 7		 B55	7:43pDec 7		 12
den	UA-6219-DEN-COS	2011-12-07 6:56 PM		B55			
ifly	UA-6219-DEN-COS	2011-12-07 6:56 PM	2011-12-07 6:56 PM (Estimated)		2011-12-07 7:31 PM	2011-12-07 7:37 PM (Estimated)	
usatoday	UA-6219-DEN-COS	6:56 PMDec 07			7:14 PMDec 07		
mytripandmore	UA-6219-DEN-COS	6:56pDec 7		 B55	7:43pDec 7		 12
flightarrival	UA-6219-DEN-COS	6:56 PMDec 07			7:14 PMDec 07		
ua	UA-257-JFK-SFO	Wed, Dec 7 2:30 PM	Wed, Dec 7 2:29 PM	9	Wed, Dec 7 6:15 PM	Wed, Dec 7 5:47 PM	80
flightexplorer	UA-257-JFK-SFO		12/7/2011 2:50PM EST			12/7/2011 5:34PM PST	
airtravelcenter	UA-257-JFK-SFO		12/7/11 2:52 PM (-05:00)			12/7/11 5:34 PM (-08:00)	
myrateplan	UA-257-JFK-SFO		12/7/11 2:52 PM (-05:00)			12/7/11 5:34 PM (-08:00)	
helloflight	UA-257-JFK-SFO		12/7/11 2:52 PM (-05:00)			12/7/11 5:34 PM (-08:00)	
flytecomm	UA-257-JFK-SFO		12/7/11 2:52 PM (-05:00)			12/7/11 5:34 PM (-08:00)	
flightaware	UA-257-JFK-SFO	2011-12-07 02:30PM EST	2011-12-07 02:51PM EST	 9 	2011-12-07 05:48PM PST	2011-12-07 05:38PM PST	 80 
wunderground	UA-257-JFK-SFO	2011-12-07 02:30PM EST	2011-12-07 02:51PM EST	 9 	2011-12-07 05:48PM PST	2011-12-07 05:38PM PST	 80 
flights	UA-257-JFK-SFO	02:30 PM  Wed 07-Dec-2011	02:29 PM  Wed 07-Dec-2011	9	06:15 PM  Wed 07-Dec-2011	05:47 PM  Wed 07-Dec-2011	80
businesstravellogue	UA-257-JFK-SFO	02:30 PM  Wed 07-Dec-2011	02:29 PM  Wed 07-Dec-2011	9	06:15 PM  Wed 07-Dec-2011	05:47 PM  Wed 07-Dec-2011	80
flylouisville	UA-257-JFK-SFO	02:30 PM  Wed 07-Dec-2011	02:29 PM  Wed 07-Dec-2011	9	06:15 PM  Wed 07-Dec-2011	05:47 PM  Wed 07-Dec-2011	80
flightstats	UA-257-JFK-SFO	2011-12-07 2:30 PM	2011-12-07 2:29 PM		2011-12-07 6:15 PM	2011-12-07 5:47 PM	
quicktrip	UA-257-JFK-SFO	2011-12-07 2:30 PM	2011-12-07 2:29 PM		2011-12-07 6:15 PM	2011-12-07 5:47 PM	
world-flight-tracker	UA-257-JFK-SFO	2011-12-07 2:30 PM	2011-12-07 2:29 PM		2011-12-07 6:15 PM	2011-12-07 5:47 PM	
flightview	UA-257-JFK-SFO	2:30 PM, Dec 07	2:52 PM, Dec 07	9	6:15 PM, Dec 07	5:47 PM, Dec 07	Terminal 3 - 80
panynj	UA-257-JFK-SFO	2:30 PM, Dec 07	2:52 PM, Dec 07	9	6:15 PM, Dec 07	5:47 PM, Dec 07	Terminal 3 - 80
gofox	UA-257-JFK-SFO	2:30 PM, Dec 07	2:52 PM, Dec 07		6:15 PM, Dec 07	5:47 PM, Dec 07	
foxbusiness	UA-257-JFK-SFO	2:30 PM, Dec 07	2:52 PM, Dec 07	9	6:15 PM, Dec 07	5:47 PM, Dec 07	Terminal 3 - 80
allegiantair	UA-257-JFK-SFO	2:30 PM, Dec 07	2:52 PM, Dec 07	9	6:15 PM, Dec 07	5:47 PM, Dec 07	Terminal 3 - 80
boston	UA-257-JFK-SFO	2:30 PM, Dec 07	2:52 PM, Dec 07		6:15 PM, Dec 07	5:38 PM, Dec 07	
travelocity	UA-257-JFK-SFO	Dec 07 - Not Available	Dec 07 - 2:51pm	9	Dec 07 - Not Available	Dec 07 - 5:47pm	80
orbitz	UA-257-JFK-SFO	2:30pDec 7	2:29pDec 7	 9	6:15pDec 7	5:47pDec 7	 80
weather	UA-257-JFK-SFO	2011-12-07 02:30 PM			2011-12-07 06:15 PM		
sfo	UA-257-JFK-SFO				2011-12-07 6:15 PM		80
usatoday	UA-257-JFK-SFO	2011-12-07 02:30 PM			2011-12-07 06:15 PM		
flightwise	UA-257-JFK-SFO	2011-12-07 02:30PM EST	2011-12-07 02:51PM EST	 9 	2011-12-07 05:48PM PST	2011-12-07 05:38PM PST	 80 
flightarrival	UA-257-JFK-SFO	2011-12-07 2:30 PM	2011-12-07 2:29 PM		2011-12-07 6:15 PM	2011-12-07 5:47 PM	
CO	CO-4375-EWR-ATL	Wed., Dec.07, 2011 4:10 p.m.	Wed., Dec.07, 2011 5:42 p.m.		Wed., Dec.07, 2011 6:37 p.m.	Wed., Dec.07, 2011 8:46 p.m.	
airtravelcenter	CO-4375-EWR-ATL	12/7/11 4:10 PM (-05:00)			12/7/11 6:37 PM (-05:00)		
myrateplan	CO-4375-EWR-ATL	12/7/11 4:10 PM (-05:00)			12/7/11 6:37 PM (-05:00)		
helloflight	CO-4375-EWR-ATL	12/7/11 4:10 PM (-05:00)			12/7/11 6:37 PM (-05:00)		
flytecomm	CO-4375-EWR-ATL	12/7/11 4:10 PM (-05:00)			12/7/11 6:37 PM (-05:00)		
flights	CO-4375-EWR-ATL		2011-12-07 05:42 PM	26		2011-12-07 08:46 PM	D10
businesstravellogue	CO-4375-EWR-ATL		2011-12-07 05:42 PM	26		2011-12-07 08:46 PM	D10
flylouisville	CO-4375-EWR-ATL		2011-12-07 05:42 PM	26		2011-12-07 08:46 PM	D10
flightstats	CO-4375-EWR-ATL	2011-12-07 4:10 PM	2011-12-07 5:42 PM		2011-12-07 6:37 PM	2011-12-07 8:46 PM	
quicktrip	CO-4375-EWR-ATL	2011-12-07 4:10 PM	2011-12-07 5:42 PM		2011-12-07 6:37 PM	2011-12-07 8:46 PM	
flightview	CO-4375-EWR-ATL		6:26 PMDec 07			8:46 PMDec 07	
panynj	CO-4375-EWR-ATL		6:26 PMDec 07			8:46 PMDec 07	
gofox	CO-4375-EWR-ATL		6:26 PMDec 07			8:46 PMDec 07	
foxbusiness	CO-4375-EWR-ATL		6:26 PMDec 07			8:46 PMDec 07	
allegiantair	CO-4375-EWR-ATL		6:26 PMDec 07			8:46 PMDec 07	
boston	CO-4375-EWR-ATL		6:26 PMDec 07			8:39 PMDec 07	
orbitz	CO-4375-EWR-ATL	4:10pDec 7	5:42pDec 7	 -	6:37pDec 7	8:46pDec 7	 -
weather	CO-4375-EWR-ATL	2011-12-07 04:10 PM			2011-12-07 06:37 PM		
mytripandmore	CO-4375-EWR-ATL	4:10pDec 7	5:42pDec 7	 -	6:37pDec 7	8:46pDec 7	 -
flightarrival	CO-4375-EWR-ATL	2011-12-07 4:10 PM	2011-12-07 5:42 PM		2011-12-07 6:37 PM	2011-12-07 8:46 PM	
CO	CO-1592-EWR-MCO	Wed., Dec.07, 2011 7:45 a.m.	Wed., Dec.07, 2011 7:50 a.m.		Wed., Dec.07, 2011 10:44 a.m.	Wed., Dec.07, 2011 11:04 a.m.	
flightexplorer	CO-1592-EWR-MCO		12/7/2011 8:29AM EST			12/7/2011 10:57AM EST	
airtravelcenter	CO-1592-EWR-MCO	12/7/11 7:45 AM (-05:00)			12/7/11 10:44 AM (-05:00)		
myrateplan	CO-1592-EWR-MCO	12/7/11 7:45 AM (-05:00)			12/7/11 10:44 AM (-05:00)		
helloflight	CO-1592-EWR-MCO	12/7/11 7:45 AM (-05:00)			12/7/11 10:44 AM (-05:00)		
flytecomm	CO-1592-EWR-MCO	12/7/11 7:45 AM (-05:00)			12/7/11 10:44 AM (-05:00)		
flightaware	CO-1592-EWR-MCO	2011-12-07 07:45AM EST	2011-12-07 08:31AM EST	 137 	2011-12-07 10:34AM EST	2011-12-07 10:58AM EST	 35 
wunderground	CO-1592-EWR-MCO	2011-12-07 07:45AM EST	2011-12-07 08:31AM EST	 137 	2011-12-07 10:34AM EST	2011-12-07 10:58AM EST	 35 
flights	CO-1592-EWR-MCO	07:45 AM  Wed 07-Dec-2011	07:50 AM  Wed 07-Dec-2011	137	10:44 AM  Wed 07-Dec-2011	11:04 AM  Wed 07-Dec-2011	35
businesstravellogue	CO-1592-EWR-MCO	07:45 AM  Wed 07-Dec-2011	07:50 AM  Wed 07-Dec-2011	137	10:44 AM  Wed 07-Dec-2011	11:04 AM  Wed 07-Dec-2011	35
flylouisville	CO-1592-EWR-MCO	07:45 AM  Wed 07-Dec-2011	07:50 AM  Wed 07-Dec-2011	137	10:44 AM  Wed 07-Dec-2011	11:04 AM  Wed 07-Dec-2011	35
flightstats	CO-1592-EWR-MCO	2011-12-07 7:45 AM	2011-12-07 7:50 AM		2011-12-07 10:44 AM	2011-12-07 11:04 AM	
quicktrip	CO-1592-EWR-MCO	2011-12-07 7:45 AM	2011-12-07 7:50 AM		2011-12-07 10:44 AM	2011-12-07 11:04 AM	
world-flight-tracker	CO-1592-EWR-MCO	2011-12-07 7:45 AM	2011-12-07 7:50 AM		2011-12-07 10:44 AM	2011-12-07 11:04 AM	
flightview	CO-1592-EWR-MCO	7:45 AM, Dec 07	8:31 AM, Dec 07	Term C - C137	10:44 AM, Dec 07	11:04 AM, Dec 07	Term B - 35
panynj	CO-1592-EWR-MCO	7:45 AM, Dec 07	8:31 AM, Dec 07	Term C - C137	10:44 AM, Dec 07	11:04 AM, Dec 07	Term B - 35
gofox	CO-1592-EWR-MCO	7:45 AM, Dec 07	8:31 AM, Dec 07		10:44 AM, Dec 07	11:04 AM, Dec 07	
foxbusiness	CO-1592-EWR-MCO	7:45 AM, Dec 07	8:31 AM, Dec 07	Term C - C137	10:44 AM, Dec 07	11:04 AM, Dec 07	Term B - 35
allegiantair	CO-1592-EWR-MCO	7:45 AM, Dec 07	8:31 AM, Dec 07	Term C - C137	10:44 AM, Dec 07	11:04 AM, Dec 07	Term B - 35
boston	CO-1592-EWR-MCO	7:45 AM, Dec 07	8:31 AM, Dec 07		10:44 AM, Dec 07	10:59 AM, Dec 07	
travelocity	CO-1592-EWR-MCO	Dec 07 - 7:45am	Dec 07 - 7:50am	C137	Dec 07 - 10:44am	Dec 07 - 11:04am	35
orbitz	CO-1592-EWR-MCO	7:45aDec 7	7:50aDec 7	 C137	10:44aDec 7	11:04aDec 7	 35
weather	CO-1592-EWR-MCO	2011-12-07 07:45 AM			2011-12-07 10:44 AM		
mco	CO-1592-EWR-MCO				2011-12-07 Wed  10:44	2011-12-07 Wed  11:00	35?
usatoday	CO-1592-EWR-MCO	7:45 AM, Dec 07	8:31 AM, Dec 07		10:44 AM, Dec 07	10:59 AM, Dec 07	
ua	UA-837-DFW-SFO	Wed, Dec 7 6:36 AM	Wed, Dec 7 6:28 AM	E2	Wed, Dec 7 8:47 AM	Wed, Dec 7 8:31 AM	84
flightexplorer	UA-837-DFW-SFO		12/7/2011 6:44AM CST			12/7/2011 7:49AM PST	
flights	UA-837-DFW-SFO		2011-12-07 06:28 AM	E2		2011-12-07 08:31 AM	84
businesstravellogue	UA-837-DFW-SFO		2011-12-07 06:28 AM	E2		2011-12-07 08:31 AM	84
flylouisville	UA-837-DFW-SFO		2011-12-07 06:28 AM	E2		2011-12-07 08:31 AM	84
flightstats	UA-837-DFW-SFO	2011-12-07 6:36 AM	2011-12-07 6:28 AM		2011-12-07 8:47 AM	2011-12-07 8:31 AM	
