CO	CO-4237-EWR-DTW	Sun., Dec.25, 2011 12:09 p.m.	Sun., Dec.25, 2011 12:02 p.m.		Sun., Dec.25, 2011 2:16 p.m.	Sun., Dec.25, 2011 2:03 p.m.	
flightview	UA-3540-ORD-CLT		2:11 PMDec 25			4:41 PMDec 25	
panynj	UA-3540-ORD-CLT		2:11 PMDec 25			4:41 PMDec 25	
gofox	UA-3540-ORD-CLT		2:11 PMDec 25			4:41 PMDec 25	
foxbusiness	UA-3540-ORD-CLT		2:11 PMDec 25			4:41 PMDec 25	
allegiantair	UA-3540-ORD-CLT		2:11 PMDec 25			4:41 PMDec 25	
boston	UA-3540-ORD-CLT		2:11 PMDec 25			4:34 PMDec 25	
orbitz	UA-3540-ORD-CLT	2:00pDec 25	1:54pDec 25	 B18	4:54pDec 25	4:41pDec 25	 A4
ua	UA-279-IAD-DFW	Sun, Dec 25 12:20 PM	Sun, Dec 25 12:18 PM	C4	Sun, Dec 25 2:45 PM	Sun, Dec 25 2:45 PM	E6
flightexplorer	UA-279-IAD-DFW		12/25/2011 12:29PM EST			12/25/2011 2:34PM CST	
airtravelcenter	UA-279-IAD-DFW		12/25/11 12:30 PM (-05:00)			12/25/11 2:27 PM (-06:00)	
myrateplan	UA-279-IAD-DFW		12/25/11 12:30 PM (-05:00)			12/25/11 2:27 PM (-06:00)	
helloflight	UA-279-IAD-DFW		12/25/11 12:30 PM (-05:00)			12/25/11 2:27 PM (-06:00)	
flytecomm	UA-279-IAD-DFW		12/25/11 12:30 PM (-05:00)			12/25/11 2:27 PM (-06:00)	
flightaware	UA-279-IAD-DFW	2011-12-25 12:20PM EST	2011-12-25 12:30PM EST	 C4 	2011-12-25 02:40PM CST	2011-12-25 02:34PM CST	 E6 
wunderground	UA-279-IAD-DFW	2011-12-25 12:20PM EST	2011-12-25 12:30PM EST	 C4 	2011-12-25 02:40PM CST	2011-12-25 02:34PM CST	 E6 
flights	UA-279-IAD-DFW	12:20 PM  Sun 25-Dec-2011		C4	02:45 PM  Sun 25-Dec-2011		E6
businesstravellogue	UA-279-IAD-DFW	12:20 PM  Sun 25-Dec-2011		C4	02:45 PM  Sun 25-Dec-2011		E6
flylouisville	UA-279-IAD-DFW	12:20 PM  Sun 25-Dec-2011		C4	02:45 PM  Sun 25-Dec-2011		E6
world-flight-tracker	UA-279-IAD-DFW	2011-12-25 12:20 PM	2011-12-25 12:18 PM		2011-12-25 2:45 PM	2011-12-25 2:45 PM (Estimated)	
flightview	UA-279-IAD-DFW	12:20 PM, Dec 25	12:30 PM, Dec 25		2:45 PM, Dec 25		
panynj	UA-279-IAD-DFW	12:20 PM, Dec 25	12:30 PM, Dec 25		2:45 PM, Dec 25		
gofox	UA-279-IAD-DFW	12:20 PM, Dec 25	12:30 PM, Dec 25		2:45 PM, Dec 25		
foxbusiness	UA-279-IAD-DFW	12:20 PM, Dec 25	12:30 PM, Dec 25		2:45 PM, Dec 25		
allegiantair	UA-279-IAD-DFW	12:20 PM, Dec 25	12:30 PM, Dec 25		2:45 PM, Dec 25		
boston	UA-279-IAD-DFW	12:20 PM, Dec 25	12:30 PM, Dec 25		2:45 PM, Dec 25	2:37 PM, Dec 25&nbsp(Estimated)	
travelocity	UA-279-IAD-DFW	Dec 25 - Not Available	Dec 25 - 12:29pm	C4	Dec 25 - Not Available	Dec 25 - 2:44pm*	E6
orbitz	UA-279-IAD-DFW	12:20pDec 25	12:18pDec 25	 C4	2:43pDec 25		 E6
weather	UA-279-IAD-DFW	2011-12-25 12:20 PM	2011-12-25 12:30 PM		2011-12-25 02:45 PM	2011-12-25 02:27 PM	
dfw	UA-279-IAD-DFW				2011-12-25 2:45 pm		E6
iad	UA-279-IAD-DFW	2011-12-25 12:20 	2011-12-25 12:18 				
ua	UA-1500-IAH-GUA	Sun, Dec 25 8:50 AM	Sun, Dec 25 8:55 AM            Delayed	E15	Sun, Dec 25 11:43 AM	Sun, Dec 25 11:59 AM	15
airtravelcenter	UA-1500-IAH-GUA		12/25/11 9:25 AM (-06:00)			12/25/11 11:50 AM (-06:00)	
airtravelcenter	UA-1500-IAH-GUA	12/25/11 8:50 AM (-06:00)			12/25/11 11:43 AM (-06:00)		
myrateplan	UA-1500-IAH-GUA		12/25/11 9:25 AM (-06:00)			12/25/11 11:50 AM (-06:00)	
myrateplan	UA-1500-IAH-GUA	12/25/11 8:50 AM (-06:00)			12/25/11 11:43 AM (-06:00)		
helloflight	UA-1500-IAH-GUA		12/25/11 9:25 AM (-06:00)			12/25/11 11:50 AM (-06:00)	
helloflight	UA-1500-IAH-GUA	12/25/11 8:50 AM (-06:00)			12/25/11 11:43 AM (-06:00)		
flytecomm	UA-1500-IAH-GUA		12/25/11 9:25 AM (-06:00)			12/25/11 11:50 AM (-06:00)	
flytecomm	UA-1500-IAH-GUA	12/25/11 8:50 AM (-06:00)			12/25/11 11:43 AM (-06:00)		
flights	UA-1500-IAH-GUA		2011-12-25 08:55 AM	15		2011-12-25 11:59 AM	15
businesstravellogue	UA-1500-IAH-GUA		2011-12-25 08:55 AM	15		2011-12-25 11:59 AM	15
flylouisville	UA-1500-IAH-GUA		2011-12-25 08:55 AM	15		2011-12-25 11:59 AM	15
flightview	UA-1500-IAH-GUA		9:25 AMDec 25			11:59 AMDec 25	
panynj	UA-1500-IAH-GUA		9:25 AMDec 25			11:59 AMDec 25	
gofox	UA-1500-IAH-GUA		9:25 AMDec 25			11:59 AMDec 25	
foxbusiness	UA-1500-IAH-GUA		9:25 AMDec 25			11:59 AMDec 25	
allegiantair	UA-1500-IAH-GUA		9:25 AMDec 25			11:59 AMDec 25	
boston	UA-1500-IAH-GUA		9:25 AMDec 25			11:43 AMDec 25	
orbitz	UA-1500-IAH-GUA	8:50aDec 25	8:55aDec 25	 E15	11:43aDec 25	11:59aDec 25	 15
aa	AA-1687-BWI-MIA	December 25, 2011               10:20 AM    	December 25, 2011               10:17 AM    	 C8	December 25, 2011               01:05 PM    	December 25, 2011               01:00 PM    	 D6    
flightexplorer	AA-1687-BWI-MIA		12/25/2011 10:41AM EST			12/25/2011 12:58PM EST	
airtravelcenter	AA-1687-BWI-MIA		12/25/11 10:41 AM (-05:00)			12/25/11 12:58 PM (-05:00)	
myrateplan	AA-1687-BWI-MIA		12/25/11 10:41 AM (-05:00)			12/25/11 12:58 PM (-05:00)	
helloflight	AA-1687-BWI-MIA		12/25/11 10:41 AM (-05:00)			12/25/11 12:58 PM (-05:00)	
flytecomm	AA-1687-BWI-MIA		12/25/11 10:41 AM (-05:00)			12/25/11 12:58 PM (-05:00)	
flights	AA-1687-BWI-MIA		2011-12-25 10:17 AM	C8		2011-12-25 01:00 PM	D6
businesstravellogue	AA-1687-BWI-MIA		2011-12-25 10:17 AM	C8		2011-12-25 01:00 PM	D6
flylouisville	AA-1687-BWI-MIA		2011-12-25 10:17 AM	C8		2011-12-25 01:00 PM	D6
flightview	AA-1687-BWI-MIA		10:41 AMDec 25			1:00 PMDec 25	
panynj	AA-1687-BWI-MIA		10:41 AMDec 25			1:00 PMDec 25	
gofox	AA-1687-BWI-MIA		10:41 AMDec 25			1:00 PMDec 25	
foxbusiness	AA-1687-BWI-MIA		10:41 AMDec 25			1:00 PMDec 25	
allegiantair	AA-1687-BWI-MIA		10:41 AMDec 25			1:00 PMDec 25	
boston	AA-1687-BWI-MIA		10:41 AMDec 25			12:55 PMDec 25	
travelocity	AA-1687-BWI-MIA	Dec 25 - 10:20am	Dec 25 - 10:17am	C8	Dec 25 - 1:05pm	Dec 25 - 1:00pm	D6
orbitz	AA-1687-BWI-MIA	10:20aDec 25	10:17aDec 25	 C8	1:05pDec 25	1:00pDec 25	 D6
weather	AA-1687-BWI-MIA	2011-12-25 10:20 AM			2011-12-25 01:05 PM		
mia	AA-1687-BWI-MIA				1:05P 12-25-11	2011-12-25  1:00P	
mytripandmore	AA-1687-BWI-MIA	Dec 25 - 10:20am	Dec 25 - 10:17am	C8	Dec 25 - 1:05pm	Dec 25 - 1:00pm	D6
ua	UA-5451-LAX-RNO	Sun, Dec 25 7:55 AM	Sun, Dec 25 7:55 AM	88	Sun, Dec 25 9:27 AM	Sun, Dec 25 9:13 AM	--
airtravelcenter	UA-5451-LAX-RNO	12/25/11 7:55 AM (-08:00)			12/25/11 9:27 AM (-08:00)		
myrateplan	UA-5451-LAX-RNO	12/25/11 7:55 AM (-08:00)			12/25/11 9:27 AM (-08:00)		
helloflight	UA-5451-LAX-RNO	12/25/11 7:55 AM (-08:00)			12/25/11 9:27 AM (-08:00)		
flytecomm	UA-5451-LAX-RNO	12/25/11 7:55 AM (-08:00)			12/25/11 9:27 AM (-08:00)		
flights	UA-5451-LAX-RNO		2011-12-25 07:55 AM	88		2011-12-25 09:13 AM	
businesstravellogue	UA-5451-LAX-RNO		2011-12-25 07:55 AM	88		2011-12-25 09:13 AM	
flylouisville	UA-5451-LAX-RNO		2011-12-25 07:55 AM	88		2011-12-25 09:13 AM	
flightview	UA-5451-LAX-RNO		8:15 AMDec 25			9:13 AMDec 25	
panynj	UA-5451-LAX-RNO		8:15 AMDec 25			9:13 AMDec 25	
gofox	UA-5451-LAX-RNO		8:15 AMDec 25			9:13 AMDec 25	
foxbusiness	UA-5451-LAX-RNO		8:15 AMDec 25			9:13 AMDec 25	
allegiantair	UA-5451-LAX-RNO		8:15 AMDec 25			9:13 AMDec 25	
boston	UA-5451-LAX-RNO	7:55 AMDec 25			9:27 AMDec 25		
travelocity	UA-5451-LAX-RNO	Dec 25 - Not Available	Dec 25 - 8:15am	88	Dec 25 - Not Available	Dec 25 - 9:13am	CHK
orbitz	UA-5451-LAX-RNO	7:55aDec 25	7:55aDec 25	 88	9:27aDec 25	9:13aDec 25	 -
weather	UA-5451-LAX-RNO	2011-12-25 07:55 AM			2011-12-25 09:27 AM		
usatoday	UA-5451-LAX-RNO	2011-12-25 07:55 AM			2011-12-25 09:27 AM		
mytripandmore	UA-5451-LAX-RNO	7:55aDec 25	7:55aDec 25	 88	9:27aDec 25	9:13aDec 25	 -
ua	UA-2327-CLT-PVD	Sun, Dec 25 11:45 AM	Sun, Dec 25 11:45 AM	B16	Sun, Dec 25 1:45 PM	Sun, Dec 25 1:29 PM	3
airtravelcenter	UA-2327-CLT-PVD		12/25/11 12:02 PM (-05:00)			12/25/11 1:23 PM (-05:00)	
myrateplan	UA-2327-CLT-PVD		12/25/11 12:02 PM (-05:00)			12/25/11 1:23 PM (-05:00)	
helloflight	UA-2327-CLT-PVD		12/25/11 12:02 PM (-05:00)			12/25/11 1:23 PM (-05:00)	
flytecomm	UA-2327-CLT-PVD		12/25/11 12:02 PM (-05:00)			12/25/11 1:23 PM (-05:00)	
flights	UA-2327-CLT-PVD	11:45 AM  Sun 25-Dec-2011	11:39 AM  Sun 25-Dec-2011	B16	01:45 PM  Sun 25-Dec-2011	01:29 PM  Sun 25-Dec-2011	3
businesstravellogue	UA-2327-CLT-PVD	11:45 AM  Sun 25-Dec-2011	11:39 AM  Sun 25-Dec-2011	B16	01:45 PM  Sun 25-Dec-2011	01:29 PM  Sun 25-Dec-2011	3
flylouisville	UA-2327-CLT-PVD	11:45 AM  Sun 25-Dec-2011	11:39 AM  Sun 25-Dec-2011	B16	01:45 PM  Sun 25-Dec-2011	01:29 PM  Sun 25-Dec-2011	3
world-flight-tracker	UA-2327-CLT-PVD	2011-12-25 11:45 AM	2011-12-25 11:39 AM		2011-12-25 1:45 PM	2011-12-25 1:29 PM	
flightview	UA-2327-CLT-PVD	11:45 AM, Dec 25	12:02 PM, Dec 25		1:45 PM, Dec 25	1:24 PM, Dec 25	
panynj	UA-2327-CLT-PVD	11:45 AM, Dec 25	12:02 PM, Dec 25		1:45 PM, Dec 25	1:24 PM, Dec 25	
gofox	UA-2327-CLT-PVD	11:45 AM, Dec 25	12:02 PM, Dec 25		1:45 PM, Dec 25	1:24 PM, Dec 25	
foxbusiness	UA-2327-CLT-PVD	11:45 AM, Dec 25	12:02 PM, Dec 25		1:45 PM, Dec 25	1:24 PM, Dec 25	
allegiantair	UA-2327-CLT-PVD	11:45 AM, Dec 25	12:02 PM, Dec 25		1:45 PM, Dec 25	1:24 PM, Dec 25	
boston	UA-2327-CLT-PVD	11:45 AM, Dec 25	12:02 PM, Dec 25		1:45 PM, Dec 25	1:24 PM, Dec 25	
travelocity	UA-2327-CLT-PVD	Dec 25 - 11:45am	Dec 25 - Contact Airline	Not provided by airline	Dec 25 - 1:45pm	Dec 25 - Contact Airline	Not provided by airline
orbitz	UA-2327-CLT-PVD	11:45aDec 25	11:39aDec 25	 -	1:45pDec 25	1:29pDec 25	 -
weather	UA-2327-CLT-PVD	2011-12-25 11:45 AM			2011-12-25 01:45 PM		
usatoday	UA-2327-CLT-PVD	2011-12-25 11:45 AM			2011-12-25 01:45 PM		
flightarrival	UA-2327-CLT-PVD	2011-12-25 11:45 AM			2011-12-25 01:45 PM		
ua	UA-4893-EWR-BWI	Sun, Dec 25 9:55 PM	Sun, Dec 25 9:55 PM	C72	Sun, Dec 25 10:59 PM	Sun, Dec 25 10:59 PM	D12
flightexplorer	UA-4893-EWR-BWI	12/25/2011 9:55PM EST			12/25/2011 10:59PM EST		
airtravelcenter	UA-4893-EWR-BWI		12/25/11 10:02 PM (-05:00)			12/25/11 10:35 PM (-05:00)	
myrateplan	UA-4893-EWR-BWI		12/25/11 10:02 PM (-05:00)			12/25/11 10:35 PM (-05:00)	
helloflight	UA-4893-EWR-BWI		12/25/11 10:02 PM (-05:00)			12/25/11 10:35 PM (-05:00)	
flytecomm	UA-4893-EWR-BWI		12/25/11 10:02 PM (-05:00)			12/25/11 10:35 PM (-05:00)	
flights	UA-4893-EWR-BWI	09:55 PM  Sun 25-Dec-2011		72	10:59 PM  Sun 25-Dec-2011		D12
businesstravellogue	UA-4893-EWR-BWI	09:55 PM  Sun 25-Dec-2011		72	10:59 PM  Sun 25-Dec-2011		D12
flylouisville	UA-4893-EWR-BWI	09:55 PM  Sun 25-Dec-2011		72	10:59 PM  Sun 25-Dec-2011		D12
world-flight-tracker	UA-4893-EWR-BWI	2011-12-25 9:55 PM	2011-12-25 9:55 PM (Estimated)		2011-12-25 10:59 PM	2011-12-25 10:59 PM (Estimated)	
flightview	UA-4893-EWR-BWI	9:55 PM, Dec 25		Term C - C72	10:59 PM, Dec 25		Main Term - D12
panynj	UA-4893-EWR-BWI	9:55 PM, Dec 25		Term C - C72	10:59 PM, Dec 25		Main Term - D12
gofox	UA-4893-EWR-BWI	9:55 PM, Dec 25			10:59 PM, Dec 25		
foxbusiness	UA-4893-EWR-BWI	9:55 PM, Dec 25		Term C - C72	10:59 PM, Dec 25		Main Term - D12
allegiantair	UA-4893-EWR-BWI	9:55 PM, Dec 25		Term C - C72	10:59 PM, Dec 25		Main Term - D12
boston	UA-4893-EWR-BWI	9:55 PM, Dec 25	Not Available		10:59 PM, Dec 25	Not Available	
travelocity	UA-4893-EWR-BWI	Dec 25 - 9:55pm	Dec 25 - Contact Airline	Not provided by airline	Dec 25 - 10:59pm	Dec 25 - Contact Airline	Not provided by airline
orbitz	UA-4893-EWR-BWI	9:55pDec 25		 C72	10:59pDec 25		 D12
weather	UA-4893-EWR-BWI	2011-12-25 09:55 PM			2011-12-25 10:59 PM		
usatoday	UA-4893-EWR-BWI	9:55 PM, Dec 25	Not Available		10:59 PM, Dec 25	Not Available	
aa	AA-33-JFK-LAX	December 25, 2011               07:40 AM    	December 25, 2011               07:39 AM    	 36	December 25, 2011               11:05 AM    	December 25, 2011               10:23 AM    	 49A    
flightexplorer	AA-33-JFK-LAX		12/25/2011 8:00AM EST			12/25/2011 10:19AM PST	
airtravelcenter	AA-33-JFK-LAX		12/25/11 8:00 AM (-05:00)			12/25/11 10:19 AM (-08:00)	
myrateplan	AA-33-JFK-LAX		12/25/11 8:00 AM (-05:00)			12/25/11 10:19 AM (-08:00)	
helloflight	AA-33-JFK-LAX		12/25/11 8:00 AM (-05:00)			12/25/11 10:19 AM (-08:00)	
flytecomm	AA-33-JFK-LAX		12/25/11 8:00 AM (-05:00)			12/25/11 10:19 AM (-08:00)	
flightaware	AA-33-JFK-LAX	2011-12-25 07:40AM EST	2011-12-25 07:59AM EST	 36 	2011-12-25 10:41AM PST	2011-12-25 10:19AM PST	 49A 
wunderground	AA-33-JFK-LAX	2011-12-25 07:40AM EST	2011-12-25 07:59AM EST	 36 	2011-12-25 10:41AM PST	2011-12-25 10:19AM PST	 49A 
flights	AA-33-JFK-LAX	07:40 AM  Sun 25-Dec-2011	07:39 AM  Sun 25-Dec-2011	C36	11:05 AM  Sun 25-Dec-2011	10:23 AM  Sun 25-Dec-2011	49A
businesstravellogue	AA-33-JFK-LAX	07:40 AM  Sun 25-Dec-2011	07:39 AM  Sun 25-Dec-2011	C36	11:05 AM  Sun 25-Dec-2011	10:23 AM  Sun 25-Dec-2011	49A
flylouisville	AA-33-JFK-LAX	07:40 AM  Sun 25-Dec-2011	07:39 AM  Sun 25-Dec-2011	C36	11:05 AM  Sun 25-Dec-2011	10:23 AM  Sun 25-Dec-2011	49A
flightstats	AA-33-JFK-LAX	2011-12-25 7:40 AM	2011-12-25 7:39 AM		2011-12-25 11:05 AM	2011-12-25 10:23 AM	
quicktrip	AA-33-JFK-LAX	2011-12-25 7:40 AM	2011-12-25 7:39 AM		2011-12-25 11:05 AM	2011-12-25 10:23 AM	
world-flight-tracker	AA-33-JFK-LAX	2011-12-25 7:40 AM	2011-12-25 7:39 AM		2011-12-25 11:05 AM	2011-12-25 10:23 AM	
flightview	AA-33-JFK-LAX	7:40 AM, Dec 25	8:00 AM, Dec 25	Terminal 8 - 36	11:05 AM, Dec 25	10:23 AM, Dec 25	Terminal 4 - 49A
panynj	AA-33-JFK-LAX	7:40 AM, Dec 25	8:00 AM, Dec 25	Terminal 8 - 36	11:05 AM, Dec 25	10:23 AM, Dec 25	Terminal 4 - 49A
gofox	AA-33-JFK-LAX	7:40 AM, Dec 25	8:00 AM, Dec 25		11:05 AM, Dec 25	10:23 AM, Dec 25	
foxbusiness	AA-33-JFK-LAX	7:40 AM, Dec 25	8:00 AM, Dec 25	Terminal 8 - 36	11:05 AM, Dec 25	10:23 AM, Dec 25	Terminal 4 - 49A
allegiantair	AA-33-JFK-LAX	7:40 AM, Dec 25	8:00 AM, Dec 25	Terminal 8 - 36	11:05 AM, Dec 25	10:23 AM, Dec 25	Terminal 4 - 49A
boston	AA-33-JFK-LAX	7:40 AM, Dec 25	8:00 AM, Dec 25		11:05 AM, Dec 25	10:20 AM, Dec 25	
travelocity	AA-33-JFK-LAX	Dec 25 - 7:40am	Dec 25 - 7:39am	36/8	Dec 25 - 11:05am	Dec 25 - 10:23am	49A/T4
orbitz	AA-33-JFK-LAX	7:40aDec 25	7:39aDec 25	 36	11:05aDec 25	10:23aDec 25	 49A
weather	AA-33-JFK-LAX	2011-12-25 07:40 AM	2011-12-25 08:00 AM		2011-12-25 11:05 AM	2011-12-25 10:21 AM	
usatoday	AA-33-JFK-LAX	2011-12-25 07:40 AM	2011-12-25 08:00 AM		2011-12-25 11:05 AM	2011-12-25 10:21 AM	
mytripandmore	AA-33-JFK-LAX	Dec 25 - 7:40am	Dec 25 - 7:39am	36/8	Dec 25 - 11:05am	Dec 25 - 10:23am	49A/T4
flightarrival	AA-33-JFK-LAX	7:40 AM, Dec 25	8:00 AM, Dec 25		11:05 AM, Dec 25	10:20 AM, Dec 25	
aa	AA-1640-MIA-MCO	December 25, 2011               06:30 PM    	December 25, 2011     	 D44	December 25, 2011               07:25 PM    	December 25, 2011     	 14    
flightexplorer	AA-1640-MIA-MCO	12/25/2011 6:30PM EST			12/25/2011 7:25PM EST		
airtravelcenter	AA-1640-MIA-MCO		12/25/11 6:49 PM (-05:00)			12/25/11 7:27 PM (-05:00)	
myrateplan	AA-1640-MIA-MCO		12/25/11 6:49 PM (-05:00)			12/25/11 7:27 PM (-05:00)	
helloflight	AA-1640-MIA-MCO		12/25/11 6:49 PM (-05:00)			12/25/11 7:27 PM (-05:00)	
flytecomm	AA-1640-MIA-MCO		12/25/11 6:49 PM (-05:00)			12/25/11 7:27 PM (-05:00)	
flightaware	AA-1640-MIA-MCO	2011-12-25 06:30PM EST	2011-12-25 06:40PM EST	 D44 	2011-12-25 07:05PM EST	2011-12-25 07:15PM EST	 14 
wunderground	AA-1640-MIA-MCO	2011-12-25 06:30PM EST	2011-12-25 06:40PM EST	 D44 	2011-12-25 07:05PM EST	2011-12-25 07:15PM EST	 14 
flights	AA-1640-MIA-MCO	06:30 PM  Sun 25-Dec-2011		D44	07:25 PM  Sun 25-Dec-2011		14
businesstravellogue	AA-1640-MIA-MCO	06:30 PM  Sun 25-Dec-2011		D44	07:25 PM  Sun 25-Dec-2011		14
flylouisville	AA-1640-MIA-MCO	06:30 PM  Sun 25-Dec-2011		D44	07:25 PM  Sun 25-Dec-2011		14
flightstats	AA-1640-MIA-MCO	2011-12-25 6:30 PM	2011-12-25 6:30 PM (Estimated)		2011-12-25 7:25 PM	2011-12-25 7:25 PM (Estimated)	
quicktrip	AA-1640-MIA-MCO	2011-12-25 6:30 PM	2011-12-25 6:30 PM (Estimated)		2011-12-25 7:25 PM	2011-12-25 7:25 PM (Estimated)	
world-flight-tracker	AA-1640-MIA-MCO	2011-12-25 6:30 PM	2011-12-25 6:30 PM (Estimated)		2011-12-25 7:25 PM	2011-12-25 7:25 PM (Estimated)	
flightview	AA-1640-MIA-MCO	6:30 PM, Dec 25			7:25 PM, Dec 25		
panynj	AA-1640-MIA-MCO	6:30 PM, Dec 25			7:25 PM, Dec 25		
gofox	AA-1640-MIA-MCO	6:30 PM, Dec 25			7:25 PM, Dec 25		
foxbusiness	AA-1640-MIA-MCO	6:30 PM, Dec 25			7:25 PM, Dec 25		
allegiantair	AA-1640-MIA-MCO	6:30 PM, Dec 25			7:25 PM, Dec 25		
boston	AA-1640-MIA-MCO	6:30 PM, Dec 25	Not Available		7:25 PM, Dec 25	Not Available	
travelocity	AA-1640-MIA-MCO	Dec 25 - 6:30pm	Dec 25 - Not Available	D44	Dec 25 - 7:25pm	Dec 25 - Not Available	14
orbitz	AA-1640-MIA-MCO	6:30pDec 25		 D44	7:25pDec 25		 14
weather	AA-1640-MIA-MCO	2011-12-25 06:30 PM			2011-12-25 07:25 PM		
mco	AA-1640-MIA-MCO				2011-12-25 Sun  19:25	2011-12-25 Sun  19:27	14?
usatoday	AA-1640-MIA-MCO	2011-12-25 6:30 PM	2011-12-25 6:30 PM (Estimated)		2011-12-25 7:25 PM	2011-12-25 7:25 PM (Estimated)	
flightwise	AA-1640-MIA-MCO	2011-12-25 06:30PM EST	2011-12-25 06:40PM EST	 D44 	2011-12-25 07:05PM EST	2011-12-25 07:15PM EST	 14 
aa	AA-1039-ATL-MIA	December 25, 2011               01:25 PM    	December 25, 2011               01:22 PM    	 T11	December 25, 2011               03:20 PM    	December 25, 2011               03:09 PM    	 D5    
flightexplorer	AA-1039-ATL-MIA		12/25/2011 1:37PM EST			12/25/2011 3:03PM EST	
airtravelcenter	AA-1039-ATL-MIA		12/25/11 1:37 PM (-05:00)			12/25/11 3:03 PM (-05:00)	
myrateplan	AA-1039-ATL-MIA		12/25/11 1:37 PM (-05:00)			12/25/11 3:03 PM (-05:00)	
helloflight	AA-1039-ATL-MIA		12/25/11 1:37 PM (-05:00)			12/25/11 3:03 PM (-05:00)	
flytecomm	AA-1039-ATL-MIA		12/25/11 1:37 PM (-05:00)			12/25/11 3:03 PM (-05:00)	
flightaware	AA-1039-ATL-MIA	2011-12-25 01:25PM EST	2011-12-25 01:37PM EST	 T11 	2011-12-25 03:07PM EST	2011-12-25 03:00PM EST	 D5 
wunderground	AA-1039-ATL-MIA	2011-12-25 01:25PM EST	2011-12-25 01:37PM EST	 T11 	2011-12-25 03:07PM EST	2011-12-25 03:00PM EST	 D5 
flights	AA-1039-ATL-MIA	01:25 PM  Sun 25-Dec-2011	01:22 PM  Sun 25-Dec-2011	T11	03:20 PM  Sun 25-Dec-2011	03:09 PM  Sun 25-Dec-2011	D5
businesstravellogue	AA-1039-ATL-MIA	01:25 PM  Sun 25-Dec-2011	01:22 PM  Sun 25-Dec-2011	T11	03:20 PM  Sun 25-Dec-2011	03:09 PM  Sun 25-Dec-2011	D5
flylouisville	AA-1039-ATL-MIA	01:25 PM  Sun 25-Dec-2011	01:22 PM  Sun 25-Dec-2011	T11	03:20 PM  Sun 25-Dec-2011	03:09 PM  Sun 25-Dec-2011	D5
flightstats	AA-1039-ATL-MIA	2011-12-25 1:25 PM	2011-12-25 1:22 PM		2011-12-25 3:20 PM	2011-12-25 3:09 PM	
quicktrip	AA-1039-ATL-MIA	2011-12-25 1:25 PM	2011-12-25 1:22 PM		2011-12-25 3:20 PM	2011-12-25 3:09 PM	
world-flight-tracker	AA-1039-ATL-MIA	2011-12-25 1:25 PM	2011-12-25 1:22 PM		2011-12-25 3:20 PM	2011-12-25 3:09 PM	
flightview	AA-1039-ATL-MIA	1:25 PM, Dec 25	1:37 PM, Dec 25	T11	3:20 PM, Dec 25	3:09 PM, Dec 25	Terminal D - D5
panynj	AA-1039-ATL-MIA	1:25 PM, Dec 25	1:37 PM, Dec 25	T11	3:20 PM, Dec 25	3:09 PM, Dec 25	Terminal D - D5
gofox	AA-1039-ATL-MIA	1:25 PM, Dec 25	1:37 PM, Dec 25		3:20 PM, Dec 25	3:09 PM, Dec 25	
foxbusiness	AA-1039-ATL-MIA	1:25 PM, Dec 25	1:37 PM, Dec 25	T11	3:20 PM, Dec 25	3:09 PM, Dec 25	Terminal D - D5
allegiantair	AA-1039-ATL-MIA	1:25 PM, Dec 25	1:37 PM, Dec 25	T11	3:20 PM, Dec 25	3:09 PM, Dec 25	Terminal D - D5
boston	AA-1039-ATL-MIA	1:25 PM, Dec 25	1:37 PM, Dec 25		3:20 PM, Dec 25	3:00 PM, Dec 25	
travelocity	AA-1039-ATL-MIA	Dec 25 - 1:25pm	Dec 25 - 1:22pm	T11	Dec 25 - 3:20pm	Dec 25 - 3:09pm	D5
orbitz	AA-1039-ATL-MIA	1:25pDec 25	1:22pDec 25	 T11	3:20pDec 25	3:09pDec 25	 D5
weather	AA-1039-ATL-MIA	2011-12-25 01:25 PM			2011-12-25 03:20 PM		
mia	AA-1039-ATL-MIA				3:20P 12-25-11	2011-12-25  3:09P	
usatoday	AA-1039-ATL-MIA	2011-12-25 01:25 PM			2011-12-25 03:20 PM		
flightwise	AA-1039-ATL-MIA	2011-12-25 01:25PM EST	2011-12-25 01:37PM EST	 T11 	2011-12-25 03:07PM EST	2011-12-25 03:00PM EST	 D5 
flightarrival	AA-1039-ATL-MIA	2011-12-25 1:25 PM	2011-12-25 1:22 PM		2011-12-25 3:20 PM	2011-12-25 3:09 PM	
aa	AA-2049-DFW-DEN	December 25, 2011               08:50 AM    	December 25, 2011               09:14 AM    	 C28	December 25, 2011               09:55 AM    	December 25, 2011               09:57 AM    	 A49    
flightexplorer	AA-2049-DFW-DEN		12/25/2011 9:28AM CST			12/25/2011 9:53AM MST	
airtravelcenter	AA-2049-DFW-DEN		12/25/11 9:28 AM (-06:00)			12/25/11 9:53 AM (-07:00)	
myrateplan	AA-2049-DFW-DEN		12/25/11 9:28 AM (-06:00)			12/25/11 9:53 AM (-07:00)	
helloflight	AA-2049-DFW-DEN		12/25/11 9:28 AM (-06:00)			12/25/11 9:53 AM (-07:00)	
flytecomm	AA-2049-DFW-DEN		12/25/11 9:28 AM (-06:00)			12/25/11 9:53 AM (-07:00)	
flightaware	AA-2049-DFW-DEN	2011-12-25 08:50AM CST	2011-12-25 09:28AM CST	 C28 	2011-12-25 09:41AM MST	2011-12-25 09:47AM MST	 A49 
