ua	UA-1534-RTB-IAH	Sat, Dec 3 2:05 PM	Sat, Dec 3 2:59 PM	--	Sat, Dec 3 5:01 PM	Sat, Dec 3 5:49 PM	E17
quicktrip	AA-59-JFK-SFO	2011-12-03 7:10 AM	2011-12-03 7:31 AM		2011-12-03 10:45 AM	2011-12-03 10:24 AM	
world-flight-tracker	AA-59-JFK-SFO	2011-12-03 7:10 AM	2011-12-03 7:31 AM		2011-12-03 10:45 AM	2011-12-03 10:24 AM	
flightview	AA-59-JFK-SFO	7:10 AM, Dec 03	7:32 AM, Dec 03	Terminal 8 - 10	10:45 AM, Dec 03	10:24 AM, Dec 03	Terminal 2 - 58B
panynj	AA-59-JFK-SFO	7:10 AM, Dec 03	7:32 AM, Dec 03	Terminal 8 - 10	10:45 AM, Dec 03	10:24 AM, Dec 03	Terminal 2 - 58B
gofox	AA-59-JFK-SFO	7:10 AM, Dec 03	7:32 AM, Dec 03		10:45 AM, Dec 03	10:24 AM, Dec 03	
foxbusiness	AA-59-JFK-SFO	7:10 AM, Dec 03	7:32 AM, Dec 03	Terminal 8 - 10	10:45 AM, Dec 03	10:24 AM, Dec 03	Terminal 2 - 58B
allegiantair	AA-59-JFK-SFO	7:10 AM, Dec 03	7:32 AM, Dec 03	Terminal 8 - 10	10:45 AM, Dec 03	10:24 AM, Dec 03	Terminal 2 - 58B
boston	AA-59-JFK-SFO	7:10 AM, Dec 03	7:32 AM, Dec 03		10:45 AM, Dec 03	10:20 AM, Dec 03	
travelocity	AA-59-JFK-SFO	Dec 03 - 7:10am	Dec 03 - 7:06am	10/8	Dec 03 - 10:45am	Dec 03 - 10:24am	58B
orbitz	AA-59-JFK-SFO	7:10aDec 3	7:06aDec 3	 10	10:45aDec 3	10:24aDec 3	 58B
weather	AA-59-JFK-SFO	2011-12-03 07:10 AM	2011-12-03 07:32 AM		2011-12-03 10:45 AM	2011-12-03 10:23 AM	
sfo	AA-59-JFK-SFO				2011-12-03 10:45 AM		58
usatoday	AA-59-JFK-SFO	7:10 AM, Dec 03	7:32 AM, Dec 03		10:45 AM, Dec 03	10:20 AM, Dec 03	
ua	UA-1099-EWR-ORD	Sat, Dec 3 7:00 AM	Sat, Dec 3 7:06 AM	C125	Sat, Dec 3 8:33 AM	Sat, Dec 3 8:37 AM	B4
flightexplorer	UA-1099-EWR-ORD		12/3/2011 7:17AM EST			12/3/2011 8:28AM CST	
airtravelcenter	UA-1099-EWR-ORD		12/3/11 7:19 AM (-05:00)			12/3/11 8:28 AM (-06:00)	
myrateplan	UA-1099-EWR-ORD		12/3/11 7:19 AM (-05:00)			12/3/11 8:28 AM (-06:00)	
helloflight	UA-1099-EWR-ORD		12/3/11 7:19 AM (-05:00)			12/3/11 8:28 AM (-06:00)	
flytecomm	UA-1099-EWR-ORD		12/3/11 7:19 AM (-05:00)			12/3/11 8:28 AM (-06:00)	
flightaware	UA-1099-EWR-ORD	2011-12-03 07:00AM EST	2011-12-03 07:18AM EST	 125 	2011-12-03 08:20AM CST	2011-12-03 08:25AM CST	 B4 
wunderground	UA-1099-EWR-ORD	2011-12-03 07:00AM EST	2011-12-03 07:18AM EST	 125 	2011-12-03 08:20AM CST	2011-12-03 08:25AM CST	 B4 
flights	UA-1099-EWR-ORD	07:00 AM  Sat 03-Dec-2011	07:06 AM  Sat 03-Dec-2011	125	08:33 AM  Sat 03-Dec-2011	08:37 AM  Sat 03-Dec-2011	B4
businesstravellogue	UA-1099-EWR-ORD	07:00 AM  Sat 03-Dec-2011	07:06 AM  Sat 03-Dec-2011	125	08:33 AM  Sat 03-Dec-2011	08:37 AM  Sat 03-Dec-2011	B4
flylouisville	UA-1099-EWR-ORD	07:00 AM  Sat 03-Dec-2011	07:06 AM  Sat 03-Dec-2011	125	08:33 AM  Sat 03-Dec-2011	08:37 AM  Sat 03-Dec-2011	B4
flightstats	UA-1099-EWR-ORD	2011-12-03 7:00 AM	2011-12-03 7:06 AM		2011-12-03 8:33 AM	2011-12-03 8:37 AM	
quicktrip	UA-1099-EWR-ORD	2011-12-03 7:00 AM	2011-12-03 7:06 AM		2011-12-03 8:33 AM	2011-12-03 8:37 AM	
world-flight-tracker	UA-1099-EWR-ORD	2011-12-03 7:00 AM	2011-12-03 7:06 AM		2011-12-03 8:33 AM	2011-12-03 8:37 AM	
flightview	UA-1099-EWR-ORD	7:00 AM, Dec 03	7:19 AM, Dec 03	Term C - C125	8:33 AM, Dec 03	8:37 AM, Dec 03	Term 1 - B4
panynj	UA-1099-EWR-ORD	7:00 AM, Dec 03	7:19 AM, Dec 03	Term C - C125	8:33 AM, Dec 03	8:37 AM, Dec 03	Term 1 - B4
gofox	UA-1099-EWR-ORD	7:00 AM, Dec 03	7:19 AM, Dec 03		8:33 AM, Dec 03	8:37 AM, Dec 03	
foxbusiness	UA-1099-EWR-ORD	7:00 AM, Dec 03	7:19 AM, Dec 03	Term C - C125	8:33 AM, Dec 03	8:37 AM, Dec 03	Term 1 - B4
allegiantair	UA-1099-EWR-ORD	7:00 AM, Dec 03	7:19 AM, Dec 03	Term C - C125	8:33 AM, Dec 03	8:37 AM, Dec 03	Term 1 - B4
boston	UA-1099-EWR-ORD	7:00 AM, Dec 03	7:19 AM, Dec 03		8:33 AM, Dec 03	8:26 AM, Dec 03	
travelocity	UA-1099-EWR-ORD	Dec 03 - 7:00am	Dec 03 - Contact Airline	Not provided by airline	Dec 03 - 8:33am	Dec 03 - Contact Airline	Not provided by airline
orbitz	UA-1099-EWR-ORD	7:00aDec 3	7:06aDec 3	 125	8:33aDec 3	8:37aDec 3	 B4
weather	UA-1099-EWR-ORD	2011-12-03 07:00 AM	2011-12-03 07:19 AM		2011-12-03 08:33 AM	2011-12-03 08:24 AM	
ord	UA-1099-EWR-ORD	2011-12-03 7:00 AM		125	2011-12-03 8:33 AM		B4
usatoday	UA-1099-EWR-ORD	2011-12-03 07:00 AM	2011-12-03 07:19 AM		2011-12-03 08:33 AM	2011-12-03 08:24 AM	
mytripandmore	UA-1099-EWR-ORD	7:00aDec 3	7:06aDec 3	 125	8:33aDec 3	8:37aDec 3	 B4
flightwise	UA-1099-EWR-ORD	2011-12-03 07:00AM EST	2011-12-03 07:18AM EST	 125 	2011-12-03 08:20AM CST	2011-12-03 08:25AM CST	 B4 
flightarrival	UA-1099-EWR-ORD	2011-12-03 07:00 AM	2011-12-03 07:19 AM		2011-12-03 08:33 AM	2011-12-03 08:24 AM	
CO	CO-1173-IAH-DEN	Sat., Dec.03, 2011 8:45 a.m.	Sat., Dec.03, 2011 8:42 a.m.		Sat., Dec.03, 2011 10:21 a.m.	Sat., Dec.03, 2011 10:25 a.m.	
airtravelcenter	CO-1173-IAH-DEN	12/3/11 8:45 AM (-06:00)			12/3/11 10:21 AM (-07:00)		
myrateplan	CO-1173-IAH-DEN	12/3/11 8:45 AM (-06:00)			12/3/11 10:21 AM (-07:00)		
helloflight	CO-1173-IAH-DEN	12/3/11 8:45 AM (-06:00)			12/3/11 10:21 AM (-07:00)		
flytecomm	CO-1173-IAH-DEN	12/3/11 8:45 AM (-06:00)			12/3/11 10:21 AM (-07:00)		
flights	CO-1173-IAH-DEN	08:45 AM  Sat 03-Dec-2011	08:42 AM  Sat 03-Dec-2011	37	10:21 AM  Sat 03-Dec-2011	10:25 AM  Sat 03-Dec-2011	B20
businesstravellogue	CO-1173-IAH-DEN	08:45 AM  Sat 03-Dec-2011	08:42 AM  Sat 03-Dec-2011	37	10:21 AM  Sat 03-Dec-2011	10:25 AM  Sat 03-Dec-2011	B20
flylouisville	CO-1173-IAH-DEN	08:45 AM  Sat 03-Dec-2011	08:42 AM  Sat 03-Dec-2011	37	10:21 AM  Sat 03-Dec-2011	10:25 AM  Sat 03-Dec-2011	B20
flightstats	CO-1173-IAH-DEN	2011-12-03 8:45 AM	2011-12-03 8:42 AM		2011-12-03 10:21 AM	2011-12-03 10:25 AM	
quicktrip	CO-1173-IAH-DEN	2011-12-03 8:45 AM	2011-12-03 8:42 AM		2011-12-03 10:21 AM	2011-12-03 10:25 AM	
world-flight-tracker	CO-1173-IAH-DEN	2011-12-03 8:45 AM	2011-12-03 8:42 AM		2011-12-03 10:21 AM	2011-12-03 10:25 AM	
flightview	CO-1173-IAH-DEN	8:45 AM, Dec 03	8:54 AM, Dec 03	Term C - C37	10:21 AM, Dec 03	10:19 AM, Dec 03	Terminal Conc B - B20
panynj	CO-1173-IAH-DEN	8:45 AM, Dec 03	8:54 AM, Dec 03	Term C - C37	10:21 AM, Dec 03	10:19 AM, Dec 03	Terminal Conc B - B20
gofox	CO-1173-IAH-DEN	8:45 AM, Dec 03	8:54 AM, Dec 03		10:21 AM, Dec 03	10:19 AM, Dec 03	
foxbusiness	CO-1173-IAH-DEN	8:45 AM, Dec 03	8:54 AM, Dec 03	Term C - C37	10:21 AM, Dec 03	10:19 AM, Dec 03	Terminal Conc B - B20
allegiantair	CO-1173-IAH-DEN	8:45 AM, Dec 03	8:54 AM, Dec 03	Term C - C37	10:21 AM, Dec 03	10:19 AM, Dec 03	Terminal Conc B - B20
boston	CO-1173-IAH-DEN	8:45 AM, Dec 03	8:54 AM, Dec 03		10:21 AM, Dec 03	10:19 AM, Dec 03	
orbitz	CO-1173-IAH-DEN	8:45aDec 3	8:43aDec 3	 37	10:21aDec 3	11:37aDec 3	 B20
weather	CO-1173-IAH-DEN	2011-12-03 08:45 AM			2011-12-03 10:21 AM		
den	CO-1173-IAH-DEN				2011-12-03 10:21 AM		B20
flightarrival	CO-1173-IAH-DEN	2011-12-03 08:45 AM			2011-12-03 10:21 AM		
aa	AA-557-MIA-STT	12/03/2011 12:00 PM	12/03/2011 12:33 PM	D47	12/03/2011 03:30 PM	12/03/2011 03:49 PM	
airtravelcenter	AA-557-MIA-STT		12/3/11 12:33 PM (-05:00)			12/3/11 3:44 PM (-04:00)	
myrateplan	AA-557-MIA-STT		12/3/11 12:33 PM (-05:00)			12/3/11 3:44 PM (-04:00)	
helloflight	AA-557-MIA-STT		12/3/11 12:33 PM (-05:00)			12/3/11 3:44 PM (-04:00)	
flytecomm	AA-557-MIA-STT		12/3/11 12:33 PM (-05:00)			12/3/11 3:44 PM (-04:00)	
flights	AA-557-MIA-STT	12:00 PM  Sat 03-Dec-2011	12:33 PM  Sat 03-Dec-2011		03:30 PM  Sat 03-Dec-2011	03:49 PM  Sat 03-Dec-2011	
businesstravellogue	AA-557-MIA-STT	12:00 PM  Sat 03-Dec-2011	12:33 PM  Sat 03-Dec-2011		03:30 PM  Sat 03-Dec-2011	03:49 PM  Sat 03-Dec-2011	
flylouisville	AA-557-MIA-STT	12:00 PM  Sat 03-Dec-2011	12:33 PM  Sat 03-Dec-2011		03:30 PM  Sat 03-Dec-2011	03:49 PM  Sat 03-Dec-2011	
world-flight-tracker	AA-557-MIA-STT	2011-12-03 12:00 PM	2011-12-03 12:33 PM		2011-12-03 3:30 PM	2011-12-03 3:49 PM	
flightview	AA-557-MIA-STT	12:00 PM, Dec 03	12:33 PM, Dec 03		3:30 PM, Dec 03	3:45 PM, Dec 03	
panynj	AA-557-MIA-STT	12:00 PM, Dec 03	12:33 PM, Dec 03		3:30 PM, Dec 03	3:45 PM, Dec 03	
gofox	AA-557-MIA-STT	12:00 PM, Dec 03	12:33 PM, Dec 03		3:30 PM, Dec 03	3:45 PM, Dec 03	
foxbusiness	AA-557-MIA-STT	12:00 PM, Dec 03	12:33 PM, Dec 03		3:30 PM, Dec 03	3:45 PM, Dec 03	
allegiantair	AA-557-MIA-STT	12:00 PM, Dec 03	12:33 PM, Dec 03		3:30 PM, Dec 03	3:45 PM, Dec 03	
boston	AA-557-MIA-STT	12:00 PM, Dec 03	12:33 PM, Dec 03		3:30 PM, Dec 03	3:45 PM, Dec 03	
travelocity	AA-557-MIA-STT	Dec 03 - 12:00noon	Dec 03 - 11:59am	D47	Dec 03 - 3:30pm	Dec 03 - 3:49pm	Not provided by airline
orbitz	AA-557-MIA-STT	12:00pDec 3	11:59aDec 3	 D47	3:30pDec 3	3:49pDec 3	 -
weather	AA-557-MIA-STT	2011-12-03 12:00 PM			2011-12-03 03:30 PM		
mytripandmore	AA-557-MIA-STT	Dec 03 - 12:00noon	Dec 03 - 11:59am	D47	Dec 03 - 3:30pm	Dec 03 - 3:49pm	Not provided by airline
flightarrival	AA-557-MIA-STT	2011-12-03 12:00 PM			2011-12-03 03:30 PM		
aa	AA-1106-DFW-OKC	12/03/2011 09:25 PM		C17	12/03/2011 10:15 PM		4
airtravelcenter	AA-1106-DFW-OKC		12/3/11 9:29 PM (-06:00)			12/3/11 10:03 PM (-06:00)	
myrateplan	AA-1106-DFW-OKC		12/3/11 9:29 PM (-06:00)			12/3/11 10:03 PM (-06:00)	
helloflight	AA-1106-DFW-OKC		12/3/11 9:29 PM (-06:00)			12/3/11 10:03 PM (-06:00)	
flytecomm	AA-1106-DFW-OKC		12/3/11 9:29 PM (-06:00)			12/3/11 10:03 PM (-06:00)	
flightaware	AA-1106-DFW-OKC	2011-12-03 09:25PM CST	2011-12-03 09:29PM CST		2011-12-03 09:59PM CST	2011-12-03 10:03PM CST	
wunderground	AA-1106-DFW-OKC	2011-12-03 09:25PM CST	2011-12-03 09:29PM CST		2011-12-03 09:59PM CST	2011-12-03 10:03PM CST	
flights	AA-1106-DFW-OKC	09:25 PM  Sat 03-Dec-2011		C17	10:15 PM  Sat 03-Dec-2011		4
businesstravellogue	AA-1106-DFW-OKC	09:25 PM  Sat 03-Dec-2011		C17	10:15 PM  Sat 03-Dec-2011		4
flylouisville	AA-1106-DFW-OKC	09:25 PM  Sat 03-Dec-2011		C17	10:15 PM  Sat 03-Dec-2011		4
flightstats	AA-1106-DFW-OKC	2011-12-03 9:25 PM	2011-12-03 9:29 PM (Estimated runway)		2011-12-03 10:15 PM	2011-12-03 10:03 PM (Estimated runway)	
quicktrip	AA-1106-DFW-OKC	2011-12-03 9:25 PM	2011-12-03 9:29 PM (Estimated runway)		2011-12-03 10:15 PM	2011-12-03 10:03 PM (Estimated runway)	
world-flight-tracker	AA-1106-DFW-OKC	2011-12-03 9:25 PM	2011-12-03 9:29 PM (Estimated runway)		2011-12-03 10:15 PM	2011-12-03 10:03 PM (Estimated runway)	
flightview	AA-1106-DFW-OKC	9:25 PM, Dec 03			10:15 PM, Dec 03		
panynj	AA-1106-DFW-OKC	9:25 PM, Dec 03			10:15 PM, Dec 03		
gofox	AA-1106-DFW-OKC	9:25 PM, Dec 03			10:15 PM, Dec 03		
foxbusiness	AA-1106-DFW-OKC	9:25 PM, Dec 03			10:15 PM, Dec 03		
allegiantair	AA-1106-DFW-OKC	9:25 PM, Dec 03			10:15 PM, Dec 03		
boston	AA-1106-DFW-OKC	9:25 PM, Dec 03	Not Available		10:15 PM, Dec 03	Not Available	
travelocity	AA-1106-DFW-OKC	Dec 03 - 9:25pm	Dec 03 - Not Available	C17/C	Dec 03 - 10:15pm	Dec 03 - Not Available	4
orbitz	AA-1106-DFW-OKC	9:25pDec 3		 C17	10:15pDec 3		 4
weather	AA-1106-DFW-OKC	2011-12-03 09:25 PM			2011-12-03 10:15 PM		
dfw	AA-1106-DFW-OKC	2011-12-03 9:25 pm		C17			
usatoday	AA-1106-DFW-OKC	2011-12-03 9:25 PM	2011-12-03 9:29 PM (Estimated runway)		2011-12-03 10:15 PM	2011-12-03 10:03 PM (Estimated runway)	
mytripandmore	AA-1106-DFW-OKC	9:25pDec 3		 C17	10:15pDec 3		 4
ua	UA-2487-CLT-FLL	Sat, Dec 3 8:15 PM	Sat, Dec 3 8:15 PM	C8	Sat, Dec 3 10:16 PM	Sat, Dec 3 10:16 PM	E5
airtravelcenter	UA-2487-CLT-FLL	12/3/11 8:15 PM (-05:00)			12/3/11 10:16 PM (-05:00)		
myrateplan	UA-2487-CLT-FLL	12/3/11 8:15 PM (-05:00)			12/3/11 10:16 PM (-05:00)		
helloflight	UA-2487-CLT-FLL	12/3/11 8:15 PM (-05:00)			12/3/11 10:16 PM (-05:00)		
flytecomm	UA-2487-CLT-FLL	12/3/11 8:15 PM (-05:00)			12/3/11 10:16 PM (-05:00)		
flightaware	UA-2487-CLT-FLL	2011-12-03 08:15PM EST	2011-12-03 08:18PM EST		2011-12-03 09:59PM EST	2011-12-03 10:02PM EST	
wunderground	UA-2487-CLT-FLL	2011-12-03 08:15PM EST	2011-12-03 08:18PM EST		2011-12-03 09:59PM EST	2011-12-03 10:02PM EST	
flights	UA-2487-CLT-FLL	08:15 PM  Sat 03-Dec-2011		C8	10:16 PM  Sat 03-Dec-2011		E5
businesstravellogue	UA-2487-CLT-FLL	08:15 PM  Sat 03-Dec-2011		C8	10:16 PM  Sat 03-Dec-2011		E5
flylouisville	UA-2487-CLT-FLL	08:15 PM  Sat 03-Dec-2011		C8	10:16 PM  Sat 03-Dec-2011		E5
flightstats	UA-2487-CLT-FLL	2011-12-03 8:15 PM	2011-12-03 8:15 PM (Estimated)		2011-12-03 10:16 PM	2011-12-03 10:16 PM (Estimated)	
quicktrip	UA-2487-CLT-FLL	2011-12-03 8:15 PM	2011-12-03 8:15 PM (Estimated)		2011-12-03 10:16 PM	2011-12-03 10:16 PM (Estimated)	
world-flight-tracker	UA-2487-CLT-FLL	2011-12-03 8:15 PM	2011-12-03 8:15 PM (Estimated)		2011-12-03 10:16 PM	2011-12-03 10:16 PM (Estimated)	
travelocity	UA-2487-CLT-FLL	Dec 03 - 8:15pm	Dec 03 - Contact Airline	Not provided by airline	Dec 03 - 10:16pm	Dec 03 - Contact Airline	Not provided by airline
orbitz	UA-2487-CLT-FLL	8:15pDec 3		 C8	10:16pDec 3		 E5
weather	UA-2487-CLT-FLL	2011-12-03 08:15 PM			2011-12-03 10:16 PM		
ifly	UA-2487-CLT-FLL	2011-12-03 8:15 PM	2011-12-03 8:15 PM (Estimated)		2011-12-03 10:16 PM	2011-12-03 10:16 PM (Estimated)	
mytripandmore	UA-2487-CLT-FLL	8:15pDec 3		 C8	10:16pDec 3		 E5
flightwise	UA-2487-CLT-FLL	2011-12-03 08:15PM EST	2011-12-03 08:18PM EST		2011-12-03 09:59PM EST	2011-12-03 10:02PM EST	
ua	UA-1027-IAH-CLE	Sat, Dec 3 3:45 PM	Sat, Dec 3 3:44 PM	C-36	Sat, Dec 3 7:31 PM	Sat, Dec 3 7:11 PM	C07
airtravelcenter	UA-1027-IAH-CLE		12/3/11 3:59 PM (-06:00)			12/3/11 7:03 PM (-05:00)	
myrateplan	UA-1027-IAH-CLE		12/3/11 3:59 PM (-06:00)			12/3/11 7:03 PM (-05:00)	
helloflight	UA-1027-IAH-CLE		12/3/11 3:59 PM (-06:00)			12/3/11 7:03 PM (-05:00)	
flytecomm	UA-1027-IAH-CLE		12/3/11 3:59 PM (-06:00)			12/3/11 7:03 PM (-05:00)	
flightaware	UA-1027-IAH-CLE	2011-12-03 03:45PM CST	2011-12-03 03:59PM CST	 36 	2011-12-03 07:01PM EST	2011-12-03 07:03PM EST	 C7 
wunderground	UA-1027-IAH-CLE	2011-12-03 03:45PM CST	2011-12-03 03:59PM CST	 36 	2011-12-03 07:01PM EST	2011-12-03 07:03PM EST	 C7 
flights	UA-1027-IAH-CLE	03:45 PM  Sat 03-Dec-2011		36	07:31 PM  Sat 03-Dec-2011		C7
businesstravellogue	UA-1027-IAH-CLE	03:45 PM  Sat 03-Dec-2011		36	07:31 PM  Sat 03-Dec-2011		C7
flylouisville	UA-1027-IAH-CLE	03:45 PM  Sat 03-Dec-2011		36	07:31 PM  Sat 03-Dec-2011		C7
flightstats	UA-1027-IAH-CLE	2011-12-03 3:45 PM	2011-12-03 3:44 PM		2011-12-03 7:31 PM	2011-12-03 7:11 PM (Estimated)	
quicktrip	UA-1027-IAH-CLE	2011-12-03 3:45 PM	2011-12-03 3:44 PM		2011-12-03 7:31 PM	2011-12-03 7:11 PM (Estimated)	
world-flight-tracker	UA-1027-IAH-CLE	2011-12-03 3:45 PM	2011-12-03 3:44 PM		2011-12-03 7:31 PM	2011-12-03 7:11 PM (Estimated)	
flightview	UA-1027-IAH-CLE	3:45 PM, Dec 03	3:59 PM, Dec 03		7:31 PM, Dec 03		
panynj	UA-1027-IAH-CLE	3:45 PM, Dec 03	3:59 PM, Dec 03		7:31 PM, Dec 03		
gofox	UA-1027-IAH-CLE	3:45 PM, Dec 03	3:59 PM, Dec 03		7:31 PM, Dec 03		
foxbusiness	UA-1027-IAH-CLE	3:45 PM, Dec 03	3:59 PM, Dec 03		7:31 PM, Dec 03		
allegiantair	UA-1027-IAH-CLE	3:45 PM, Dec 03	3:59 PM, Dec 03		7:31 PM, Dec 03		
boston	UA-1027-IAH-CLE	3:45 PM, Dec 03	3:59 PM, Dec 03		7:31 PM, Dec 03	7:02 PM, Dec 03&nbsp(Estimated)	
travelocity	UA-1027-IAH-CLE	Dec 03 - 3:45pm	Dec 03 - Contact Airline	Not provided by airline	Dec 03 - 7:31pm	Dec 03 - Contact Airline	Not provided by airline
orbitz	UA-1027-IAH-CLE	3:45pDec 3	3:44pDec 3	 C-36	6:51pDec 3		 C07
weather	UA-1027-IAH-CLE	2011-12-03 03:45 PM	2011-12-03 03:59 PM		2011-12-03 07:31 PM	2011-12-03 07:02 PM	
mytripandmore	UA-1027-IAH-CLE	3:45pDec 3	3:44pDec 3	 C-36	6:51pDec 3		 C07
flightwise	UA-1027-IAH-CLE	2011-12-03 03:45PM CST	2011-12-03 03:59PM CST	 36 	2011-12-03 07:01PM EST	2011-12-03 07:03PM EST	 C7 
flightarrival	UA-1027-IAH-CLE	3:45 PM, Dec 03	3:59 PM, Dec 03		7:31 PM, Dec 03	7:02 PM, Dec 03&nbsp(Estimated)	
CO	CO-50-CLE-EWR	Sat., Dec.03, 2011 2:55 p.m.	Sat., Dec.03, 2011 2:54 p.m.		Sat., Dec.03, 2011 4:39 p.m.	Sat., Dec.03, 2011 4:23 p.m.	
airtravelcenter	CO-50-CLE-EWR	12/3/11 2:55 PM (-05:00)			12/3/11 4:39 PM (-05:00)		
myrateplan	CO-50-CLE-EWR	12/3/11 2:55 PM (-05:00)			12/3/11 4:39 PM (-05:00)		
helloflight	CO-50-CLE-EWR	12/3/11 2:55 PM (-05:00)			12/3/11 4:39 PM (-05:00)		
flytecomm	CO-50-CLE-EWR	12/3/11 2:55 PM (-05:00)			12/3/11 4:39 PM (-05:00)		
flights	CO-50-CLE-EWR		2011-12-03 02:54 PM	C16		2011-12-03 04:23 PM	85
businesstravellogue	CO-50-CLE-EWR		2011-12-03 02:54 PM	C16		2011-12-03 04:23 PM	85
flylouisville	CO-50-CLE-EWR		2011-12-03 02:54 PM	C16		2011-12-03 04:23 PM	85
flightstats	CO-50-CLE-EWR	2011-12-03 2:55 PM	2011-12-03 2:54 PM		2011-12-03 4:39 PM	2011-12-03 4:23 PM	
quicktrip	CO-50-CLE-EWR	2011-12-03 2:55 PM	2011-12-03 2:54 PM		2011-12-03 4:39 PM	2011-12-03 4:23 PM	
flightview	CO-50-CLE-EWR		3:04 PMDec 03			4:23 PMDec 03	
panynj	CO-50-CLE-EWR		3:04 PMDec 03			4:23 PMDec 03	
gofox	CO-50-CLE-EWR		3:04 PMDec 03			4:23 PMDec 03	
foxbusiness	CO-50-CLE-EWR		3:04 PMDec 03			4:23 PMDec 03	
allegiantair	CO-50-CLE-EWR		3:04 PMDec 03			4:23 PMDec 03	
boston	CO-50-CLE-EWR		3:04 PMDec 03			4:17 PMDec 03	
travelocity	CO-50-CLE-EWR	Dec 03 - 2:55pm	Dec 03 - 2:54pm	C16	Dec 03 - 4:39pm	Dec 03 - 4:23pm	C85
orbitz	CO-50-CLE-EWR	2:55pDec 3	2:54pDec 3	 C16	4:39pDec 3	4:23pDec 3	 C85
weather	CO-50-CLE-EWR	2011-12-03 02:55 PM			2011-12-03 04:39 PM		
usatoday	CO-50-CLE-EWR		3:04 PMDec 03			4:17 PMDec 03	
mytripandmore	CO-50-CLE-EWR	Dec 03 - 2:55pm	Dec 03 - 2:54pm	C16	Dec 03 - 4:39pm	Dec 03 - 4:23pm	C85
CO	CO-1283-EWR-PDX	Sat., Dec.03, 2011 7:35 p.m.	Sat., Dec.03, 2011 7:35 p.m.		Sat., Dec.03, 2011 10:50 p.m.	Sat., Dec.03, 2011 10:50 p.m.	
flightexplorer	CO-1283-EWR-PDX	12/3/2011 7:35PM EST			12/3/2011 10:50PM PST		
airtravelcenter	CO-1283-EWR-PDX	12/3/11 7:35 PM (-05:00)			12/3/11 10:50 PM (-08:00)		
myrateplan	CO-1283-EWR-PDX	12/3/11 7:35 PM (-05:00)			12/3/11 10:50 PM (-08:00)		
helloflight	CO-1283-EWR-PDX	12/3/11 7:35 PM (-05:00)			12/3/11 10:50 PM (-08:00)		
flytecomm	CO-1283-EWR-PDX	12/3/11 7:35 PM (-05:00)			12/3/11 10:50 PM (-08:00)		
flightaware	CO-1283-EWR-PDX	2011-12-03 07:35PM EST	2011-12-03 07:45PM EST		2011-12-03 10:05PM PST	2011-12-03 10:15PM PST	
wunderground	CO-1283-EWR-PDX	2011-12-03 07:35PM EST	2011-12-03 07:45PM EST		2011-12-03 10:05PM PST	2011-12-03 10:15PM PST	
flights	CO-1283-EWR-PDX	07:35 PM  Sat 03-Dec-2011		88	10:50 PM  Sat 03-Dec-2011		E4
businesstravellogue	CO-1283-EWR-PDX	07:35 PM  Sat 03-Dec-2011		88	10:50 PM  Sat 03-Dec-2011		E4
flylouisville	CO-1283-EWR-PDX	07:35 PM  Sat 03-Dec-2011		88	10:50 PM  Sat 03-Dec-2011		E4
flightstats	CO-1283-EWR-PDX	2011-12-03 7:35 PM	2011-12-03 7:35 PM (Estimated)		2011-12-03 10:50 PM	2011-12-03 10:50 PM (Estimated)	
quicktrip	CO-1283-EWR-PDX	2011-12-03 7:35 PM	2011-12-03 7:35 PM (Estimated)		2011-12-03 10:50 PM	2011-12-03 10:50 PM (Estimated)	
world-flight-tracker	CO-1283-EWR-PDX	2011-12-03 7:35 PM	2011-12-03 7:35 PM (Estimated)		2011-12-03 10:50 PM	2011-12-03 10:50 PM (Estimated)	
flightview	CO-1283-EWR-PDX	7:35 PM, Dec 03		Term C - C88	10:50 PM, Dec 03		Main Term - E4
panynj	CO-1283-EWR-PDX	7:35 PM, Dec 03		Term C - C88	10:50 PM, Dec 03		Main Term - E4
gofox	CO-1283-EWR-PDX	7:35 PM, Dec 03			10:50 PM, Dec 03		
foxbusiness	CO-1283-EWR-PDX	7:35 PM, Dec 03		Term C - C88	10:50 PM, Dec 03		Main Term - E4
allegiantair	CO-1283-EWR-PDX	7:35 PM, Dec 03		Term C - C88	10:50 PM, Dec 03		Main Term - E4
boston	CO-1283-EWR-PDX	7:35 PM, Dec 03	Not Available		10:50 PM, Dec 03	Not Available	
travelocity	CO-1283-EWR-PDX	Dec 03 - 7:35pm	Dec 03 - Not Available	C88	Dec 03 - 10:50pm	Dec 03 - Not Available	E4
orbitz	CO-1283-EWR-PDX	7:35pDec 3		 C88	10:50pDec 3		 E4
weather	CO-1283-EWR-PDX	2011-12-03 07:35 PM			2011-12-03 10:50 PM		
usatoday	CO-1283-EWR-PDX	2011-12-03 07:35 PM			2011-12-03 10:50 PM		
mytripandmore	CO-1283-EWR-PDX	7:35pDec 3		 C88	10:50pDec 3		 E4
flightwise	CO-1283-EWR-PDX	2011-12-03 07:35PM EST	2011-12-03 07:45PM EST		2011-12-03 10:05PM PST	2011-12-03 10:15PM PST	
aa	AA-816-PAP-MIA	12/03/2011 10:30 AM	12/03/2011 10:38 AM	2	12/03/2011 12:35 PM	12/03/2011 12:34 PM	D23
airtravelcenter	AA-816-PAP-MIA		12/3/11 10:41 AM (-05:00)			12/3/11 12:27 PM (-05:00)	
