CO	CO-4237-EWR-DTW	Thu., Dec.29, 2011 12:17 p.m.	Thu., Dec.29, 2011 12:21 p.m.		Thu., Dec.29, 2011 2:24 p.m.	Thu., Dec.29, 2011 2:19 p.m.	
ifly	CO-1565-LAX-IAH	2011-12-29 11:57 AM	2011-12-29 12:05 PM		2011-12-29 5:10 PM	2011-12-29 5:11 PM	
ua	UA-4295-XNA-EWR	Thu, Dec 29 6:55 PM	Thu, Dec 29 6:55 PM            On Time	B4	Thu, Dec 29 10:44 PM	Thu, Dec 29 10:44 PM	C99
myrateplan	UA-4295-XNA-EWR	12/29/11 6:55 PM (-06:00)			12/29/11 10:44 PM (-05:00)		
helloflight	UA-4295-XNA-EWR	12/29/11 6:55 PM (-06:00)			12/29/11 10:44 PM (-05:00)		
flytecomm	UA-4295-XNA-EWR	12/29/11 6:55 PM (-06:00)			12/29/11 10:44 PM (-05:00)		
flights	UA-4295-XNA-EWR	2011-12-29 06:55 PM		B4	2011-12-29 10:44 PM		99
businesstravellogue	UA-4295-XNA-EWR	2011-12-29 06:55 PM		B4	2011-12-29 10:44 PM		99
flylouisville	UA-4295-XNA-EWR	2011-12-29 06:55 PM		B4	2011-12-29 10:44 PM		99
flightview	UA-4295-XNA-EWR	6:55 PMDec 29			10:46 PMDec 29		
panynj	UA-4295-XNA-EWR	6:55 PMDec 29			10:46 PMDec 29		
gofox	UA-4295-XNA-EWR	6:55 PMDec 29			10:46 PMDec 29		
foxbusiness	UA-4295-XNA-EWR	6:55 PMDec 29			10:46 PMDec 29		
allegiantair	UA-4295-XNA-EWR	6:55 PMDec 29			10:46 PMDec 29		
boston	UA-4295-XNA-EWR	6:55 PMDec 29			10:44 PMDec 29		
orbitz	UA-4295-XNA-EWR	6:55pDec 29		 -	10:48pDec 29		 -
CO	CO-1023-IAH-DEN	Thu., Dec.29, 2011 11:40 a.m.	Thu., Dec.29, 2011 11:48 a.m.		Thu., Dec.29, 2011 1:20 p.m.	Thu., Dec.29, 2011 1:26 p.m.	
flightexplorer	CO-1023-IAH-DEN		12/29/2011 12:11PM CST			12/29/2011 1:13PM MST	
airtravelcenter	CO-1023-IAH-DEN	12/29/11 11:40 AM (-06:00)			12/29/11 1:20 PM (-07:00)		
myrateplan	CO-1023-IAH-DEN	12/29/11 11:40 AM (-06:00)			12/29/11 1:20 PM (-07:00)		
helloflight	CO-1023-IAH-DEN	12/29/11 11:40 AM (-06:00)			12/29/11 1:20 PM (-07:00)		
flytecomm	CO-1023-IAH-DEN	12/29/11 11:40 AM (-06:00)			12/29/11 1:20 PM (-07:00)		
flightaware	CO-1023-IAH-DEN	2011-12-29 11:40AM CST	2011-12-29 12:13PM CST	 43 	2011-12-29 01:10PM MST	2011-12-29 01:13PM MST	 B18 
wunderground	CO-1023-IAH-DEN	2011-12-29 11:40AM CST	2011-12-29 12:13PM CST	 43 	2011-12-29 01:10PM MST	2011-12-29 01:13PM MST	 B18 
flights	CO-1023-IAH-DEN		2011-12-29 11:48 AM	43		2011-12-29 01:26 PM	B18
businesstravellogue	CO-1023-IAH-DEN		2011-12-29 11:48 AM	43		2011-12-29 01:26 PM	B18
flylouisville	CO-1023-IAH-DEN		2011-12-29 11:48 AM	43		2011-12-29 01:26 PM	B18
flightstats	CO-1023-IAH-DEN	2011-12-29 11:40 AM	2011-12-29 11:48 AM		2011-12-29 1:20 PM	2011-12-29 1:26 PM	
quicktrip	CO-1023-IAH-DEN	2011-12-29 11:40 AM	2011-12-29 11:48 AM		2011-12-29 1:20 PM	2011-12-29 1:26 PM	
flightview	CO-1023-IAH-DEN		12:13 PMDec 29			1:26 PMDec 29	
panynj	CO-1023-IAH-DEN		12:13 PMDec 29			1:26 PMDec 29	
gofox	CO-1023-IAH-DEN		12:13 PMDec 29			1:26 PMDec 29	
foxbusiness	CO-1023-IAH-DEN		12:13 PMDec 29			1:26 PMDec 29	
allegiantair	CO-1023-IAH-DEN		12:13 PMDec 29			1:26 PMDec 29	
boston	CO-1023-IAH-DEN		12:13 PMDec 29			1:19 PMDec 29	
orbitz	CO-1023-IAH-DEN	11:40aDec 29	11:48aDec 29	 43	1:20pDec 29	1:26pDec 29	 B18
den	CO-1023-IAH-DEN				2011-12-29 1:20 PM		B18
usatoday	CO-1023-IAH-DEN	2011-12-29 11:40 AM	2011-12-29 11:48 AM		2011-12-29 1:20 PM	2011-12-29 1:26 PM	
flightarrival	CO-1023-IAH-DEN		12:13 PMDec 29			1:19 PMDec 29	
aa	AA-3744-EWR-ORD	December 29, 2011               09:00 PM    	December 29, 2011               08:53 PM    	 30	December 29, 2011               10:30 PM    	December 29, 2011               10:06 PM    	 G13    
airtravelcenter	AA-3744-EWR-ORD		12/29/11 9:11 PM (-05:00)			12/29/11 10:02 PM (-06:00)	
myrateplan	AA-3744-EWR-ORD		12/29/11 9:11 PM (-05:00)			12/29/11 10:02 PM (-06:00)	
helloflight	AA-3744-EWR-ORD		12/29/11 9:11 PM (-05:00)			12/29/11 10:02 PM (-06:00)	
flytecomm	AA-3744-EWR-ORD		12/29/11 9:11 PM (-05:00)			12/29/11 10:02 PM (-06:00)	
flightaware	AA-3744-EWR-ORD	2011-12-29 09:00PM EST	2011-12-29 09:11PM EST	 30 	2011-12-29 10:21PM CST	2011-12-29 09:59PM CST	 G13 
wunderground	AA-3744-EWR-ORD	2011-12-29 09:00PM EST	2011-12-29 09:11PM EST	 30 	2011-12-29 10:21PM CST	2011-12-29 09:59PM CST	 G13 
flights	AA-3744-EWR-ORD	09:00 PM  Thu 29-Dec-2011	08:53 PM  Thu 29-Dec-2011	30	10:30 PM  Thu 29-Dec-2011	10:06 PM  Thu 29-Dec-2011	G13
businesstravellogue	AA-3744-EWR-ORD	09:00 PM  Thu 29-Dec-2011	08:53 PM  Thu 29-Dec-2011	30	10:30 PM  Thu 29-Dec-2011	10:06 PM  Thu 29-Dec-2011	G13
flylouisville	AA-3744-EWR-ORD	09:00 PM  Thu 29-Dec-2011	08:53 PM  Thu 29-Dec-2011	30	10:30 PM  Thu 29-Dec-2011	10:06 PM  Thu 29-Dec-2011	G13
flightstats	AA-3744-EWR-ORD	2011-12-29 9:00 PM	2011-12-29 8:53 PM		2011-12-29 10:30 PM	2011-12-29 10:06 PM	
quicktrip	AA-3744-EWR-ORD	2011-12-29 9:00 PM	2011-12-29 8:53 PM		2011-12-29 10:30 PM	2011-12-29 10:06 PM	
world-flight-tracker	AA-3744-EWR-ORD	2011-12-29 9:00 PM	2011-12-29 8:53 PM		2011-12-29 10:30 PM	2011-12-29 10:06 PM	
flightview	AA-3744-EWR-ORD	9:00 PM, Dec 29	9:11 PM, Dec 29	30	10:30 PM, Dec 29	10:04 PM, Dec 29	G13
panynj	AA-3744-EWR-ORD	9:00 PM, Dec 29	9:11 PM, Dec 29	30	10:30 PM, Dec 29	10:04 PM, Dec 29	G13
gofox	AA-3744-EWR-ORD	9:00 PM, Dec 29	9:11 PM, Dec 29		10:30 PM, Dec 29	10:04 PM, Dec 29	
foxbusiness	AA-3744-EWR-ORD	9:00 PM, Dec 29	9:11 PM, Dec 29	30	10:30 PM, Dec 29	10:04 PM, Dec 29	G13
allegiantair	AA-3744-EWR-ORD	9:00 PM, Dec 29	9:11 PM, Dec 29	30	10:30 PM, Dec 29	10:04 PM, Dec 29	G13
boston	AA-3744-EWR-ORD	9:00 PM, Dec 29	9:11 PM, Dec 29		10:30 PM, Dec 29	10:04 PM, Dec 29	
travelocity	AA-3744-EWR-ORD	Dec 29 - 9:00pm	Dec 29 - 8:53pm	30/A	Dec 29 - 10:30pm	Dec 29 - 10:06pm	G13/T3
orbitz	AA-3744-EWR-ORD	9:00pDec 29	8:53pDec 29	 30	10:30pDec 29	10:06pDec 29	 G13
weather	AA-3744-EWR-ORD	2011-12-29 09:00 PM			2011-12-29 10:30 PM		
ord	AA-3744-EWR-ORD	2011-12-29 9:00 PM		30	2011-12-29 10:30 PM		G13
mytripandmore	AA-3744-EWR-ORD	9:00pDec 29	8:53pDec 29	 30	10:30pDec 29	10:06pDec 29	 G13
CO	CO-4742-CLE-CLT	Thu., Dec.29, 2011 8:05 a.m.	Thu., Dec.29, 2011 8:13 a.m.		Thu., Dec.29, 2011 9:40 a.m.	Thu., Dec.29, 2011 9:32 a.m.	
flightexplorer	CO-4742-CLE-CLT		12/29/2011 8:22AM EST			12/29/2011 9:32AM EST	
airtravelcenter	CO-4742-CLE-CLT		12/29/11 8:22 AM (-05:00)			12/29/11 9:32 AM (-05:00)	
myrateplan	CO-4742-CLE-CLT		12/29/11 8:22 AM (-05:00)			12/29/11 9:32 AM (-05:00)	
helloflight	CO-4742-CLE-CLT		12/29/11 8:22 AM (-05:00)			12/29/11 9:32 AM (-05:00)	
flytecomm	CO-4742-CLE-CLT		12/29/11 8:22 AM (-05:00)			12/29/11 9:32 AM (-05:00)	
flights	CO-4742-CLE-CLT		2011-12-29 08:13 AM	D3		2011-12-29 09:32 AM	A10
businesstravellogue	CO-4742-CLE-CLT		2011-12-29 08:13 AM	D3		2011-12-29 09:32 AM	A10
flylouisville	CO-4742-CLE-CLT		2011-12-29 08:13 AM	D3		2011-12-29 09:32 AM	A10
flightstats	CO-4742-CLE-CLT	2011-12-29 8:05 AM	2011-12-29 8:13 AM		2011-12-29 9:40 AM	2011-12-29 9:32 AM	
quicktrip	CO-4742-CLE-CLT	2011-12-29 8:05 AM	2011-12-29 8:13 AM		2011-12-29 9:40 AM	2011-12-29 9:32 AM	
flightview	CO-4742-CLE-CLT		8:22 AMDec 29			9:32 AMDec 29	
panynj	CO-4742-CLE-CLT		8:22 AMDec 29			9:32 AMDec 29	
gofox	CO-4742-CLE-CLT		8:22 AMDec 29			9:32 AMDec 29	
foxbusiness	CO-4742-CLE-CLT		8:22 AMDec 29			9:32 AMDec 29	
allegiantair	CO-4742-CLE-CLT		8:22 AMDec 29			9:32 AMDec 29	
boston	CO-4742-CLE-CLT		8:22 AMDec 29			9:33 AMDec 29	
orbitz	CO-4742-CLE-CLT	8:05aDec 29	8:13aDec 29	 -	9:40aDec 29	9:32aDec 29	 -
weather	CO-4742-CLE-CLT	2011-12-29 08:05 AM			2011-12-29 09:40 AM		
ua	UA-2945-PHL-CLT	Thu, Dec 29 12:00 AM	Thu, Dec 29 1:12 AM	C21	Thu, Dec 29 1:45 PM	Thu, Dec 29 1:35 PM	B2
airtravelcenter	UA-2945-PHL-CLT		12/29/11 12:15 PM (-05:00)			12/29/11 1:32 PM (-05:00)	
myrateplan	UA-2945-PHL-CLT		12/29/11 12:15 PM (-05:00)			12/29/11 1:32 PM (-05:00)	
helloflight	UA-2945-PHL-CLT		12/29/11 12:15 PM (-05:00)			12/29/11 1:32 PM (-05:00)	
flytecomm	UA-2945-PHL-CLT		12/29/11 12:15 PM (-05:00)			12/29/11 1:32 PM (-05:00)	
flightaware	UA-2945-PHL-CLT	2011-12-29 12:00PM EST	2011-12-29 12:16PM EST		2011-12-29 01:35PM EST	2011-12-29 01:29PM EST	
wunderground	UA-2945-PHL-CLT	2011-12-29 12:00PM EST	2011-12-29 12:16PM EST		2011-12-29 01:35PM EST	2011-12-29 01:29PM EST	
flights	UA-2945-PHL-CLT	12:00 PM  Thu 29-Dec-2011	12:01 PM  Thu 29-Dec-2011	C21	01:45 PM  Thu 29-Dec-2011	01:35 PM  Thu 29-Dec-2011	B2
businesstravellogue	UA-2945-PHL-CLT	12:00 PM  Thu 29-Dec-2011	12:01 PM  Thu 29-Dec-2011	C21	01:45 PM  Thu 29-Dec-2011	01:35 PM  Thu 29-Dec-2011	B2
flylouisville	UA-2945-PHL-CLT	12:00 PM  Thu 29-Dec-2011	12:01 PM  Thu 29-Dec-2011	C21	01:45 PM  Thu 29-Dec-2011	01:35 PM  Thu 29-Dec-2011	B2
flightstats	UA-2945-PHL-CLT	2011-12-29 12:00 PM	2011-12-29 12:01 PM		2011-12-29 1:45 PM	2011-12-29 1:35 PM	
quicktrip	UA-2945-PHL-CLT	2011-12-29 12:00 PM	2011-12-29 12:01 PM		2011-12-29 1:45 PM	2011-12-29 1:35 PM	
world-flight-tracker	UA-2945-PHL-CLT	2011-12-29 12:00 PM	2011-12-29 12:01 PM		2011-12-29 1:45 PM	2011-12-29 1:35 PM	
flightview	UA-2945-PHL-CLT	12:00 PM, Dec 29	12:16 PM, Dec 29		1:45 PM, Dec 29	1:30 PM, Dec 29	
panynj	UA-2945-PHL-CLT	12:00 PM, Dec 29	12:16 PM, Dec 29		1:45 PM, Dec 29	1:30 PM, Dec 29	
gofox	UA-2945-PHL-CLT	12:00 PM, Dec 29	12:16 PM, Dec 29		1:45 PM, Dec 29	1:30 PM, Dec 29	
foxbusiness	UA-2945-PHL-CLT	12:00 PM, Dec 29	12:16 PM, Dec 29		1:45 PM, Dec 29	1:30 PM, Dec 29	
allegiantair	UA-2945-PHL-CLT	12:00 PM, Dec 29	12:16 PM, Dec 29		1:45 PM, Dec 29	1:30 PM, Dec 29	
boston	UA-2945-PHL-CLT	12:00 PM, Dec 29	12:16 PM, Dec 29		1:45 PM, Dec 29	1:30 PM, Dec 29	
travelocity	UA-2945-PHL-CLT	Dec 29 - 12:00noon	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 1:45pm	Dec 29 - Contact Airline	Not provided by airline
orbitz	UA-2945-PHL-CLT	12:00pDec 29	12:01pDec 29	 -	1:45pDec 29	1:35pDec 29	 -
weather	UA-2945-PHL-CLT	2011-12-29 12:00 PM			2011-12-29 01:45 PM		
mytripandmore	UA-2945-PHL-CLT	Dec 29 - 12:00noon	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 1:45pm	Dec 29 - Contact Airline	Not provided by airline
flightwise	UA-2945-PHL-CLT	2011-12-29 12:00PM EST	2011-12-29 12:16PM EST		2011-12-29 01:35PM EST	2011-12-29 01:29PM EST	
ua	UA-1262-MCO-ORD	Thu, Dec 29 7:00 AM	Thu, Dec 29 6:58 AM	31	Thu, Dec 29 8:50 AM	Thu, Dec 29 8:56 AM	B4
flightexplorer	UA-1262-MCO-ORD		12/29/2011 7:15AM EST			12/29/2011 8:53AM CST	
airtravelcenter	UA-1262-MCO-ORD	12/29/11 7:00 AM (-05:00)			12/29/11 8:50 AM (-06:00)		
myrateplan	UA-1262-MCO-ORD	12/29/11 7:00 AM (-05:00)			12/29/11 8:50 AM (-06:00)		
helloflight	UA-1262-MCO-ORD	12/29/11 7:00 AM (-05:00)			12/29/11 8:50 AM (-06:00)		
flytecomm	UA-1262-MCO-ORD	12/29/11 7:00 AM (-05:00)			12/29/11 8:50 AM (-06:00)		
flights	UA-1262-MCO-ORD		2011-12-29 06:58 AM	31		2011-12-29 08:56 AM	B4
businesstravellogue	UA-1262-MCO-ORD		2011-12-29 06:58 AM	31		2011-12-29 08:56 AM	B4
flylouisville	UA-1262-MCO-ORD		2011-12-29 06:58 AM	31		2011-12-29 08:56 AM	B4
flightview	UA-1262-MCO-ORD		7:16 AMDec 29			8:56 AMDec 29	
panynj	UA-1262-MCO-ORD		7:16 AMDec 29			8:56 AMDec 29	
gofox	UA-1262-MCO-ORD		7:16 AMDec 29			8:56 AMDec 29	
foxbusiness	UA-1262-MCO-ORD		7:16 AMDec 29			8:56 AMDec 29	
allegiantair	UA-1262-MCO-ORD		7:16 AMDec 29			8:56 AMDec 29	
travelocity	UA-1262-MCO-ORD	Dec 29 - 7:00am	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 8:50am	Dec 29 - Contact Airline	Not provided by airline
orbitz	UA-1262-MCO-ORD	7:00aDec 29	6:58aDec 29	 31	8:50aDec 29	8:56aDec 29	 B4
weather	UA-1262-MCO-ORD	2011-12-29 07:00 AM			2011-12-29 08:50 AM		
ord	UA-1262-MCO-ORD	2011-12-29 7:00 AM		31	2011-12-29 8:50 AM		B4
mytripandmore	UA-1262-MCO-ORD	Dec 29 - 7:00am	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 8:50am	Dec 29 - Contact Airline	Not provided by airline
flightarrival	UA-1262-MCO-ORD	2011-12-29 07:00 AM			2011-12-29 08:50 AM		
ua	UA-5487-SFO-MRY	Thu, Dec 29 10:37 AM		76A	Thu, Dec 29 11:24 AM		--
airtravelcenter	UA-5487-SFO-MRY		12/29/11 10:50 AM (-08:00)			12/29/11 11:13 AM (-08:00)	
myrateplan	UA-5487-SFO-MRY		12/29/11 10:50 AM (-08:00)			12/29/11 11:13 AM (-08:00)	
helloflight	UA-5487-SFO-MRY		12/29/11 10:50 AM (-08:00)			12/29/11 11:13 AM (-08:00)	
flytecomm	UA-5487-SFO-MRY		12/29/11 10:50 AM (-08:00)			12/29/11 11:13 AM (-08:00)	
flightaware	UA-5487-SFO-MRY	2011-12-29 10:37AM PST	2011-12-29 Cancelled	 76A 	2011-12-29 11:00AM PST	2011-12-29 Cancelled	
wunderground	UA-5487-SFO-MRY	2011-12-29 10:37AM PST	2011-12-29 Cancelled	 76A 	2011-12-29 11:00AM PST	2011-12-29 Cancelled	
flights	UA-5487-SFO-MRY	10:37 AM  Thu 29-Dec-2011			11:24 AM  Thu 29-Dec-2011		
businesstravellogue	UA-5487-SFO-MRY	10:37 AM  Thu 29-Dec-2011			11:24 AM  Thu 29-Dec-2011		
flylouisville	UA-5487-SFO-MRY	10:37 AM  Thu 29-Dec-2011			11:24 AM  Thu 29-Dec-2011		
world-flight-tracker	UA-5487-SFO-MRY	2011-12-29 10:37 AM	2011-12-29 10:50 AM (Estimated runway)		2011-12-29 11:24 AM	2011-12-29 11:13 AM (Estimated runway)	
flightview	UA-5487-SFO-MRY	10:37 AM, Dec 29			11:24 AM, Dec 29		
panynj	UA-5487-SFO-MRY	10:37 AM, Dec 29			11:24 AM, Dec 29		
gofox	UA-5487-SFO-MRY	10:37 AM, Dec 29			11:24 AM, Dec 29		
foxbusiness	UA-5487-SFO-MRY	10:37 AM, Dec 29			11:24 AM, Dec 29		
allegiantair	UA-5487-SFO-MRY	10:37 AM, Dec 29			11:24 AM, Dec 29		
boston	UA-5487-SFO-MRY	10:37 AM, Dec 29	Not Available		11:24 AM, Dec 29	Not Available	
orbitz	UA-5487-SFO-MRY	10:37aDec 29		 76A	11:24aDec 29		 -
weather	UA-5487-SFO-MRY	2011-12-29 10:37 AM			2011-12-29 11:24 AM		
flightarrival	UA-5487-SFO-MRY	2011-12-29 10:37 AM			2011-12-29 11:24 AM		
ua	UA-4375-MOB-IAH	Thu, Dec 29 6:20 PM	Thu, Dec 29 Cancelled	7	Thu, Dec 29 7:56 PM		B84K
airtravelcenter	UA-4375-MOB-IAH	12/29/11 6:20 PM (-06:00)			12/29/11 7:56 PM (-06:00)		
myrateplan	UA-4375-MOB-IAH	12/29/11 6:20 PM (-06:00)			12/29/11 7:56 PM (-06:00)		
helloflight	UA-4375-MOB-IAH	12/29/11 6:20 PM (-06:00)			12/29/11 7:56 PM (-06:00)		
flytecomm	UA-4375-MOB-IAH	12/29/11 6:20 PM (-06:00)			12/29/11 7:56 PM (-06:00)		
flights	UA-4375-MOB-IAH		2011-12-29 06:20 PM	7		2011-12-29 07:56 PM	84K
businesstravellogue	UA-4375-MOB-IAH		2011-12-29 06:20 PM	7		2011-12-29 07:56 PM	84K
flylouisville	UA-4375-MOB-IAH		2011-12-29 06:20 PM	7		2011-12-29 07:56 PM	84K
flightview	UA-4375-MOB-IAH	6:20 PMDec 29			7:56 PMDec 29		
panynj	UA-4375-MOB-IAH	6:20 PMDec 29			7:56 PMDec 29		
gofox	UA-4375-MOB-IAH	6:20 PMDec 29			7:56 PMDec 29		
foxbusiness	UA-4375-MOB-IAH	6:20 PMDec 29			7:56 PMDec 29		
allegiantair	UA-4375-MOB-IAH	6:20 PMDec 29			7:56 PMDec 29		
boston	UA-4375-MOB-IAH	6:20 PMDec 29			7:56 PMDec 29		
orbitz	UA-4375-MOB-IAH	6:20pDec 29		 -	7:56pDec 29		 -
aa	AA-1066-DFW-DCA	December 29, 2011               10:30 AM    	December 29, 2011               10:31 AM    	 D16	December 29, 2011               02:10 PM    	December 29, 2011               02:11 PM    	 28    
flightexplorer	AA-1066-DFW-DCA		12/29/2011 10:45AM CST			12/29/2011 2:13PM EST	
airtravelcenter	AA-1066-DFW-DCA		12/29/11 10:45 AM (-06:00)			12/29/11 2:13 PM (-05:00)	
myrateplan	AA-1066-DFW-DCA		12/29/11 10:45 AM (-06:00)			12/29/11 2:13 PM (-05:00)	
helloflight	AA-1066-DFW-DCA		12/29/11 10:45 AM (-06:00)			12/29/11 2:13 PM (-05:00)	
flytecomm	AA-1066-DFW-DCA		12/29/11 10:45 AM (-06:00)			12/29/11 2:13 PM (-05:00)	
flightaware	AA-1066-DFW-DCA	2011-12-29 10:30AM CST	2011-12-29 10:45AM CST	 D16 	2011-12-29 02:04PM EST	2011-12-29 02:07PM EST	 28 
wunderground	AA-1066-DFW-DCA	2011-12-29 10:30AM CST	2011-12-29 10:45AM CST	 D16 	2011-12-29 02:04PM EST	2011-12-29 02:07PM EST	 28 
flights	AA-1066-DFW-DCA		2011-12-29 10:31 AM	D16		2011-12-29 02:11 PM	28
businesstravellogue	AA-1066-DFW-DCA		2011-12-29 10:31 AM	D16		2011-12-29 02:11 PM	28
flylouisville	AA-1066-DFW-DCA		2011-12-29 10:31 AM	D16		2011-12-29 02:11 PM	28
flightstats	AA-1066-DFW-DCA	2011-12-29 10:30 AM	2011-12-29 10:31 AM		2011-12-29 2:10 PM	2011-12-29 2:11 PM	
quicktrip	AA-1066-DFW-DCA	2011-12-29 10:30 AM	2011-12-29 10:31 AM		2011-12-29 2:10 PM	2011-12-29 2:11 PM	
flightview	AA-1066-DFW-DCA		10:45 AMDec 29			2:08 PMDec 29	
panynj	AA-1066-DFW-DCA		10:45 AMDec 29			2:08 PMDec 29	
gofox	AA-1066-DFW-DCA		10:45 AMDec 29			2:08 PMDec 29	
foxbusiness	AA-1066-DFW-DCA		10:45 AMDec 29			2:08 PMDec 29	
allegiantair	AA-1066-DFW-DCA		10:45 AMDec 29			2:08 PMDec 29	
boston	AA-1066-DFW-DCA		10:45 AMDec 29			2:08 PMDec 29	
orbitz	AA-1066-DFW-DCA	10:30aDec 29	10:31aDec 29	 D16	2:10pDec 29	2:11pDec 29	 28
dfw	AA-1066-DFW-DCA	2011-12-29 10:30 am		D16			
usatoday	AA-1066-DFW-DCA		10:45 AMDec 29			2:08 PMDec 29	
flightarrival	AA-1066-DFW-DCA	2011-12-29 10:30 AM	2011-12-29 10:31 AM		2011-12-29 2:10 PM	2011-12-29 2:11 PM	
CO	CO-1072-EWR-RSW	Thu., Dec.29, 2011 11:00 a.m.	Thu., Dec.29, 2011 11:02 a.m.		Thu., Dec.29, 2011 2:35 p.m.	Thu., Dec.29, 2011 2:07 p.m.	
flightexplorer	CO-1072-EWR-RSW		12/29/2011 11:13AM EST			12/29/2011 2:04PM EST	
airtravelcenter	CO-1072-EWR-RSW	12/29/11 11:00 AM (-05:00)			12/29/11 2:35 PM (-05:00)		
myrateplan	CO-1072-EWR-RSW	12/29/11 11:00 AM (-05:00)			12/29/11 2:35 PM (-05:00)		
helloflight	CO-1072-EWR-RSW	12/29/11 11:00 AM (-05:00)			12/29/11 2:35 PM (-05:00)		
flytecomm	CO-1072-EWR-RSW	12/29/11 11:00 AM (-05:00)			12/29/11 2:35 PM (-05:00)		
flightaware	CO-1072-EWR-RSW	2011-12-29 11:00AM EST	2011-12-29 11:15AM EST	 C84 	2011-12-29 02:25PM EST	2011-12-29 02:04PM EST	 C3 
wunderground	CO-1072-EWR-RSW	2011-12-29 11:00AM EST	2011-12-29 11:15AM EST	 C84 	2011-12-29 02:25PM EST	2011-12-29 02:04PM EST	 C3 
flights	CO-1072-EWR-RSW	11:00 AM  Thu 29-Dec-2011		84	02:35 PM  Thu 29-Dec-2011		C3
businesstravellogue	CO-1072-EWR-RSW	11:00 AM  Thu 29-Dec-2011		84	02:35 PM  Thu 29-Dec-2011		C3
flylouisville	CO-1072-EWR-RSW	11:00 AM  Thu 29-Dec-2011		84	02:35 PM  Thu 29-Dec-2011		C3
flightstats	CO-1072-EWR-RSW	2011-12-29 11:00 AM	2011-12-29 11:02 AM		2011-12-29 2:35 PM	2011-12-29 2:07 PM (Estimated)	
quicktrip	CO-1072-EWR-RSW	2011-12-29 11:00 AM	2011-12-29 11:02 AM		2011-12-29 2:35 PM	2011-12-29 2:07 PM (Estimated)	
world-flight-tracker	CO-1072-EWR-RSW	2011-12-29 11:00 AM	2011-12-29 11:02 AM		2011-12-29 2:35 PM	2011-12-29 2:07 PM (Estimated)	
flightview	CO-1072-EWR-RSW	11:00 AM, Dec 29	11:15 AM, Dec 29		2:35 PM, Dec 29		
panynj	CO-1072-EWR-RSW	11:00 AM, Dec 29	11:15 AM, Dec 29		2:35 PM, Dec 29		
gofox	CO-1072-EWR-RSW	11:00 AM, Dec 29	11:15 AM, Dec 29		2:35 PM, Dec 29		
foxbusiness	CO-1072-EWR-RSW	11:00 AM, Dec 29	11:15 AM, Dec 29		2:35 PM, Dec 29		
allegiantair	CO-1072-EWR-RSW	11:00 AM, Dec 29	11:15 AM, Dec 29		2:35 PM, Dec 29		
boston	CO-1072-EWR-RSW	11:00 AM, Dec 29	11:15 AM, Dec 29		2:35 PM, Dec 29	2:16 PM, Dec 29&nbsp(Estimated)	
travelocity	CO-1072-EWR-RSW	Dec 29 - 11:00am	Dec 29 - 11:02am	C84	Dec 29 - 2:35pm	Dec 29 - 2:14pm*	C3
orbitz	CO-1072-EWR-RSW	11:00aDec 29	11:02aDec 29	 C84	1:53pDec 29		 C3
weather	CO-1072-EWR-RSW	2011-12-29 11:00 AM			2011-12-29 02:35 PM		
ifly	CO-1072-EWR-RSW	2011-12-29 11:00 AM	2011-12-29 11:02 AM		2011-12-29 2:35 PM	2011-12-29 2:07 PM (Estimated)	
flightwise	CO-1072-EWR-RSW	2011-12-29 11:00AM EST	2011-12-29 11:15AM EST	 C84 	2011-12-29 02:25PM EST	2011-12-29 02:04PM EST	 C3 
flightarrival	CO-1072-EWR-RSW	2011-12-29 11:00 AM			2011-12-29 02:35 PM		
ua	UA-1495-GCM-IAH	Thu, Dec 29 5:50 PM	Thu, Dec 29 5:44 PM	--	Thu, Dec 29 8:01 PM	Thu, Dec 29 7:56 PM	E21
airtravelcenter	UA-1495-GCM-IAH	12/29/11 5:50 PM (-05:00)			12/29/11 8:01 PM (-06:00)		
myrateplan	UA-1495-GCM-IAH	12/29/11 5:50 PM (-05:00)			12/29/11 8:01 PM (-06:00)		
helloflight	UA-1495-GCM-IAH	12/29/11 5:50 PM (-05:00)			12/29/11 8:01 PM (-06:00)		
flytecomm	UA-1495-GCM-IAH	12/29/11 5:50 PM (-05:00)			12/29/11 8:01 PM (-06:00)		
flights	UA-1495-GCM-IAH	05:50 PM  Thu 29-Dec-2011	05:44 PM  Thu 29-Dec-2011	2	08:01 PM  Thu 29-Dec-2011	07:56 PM  Thu 29-Dec-2011	21
businesstravellogue	UA-1495-GCM-IAH	05:50 PM  Thu 29-Dec-2011	05:44 PM  Thu 29-Dec-2011	2	08:01 PM  Thu 29-Dec-2011	07:56 PM  Thu 29-Dec-2011	21
flylouisville	UA-1495-GCM-IAH	05:50 PM  Thu 29-Dec-2011	05:44 PM  Thu 29-Dec-2011	2	08:01 PM  Thu 29-Dec-2011	07:56 PM  Thu 29-Dec-2011	21
world-flight-tracker	UA-1495-GCM-IAH	2011-12-29 5:50 PM	2011-12-29 5:44 PM		2011-12-29 8:01 PM	2011-12-29 7:56 PM	
flightview	UA-1495-GCM-IAH	5:50 PM, Dec 29	5:36 PM, Dec 29	Main Term	8:01 PM, Dec 29	7:56 PM, Dec 29	Term E - E21
