CO	CO-4237-EWR-DTW	Tue., Dec.20, 2011 12:17 p.m.	Tue., Dec.20, 2011 12:12 p.m.		Tue., Dec.20, 2011 2:24 p.m.	Tue., Dec.20, 2011 2:24 p.m.	
flightexplorer	AA-1007-MIA-PHX		12/20/2011 5:05PM EST			12/20/2011 7:35PM MST	
airtravelcenter	AA-1007-MIA-PHX		12/20/11 5:05 PM (-05:00)			12/20/11 7:35 PM (-07:00)	
myrateplan	AA-1007-MIA-PHX		12/20/11 5:05 PM (-05:00)			12/20/11 7:35 PM (-07:00)	
helloflight	AA-1007-MIA-PHX		12/20/11 5:05 PM (-05:00)			12/20/11 7:35 PM (-07:00)	
flytecomm	AA-1007-MIA-PHX		12/20/11 5:05 PM (-05:00)			12/20/11 7:35 PM (-07:00)	
flightaware	AA-1007-MIA-PHX	2011-12-20 04:55PM EST	2011-12-20 05:05PM EST	 D38 	2011-12-20 07:46PM MST	2011-12-20 07:42PM MST	 6 
wunderground	AA-1007-MIA-PHX	2011-12-20 04:55PM EST	2011-12-20 05:05PM EST	 D38 	2011-12-20 07:46PM MST	2011-12-20 07:42PM MST	 6 
flights	AA-1007-MIA-PHX		2011-12-20 04:54 PM	D38		2011-12-20 07:49 PM	6
businesstravellogue	AA-1007-MIA-PHX		2011-12-20 04:54 PM	D38		2011-12-20 07:49 PM	6
flylouisville	AA-1007-MIA-PHX		2011-12-20 04:54 PM	D38		2011-12-20 07:49 PM	6
flightstats	AA-1007-MIA-PHX	2011-12-20 4:55 PM	2011-12-20 4:54 PM		2011-12-20 8:05 PM	2011-12-20 7:49 PM	
quicktrip	AA-1007-MIA-PHX	2011-12-20 4:55 PM	2011-12-20 4:54 PM		2011-12-20 8:05 PM	2011-12-20 7:49 PM	
flightview	AA-1007-MIA-PHX		5:05 PMDec 20			7:41 PMDec 20	
panynj	AA-1007-MIA-PHX		5:05 PMDec 20			7:41 PMDec 20	
gofox	AA-1007-MIA-PHX		5:05 PMDec 20			7:41 PMDec 20	
foxbusiness	AA-1007-MIA-PHX		5:05 PMDec 20			7:41 PMDec 20	
allegiantair	AA-1007-MIA-PHX		5:05 PMDec 20			7:41 PMDec 20	
boston	AA-1007-MIA-PHX		5:05 PMDec 20			7:41 PMDec 20	
orbitz	AA-1007-MIA-PHX	4:55pDec 20	4:54pDec 20	 D38	8:05pDec 20	7:49pDec 20	 6
mytripandmore	AA-1007-MIA-PHX	4:55pDec 20	4:54pDec 20	 D38	8:05pDec 20	7:49pDec 20	 6
flightwise	AA-1007-MIA-PHX	2011-12-20 04:55PM EST	2011-12-20 05:05PM EST	 D38 	2011-12-20 07:46PM MST	2011-12-20 07:42PM MST	 6 
ua	UA-2566-CLT-PBI	Tue, Dec 20 7:40 AM	Tue, Dec 20 7:40 AM	C14	Tue, Dec 20 9:30 AM	Tue, Dec 20 9:15 AM	B9
airtravelcenter	UA-2566-CLT-PBI		12/20/11 7:46 AM (-05:00)			12/20/11 9:11 AM (-05:00)	
myrateplan	UA-2566-CLT-PBI		12/20/11 7:46 AM (-05:00)			12/20/11 9:11 AM (-05:00)	
helloflight	UA-2566-CLT-PBI		12/20/11 7:46 AM (-05:00)			12/20/11 9:11 AM (-05:00)	
flytecomm	UA-2566-CLT-PBI		12/20/11 7:46 AM (-05:00)			12/20/11 9:11 AM (-05:00)	
flightaware	UA-2566-CLT-PBI	2011-12-20 07:40AM EST	2011-12-20 07:50AM EST		2011-12-20 09:07AM EST	2011-12-20 09:17AM EST	
wunderground	UA-2566-CLT-PBI	2011-12-20 07:40AM EST	2011-12-20 07:50AM EST		2011-12-20 09:07AM EST	2011-12-20 09:17AM EST	
flights	UA-2566-CLT-PBI	07:40 AM  Tue 20-Dec-2011	07:36 AM  Tue 20-Dec-2011	C14	09:30 AM  Tue 20-Dec-2011	09:15 AM  Tue 20-Dec-2011	B9
businesstravellogue	UA-2566-CLT-PBI	07:40 AM  Tue 20-Dec-2011	07:36 AM  Tue 20-Dec-2011	C14	09:30 AM  Tue 20-Dec-2011	09:15 AM  Tue 20-Dec-2011	B9
flylouisville	UA-2566-CLT-PBI	07:40 AM  Tue 20-Dec-2011	07:36 AM  Tue 20-Dec-2011	C14	09:30 AM  Tue 20-Dec-2011	09:15 AM  Tue 20-Dec-2011	B9
world-flight-tracker	UA-2566-CLT-PBI	2011-12-20 7:40 AM	2011-12-20 7:36 AM		2011-12-20 9:30 AM	2011-12-20 9:15 AM	
flightview	UA-2566-CLT-PBI	7:40 AM, Dec 20	7:46 AM, Dec 20		9:30 AM, Dec 20	9:11 AM, Dec 20	
panynj	UA-2566-CLT-PBI	7:40 AM, Dec 20	7:46 AM, Dec 20		9:30 AM, Dec 20	9:11 AM, Dec 20	
gofox	UA-2566-CLT-PBI	7:40 AM, Dec 20	7:46 AM, Dec 20		9:30 AM, Dec 20	9:11 AM, Dec 20	
foxbusiness	UA-2566-CLT-PBI	7:40 AM, Dec 20	7:46 AM, Dec 20		9:30 AM, Dec 20	9:11 AM, Dec 20	
allegiantair	UA-2566-CLT-PBI	7:40 AM, Dec 20	7:46 AM, Dec 20		9:30 AM, Dec 20	9:11 AM, Dec 20	
boston	UA-2566-CLT-PBI	7:40 AM, Dec 20	7:46 AM, Dec 20		9:30 AM, Dec 20	9:11 AM, Dec 20	
travelocity	UA-2566-CLT-PBI	Dec 20 - 7:40am	Dec 20 - Contact Airline	Not provided by airline	Dec 20 - 9:30am	Dec 20 - Contact Airline	Not provided by airline
orbitz	UA-2566-CLT-PBI	7:40aDec 20	7:36aDec 20	 -	9:30aDec 20	9:15aDec 20	 -
weather	UA-2566-CLT-PBI	2011-12-20 07:40 AM			2011-12-20 09:30 AM		
mytripandmore	UA-2566-CLT-PBI	7:40aDec 20	7:36aDec 20	 -	9:30aDec 20	9:15aDec 20	 -
flightwise	UA-2566-CLT-PBI	2011-12-20 07:40AM EST	2011-12-20 07:50AM EST		2011-12-20 09:07AM EST	2011-12-20 09:17AM EST	
CO	CO-1232-IAH-MIA	Tue., Dec.20, 2011 7:25 a.m.	Tue., Dec.20, 2011 7:24 a.m.		Tue., Dec.20, 2011 10:49 a.m.	Tue., Dec.20, 2011 10:42 a.m.	
flightexplorer	CO-1232-IAH-MIA		12/20/2011 7:39AM CST			12/20/2011 10:39AM EST	
airtravelcenter	CO-1232-IAH-MIA	12/20/11 7:25 AM (-06:00)			12/20/11 10:49 AM (-05:00)		
myrateplan	CO-1232-IAH-MIA	12/20/11 7:25 AM (-06:00)			12/20/11 10:49 AM (-05:00)		
helloflight	CO-1232-IAH-MIA	12/20/11 7:25 AM (-06:00)			12/20/11 10:49 AM (-05:00)		
flytecomm	CO-1232-IAH-MIA	12/20/11 7:25 AM (-06:00)			12/20/11 10:49 AM (-05:00)		
flights	CO-1232-IAH-MIA		2011-12-20 07:24 AM	29		2011-12-20 10:42 AM	G16
businesstravellogue	CO-1232-IAH-MIA		2011-12-20 07:24 AM	29		2011-12-20 10:42 AM	G16
flylouisville	CO-1232-IAH-MIA		2011-12-20 07:24 AM	29		2011-12-20 10:42 AM	G16
flightstats	CO-1232-IAH-MIA	2011-12-20 7:25 AM	2011-12-20 7:24 AM		2011-12-20 10:49 AM	2011-12-20 10:42 AM	
quicktrip	CO-1232-IAH-MIA	2011-12-20 7:25 AM	2011-12-20 7:24 AM		2011-12-20 10:49 AM	2011-12-20 10:42 AM	
flightview	CO-1232-IAH-MIA		7:39 AMDec 20			10:42 AMDec 20	
panynj	CO-1232-IAH-MIA		7:39 AMDec 20			10:42 AMDec 20	
gofox	CO-1232-IAH-MIA		7:39 AMDec 20			10:42 AMDec 20	
foxbusiness	CO-1232-IAH-MIA		7:39 AMDec 20			10:42 AMDec 20	
allegiantair	CO-1232-IAH-MIA		7:39 AMDec 20			10:42 AMDec 20	
boston	CO-1232-IAH-MIA		7:39 AMDec 20			10:38 AMDec 20	
orbitz	CO-1232-IAH-MIA	7:25aDec 20	7:24aDec 20	 29	10:49aDec 20	10:42aDec 20	 G16
weather	CO-1232-IAH-MIA	2011-12-20 07:25 AM			2011-12-20 10:49 AM		
mia	CO-1232-IAH-MIA				10:49A 12-20-11	2011-12-20  10:40A	
usatoday	CO-1232-IAH-MIA	2011-12-20 07:25 AM			2011-12-20 10:49 AM		
mytripandmore	CO-1232-IAH-MIA	7:25aDec 20	7:24aDec 20	 29	10:49aDec 20	10:42aDec 20	 G16
ua	UA-5748-SBN-ORD	Tue, Dec 20 9:10 AM	Tue, Dec 20 9:04 AM            On Time	A7	Tue, Dec 20 8:57 AM	Tue, Dec 20 8:55 AM	F1A
flightexplorer	UA-5748-SBN-ORD		12/19/2011 7:00PM EST			12/20/2011 8:34AM CST	
airtravelcenter	UA-5748-SBN-ORD	12/20/11 9:10 AM (-05:00)			12/20/11 8:57 AM (-06:00)		
myrateplan	UA-5748-SBN-ORD	12/20/11 9:10 AM (-05:00)			12/20/11 8:57 AM (-06:00)		
helloflight	UA-5748-SBN-ORD	12/20/11 9:10 AM (-05:00)			12/20/11 8:57 AM (-06:00)		
flytecomm	UA-5748-SBN-ORD	12/20/11 9:10 AM (-05:00)			12/20/11 8:57 AM (-06:00)		
flightaware	UA-5748-SBN-ORD	2011-12-20 09:10AM EST	2011-12-20 09:15AM EST	 A7 	2011-12-20 08:58AM CST	2011-12-20 08:48AM CST	 F1A 
wunderground	UA-5748-SBN-ORD	2011-12-20 09:10AM EST	2011-12-20 09:15AM EST	 A7 	2011-12-20 08:58AM CST	2011-12-20 08:48AM CST	 F1A 
flights	UA-5748-SBN-ORD		2011-12-20 09:04 AM			2011-12-20 08:55 AM	F1A
businesstravellogue	UA-5748-SBN-ORD		2011-12-20 09:04 AM			2011-12-20 08:55 AM	F1A
flylouisville	UA-5748-SBN-ORD		2011-12-20 09:04 AM			2011-12-20 08:55 AM	F1A
flightview	UA-5748-SBN-ORD		9:15 AMDec 20			8:55 AMDec 20	
panynj	UA-5748-SBN-ORD		9:15 AMDec 20			8:55 AMDec 20	
gofox	UA-5748-SBN-ORD		9:15 AMDec 20			8:55 AMDec 20	
foxbusiness	UA-5748-SBN-ORD		9:15 AMDec 20			8:55 AMDec 20	
allegiantair	UA-5748-SBN-ORD		9:15 AMDec 20			8:55 AMDec 20	
boston	UA-5748-SBN-ORD		9:15 AMDec 20			8:49 AMDec 20	
orbitz	UA-5748-SBN-ORD	9:10aDec 20	9:04aDec 20	 A7	8:57aDec 20	8:55aDec 20	 F1A
ord	UA-5748-SBN-ORD	2011-12-20 9:10 AM		 	2011-12-20 8:57 AM		F1A
ua	UA-2468-BWI-CLT	Tue, Dec 20 12:10 PM	Tue, Dec 20 12:10 PM	D24	Tue, Dec 20 1:36 PM	Tue, Dec 20 1:29 PM	B9
airtravelcenter	UA-2468-BWI-CLT		12/20/11 12:23 PM (-05:00)			12/20/11 1:28 PM (-05:00)	
myrateplan	UA-2468-BWI-CLT		12/20/11 12:23 PM (-05:00)			12/20/11 1:28 PM (-05:00)	
helloflight	UA-2468-BWI-CLT		12/20/11 12:23 PM (-05:00)			12/20/11 1:28 PM (-05:00)	
flytecomm	UA-2468-BWI-CLT		12/20/11 12:23 PM (-05:00)			12/20/11 1:28 PM (-05:00)	
flights	UA-2468-BWI-CLT		2011-12-20 12:13 PM	D24		2011-12-20 01:29 PM	B9
businesstravellogue	UA-2468-BWI-CLT		2011-12-20 12:13 PM	D24		2011-12-20 01:29 PM	B9
flylouisville	UA-2468-BWI-CLT		2011-12-20 12:13 PM	D24		2011-12-20 01:29 PM	B9
flightview	UA-2468-BWI-CLT		12:23 PMDec 20			1:30 PMDec 20	
panynj	UA-2468-BWI-CLT		12:23 PMDec 20			1:30 PMDec 20	
gofox	UA-2468-BWI-CLT		12:23 PMDec 20			1:30 PMDec 20	
foxbusiness	UA-2468-BWI-CLT		12:23 PMDec 20			1:30 PMDec 20	
allegiantair	UA-2468-BWI-CLT		12:23 PMDec 20			1:30 PMDec 20	
boston	UA-2468-BWI-CLT		12:23 PMDec 20			1:30 PMDec 20	
travelocity	UA-2468-BWI-CLT	Dec 20 - 12:10pm	Dec 20 - Contact Airline	Not provided by airline	Dec 20 - 1:36pm	Dec 20 - Contact Airline	Not provided by airline
orbitz	UA-2468-BWI-CLT	12:10pDec 20	12:13pDec 20	 -	1:36pDec 20	1:29pDec 20	 -
weather	UA-2468-BWI-CLT	2011-12-20 12:10 PM			2011-12-20 01:36 PM		
mytripandmore	UA-2468-BWI-CLT	12:10pDec 20	12:13pDec 20	 -	1:36pDec 20	1:29pDec 20	 -
ua	UA-701-ORD-MCI	Tue, Dec 20 3:09 PM	Tue, Dec 20 3:12 PM	B7	Tue, Dec 20 4:40 PM	Tue, Dec 20 4:37 PM	12
flightexplorer	UA-701-ORD-MCI		12/20/2011 3:23PM CST			12/20/2011 4:26PM CST	
airtravelcenter	UA-701-ORD-MCI		12/20/11 3:24 PM (-06:00)			12/20/11 4:26 PM (-06:00)	
myrateplan	UA-701-ORD-MCI		12/20/11 3:24 PM (-06:00)			12/20/11 4:26 PM (-06:00)	
helloflight	UA-701-ORD-MCI		12/20/11 3:24 PM (-06:00)			12/20/11 4:26 PM (-06:00)	
flytecomm	UA-701-ORD-MCI		12/20/11 3:24 PM (-06:00)			12/20/11 4:26 PM (-06:00)	
flights	UA-701-ORD-MCI		2011-12-20 03:12 PM	B7		2011-12-20 04:37 PM	12
businesstravellogue	UA-701-ORD-MCI		2011-12-20 03:12 PM	B7		2011-12-20 04:37 PM	12
flylouisville	UA-701-ORD-MCI		2011-12-20 03:12 PM	B7		2011-12-20 04:37 PM	12
flightstats	UA-701-ORD-MCI	2011-12-20 3:09 PM	2011-12-20 3:12 PM		2011-12-20 4:40 PM	2011-12-20 4:37 PM	
quicktrip	UA-701-ORD-MCI	2011-12-20 3:09 PM	2011-12-20 3:12 PM		2011-12-20 4:40 PM	2011-12-20 4:37 PM	
flightview	UA-701-ORD-MCI		3:24 PMDec 20			4:37 PMDec 20	
panynj	UA-701-ORD-MCI		3:24 PMDec 20			4:37 PMDec 20	
gofox	UA-701-ORD-MCI		3:24 PMDec 20			4:37 PMDec 20	
foxbusiness	UA-701-ORD-MCI		3:24 PMDec 20			4:37 PMDec 20	
allegiantair	UA-701-ORD-MCI		3:24 PMDec 20			4:37 PMDec 20	
boston	UA-701-ORD-MCI		3:24 PMDec 20			4:35 PMDec 20	
travelocity	UA-701-ORD-MCI	Dec 20 - Not Available	Dec 20 - 3:23pm	B7	Dec 20 - Not Available	Dec 20 - 4:37pm	12
orbitz	UA-701-ORD-MCI	3:09pDec 20	3:12pDec 20	 B7	4:40pDec 20	4:37pDec 20	 12
weather	UA-701-ORD-MCI	2011-12-20 03:09 PM			2011-12-20 04:40 PM		
ord	UA-701-ORD-MCI	2011-12-20 3:09 PM		B7	2011-12-20 4:40 PM		12
flightarrival	UA-701-ORD-MCI	2011-12-20 03:09 PM			2011-12-20 04:40 PM		
ua	UA-2424-BUF-CLT	Tue, Dec 20 7:00 PM	Tue, Dec 20 7:00 PM	5	Tue, Dec 20 8:56 PM	Tue, Dec 20 8:59 PM	B1
airtravelcenter	UA-2424-BUF-CLT		12/20/11 7:22 PM (-05:00)			12/20/11 8:54 PM (-05:00)	
flights	UA-2424-BUF-CLT		2011-12-20 07:03 PM	5		2011-12-20 08:59 PM	B1
businesstravellogue	UA-2424-BUF-CLT		2011-12-20 07:03 PM	5		2011-12-20 08:59 PM	B1
flylouisville	UA-2424-BUF-CLT		2011-12-20 07:03 PM	5		2011-12-20 08:59 PM	B1
flightview	UA-2424-BUF-CLT		7:22 PMDec 20			8:57 PMDec 20	
panynj	UA-2424-BUF-CLT		7:22 PMDec 20			8:57 PMDec 20	
gofox	UA-2424-BUF-CLT		7:22 PMDec 20			8:57 PMDec 20	
foxbusiness	UA-2424-BUF-CLT		7:22 PMDec 20			8:57 PMDec 20	
allegiantair	UA-2424-BUF-CLT		7:22 PMDec 20			8:57 PMDec 20	
boston	UA-2424-BUF-CLT		7:22 PMDec 20			8:57 PMDec 20	
travelocity	UA-2424-BUF-CLT	Dec 20 - 7:00pm	Dec 20 - Contact Airline	Not provided by airline	Dec 20 - 8:56pm	Dec 20 - Contact Airline	Not provided by airline
orbitz	UA-2424-BUF-CLT	7:00pDec 20	7:03pDec 20	 -	8:56pDec 20	8:59pDec 20	 -
weather	UA-2424-BUF-CLT	2011-12-20 07:00 PM			2011-12-20 08:56 PM		
flightarrival	UA-2424-BUF-CLT	2011-12-20 07:00 PM			2011-12-20 08:56 PM		
CO	CO-1711-EWR-CLT	Tue., Dec.20, 2011 6:00 p.m.	Tue., Dec.20, 2011 6:00 p.m.		Tue., Dec.20, 2011 8:10 p.m.	Tue., Dec.20, 2011 8:12 p.m.	
flightexplorer	CO-1711-EWR-CLT	12/20/2011 6:00PM EST			12/20/2011 8:10PM EST		
airtravelcenter	CO-1711-EWR-CLT	12/20/11 6:00 PM (-05:00)			12/20/11 8:10 PM (-05:00)		
myrateplan	CO-1711-EWR-CLT	12/20/11 6:00 PM (-05:00)			12/20/11 8:10 PM (-05:00)		
helloflight	CO-1711-EWR-CLT	12/20/11 6:00 PM (-05:00)			12/20/11 8:10 PM (-05:00)		
flytecomm	CO-1711-EWR-CLT	12/20/11 6:00 PM (-05:00)			12/20/11 8:10 PM (-05:00)		
flightaware	CO-1711-EWR-CLT	2011-12-20 06:00PM EST	2011-12-20 06:10PM EST	 C92 	2011-12-20 07:50PM EST	2011-12-20 08:00PM EST	 A10 
wunderground	CO-1711-EWR-CLT	2011-12-20 06:00PM EST	2011-12-20 06:10PM EST	 C92 	2011-12-20 07:50PM EST	2011-12-20 08:00PM EST	 A10 
flights	CO-1711-EWR-CLT	06:00 PM  Tue 20-Dec-2011		71	08:10 PM  Tue 20-Dec-2011		A10
businesstravellogue	CO-1711-EWR-CLT	06:00 PM  Tue 20-Dec-2011		71	08:10 PM  Tue 20-Dec-2011		A10
flylouisville	CO-1711-EWR-CLT	06:00 PM  Tue 20-Dec-2011		71	08:10 PM  Tue 20-Dec-2011		A10
flightstats	CO-1711-EWR-CLT	2011-12-20 6:00 PM	2011-12-20 6:00 PM (Estimated)		2011-12-20 8:10 PM	2011-12-20 8:12 PM (Estimated)	
quicktrip	CO-1711-EWR-CLT	2011-12-20 6:00 PM	2011-12-20 6:00 PM (Estimated)		2011-12-20 8:10 PM	2011-12-20 8:12 PM (Estimated)	
world-flight-tracker	CO-1711-EWR-CLT	2011-12-20 6:00 PM	2011-12-20 6:00 PM (Estimated)		2011-12-20 8:10 PM	2011-12-20 8:12 PM (Estimated)	
flightview	CO-1711-EWR-CLT	6:00 PM, Dec 20		Term C - C92	8:10 PM, Dec 20		Main Term - A10
panynj	CO-1711-EWR-CLT	6:00 PM, Dec 20		Term C - C92	8:10 PM, Dec 20		Main Term - A10
gofox	CO-1711-EWR-CLT	6:00 PM, Dec 20			8:10 PM, Dec 20		
foxbusiness	CO-1711-EWR-CLT	6:00 PM, Dec 20		Term C - C92	8:10 PM, Dec 20		Main Term - A10
allegiantair	CO-1711-EWR-CLT	6:00 PM, Dec 20		Term C - C92	8:10 PM, Dec 20		Main Term - A10
boston	CO-1711-EWR-CLT	6:00 PM, Dec 20	Not Available		8:10 PM, Dec 20	Not Available	
travelocity	CO-1711-EWR-CLT	Dec 20 - 6:00pm	Dec 20 - Not Available	C92	Dec 20 - 8:12pm	Dec 20 - Not Available	A10
orbitz	CO-1711-EWR-CLT	6:00pDec 20		 C92	8:10pDec 20		 A10
weather	CO-1711-EWR-CLT	2011-12-20 06:00 PM			2011-12-20 08:10 PM		
ifly	CO-1711-EWR-CLT	2011-12-20 6:00 PM	2011-12-20 6:00 PM (Estimated)		2011-12-20 8:10 PM	2011-12-20 8:12 PM (Estimated)	
flightwise	CO-1711-EWR-CLT	2011-12-20 06:00PM EST	2011-12-20 06:10PM EST	 C92 	2011-12-20 07:50PM EST	2011-12-20 08:00PM EST	 A10 
flightarrival	CO-1711-EWR-CLT	6:00 PM, Dec 20	Not Available		8:10 PM, Dec 20	Not Available	
ua	UA-1500-IAH-GUA	Tue, Dec 20 8:50 AM	Tue, Dec 20 9:38 AM            Delayed	E9	Tue, Dec 20 11:43 AM	Tue, Dec 20 12:25 PM	15
airtravelcenter	UA-1500-IAH-GUA	12/20/11 8:50 AM (-06:00)			12/20/11 11:43 AM (-06:00)		
myrateplan	UA-1500-IAH-GUA	12/20/11 8:50 AM (-06:00)			12/20/11 11:43 AM (-06:00)		
helloflight	UA-1500-IAH-GUA	12/20/11 8:50 AM (-06:00)			12/20/11 11:43 AM (-06:00)		
flytecomm	UA-1500-IAH-GUA	12/20/11 8:50 AM (-06:00)			12/20/11 11:43 AM (-06:00)		
flights	UA-1500-IAH-GUA		2011-12-20 09:38 AM	9		2011-12-20 11:43 AM	15
businesstravellogue	UA-1500-IAH-GUA		2011-12-20 09:38 AM	9		2011-12-20 11:43 AM	15
flylouisville	UA-1500-IAH-GUA		2011-12-20 09:38 AM	9		2011-12-20 11:43 AM	15
flightview	UA-1500-IAH-GUA		10:04 AMDec 20			12:27 PMDec 20	
panynj	UA-1500-IAH-GUA		10:04 AMDec 20			12:27 PMDec 20	
gofox	UA-1500-IAH-GUA		10:04 AMDec 20			12:27 PMDec 20	
foxbusiness	UA-1500-IAH-GUA		10:04 AMDec 20			12:27 PMDec 20	
allegiantair	UA-1500-IAH-GUA		10:04 AMDec 20			12:27 PMDec 20	
boston	UA-1500-IAH-GUA		10:04 AMDec 20			12:27 PMDec 20	
orbitz	UA-1500-IAH-GUA	8:50aDec 20	9:38aDec 20	 E9	1:07pDec 20		 15
ua	UA-88-PEK-EWR	Tue, Dec 20 5:00 PM	Tue, Dec 20 4:51 PM	E29	Tue, Dec 20 5:35 PM	Tue, Dec 20 5:18 PM	C121
airtravelcenter	UA-88-PEK-EWR	12/20/11 5:00 PM (+08:00)			12/20/11 5:35 PM (-05:00)		
myrateplan	UA-88-PEK-EWR	12/20/11 5:00 PM (+08:00)			12/20/11 5:35 PM (-05:00)		
helloflight	UA-88-PEK-EWR	12/20/11 5:00 PM (+08:00)			12/20/11 5:35 PM (-05:00)		
flytecomm	UA-88-PEK-EWR	12/20/11 5:00 PM (+08:00)			12/20/11 5:35 PM (-05:00)		
flights	UA-88-PEK-EWR		2011-12-20 04:51 PM	E29		2011-12-20 05:18 PM	121
businesstravellogue	UA-88-PEK-EWR		2011-12-20 04:51 PM	E29		2011-12-20 05:18 PM	121
flylouisville	UA-88-PEK-EWR		2011-12-20 04:51 PM	E29		2011-12-20 05:18 PM	121
flightview	UA-88-PEK-EWR		5:00 PMDec 20			5:18 PMDec 20	
panynj	UA-88-PEK-EWR		5:00 PMDec 20			5:18 PMDec 20	
gofox	UA-88-PEK-EWR		5:00 PMDec 20			5:18 PMDec 20	
foxbusiness	UA-88-PEK-EWR		5:00 PMDec 20			5:18 PMDec 20	
allegiantair	UA-88-PEK-EWR		5:00 PMDec 20			5:18 PMDec 20	
boston	UA-88-PEK-EWR		5:00 PMDec 20			5:05 PMDec 20	
travelocity	UA-88-PEK-EWR	Dec 20 - 5:00pm	Dec 20 - Contact Airline	Not provided by airline	Dec 20 - 5:35pm	Dec 20 - Contact Airline	Not provided by airline
orbitz	UA-88-PEK-EWR	5:00pDec 20	4:51pDec 20	 E29	5:35pDec 20	5:18pDec 20	 121
weather	UA-88-PEK-EWR	2011-12-20 05:00 PM			2011-12-20 05:35 PM		
usatoday	UA-88-PEK-EWR	2011-12-20 05:00 PM			2011-12-20 05:35 PM		
mytripandmore	UA-88-PEK-EWR	5:00pDec 20	4:51pDec 20	 E29	5:35pDec 20	5:18pDec 20	 121
flightarrival	UA-88-PEK-EWR	2011-12-20 05:00 PM			2011-12-20 05:35 PM		
ua	UA-398-SFO-LAX	Tue, Dec 20 7:32 AM	Tue, Dec 20 7:30 AM	83	Tue, Dec 20 9:05 AM	Tue, Dec 20 8:52 AM	75B
flightexplorer	UA-398-SFO-LAX		12/20/2011 7:46AM PST			12/20/2011 8:41AM PST	
airtravelcenter	UA-398-SFO-LAX		12/20/11 7:48 AM (-08:00)			12/20/11 8:41 AM (-08:00)	
myrateplan	UA-398-SFO-LAX		12/20/11 7:48 AM (-08:00)			12/20/11 8:41 AM (-08:00)	
helloflight	UA-398-SFO-LAX		12/20/11 7:48 AM (-08:00)			12/20/11 8:41 AM (-08:00)	
flytecomm	UA-398-SFO-LAX		12/20/11 7:48 AM (-08:00)			12/20/11 8:41 AM (-08:00)	
flights	UA-398-SFO-LAX		2011-12-20 07:30 AM	83		2011-12-20 08:52 AM	75B
businesstravellogue	UA-398-SFO-LAX		2011-12-20 07:30 AM	83		2011-12-20 08:52 AM	75B
flylouisville	UA-398-SFO-LAX		2011-12-20 07:30 AM	83		2011-12-20 08:52 AM	75B
flightview	UA-398-SFO-LAX		7:48 AMDec 20			8:52 AMDec 20	
panynj	UA-398-SFO-LAX		7:48 AMDec 20			8:52 AMDec 20	
gofox	UA-398-SFO-LAX		7:48 AMDec 20			8:52 AMDec 20	
foxbusiness	UA-398-SFO-LAX		7:48 AMDec 20			8:52 AMDec 20	
allegiantair	UA-398-SFO-LAX		7:48 AMDec 20			8:52 AMDec 20	
boston	UA-398-SFO-LAX		7:48 AMDec 20			8:40 AMDec 20	
travelocity	UA-398-SFO-LAX	Dec 20 - Not Available	Dec 20 - 7:47am	83	Dec 20 - Not Available	Dec 20 - 8:52am	75B
orbitz	UA-398-SFO-LAX	7:32aDec 20	7:30aDec 20	 83	9:05aDec 20	8:52aDec 20	 75B
weather	UA-398-SFO-LAX	2011-12-20 07:32 AM			2011-12-20 09:05 AM		
usatoday	UA-398-SFO-LAX		7:48 AMDec 20			8:40 AMDec 20	
mytripandmore	UA-398-SFO-LAX	7:32aDec 20	7:30aDec 20	 83	9:05aDec 20	8:52aDec 20	 75B
flightarrival	UA-398-SFO-LAX	2011-12-20 07:32 AM			2011-12-20 09:05 AM		
aa	AA-1687-BWI-MIA	December 20, 2011               10:20 AM    	December 20, 2011               10:17 AM    	 C8	December 20, 2011               01:05 PM    	December 20, 2011               12:47 PM    	 D39    
flightexplorer	AA-1687-BWI-MIA		12/20/2011 10:30AM EST			12/20/2011 12:42PM EST	
airtravelcenter	AA-1687-BWI-MIA		12/20/11 10:30 AM (-05:00)			12/20/11 12:42 PM (-05:00)	
flights	AA-1687-BWI-MIA		2011-12-20 10:17 AM	C8		2011-12-20 12:47 PM	D39
businesstravellogue	AA-1687-BWI-MIA		2011-12-20 10:17 AM	C8		2011-12-20 12:47 PM	D39
flylouisville	AA-1687-BWI-MIA		2011-12-20 10:17 AM	C8		2011-12-20 12:47 PM	D39
flightview	AA-1687-BWI-MIA		10:30 AMDec 20			12:47 PMDec 20	
panynj	AA-1687-BWI-MIA		10:30 AMDec 20			12:47 PMDec 20	
gofox	AA-1687-BWI-MIA		10:30 AMDec 20			12:47 PMDec 20	
foxbusiness	AA-1687-BWI-MIA		10:30 AMDec 20			12:47 PMDec 20	
allegiantair	AA-1687-BWI-MIA		10:30 AMDec 20			12:47 PMDec 20	
boston	AA-1687-BWI-MIA		10:30 AMDec 20			12:40 PMDec 20	
travelocity	AA-1687-BWI-MIA	Dec 20 - 10:20am	Dec 20 - 10:17am	C8	Dec 20 - 1:05pm	Dec 20 - 12:47pm	D39
orbitz	AA-1687-BWI-MIA	10:20aDec 20	10:17aDec 20	 C8	1:05pDec 20	12:47pDec 20	 D39
weather	AA-1687-BWI-MIA	2011-12-20 10:20 AM			2011-12-20 01:05 PM		
mia	AA-1687-BWI-MIA				1:05P 12-20-11	2011-12-20  12:47P	
flightarrival	AA-1687-BWI-MIA		10:30 AMDec 20			12:40 PMDec 20	
