CO	CO-4237-EWR-DTW	Fri., Dec.30, 2011 12:17 p.m.	Fri., Dec.30, 2011 12:12 p.m.		Fri., Dec.30, 2011 2:24 p.m.	Fri., Dec.30, 2011 2:16 p.m.	
myrateplan	UA-1009-ORD-IAH		12/30/11 8:14 PM (-06:00)			12/30/11 10:14 PM (-06:00)	
helloflight	UA-1009-ORD-IAH	12/30/11 7:30 PM (-06:00)			12/30/11 10:13 PM (-06:00)		
helloflight	UA-1009-ORD-IAH		12/30/11 8:14 PM (-06:00)			12/30/11 10:14 PM (-06:00)	
flytecomm	UA-1009-ORD-IAH	12/30/11 7:30 PM (-06:00)			12/30/11 10:13 PM (-06:00)		
flytecomm	UA-1009-ORD-IAH		12/30/11 8:14 PM (-06:00)			12/30/11 10:14 PM (-06:00)	
flights	UA-1009-ORD-IAH		2011-12-30 07:57 PM	B3		2011-12-30 10:15 PM	23
businesstravellogue	UA-1009-ORD-IAH		2011-12-30 07:57 PM	B3		2011-12-30 10:15 PM	23
flylouisville	UA-1009-ORD-IAH		2011-12-30 07:57 PM	B3		2011-12-30 10:15 PM	23
flightstats	UA-1009-ORD-IAH	2011-12-30 7:30 PM	2011-12-30 7:57 PM		2011-12-30 10:13 PM	2011-12-30 10:15 PM	
quicktrip	UA-1009-ORD-IAH	2011-12-30 7:30 PM	2011-12-30 7:57 PM		2011-12-30 10:13 PM	2011-12-30 10:15 PM	
flightview	UA-1009-ORD-IAH		8:14 PMDec 30			10:15 PMDec 30	
panynj	UA-1009-ORD-IAH		8:14 PMDec 30			10:15 PMDec 30	
gofox	UA-1009-ORD-IAH		8:14 PMDec 30			10:15 PMDec 30	
foxbusiness	UA-1009-ORD-IAH		8:14 PMDec 30			10:15 PMDec 30	
allegiantair	UA-1009-ORD-IAH		8:14 PMDec 30			10:15 PMDec 30	
boston	UA-1009-ORD-IAH		8:14 PMDec 30			10:12 PMDec 30	
travelocity	UA-1009-ORD-IAH	Dec 30 - 7:30pm	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 10:13pm	Dec 30 - Contact Airline	Not provided by airline
orbitz	UA-1009-ORD-IAH	7:30pDec 30	7:57pDec 30	 B3	10:13pDec 30	10:15pDec 30	 E23
weather	UA-1009-ORD-IAH	2011-12-30 07:30 PM			2011-12-30 10:13 PM		
ord	UA-1009-ORD-IAH	2011-12-30 7:30 PM		B3	2011-12-30 10:13 PM		23
usatoday	UA-1009-ORD-IAH	2011-12-30 07:30 PM			2011-12-30 10:13 PM		
mytripandmore	UA-1009-ORD-IAH	7:30pDec 30	7:57pDec 30	 B3	10:13pDec 30	10:15pDec 30	 E23
flightarrival	UA-1009-ORD-IAH	2011-12-30 07:30 PM			2011-12-30 10:13 PM		
aa	AA-3534-CLT-MIA	December 30, 2011               10:30 AM    	December 30, 2011               10:28 AM    	 A9	December 30, 2011               12:40 PM    	December 30, 2011               12:27 PM    	 D55    
flightexplorer	AA-3534-CLT-MIA		12/30/2011 10:44AM EST			12/30/2011 12:25PM EST	
airtravelcenter	AA-3534-CLT-MIA		12/30/11 10:44 AM (-05:00)			12/30/11 12:25 PM (-05:00)	
myrateplan	AA-3534-CLT-MIA		12/30/11 10:44 AM (-05:00)			12/30/11 12:25 PM (-05:00)	
helloflight	AA-3534-CLT-MIA		12/30/11 10:44 AM (-05:00)			12/30/11 12:25 PM (-05:00)	
flytecomm	AA-3534-CLT-MIA		12/30/11 10:44 AM (-05:00)			12/30/11 12:25 PM (-05:00)	
flightaware	AA-3534-CLT-MIA	2011-12-30 10:30AM EST	2011-12-30 10:44AM EST	 A9 	2011-12-30 12:31PM EST	2011-12-30 12:23PM EST	 D55 
wunderground	AA-3534-CLT-MIA	2011-12-30 10:30AM EST	2011-12-30 10:44AM EST	 A9 	2011-12-30 12:31PM EST	2011-12-30 12:23PM EST	 D55 
flights	AA-3534-CLT-MIA	10:30 AM  Fri 30-Dec-2011	10:28 AM  Fri 30-Dec-2011	A9	12:40 PM  Fri 30-Dec-2011	12:27 PM  Fri 30-Dec-2011	D55
businesstravellogue	AA-3534-CLT-MIA	10:30 AM  Fri 30-Dec-2011	10:28 AM  Fri 30-Dec-2011	A9	12:40 PM  Fri 30-Dec-2011	12:27 PM  Fri 30-Dec-2011	D55
flylouisville	AA-3534-CLT-MIA	10:30 AM  Fri 30-Dec-2011	10:28 AM  Fri 30-Dec-2011	A9	12:40 PM  Fri 30-Dec-2011	12:27 PM  Fri 30-Dec-2011	D55
flightstats	AA-3534-CLT-MIA	2011-12-30 10:30 AM	2011-12-30 10:28 AM		2011-12-30 12:40 PM	2011-12-30 12:27 PM	
quicktrip	AA-3534-CLT-MIA	2011-12-30 10:30 AM	2011-12-30 10:28 AM		2011-12-30 12:40 PM	2011-12-30 12:27 PM	
world-flight-tracker	AA-3534-CLT-MIA	2011-12-30 10:30 AM	2011-12-30 10:28 AM		2011-12-30 12:40 PM	2011-12-30 12:27 PM	
flightview	AA-3534-CLT-MIA	10:30 AM, Dec 30	10:44 AM, Dec 30		12:40 PM, Dec 30	12:27 PM, Dec 30	
panynj	AA-3534-CLT-MIA	10:30 AM, Dec 30	10:44 AM, Dec 30		12:40 PM, Dec 30	12:27 PM, Dec 30	
gofox	AA-3534-CLT-MIA	10:30 AM, Dec 30	10:44 AM, Dec 30		12:40 PM, Dec 30	12:27 PM, Dec 30	
foxbusiness	AA-3534-CLT-MIA	10:30 AM, Dec 30	10:44 AM, Dec 30		12:40 PM, Dec 30	12:27 PM, Dec 30	
allegiantair	AA-3534-CLT-MIA	10:30 AM, Dec 30	10:44 AM, Dec 30		12:40 PM, Dec 30	12:27 PM, Dec 30	
boston	AA-3534-CLT-MIA	10:30 AM, Dec 30	10:44 AM, Dec 30		12:40 PM, Dec 30	12:23 PM, Dec 30	
travelocity	AA-3534-CLT-MIA	Dec 30 - 10:30am	Dec 30 - 10:28am	A9	Dec 30 - 12:40pm	Dec 30 - 12:27pm	D55
orbitz	AA-3534-CLT-MIA	10:30aDec 30	10:28aDec 30	 A9	12:40pDec 30	12:27pDec 30	 D55
weather	AA-3534-CLT-MIA	2011-12-30 10:30 AM			2011-12-30 12:40 PM		
mytripandmore	AA-3534-CLT-MIA	Dec 30 - 10:30am	Dec 30 - 10:28am	A9	Dec 30 - 12:40pm	Dec 30 - 12:27pm	D55
flightarrival	AA-3534-CLT-MIA	2011-12-30 10:30 AM	2011-12-30 10:28 AM		2011-12-30 12:40 PM	2011-12-30 12:27 PM	
ua	UA-1543-DCA-IAH	Fri, Dec 30 5:38 PM	Fri, Dec 30 5:31 PM            On Time	11	Fri, Dec 30 8:13 PM	Fri, Dec 30 7:36 PM	E8
flightexplorer	UA-1543-DCA-IAH		12/30/2011 5:39PM EST			12/30/2011 7:32PM CST	
airtravelcenter	UA-1543-DCA-IAH	12/30/11 5:38 PM (-05:00)			12/30/11 8:13 PM (-06:00)		
airtravelcenter	UA-1543-DCA-IAH		12/30/11 5:39 PM (-05:00)			12/30/11 7:32 PM (-06:00)	
myrateplan	UA-1543-DCA-IAH	12/30/11 5:38 PM (-05:00)			12/30/11 8:13 PM (-06:00)		
myrateplan	UA-1543-DCA-IAH		12/30/11 5:39 PM (-05:00)			12/30/11 7:32 PM (-06:00)	
helloflight	UA-1543-DCA-IAH	12/30/11 5:38 PM (-05:00)			12/30/11 8:13 PM (-06:00)		
helloflight	UA-1543-DCA-IAH		12/30/11 5:39 PM (-05:00)			12/30/11 7:32 PM (-06:00)	
flytecomm	UA-1543-DCA-IAH	12/30/11 5:38 PM (-05:00)			12/30/11 8:13 PM (-06:00)		
flytecomm	UA-1543-DCA-IAH		12/30/11 5:39 PM (-05:00)			12/30/11 7:32 PM (-06:00)	
flightaware	UA-1543-DCA-IAH	2011-12-30 05:38PM EST	2011-12-30 05:39PM EST	 11 	2011-12-30 07:58PM CST	2011-12-30 07:30PM CST	 E8 
wunderground	UA-1543-DCA-IAH	2011-12-30 05:38PM EST	2011-12-30 05:39PM EST	 11 	2011-12-30 07:58PM CST	2011-12-30 07:30PM CST	 E8 
flights	UA-1543-DCA-IAH		2011-12-30 05:31 PM	11		2011-12-30 07:36 PM	8
businesstravellogue	UA-1543-DCA-IAH		2011-12-30 05:31 PM	11		2011-12-30 07:36 PM	8
flylouisville	UA-1543-DCA-IAH		2011-12-30 05:31 PM	11		2011-12-30 07:36 PM	8
flightview	UA-1543-DCA-IAH		5:39 PMDec 30			7:36 PMDec 30	
panynj	UA-1543-DCA-IAH		5:39 PMDec 30			7:36 PMDec 30	
gofox	UA-1543-DCA-IAH		5:39 PMDec 30			7:36 PMDec 30	
foxbusiness	UA-1543-DCA-IAH		5:39 PMDec 30			7:36 PMDec 30	
allegiantair	UA-1543-DCA-IAH		5:39 PMDec 30			7:36 PMDec 30	
boston	UA-1543-DCA-IAH		5:39 PMDec 30			7:30 PMDec 30	
orbitz	UA-1543-DCA-IAH	5:38pDec 30	5:31pDec 30	 11	8:13pDec 30	7:36pDec 30	 E8
usatoday	UA-1543-DCA-IAH		5:39 PMDec 30			7:30 PMDec 30	
mytripandmore	UA-1543-DCA-IAH	5:38pDec 30	5:31pDec 30	 11	8:13pDec 30	7:36pDec 30	 E8
flightwise	UA-1543-DCA-IAH	2011-12-30 05:38PM EST	2011-12-30 05:39PM EST	 11 	2011-12-30 07:58PM CST	2011-12-30 07:30PM CST	 E8 
flightarrival	UA-1543-DCA-IAH		5:39 PMDec 30			7:30 PMDec 30	
ua	UA-1153-SFO-IAH	Fri, Dec 30 12:25 AM	Fri, Dec 30 12:52 AM	89	Fri, Dec 30 5:57 AM	Fri, Dec 30 6:18 AM	C-41
flightexplorer	UA-1153-SFO-IAH		12/30/2011 1:04AM PST			12/30/2011 6:13AM CST	
airtravelcenter	UA-1153-SFO-IAH	12/30/11 12:25 AM (-08:00)			12/30/11 5:57 AM (-06:00)		
myrateplan	UA-1153-SFO-IAH	12/30/11 12:25 AM (-08:00)			12/30/11 5:57 AM (-06:00)		
helloflight	UA-1153-SFO-IAH	12/30/11 12:25 AM (-08:00)			12/30/11 5:57 AM (-06:00)		
flytecomm	UA-1153-SFO-IAH	12/30/11 12:25 AM (-08:00)			12/30/11 5:57 AM (-06:00)		
flightaware	UA-1153-SFO-IAH	2011-12-30 12:25AM PST	2011-12-30 12:35AM PST	 90 	2011-12-30 05:37AM CST	2011-12-30 05:47AM CST	
wunderground	UA-1153-SFO-IAH	2011-12-30 12:25AM PST	2011-12-30 12:35AM PST	 90 	2011-12-30 05:37AM CST	2011-12-30 05:47AM CST	
flights	UA-1153-SFO-IAH	12:25 AM  Fri 30-Dec-2011	12:52 AM  Fri 30-Dec-2011	89	05:57 AM  Fri 30-Dec-2011	06:18 AM  Fri 30-Dec-2011	41
businesstravellogue	UA-1153-SFO-IAH	12:25 AM  Fri 30-Dec-2011	12:52 AM  Fri 30-Dec-2011	89	05:57 AM  Fri 30-Dec-2011	06:18 AM  Fri 30-Dec-2011	41
flylouisville	UA-1153-SFO-IAH	12:25 AM  Fri 30-Dec-2011	12:52 AM  Fri 30-Dec-2011	89	05:57 AM  Fri 30-Dec-2011	06:18 AM  Fri 30-Dec-2011	41
world-flight-tracker	UA-1153-SFO-IAH	2011-12-30 12:25 AM	2011-12-30 12:52 AM		2011-12-30 5:57 AM	2011-12-30 6:18 AM	
flightview	UA-1153-SFO-IAH	12:25 AM, Dec 30	1:06 AM, Dec 30	Terminal 3 - 89	5:57 AM, Dec 30	6:18 AM, Dec 30	Term C - C41
panynj	UA-1153-SFO-IAH	12:25 AM, Dec 30	1:06 AM, Dec 30	Terminal 3 - 89	5:57 AM, Dec 30	6:18 AM, Dec 30	Term C - C41
gofox	UA-1153-SFO-IAH	12:25 AM, Dec 30	1:06 AM, Dec 30		5:57 AM, Dec 30	6:18 AM, Dec 30	
foxbusiness	UA-1153-SFO-IAH	12:25 AM, Dec 30	1:06 AM, Dec 30	Terminal 3 - 89	5:57 AM, Dec 30	6:18 AM, Dec 30	Term C - C41
allegiantair	UA-1153-SFO-IAH	12:25 AM, Dec 30	1:06 AM, Dec 30	Terminal 3 - 89	5:57 AM, Dec 30	6:18 AM, Dec 30	Term C - C41
boston	UA-1153-SFO-IAH	12:25 AM, Dec 30	1:06 AM, Dec 30		5:57 AM, Dec 30	6:10 AM, Dec 30	
travelocity	UA-1153-SFO-IAH	Dec 30 - 12:25am	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 5:57am	Dec 30 - Contact Airline	Not provided by airline
orbitz	UA-1153-SFO-IAH	12:25aDec 30	12:52aDec 30	 89	5:57aDec 30	6:18aDec 30	 41
weather	UA-1153-SFO-IAH	2011-12-30 12:25 AM			2011-12-30 05:57 AM		
usatoday	UA-1153-SFO-IAH	12:25 AM, Dec 30	1:06 AM, Dec 30		5:57 AM, Dec 30	6:10 AM, Dec 30	
flightwise	UA-1153-SFO-IAH	2011-12-30 12:25AM PST	2011-12-30 12:35AM PST	 90 	2011-12-30 05:37AM CST	2011-12-30 05:47AM CST	
flightarrival	UA-1153-SFO-IAH	2011-12-30 12:25 AM			2011-12-30 05:57 AM		
ua	UA-6102-CLE-ORD	Fri, Dec 30 10:48 AM	Fri, Dec 30 10:45 AM	C23	Fri, Dec 30 11:15 AM	Fri, Dec 30 11:06 AM	F12C
airtravelcenter	UA-6102-CLE-ORD	12/30/11 10:48 AM (-05:00)			12/30/11 11:15 AM (-06:00)		
myrateplan	UA-6102-CLE-ORD	12/30/11 10:48 AM (-05:00)			12/30/11 11:15 AM (-06:00)		
helloflight	UA-6102-CLE-ORD	12/30/11 10:48 AM (-05:00)			12/30/11 11:15 AM (-06:00)		
flytecomm	UA-6102-CLE-ORD	12/30/11 10:48 AM (-05:00)			12/30/11 11:15 AM (-06:00)		
flights	UA-6102-CLE-ORD		2011-12-30 10:45 AM	C23		2011-12-30 11:06 AM	F12C
businesstravellogue	UA-6102-CLE-ORD		2011-12-30 10:45 AM	C23		2011-12-30 11:06 AM	F12C
flylouisville	UA-6102-CLE-ORD		2011-12-30 10:45 AM	C23		2011-12-30 11:06 AM	F12C
flightview	UA-6102-CLE-ORD		10:55 AMDec 30			11:06 AMDec 30	
panynj	UA-6102-CLE-ORD		10:55 AMDec 30			11:06 AMDec 30	
gofox	UA-6102-CLE-ORD		10:55 AMDec 30			11:06 AMDec 30	
foxbusiness	UA-6102-CLE-ORD		10:55 AMDec 30			11:06 AMDec 30	
allegiantair	UA-6102-CLE-ORD		10:55 AMDec 30			11:06 AMDec 30	
boston	UA-6102-CLE-ORD		10:55 AMDec 30			10:59 AMDec 30	
orbitz	UA-6102-CLE-ORD	10:48aDec 30	10:45aDec 30	 C23	11:15aDec 30	11:06aDec 30	 F12C
weather	UA-6102-CLE-ORD	2011-12-30 10:48 AM			2011-12-30 11:15 AM		
usatoday	UA-6102-CLE-ORD	2011-12-30 10:48 AM			2011-12-30 11:15 AM		
mytripandmore	UA-6102-CLE-ORD	10:48aDec 30	10:45aDec 30	 C23	11:15aDec 30	11:06aDec 30	 F12C
ua	UA-1421-IAH-MGA	Fri, Dec 30 6:00 PM	Fri, Dec 30 6:32 PM	E1	Fri, Dec 30 9:22 PM	Fri, Dec 30 9:49 PM	--
airtravelcenter	UA-1421-IAH-MGA		12/30/11 6:49 PM (-06:00)			12/30/11 9:33 PM (-06:00)	
myrateplan	UA-1421-IAH-MGA		12/30/11 6:49 PM (-06:00)			12/30/11 9:33 PM (-06:00)	
helloflight	UA-1421-IAH-MGA		12/30/11 6:49 PM (-06:00)			12/30/11 9:33 PM (-06:00)	
flytecomm	UA-1421-IAH-MGA		12/30/11 6:49 PM (-06:00)			12/30/11 9:33 PM (-06:00)	
flights	UA-1421-IAH-MGA	06:00 PM  Fri 30-Dec-2011		1	09:22 PM  Fri 30-Dec-2011		HOLD
businesstravellogue	UA-1421-IAH-MGA	06:00 PM  Fri 30-Dec-2011		1	09:22 PM  Fri 30-Dec-2011		HOLD
flylouisville	UA-1421-IAH-MGA	06:00 PM  Fri 30-Dec-2011		1	09:22 PM  Fri 30-Dec-2011		HOLD
flightview	UA-1421-IAH-MGA	6:00 PM, Dec 30	6:49 PM, Dec 30		9:22 PM, Dec 30		
panynj	UA-1421-IAH-MGA	6:00 PM, Dec 30	6:49 PM, Dec 30		9:22 PM, Dec 30		
gofox	UA-1421-IAH-MGA	6:00 PM, Dec 30	6:49 PM, Dec 30		9:22 PM, Dec 30		
foxbusiness	UA-1421-IAH-MGA	6:00 PM, Dec 30	6:49 PM, Dec 30		9:22 PM, Dec 30		
allegiantair	UA-1421-IAH-MGA	6:00 PM, Dec 30	6:49 PM, Dec 30		9:22 PM, Dec 30		
boston	UA-1421-IAH-MGA	6:00 PM, Dec 30	6:49 PM, Dec 30		9:22 PM, Dec 30	9:34 PM, Dec 30&nbsp(Estimated)	
travelocity	UA-1421-IAH-MGA	Dec 30 - 6:00pm	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 9:22pm	Dec 30 - Contact Airline	Not provided by airline
orbitz	UA-1421-IAH-MGA	6:00pDec 30	6:32pDec 30	 E1	10:16pDec 30		 -
flightarrival	UA-1421-IAH-MGA	6:00 PM, Dec 30	6:49 PM, Dec 30		9:22 PM, Dec 30	9:34 PM, Dec 30&nbsp(Estimated)	
CO	CO-1703-LAX-EWR	Fri., Dec.30, 2011 8:35 a.m.	Fri., Dec.30, 2011 8:28 a.m.		Fri., Dec.30, 2011 4:57 p.m.	Fri., Dec.30, 2011 5:24 p.m.	
flightexplorer	CO-1703-LAX-EWR		12/30/2011 9:24AM PST			12/30/2011 5:19PM EST	
airtravelcenter	CO-1703-LAX-EWR	12/30/11 8:35 AM (-08:00)			12/30/11 4:57 PM (-05:00)		
myrateplan	CO-1703-LAX-EWR	12/30/11 8:35 AM (-08:00)			12/30/11 4:57 PM (-05:00)		
helloflight	CO-1703-LAX-EWR	12/30/11 8:35 AM (-08:00)			12/30/11 4:57 PM (-05:00)		
flytecomm	CO-1703-LAX-EWR	12/30/11 8:35 AM (-08:00)			12/30/11 4:57 PM (-05:00)		
flightaware	CO-1703-LAX-EWR	2011-12-30 08:35AM PST	2011-12-30 09:26AM PST	 62 	2011-12-30 04:47PM EST	2011-12-30 05:15PM EST	 C83 
wunderground	CO-1703-LAX-EWR	2011-12-30 08:35AM PST	2011-12-30 09:26AM PST	 62 	2011-12-30 04:47PM EST	2011-12-30 05:15PM EST	 C83 
flights	CO-1703-LAX-EWR	08:35 AM  Fri 30-Dec-2011	08:28 AM  Fri 30-Dec-2011	62	04:57 PM  Fri 30-Dec-2011	05:24 PM  Fri 30-Dec-2011	83
businesstravellogue	CO-1703-LAX-EWR	08:35 AM  Fri 30-Dec-2011	08:28 AM  Fri 30-Dec-2011	62	04:57 PM  Fri 30-Dec-2011	05:24 PM  Fri 30-Dec-2011	83
flylouisville	CO-1703-LAX-EWR	08:35 AM  Fri 30-Dec-2011	08:28 AM  Fri 30-Dec-2011	62	04:57 PM  Fri 30-Dec-2011	05:24 PM  Fri 30-Dec-2011	83
flightstats	CO-1703-LAX-EWR	2011-12-30 8:35 AM	2011-12-30 8:28 AM		2011-12-30 4:57 PM	2011-12-30 5:24 PM	
quicktrip	CO-1703-LAX-EWR	2011-12-30 8:35 AM	2011-12-30 8:28 AM		2011-12-30 4:57 PM	2011-12-30 5:24 PM	
world-flight-tracker	CO-1703-LAX-EWR	2011-12-30 8:35 AM	2011-12-30 8:28 AM		2011-12-30 4:57 PM	2011-12-30 5:24 PM	
flightview	CO-1703-LAX-EWR	8:35 AM, Dec 30	9:26 AM, Dec 30	Term 6 - 62	4:57 PM, Dec 30	5:24 PM, Dec 30	Term C - C83
panynj	CO-1703-LAX-EWR	8:35 AM, Dec 30	9:26 AM, Dec 30	Term 6 - 62	4:57 PM, Dec 30	5:24 PM, Dec 30	Term C - C83
gofox	CO-1703-LAX-EWR	8:35 AM, Dec 30	9:26 AM, Dec 30		4:57 PM, Dec 30	5:24 PM, Dec 30	
foxbusiness	CO-1703-LAX-EWR	8:35 AM, Dec 30	9:26 AM, Dec 30	Term 6 - 62	4:57 PM, Dec 30	5:24 PM, Dec 30	Term C - C83
allegiantair	CO-1703-LAX-EWR	8:35 AM, Dec 30	9:26 AM, Dec 30	Term 6 - 62	4:57 PM, Dec 30	5:24 PM, Dec 30	Term C - C83
boston	CO-1703-LAX-EWR	8:35 AM, Dec 30	9:26 AM, Dec 30		4:57 PM, Dec 30	5:16 PM, Dec 30	
travelocity	CO-1703-LAX-EWR	Dec 30 - 8:35am	Dec 30 - 8:28am	62	Dec 30 - 4:57pm	Dec 30 - 5:24pm	C83
orbitz	CO-1703-LAX-EWR	8:35aDec 30	8:28aDec 30	 62	4:57pDec 30	5:24pDec 30	 C83
weather	CO-1703-LAX-EWR	2011-12-30 08:35 AM			2011-12-30 04:57 PM		
usatoday	CO-1703-LAX-EWR	8:35 AM, Dec 30	9:26 AM, Dec 30		4:57 PM, Dec 30	5:16 PM, Dec 30	
mytripandmore	CO-1703-LAX-EWR	Dec 30 - 8:35am	Dec 30 - 8:28am	62	Dec 30 - 4:57pm	Dec 30 - 5:24pm	C83
flightwise	CO-1703-LAX-EWR	2011-12-30 08:35AM PST	2011-12-30 09:26AM PST	 62 	2011-12-30 04:47PM EST	2011-12-30 05:15PM EST	 C83 
flightarrival	CO-1703-LAX-EWR	2011-12-30 8:35 AM	2011-12-30 8:28 AM		2011-12-30 4:57 PM	2011-12-30 5:24 PM	
ua	UA-4218-IAH-CRW	Fri, Dec 30 2:15 PM	Fri, Dec 30 2:11 PM	B62	Fri, Dec 30 5:36 PM	Fri, Dec 30 5:25 PM	A5
airtravelcenter	UA-4218-IAH-CRW	12/30/11 2:15 PM (-06:00)			12/30/11 5:36 PM (-05:00)		
myrateplan	UA-4218-IAH-CRW	12/30/11 2:15 PM (-06:00)			12/30/11 5:36 PM (-05:00)		
helloflight	UA-4218-IAH-CRW	12/30/11 2:15 PM (-06:00)			12/30/11 5:36 PM (-05:00)		
flytecomm	UA-4218-IAH-CRW	12/30/11 2:15 PM (-06:00)			12/30/11 5:36 PM (-05:00)		
flights	UA-4218-IAH-CRW		2011-12-30 02:11 PM	62		2011-12-30 05:25 PM	A5
businesstravellogue	UA-4218-IAH-CRW		2011-12-30 02:11 PM	62		2011-12-30 05:25 PM	A5
flylouisville	UA-4218-IAH-CRW		2011-12-30 02:11 PM	62		2011-12-30 05:25 PM	A5
flightview	UA-4218-IAH-CRW		2:21 PMDec 30			5:25 PMDec 30	
panynj	UA-4218-IAH-CRW		2:21 PMDec 30			5:25 PMDec 30	
gofox	UA-4218-IAH-CRW		2:21 PMDec 30			5:25 PMDec 30	
foxbusiness	UA-4218-IAH-CRW		2:21 PMDec 30			5:25 PMDec 30	
allegiantair	UA-4218-IAH-CRW		2:21 PMDec 30			5:25 PMDec 30	
boston	UA-4218-IAH-CRW		2:21 PMDec 30			5:19 PMDec 30	
travelocity	UA-4218-IAH-CRW	Dec 30 - 2:15pm	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 5:36pm	Dec 30 - Contact Airline	Not provided by airline
orbitz	UA-4218-IAH-CRW	2:15pDec 30	2:11pDec 30	 -	5:36pDec 30	5:25pDec 30	 -
aa	AA-536-DFW-ATL	December 30, 2011               06:15 AM    	December 30, 2011               06:10 AM    	 A20	December 30, 2011               09:20 AM    	December 30, 2011               09:16 AM    	 T11    
airtravelcenter	AA-536-DFW-ATL		12/30/11 6:18 AM (-06:00)			12/30/11 8:46 AM (-05:00)	
myrateplan	AA-536-DFW-ATL		12/30/11 6:18 AM (-06:00)			12/30/11 8:46 AM (-05:00)	
helloflight	AA-536-DFW-ATL		12/30/11 6:18 AM (-06:00)			12/30/11 8:46 AM (-05:00)	
flytecomm	AA-536-DFW-ATL		12/30/11 6:18 AM (-06:00)			12/30/11 8:46 AM (-05:00)	
flightaware	AA-536-DFW-ATL	2011-12-30 06:15AM CST	2011-12-30 06:19AM CST	 A20 	2011-12-30 09:06AM EST	2011-12-30 08:59AM EST	 T11 
wunderground	AA-536-DFW-ATL	2011-12-30 06:15AM CST	2011-12-30 06:19AM CST	 A20 	2011-12-30 09:06AM EST	2011-12-30 08:59AM EST	 T11 
flights	AA-536-DFW-ATL	06:15 AM  Fri 30-Dec-2011	06:10 AM  Fri 30-Dec-2011	A20	09:20 AM  Fri 30-Dec-2011	09:16 AM  Fri 30-Dec-2011	T11
businesstravellogue	AA-536-DFW-ATL	06:15 AM  Fri 30-Dec-2011	06:10 AM  Fri 30-Dec-2011	A20	09:20 AM  Fri 30-Dec-2011	09:16 AM  Fri 30-Dec-2011	T11
flylouisville	AA-536-DFW-ATL	06:15 AM  Fri 30-Dec-2011	06:10 AM  Fri 30-Dec-2011	A20	09:20 AM  Fri 30-Dec-2011	09:16 AM  Fri 30-Dec-2011	T11
flightstats	AA-536-DFW-ATL	2011-12-30 6:15 AM	2011-12-30 6:10 AM		2011-12-30 9:20 AM	2011-12-30 9:16 AM	
quicktrip	AA-536-DFW-ATL	2011-12-30 6:15 AM	2011-12-30 6:10 AM		2011-12-30 9:20 AM	2011-12-30 9:16 AM	
world-flight-tracker	AA-536-DFW-ATL	2011-12-30 6:15 AM	2011-12-30 6:10 AM		2011-12-30 9:20 AM	2011-12-30 9:16 AM	
flightview	AA-536-DFW-ATL	6:15 AM, Dec 30	6:19 AM, Dec 30	A20	9:20 AM, Dec 30	9:04 AM, Dec 30	T11
panynj	AA-536-DFW-ATL	6:15 AM, Dec 30	6:19 AM, Dec 30	A20	9:20 AM, Dec 30	9:04 AM, Dec 30	T11
gofox	AA-536-DFW-ATL	6:15 AM, Dec 30	6:19 AM, Dec 30		9:20 AM, Dec 30	9:04 AM, Dec 30	
foxbusiness	AA-536-DFW-ATL	6:15 AM, Dec 30	6:19 AM, Dec 30	A20	9:20 AM, Dec 30	9:04 AM, Dec 30	T11
allegiantair	AA-536-DFW-ATL	6:15 AM, Dec 30	6:19 AM, Dec 30	A20	9:20 AM, Dec 30	9:04 AM, Dec 30	T11
boston	AA-536-DFW-ATL	6:15 AM, Dec 30	6:19 AM, Dec 30		9:20 AM, Dec 30	9:04 AM, Dec 30	
travelocity	AA-536-DFW-ATL	Dec 30 - 6:15am	Dec 30 - 6:10am	A20/A	Dec 30 - 9:20am	Dec 30 - 9:16am	T11
orbitz	AA-536-DFW-ATL	6:15aDec 30	6:10aDec 30	 A20	9:20aDec 30	9:16aDec 30	 T11
weather	AA-536-DFW-ATL	2011-12-30 06:15 AM	2011-12-30 06:19 AM		2011-12-30 09:20 AM	2011-12-30 08:46 AM	
ifly	AA-536-DFW-ATL	2011-12-30 6:15 AM	2011-12-30 6:10 AM		2011-12-30 9:20 AM	2011-12-30 9:16 AM	
flightarrival	AA-536-DFW-ATL	2011-12-30 06:15 AM	2011-12-30 06:19 AM		2011-12-30 09:20 AM	2011-12-30 08:46 AM	
ua	UA-1451-FLL-IAH	Fri, Dec 30 11:42 AM	Fri, Dec 30 11:32 AM	C7	Fri, Dec 30 1:45 PM	Fri, Dec 30 1:27 PM	C-45
flightexplorer	UA-1451-FLL-IAH		12/30/2011 11:59AM EST			12/30/2011 1:25PM CST	
airtravelcenter	UA-1451-FLL-IAH		12/30/11 11:59 AM (-05:00)			12/30/11 1:25 PM (-06:00)	
airtravelcenter	UA-1451-FLL-IAH	12/30/11 11:42 AM (-05:00)			12/30/11 1:45 PM (-06:00)		
myrateplan	UA-1451-FLL-IAH		12/30/11 11:59 AM (-05:00)			12/30/11 1:25 PM (-06:00)	
myrateplan	UA-1451-FLL-IAH	12/30/11 11:42 AM (-05:00)			12/30/11 1:45 PM (-06:00)		
helloflight	UA-1451-FLL-IAH		12/30/11 11:59 AM (-05:00)			12/30/11 1:25 PM (-06:00)	
