CO	CO-4237-EWR-DTW	Mon., Dec.26, 2011 12:17 p.m.	Mon., Dec.26, 2011 12:12 p.m.		Mon., Dec.26, 2011 2:24 p.m.	Mon., Dec.26, 2011 2:03 p.m.	
flylouisville	UA-854-IAH-LIM		2011-12-26 03:24 PM			2011-12-26 10:45 PM	
flightview	UA-854-IAH-LIM		3:37 PMDec 26			10:51 PMDec 26	
panynj	UA-854-IAH-LIM		3:37 PMDec 26			10:51 PMDec 26	
gofox	UA-854-IAH-LIM		3:37 PMDec 26			10:51 PMDec 26	
foxbusiness	UA-854-IAH-LIM		3:37 PMDec 26			10:51 PMDec 26	
allegiantair	UA-854-IAH-LIM		3:37 PMDec 26			10:51 PMDec 26	
boston	UA-854-IAH-LIM		3:37 PMDec 26			10:44 PMDec 26	
orbitz	UA-854-IAH-LIM	3:10pDec 26	3:24pDec 26	 -	10:57pDec 26		 -
flightarrival	UA-854-IAH-LIM		3:37 PMDec 26			10:44 PMDec 26	
ua	UA-1472-SDQ-EWR	Mon, Dec 26 6:55 AM	Mon, Dec 26 6:55 AM	B4	Mon, Dec 26 10:00 AM	Mon, Dec 26 9:55 AM	C120
airtravelcenter	UA-1472-SDQ-EWR	12/26/11 6:55 AM (-04:00)			12/26/11 10:00 AM (-05:00)		
myrateplan	UA-1472-SDQ-EWR	12/26/11 6:55 AM (-04:00)			12/26/11 10:00 AM (-05:00)		
helloflight	UA-1472-SDQ-EWR	12/26/11 6:55 AM (-04:00)			12/26/11 10:00 AM (-05:00)		
flytecomm	UA-1472-SDQ-EWR	12/26/11 6:55 AM (-04:00)			12/26/11 10:00 AM (-05:00)		
flights	UA-1472-SDQ-EWR	06:55 AM  Mon 26-Dec-2011	06:55 AM  Mon 26-Dec-2011	B4	10:00 AM  Mon 26-Dec-2011	09:55 AM  Mon 26-Dec-2011	120
businesstravellogue	UA-1472-SDQ-EWR	06:55 AM  Mon 26-Dec-2011	06:55 AM  Mon 26-Dec-2011	B4	10:00 AM  Mon 26-Dec-2011	09:55 AM  Mon 26-Dec-2011	120
flylouisville	UA-1472-SDQ-EWR	06:55 AM  Mon 26-Dec-2011	06:55 AM  Mon 26-Dec-2011	B4	10:00 AM  Mon 26-Dec-2011	09:55 AM  Mon 26-Dec-2011	120
world-flight-tracker	UA-1472-SDQ-EWR	2011-12-26 6:55 AM	2011-12-26 6:55 AM		2011-12-26 10:00 AM	2011-12-26 9:55 AM	
flightview	UA-1472-SDQ-EWR	6:55 AM, Dec 26	7:15 AM, Dec 26	Main Term - B4	10:00 AM, Dec 26	9:55 AM, Dec 26	Term C - C120
panynj	UA-1472-SDQ-EWR	6:55 AM, Dec 26	7:15 AM, Dec 26	Main Term - B4	10:00 AM, Dec 26	9:55 AM, Dec 26	Term C - C120
gofox	UA-1472-SDQ-EWR	6:55 AM, Dec 26	7:15 AM, Dec 26		10:00 AM, Dec 26	9:55 AM, Dec 26	
foxbusiness	UA-1472-SDQ-EWR	6:55 AM, Dec 26	7:15 AM, Dec 26	Main Term - B4	10:00 AM, Dec 26	9:55 AM, Dec 26	Term C - C120
allegiantair	UA-1472-SDQ-EWR	6:55 AM, Dec 26	7:15 AM, Dec 26	Main Term - B4	10:00 AM, Dec 26	9:55 AM, Dec 26	Term C - C120
boston	UA-1472-SDQ-EWR	6:55 AM, Dec 26	7:15 AM, Dec 26		10:00 AM, Dec 26	9:45 AM, Dec 26	
orbitz	UA-1472-SDQ-EWR	6:55aDec 26	6:55aDec 26	 B4	10:00aDec 26	9:55aDec 26	 120
weather	UA-1472-SDQ-EWR	2011-12-26 06:55 AM			2011-12-26 10:00 AM		
usatoday	UA-1472-SDQ-EWR	2011-12-26 06:55 AM			2011-12-26 10:00 AM		
aa	AA-935-MIA-CCS	December 26, 2011               11:45 AM    	December 26, 2011               11:39 AM    	 D47	December 26, 2011               03:30 PM    	December 26, 2011     	 24    
airtravelcenter	AA-935-MIA-CCS		12/26/11 11:55 AM (-05:00)			12/26/11 3:13 PM (-04:00)	
myrateplan	AA-935-MIA-CCS		12/26/11 11:55 AM (-05:00)			12/26/11 3:13 PM (-04:00)	
helloflight	AA-935-MIA-CCS		12/26/11 11:55 AM (-05:00)			12/26/11 3:13 PM (-04:00)	
flytecomm	AA-935-MIA-CCS		12/26/11 11:55 AM (-05:00)			12/26/11 3:13 PM (-04:00)	
flights	AA-935-MIA-CCS	11:45 AM  Mon 26-Dec-2011		D47	03:30 PM  Mon 26-Dec-2011		24
businesstravellogue	AA-935-MIA-CCS	11:45 AM  Mon 26-Dec-2011		D47	03:30 PM  Mon 26-Dec-2011		24
flylouisville	AA-935-MIA-CCS	11:45 AM  Mon 26-Dec-2011		D47	03:30 PM  Mon 26-Dec-2011		24
flightview	AA-935-MIA-CCS	11:45 AM, Dec 26	11:56 AM, Dec 26		3:30 PM, Dec 26		
panynj	AA-935-MIA-CCS	11:45 AM, Dec 26	11:56 AM, Dec 26		3:30 PM, Dec 26		
gofox	AA-935-MIA-CCS	11:45 AM, Dec 26	11:56 AM, Dec 26		3:30 PM, Dec 26		
foxbusiness	AA-935-MIA-CCS	11:45 AM, Dec 26	11:56 AM, Dec 26		3:30 PM, Dec 26		
allegiantair	AA-935-MIA-CCS	11:45 AM, Dec 26	11:56 AM, Dec 26		3:30 PM, Dec 26		
boston	AA-935-MIA-CCS	11:45 AM, Dec 26	11:56 AM, Dec 26		3:30 PM, Dec 26	3:34 PM, Dec 26&nbsp(Estimated)	
travelocity	AA-935-MIA-CCS	Dec 26 - 11:45am	Dec 26 - 11:39am	D47	Dec 26 - 3:30pm	Dec 26 - 3:19pm*	24
orbitz	AA-935-MIA-CCS	11:45aDec 26	11:39aDec 26	 D47	3:10pDec 26		 24
weather	AA-935-MIA-CCS	2011-12-26 11:45 AM			2011-12-26 03:30 PM		
usatoday	AA-935-MIA-CCS	11:45 AM, Dec 26	11:56 AM, Dec 26		3:30 PM, Dec 26	3:34 PM, Dec 26&nbsp(Estimated)	
mytripandmore	AA-935-MIA-CCS	11:45aDec 26	11:39aDec 26	 D47	3:10pDec 26		 24
flightarrival	AA-935-MIA-CCS	2011-12-26 11:45 AM			2011-12-26 03:30 PM		
ua	UA-870-SFO-JFK	Mon, Dec 26 12:20 PM	Mon, Dec 26 12:17 PM            On Time	82	Mon, Dec 26 9:00 PM	Mon, Dec 26 8:37 PM	9
flightexplorer	UA-870-SFO-JFK		12/26/2011 12:30PM PST			12/26/2011 8:11PM EST	
airtravelcenter	UA-870-SFO-JFK		12/26/11 12:32 PM (-08:00)			12/26/11 8:11 PM (-05:00)	
myrateplan	UA-870-SFO-JFK		12/26/11 12:32 PM (-08:00)			12/26/11 8:11 PM (-05:00)	
helloflight	UA-870-SFO-JFK		12/26/11 12:32 PM (-08:00)			12/26/11 8:11 PM (-05:00)	
flytecomm	UA-870-SFO-JFK		12/26/11 12:32 PM (-08:00)			12/26/11 8:11 PM (-05:00)	
flights	UA-870-SFO-JFK		2011-12-26 12:17 PM	82		2011-12-26 08:37 PM	9
businesstravellogue	UA-870-SFO-JFK		2011-12-26 12:17 PM	82		2011-12-26 08:37 PM	9
flylouisville	UA-870-SFO-JFK		2011-12-26 12:17 PM	82		2011-12-26 08:37 PM	9
flightstats	UA-870-SFO-JFK	2011-12-26 12:20 PM	2011-12-26 12:17 PM		2011-12-26 9:00 PM	2011-12-26 8:37 PM	
quicktrip	UA-870-SFO-JFK	2011-12-26 12:20 PM	2011-12-26 12:17 PM		2011-12-26 9:00 PM	2011-12-26 8:37 PM	
flightview	UA-870-SFO-JFK		12:32 PMDec 26			8:37 PMDec 26	
panynj	UA-870-SFO-JFK		12:32 PMDec 26			8:37 PMDec 26	
gofox	UA-870-SFO-JFK		12:32 PMDec 26			8:37 PMDec 26	
foxbusiness	UA-870-SFO-JFK		12:32 PMDec 26			8:37 PMDec 26	
allegiantair	UA-870-SFO-JFK		12:32 PMDec 26			8:37 PMDec 26	
boston	UA-870-SFO-JFK		12:32 PMDec 26			8:24 PMDec 26	
orbitz	UA-870-SFO-JFK	12:20pDec 26	12:17pDec 26	 82	9:00pDec 26	8:37pDec 26	 9
ifly	UA-870-SFO-JFK	2011-12-26 12:20 PM	2011-12-26 12:17 PM		2011-12-26 9:00 PM	2011-12-26 8:37 PM	
usatoday	UA-870-SFO-JFK	2011-12-26 12:20 PM	2011-12-26 12:17 PM		2011-12-26 9:00 PM	2011-12-26 8:37 PM	
flightarrival	UA-870-SFO-JFK		12:32 PMDec 26			8:24 PMDec 26	
CO	CO-1008-IAH-LAX	Mon., Dec.26, 2011 2:40 p.m.	Mon., Dec.26, 2011 2:42 p.m.		Mon., Dec.26, 2011 4:29 p.m.	Mon., Dec.26, 2011 4:31 p.m.	
flightexplorer	CO-1008-IAH-LAX		12/26/2011 2:59PM CST			12/26/2011 4:25PM PST	
airtravelcenter	CO-1008-IAH-LAX	12/26/11 2:40 PM (-06:00)			12/26/11 4:29 PM (-08:00)		
myrateplan	CO-1008-IAH-LAX	12/26/11 2:40 PM (-06:00)			12/26/11 4:29 PM (-08:00)		
helloflight	CO-1008-IAH-LAX	12/26/11 2:40 PM (-06:00)			12/26/11 4:29 PM (-08:00)		
flytecomm	CO-1008-IAH-LAX	12/26/11 2:40 PM (-06:00)			12/26/11 4:29 PM (-08:00)		
flightaware	CO-1008-IAH-LAX	2011-12-26 02:40PM CST	2011-12-26 03:00PM CST	 41 	2011-12-26 04:11PM PST	2011-12-26 04:21PM PST	 60 
wunderground	CO-1008-IAH-LAX	2011-12-26 02:40PM CST	2011-12-26 03:00PM CST	 41 	2011-12-26 04:11PM PST	2011-12-26 04:21PM PST	 60 
flights	CO-1008-IAH-LAX		2011-12-26 02:42 PM	41		2011-12-26 04:31 PM	60
businesstravellogue	CO-1008-IAH-LAX		2011-12-26 02:42 PM	41		2011-12-26 04:31 PM	60
flylouisville	CO-1008-IAH-LAX		2011-12-26 02:42 PM	41		2011-12-26 04:31 PM	60
flightstats	CO-1008-IAH-LAX	2011-12-26 2:40 PM	2011-12-26 2:42 PM		2011-12-26 4:29 PM	2011-12-26 4:31 PM	
quicktrip	CO-1008-IAH-LAX	2011-12-26 2:40 PM	2011-12-26 2:42 PM		2011-12-26 4:29 PM	2011-12-26 4:31 PM	
flightview	CO-1008-IAH-LAX		3:01 PMDec 26			4:31 PMDec 26	
panynj	CO-1008-IAH-LAX		3:01 PMDec 26			4:31 PMDec 26	
gofox	CO-1008-IAH-LAX		3:01 PMDec 26			4:31 PMDec 26	
foxbusiness	CO-1008-IAH-LAX		3:01 PMDec 26			4:31 PMDec 26	
allegiantair	CO-1008-IAH-LAX		3:01 PMDec 26			4:31 PMDec 26	
boston	CO-1008-IAH-LAX		3:01 PMDec 26			4:22 PMDec 26	
orbitz	CO-1008-IAH-LAX	2:40pDec 26	2:42pDec 26	 41	4:29pDec 26	4:31pDec 26	 60
ifly	CO-1008-IAH-LAX	2011-12-26 2:40 PM	2011-12-26 2:42 PM		2011-12-26 4:29 PM	2011-12-26 4:31 PM	
flightarrival	CO-1008-IAH-LAX		3:01 PMDec 26			4:22 PMDec 26	
aa	AA-1356-SLC-DFW	December 26, 2011               06:10 AM    	December 26, 2011               06:05 AM    	 A3	December 26, 2011               10:00 AM    	December 26, 2011               09:54 AM    	 C28    
flightexplorer	AA-1356-SLC-DFW		12/26/2011 6:31AM MST			12/26/2011 9:38AM CST	
airtravelcenter	AA-1356-SLC-DFW		12/26/11 6:31 AM (-07:00)			12/26/11 9:38 AM (-06:00)	
myrateplan	AA-1356-SLC-DFW		12/26/11 6:31 AM (-07:00)			12/26/11 9:38 AM (-06:00)	
helloflight	AA-1356-SLC-DFW		12/26/11 6:31 AM (-07:00)			12/26/11 9:38 AM (-06:00)	
flytecomm	AA-1356-SLC-DFW		12/26/11 6:31 AM (-07:00)			12/26/11 9:38 AM (-06:00)	
flights	AA-1356-SLC-DFW		2011-12-26 06:05 AM	A3		2011-12-26 09:54 AM	C28
businesstravellogue	AA-1356-SLC-DFW		2011-12-26 06:05 AM	A3		2011-12-26 09:54 AM	C28
flylouisville	AA-1356-SLC-DFW		2011-12-26 06:05 AM	A3		2011-12-26 09:54 AM	C28
flightview	AA-1356-SLC-DFW		6:31 AMDec 26			9:47 AMDec 26	
panynj	AA-1356-SLC-DFW		6:31 AMDec 26			9:47 AMDec 26	
gofox	AA-1356-SLC-DFW		6:31 AMDec 26			9:47 AMDec 26	
foxbusiness	AA-1356-SLC-DFW		6:31 AMDec 26			9:47 AMDec 26	
allegiantair	AA-1356-SLC-DFW		6:31 AMDec 26			9:47 AMDec 26	
boston	AA-1356-SLC-DFW		6:31 AMDec 26			9:47 AMDec 26	
orbitz	AA-1356-SLC-DFW	6:10aDec 26	6:05aDec 26	 A3	10:00aDec 26	9:54aDec 26	 C28
weather	AA-1356-SLC-DFW	2011-12-26 06:10 AM			2011-12-26 10:00 AM		
flightarrival	AA-1356-SLC-DFW		6:31 AMDec 26			9:47 AMDec 26	
ua	UA-2443-CLT-ORD	Mon, Dec 26 11:40 AM	Mon, Dec 26 11:40 AM            Delayed	B6	Mon, Dec 26 12:46 PM	Mon, Dec 26 12:45 PM	F10
airtravelcenter	UA-2443-CLT-ORD		12/26/11 12:01 PM (-05:00)			12/26/11 12:38 PM (-06:00)	
myrateplan	UA-2443-CLT-ORD		12/26/11 12:01 PM (-05:00)			12/26/11 12:38 PM (-06:00)	
helloflight	UA-2443-CLT-ORD		12/26/11 12:01 PM (-05:00)			12/26/11 12:38 PM (-06:00)	
flytecomm	UA-2443-CLT-ORD		12/26/11 12:01 PM (-05:00)			12/26/11 12:38 PM (-06:00)	
flightaware	UA-2443-CLT-ORD	2011-12-26 11:40AM EST	2011-12-26 12:01PM EST		2011-12-26 12:13PM CST	2011-12-26 12:37PM CST	
wunderground	UA-2443-CLT-ORD	2011-12-26 11:40AM EST	2011-12-26 12:01PM EST		2011-12-26 12:13PM CST	2011-12-26 12:37PM CST	
flights	UA-2443-CLT-ORD	11:40 AM  Mon 26-Dec-2011	11:36 AM  Mon 26-Dec-2011	B6	12:46 PM  Mon 26-Dec-2011	12:45 PM  Mon 26-Dec-2011	F10
businesstravellogue	UA-2443-CLT-ORD	11:40 AM  Mon 26-Dec-2011	11:36 AM  Mon 26-Dec-2011	B6	12:46 PM  Mon 26-Dec-2011	12:45 PM  Mon 26-Dec-2011	F10
flylouisville	UA-2443-CLT-ORD	11:40 AM  Mon 26-Dec-2011	11:36 AM  Mon 26-Dec-2011	B6	12:46 PM  Mon 26-Dec-2011	12:45 PM  Mon 26-Dec-2011	F10
world-flight-tracker	UA-2443-CLT-ORD	2011-12-26 11:40 AM	2011-12-26 11:36 AM		2011-12-26 12:46 PM	2011-12-26 12:45 PM	
flightview	UA-2443-CLT-ORD	11:40 AM, Dec 26	12:01 PM, Dec 26		12:46 PM, Dec 26	12:42 PM, Dec 26	
panynj	UA-2443-CLT-ORD	11:40 AM, Dec 26	12:01 PM, Dec 26		12:46 PM, Dec 26	12:42 PM, Dec 26	
gofox	UA-2443-CLT-ORD	11:40 AM, Dec 26	12:01 PM, Dec 26		12:46 PM, Dec 26	12:42 PM, Dec 26	
foxbusiness	UA-2443-CLT-ORD	11:40 AM, Dec 26	12:01 PM, Dec 26		12:46 PM, Dec 26	12:42 PM, Dec 26	
allegiantair	UA-2443-CLT-ORD	11:40 AM, Dec 26	12:01 PM, Dec 26		12:46 PM, Dec 26	12:42 PM, Dec 26	
boston	UA-2443-CLT-ORD	11:40 AM, Dec 26	12:01 PM, Dec 26		12:46 PM, Dec 26	12:42 PM, Dec 26	
orbitz	UA-2443-CLT-ORD	11:40aDec 26	11:36aDec 26	 -	12:46pDec 26	12:45pDec 26	 -
weather	UA-2443-CLT-ORD	2011-12-26 11:40 AM			2011-12-26 12:46 PM		
flightwise	UA-2443-CLT-ORD	2011-12-26 11:40AM EST	2011-12-26 12:01PM EST		2011-12-26 12:13PM CST	2011-12-26 12:37PM CST	
ua	UA-1004-IAH-LGA	Mon, Dec 26 3:58 PM	Mon, Dec 26 3:58 PM	E16	Mon, Dec 26 8:30 PM	Mon, Dec 26 8:17 PM	A2
flightexplorer	UA-1004-IAH-LGA		12/26/2011 4:23PM CST			12/26/2011 8:20PM EST	
airtravelcenter	UA-1004-IAH-LGA	12/26/11 3:58 PM (-06:00)			12/26/11 8:30 PM (-05:00)		
myrateplan	UA-1004-IAH-LGA	12/26/11 3:58 PM (-06:00)			12/26/11 8:30 PM (-05:00)		
helloflight	UA-1004-IAH-LGA	12/26/11 3:58 PM (-06:00)			12/26/11 8:30 PM (-05:00)		
flytecomm	UA-1004-IAH-LGA	12/26/11 3:58 PM (-06:00)			12/26/11 8:30 PM (-05:00)		
flightaware	UA-1004-IAH-LGA	2011-12-26 03:58PM CST	2011-12-26 04:24PM CST	 E16 	2011-12-26 08:20PM EST	2011-12-26 08:20PM EST	 A2 
wunderground	UA-1004-IAH-LGA	2011-12-26 03:58PM CST	2011-12-26 04:24PM CST	 E16 	2011-12-26 08:20PM EST	2011-12-26 08:20PM EST	 A2 
flights	UA-1004-IAH-LGA	03:58 PM  Mon 26-Dec-2011		16	08:30 PM  Mon 26-Dec-2011		A2
businesstravellogue	UA-1004-IAH-LGA	03:58 PM  Mon 26-Dec-2011		16	08:30 PM  Mon 26-Dec-2011		A2
flylouisville	UA-1004-IAH-LGA	03:58 PM  Mon 26-Dec-2011		16	08:30 PM  Mon 26-Dec-2011		A2
world-flight-tracker	UA-1004-IAH-LGA	2011-12-26 3:58 PM	2011-12-26 3:58 PM		2011-12-26 8:30 PM	2011-12-26 8:30 PM (Estimated)	
flightview	UA-1004-IAH-LGA	3:58 PM, Dec 26	4:24 PM, Dec 26		8:30 PM, Dec 26		
panynj	UA-1004-IAH-LGA	3:58 PM, Dec 26	4:24 PM, Dec 26		8:30 PM, Dec 26		
gofox	UA-1004-IAH-LGA	3:58 PM, Dec 26	4:24 PM, Dec 26		8:30 PM, Dec 26		
foxbusiness	UA-1004-IAH-LGA	3:58 PM, Dec 26	4:24 PM, Dec 26		8:30 PM, Dec 26		
allegiantair	UA-1004-IAH-LGA	3:58 PM, Dec 26	4:24 PM, Dec 26		8:30 PM, Dec 26		
boston	UA-1004-IAH-LGA	3:58 PM, Dec 26	4:24 PM, Dec 26		8:30 PM, Dec 26	8:13 PM, Dec 26&nbsp(Estimated)	
orbitz	UA-1004-IAH-LGA	3:58pDec 26	3:58pDec 26	 E16	8:30pDec 26		 A2
weather	UA-1004-IAH-LGA	2011-12-26 03:58 PM	2011-12-26 04:17 PM		2011-12-26 08:30 PM	2011-12-26 08:13 PM	
usatoday	UA-1004-IAH-LGA	2011-12-26 03:58 PM	2011-12-26 04:17 PM		2011-12-26 08:30 PM	2011-12-26 08:13 PM	
mytripandmore	UA-1004-IAH-LGA	3:58pDec 26	3:58pDec 26	 E16	8:30pDec 26		 A2
flightarrival	UA-1004-IAH-LGA	3:58 PM, Dec 26	4:24 PM, Dec 26		8:30 PM, Dec 26	8:13 PM, Dec 26&nbsp(Estimated)	
ua	UA-4284-EWR-SDF	Mon, Dec 26 4:00 PM	Mon, Dec 26 4:11 PM	A23	Mon, Dec 26 6:23 PM	Mon, Dec 26 6:18 PM	A11
airtravelcenter	UA-4284-EWR-SDF	12/26/11 4:00 PM (-05:00)			12/26/11 6:23 PM (-05:00)		
myrateplan	UA-4284-EWR-SDF	12/26/11 4:00 PM (-05:00)			12/26/11 6:23 PM (-05:00)		
helloflight	UA-4284-EWR-SDF	12/26/11 4:00 PM (-05:00)			12/26/11 6:23 PM (-05:00)		
flytecomm	UA-4284-EWR-SDF	12/26/11 4:00 PM (-05:00)			12/26/11 6:23 PM (-05:00)		
flights	UA-4284-EWR-SDF		2011-12-26 04:11 PM	23		2011-12-26 06:18 PM	A11
businesstravellogue	UA-4284-EWR-SDF		2011-12-26 04:11 PM	23		2011-12-26 06:18 PM	A11
flylouisville	UA-4284-EWR-SDF		2011-12-26 04:11 PM	23		2011-12-26 06:18 PM	A11
flightstats	UA-4284-EWR-SDF	2011-12-26 4:00 PM	2011-12-26 4:11 PM		2011-12-26 6:23 PM	2011-12-26 6:18 PM	
quicktrip	UA-4284-EWR-SDF	2011-12-26 4:00 PM	2011-12-26 4:11 PM		2011-12-26 6:23 PM	2011-12-26 6:18 PM	
flightview	UA-4284-EWR-SDF		4:26 PMDec 26			6:18 PMDec 26	
panynj	UA-4284-EWR-SDF		4:26 PMDec 26			6:18 PMDec 26	
gofox	UA-4284-EWR-SDF		4:26 PMDec 26			6:18 PMDec 26	
foxbusiness	UA-4284-EWR-SDF		4:26 PMDec 26			6:18 PMDec 26	
allegiantair	UA-4284-EWR-SDF		4:26 PMDec 26			6:18 PMDec 26	
boston	UA-4284-EWR-SDF		4:26 PMDec 26			6:12 PMDec 26	
orbitz	UA-4284-EWR-SDF	4:00pDec 26	4:11pDec 26	 -	6:23pDec 26	6:18pDec 26	 -
weather	UA-4284-EWR-SDF	2011-12-26 04:00 PM			2011-12-26 06:23 PM		
mytripandmore	UA-4284-EWR-SDF	4:00pDec 26	4:11pDec 26	 -	6:23pDec 26	6:18pDec 26	 -
flightarrival	UA-4284-EWR-SDF	2011-12-26 4:00 PM	2011-12-26 4:11 PM		2011-12-26 6:23 PM	2011-12-26 6:18 PM	
aa	AA-2957-DFW-CVG	December 26, 2011               07:55 AM    	December 26, 2011               07:49 AM    	 B22	December 26, 2011               11:05 AM    	December 26, 2011               10:49 AM    	 3    
flightexplorer	AA-2957-DFW-CVG		12/26/2011 8:02AM CST			12/26/2011 10:46AM EST	
airtravelcenter	AA-2957-DFW-CVG	12/26/11 7:55 AM (-06:00)			12/26/11 11:05 AM (-05:00)		
myrateplan	AA-2957-DFW-CVG	12/26/11 7:55 AM (-06:00)			12/26/11 11:05 AM (-05:00)		
helloflight	AA-2957-DFW-CVG	12/26/11 7:55 AM (-06:00)			12/26/11 11:05 AM (-05:00)		
flytecomm	AA-2957-DFW-CVG	12/26/11 7:55 AM (-06:00)			12/26/11 11:05 AM (-05:00)		
flightaware	AA-2957-DFW-CVG	2011-12-26 07:55AM CST	2011-12-26 08:02AM CST	 B22 	2011-12-26 10:57AM EST	2011-12-26 10:44AM EST	 3 
wunderground	AA-2957-DFW-CVG	2011-12-26 07:55AM CST	2011-12-26 08:02AM CST	 B22 	2011-12-26 10:57AM EST	2011-12-26 10:44AM EST	 3 
flights	AA-2957-DFW-CVG	07:55 AM  Mon 26-Dec-2011	07:49 AM  Mon 26-Dec-2011	B22	11:05 AM  Mon 26-Dec-2011	10:49 AM  Mon 26-Dec-2011	3
businesstravellogue	AA-2957-DFW-CVG	07:55 AM  Mon 26-Dec-2011	07:49 AM  Mon 26-Dec-2011	B22	11:05 AM  Mon 26-Dec-2011	10:49 AM  Mon 26-Dec-2011	3
flylouisville	AA-2957-DFW-CVG	07:55 AM  Mon 26-Dec-2011	07:49 AM  Mon 26-Dec-2011	B22	11:05 AM  Mon 26-Dec-2011	10:49 AM  Mon 26-Dec-2011	3
flightstats	AA-2957-DFW-CVG	2011-12-26 7:55 AM	2011-12-26 7:49 AM		2011-12-26 11:05 AM	2011-12-26 10:49 AM	
quicktrip	AA-2957-DFW-CVG	2011-12-26 7:55 AM	2011-12-26 7:49 AM		2011-12-26 11:05 AM	2011-12-26 10:49 AM	
world-flight-tracker	AA-2957-DFW-CVG	2011-12-26 7:55 AM	2011-12-26 7:49 AM		2011-12-26 11:05 AM	2011-12-26 10:49 AM	
flightview	AA-2957-DFW-CVG	7:55 AM, Dec 26	8:02 AM, Dec 26	B22	11:05 AM, Dec 26	10:48 AM, Dec 26	Terminal 2
panynj	AA-2957-DFW-CVG	7:55 AM, Dec 26	8:02 AM, Dec 26	B22	11:05 AM, Dec 26	10:48 AM, Dec 26	Terminal 2
gofox	AA-2957-DFW-CVG	7:55 AM, Dec 26	8:02 AM, Dec 26		11:05 AM, Dec 26	10:48 AM, Dec 26	
foxbusiness	AA-2957-DFW-CVG	7:55 AM, Dec 26	8:02 AM, Dec 26	B22	11:05 AM, Dec 26	10:48 AM, Dec 26	Terminal 2
allegiantair	AA-2957-DFW-CVG	7:55 AM, Dec 26	8:02 AM, Dec 26	B22	11:05 AM, Dec 26	10:48 AM, Dec 26	Terminal 2
boston	AA-2957-DFW-CVG	7:55 AM, Dec 26	8:02 AM, Dec 26		11:05 AM, Dec 26	10:48 AM, Dec 26	
orbitz	AA-2957-DFW-CVG	7:55aDec 26	7:49aDec 26	 B22	11:05aDec 26	10:49aDec 26	 3
weather	AA-2957-DFW-CVG	2011-12-26 07:55 AM			2011-12-26 11:05 AM		
ifly	AA-2957-DFW-CVG	2011-12-26 7:55 AM	2011-12-26 7:49 AM		2011-12-26 11:05 AM	2011-12-26 10:49 AM	
mytripandmore	AA-2957-DFW-CVG	7:55aDec 26	7:49aDec 26	 B22	11:05aDec 26	10:49aDec 26	 3
flightarrival	AA-2957-DFW-CVG	7:55 AM, Dec 26	8:02 AM, Dec 26		11:05 AM, Dec 26	10:48 AM, Dec 26	
aa	AA-1929-SFO-LAX	December 26, 2011               07:00 AM    	December 26, 2011               06:54 AM    	 55	December 26, 2011               08:20 AM    	December 26, 2011               08:18 AM    	 47A    
flightexplorer	AA-1929-SFO-LAX		12/26/2011 7:11AM PST			12/26/2011 8:05AM PST	
airtravelcenter	AA-1929-SFO-LAX		12/26/11 7:11 AM (-08:00)			12/26/11 8:09 AM (-08:00)	
myrateplan	AA-1929-SFO-LAX		12/26/11 7:11 AM (-08:00)			12/26/11 8:09 AM (-08:00)	
helloflight	AA-1929-SFO-LAX		12/26/11 7:11 AM (-08:00)			12/26/11 8:09 AM (-08:00)	
flytecomm	AA-1929-SFO-LAX		12/26/11 7:11 AM (-08:00)			12/26/11 8:09 AM (-08:00)	
flightaware	AA-1929-SFO-LAX	2011-12-26 07:00AM PST	2011-12-26 07:10AM PST	 55 	2011-12-26 08:12AM PST	2011-12-26 08:04AM PST	 47A 
wunderground	AA-1929-SFO-LAX	2011-12-26 07:00AM PST	2011-12-26 07:10AM PST	 55 	2011-12-26 08:12AM PST	2011-12-26 08:04AM PST	 47A 
flights	AA-1929-SFO-LAX	07:00 AM  Mon 26-Dec-2011	06:54 AM  Mon 26-Dec-2011	55	08:20 AM  Mon 26-Dec-2011	08:18 AM  Mon 26-Dec-2011	47A
businesstravellogue	AA-1929-SFO-LAX	07:00 AM  Mon 26-Dec-2011	06:54 AM  Mon 26-Dec-2011	55	08:20 AM  Mon 26-Dec-2011	08:18 AM  Mon 26-Dec-2011	47A
flylouisville	AA-1929-SFO-LAX	07:00 AM  Mon 26-Dec-2011	06:54 AM  Mon 26-Dec-2011	55	08:20 AM  Mon 26-Dec-2011	08:18 AM  Mon 26-Dec-2011	47A
flightstats	AA-1929-SFO-LAX	2011-12-26 7:00 AM	2011-12-26 6:54 AM		2011-12-26 8:20 AM	2011-12-26 8:18 AM	
quicktrip	AA-1929-SFO-LAX	2011-12-26 7:00 AM	2011-12-26 6:54 AM		2011-12-26 8:20 AM	2011-12-26 8:18 AM	
world-flight-tracker	AA-1929-SFO-LAX	2011-12-26 7:00 AM	2011-12-26 6:54 AM		2011-12-26 8:20 AM	2011-12-26 8:18 AM	
flightview	AA-1929-SFO-LAX	7:00 AM, Dec 26	7:11 AM, Dec 26	Terminal 2 - 55	8:20 AM, Dec 26	8:18 AM, Dec 26	Terminal 4 - 47A
panynj	AA-1929-SFO-LAX	7:00 AM, Dec 26	7:11 AM, Dec 26	Terminal 2 - 55	8:20 AM, Dec 26	8:18 AM, Dec 26	Terminal 4 - 47A
gofox	AA-1929-SFO-LAX	7:00 AM, Dec 26	7:11 AM, Dec 26		8:20 AM, Dec 26	8:18 AM, Dec 26	
