ua	UA-479-SAN-SFO	Sun, Jan 1 7:57 PM	Sun, Jan 1 7:57 PM	13	Sun, Jan 1 9:35 PM	Sun, Jan 1 9:35 PM	84
ua	UA-1115-IAH-SEA	Sun, Jan 1 11:11 AM	Sun, Jan 1 11:05 AM	E16	Sun, Jan 1 2:13 PM	Sun, Jan 1 1:47 PM	N14
flightexplorer	UA-1115-IAH-SEA		1/1/2012 11:27AM CST			1/1/2012 1:43PM PST	
airtravelcenter	UA-1115-IAH-SEA	1/1/12 11:11 AM (-06:00)			1/1/12 2:13 PM (-08:00)		
myrateplan	UA-1115-IAH-SEA	1/1/12 11:11 AM (-06:00)			1/1/12 2:13 PM (-08:00)		
helloflight	UA-1115-IAH-SEA	1/1/12 11:11 AM (-06:00)			1/1/12 2:13 PM (-08:00)		
flytecomm	UA-1115-IAH-SEA	1/1/12 11:11 AM (-06:00)			1/1/12 2:13 PM (-08:00)		
flightaware	UA-1115-IAH-SEA	2012-01-01 11:11AM CST	2012-01-01 11:29AM CST	 E16 	2012-01-01 02:03PM PST	2012-01-01 01:43PM PST	 N14 
wunderground	UA-1115-IAH-SEA	2012-01-01 11:11AM CST	2012-01-01 11:29AM CST	 E16 	2012-01-01 02:03PM PST	2012-01-01 01:43PM PST	 N14 
flights	UA-1115-IAH-SEA	11:11 AM  Sun 01-Jan-2012		16	02:13 PM  Sun 01-Jan-2012		14
businesstravellogue	UA-1115-IAH-SEA	11:11 AM  Sun 01-Jan-2012		16	02:13 PM  Sun 01-Jan-2012		14
flylouisville	UA-1115-IAH-SEA	11:11 AM  Sun 01-Jan-2012		16	02:13 PM  Sun 01-Jan-2012		14
world-flight-tracker	UA-1115-IAH-SEA	2012-01-01 11:11 AM	2012-01-01 11:05 AM		2012-01-01 2:13 PM	2012-01-01 1:56 PM (Estimated)	
flightview	UA-1115-IAH-SEA	11:11 AM, Jan 01	11:29 AM, Jan 01		2:13 PM, Jan 01		
panynj	UA-1115-IAH-SEA	11:11 AM, Jan 01	11:29 AM, Jan 01		2:13 PM, Jan 01		
gofox	UA-1115-IAH-SEA	11:11 AM, Jan 01	11:29 AM, Jan 01		2:13 PM, Jan 01		
foxbusiness	UA-1115-IAH-SEA	11:11 AM, Jan 01	11:29 AM, Jan 01		2:13 PM, Jan 01		
allegiantair	UA-1115-IAH-SEA	11:11 AM, Jan 01	11:29 AM, Jan 01		2:13 PM, Jan 01		
boston	UA-1115-IAH-SEA	11:11 AM, Jan 01	11:29 AM, Jan 01		2:13 PM, Jan 01	1:51 PM, Jan 01&nbsp(Estimated)	
orbitz	UA-1115-IAH-SEA	11:11aJan 1	11:05aJan 1	 E16	1:21pJan 1		 N14
weather	UA-1115-IAH-SEA	2012-01-01 11:11 AM	2012-01-01 11:29 AM		2012-01-01 02:13 PM	2012-01-01 01:46 PM	
usatoday	UA-1115-IAH-SEA	11:11 AM, Jan 01	11:29 AM, Jan 01		2:13 PM, Jan 01	1:51 PM, Jan 01&nbsp(Estimated)	
flightwise	UA-1115-IAH-SEA	2012-01-01 11:11AM CST	2012-01-01 11:29AM CST	 E16 	2012-01-01 02:03PM PST	2012-01-01 01:43PM PST	 N14 
aa	AA-2354-DFW-ORD	January 1, 2012               02:05 PM    	January 1, 2012               02:04 PM    	 A39	January 1, 2012               04:25 PM    	January 1, 2012               04:22 PM    	 L8    
flightexplorer	AA-2354-DFW-ORD		1/1/2012 2:21PM CST			1/1/2012 4:18PM CST	
airtravelcenter	AA-2354-DFW-ORD		1/1/12 2:19 PM (-06:00)			1/1/12 4:18 PM (-06:00)	
myrateplan	AA-2354-DFW-ORD		1/1/12 2:19 PM (-06:00)			1/1/12 4:18 PM (-06:00)	
helloflight	AA-2354-DFW-ORD		1/1/12 2:19 PM (-06:00)			1/1/12 4:18 PM (-06:00)	
flytecomm	AA-2354-DFW-ORD		1/1/12 2:19 PM (-06:00)			1/1/12 4:18 PM (-06:00)	
flightaware	AA-2354-DFW-ORD	2012-01-01 02:05PM CST	2012-01-01 02:21PM CST	 A39 	2012-01-01 04:20PM CST	2012-01-01 04:15PM CST	 L8 
wunderground	AA-2354-DFW-ORD	2012-01-01 02:05PM CST	2012-01-01 02:21PM CST	 A39 	2012-01-01 04:20PM CST	2012-01-01 04:15PM CST	 L8 
flights	AA-2354-DFW-ORD	02:05 PM  Sun 01-Jan-2012	02:04 PM  Sun 01-Jan-2012	A39	04:25 PM  Sun 01-Jan-2012	04:22 PM  Sun 01-Jan-2012	L8
businesstravellogue	AA-2354-DFW-ORD	02:05 PM  Sun 01-Jan-2012	02:04 PM  Sun 01-Jan-2012	A39	04:25 PM  Sun 01-Jan-2012	04:22 PM  Sun 01-Jan-2012	L8
flylouisville	AA-2354-DFW-ORD	02:05 PM  Sun 01-Jan-2012	02:04 PM  Sun 01-Jan-2012	A39	04:25 PM  Sun 01-Jan-2012	04:22 PM  Sun 01-Jan-2012	L8
flightstats	AA-2354-DFW-ORD	2012-01-01 2:05 PM	2012-01-01 2:04 PM		2012-01-01 4:25 PM	2012-01-01 4:22 PM	
quicktrip	AA-2354-DFW-ORD	2012-01-01 2:05 PM	2012-01-01 2:04 PM		2012-01-01 4:25 PM	2012-01-01 4:22 PM	
world-flight-tracker	AA-2354-DFW-ORD	2012-01-01 2:05 PM	2012-01-01 2:04 PM		2012-01-01 4:25 PM	2012-01-01 4:22 PM	
flightview	AA-2354-DFW-ORD	2:05 PM, Jan 01	2:20 PM, Jan 01	A39	4:25 PM, Jan 01	4:20 PM, Jan 01	L8
panynj	AA-2354-DFW-ORD	2:05 PM, Jan 01	2:20 PM, Jan 01	A39	4:25 PM, Jan 01	4:20 PM, Jan 01	L8
gofox	AA-2354-DFW-ORD	2:05 PM, Jan 01	2:20 PM, Jan 01		4:25 PM, Jan 01	4:20 PM, Jan 01	
foxbusiness	AA-2354-DFW-ORD	2:05 PM, Jan 01	2:20 PM, Jan 01	A39	4:25 PM, Jan 01	4:20 PM, Jan 01	L8
allegiantair	AA-2354-DFW-ORD	2:05 PM, Jan 01	2:20 PM, Jan 01	A39	4:25 PM, Jan 01	4:20 PM, Jan 01	L8
boston	AA-2354-DFW-ORD	2:05 PM, Jan 01	2:20 PM, Jan 01		4:25 PM, Jan 01	4:20 PM, Jan 01	
orbitz	AA-2354-DFW-ORD	2:05pJan 1	2:04pJan 1	 A39	4:25pJan 1	4:22pJan 1	 L8
weather	AA-2354-DFW-ORD	2012-01-01 02:05 PM			2012-01-01 04:25 PM		
dfw	AA-2354-DFW-ORD	2012-01-01 2:05 pm		A39			
ord	AA-2354-DFW-ORD	2012-01-01 2:05 PM		A39	2012-01-01 4:25 PM		L8
ifly	AA-2354-DFW-ORD	2012-01-01 2:05 PM	2012-01-01 2:04 PM		2012-01-01 4:25 PM	2012-01-01 4:22 PM	
flightarrival	AA-2354-DFW-ORD	2012-01-01 02:05 PM			2012-01-01 04:25 PM		
CO	CO-1506-EWR-SFO	Sun., Jan.01, 2012 7:30 a.m.	Sun., Jan.01, 2012 7:30 a.m.		Sun., Jan.01, 2012 11:05 a.m.	Sun., Jan.01, 2012 10:27 a.m.	
flightexplorer	CO-1506-EWR-SFO		1/1/2012 7:41AM EST			1/1/2012 10:07AM PST	
airtravelcenter	CO-1506-EWR-SFO	1/1/12 7:30 AM (-05:00)			1/1/12 11:05 AM (-08:00)		
myrateplan	CO-1506-EWR-SFO	1/1/12 7:30 AM (-05:00)			1/1/12 11:05 AM (-08:00)		
helloflight	CO-1506-EWR-SFO	1/1/12 7:30 AM (-05:00)			1/1/12 11:05 AM (-08:00)		
flytecomm	CO-1506-EWR-SFO	1/1/12 7:30 AM (-05:00)			1/1/12 11:05 AM (-08:00)		
flightaware	CO-1506-EWR-SFO	2012-01-01 07:30AM EST	2012-01-01 07:40AM EST	 C75 	2012-01-01 10:55AM PST	2012-01-01 10:13AM PST	 88 
wunderground	CO-1506-EWR-SFO	2012-01-01 07:30AM EST	2012-01-01 07:40AM EST	 C75 	2012-01-01 10:55AM PST	2012-01-01 10:13AM PST	 88 
flights	CO-1506-EWR-SFO		2012-01-01 07:30 AM	75		2012-01-01 10:27 AM	88
businesstravellogue	CO-1506-EWR-SFO		2012-01-01 07:30 AM	75		2012-01-01 10:27 AM	88
flylouisville	CO-1506-EWR-SFO		2012-01-01 07:30 AM	75		2012-01-01 10:27 AM	88
flightstats	CO-1506-EWR-SFO	2012-01-01 7:30 AM	2012-01-01 7:30 AM		2012-01-01 11:05 AM	2012-01-01 10:27 AM	
quicktrip	CO-1506-EWR-SFO	2012-01-01 7:30 AM	2012-01-01 7:30 AM		2012-01-01 11:05 AM	2012-01-01 10:27 AM	
flightview	CO-1506-EWR-SFO		7:41 AMJan 01			10:27 AMJan 01	
panynj	CO-1506-EWR-SFO		7:41 AMJan 01			10:27 AMJan 01	
gofox	CO-1506-EWR-SFO		7:41 AMJan 01			10:27 AMJan 01	
foxbusiness	CO-1506-EWR-SFO		7:41 AMJan 01			10:27 AMJan 01	
allegiantair	CO-1506-EWR-SFO		7:41 AMJan 01			10:27 AMJan 01	
boston	CO-1506-EWR-SFO		7:41 AMJan 01			10:13 AMJan 01	
orbitz	CO-1506-EWR-SFO	7:30aJan 1		 C75	11:05aJan 1		 88
weather	CO-1506-EWR-SFO	2012-01-01 07:30 AM			2012-01-01 11:05 AM		
usatoday	CO-1506-EWR-SFO		7:41 AMJan 01			10:13 AMJan 01	
mytripandmore	CO-1506-EWR-SFO	7:30aJan 1		 C75	11:05aJan 1		 88
flightwise	CO-1506-EWR-SFO	2012-01-01 07:30AM EST	2012-01-01 07:40AM EST	 C75 	2012-01-01 10:55AM PST	2012-01-01 10:13AM PST	 88 
aa	AA-1494-LAS-DFW	January 1, 2012               08:15 AM    	January 1, 2012               08:20 AM    	 D39	January 1, 2012               12:55 PM    	January 1, 2012               01:04 PM    	 A24    
flightexplorer	AA-1494-LAS-DFW		1/1/2012 8:36AM PST			1/1/2012 12:56PM CST	
airtravelcenter	AA-1494-LAS-DFW		1/1/12 8:36 AM (-08:00)			1/1/12 12:56 PM (-06:00)	
myrateplan	AA-1494-LAS-DFW		1/1/12 8:36 AM (-08:00)			1/1/12 12:56 PM (-06:00)	
helloflight	AA-1494-LAS-DFW		1/1/12 8:36 AM (-08:00)			1/1/12 12:56 PM (-06:00)	
flytecomm	AA-1494-LAS-DFW		1/1/12 8:36 AM (-08:00)			1/1/12 12:56 PM (-06:00)	
flightaware	AA-1494-LAS-DFW	2012-01-01 08:15AM PST	2012-01-01 08:36AM PST	 D39 	2012-01-01 12:46PM CST	2012-01-01 12:53PM CST	 A24 
wunderground	AA-1494-LAS-DFW	2012-01-01 08:15AM PST	2012-01-01 08:36AM PST	 D39 	2012-01-01 12:46PM CST	2012-01-01 12:53PM CST	 A24 
flights	AA-1494-LAS-DFW	08:15 AM  Sun 01-Jan-2012	08:20 AM  Sun 01-Jan-2012	D39	12:55 PM  Sun 01-Jan-2012	01:04 PM  Sun 01-Jan-2012	A24
businesstravellogue	AA-1494-LAS-DFW	08:15 AM  Sun 01-Jan-2012	08:20 AM  Sun 01-Jan-2012	D39	12:55 PM  Sun 01-Jan-2012	01:04 PM  Sun 01-Jan-2012	A24
flylouisville	AA-1494-LAS-DFW	08:15 AM  Sun 01-Jan-2012	08:20 AM  Sun 01-Jan-2012	D39	12:55 PM  Sun 01-Jan-2012	01:04 PM  Sun 01-Jan-2012	A24
world-flight-tracker	AA-1494-LAS-DFW	2012-01-01 8:15 AM	2012-01-01 8:20 AM		2012-01-01 12:55 PM	2012-01-01 1:04 PM	
flightview	AA-1494-LAS-DFW	8:15 AM, Jan 01	8:36 AM, Jan 01	D39	12:55 PM, Jan 01	12:53 PM, Jan 01	A24
panynj	AA-1494-LAS-DFW	8:15 AM, Jan 01	8:36 AM, Jan 01	D39	12:55 PM, Jan 01	12:53 PM, Jan 01	A24
gofox	AA-1494-LAS-DFW	8:15 AM, Jan 01	8:36 AM, Jan 01		12:55 PM, Jan 01	12:53 PM, Jan 01	
foxbusiness	AA-1494-LAS-DFW	8:15 AM, Jan 01	8:36 AM, Jan 01	D39	12:55 PM, Jan 01	12:53 PM, Jan 01	A24
allegiantair	AA-1494-LAS-DFW	8:15 AM, Jan 01	8:36 AM, Jan 01	D39	12:55 PM, Jan 01	12:53 PM, Jan 01	A24
boston	AA-1494-LAS-DFW	8:15 AM, Jan 01	8:36 AM, Jan 01		12:55 PM, Jan 01	12:53 PM, Jan 01	
orbitz	AA-1494-LAS-DFW	8:15aJan 1		 D39	12:55pJan 1		 D33
weather	AA-1494-LAS-DFW	2012-01-01 08:15 AM	2012-01-01 08:36 AM		2012-01-01 12:55 PM	2012-01-01 12:52 PM	
dfw	AA-1494-LAS-DFW				2012-01-01 12:55 pm		A24
mytripandmore	AA-1494-LAS-DFW	8:15aJan 1		 D39	12:55pJan 1		 D33
flightarrival	AA-1494-LAS-DFW	8:15 AM, Jan 01	8:36 AM, Jan 01		12:55 PM, Jan 01	12:53 PM, Jan 01	
ua	UA-3524-IND-ORD	Sun, Jan 1 10:27 AM	Sun, Jan 1 10:34 AM	A23	Sun, Jan 1 10:35 AM	Sun, Jan 1 10:38 AM	B18
airtravelcenter	UA-3524-IND-ORD		1/1/12 10:45 AM (-05:00)			1/1/12 10:31 AM (-06:00)	
myrateplan	UA-3524-IND-ORD		1/1/12 10:45 AM (-05:00)			1/1/12 10:31 AM (-06:00)	
helloflight	UA-3524-IND-ORD		1/1/12 10:45 AM (-05:00)			1/1/12 10:31 AM (-06:00)	
flytecomm	UA-3524-IND-ORD		1/1/12 10:45 AM (-05:00)			1/1/12 10:31 AM (-06:00)	
flights	UA-3524-IND-ORD		2012-01-01 10:34 AM	A23		2012-01-01 10:38 AM	B18
businesstravellogue	UA-3524-IND-ORD		2012-01-01 10:34 AM	A23		2012-01-01 10:38 AM	B18
flylouisville	UA-3524-IND-ORD		2012-01-01 10:34 AM	A23		2012-01-01 10:38 AM	B18
flightview	UA-3524-IND-ORD		10:45 AMJan 01			10:38 AMJan 01	
panynj	UA-3524-IND-ORD		10:45 AMJan 01			10:38 AMJan 01	
gofox	UA-3524-IND-ORD		10:45 AMJan 01			10:38 AMJan 01	
foxbusiness	UA-3524-IND-ORD		10:45 AMJan 01			10:38 AMJan 01	
allegiantair	UA-3524-IND-ORD		10:45 AMJan 01			10:38 AMJan 01	
boston	UA-3524-IND-ORD		10:45 AMJan 01			10:28 AMJan 01	
orbitz	UA-3524-IND-ORD	10:27aJan 1		 -	10:35aJan 1		 B18
orbitz	UA-3524-IND-ORD	10:27aJan 1	10:34aJan 1	 A23	10:35aJan 1	10:38aJan 1	 B18
weather	UA-3524-IND-ORD	2012-01-01 10:27 AM			2012-01-01 10:35 AM		
ord	UA-3524-IND-ORD	2012-01-01 10:27 AM		A23	2012-01-01 10:35 AM		B18
usatoday	UA-3524-IND-ORD	2012-01-01 10:27 AM			2012-01-01 10:35 AM		
ua	UA-1552-IAH-SEA	Sun, Jan 1 9:30 PM	Sun, Jan 1 9:30 PM            On Time	C-42	Mon, Jan 2 12:20 AM	Mon, Jan 2 12:20 AM	B11
flightexplorer	UA-1552-IAH-SEA		12/31/2011 9:54PM CST			1/1/2012 12:30AM PST	
flightexplorer	UA-1552-IAH-SEA	1/1/2012 9:30PM CST			1/2/2012 12:20AM PST		
airtravelcenter	UA-1552-IAH-SEA	1/1/12 9:30 PM (-06:00)			1/2/12 12:20 AM (-08:00)		
myrateplan	UA-1552-IAH-SEA	1/1/12 9:30 PM (-06:00)			1/2/12 12:20 AM (-08:00)		
helloflight	UA-1552-IAH-SEA	1/1/12 9:30 PM (-06:00)			1/2/12 12:20 AM (-08:00)		
flytecomm	UA-1552-IAH-SEA	1/1/12 9:30 PM (-06:00)			1/2/12 12:20 AM (-08:00)		
flights	UA-1552-IAH-SEA	2012-01-01 09:30 PM		42	2012-01-01 12:20 AM		11
businesstravellogue	UA-1552-IAH-SEA	2012-01-01 09:30 PM		42	2012-01-01 12:20 AM		11
flylouisville	UA-1552-IAH-SEA	2012-01-01 09:30 PM		42	2012-01-01 12:20 AM		11
flightview	UA-1552-IAH-SEA	9:30 PMJan 01			12:20 AMJan 02		
panynj	UA-1552-IAH-SEA	9:30 PMJan 01			12:20 AMJan 02		
gofox	UA-1552-IAH-SEA	9:30 PMJan 01			12:20 AMJan 02		
foxbusiness	UA-1552-IAH-SEA	9:30 PMJan 01			12:20 AMJan 02		
allegiantair	UA-1552-IAH-SEA	9:30 PMJan 01			12:20 AMJan 02		
boston	UA-1552-IAH-SEA	9:30 PMJan 01			12:20 AMJan 02		
orbitz	UA-1552-IAH-SEA	9:30pJan 1		 -	12:20aJan 2		 -
ua	UA-41-FCO-EWR	Sun, Jan 1 9:45 AM	Sun, Jan 1 10:07 AM	--	Sun, Jan 1 1:48 PM	Sun, Jan 1 2:13 PM	B61
airtravelcenter	UA-41-FCO-EWR		1/1/12 10:24 AM (+01:00)			1/1/12 2:09 PM (-05:00)	
airtravelcenter	UA-41-FCO-EWR	1/1/12 9:45 AM (+01:00)			1/1/12 1:48 PM (-05:00)		
myrateplan	UA-41-FCO-EWR		1/1/12 10:24 AM (+01:00)			1/1/12 2:09 PM (-05:00)	
myrateplan	UA-41-FCO-EWR	1/1/12 9:45 AM (+01:00)			1/1/12 1:48 PM (-05:00)		
helloflight	UA-41-FCO-EWR		1/1/12 10:24 AM (+01:00)			1/1/12 2:09 PM (-05:00)	
helloflight	UA-41-FCO-EWR	1/1/12 9:45 AM (+01:00)			1/1/12 1:48 PM (-05:00)		
flytecomm	UA-41-FCO-EWR		1/1/12 10:24 AM (+01:00)			1/1/12 2:09 PM (-05:00)	
flytecomm	UA-41-FCO-EWR	1/1/12 9:45 AM (+01:00)			1/1/12 1:48 PM (-05:00)		
flights	UA-41-FCO-EWR		2012-01-01 10:07 AM	G10		2012-01-01 02:13 PM	61
businesstravellogue	UA-41-FCO-EWR		2012-01-01 10:07 AM	G10		2012-01-01 02:13 PM	61
flylouisville	UA-41-FCO-EWR		2012-01-01 10:07 AM	G10		2012-01-01 02:13 PM	61
flightview	UA-41-FCO-EWR	9:45 AM, Jan 01	10:24 AM, Jan 01	Term 5	1:48 PM, Jan 01	2:13 PM, Jan 01	Term B - B61
panynj	UA-41-FCO-EWR	9:45 AM, Jan 01	10:24 AM, Jan 01	Term 5	1:48 PM, Jan 01	2:13 PM, Jan 01	Term B - B61
gofox	UA-41-FCO-EWR	9:45 AM, Jan 01	10:24 AM, Jan 01		1:48 PM, Jan 01	2:13 PM, Jan 01	
foxbusiness	UA-41-FCO-EWR	9:45 AM, Jan 01	10:24 AM, Jan 01	Term 5	1:48 PM, Jan 01	2:13 PM, Jan 01	Term B - B61
allegiantair	UA-41-FCO-EWR	9:45 AM, Jan 01	10:24 AM, Jan 01	Term 5	1:48 PM, Jan 01	2:13 PM, Jan 01	Term B - B61
boston	UA-41-FCO-EWR	9:45 AM, Jan 01	10:24 AM, Jan 01		1:48 PM, Jan 01	2:06 PM, Jan 01	
orbitz	UA-41-FCO-EWR	9:45aJan 1	10:07aJan 1	 -	1:48pJan 1	2:13pJan 1	 -
weather	UA-41-FCO-EWR	2012-01-01 09:45 AM			2012-01-01 01:48 PM		
usatoday	UA-41-FCO-EWR	2012-01-01 09:45 AM			2012-01-01 01:48 PM		
aa	AA-1063-BWI-DFW	January 1, 2012               07:05 AM    	January 1, 2012               07:09 AM    	 C6	January 1, 2012               09:45 AM    	January 1, 2012               09:34 AM    	 A23    
flightexplorer	AA-1063-BWI-DFW		1/1/2012 7:28AM EST			1/1/2012 9:31AM CST	
airtravelcenter	AA-1063-BWI-DFW		1/1/12 7:27 AM (-05:00)			1/1/12 9:31 AM (-06:00)	
myrateplan	AA-1063-BWI-DFW		1/1/12 7:27 AM (-05:00)			1/1/12 9:31 AM (-06:00)	
helloflight	AA-1063-BWI-DFW		1/1/12 7:27 AM (-05:00)			1/1/12 9:31 AM (-06:00)	
flytecomm	AA-1063-BWI-DFW		1/1/12 7:27 AM (-05:00)			1/1/12 9:31 AM (-06:00)	
flights	AA-1063-BWI-DFW		2012-01-01 07:09 AM	C6		2012-01-01 09:34 AM	A23
businesstravellogue	AA-1063-BWI-DFW		2012-01-01 07:09 AM	C6		2012-01-01 09:34 AM	A23
flylouisville	AA-1063-BWI-DFW		2012-01-01 07:09 AM	C6		2012-01-01 09:34 AM	A23
flightview	AA-1063-BWI-DFW		7:28 AMJan 01			9:29 AMJan 01	
panynj	AA-1063-BWI-DFW		7:28 AMJan 01			9:29 AMJan 01	
gofox	AA-1063-BWI-DFW		7:28 AMJan 01			9:29 AMJan 01	
foxbusiness	AA-1063-BWI-DFW		7:28 AMJan 01			9:29 AMJan 01	
allegiantair	AA-1063-BWI-DFW		7:28 AMJan 01			9:29 AMJan 01	
boston	AA-1063-BWI-DFW		7:28 AMJan 01			9:29 AMJan 01	
orbitz	AA-1063-BWI-DFW	7:05aJan 1	7:09aJan 1	 C6	9:45aJan 1	9:34aJan 1	 A23
weather	AA-1063-BWI-DFW	2012-01-01 07:05 AM			2012-01-01 09:45 AM		
ua	UA-2301-CLT-RIC	Sun, Jan 1 4:15 PM	Sun, Jan 1 4:15 PM	B10	Sun, Jan 1 5:19 PM	Sun, Jan 1 5:19 PM	--
airtravelcenter	UA-2301-CLT-RIC		1/1/12 4:24 PM (-05:00)			1/1/12 5:09 PM (-05:00)	
myrateplan	UA-2301-CLT-RIC		1/1/12 4:24 PM (-05:00)			1/1/12 5:09 PM (-05:00)	
helloflight	UA-2301-CLT-RIC		1/1/12 4:24 PM (-05:00)			1/1/12 5:09 PM (-05:00)	
flytecomm	UA-2301-CLT-RIC		1/1/12 4:24 PM (-05:00)			1/1/12 5:09 PM (-05:00)	
flights	UA-2301-CLT-RIC	04:15 PM  Sun 01-Jan-2012			05:19 PM  Sun 01-Jan-2012		
businesstravellogue	UA-2301-CLT-RIC	04:15 PM  Sun 01-Jan-2012			05:19 PM  Sun 01-Jan-2012		
flylouisville	UA-2301-CLT-RIC	04:15 PM  Sun 01-Jan-2012			05:19 PM  Sun 01-Jan-2012		
flightstats	UA-2301-CLT-RIC	2012-01-01 4:15 PM	2012-01-01 4:15 PM (Estimated)		2012-01-01 5:19 PM	2012-01-01 5:19 PM (Estimated)	
quicktrip	UA-2301-CLT-RIC	2012-01-01 4:15 PM	2012-01-01 4:15 PM (Estimated)		2012-01-01 5:19 PM	2012-01-01 5:19 PM (Estimated)	
world-flight-tracker	UA-2301-CLT-RIC	2012-01-01 4:15 PM	2012-01-01 4:15 PM (Estimated)		2012-01-01 5:19 PM	2012-01-01 5:19 PM (Estimated)	
orbitz	UA-2301-CLT-RIC	4:15pJan 1		 B10	5:19pJan 1		 -
weather	UA-2301-CLT-RIC	2012-01-01 04:15 PM			2012-01-01 05:19 PM		
usatoday	UA-2301-CLT-RIC	2012-01-01 4:15 PM	2012-01-01 4:15 PM (Estimated)		2012-01-01 5:19 PM	2012-01-01 5:19 PM (Estimated)	
CO	CO-1033-IAH-SFO	Sun., Jan.01, 2012 6:50 p.m.	Sun., Jan.01, 2012 6:54 p.m.		Sun., Jan.01, 2012 9:18 p.m.	Sun., Jan.01, 2012 8:55 p.m.	
flightexplorer	CO-1033-IAH-SFO		1/1/2012 7:14PM CST			1/1/2012 8:45PM PST	
airtravelcenter	CO-1033-IAH-SFO	1/1/12 6:50 PM (-06:00)			1/1/12 9:18 PM (-08:00)		
myrateplan	CO-1033-IAH-SFO	1/1/12 6:50 PM (-06:00)			1/1/12 9:18 PM (-08:00)		
helloflight	CO-1033-IAH-SFO	1/1/12 6:50 PM (-06:00)			1/1/12 9:18 PM (-08:00)		
flytecomm	CO-1033-IAH-SFO	1/1/12 6:50 PM (-06:00)			1/1/12 9:18 PM (-08:00)		
flightaware	CO-1033-IAH-SFO	2012-01-01 06:50PM CST	2012-01-01 07:15PM CST	 35 	2012-01-01 08:40PM PST	2012-01-01 08:49PM PST	 88 
wunderground	CO-1033-IAH-SFO	2012-01-01 06:50PM CST	2012-01-01 07:15PM CST	 35 	2012-01-01 08:40PM PST	2012-01-01 08:49PM PST	 88 
flights	CO-1033-IAH-SFO		2012-01-01 06:54 PM	35		2012-01-01 08:55 PM	88
businesstravellogue	CO-1033-IAH-SFO		2012-01-01 06:54 PM	35		2012-01-01 08:55 PM	88
flylouisville	CO-1033-IAH-SFO		2012-01-01 06:54 PM	35		2012-01-01 08:55 PM	88
flightstats	CO-1033-IAH-SFO	2012-01-01 6:50 PM	2012-01-01 6:54 PM		2012-01-01 9:18 PM	2012-01-01 8:55 PM	
quicktrip	CO-1033-IAH-SFO	2012-01-01 6:50 PM	2012-01-01 6:54 PM		2012-01-01 9:18 PM	2012-01-01 8:55 PM	
flightview	CO-1033-IAH-SFO		7:15 PMJan 01			8:55 PMJan 01	
panynj	CO-1033-IAH-SFO		7:15 PMJan 01			8:55 PMJan 01	
gofox	CO-1033-IAH-SFO		7:15 PMJan 01			8:55 PMJan 01	
foxbusiness	CO-1033-IAH-SFO		7:15 PMJan 01			8:55 PMJan 01	
allegiantair	CO-1033-IAH-SFO		7:15 PMJan 01			8:55 PMJan 01	
boston	CO-1033-IAH-SFO		7:15 PMJan 01			8:49 PMJan 01	
orbitz	CO-1033-IAH-SFO	6:50pJan 1	6:54pJan 1	 35	9:18pJan 1	8:55pJan 1	 88
sfo	CO-1033-IAH-SFO				2012-01-01 9:18 PM		88
flightarrival	CO-1033-IAH-SFO		7:15 PMJan 01			8:49 PMJan 01	
ua	UA-1157-TPA-EWR	Sun, Jan 1 8:00 AM	Sun, Jan 1 8:13 AM	A6	Sun, Jan 1 10:39 AM	Sun, Jan 1 10:35 AM	C97
flightexplorer	UA-1157-TPA-EWR		1/1/2012 8:24AM EST			1/1/2012 10:31AM EST	
airtravelcenter	UA-1157-TPA-EWR	1/1/12 8:00 AM (-05:00)			1/1/12 10:39 AM (-05:00)		
myrateplan	UA-1157-TPA-EWR	1/1/12 8:00 AM (-05:00)			1/1/12 10:39 AM (-05:00)		
helloflight	UA-1157-TPA-EWR	1/1/12 8:00 AM (-05:00)			1/1/12 10:39 AM (-05:00)		
flytecomm	UA-1157-TPA-EWR	1/1/12 8:00 AM (-05:00)			1/1/12 10:39 AM (-05:00)		
flightaware	UA-1157-TPA-EWR	2012-01-01 08:21AM EST	2012-01-01 08:29AM EST		2012-01-01 10:26AM EST	2012-01-01 10:34AM EST	
wunderground	UA-1157-TPA-EWR	2012-01-01 08:21AM EST	2012-01-01 08:29AM EST		2012-01-01 10:26AM EST	2012-01-01 10:34AM EST	
flights	UA-1157-TPA-EWR	08:00 AM  Sun 01-Jan-2012	08:13 AM  Sun 01-Jan-2012	A6	10:39 AM  Sun 01-Jan-2012	10:35 AM  Sun 01-Jan-2012	97
businesstravellogue	UA-1157-TPA-EWR	08:00 AM  Sun 01-Jan-2012	08:13 AM  Sun 01-Jan-2012	A6	10:39 AM  Sun 01-Jan-2012	10:35 AM  Sun 01-Jan-2012	97
flylouisville	UA-1157-TPA-EWR	08:00 AM  Sun 01-Jan-2012	08:13 AM  Sun 01-Jan-2012	A6	10:39 AM  Sun 01-Jan-2012	10:35 AM  Sun 01-Jan-2012	97
world-flight-tracker	UA-1157-TPA-EWR	2012-01-01 8:00 AM	2012-01-01 8:13 AM		2012-01-01 10:39 AM	2012-01-01 10:35 AM	
flightview	UA-1157-TPA-EWR	8:00 AM, Jan 01	8:25 AM, Jan 01	Main Term - A6	10:39 AM, Jan 01	10:35 AM, Jan 01	Term C - C97
panynj	UA-1157-TPA-EWR	8:00 AM, Jan 01	8:25 AM, Jan 01	Main Term - A6	10:39 AM, Jan 01	10:35 AM, Jan 01	Term C - C97
