tupleid,attribute,correct_value,
73714,facilitytype,Restaurant,
73756,facilitytype,Restaurant,
73771,facilitytype,ROOFTOP,
73771,facilitytype,ROOFTOP,
74003,address,958 - 960 W BELMONT AVE,
74042,facilitytype,Grocery Store,
74453,address,4503-4505 N KEDZIE AVE,
74530,address,958 - 960 W BELMONT AVE,
74676,facilitytype,Grocery Store,
74750,location,"(41.96794426205111, -87.74532767201778)",
74852,address,3632-3640 N PULASKI RD,
75082,facilitytype,Grocery Store,
75132,facilitytype,Grocery Store,
75287,facilitytype,Restaurant,
75345,facilitytype,Restaurant,
75547,address,3142-3148 W LAWRENCE AVE,
75633,facilitytype,Restaurant,
75717,address,2548-2550 W DEVON AVE,
75793,facilitytype,Restaurant,
75865,facilitytype,Grocery Store,
76110,facilitytype,Grocery Store,
76252,facilitytype,Grocery Store,
76853,address,2548-2550 W DEVON AVE,
77208,address,2548-2550 W DEVON AVE,
77208,address,2548-2550 W DEVON AVE,
77292,facilitytype,Restaurant,
77295,facilitytype,Grocery Store,
77611,dbaname,PIZZA KITCHEN,
77615,facilitytype,Restaurant,
77641,facilitytype,Restaurant,
77657,facilitytype,Grocery Store,
77730,facilitytype,Restaurant,
77815,facilitytype,Restaurant,
77885,facilitytype,Daycare Above and Under 2 Years,
77909,facilitytype,Restaurant,
78051,address,3435 W VAN BUREN,
78425,facilitytype,Grocery Store,
78453,address,100 W RANDOLPH ST,
78619,facilitytype,Restaurant,
78732,facilitytype,Restaurant,
78989,facilitytype,Grocery Store,
79024,facilitytype,Restaurant,
79098,facilitytype,Grocery Store,
79122,facilitytype,Daycare (2 - 6 Years),
79251,facilitytype,Restaurant,
79264,facilitytype,Grocery Store,
79401,facilitytype,Grocery Store,
79420,facilitytype,Restaurant,
79448,facilitytype,Grocery Store,
79456,facilitytype,Grocery Store,
79603,facilitytype,Daycare (2 - 6 Years),
79612,address,2343-2345 E 71ST ST,
79631,facilitytype,Children's Services Facility,
79727,facilitytype,Grocery Store,
79919,facilitytype,Grocery Store,
79920,facilitytype,Grocery Store,
79941,facilitytype,Grocery Store,
79942,facilitytype,Grocery Store,
80017,facilitytype,Children's Services Facility,
80059,facilitytype,Grocery Store,
80144,facilitytype,Restaurant,
80739,facilitytype,Grocery Store,
80766,facilitytype,Grocery Store,
80840,facilitytype,Restaurant,
80905,facilitytype,Grocery Store,
81184,address,4748-4750 W PETERSON AVE,
81184,address,4748-4750 W PETERSON AVE,
81246,facilitytype,Restaurant,
81498,facilitytype,Restaurant,
81890,address,1825 W IRVING PARK,
81890,address,1825 W IRVING PARK,
81899,facilitytype,Grocery Store,
81941,facilitytype,Restaurant,
82060,facilitytype,Grocery Store,
82604,facilitytype,Grocery Store,
82641,address,2022 S WENTWORTH AVE FL,
82922,dbaname,SUBWAY,
83093,facilitytype,Grocery Store,
83254,facilitytype,Grocery Store,
83423,city,CHICAGO,
83423,zip,60625,
83426,city,CHICAGO,
83426,zip,60625,
83432,facilitytype,Restaurant,
83442,zip,60625,
83442,city,Chicago,
83517,facilitytype,Grocery Store,
83521,facilitytype,Grocery Store,
83525,facilitytype,Grocery Store,
83717,facilitytype,Grocery Store,
83784,zip,60608,
83966,facilitytype,Restaurant,
84143,facilitytype,Restaurant,
84298,address,420-422 W 31ST ST,
84887,facilitytype,Restaurant,
84920,facilitytype,Restaurant,
85112,facilitytype,Restaurant,
85236,address,2421 N CLARK ST,
85339,facilitytype,Daycare (2 - 6 Years),
85431,facilitytype,Restaurant,
85574,facilitytype,Restaurant,
85584,facilitytype,Restaurant,
85588,facilitytype,Grocery Store,
85972,facilitytype,Restaurant,
86077,facilitytype,Grocery Store,
86134,facilitytype,Restaurant,
86173,zip,60654,
86173,facilitytype,Grocery Store,
86518,facilitytype,Restaurant,
86600,facilitytype,Restaurant,
86883,facilitytype,Restaurant,
87431,facilitytype,Restaurant,
87615,facilitytype,Restaurant,
87810,address,4606 S DAMEN AVE,
87856,address,3904 N CICERO,
88021,facilitytype,Restaurant,
88100,facilitytype,Restaurant,
88330,facilitytype,Liquor,
88393,dbaname,THUNDERBIRD CATERING,
88407,dbaname,THUNDERBIRD CATERING,
88480,facilitytype,Mobile Food Dispenser,
88483,facilitytype,Mobile Food Dispenser,
88485,facilitytype,Mobile Food Dispenser,
88488,dbaname,THUNDERBIRD CATERING,
88488,facilitytype,Mobile Food Dispenser,
88496,facilitytype,Mobile Food Dispenser,
88498,facilitytype,Mobile Food Dispenser,
88499,facilitytype,Mobile Food Dispenser,
88503,facilitytype,Mobile Food Dispenser,
88516,facilitytype,Mobile Food Dispenser,
88988,state,IL,
89123,facilitytype,Restaurant,
89170,address,958 - 960 W BELMONT AVE,
89261,address,2039-2041 W NORTH AVE,
89262,address,2039-2041 W NORTH AVE,
89350,results,Out of Business,
89360,state,IL,
89360,dbaname,EMPORIUM ARCADE BAR,
89360,location,"(41.893380429024546, -87.65758773796799)",
89416,facilitytype,Restaurant,
89463,results,Out of Business,
89896,address,3904 N CICERO,
89896,dbaname,HONG KONG CHINESE RESTAURANT,
90021,results,Out of Business,
90148,address,2039-2041 W NORTH AVE,
90151,address,2039-2041 W NORTH AVE,
90584,address,10-20 E DELAWARE ST,
91029,address,3142-3148 W LAWRENCE AVE,
91078,address,201 N STATE ST,
91195,address,201 N STATE ST,
91234,facilitytype,Restaurant,
91436,city,Chicago,
91492,city,Chicago,
91494,city,Chicago,
91499,city,Chicago,
91505,city,CHICAGO,
91507,address,2843 - 2847 W 63RD ST ,
91509,city,Chicago,
91511,address,2843 - 2847 W 63RD ST ,
91513,address,1646-1648 W 95TH ST,
91516,address,2843 - 2847 W 63RD ST ,
91523,facilitytype,Mobile Food Dispenser,
91523,city,Chicago,
91526,city,Chicago,
91650,facilitytype,Grocery Store,
92029,results,Out of Business,
92053,address,2548-2550 W DEVON AVE,
92053,address,2548-2550 W DEVON AVE,
92167,address,2548-2550 W DEVON AVE,
92167,address,2548-2550 W DEVON AVE,
92189,address,3038 - 3046 W 59TH ST,
92193,facilitytype,Restaurant,
92801,facilitytype,Grocery Store,
92841,facilitytype,Restaurant,
92843,facilitytype,Restaurant,
92932,facilitytype,Restaurant,
92987,facilitytype,Restaurant,
93001,address,2843 - 2847 W 63RD ST ,
93006,facilitytype,Restaurant,
93168,location,"(41.964682873337985, -87.73493399652928)",
93176,location,"(41.964682873337985, -87.73493399652928)",
93294,facilitytype,Restaurant,
93500,facilitytype,Grocery Store,
93619,facilitytype,Restaurant,
93727,facilitytype,Restaurant,
94319,facilitytype,Restaurant,
94541,facilitytype,Daycare Combo 1586,
94899,facilitytype,Restaurant,
95032,dbaname,WALDORF ASTORIA CHICAGO,
95092,dbaname,THE WIT,
95116,dbaname,THE WIT,
95117,dbaname,THE WIT,
95431,facilitytype,Restaurant,
95566,facilitytype,Restaurant,
95567,facilitytype,Restaurant,
95584,address,3632-3640 N PULASKI RD,
95584,address,3632-3640 N PULASKI RD,
95705,facilitytype,Restaurant,
95787,address,2421 N CLARK ST,
95838,address,4606 S DAMEN AVE,
95924,results,Out of Business,
96030,facilitytype,Grocery Store,
96103,dbaname,FRANKO'S PIZZERIA,
96104,dbaname,FRANKO'S PIZZERIA,
96111,dbaname,JAVA N MUG,
96209,dbaname,LEE'S WOK,
96228,facilitytype,Restaurant,
96346,city,Chicago,
96357,address,8038 S ASHLAND,
96441,facilitytype,Daycare Combo 1586,
96482,address,3313-3319 N BROADWAY,
96510,facilitytype,Restaurant,
96548,address,4606 S DAMEN AVE,
96548,address,4606 S DAMEN AVE,
96589,city,Chicago,
96626,city,Chicago,
96718,dbaname,BURRITOS JUAREZ,
96747,facilitytype,Restaurant,
96996,address,6727-6733 N OLMSTED AVE,
97378,dbaname,AMAZING GRACE DAYCARE CENTER,
97393,facilitytype,Grocery Store,
97538,dbaname,AMAZING GRACE DAYCARE CENTER,
97578,dbaname,GONZALEZ RESTAURANT,
97700,dbaname,AMAZING GRACE DAYCARE CENTER,
98293,dbaname,CHOP SUEY HUANG,
98296,facilitytype,Restaurant,
98415,dbaname,ILLINOIS SPORTSERVICE INC,
98426,facilitytype,Restaurant,
98454,facilitytype,Restaurant,
98456,facilitytype,Restaurant,
98617,facilitytype,Restaurant,
98643,address,4117-4125 S KEDZIE AVE,
98643,address,4117-4125 S KEDZIE AVE,
98693,dbaname,SALAD WORKS,
98873,address,6319 S DR. MARTIN LUTHER KING JR DR ,
99081,dbaname,DEVELOPMENTAL INSTITUTE INC,
99098,dbaname,DEVELOPMENTAL INSTITUTE INC,
99277,dbaname,BURGER KING #11967,
99332,facilitytype,Grocery Store,
99413,facilitytype,Restaurant,
99540,address,958 - 960 W BELMONT AVE,
99540,address,958 - 960 W BELMONT AVE,
99664,facilitytype,Restaurant,
100064,address,5633-5635 N ASHLAND AVE,
100292,address,5633-5635 N ASHLAND AVE,
100421,dbaname,ROSDED,
100738,facilitytype,Restaurant,
100823,facilitytype,Restaurant,
100851,dbaname,ILLINOIS SPORTSERVICE INC,
101121,facilitytype,Grocery Store,
101215,facilitytype,Children's Services Facility,
101252,facilitytype,Catering,
101412,address,2032-2034 W DEVON AVE ,
101878,facilitytype,Restaurant,
101913,facilitytype,Catering,
102032,address,2032-2034 W DEVON AVE ,
102543,facilitytype,Restaurant,
102544,facilitytype,Restaurant,
102654,facilitytype,Restaurant,
102684,facilitytype,Restaurant,
102684,dbaname,SALAD WORKS,
102758,facilitytype,Restaurant,
102995,facilitytype,Bakery,
103563,dbaname,JAVA N MUG,
103720,facilitytype,Bakery,
104116,facilitytype,Restaurant,
104121,facilitytype,Restaurant,
104354,address,3632-3640 N PULASKI RD,
104627,facilitytype,Restaurant,
104627,dbaname,JAVA N MUG,
104629,dbaname,JAVA N MUG,
105038,facilitytype,Restaurant,
105096,facilitytype,Restaurant,
105179,address,333 W 35TH ST,
105179,dbaname,ILLINOIS SPORTSERVICE INC,
105497,dbaname,CONVENIENT FOOD MART,
105576,results,Out of Business,
105579,results,Out of Business,
105631,facilitytype,Restaurant,
105733,dbaname,AMAZING GRACE DAYCARE CENTER,
105802,facilitytype,Restaurant,
106183,dbaname,GONZALEZ RESTAURANT,
106230,address,2008 N HALSTED ST,
106292,address,3142-3148 W LAWRENCE AVE,
106306,zip,60666,
106445,dbaname,LEE'S WOK,
106447,dbaname,LEE'S WOK,
106464,facilitytype,Restaurant,
106754,zip,60608,
106756,address,2548-2550 W DEVON AVE,
106884,dbaname,P & P AMERICAN & CHINESE FOOD,
107034,address,5633-5635 N ASHLAND AVE ,
107182,address,2548-2550 W DEVON AVE,
107400,address,2537-2543 N KEDZIE AVE,
107603,dbaname,ARAMARK,
107606,dbaname,ARAMARK,
107662,dbaname,OSTIONERIA MAR ABIERTO,
107781,dbaname,SALAD WORKS,
107796,address,4749-4753 N ROCKWELL ST ,
107800,address,2401-2405 W DEVON AVE,
107813,address,4749-4753 N ROCKWELL ST ,
108166,dbaname,GATEWAY NEWSTANDS & CIGAR STOR,
108229,address,3632-3640 N PULASKI RD,
108229,address,3632-3640 N PULASKI RD,
108267,dbaname,OSTIONERIA MAR ABIERTO,
108297,address,2401-2405 W DEVON AVE,
108297,address,2401-2405 W DEVON AVE,
108445,dbaname,OSTIONERIA MAR ABIERTO,
108513,facilitytype,Restaurant,
108689,results,Out of Business,
108758,zip,60605,
108896,dbaname,OSTIONERIA MAR ABIERTO,
109029,facilitytype,Restaurant,
109146,address,4748-4750 W PETERSON AVE,
109150,dbaname,OSTIONERIA MAR ABIERTO,
109353,facilitytype,Restaurant,
109570,address,4748-4750 W PETERSON AVE,
109646,facilitytype,Grocery Store,
109744,address,3810 N Central AVE,
109744,address,3810 N Central AVE,
109786,results,Out of Business,
109792,dbaname,OSTIONERIA MAR ABIERTO,
109793,facilitytype,Grocery Store,
109793,results,Out of Business,
109836,results,Out of Business,
109839,results,Out of Business,
109844,results,Out of Business,
109943,address,2032-2034 W DEVON AVE,
109943,results,Out of Business,
109945,results,Out of Business,
109952,address,2032-2034 W DEVON AVE ,
109954,facilitytype,Long Term Care,
109958,address,2843 - 2847 W 63RD ST ,
109958,dbaname,PAPA T'S ITALIANO,
110026,results,Out of Business,
110055,address,2032-2034 W DEVON AVE ,
110056,address,10-20 E DELAWARE ST,
110129,results,Out of Business,
110130,results,Out of Business,
110222,address,10-20 E DELAWARE ST,
110281,results,Out of Business,
110356,results,Out of Business,
110365,results,Out of Business,
110596,facilitytype,Restaurant,
110927,dbaname,THREE R FOOD,
111167,dbaname,OSTIONERIA MAR ABIERTO,
111367,results,Out of Business,
111730,dbaname,ILLINOIS SPORTSERVICE INC,
111754,facilitytype,Restaurant,
111778,dbaname,OSTIONERIA MAR ABIERTO,
111789,dbaname,OSTIONERIA MAR ABIERTO,
111820,dbaname,ILLINOIS SPORTSERVICE INC,
111931,dbaname,ILLINOIS SPORTSERVICE INC,
111940,address,333 W 35TH ST BLDG,
111940,dbaname,ILLINOIS SPORTSERVICE INC,
111979,dbaname,ILLINOIS SPORTSERVICE INC,
112005,dbaname,ILLINOIS SPORTSERVICE INC,
112006,dbaname,ILLINOIS SPORTSERVICE INC.,
112177,address,2945-2947 N BROADWAY AVE,
112261,address,3904 N CICERO,
112363,dbaname,WATERS ELEMENTARY,
112365,dbaname,WATERS ELEMENTARY,
112384,facilitytype,Restaurant,
112402,facilitytype,Restaurant,
112494,address,151 E RANDOLPH ST,
112517,results,Out of Business,
112519,results,Out of Business,
112633,address,3435 W VAN BUREN,
112633,address,3435 W VAN BUREN,
112714,dbaname,THE WIT,
112732,dbaname,THE WIT,
112737,dbaname,THE WIT,
113108,address,100 W RANDOLPH ST STE C-19,
113495,dbaname,PETE BOY'S,
113735,dbaname,MONTESSORI DE LA CITTA,
113785,state,IL,
113823,dbaname,PETE BOY'S,
113941,zip,60640,
113941,city,Chicago,
113953,dbaname,CHINA WOK,
114138,facilitytype,Restaurant,
114191,address,3142-3148 W LAWRENCE AVE,
114213,facilitytype,Restaurant,
114512,facilitytype,Restaurant,
114790,facilitytype,Restaurant,
114805,facilitytype,Restaurant,
115050,zip,60640,
115171,facilitytype,Restaurant,
115195,address,5480 S KENWOOD AVE,
115206,facilitytype,Restaurant,
115304,address,4606 S DAMEN AVE,
115406,dbaname,JA' GRILL,
115564,address,2032-2034 W DEVON AVE ,
115616,address,4606 S DAMEN AVE,
115706,address,2032-2034 W DEVON AVE ,
115817,dbaname,JA' GRILL,
115963,facilitytype,Restaurant,
116021,address,2132-2134 W WASHINGTON BLVD,
116021,facilitytype,Grocery Store,
116040,address,3421 N CLARK ST,
116479,address,2150-58 W BELMONT AVE BLDG,
116487,facilitytype,Grocery Store,
116492,address,3421 N CLARK ST,
116581,dbaname,RENAISSANCE CHICAGO O'HARE HOTEL,
116597,address,4749-4753 N ROCKWELL ST ,
116677,address,3632-3640 N PULASKI RD,
116677,address,3632-3640 N PULASKI RD,
116838,address,3421 N CLARK ST,
116889,dbaname,RENAISSANCE CHICAGO O'HARE HOTEL,
116897,dbaname,RENAISSANCE CHICAGO O'HARE HOTEL,
116916,location,"(41.90432596384963, -87.65594025144294)",
116998,dbaname,HALSTED FOODS,
117000,facilitytype,Grocery Store,
117000,dbaname,HALSTED FOODS,
117038,address,4749-4753 N ROCKWELL ST ,
117064,address,8233-8237 S PULASKI RD,
117080,facilitytype,Restaurant,
117092,facilitytype,Grocery Store,
117121,dbaname,HALSTED FOODS,
117135,facilitytype,Restaurant,
117170,facilitytype,Restaurant,
117204,dbaname,BUB'S GYROS,
117204,facilitytype,Restaurant,
117242,facilitytype,Restaurant,
117280,facilitytype,Restaurant,
117284,facilitytype,Restaurant,
117293,facilitytype,Restaurant,
117303,facilitytype,Restaurant,
117311,facilitytype,Restaurant,
117324,facilitytype,Restaurant,
117328,facilitytype,Restaurant,
117352,facilitytype,Restaurant,
117384,facilitytype,Restaurant,
117581,facilitytype,Restaurant,
117586,facilitytype,Restaurant,
117588,facilitytype,Restaurant,
117734,facilitytype,Restaurant,
117867,facilitytype,Grocery Store,
117882,facilitytype,Restaurant,
117883,facilitytype,Restaurant,
117935,facilitytype,Restaurant,
117950,facilitytype,Restaurant,
117955,facilitytype,Restaurant,
117967,facilitytype,Restaurant,
118011,address,6313-6323 N PULASKI RD,
118011,address,6313-6323 N PULASKI RD,
118048,facilitytype,Restaurant,
118098,facilitytype,Restaurant,
118131,facilitytype,Restaurant,
118153,facilitytype,Restaurant,
118154,facilitytype,Restaurant,
118225,facilitytype,Restaurant,
118233,facilitytype,Restaurant,
118346,facilitytype,Restaurant,
118349,facilitytype,Restaurant,
118350,facilitytype,Restaurant,
118351,facilitytype,Restaurant,
118356,zip,60625,
118356,city,Chicago,
118356,facilitytype,Restaurant,
118376,facilitytype,Restaurant,
118457,facilitytype,Restaurant,
118466,facilitytype,Restaurant,
118469,facilitytype,Restaurant,
118500,address,4748-4750 W PETERSON AVE,
118519,address,4117-4125 S KEDZIE AVE,
118647,dbaname,FRULLATI CAFE & BAKERY,
118668,facilitytype,Restaurant,
118679,facilitytype,Restaurant,
118782,address,6313-6323 N PULASKI RD,
118782,dbaname,EDEN'S HOUSE,
118788,dbaname,EDEN'S HOUSE,
118914,dbaname,GATEWAY NEWSTAND,
118962,facilitytype,Grocery Store,
118985,facilitytype,Restaurant,
118986,facilitytype,Restaurant,
118990,facilitytype,Restaurant,
119000,address,6727-6733 N OLMSTED AVE,
119000,address,6727-6733 N OLMSTED AVE,
119037,zip,60625,
119037,city,Chicago,
119037,facilitytype,Restaurant,
119064,facilitytype,Restaurant,
119092,facilitytype,Restaurant,
119206,facilitytype,Restaurant,
119213,facilitytype,Restaurant,
119214,facilitytype,Daycare Above and Under 2 Years,
119275,address,2032-2034 W DEVON AVE ,
119310,facilitytype,Restaurant,
119344,facilitytype,Restaurant,
119577,facilitytype,Restaurant,
119583,address,2827-2831 N BROADWAY,
119614,facilitytype,Restaurant,
119615,address,1002 N CICERO AVE BLDG,
119629,facilitytype,Restaurant,
119644,facilitytype,Restaurant,
119653,dbaname,ROCKS LAKEVIEW,
119658,facilitytype,Restaurant,
119661,zip,60625,
119661,city,Chicago,
119661,facilitytype,Restaurant,
119675,facilitytype,MOBILE FOOD TRUCK,
119694,facilitytype,Restaurant,
119725,address,3800-3804 N CLARK ST,
119741,facilitytype,Restaurant,
119776,facilitytype,Restaurant,
119781,facilitytype,Restaurant,
119804,facilitytype,Daycare Above and Under 2 Years,
119806,facilitytype,Daycare Above and Under 2 Years,
119812,facilitytype,Restaurant,
119812,dbaname,LILLIE'S Q,
119813,facilitytype,Restaurant,
119813,dbaname,LILLIE'S Q,
119877,address,2827-2831 N BROADWAY,
119922,facilitytype,Restaurant,
119941,dbaname,RAEKWON'S SCHOLASTIC DAYCARE ACADEMY LLC,
119980,address,2537-2543 N KEDZIE AVE,
119999,facilitytype,Restaurant,
120001,address,3904 N CICERO,
120001,dbaname,HONG KONG CHINESE RESTAURANT,
120003,facilitytype,Restaurant,
120023,facilitytype,Restaurant,
120024,facilitytype,Restaurant,
120034,facilitytype,Restaurant,
120036,facilitytype,Restaurant,
120038,facilitytype,Daycare Above and Under 2 Years,
120039,facilitytype,Daycare Above and Under 2 Years,
120091,dbaname,RAEKWON'S SCHOLASTIC DAYCARE ACADEMY LLC,
120113,address,3800-3804 N CLARK ST,
120154,facilitytype,Restaurant,
120155,results,Out of Business,
120157,facilitytype,Restaurant,
120157,dbaname,LILLIE'S Q,
120159,facilitytype,Restaurant,
120160,facilitytype,Restaurant,
120160,dbaname,LILLIE'S Q,
120252,dbaname,ROCKS LAKEVIEW,
120340,address,2843 - 2847 W 63RD ST ,
120340,facilitytype,Restaurant,
120342,facilitytype,Restaurant,
120383,facilitytype,Restaurant,
120447,address,1825 W IRVING PARK,
120511,facilitytype,Restaurant,
120526,facilitytype,Restaurant,
120548,facilitytype,Restaurant,
120560,facilitytype,Restaurant,
120564,facilitytype,Restaurant,
120705,facilitytype,Restaurant,
120867,facilitytype,Restaurant,
120899,address,1825 W IRVING PARK,
120934,facilitytype,Restaurant,
120995,facilitytype,Grocery Store,
121120,dbaname,BEVERLY MONTESSORI SCHOOL,
121301,dbaname,JAVA N MUG,
121333,dbaname,STATE STREET GRILL,
121415,dbaname,ILLINOIS SPORTSERVICE INC.,
121546,address,3142-3148 W LAWRENCE AVE,
121665,facilitytype,Restaurant,
121744,dbaname,FAMILY DOLLAR STORE #6643,
121750,dbaname,FAMILY DOLLAR STORE #6643,
121880,facilitytype,Restaurant,
121997,dbaname,JIM NOODLE & RICE,
122019,facilitytype,Grocery Store,
122083,dbaname,HALSTED FOODS,
122134,facilitytype,Bakery,
122204,dbaname,Roosevelt Discount,
122209,dbaname,Roosevelt Discount,
122220,facilitytype,Restaurant,
122226,dbaname,THE HOT SPOT ON ARMITAGE,
122460,results,Out of Business,
122460,facilitytype,Daycare Combo 1586,
122461,results,Out of Business,
122461,facilitytype,Daycare Combo 1586,
122525,facilitytype,Restaurant,
122540,dbaname,MOBIL,
122610,facilitytype,Grocery Store,
122613,facilitytype,Grocery Store,
122615,facilitytype,Grocery Store,
122627,dbaname,ALTGELD GARDENS DAYCARE,
122755,dbaname,TAYLOR MADE DELI,
122946,facilitytype,Grocery Store,
122975,dbaname,LORDANCHILD CHRISTIAN DAY CARE INC.,
123047,facilitytype,Restaurant,
123081,address,3435 W VAN BUREN,
123159,dbaname,BRIGHT HORIZONS CHICAGO WEST LOOP,
123163,dbaname,BRIGHT HORIZONS CHICAGO WEST LOOP,
123202,address,6319 S DR. MARTIN LUTHER KING JR DR ,
123239,facilitytype,Restaurant,
123298,address,2401-2405 W DEVON AVE,
123341,address,10-20 E DELAWARE ST,
123343,dbaname,DAVILA'S RESTAURANT,
123349,dbaname,DAVILA'S RESTAURANT,
123576,dbaname,MOBIL,
123754,facilitytype,Restaurant,
123754,dbaname,BOB SAN SUSHI BAR,
123786,facilitytype,Restaurant,
123786,dbaname,JAFFA BAKERY,
124025,dbaname,BOB SAN SUSHI BAR,
124237,facilitytype,Restaurant,
124283,dbaname,MCCORMICK PLACE,
124294,dbaname,MCCORMICK PLACE,
124302,dbaname,MCCORMICK PLACE,
124324,dbaname,MCCORMICK PLACE,
124338,dbaname,MCCORMICK PLACE,
124437,dbaname,BRIGHT HORIZONS CHICAGO WEST LOOP,
124439,dbaname,BRIGHT HORIZONS CHICAGO WEST LOOP,
124571,address,2843 - 2847 W 63RD ST ,
124571,dbaname,PAPA T'S ITALIANO,
124798,facilitytype,Restaurant,
124887,dbaname,TAMMY'S SWICHES & SALADS,
124887,zip,60608,
124967,dbaname,F & F FOODS INC,
124968,dbaname,F & F FOODS INC,
125058,address,5633-5635 N ASHLAND AVE ,
125067,address,4157 W Peterson AVE,
125229,facilitytype,Restaurant,
125266,zip,60608,
125266,dbaname,TAMMY'S SWICHES & SALADS,
125418,facilitytype,Restaurant,
125571,dbaname,TURKISH CUISINE AND BAKERY,
125603,dbaname,QUALITY CROUTONS INC,
125604,results,Out of Business,
125604,dbaname,QUALITY CROUTONS INC,
125642,dbaname,THE WIT,
125927,facilitytype,Restaurant,
125953,dbaname,GREATER BETHEL ACADEMY,
126078,address,2945-2947 N BROADWAY AVE,
126102,facilitytype,Restaurant,
126346,address,6319 S DR. MARTIN LUTHER KING JR DR ,
126423,dbaname,BURGER KING #207,
126593,dbaname,GREATER BETHEL ACADEMY,
126649,facilitytype,Restaurant,
126730,address,4157 W Peterson AVE,
126820,dbaname,GREATER BETHEL ACADEMY,
126822,location,"(41.736759925543325, -87.58884170140198)",
126856,dbaname,DAVE'S ICE CREAM,
127064,address,3038 - 3046 W 59TH ST,
127064,dbaname,YOUNG SCHOLARS DEVELOPMENTAL INSTITUTE,
127276,address,5650 W DIVISION AVE,
127276,dbaname,WHALE FISH & CHICKEN,
127362,dbaname,DAVE'S ICE CREAM,
127427,facilitytype,Restaurant,
127445,location,"(41.73646911302717, -87.62302412422503)",
127529,address,1720-1780 N MARCEY ST,
127581,dbaname,ENGLEWOOD MARATHON,
127618,address,331-333 S FRANKLIN ST,
127629,location,"(41.92418914583158, -87.75822974122624)",
127693,dbaname,ARAMARK,
127696,dbaname,ARAMARK,
127700,dbaname,ARAMARK,
127777,address,2637 S THROOP ST,
127797,address,6727-6733 N OLMSTED AVE,
127797,address,6727-6733 N OLMSTED AVE,
128029,facilitytype,Restaurant,
128095,dbaname,ARAMARK,
128097,dbaname,ARAMARK,
128120,address,2843 - 2847 W 63RD ST ,
128139,dbaname,SPIN,
128155,address,1938 W IRVING PARK RD,
128155,dbaname,RED BRICK,
128160,dbaname,RED BRICK,
128177,dbaname,TONY'S SUB,
128179,address,6727-6733 N OLMSTED AVE,
128179,address,6727-6733 N OLMSTED AVE,
128417,address,2843 - 2847 W 63RD ST ,
128473,facilitytype,Restaurant,
128485,address,2032-2034 W DEVON AVE ,
128495,address,4748-4750 W PETERSON AVE,
128495,dbaname,CHAI ASIAN BISTRO,
128506,dbaname,EL TARASCO,
128513,dbaname,EL TARASCO,
128515,dbaname,EL TARASCO,
128516,dbaname,EL TARASCO,
128539,facilitytype,Daycare Above and Under 2 Years,
128542,facilitytype,Restaurant,
128650,facilitytype,Restaurant,
128751,dbaname,EL TARASCO,
128754,dbaname,EL TARASCO,
128831,dbaname,SPARRER SAUSAGE CO,
128838,dbaname,SPARRER SAUSAGE CO,
128924,dbaname,ILLINOIS SPORTSERVICE INC,
129070,address,2401-2405 W DEVON AVE,
129070,address,2401-2405 W DEVON AVE,
129076,address,2401-2405 W DEVON AVE,
129083,dbaname,ILLINOIS SPORTSERVICE INC.,
129137,address,2637 S THROOP ST,
129144,address,2637 S THROOP ST,
129171,dbaname,JAFFA BAKERY,
129181,dbaname,TASTE BUD BANQUET HALL & RESTAURANT,
129182,dbaname,TASTE BUD BANQUET HALL & RESTAURANT,
129205,dbaname,JAFFA BAKERY,
129222,dbaname,EL TARASCO,
129232,dbaname,EL TARASCO,
129244,address,2637 S THROOP ST ,
129251,address,2637 S THROOP ST ,
129273,address,2637 S THROOP ST ,
129274,address,2637 S THROOP ST ,
129276,address,2637 S THROOP ST ,
129305,address,2637 S THROOP ST ,
129315,address,2637 S THROOP ST ,
129323,address,2637 S THROOP ST ,
129327,address,2637 S THROOP ST ,
129329,address,2637 S THROOP ST ,
129333,address,2637 S THROOP ST ,
129336,address,2637 S THROOP ST ,
129340,address,2637 S THROOP ST ,
129343,address,2637 S THROOP ST,
129343,facilitytype,Mobile Food Dispenser,
129349,address,2637 S THROOP ST ,
129356,city,Chicago,
129372,address,1400-1402 W BELMONT AVE,
129374,location,"(41.736759925543325, -87.58884170140198)",
129491,address,1400-1402 W BELMONT AVE,
129498,dbaname,JAFFA BAKERY,
129512,dbaname,ILLINOIS SPORTSERVICE INC,
129633,dbaname,TASTE BUD BANQUET HALL & RESTAURANT,
129643,dbaname,TASTE BUD BANQUET HALL & RESTAURANT,
129746,dbaname,ILLINOIS SPORTSERVICE INC,
129747,dbaname,ILLINOIS SPORTSERVICE INC.,
129750,dbaname,ILLINOIS SPORTSERVICE INC.,
129751,dbaname,ILLINOIS SPORTSERVICE INC.,
129752,dbaname,ILLINOIS SPORTSERVICE INC.,
129755,dbaname,ILLINOIS SPORTSERVICE INC.,
129761,dbaname,ILLINOIS SPORTSERVICE INC.,
129767,dbaname,ILLINOIS SPORTSERVICE INC.,
129797,dbaname,ROCKS LAKEVIEW,
129845,dbaname,"MONTESSORI ACADEMY OF CHICAGO I, LLC",
129849,dbaname,"MONTESSORI ACADEMY OF CHICAGO I, LLC",
129951,facilitytype,CANDY/GELATO,
129951,dbaname,GIOIA CANDY,
129953,dbaname,ILLINOIS SPORTSERVICE INC.,
129960,dbaname,GIOIA CANDY,
129970,dbaname,ILLINOIS SPORTSERVICE INC.,
