akaname,inspectionid,city,state,results,longitude,latitude,inspectiondate,risk,location,license,facilitytype,address,inspectiontype,dbaname,zip
APPLE TREE DAY CARE,1960966,CHICAGO,IL,Out of Business,-87.72794266,41.97038297,20160919,Risk 1 (High),(41.97038297003879,2215967,Daycare (2 - 6 Years),4909 N PULASKI RD ,Canvass,APPLE TREE INC.,60630
SUBWAY,1960800,CHICAGO,IL,Pass,-87.62074373,41.8949033,20160919,Risk 1 (High),(41.89490330235543,2488938,Restaurant,251 E HURON ST ,License,SUBWAY,60611
KING BEEFY,1960785,CHICAGO,IL,No Entry,-87.66810945,41.95419279,20160919,Risk 1 (High),(41.95419279485841,2470111,Restaurant,1513 W IRVING PARK RD ,License,KING BEEFY,60613
HON KEE RESTAURANT,1960795,CHICAGO,IL,Fail,-87.65750875,41.97338578,20160919,Risk 1 (High),(41.973385778876285,2751,Restaurant,1064 W ARGYLE ST ,Complaint,HON KEE REST INC,60640
HAPPY FISH & CHICKEN,1960780,CHICAGO,IL,Fail,-87.74512375,41.88031246,20160919,Risk 1 (High),(41.88031245756281,2423223,Restaurant,5-7 S CICERO AVE ,Complaint,HAPPY FISH & CHICKEN,60644
HILTON O'HARE,1960776,CHICAGO,IL,Fail,-87.91442844,42.0085364,20160919,Risk 1 (High),(42.008536400868735,1878675,Restaurant,11601 W TOUHY AVE ,Canvass,HILTON O'HARE,60666
AU BON PAIN,1960782,CHICAGO,IL,Pass w/ Conditions,-87.668753,41.87503334,20160919,Risk 1 (High),(41.87503334144109,1979993,Restaurant,1653 W CONGRESS PKWY ,Short Form Complaint,AU BON PAIN,60612
KINGFISH SEAFOOD INC,1960773,CHICAGO,IL,Pass,-87.614697,41.76561061,20160919,Risk 2 (Medium),(41.765610612413916,78862,Restaurant,413 E 71ST ST ,Short Form Complaint,KINGFISH SEAFOOD INC,60619
JEREZ RESTAURANT SEA FOOD,1960779,CHICAGO,IL,Pass,-87.72788337,41.96833625,20160919,Risk 1 (High),(41.96833625252941,1225507,Restaurant,4803 N PULASKI RD ,Canvass,JEREZ RESTAURANT SEA FOOD,60630
HYDERABAD KABAB CORNER,1960769,CHICAGO,IL,Pass,-87.69123962,41.99733487,20160919,Risk 1 (High),(41.997334872776214,2422813,Restaurant,6348 N ARTESIAN AVE ,Canvass,HYDERABAD KABAB CORNER INC.,60659
HOT WOKS COOL SUSHI,1960774,CHICAGO,IL,Pass,-87.67972197,41.94331271,20160919,Risk 1 (High),(41.943312712450826,2032648,Restaurant,2032 W ROSCOE ST ,Canvass,HOT WOKS COOL SUSHI,60618
WABISABI,1960765,CHICAGO,IL,Pass,-87.70858321,41.96728302,20160919,Risk 1 (High),(41.96728302315077,2423740,Restaurant,4720 N KEDZIE AVE ,Canvass Re-Inspection,WABISABI,60625
SIMPLY SOUPS SALADS & SANDWICHES,1960766,CHICAGO,IL,Pass,-87.6101459,41.80937219,20160919,Risk 1 (High),(41.809372191240705,2222369,Restaurant,635 E 47TH ST ,Complaint,SIMPLY SOUPS SALADS & SANDWICHES,60653
LITTLE QUIAPO RESTAURANT,1960761,CHICAGO,IL,Pass,-87.71270678,41.99563178,20160919,Risk 1 (High),(41.99563177556418,2442730,Restaurant,6259 N MCCORMICK RD ,Short Form Complaint,LITTLE QUIAPO RESTAURANT,60659
MCDONALDS,1950590,CHICAGO,IL,Pass,-87.65514777,41.97628306,20160817,Risk 2 (Medium),(41.97628305591404,11136,Restaurant,5130 N SHERIDAN RD ,Short Form Complaint,KARAVITES REST INC,60640
JIMMY JOHN'S,1960752,CHICAGO,IL,Fail,-87.58831294,41.79508253,20160919,Risk 1 (High),(41.795082532364255,2279570,Restaurant,1519 E 55TH ST ,Canvass,JIMMY JOHN'S STORE # 722,60615
CORRIDOR BREWERY AND PROVISIONS,1960756,CHICAGO,IL,Fail,-87.66410386,41.94484401,20160919,Risk 1 (High),(41.944844005377085,2362719,BREWPUB,3446 N SOUTHPORT AVE FL 1ST,Canvass,CORRIDOR BREWERY AND PROVISIONS,60657
KENTUCTY FRIED CHICKEN,1960751,CHICAGO,IL,Pass,-87.68420498,41.82651854,20160919,Risk 1 (High),(41.826518542923324,2483758,Restaurant,3696 S ARCHER AVE ,License,KENTUCKY FRIED CHICKEN,60609
JELLYBEAN LEARNING CENTER,1960749,CHICAGO,IL,Pass,-87.60528236,41.75980649,20160919,Risk 1 (High),(41.75980648559773,2289930,Daycare (2 - 6 Years),7419 S COTTAGE GROVE AVE ,License,JELLYBEAN LEARNING CENTER VI,60619
JIMMY G'S,1960747,CHICAGO,IL,Pass,-87.7058603,41.87707754,20160919,Risk 1 (High),(41.87707753773826,9154,Restaurant,307 S KEDZIE AVE ,Short Form Complaint,JIMMY G'S,60612
HERB RESTAURANT,1960746,CHICAGO,IL,Pass,-87.66013495,41.98068393,20160919,Risk 1 (High),(41.98068392725561,2156804,Restaurant,5422-5424 N BROADWAY ,Canvass,HERB RESTAURANT,60640
HARPER FOODS,1960873,CHICAGO,IL,Pass w/ Conditions,-87.58953263,41.79141057,20160919,Risk 3 (Low),(41.79141056942301,2405501,Grocery Store,1455 E 57TH ST ,Canvass,HARPER FOODS,60637
CENTER FOR SENIORS,1960701,CHICAGO,IL,Pass,-87.70889,41.97824139,20160919,Risk 1 (High),(41.97824139444383,1847484,SENIOR DAY CARE,5320 N KEDZIE AVE ,Canvass,CENTER FOR SENIORS,60625
STARBUCKS,1951242,CHICAGO,IL,Pass,-87.624407,41.88754294,20160919,Risk 2 (Medium),(41.88754294139151,2477157,Restaurant,333 N MICHIGAN AVE ,License Re-Inspection,STARBUCKS COFFEE # 28867,60601
#1 CHOP SUEY,1960742,CHICAGO,IL,Pass,-87.73576333,41.95344345,20160919,Risk 1 (High),(41.953443449987795,1970042,Restaurant,4307 W IRVING PARK RD ,Complaint,#1 CHOP SUEY,60641
MONTESSORI GIFTED PREP LLC.,1960734,CHICAGO,IL,Fail,-87.68418275,41.96850906,20160919,Risk 1 (High),(41.96850906331291,2405576,Children's Services Facility,4754 N LEAVITT ST ,Canvass,MONTESSORI GIFTED PREP LLC.,60625
BIG TOP RESTAURANT,1960728,CHICAGO,IL,Pass,-87.78699375,41.97612328,20160919,Risk 1 (High),(41.976123282812146,3752,Restaurant,6348 W HIGGINS AVE ,Complaint,BIG TOP RESTAURANT,60630
MARISCOS EL KORA,1960727,CHICAGO,IL,Fail,-87.73474014,41.79984493,20160919,Risk 1 (High),(41.79984493066714,2488409,Restaurant,5207-5209 S ARCHER AVE ,License,MARISCOS EL KORA,60632
SERBIAN VILLAGE BAR & GRILL,1960735,CHICAGO,IL,Pass,-87.70732758,41.9540343,20160919,Risk 1 (High),(41.954034303601645,1821836,Restaurant,3142-3144 W IRVING PARK RD ,Canvass,MARKOVIC ENTERTAINMENT PRODUCTION,60618
WAFFLES,1960723,CHICAGO,IL,Pass,-87.62422573,41.86400154,20160919,Risk 1 (High),(41.864001543549804,2488717,Restaurant,1400 S MICHIGAN AVE ,License,WAFFLES CHICAGO,60605
Peace & Ed. Coalition Second Chance High School,1955241,CHICAGO,IL,Pass,,,20160919,Risk 2 (Medium),,67021,School,5114 S Elizabeth (1232W) ST ,Canvass,Peace & Ed. Coalition(SINCLAIR),60609
LITTLE PEOPEL LEARNING,1960722,CHICAGO,IL,Fail,-87.59661167,41.79176183,20160919,Risk 1 (High),(41.791761831643065,2215608,Children's Services Facility,5650 S WOODLAWN AVE ,Canvass,LITTLE PEOPLE LEARNING,60637
PISYANG SNACKS,1960915,CHICAGO,IL,No Entry,-87.72401406,41.96110329,20160919,Risk 1 (High),(41.96110329435208,2397503,Bakery,3824 W MONTROSE AVE ,Canvass,PISYANG SNACKS,60618
COOPER'S,1960720,CHICAGO,IL,Pass,-87.66025188,41.93992587,20160919,Risk 1 (High),(41.93992587298262,1301621,Restaurant,1232 W BELMONT AVE ,Canvass,COOPER'S,60657
RUBY'S FAST FOOD,1960914,CHICAGO,IL,No Entry,-87.72216037,41.9611282,20160919,Risk 1 (High),(41.96112819802538,54030,Restaurant,3740 W MONTROSE AVE ,Canvass,RUBY'S FAST FOOD,60618
JELLYBEAN LEARNING CENTER,1960715,CHICAGO,IL,Pass,-87.60528823,41.76003325,20160919,Risk 1 (High),(41.7600332477471,2289932,Daycare Above and Under 2 Years,7411 S COTTAGE GROVE AVE ,License,JELLYBEAN LEARNING CENTER VI,60619
MCDONALD'S  (T1-C10),1960711,CHICAGO,IL,Pass,-87.91442844,42.0085364,20160919,Risk 1 (High),(42.008536400868735,2013208,Restaurant,11601 W TOUHY AVE ,Canvass Re-Inspection,McDonald's,60666
SUNNYSIDE CENTER,1960716,CHICAGO,IL,Fail,-87.67768911,41.96333911,20160919,Risk 1 (High),(41.96333910684637,2215926,Daycare (Under 2 Years),4500 N WINCHESTER AVE ,Canvass,SUNNYSIDE CENTER,60640
WINDY CITY INN,1960902,CHICAGO,IL,No Entry,-87.6858102,41.95394237,20160919,Risk 2 (Medium),(41.95394237168946,47870,Restaurant,2255-2257 W IRVING PARK RD ,Canvass,WINDY CITY,60618
TAVERN ON LITTLEFORT,1960901,CHICAGO,IL,No Entry,-87.68075734,41.95677163,20160919,Risk 1 (High),(41.95677163177934,1247262,Restaurant,4128 N LINCOLN AVE ,Canvass,TAVERN ON LITTLEFORT,60618
BURGER KING,1953517,CHICAGO,IL,Pass,-87.66338691,41.92510715,20160831,Risk 2 (Medium),(41.92510714850457,2368974,Restaurant,1401 W FULLERTON AVE ,Complaint,BURGER KING #1455,60614
BLUELIGHT,1960709,CHICAGO,IL,Pass,-87.68781207,41.94098081,20160919,Risk 3 (Low),(41.94098081229154,1817238,Restaurant,3251 N WESTERN AVE ,Canvass,BLUELIGHT,60618
ST. ROBERT BELLARMINE,1960704,CHICAGO,IL,Pass,-87.77868958,41.96486566,20160919,Risk 1 (High),(41.96486565617353,2102640,School,6036 W EASTWOOD ,Canvass,ST. ROBERT BELLARMINE,60630
INSOMNIA COOKIES,1960697,CHICAGO,IL,Pass,-87.59951365,41.79492433,20160919,Risk 2 (Medium),(41.794924327756654,2483490,Restaurant,1105 E 55TH ST ,License Re-Inspection,INSOMNIA COOKIES,60615
CHINA WOK,1960695,CHICAGO,IL,Not Ready,-87.6752214,41.83050042,20160916,Risk 1 (High),(41.83050041795062,2488771,Restaurant,1958 W 35TH ST ,License,CHINA WOK,60609
United Employee Cafeteria (T1 C LL),1960694,CHICAGO,IL,Fail,-87.91442844,42.0085364,20160916,Risk 1 (High),(42.008536400868735,1974743,Restaurant,11601 W TOUHY AVE ,Canvass Re-Inspection,ARAMARK AT UNITED AIRLINES,60666
Temple Bar,1960693,CHICAGO,IL,No Entry,-87.66838427,41.93609763,20160916,Risk 1 (High),(41.93609762657588,40374,Restaurant,3001 N ASHLAND AVE ,Canvass,THE TEMPLE BAR,60657
HOE TOY CHOP SUEY,1960690,CHICAGO,IL,Pass,-87.58510297,41.73878213,20160916,Risk 1 (High),(41.738782134570904,2432140,Restaurant,8559 S STONY ISLAND AVE ,Complaint,HOE TOY CHOP SUEY,60617
Q-TINE,1960689,CHICAGO,IL,Pass w/ Conditions,-87.69856983,41.92379232,20160916,Risk 1 (High),(41.92379231815833,2327553,Restaurant,2339 N MILWAUKEE AVE ,Short Form Complaint,Q-TINE,60647
CHICAGO PALM INVESTMENTS INC.,1960688,CHICAGO,IL,Pass,-87.70133537,41.98693345,20160916,Risk 1 (High),(41.9869334505583,2488937,Restaurant,5801 N LINCOLN AVE ,License,CHICAGO PALM INVESTMENTS INC.,60659
ELPICOSITO JIBARO,1960684,CHICAGO,IL,Pass,-87.70920976,41.96855298,20160916,Risk 1 (High),(41.968552976401575,2362721,Restaurant,3216 W LAWRENCE AVE ,Canvass,EL PICOSITO JIBARO INC.,60625
GIORDANO'S ANDERSONVILLE,1960686,CHICAGO,IL,Pass,-87.66826979,41.97643833,20160916,Risk 1 (High),(41.97643832999681,2359565,Restaurant,5207 N CLARK ST ,Canvass,GIORDANO'S ANDERSONVILLE,60640
NINVEH CAFE,1960680,CHICAGO,IL,Out of Business,-87.70133537,41.98693345,20160916,Risk 1 (High),(41.9869334505583,2385624,Restaurant,5801 N LINCOLN AVE ,Canvass,NINVEH CAFE,60659
WHITE CASTLE #27,1955240,CHICAGO,IL,Pass,-87.58656543,41.75160323,20160916,Risk 2 (Medium),(41.75160322593156,28477,Restaurant,1550 E 79TH ST ,Canvass,WHITE CASTLE #27,60619
POPEYES FAMOUS FRIED CHICKEN,1960682,CHICAGO,IL,Pass,-87.68662183,41.88263294,20160916,Risk 1 (High),(41.88263293865735,14897,Restaurant,50 N WESTERN AVE ,Complaint Re-Inspection,POPEYES FAMOUS FRIED CHICKEN,60612
SUBWAY 34028,1746306,CHICAGO,IL,Pass,-87.64443871,41.79442405,20160916,Risk 1 (High),(41.794424047248626,2304675,Restaurant,742 W GARFIELD BLVD ,Complaint,SUBWAY 34028,60609
WOLFGANG PUCK EXPRESS (T3 K12),1960675,CHICAGO,IL,Pass,-87.91442844,42.0085364,20160916,Risk 1 (High),(42.008536400868735,34199,Restaurant,11601 W TOUHY AVE ,Canvass,WOLFGANG EXPRESS,60666
WABISABI,1960672,CHICAGO,IL,Pass w/ Conditions,-87.70858321,41.96728302,20160916,Risk 1 (High),(41.96728302315077,2423740,Restaurant,4720 N KEDZIE AVE ,Canvass,WABISABI,60625
NORTH SHORE BAKERY,1950601,CHICAGO,IL,Fail,-87.70295261,42.01188769,20160817,Risk 2 (Medium),(42.0118876875475,1819196,Bakery,2919-2921 W TOUHY AVE ,Canvass,NORTH SHORE BAKERY,60645
BOW TRUSS COFFEE ROASTERS,1960668,CHICAGO,IL,Pass,-87.67868133,41.94332409,20160916,Risk 2 (Medium),(41.943324086616215,2432472,Restaurant,2004 W ROSCOE ST ,Canvass,BOW TRUSS COFFEE ROASTERS,60618
SHINJU SUSHI JAPANESE RESTAURANT LLC,1960662,CHICAGO,IL,Pass,-87.59208771,41.79939926,20160916,Risk 1 (High),(41.79939926211286,1927671,Restaurant,1375 E 53RD ST ,Complaint Re-Inspection,SHINJU SUSHI JAPANESE RESTAURANT LLC,60615
BRIOCHE DOREE CAFE BAKERY (T3 K15 FOOD COURT),1960664,CHICAGO,IL,Pass,-87.91442844,42.0085364,20160916,Risk 1 (High),(42.008536400868735,34242,Restaurant,11601 W TOUHY AVE ,Canvass,BRIOCHE DOREE T-3,60666
CERMAK PRODUCE,1960656,CHICAGO,IL,Pass,-87.67584785,41.8313499,20160916,Risk 1 (High),(41.83134990007708,1649774,Grocery Store,3435 S ARCHER AVE ,Complaint,CERMAK PRODUCE #5 LTD,60608
THREE STARS FOOD MARKET,1960658,CHICAGO,IL,Pass,-87.7064122,41.88590557,20160916,Risk 2 (Medium),(41.885905570213964,1646198,Grocery Store,252-54 N KEDZIE AVE ,Complaint Re-Inspection,THREE STARS FOOD MARKET,60612
OLD CROW SMOKEHOUSE,1960650,CHICAGO,IL,Pass w/ Conditions,-87.65551181,41.94574252,20160916,Risk 1 (High),(41.945742521799225,2405150,Restaurant,3506-3514 N CLARK ST ,Complaint,OLD CROW SMOKEHOUSE,60657
VICEROY OF INDIA,1960659,CHICAGO,IL,Fail,-87.69306266,41.99778495,20160916,Risk 1 (High),(41.997784946537436,2404574,Restaurant,2516-2520 W DEVON AVE ,Complaint,VICEROY OF INDIA/SAGAR,60659
CORNER FOOD,1960648,CHICAGO,IL,Pass,-87.69671,41.90201943,20160916,Risk 2 (Medium),(41.90201943180487,2487401,Grocery Store,1133 N CALIFORNIA AVE ,License Re-Inspection,CORNER FOOD INC,60622
WALGREENS #02387,1960647,CHICAGO,IL,Pass,-87.58447691,41.73703983,20160916,Risk 3 (Low),(41.73703983105779,1740300,Grocery Store,1616 E 87TH ST ,Complaint,WALGREENS #02387,60617
Hirsch Metro. (H/S),1955239,CHICAGO,IL,Pass,-87.60176452,41.7537612,20160916,Risk 1 (High),(41.75376120204399,47031,School,7740 S INGLESIDE ,Canvass,Hirsch Metro. (H/S),60619
LUSH WINE & SPIRITS,1960644,CHICAGO,IL,Out of Business,-87.68457606,41.94325126,20160916,Risk 3 (Low),(41.943251259237634,1695344,RETAIL WINE/WINE BAR,2232 W ROSCOE ST ,Canvass,LUSH WINE & SPIRITS,60618
THAI 'LINDA' CAFE',1960643,CHICAGO,IL,Pass,-87.67943319,41.94331639,20160916,Risk 1 (High),(41.943316391093994,77033,Restaurant,2022 W ROSCOE ST ,Canvass,THAI 'LINDA' CAFE',60618
JEWEL FOOD STORE,1960641,CHICAGO,IL,Pass w/ Conditions,-87.66865163,41.98218988,20160916,Risk 1 (High),(41.98218988461361,2334637,Grocery Store,5516 N CLARK ST ,Canvass,AFC Sushi @ Jewel Osco #3407,60640
AU BON PAIN,1960639,CHICAGO,IL,Pass,-87.60476984,41.78831126,20160916,Risk 1 (High),(41.788311258410836,1980004,Restaurant,5841 S MARYLAND AVE ,Canvass,AU BON PAIN,60637
ALL ABOARD LEARNING EXPRESS,1960638,CHICAGO,IL,Pass,-87.72932153,41.99544665,20160916,Risk 1 (High),(41.995446645749816,2215589,Daycare (2 - 6 Years),4008 W ROSEMONT AVE ,Canvass,ALL ABOARD LEARNING EXPRESS,60646
B & A SUPERSUB INC,1960634,CHICAGO,IL,Pass,-87.72437268,41.86607379,20160916,Risk 2 (Medium),(41.86607379348164,1122312,Restaurant,3943 W ROOSEVELT RD ,Short Form Complaint,B & A SUPERSUB INC,60624
LUSH WINE & SPIRITS,1960631,CHICAGO,IL,Out of Business,-87.68457606,41.94325126,20160916,Risk 2 (Medium),(41.943251259237634,1695340,RETAIL WINE/WINE BAR,2232 W ROSCOE ST ,Canvass,LUSH WINE & SPIRITS,60618
2 TWENTY 2 TAVERN,1960630,CHICAGO,IL,Fail,-87.62625212,41.87894998,20160916,Risk 3 (Low),(41.87894997697085,2428956,TAVERN,222 S WABASH AVE ,License,2 TWENTY 2 TAVERN,60604
JJ FISH & GROCERY,1960637,CHICAGO,IL,Fail,-87.69296412,41.76443109,20160916,Risk 2 (Medium),(41.764431087792644,2341091,RESTAURANT/GROCERY STORE,2759 W 71ST ST ,Complaint,JJ FISH & GROCERY INC.,60629
,1746305,CHICAGO,IL,Pass,-87.64970295,41.77978407,20160916,Risk 2 (Medium),(41.779784072879195,2488445,Restaurant,1000 W 63RD ST ,License Re-Inspection,LANA'S RESTAURANT & GROCERY INC.,60621
ISLA PILIPINA RESTAURANT,1960629,CHICAGO,IL,Fail,-87.69140891,41.96848269,20160916,Risk 1 (High),(41.96848268957195,1445451,Restaurant,2501 W LAWRENCE AVE ,Canvass,ISLA PILIPINA RESTAURANT,60625
STANLEY'S,1960626,CHICAGO,IL,Pass,-87.66223523,41.91057467,20160916,Risk 2 (Medium),(41.910574669649414,15042,Grocery Store,1558 N ELSTON AVE ,Complaint Re-Inspection,STANLEY'S,60622
PARK PACKING,1955224,CHICAGO,IL,Pass,-87.66423536,41.81915944,20160909,Risk 2 (Medium),(41.819159444267484,2008956,Wholesale,1544 W 41ST ST ,Canvass,PARK PACKING OF CHICAGO,60609
SPOON THAI CUISINE,1960620,CHICAGO,IL,Fail,-87.68894969,41.96517023,20160916,Risk 1 (High),(41.96517022664056,2152343,Restaurant,4608 N WESTERN AVE ,Canvass,SPOON THAI,60625
ELIZABETH  RESTAURANT,1960619,CHICAGO,IL,No Entry,-87.68879319,41.96969326,20160916,Risk 1 (High),(41.969693264065235,2049249,Restaurant,4835 N WESTERN AVE ,Canvass,ELIZABETH  RESTAURANT,60625
B J'S MARKET (T3 K15 FOOD COURT),1960621,CHICAGO,IL,Pass,-87.91442844,42.0085364,20160916,Risk 1 (High),(42.008536400868735,34201,Restaurant,11601 W TOUHY AVE ,Canvass,B J'S  MARKET,60666
PERRYS FOOD STORE,1960616,CHICAGO,IL,Fail,-87.62517222,41.67788632,20160916,Risk 2 (Medium),(41.677886324206774,1447481,Grocery Store,101-103 W 119TH ST ,Complaint,PERRYS FOOD STORE,60628
MARIANO'S,1960611,CHICAGO,IL,Fail,-87.64645269,41.90856014,20160916,Risk 1 (High),(41.90856013536843,2391457,Grocery Store,1500 N CLYBOURN ST ,Complaint,MARIANO'S #8534,60610
GRANVILLE FOOD MART,1948947,CHICAGO,IL,Fail,-87.65871453,41.9946812,20160808,Risk 3 (Low),(41.9946812023239,2359784,CONVENIENCE,1108 W GRANVILLE AVE ,Canvass,GRANVILLE FOOD MART INC.,60660
ANDY'S DELI,1960606,CHICAGO,IL,Pass w/ Conditions,-87.77217917,41.98033761,20160916,Risk 1 (High),(41.980337613209805,1351717,Grocery Store,5442 N MILWAUKEE AVE ,Complaint,ANDY'S DELI,60630
BUFFALO WILD WINGS,1960604,CHICAGO,IL,Fail,-87.63989978,41.86964015,20160916,Risk 1 (High),(41.86964015211643,2359796,Restaurant,513 W TAYLOR ST ,Short Form Complaint,BUFFALO WILD WINGS,60607
BIRRIERIA JALISCO,1960603,CHICAGO,IL,Pass,-87.68669535,41.80851121,20160916,Risk 1 (High),(41.808511205858146,1772607,Restaurant,2462 W 47TH ST ,Complaint,BIRRIERIA JALISCO,60632
VICTUS ARS,1960609,CHICAGO,IL,Pass,-87.69761992,41.93734969,20160916,Risk 2 (Medium),(41.93734968535169,2340976,Bakery,3053 N CALIFORNIA AVE ,Canvass,VICTUS ARS,60618
LA MICHOACANA,1960600,CHICAGO,IL,Pass,-87.67481402,41.80839901,20160916,Risk 2 (Medium),(41.80839900675234,2476172,Restaurant,2001 W 47TH ST ,License Re-Inspection,LA MICHOACANA,60609
NEXT DOOR CAFE,1960598,CHICAGO,IL,Fail,-87.64588284,41.93267185,20160916,Risk 2 (Medium),(41.93267184507835,2108605,Restaurant,659 W DIVERSEY PKWY ,Short Form Complaint,NEXT DOOR CAFE,60614
VELVET TACO,1953515,CHICAGO,IL,Pass,-87.6285014,41.90212753,20160831,Risk 1 (High),(41.90212753255816,2299114,Restaurant,1110 N STATE ST ,Canvass Re-Inspection,VELVET TACO,60610
CICS AVALON PARK/SOUTH SHORE,1955238,CHICAGO,IL,Pass,-87.58788286,41.74315245,20160916,Risk 1 (High),(41.7431524490724,2255640,School,1501 E 83RD PL ,Canvass,CICS AVALON PARK/SOUTH SHORE,60619
FOOD 4 LESS MIDWEST # 567,1960594,CHICAGO,IL,Pass,-87.74695994,41.90950515,20160916,Risk 1 (High),(41.909505147743424,1884255,Grocery Store,4821 W NORTH AVE ,Complaint,FOOD 4 LESS MIDWEST # 567,60639
A-ZMALL WORLD CHILD DEVELOPMENT CENTER,1960596,CHICAGO,IL,Pass,-87.717055,41.84346389,20160916,Risk 1 (High),(41.84346389123191,2215954,Daycare (2 - 6 Years),2629 S LAWNDALE AVE ,License Re-Inspection,A-ZMALL WORLD CHILD DEVELOPMENT CENTER,60623
HARRY S TRUMAN COLLEGE,1960589,CHICAGO,IL,Pass,-87.65923798,41.96526739,20160916,Risk 1 (High),(41.965267394985155,2419090,Restaurant,1145 W WILSON AVE ,Canvass,HARRY S TRUMAN COLLEGE,60640
ROCKS NORTHCENTER,1960906,CHICAGO,IL,No Entry,-87.68086072,41.95692025,20160916,Risk 1 (High),(41.95692025391941,1998392,Restaurant,4138-4142 N LINCOLN ,Canvass,ROCKS NORTHCENTER,60618
SUBWAY,1960590,CHICAGO,IL,Pass w/ Conditions,-87.73343294,41.98996531,20160916,Risk 1 (High),(41.98996531393315,2163012,Restaurant,4157 W Peterson AVE ,Short Form Complaint,SUBWAY,60646
BEEF SHACK,1960539,CHICAGO,IL,Pass,-87.65639469,41.93998541,20160915,Risk 1 (High),(41.93998540683519,2397851,Restaurant,1056 W BELMONT AVE BLDG ,Complaint Re-Inspection,BEEF SHACK,60657
GRAND CITGO/ MR. SUB / DUNKIN DONUTS,1960588,CHICAGO,IL,Pass w/ Conditions,-87.66697976,41.89086776,20160916,Risk 2 (Medium),(41.89086776499436,1330101,Restaurant,1535 W GRAND AVE ,Complaint Re-Inspection,GRAND CITGO/ MR. SUB / DUNKIN DONUTS,60642
MI LINDO SAN JOSE,1960587,CHICAGO,IL,Fail,-87.71459185,41.89536705,20160916,Risk 3 (Low),(41.895367054321824,2488132,Grocery Store,3519 W CHICAGO AVE ,License,MI LINDO SAN JOSE,60651
KRUNGTHEP THAI CUISINE,1960582,CHICAGO,IL,Pass,-87.64912449,41.94014624,20160916,Risk 1 (High),(41.940146235765575,2340786,Restaurant,3205 N HALSTED ST ,Complaint Re-Inspection,KRUNGTHEP THAI CUISINE,60657
INSOMNIA COOKIES,1960581,CHICAGO,IL,Fail,-87.59951365,41.79492433,20160916,Risk 2 (Medium),(41.794924327756654,2483490,Restaurant,1105 E 55TH ST ,License,INSOMNIA COOKIES,60615
CERMAK PRODUCE,1960577,CHICAGO,IL,Pass,-87.70789805,41.84436673,20160916,Risk 1 (High),(41.84436672874595,1770942,Grocery Store,3311 W 26TH ST ,Short Form Complaint,CERMAK PRODUCE,60623
LINCOLN SQUARE MONTESSORI SCHOOL,1960576,CHICAGO,IL,Pass,-87.70328936,41.96838683,20160916,Risk 1 (High),(41.96838683192195,2216100,Children's Services Facility,2953 W LAWRENCE AVE ,Canvass,LINCOLN SQUARE MONTESSORI SCHOOL,60625
DUNKIN DONUTS/BASKIN ROBBINS,1960578,CHICAGO,IL,Pass,-87.64906775,41.93260888,20160916,Risk 2 (Medium),(41.93260888067069,1579668,Restaurant,801 W DIVERSEY PKWY ,Complaint Re-Inspection,DUNKIN BASKINS TOGOS,60614
STARBUCKS,1965642,CHICAGO,IL,No Entry,-87.64514243,41.77985559,20160916,Risk 2 (Medium),(41.77985559084816,2483955,Restaurant,806 W 63 ST ,License,STARBUCKS COFFEE #27892,60621
SUBWAY,1960580,CHICAGO,IL,Pass,-87.69830277,41.95408332,20160916,Risk 1 (High),(41.954083317714684,2488811,Restaurant,2800 W IRVING PARK RD ,License,SUBWAY,60618
LONE STAR BBQ BAR,1953472,CHICAGO,IL,Fail,-87.80700926,41.94124214,20160830,Risk 1 (High),(41.941242141901604,2428621,Restaurant,3350 N HARLEM AVE ,Complaint,LONE STAR BBQ BAR,60634
FRANCES' REST & DELI INC,1770703,CHICAGO,IL,Fail,-87.64271729,41.92909093,20160512,Risk 1 (High),(41.92909092538381,17961,Restaurant,2552-2554 N CLARK ST ,Canvass Re-Inspection,FRANCES' REST & DELI INC,60614
CORNER FOOD,1960572,CHICAGO,IL,Fail,-87.69671,41.90201943,20160916,Risk 2 (Medium),(41.90201943180487,2487401,Grocery Store,1133 N CALIFORNIA AVE ,License Re-Inspection,CORNER FOOD INC,60622
GIO'S SPORTS BAR,1936221,CHICAGO,IL,Pass,-87.67908666,41.97042959,20160916,Risk 1 (High),(41.97042959055041,1145075,Restaurant,4857 N DAMEN AVE ,Canvass,GIO'S SPORTS BAR,60625
SUBWAY SANDWICHES,1960570,CHICAGO,IL,Out of Business,-87.69830277,41.95408332,20160916,Risk 1 (High),(41.954083317714684,1577135,Restaurant,2800-B W IRVING PARK RD ,Canvass,SUBWAY SANDWICHES,60618
UMAMI BURGER,1960571,CHICAGO,IL,Pass,-87.65151814,41.88422708,20160916,Risk 1 (High),(41.88422707893843,2437275,Restaurant,945 W RANDOLPH ST ,Complaint Re-Inspection,UMAMI BURGER,60607
THE EMPANADA BIKE,1960567,CHICAGO,IL,Not Ready,-87.67710953,41.95203002,20160915,Risk 3 (Low),(41.952030017774646,2476191,MOBILPREPARED FOOD VENDOR,3855 N LINCOLN AVE ,License,THE EMPANADA BIKE,60613
VIDA EN EXCELENCIA,1955237,CHICAGO,IL,No Entry,-87.66901037,41.80867512,20160915,Risk 2 (Medium),(41.808675123222294,2270454,Grocery Store,1740 W 47TH ST ,Canvass,VIDA EN EXCELENCIA,60609
