akaname,inspectionid,city,state,results,longitude,latitude,inspectiondate,risk,location,license,facilitytype,address,inspectiontype,dbaname,zip
north pond cafe,1953520,chicago,il,pass,-87.63640314,41.92990487,20160831,risk 1 (high),(41.929904873573534,55866,restaurant,2610 n cannon dr,canvass re-inspection,north pond cafe,60614
corner bakery cafe,1953519,chicago,il,pass w/ conditions,-87.63652387,41.87856015,20160831,risk 1 (high),(41.87856015362371,1649324,restaurant,233 s wacker dr,canvass,corner bakery cafe,60606
taylor tots day care ltd,1953512,chicago,il,pass,-87.66233541,41.86921925,20160831,risk 1 (high),(41.869219246745565,2304769,daycare above and under 2 years,1417 w taylor st,license re-inspection,taylor  tots day care ltd.,60607
mcdonalds  (t1  b11),1954060,chicago,il,not ready,-87.91442844,42.0085364,20160830,risk 2 (medium),(42.008536400868735,2487934,restaurant,11601 w touhy ave,license,mcdonalds # 17277,60666
,1951218,chicago,il,not ready,-87.62641329,41.8853537,20160830,risk 2 (medium),(41.885353703982936,2469449,restaurant,180 n wabash ave,license,bean & leaf,60601
mcdonalds  (t2   e/f),1953507,chicago,il,not ready,-87.91442844,42.0085364,20160830,risk 1 (high),(42.008536400868735,2487933,restaurant,11601 w touhy ave,license,mcdonalds,60666
mcdonalds,1953503,chicago,il,fail,-87.91442844,42.0085364,20160830,risk 2 (medium),(42.008536400868735,2487932,,11601 w touhy ave,license,mcdonalds # 12785,60666
trader joes,1953505,chicago,il,pass,-87.67567113,41.94996117,20160830,risk 2 (medium),(41.94996117114196,1991799,grocery store,3745 n lincoln ave,short form complaint,trader joes,60613
,1953502,chicago,il,fail,-87.64820624,41.91348383,20160830,risk 1 (high),(41.9134838258703,1544705,restaurant,1723 n halsted st,canvass,alinea restaurant llc,60614
spa/19th floor,1953495,chicago,il,pass,-87.62498814,41.89583964,20160830,risk 2 (medium),(41.89583963820686,1167940,restaurant,108 e superior st,canvass,peninsula chicago,60611
amorino,1953492,chicago,il,fail,-87.62838013,41.89790873,20160830,risk 2 (medium),(41.897908727909495,2358765,restaurant,838 n state st,canvass,amorino chicago,60610
dunkin donuts,1938047,chicago,il,pass,-87.6263769,41.867537,20160705,risk 2 (medium),(41.86753699554413,2385615,restaurant,22 e roosevelt rd,canvass,dunkin donuts,60605
el vaso loko,1953496,chicago,il,fail,-87.71927304,41.8442103,20160830,risk 2 (medium),(41.84421029865624,2487810,restaurant,3751 w 26th st,license,el vaso loko,60623
kamayan express,1953490,chicago,il,no entry,-87.67924581,41.97571673,20160830,risk 1 (high),(41.97571673235794,2412016,restaurant,5131 n damen ave,canvass,kamayan express,60625
jimmy johns,1953488,chicago,il,fail,-87.62753416,41.87831268,20160830,risk 1 (high),(41.8783126806928,1916361,restaurant,247 s state st,canvass,jimmy johns-jackson,60604
yoshis cafe,1953487,chicago,il,no entry,-87.64917657,41.94169634,20160830,risk 1 (high),(41.94169634075317,2115,restaurant,3257 n halsted st,canvass,yoshis cafe,60657
mcdonalds  (t2   e/f),1953491,chicago,il,fail,-87.91442844,42.0085364,20160830,risk 1 (high),(42.008536400868735,2009092,restaurant,11601 w touhy ave,canvass,mcdonalds,60666
le paris bakery,1953489,chicago,il,pass w/ conditions,-87.7233278,41.79398242,20160830,risk 1 (high),(41.79398241686428,1095974,restaurant,5434 s pulaski rd,canvass,le paris bakery no 2 inc,60632
trattoria isabella,1953486,chicago,il,pass,-87.64264392,41.88629367,20160830,risk 1 (high),(41.88629366786716,1842843,restaurant,217 n jefferson st,complaint,trattoria isabella,60661
fresh market place,1953479,chicago,il,not ready,-87.68766601,41.92093215,20160830,risk 1 (high),(41.92093214697868,2359416,grocery store,2134 n western ave,license,fresh market place,60647
healthy organic kids,1953480,chicago,il,pass,-87.65200459,41.89102615,20160830,risk 1 (high),(41.89102614763669,2463265,private school,955 w grand ave,license re-inspection,healthy organic kids,60642
mcdonalds (t5/arrival),1953498,chicago,il,fail,-87.91442844,42.0085364,20160830,risk 2 (medium),(42.008536400868735,2016729,restaurant,11601 w touhy ave,canvass,mcdonalds,60666
ashland addison shell,1953483,chicago,il,pass,-87.6690073,41.94707937,20160830,risk 3 (low),(41.94707937016383,1572875,gas,3600 n ashland ave,canvass re-inspection,ashland addison shell,60613
evan street,1953474,chicago,il,not ready,-87.66454238,41.85771387,20160830,risk 3 (low),(41.8577138739859,2326908,liquor,1519 w 18th st,license,evan street llc,60608
jade court chinese restaurant,1953476,chicago,il,pass,-87.65695845,41.87346118,20160830,risk 1 (high),(41.87346117549111,2469259,restaurant,626-628 s racine ave,license,jade court chinese restaurant,60607
sheesh mahal dhaba,1953478,chicago,il,fail,-87.69339032,41.99746728,20160830,risk 1 (high),(41.99746727865879,1817165,restaurant,6355 n maplewood ave,canvass,sheesh mahal dhaba,60659
cochiaros pizza #2,1953471,chicago,il,pass,-87.74552934,41.92414063,20160830,risk 1 (high),(41.92414063497689,1044752,restaurant,4741 w fullerton ave,complaint,cochiaros pizza #2,60639
hot woks cool sushi,1953473,chicago,il,fail,-87.62449175,41.88137106,20160830,risk 1 (high),(41.88137106153754,64038,restaurant,30 s michigan ave,canvass,hot woks cool sushi,60603
popeyes,1953485,chicago,il,fail,-87.74311347,41.80064255,20160830,risk 1 (high),(41.800642553587245,2341289,restaurant,5050 s cicero ave,canvass,popeyes,60638
fast burrito,1953465,chicago,il,pass,-87.71355988,41.95395722,20160830,risk 1 (high),(41.953957216483,2308071,restaurant,3414 w irving park rd,short form complaint,fast burrito,60618
subway,1953464,chicago,il,fail,-87.63402203,41.87800606,20160830,risk 1 (high),(41.87800606262711,1892933,restaurant,209 w jackson blvd,short form complaint,subway,60606
food for thought,1951217,chicago,il,not ready,-87.62327256,41.88458837,20160830,risk 1 (high),(41.884588371969095,2469170,grocery store,130 e randolph st,license,tbd,60601
public chicago hotel,1953463,chicago,il,out of business,-87.62859787,41.90586939,20160830,risk 1 (high),(41.90586939179599,2022350,restaurant,1301-1309 n state pkwy,canvass,pump room,60610
2 twenty 2 tavern,1953462,chicago,il,not ready,-87.62625212,41.87894998,20160830,risk 3 (low),(41.87894997697085,2428956,tavern,222 s wabash ave,license,2 twenty 2 tavern,60604
taverna 750,1752257,chicago,il,pass w/ conditions,-87.64904996,41.94555069,20160830,risk 1 (high),(41.94555069309664,21439,restaurant,750 w cornelia ave,canvass re-inspection,taverna 750,60657
salvatores,1953460,chicago,il,pass,-87.64226228,41.92665028,20160830,risk 1 (high),(41.92665028272765,2760,restaurant,525 w arlington pl,canvass,salvatores,60614
river roast,1953459,chicago,il,pass,-87.63235953,41.88792073,20160830,risk 1 (high),(41.887920731996346,1647557,restaurant,315 n la salle dr,complaint,river roast,60610
del sul bar & grill limited,1953458,chicago,il,pass,-87.6454403,41.8107813,20160830,risk 3 (low),(41.8107813033463,2432211,restaurant,4559 s halsted st,license,del sul bar & grill limited,60609
northdown,1953457,chicago,il,pass,-87.66961181,41.94081095,20160830,risk 1 (high),(41.94081095314402,2069995,restaurant,3244 n lincoln ave,canvass,northdown cafe & taproom,60657
2 twenty 2 tavern,1953456,chicago,il,not ready,-87.62625212,41.87894998,20160830,risk 3 (low),(41.87894997697085,2428958,tavern,222 s wabash ave,license,2 twenty 2 tavern,60604
food for thought,1951216,chicago,il,fail,-87.62327256,41.88458837,20160830,risk 1 (high),(41.884588371969095,2469169,grocery store,130 e randolph st,license,tbd,60601
mcdonalds  (t2  e/f),1954007,chicago,il,not ready,-87.91442844,42.0085364,20160830,risk 1 (high),(42.008536400868735,2487933,restaurant,11601 w touhy ave,license,mcdonalds # 22821,60666
public chicago hotel,1953454,chicago,il,pass,-87.62859787,41.90586939,20160830,risk 3 (low),(41.90586939179599,2483039,restaurant,1301-1309 n state pkwy,license,public chicago hotel and pump room,60610
public chicago hotel,1953452,chicago,il,pass,-87.62859787,41.90586939,20160830,risk 3 (low),(41.90586939179599,2482994,restaurant,1301-1309 n state pkwy,license,public chicago hotel and pump room,60610
public chicago hotel,1953446,chicago,il,pass,-87.62859787,41.90586939,20160830,risk 3 (low),(41.90586939179599,2482988,restaurant,1301-1309 n state pkwy,license,public chicago hotel and pump room,60610
machetes,1953455,chicago,il,pass,-87.74331283,41.80833422,20160830,risk 1 (high),(41.808334216013385,2374745,restaurant,4636 s cicero ave,canvass,chimilex inc.,60638
shanghai terrace,1953445,chicago,il,pass,-87.62498814,41.89583964,20160830,risk 1 (high),(41.89583963820686,1092373,restaurant,108 e superior st,canvass,peninsula chicago,60611
mcdonalds,1937264,chicago,il,pass,-87.63411766,41.88755591,20160622,risk 2 (medium),(41.88755591037034,1985411,restaurant,300 n wells st,canvass,mcdonalds,60654
el taconzazo,1953453,chicago,il,pass,-87.72318613,41.79916646,20160830,risk 1 (high),(41.79916645659974,2059601,restaurant,5145 s pulaski rd,canvass re-inspection,el taconzazo,60632
tiffanys nutrition club,1953448,chicago,il,fail,-87.71382962,41.74128282,20160830,risk 2 (medium),(41.74128282135388,2470494,restaurant,3645 w 83rd pl,license,tiffanys nutrition club,60652
butterfly sushi bar,1953444,chicago,il,pass w/ conditions,-87.65558049,41.88153575,20160830,risk 1 (high),(41.881535752397575,2074427,restaurant,1131 w madison st,complaint,butterfly sushi bar and thai cuisine on madison st,60607
donalds famous hot dogs,1953438,chicago,il,pass,-87.68541623,41.84941515,20160830,risk 1 (high),(41.84941515284533,1332360,restaurant,2325 s western ave,complaint,donalds famous hot dogs,60608
gallery food express,1953439,chicago,il,pass,-87.62794016,41.69977059,20160830,risk 2 (medium),(41.699770586498296,1474228,grocery store,10701 s wentworth ave,canvass re-inspection,gallery food express inc.,60628
kikka,1953435,chicago,il,pass,-87.58782605,41.80182963,20160830,risk 1 (high),(41.80182963116751,2464925,restaurant,5118 s lake park,canvass,kikka,60615
subway sandwiches,1948927,chicago,il,fail,-87.65993658,41.99444731,20160808,risk 1 (high),(41.994447305068526,1798794,restaurant,1139 w granville ave,canvass,subway sandwiches,60660
jurassic grill,1953436,chicago,il,pass,-87.69986135,42.01242825,20160830,risk 1 (high),(42.012428249747394,2482974,restaurant,7210 n california ave,license,jurassic grill,60645
quick bite carry out,1953437,chicago,il,pass,-87.6889953,41.97569146,20160830,risk 2 (medium),(41.975691455170995,20639,restaurant,5155 n western ave,canvass,quick bite carry out,60625
mcdonalds,1953431,chicago,il,not ready,-87.91442844,42.0085364,20160830,risk 2 (medium),(42.008536400868735,2487935,,11601 w touhy ave,license,mcdonalds #  17278,60666
public chicago hotel,1953443,chicago,il,pass,-87.62859787,41.90586939,20160830,risk 1 (high),(41.90586939179599,2482987,restaurant,1301-1309 n state pkwy,license,public chicago hotel and pump room,60610
pierrot gourmet,1953433,chicago,il,pass,-87.62498814,41.89583964,20160830,risk 1 (high),(41.89583963820686,1092376,restaurant,108 e superior st,canvass,peninsula chicago,60611
mcdonalds  (t1-b11),1953432,chicago,il,not ready,-87.91442844,42.0085364,20160830,risk 1 (high),(42.008536400868735,2487934,restaurant,11601 w touhy ave,license,mcdonalds,60666
nepal house,1953429,chicago,il,pass,-87.69482177,41.99753534,20160830,risk 3 (low),(41.99753534020119,2469409,restaurant,2601 w devon ave,license,nepal house- napalese cuisine,60659
whole foods market,1953427,chicago,il,pass w/ conditions,-87.58782605,41.80182963,20160830,risk 1 (high),(41.80182963116751,2368402,grocery store,5118 s lake park,complaint,whole foods market,60615
main kitchen,1953423,chicago,il,pass w/ conditions,-87.62498814,41.89583964,20160830,risk 1 (high),(41.89583963820686,1091966,restaurant,108 e superior st,canvass,peninsula chicago,60611
nepal house,1953426,chicago,il,pass,-87.69482177,41.99753534,20160830,risk 1 (high),(41.99753534020119,2469408,restaurant,2601 w devon ave,license,nepal house- napalese cuisine,60659
frite street,1953424,chicago,il,pass,-87.63325591,41.87679744,20160830,risk 1 (high),(41.876797440785374,2451560,restaurant,400 s financial pl,canvass,frite street,60605
treasure island foods,1953430,chicago,il,pass w/ conditions,-87.64589349,41.94482827,20160830,risk 1 (high),(41.94482826560603,1311,grocery store,3460 n broadway,canvass,treasure island foods,60657
pjs pantry,1953420,chicago,il,pass w/ conditions,-87.64806068,41.95377406,20160830,risk 3 (low),(41.953774064116395,1515326,grocery store,3930 n pine grove ave,canvass,pjs pantry,60613
ryuu asian bbq,1953419,chicago,il,pass,-87.71141818,41.93137064,20160830,risk 1 (high),(41.93137063973293,2458480,restaurant,2766 n milwaukee ave,license,ryuu asian bbq,60647
dunkin donuts/baskin robbins,1953415,chicago,il,pass,-87.68600251,41.86464673,20160830,risk 2 (medium),(41.86464672961594,1473123,restaurant,2401 w ogden ave,short form complaint,dunkin donuts/baskin robbins,60608
sandwiched chicago,1953422,chicago,il,fail,-87.65499361,41.91498953,20160830,risk 1 (high),(41.91498953039437,2487689,restaurant,1863 n clybourn ave,license,sandwiched,60614
taco burrito king,1953250,chicago,il,pass,-87.78920248,41.90920757,20160826,risk 1 (high),(41.90920757341338,1870339,restaurant,6518-6520 w north ave,complaint,taco burrito king,60707
mcdonalds  (t1-c10),1953414,chicago,il,fail,-87.91442844,42.0085364,20160830,risk 1 (high),(42.008536400868735,2013208,restaurant,11601 w touhy ave,canvass,mcdonalds,60666
the priority bar and kitchen,1953416,chicago,il,pass,-87.68926689,41.97501792,20160830,risk 3 (low),(41.975017917226396,2463253,restaurant,5130 n western ave,license,the priority bar and kitchen,60625
el firulete,1953412,chicago,il,fail,-87.68057589,41.90302249,20160830,risk 1 (high),(41.90302248623744,2487925,restaurant,2121 w division st,license,el firulete inc.,60622
ryuu asian bbq,1953411,chicago,il,pass,-87.71141818,41.93137064,20160830,risk 1 (high),(41.93137063973293,2458479,restaurant,2766 n milwaukee ave,license,ryuu asian bbq,60647
go! grocer,1953409,chicago,il,pass,-87.64806068,41.95377406,20160830,risk 3 (low),(41.953774064116395,2464262,grocery store,3930 n pine grove ave,license,go! grocer,60613
sociale and cafe press,1953410,chicago,il,pass,-87.63075578,41.8721644,20160830,risk 1 (high),(41.87216439605228,2386130,restaurant,800 s clark st,canvass,sociale and cafe press,60605
fishermans island,1953407,chicago,il,pass,-87.70585686,41.8677234,20160830,risk 1 (high),(41.867723400173524,2487876,restaurant,1116 s kedzie ave,license,fishermans island,60612
pret a manger,1951215,chicago,il,pass,-87.62802165,41.88342264,20160830,risk 1 (high),(41.88342263701488,2487952,restaurant,108 n state st,license,pret a manger,60602
go! grocer,1953408,chicago,il,pass,-87.64806068,41.95377406,20160830,risk 3 (low),(41.953774064116395,2464259,grocery store,3930 n pine grove ave,license,go! grocer,60613
west lawn foods,1953417,chicago,il,pass,-87.72313003,41.78660841,20160830,risk 1 (high),(41.786608409502335,1591726,grocery store,5838 s pulaski rd,complaint,west lawn foods,60629
manolos tamales,1953401,chicago,il,pass w/ conditions,-87.7034796,41.79595669,20160830,risk 1 (high),(41.79595669469915,1873308,restaurant,5341 s kedzie ave,canvass re-inspection,manolos tamales,60632
family meat market,1953404,chicago,il,pass,-87.72592866,41.88464314,20160830,risk 2 (medium),(41.88464314058556,2262589,grocery store,236 n pulaski rd,complaint re-inspection,family meat market,60624
chicago childrens house,1953400,chicago,il,pass,-87.63558372,41.89466267,20160830,risk 1 (high),(41.894662670242106,2483176,daycare above and under 2 years,233 w huron st,license,chicago childrens house,60654
mcdonalds  (t1-b11),1953402,chicago,il,fail,-87.91442844,42.0085364,20160830,risk 1 (high),(42.008536400868735,2013206,restaurant,11601 w touhy ave,canvass,mcdonalds,60666
albertos pizza,1953399,chicago,il,pass,-87.66481712,42.00803845,20160830,risk 1 (high),(42.00803844718281,6475,restaurant,1326 w morse ave,complaint,albertos pizza,60626
,1953229,chicago,il,out of business,-87.64390459,41.75098985,20160826,risk 3 (low),(41.75098985200617,2196383,grocery store,7855 s halsted st,complaint,five starz food mart company,60620
roscoes tavern,1938222,chicago,il,no entry,-87.64951705,41.94344291,20160621,risk 1 (high),(41.94344291172199,31223,restaurant,3354-3356 n halsted st,canvass,roscoes tavern ltd,60657
soho house,1953398,chicago,il,pass,-87.6484324,41.8835571,20160830,risk 1 (high),(41.883557097965046,2298788,restaurant,113-125 n green st,complaint re-inspection,soho house,60607
the priority bar and kitchen,1953397,chicago,il,pass,-87.68926689,41.97501792,20160830,risk 1 (high),(41.975017917226396,2463252,restaurant,5130 n western ave,license,the priority bar and kitchen,60625
the medici,1953522,chicago,il,pass,-87.59353805,41.79136675,20160830,risk 2 (medium),(41.79136675478766,1248608,restaurant,1331 e 57th st,canvass,the medici,60637
soho house,1953393,chicago,il,pass,-87.6484324,41.8835571,20160830,risk 1 (high),(41.883557097965046,2307956,restaurant,113-125 n green st,complaint re-inspection,soho house,60607
freshii,1953390,chicago,il,pass w/ conditions,-87.63652434,41.87779165,20160830,risk 1 (high),(41.877791648104406,2423999,restaurant,311 s wacker dr,canvass,freshii,60606
garlic & chili thai cuisine,1953349,chicago,il,pass,-87.63310113,41.90484145,20160829,risk 1 (high),(41.904841451218275,68311,restaurant,1232 n la salle dr,canvass,garlic & chili thai cuisine,60610
the medici,1953513,chicago,il,fail,-87.59370039,41.79136503,20160830,risk 1 (high),(41.7913650295286,3642,restaurant,1327 e 57th st,complaint,the medici,60637
jibek jolu central asian cuisine,1752256,chicago,il,fail,-87.69131446,41.9731385,20160830,risk 1 (high),(41.973138498067996,1904287,restaurant,5047 n lincoln ave,canvass,jibek jolu,60625
king sweets,1953388,chicago,il,pass,-87.68784769,41.99787482,20160829,risk 1 (high),(41.997874816989075,1226628,restaurant,2308 w devon ave,complaint re-inspection,king sweets,60659
wolfgang puck (t3 k1),1953387,chicago,il,out of business,-87.91442844,42.0085364,20160829,risk 1 (high),(42.008536400868735,34173,restaurant,11601 w touhy ave,canvass,wolfgang puck,60666
busy bee supermarket,1953385,chicago,il,pass w/ conditions,-87.66434507,41.79048002,20160829,risk 1 (high),(41.79048001939005,1974525,grocery store,5659 s ashland ave,complaint,busy bee supermarket,60636
zam zam middle eastern grill,1953371,chicago,il,pass,-87.65463471,41.94508056,20160829,risk 1 (high),(41.9450805637441,2327015,restaurant,3461 n clark st,canvass re-inspection,zam zam middle eastern grill,60657
popeyes chicken,1937252,chicago,il,pass,-87.7063942,41.81262899,20160621,risk 1 (high),(41.812628989174634,1121856,restaurant,4431 s archer ave,complaint,popeyes chicken,60632
devon seafood grill,1953383,chicago,il,fail,-87.62670544,41.89658772,20160829,risk 1 (high),(41.89658772205973,1649163,restaurant,39 e chicago ave,short form complaint,devon seafood grill,60611
golden house restaurant,1953379,chicago,il,pass,-87.65981645,41.96849072,20160829,risk 1 (high),(41.968490719713,1443483,restaurant,4742-4744 n racine ave,canvass,golden house restaurant,60640
the bagelers underground,1953380,chicago,il,pass,-87.62781527,41.87784339,20160829,risk 2 (medium),(41.87784338811841,2476220,bakery,312 s state st,license,the bagelers underground-jackson red,60604
lokal,1953382,chicago,il,fail,-87.66835948,41.92705136,20160829,risk 1 (high),(41.92705136177427,2391658,restaurant,2500 n ashland ave,canvass,lokal contemporary european,60614
the chicago rib house,1953375,chicago,il,pass,-87.62294655,41.82404275,20160829,risk 1 (high),(41.824042753773746,2458555,restaurant,3851 s michigan ave,complaint,food express restaurant,60653
room forty three,1953366,chicago,il,no entry,-87.60025634,41.81677869,20160829,risk 2 (medium),(41.81677868564627,1766122,restaurant,1041-1043 e 43rd st,complaint,room forty three,60653
starbucks coffee,1953364,chicago,il,pass w/ conditions,-87.6300569,41.90381264,20160829,risk 2 (medium),(41.903812639001785,23045,restaurant,39 w division st,canvass,starbucks coffee #236,60610
eds food mart,1951185,chicago,il,pass,-87.62041276,41.67958373,20160826,risk 2 (medium),(41.67958373431513,1939028,grocery store,11809 s michigan ave,canvass,eds food mart,60628
tom yum cafe,1953370,chicago,il,pass w/ conditions,-87.64475457,41.93800688,20160829,risk 1 (high),(41.938006880423615,2354911,restaurant,608 w barry,canvass,tom yum rice & noodle,60657
huamao restaurant inc.,1953369,chicago,il,pass,-87.66378097,41.86919502,20160829,risk 2 (medium),(41.86919501552379,2469466,restaurant,1453 w taylor st,license re-inspection,huamao restaurant inc.,60607
millers pub & restaurant,1953362,chicago,il,pass,-87.62629031,41.87994706,20160829,risk 1 (high),(41.87994705990922,25676,restaurant,134 s wabash ave,short form complaint,millers pub & restaurant,60603
gingersnap sweets & such,1953360,chicago,il,no entry,-87.66491711,41.95445545,20160829,risk 2 (medium),(41.95445545298766,2153123,bakery,1416 w irving park rd,canvass,gingersnap sweets & such,60613
sky lake chinese kitchen,1791220,chicago,il,pass w/ conditions,-87.62623926,41.69265703,20160829,risk 1 (high),(41.69265703428748,2027332,restaurant,108 w 111th st,complaint,sky lake chinese kitchen,60628
fizz bar & grill,1953357,chicago,il,no entry,-87.66923761,41.94026958,20160829,risk 1 (high),(41.94026958072296,55325,restaurant,3220 n lincoln ave,canvass,fizz bar & grill,60657
pizza capri,1953356,chicago,il,pass,-87.58904626,41.79943426,20160829,risk 1 (high),(41.79943425904436,39084,restaurant,1501 e 53rd st,short form complaint,pizza capri,60615
african supermarket & liquor,1953361,chicago,il,fail,-87.73030601,41.88077997,20160829,risk 2 (medium),(41.880779974868965,28149,grocery store,4156-4158 w madison st,complaint,african supermarket & liquor,60624
ravikabab house,1953368,chicago,il,pass w/ conditions,-87.69175252,41.99759057,20160829,risk 1 (high),(41.997590570651774,1331324,restaurant,2447 w devon ave,canvass,ravikabab house,60659
rocking horse,1953354,chicago,il,pass w/ conditions,-87.70459704,41.92749258,20160829,risk 1 (high),(41.92749257880225,1898920,restaurant,2535 n milwaukee ave,short form complaint,rocking horse,60647
the atlantic bar & grill,1752255,chicago,il,pass,-87.69181746,41.97341239,20160829,risk 1 (high),(41.97341239266947,12594,restaurant,5062 n lincoln ave,canvass,the atlantic bar & grill,60625
bella notte,1953353,chicago,il,pass,-87.66195668,41.89114149,20160829,risk 1 (high),(41.89114149453451,1379731,restaurant,1374 w grand ave,complaint re-inspection,bella notte,60642
wing stop # 894,1953372,chicago,il,pass,-87.70320431,41.7863412,20160829,risk 2 (medium),(41.78634119819243,2398793,restaurant,5859 s kedzie ave,canvass,wing stop # 894,60629
bonfire grill,1953355,chicago,il,fail,-87.60558403,41.76571673,20160829,risk 1 (high),(41.76571672629447,2231773,restaurant,7100 s south chicago ave,complaint,bonfire grill,60619
express food market,1953351,chicago,il,pass,-87.68347479,41.76784475,20160829,risk 3 (low),(41.76784475060497,1648188,grocery store,6914 s western ave,short form complaint,express food market,60636
mc donalds  (t3  l4),1953350,chicago,il,fail,-87.91442844,42.0085364,20160829,risk 2 (medium),(42.008536400868735,2487937,restaurant,11601 w touhy ave,license,mcdonalds # 17274,60666
freshii,1953342,chicago,il,pass w/ conditions,-87.61156988,41.89209414,20160829,risk 1 (high),(41.892094136861786,2437087,restaurant,600 e grand ave,canvass,freshii,60611
four shadows,1953343,chicago,il,fail,-87.66853724,41.93231273,20160829,risk 1 (high),(41.93231272553404,1675140,restaurant,2758 n ashland ave,canvass,four shadows,60614
subway,1953335,chicago,il,pass,-87.62429156,41.86706145,20160829,risk 1 (high),(41.86706145293373,2032865,restaurant,1212 s michigan,canvass re-inspection,subway,60605
pockets,1953336,chicago,il,fail,-87.59461606,41.79936856,20160829,risk 2 (medium),(41.79936856037866,2153361,restaurant,1309 e 53rd st,canvass,pockets hyde park,60615
mcguigans,1953337,chicago,il,pass,-87.66890905,41.9432951,20160829,risk 1 (high),(41.94329510166934,2246714,restaurant,3358 n ashland ave,canvass,mcguigans,60657
salpicon,1953329,chicago,il,no entry,-87.63468086,41.90543301,20160829,risk 1 (high),(41.905433007908826,1914762,restaurant,1252 n wells st,canvass,salpicon,60610
mcguigans,1953331,chicago,il,no entry,-87.66890905,41.9432951,20160829,risk 1 (high),(41.94329510166934,2246714,restaurant,3358 n ashland ave,canvass,mcguigans,60657
yolis tamales,1933154,chicago,il,pass,-87.68441497,41.80281073,20160621,risk 3 (low),(41.80281073000951,2464877,mobile food preparer,5002 s western ave,license,yolis tamales,60609
tiscoaf food market african,1953324,chicago,il,fail,-87.65576865,41.96299036,20160829,risk 3 (low),(41.96299035567779,2470261,grocery store,4445 n broadway,license,tiscoaf,60640
royal t,1953321,chicago,il,fail,-87.69202089,41.9737255,20160829,risk 1 (high),(41.97372549869574,1980200,restaurant,5074-5076 n lincoln ave,canvass,libero cafe,60625
mcdonalds   (t3- l4),1960932,chicago,il,pass,-87.91442844,42.0085364,20160829,risk 1 (high),(42.008536400868735,2016727,restaurant,11601 w touhy ave,canvass,mcdonalds,60666
burger king #17392,1953322,chicago,il,pass,-87.72453224,41.84855902,20160829,risk 2 (medium),(41.84855901864004,2368813,restaurant,2345 s pulaski rd,complaint,burger king #17392,60623
noodles & company,1953315,chicago,il,fail,-87.63516406,41.88190275,20160829,risk 1 (high),(41.88190275050587,2263045,restaurant,1 s franklin st,canvass,noodles & company,60606
cafe vienna,1953290,chicago,il,pass,-87.64204436,41.92848737,20160829,risk 1 (high),(41.928487374216466,2484194,grocery store,2523 n clark st,license,cafe vienna,60614
bricks,1953317,chicago,il,pass,-87.63652447,41.91684811,20160829,risk 1 (high),(41.91684810981031,10486,restaurant,1909 n lincoln ave,complaint re-inspection,bricks,60614
63rd quick stop,1953325,chicago,il,fail,-87.68470664,41.77913305,20160829,risk 1 (high),(41.77913304503548,2374769,grocery store,2423 w 63rd st,canvass,63rd quick stop,60629
garfield citgo,1953314,chicago,il,out of business,-87.63306376,41.79462283,20160829,risk 3 (low),(41.79462282901127,2055195,grocery store,300 w garfield blvd,canvass,garfield citgo,60609
steak and hoagie,1953312,chicago,il,pass,-87.68334058,41.7629663,20160829,risk 2 (medium),(41.762966299223166,2487433,restaurant,7158 s western ave,license re-inspection,steak and hoagie,60636
edwardos enoteca,1953310,chicago,il,pass,-87.63014525,41.90434217,20160829,risk 1 (high),(41.90434217031261,25104,restaurant,1212 n dearborn st,canvass,edwardos pizza,60610
el taco azteca,1953307,chicago,il,pass,-87.68031325,41.8519948,20160829,risk 1 (high),(41.85199480423206,2458576,restaurant,2151 w cermak rd,license,el taco azteca,60608
greek delight inc,1953308,chicago,il,pass,-87.60951805,41.89224916,20160829,risk 1 (high),(41.892249163400116,1492165,restaurant,700 e grand ave,canvass,greek delight inc,60611
connies pizza,1931613,chicago,il,pass,-87.6410584,41.84937922,20160525,risk 3 (low),(41.849379215218015,2458534,mobile food preparer,2373 s archer ave,license,connies pizza,60616
macaroni grill (t3-k2),1953304,chicago,il,pass,-87.91442844,42.0085364,20160829,risk 1 (high),(42.008536400868735,34220,restaurant,11601 w touhy ave,complaint,macaroni grill,60666
new england seafood company,1953313,chicago,il,fail,-87.67051293,41.94257282,20160829,risk 1 (high),(41.942572824782836,2108692,restaurant,3341 n lincoln ave,canvass,new england seafood company fl,60657
chicago dq grill and chill,1953301,chicago,il,pass w/ conditions,-87.62618266,41.8760741,20160829,risk 1 (high),(41.87607409944023,1959931,restaurant,436 s wabash ave,canvass re-inspection,chicago dq grill and chill,60605
garfield300 inc.,1953303,chicago,il,pass,-87.63306376,41.79462283,20160829,risk 3 (low),(41.79462282901127,2476346,grocery store,300-310 w garfield blvd,license,garfield300 inc.,60609
citgo,1953296,chicago,il,not ready,-87.6841337,41.79188471,20160829,risk 2 (medium),(41.79188471462005,2476352,grocery store,5616 s western ave,license,western5616 inc.,60636
cafe vienna,1953295,chicago,il,out of business,-87.64204436,41.92848737,20160829,risk 1 (high),(41.928487374216466,2447148,grocery store,2523 n clark st,canvass,vienna services,60614
dyett high school,1953291,chicago,il,pass w/ conditions,-87.61192836,41.80204982,20160829,risk 1 (high),(41.802049821529806,66021,school,555 e 51st st(5100s),canvass,dyett high school,60615
quesadillas y huaraches jumbo,1953294,chicago,il,not ready,-87.69299833,41.77923236,20160829,risk 1 (high),(41.779232357598445,2487620,restaurant,2750 w 63rd st,license,quesadillas y huaraches jumbo,60629
